 (Half Day),(نصف يوم)
Company registration numbers for your reference. Tax numbers etc.,أرقام تسجيل الشركة للرجوع اليها. أرقام الضرائب الخ.
Complaint,شكوى
Complete,كامل
Complete By,الكامل من جانب
Completed,الانتهاء
Completed Qty,الكمية الانتهاء
Completion Date,تاريخ الانتهاء
Completion Status,استكمال الحالة
Confirmed orders from Customers.,أكد أوامر من العملاء.
Consider Tax or Charge for,النظر في ضريبة أو رسم ل
"Consider this Price List for fetching rate. (only which have ""For Buying"" as checked)",النظر في هذه القائمة السعر لجلب الفائدة. (فقط التي &quot;لشراء&quot; فحص ع)
Considered as Opening Balance,يعتبر الرصيد الافتتاحي
Considered as an Opening Balance,يعتبر رصيد أول المدة
Consultant,مستشار
Consumed Qty,تستهلك الكمية
Contact,اتصل
Contact Control,الاتصال التحكم
Contact Desc,الاتصال التفاصيل
Contact Details,للإتصال
Contact Email,عنوان البريد الإلكتروني
Contact HTML,الاتصال HTML
Contact Info,معلومات الاتصال
Contact Mobile No,الاتصال المحمول لا
Contact Name,اسم جهة الاتصال
Contact No.,الاتصال رقم
Contact Person,اتصل شخص
Contact Type,نوع الاتصال
Contact Us Settings,الاتصال بنا إعدادات
Contact in Future,الاتصال في المستقبل
"Contact options, like ""Sales Query, Support Query"" etc each on a new line or separated by commas.",خيارات الاتصال، مثل &quot;الاستعلام المبيعات والدعم الاستعلام&quot; الخ كل على سطر جديد أو مفصولة بفواصل.
Contacted,الاتصال
Content,محتوى
Content Type,نوع المحتوى
Content in markdown format that appears on the main side of your page,المحتوى في شكل تخفيض السعر الذي يظهر على الجانب الرئيسي من الصفحة الخاصة بك
Content web page.,محتوى الويب الصفحة.
Contra Voucher,كونترا قسيمة
Contract End Date,تاريخ نهاية العقد
Contribution (%),مساهمة (٪)
Contribution to Net Total,المساهمة في صافي إجمالي
Control Panel,لوحة التحكم
Conversion Factor,تحويل عامل
Conversion Rate,معدل التحويل
Convert into Recurring Invoice,تحويل الفاتورة إلى التكراري
Converted,تحويل
Copy,نسخ
Copy From Item Group,نسخة من المجموعة السلعة
Copyright,حق النشر
Core,جوهر
Cost Center,مركز التكلفة
Cost Center Details,تفاصيل تكلفة مركز
Cost Center Name,اسم مركز تكلفة
Cost Center is mandatory for item: ,مركز تكلفة إلزامي للبند:
Cost Center must be specified for PL Account: ,يجب تحديد مركز التكلفة لحساب PL:
Costing,تكلف
Country,بلد
Country Name,الاسم الدولة
Create,خلق
Create Bank Voucher for the total salary paid for the above selected criteria,إنشاء بنك للقسيمة الراتب الإجمالي المدفوع للاختيار المعايير المذكورة أعلاه
Create Material Requests,إنشاء طلبات المواد
Create Production Orders,إنشاء أوامر الإنتاج
Create Receiver List,إنشاء قائمة استقبال
Create Salary Slip,إنشاء زلة الراتب
Create Stock Ledger Entries when you submit a Sales Invoice,إنشاء ألبوم ليدجر مقالات عند إرسال فاتورة المبيعات
"Create a price list from Price List master and enter standard ref rates against each of them. On selection of a price list in Quotation, Sales Order or Delivery Note, corresponding ref rate will be fetched for this item.",إنشاء قائمة الأسعار من ماجستير وقائمة الأسعار القياسية إدخال أسعار المرجع ضد كل واحد منهم. على اختيار قائمة الأسعار في ترتيب المبيعات اقتباس، أو مذكرة التسليم، سوف يكون المرجع المناظرة معدل المنال لهذا البند.
Create and Send Newsletters,إنشاء وإرسال الرسائل الإخبارية
Created Account Head: ,أنشاء رئيس الحساب:
Created By,التي أنشأتها
Created Customer Issue,إنشاء العدد العملاء
Created Group ,المجموعة تم انشاءها
Created Opportunity,خلق الفرص
Created Support Ticket,إنشاء تذكرة دعم
Creates salary slip for above mentioned criteria.,يخلق زلة مرتبات المعايير المذكورة أعلاه.
Credentials,أوراق اعتماد
Credit,ائتمان
Credit Amt,الائتمان AMT
Credit Card Voucher,بطاقة الائتمان قسيمة
Credit Controller,المراقب الائتمان
Credit Days,الائتمان أيام
Credit Limit,الحد الائتماني
Credit Note,ملاحظة الائتمان
Credit To,الائتمان لل
Cross Listing of Item in multiple groups,عبور إدراج عنصر في مجموعات متعددة
Currency,عملة
Currency Exchange,تحويل العملات
Currency Format,تنسيق العملة
Currency Name,اسم العملة
Currency Settings,إعدادات العملة
Currency and Price List,العملة وقائمة الأسعار
Currency does not match Price List Currency for Price List,العملة لا يطابق قائمة الأسعار العملات لقائمة الأسعار
Current Accommodation Type,نوع الإقامة الحالي
Current Address,العنوان الحالي
Current BOM,BOM الحالي
Current Fiscal Year,السنة المالية الحالية
Current Stock,الأسهم الحالية
Current Stock UOM,الأسهم الحالية UOM
Current Value,القيمة الحالية
Current status,الوضع الحالي
Custom,عرف
Custom Autoreply Message,رد تلقائي المخصصة رسالة
Custom CSS,العرف CSS
Custom Field,مخصص الميدانية
Custom Message,رسالة مخصصة
Custom Reports,تقارير مخصصة
Custom Script,سيناريو مخصص
Custom Startup Code,بدء التشغيل التعليمات البرمجية المخصصة
Custom?,العرف؟
Customer,زبون
Customer (Receivable) Account,حساب العميل (ذمم مدينة)
Customer / Item Name,العميل / البند الاسم
Customer Account,حساب العميل
Customer Account Head,رئيس حساب العملاء
Customer Address,العنوان العملاء
Customer Addresses And Contacts,العناوين العملاء واتصالات
Customer Code,قانون العملاء
Customer Codes,رموز العملاء
Customer Details,تفاصيل العملاء
Customer Discount,خصم العملاء
Customer Discounts,خصومات العملاء
Customer Feedback,ملاحظات العملاء
Customer Group,مجموعة العملاء
Customer Group Name,العملاء اسم المجموعة
Customer Intro,مقدمة العملاء
Customer Issue,العدد العملاء
Customer Issue against Serial No.,العدد العملاء ضد الرقم التسلسلي
Customer Name,اسم العميل
Customer Naming By,العملاء تسمية بواسطة
Customer Type,نوع العميل
Customer classification tree.,تصنيف العملاء شجرة.
Customer database.,العملاء قاعدة البيانات.
Customer's Currency,العميل العملات
Customer's Item Code,كود الصنف العميل
Customer's Purchase Order Date,طلب شراء الزبون التسجيل
Customer's Purchase Order No,الزبون أمر الشراء لا
Customer's Vendor,العميل البائع
Customer's currency,العميل العملة
"Customer's currency - If you want to select a currency that is not the default currency, then you must also specify the Currency Conversion Rate.",العملة العميل - إذا كنت تريد تحديد العملة التي ليس العملة الافتراضية، ثم يجب عليك أيضا تحديد سعر تحويل العملة.
Customers Not Buying Since Long Time,الزبائن لا يشترون منذ وقت طويل
Customerwise Discount,Customerwise الخصم
Customize,تخصيص
Customize Form,تخصيص نموذج
Customize Form Field,تخصيص حقل نموذج
"Customize Label, Print Hide, Default etc.",تخصيص تسمية، إخفاء طباعة، الخ الافتراضي
Customize the Notification,تخصيص إعلام
Customize the introductory text that goes as a part of that email. Each transaction has a separate introductory text.,تخصيص النص الاستهلالي الذي يذهب كجزء من أن البريد الإلكتروني. كل معاملة له نص منفصل استهلالي.
DN,DN
DN Detail,DN التفاصيل
Daily,يوميا
Daily Event Digest is sent for Calendar Events where reminders are set.,يتم إرسالها حدث الموجز اليومي على أحداث التقويم حيث يتم تعيين التذكير.
Daily Time Log Summary,الوقت الملخص اليومي دخول
Danger,خطر
Data,معطيات
Data missing in table,البيانات الناقصة في الجدول
Database,قاعدة البيانات
Database Folder ID,ID مجلد قاعدة البيانات
Database of potential customers.,قاعدة بيانات من العملاء المحتملين.
Date,تاريخ
Date Format,تنسيق التاريخ
Date Of Retirement,تاريخ التقاعد
Date and Number Settings,إعدادات التاريخ وعدد
Date is repeated,ويتكرر التاريخ
Date must be in format,يجب أن يكون التاريخ في شكل
Date of Birth,تاريخ الميلاد
Date of Issue,تاريخ الإصدار
Date of Joining,تاريخ الانضمام
Date on which lorry started from supplier warehouse,التاريخ الذي بدأت الشاحنة من مستودع المورد
Date on which lorry started from your warehouse,التاريخ الذي بدأت الشاحنة من المستودع الخاص
Date on which the lead was last contacted,التاريخ الذي تم الاتصال الصدارة مشاركة
Dates,التواريخ
Datetime,التاريخ والوقت
Days for which Holidays are blocked for this department.,يتم حظر أيام الأعياد التي لهذا القسم.
Dealer,تاجر
Dear,العزيز
Debit,مدين
Debit Amt,الخصم AMT
Debit Note,ملاحظة الخصم
Debit To,الخصم ل
Debit or Credit,الخصم أو الائتمان
Deduct,خصم
Deduction,اقتطاع
Deduction Type,خصم نوع
Deduction1,Deduction1
Deductions,الخصومات
Default,الافتراضي
Default Account,الافتراضي حساب
Default BOM,الافتراضي BOM
Default Bank / Cash account will be automatically updated in POS Invoice when this mode is selected.,سيتم الافتراضي بنك / الصرف حساب الفاتورة تلقائيا تحديث في POS عند تحديد هذا الوضع.
Default Bank Account,الافتراضي الحساب المصرفي
Default Cash Account,الحساب النقدي الافتراضي
Default Commission Rate,قيم الافتراضية اللجنة
Default Company,افتراضي شركة
Default Cost Center,مركز التكلفة الافتراضية
Default Cost Center for tracking expense for this item.,مركز التكلفة الافتراضية لتتبع حساب لهذا البند.
Default Currency,العملة الافتراضية
Default Customer Group,المجموعة الافتراضية العملاء
Default Expense Account,الافتراضي نفقات الحساب
Default Home Page,الصفحة الرئيسية الافتراضية
Default Home Pages,الصفحات الرئيسية الافتراضية
Default Income Account,الافتراضي الدخل حساب
Default Item Group,المجموعة الافتراضية الإغلاق
Default Price List,قائمة الأسعار الافتراضي
Default Print Format,طباعة شكل الافتراضي
Default Purchase Account in which cost of the item will be debited.,الافتراضي حساب الشراء، التي يتم خصمها تكلفة هذا البند.
Default Sales Partner,افتراضي مبيعات الشريك
Default Settings,الإعدادات الافتراضية
Default Source Warehouse,المصدر الافتراضي مستودع
Default Stock UOM,افتراضي ألبوم UOM
Default Supplier,مزود الافتراضي
Default Supplier Type,الافتراضي مزود نوع
Default Target Warehouse,الهدف الافتراضي مستودع
Default Territory,الافتراضي الإقليم
Default Unit of Measure,وحدة القياس الافتراضية
Default Valuation Method,أسلوب التقييم الافتراضي
Default Value,القيمة الافتراضية
Default Warehouse,النماذج الافتراضية
Default Warehouse is mandatory for Stock Item.,النماذج الافتراضية هي إلزامية لالبند الأسهم.
Default settings for Shopping Cart,الإعدادات الافتراضية لسلة التسوق
"Default: ""Contact Us""",الافتراضي: &quot;اتصل بنا&quot;
DefaultValue,الافتراضية
Defaults,الافتراضات
"Define Budget for this Cost Center. To set budget action, see <a href=""#!List/Company"">Company Master</a>","تحديد الميزانية لهذا المركز التكلفة. أن تتخذ إجراءات لميزانية، انظر <a href=""#!List/Company"">ماجستير شركة</a>"
Defines actions on states and the next step and allowed roles.,يحدد الإجراءات على الدول والخطوة التالية والأدوار المسموح بها.
Defines workflow states and rules for a document.,تعرف الولايات سير العمل وقواعد وثيقة.
Delete,حذف
Delete Row,حذف صف
Delivered,تسليم
Delivered Items To Be Billed,وحدات تسليمها الى أن توصف
Delivered Qty,تسليم الكمية
Delivery Address,التسليم العنوان
Delivery Date,تاريخ التسليم
Delivery Details,الدفع تفاصيل
Delivery Document No,الوثيقة لا تسليم
Delivery Document Type,تسليم الوثيقة نوع
Delivery Note,ملاحظة التسليم
Delivery Note Item,ملاحظة تسليم السلعة
Delivery Note Items,ملاحظة عناصر التسليم
Delivery Note Message,ملاحظة تسليم رسالة
Delivery Note No,ملاحظة لا تسليم
Packed Item,ملاحظة التوصيل التغليف
Delivery Note Required,ملاحظة التسليم المطلوبة
Delivery Note Trends,ملاحظة اتجاهات التسليم
Delivery Status,حالة التسليم
Delivery Time,التسليم في الوقت المحدد
Delivery To,التسليم إلى
Department,قسم
Depends On,يعتمد على
Depends on LWP,يعتمد على LWP
Descending,تنازلي
Description,وصف
Description HTML,وصف HTML
"Description for listing page, in plain text, only a couple of lines. (max 140 characters)",وصف لصفحة القائمة، في نص عادي، فقط بضعة أسطر. (حد أقصى 140 حرف)
Description for page header.,وصف لرأس الصفحة.
Description of a Job Opening,وصف لفتح فرص العمل
Designation,تعيين
Desktop,سطح المكتب
Detailed Breakup of the totals,مفصلة تفكك مجاميع
Details,تفاصيل
Deutsch,الرغبات
Did not add.,لم تضف.
Did not cancel,لم إلغاء
Did not save,لم ينقذ
Difference,فرق
"Different ""States"" this document can exist in. Like ""Open"", ""Pending Approval"" etc.",مختلفة &quot;الدول&quot; هذه الوثيقة يمكن أن توجد فيها مثل &quot;فتح&quot; و &quot;الموافقة معلقة&quot; الخ.
Disable Customer Signup link in Login page,تعطيل الرابط اشترك العملاء في صفحة تسجيل الدخول
Disable Rounded Total,تعطيل إجمالي مدور
Disable Signup,تعطيل الاشتراك
Disabled,معاق
Discount  %,خصم٪
Discount %,خصم٪
Discount (%),الخصم (٪)
"Discount Fields will be available in Purchase Order, Purchase Receipt, Purchase Invoice",وسوف تكون متاحة الخصم الحقول في أمر الشراء، وتلقي الشراء، فاتورة الشراء
Discount(%),الخصم (٪)
Display,عرض
Display Settings,عرض إعدادات
Display all the individual items delivered with the main items,عرض كافة العناصر الفردية تسليمها مع البنود الرئيسية
Distinct unit of an Item,متميزة وحدة من عنصر
Distribute transport overhead across items.,توزيع النفقات العامة النقل عبر العناصر.
Distribution,التوزيع
Distribution Id,توزيع رقم
Distribution Name,توزيع الاسم
Distributor,موزع
Divorced,المطلقات
Do not show any symbol like $ etc next to currencies.,لا تظهر أي رمز مثل $ الخ بجانب العملات.
Doc Name,اسم الوثيقة
Doc Status,الحالة ثيقة
Doc Type,نوع الوثيقة
DocField,DocField
DocPerm,DocPerm
DocType,DOCTYPE
DocType Details,DOCTYPE تفاصيل
DocType is a Table / Form in the application.,DOCTYPE هو جدول / نموذج في التطبيق.
DocType on which this Workflow is applicable.,DOCTYPE على سير العمل هذا الذي ينطبق.
DocType or Field,DOCTYPE أو حقل
Document,وثيقة
Document Description,وصف الوثيقة
Document Numbering Series,وثيقة ترقيم السلسلة
Document Status transition from ,وثيقة الانتقال من الحالة
Document Type,نوع الوثيقة
Document is only editable by users of role,الوثيقة للتحرير فقط من قبل المستخدمين من دور
Documentation,توثيق
Documentation Generator Console,وثائق وحدة التحكم مولد
Documentation Tool,أداة التوثيق
Documents,وثائق
Domain,مجال
Download Backup,تحميل النسخ الاحتياطي
Download Materials Required,تحميل المواد المطلوبة
Download Template,تحميل قالب
Download a report containing all raw materials with their latest inventory status,تحميل تقريرا يتضمن جميع المواد الخام مع وضعهم أحدث المخزون
"Download the Template, fill appropriate data and attach the modified file.All dates and employee combination in the selected period will come in the template, with existing attendance records",تحميل قالب، وملء البيانات المناسبة وإرفاق تواريخ file.All تعديل والجمع بين الموظف في الفترة الزمنية المحددة وسوف يأتي في القالب، مع سجلات الحضور القائمة
Draft,مسودة
Drafts,الداما
Drag to sort columns,اسحب لفرز الأعمدة
Dropbox,المربع المنسدل
Dropbox Access Allowed,دروببوإكس الدخول الأليفة
Dropbox Access Key,دروببوإكس مفتاح الوصول
Dropbox Access Secret,دروببوإكس الدخول السرية
Due Date,بسبب تاريخ
EMP/,EMP /
ESIC CARD No,ESIC رقم البطاقة
ESIC No.,ESIC رقم
Earning,كسب
Earning & Deduction,وكسب الخصم
Earning Type,كسب نوع
Earning1,Earning1
Edit,تحرير
Editable,للتحرير
Educational Qualification,المؤهلات العلمية
Educational Qualification Details,تفاصيل المؤهلات العلمية
Eg. smsgateway.com/api/send_sms.cgi,على سبيل المثال. smsgateway.com / API / send_sms.cgi
Email,البريد الإلكتروني
Email (By company),البريد الإلكتروني (حسب الشركة)
Email Digest,البريد الإلكتروني دايجست
Email Digest Settings,البريد الإلكتروني إعدادات دايجست
Email Host,البريد الإلكتروني المضيف
Email Id,البريد الإلكتروني معرف
"Email Id must be unique, already exists for: ",يجب أن يكون معرف البريد الإلكتروني فريدة من نوعها، موجود مسبقا من أجل:
"Email Id where a job applicant will email e.g. ""jobs@example.com""",معرف البريد الإلكتروني حيث طالب العمل سوف البريد الإلكتروني على سبيل المثال &quot;jobs@example.com&quot;
Email Login,دخول البريد الالكتروني
Email Password,البريد الالكتروني كلمة السر
Email Sent,إرسال البريد الإلكتروني
Email Sent?,البريد الإلكتروني المرسلة؟
Email Settings,إعدادات البريد الإلكتروني
Email Settings for Outgoing and Incoming Emails.,إعدادات البريد الإلكتروني لرسائل البريد الإلكتروني الصادرة والواردة.
Email Signature,البريد الإلكتروني التوقيع
Email Use SSL,إرسال استخدام SSL
"Email addresses, separted by commas",عناوين البريد الإلكتروني، separted بفواصل
Email ids separated by commas.,معرفات البريد الإلكتروني مفصولة بفواصل.
"Email settings for jobs email id ""jobs@example.com""",إعدادات البريد الإلكتروني للبريد الإلكتروني وظائف &quot;jobs@example.com&quot; معرف
"Email settings to extract Leads from sales email id e.g. ""sales@example.com""",إعدادات البريد الإلكتروني لاستخراج البريد الإلكتروني من عروض المبيعات &quot;sales@example.com&quot; معرف على سبيل المثال
Email...,البريد الإلكتروني ...
Embed image slideshows in website pages.,تضمين عرض الشرائح صورة في صفحات الموقع.
Emergency Contact Details,تفاصيل الاتصال في حالات الطوارئ
Emergency Phone Number,رقم الهاتف في حالات الطوارئ
Employee,عامل
Employee Birthday,عيد ميلاد موظف
Employee Designation.,الموظف التعيين.
Employee Details,موظف تفاصيل
Employee Education,موظف التعليم
Employee External Work History,التاريخ الموظف العمل الخارجي
Employee Information,معلومات الموظف
Employee Internal Work History,التاريخ الموظف العمل الداخلية
Employee Internal Work Historys,Historys الموظف العمل الداخلية
Employee Leave Approver,الموظف إجازة الموافق
Employee Leave Balance,الموظف اترك الرصيد
Employee Name,اسم الموظف
Employee Number,عدد الموظفين
Employee Records to be created by,سجلات الموظفين المراد إنشاؤها من قبل
Employee Setup,موظف الإعداد
Employee Type,نوع الموظف
Employee grades,الموظف الدرجات
Employee record is created using selected field. ,يتم إنشاء سجل الموظف باستخدام الحقل المحدد.
Employee records.,موظف السجلات.
Employee: ,الموظف:
Employees Email Id,موظف البريد الإلكتروني معرف
Employment Details,تفاصيل العمل
Employment Type,مجال العمل
Enable Auto Inventory Accounting,تمكين المحاسبة الجرد السيارات
Enable Shopping Cart,تمكين سلة التسوق
Enabled,تمكين
Enables <b>More Info.</b> in all documents,<b>لمزيد من المعلومات يمكن.</b> في جميع الوثائق
Encashment Date,تاريخ التحصيل
End Date,نهاية التاريخ
End date of current invoice's period,تاريخ نهاية فترة الفاتورة الحالية
End of Life,نهاية الحياة
Ends on,ينتهي في
Enter Email Id to receive Error Report sent by users.E.g.: support@iwebnotes.com,إدخال الرقم البريد الالكتروني لتلقي تقرير عن الخطأ التي بعث بها users.Eg: support@iwebnotes.com
Enter Form Type,أدخل نوع النموذج
Enter Row,دخول الصف
Enter Verification Code,أدخل رمز التحقق
Enter campaign name if the source of lead is campaign.,أدخل اسم الحملة إذا كان مصدر الرصاص هو الحملة.
"Enter default value fields (keys) and values. If you add multiple values for a field, the first one will be picked. These defaults are also used to set ""match"" permission rules. To see list of fields, go to <a href=""#Form/Customize Form/Customize Form"">Customize Form</a>.","الدخول في مجالات القيمة الافتراضية (مفاتيح) والقيم. إذا قمت بإضافة قيم متعددة لحقل، سيتم اختار أول واحد. كما تستخدم هذه الافتراضات لوضع القواعد &quot;مباراة&quot; إذن. لمعرفة قائمة الحقول، انتقل إلى <a href=""#Form/Customize Form/Customize Form"">تخصيص الشكل</a> ."
Enter department to which this Contact belongs,أدخل الدائرة التي ينتمي هذا الاتصال
Enter designation of this Contact,أدخل تسمية هذا الاتصال
"Enter email id separated by commas, invoice will be mailed automatically on particular date",أدخل البريد الإلكتروني معرف مفصولة بفواصل، سوف ترسل الفاتورة تلقائيا على تاريخ معين
Enter items and planned qty for which you want to raise production orders or download raw materials for analysis.,إدخال عناصر والكمية المخططة التي تريد رفع أوامر الإنتاج أو تحميل المواد الخام لتحليلها.
Enter name of campaign if source of enquiry is campaign,أدخل اسم الحملة إذا كان مصدر من التحقيق هو حملة
"Enter static url parameters here (Eg. sender=ERPNext, username=ERPNext, password=1234 etc.)",أدخل المعلمات URL ثابت هنا (مثلا المرسل = ERPNext، اسم المستخدم = ERPNext، كلمة المرور = 1234 الخ)
Enter the company name under which Account Head will be created for this Supplier,أدخل اسم الشركة التي بموجبها سيتم إنشاء حساب رئيس هذه الشركة
Enter the date by which payments from customer is expected against this invoice.,أدخل التاريخ الذي من المتوقع المدفوعات من العملاء ضد هذه الفاتورة.
Enter url parameter for message,أدخل عنوان URL لمعلمة رسالة
Enter url parameter for receiver nos,أدخل عنوان URL لمعلمة NOS استقبال
Entries,مقالات
Entries are not allowed against this Fiscal Year if the year is closed.,لا يسمح مقالات ضد السنة المالية الحالية إذا تم إغلاق السنة.
Error,خطأ
Error for,خطأ لل
Error: Document has been modified after you have opened it,تم تعديل الوثيقة بعد أن كنت قد فتحه: خطأ
Estimated Material Cost,تقدر تكلفة المواد
Event,حدث
Event End must be after Start,يجب أن يكون نهاية الحدث بعد بدء
Event Individuals,الحدث الأفراد
Event Role,الحدث الدور
Event Roles,الحدث الأدوار
Event Type,نوع الحدث
Event User,حدث المستخدم
Events In Today's Calendar,الأحداث في التقويم اليوم
Every Day,كل يوم
Every Month,كل شهر
Every Week,كل أسبوع
Every Year,كل سنة
Everyone can read,يمكن أن يقرأها الجميع
Example:,على سبيل المثال:
Exchange Rate,سعر الصرف
Excise Page Number,المكوس رقم الصفحة
Excise Voucher,المكوس قسيمة
Exemption Limit,إعفاء الحد
Exhibition,معرض
Existing Customer,القائمة العملاء
Exit,خروج
Exit Interview Details,تفاصيل مقابلة الخروج
Expected,متوقع
Expected Delivery Date,يتوقع تسليم تاريخ
Expected End Date,تاريخ الإنتهاء المتوقع
Expected Start Date,يتوقع البدء تاريخ
Expense Account,حساب حساب
Expense Account is mandatory,حساب المصاريف إلزامي
Expense Claim,حساب المطالبة
Expense Claim Approved,المطالبة حساب المعتمدة
Expense Claim Approved Message,المطالبة حساب المعتمدة رسالة
Expense Claim Detail,حساب المطالبة التفاصيل
Expense Claim Details,تفاصيل حساب المطالبة
Expense Claim Rejected,المطالبة حساب مرفوض
Expense Claim Rejected Message,المطالبة حساب رفض رسالة
Expense Claim Type,حساب المطالبة نوع
Expense Date,حساب تاريخ
Expense Details,تفاصيل حساب
Expense Head,رئيس حساب
Expense account is mandatory for item: ,حساب المصاريف إلزامي للبند:
Expense/Adjustment Account,حساب المصاريف / تعديل
Expenses Booked,حجز النفقات
Expenses Included In Valuation,وشملت النفقات في التقييم
Expenses booked for the digest period,نفقات حجزها لفترة هضم
Expiry Date,تاريخ انتهاء الصلاحية
Export,تصدير
Exports,صادرات
External,خارجي
Extract Emails,استخراج رسائل البريد الإلكتروني
FCFS Rate,FCFS قيم
FIFO,FIFO
Facebook Share,الفيسبوك شارك
Failed: ,فشل:
Family Background,الخلفية العائلية
FavIcon,فافيكون
Fax,بالفاكس
Features Setup,ميزات الإعداد
Feed,أطعم
Feed Type,إطعام نوع
Feedback,تعليقات
Female,أنثى
Fetch lead which will be converted into customer.,جلب الرصاص التي سيتم تحويلها إلى العملاء.
Field Description,حقل الوصف
Field Name,حقل الاسم
Field Type,نوع الحقل
"Field available in Delivery Note, Quotation, Sales Invoice, Sales Order",متوفرة في مذكرة التسليم، اقتباس، فاتورة المبيعات، والمبيعات من أجل الميدان
"Field that represents the Workflow State of the transaction (if field is not present, a new hidden Custom Field will be created)",الحقل الذي يمثل حالة سير العمل للصفقة (إذا حقل غير موجود، سيتم إنشاء حقل مخصص جديد مخفي)
Fieldname,Fieldname
Fields,الحقول
"Fields separated by comma (,) will be included in the<br /><b>Search By</b> list of Search dialog box",وسيتم إدراج حقول مفصولة بفواصل (،) في <br /> <b>البحث حسب</b> قائمة مربع الحوار بحث
File,ملف
File Data,ملف البيانات
File Name,اسم الملف
File Size,حجم الملف
File URL,ملف URL
File size exceeded the maximum allowed size,حجم الملف تجاوز الحجم الأقصى المسموح به
Files Folder ID,ملفات ID المجلد
Filing in Additional Information about the Opportunity will help you analyze your data better.,ورفع في معلومات إضافية حول الفرص تساعدك على تحليل البيانات الخاصة بك على نحو أفضل.
Filing in Additional Information about the Purchase Receipt will help you analyze your data better.,ورفع في معلومات إضافية حول إيصال الشراء تساعدك على تحليل البيانات الخاصة بك على نحو أفضل.
Filling in Additional Information about the Delivery Note will help you analyze your data better.,سوف ملء معلومات إضافية حول ملاحظة التوصيل تساعدك على تحليل البيانات الخاصة بك على نحو أفضل.
Filling in additional information about the Quotation will help you analyze your data better.,سوف ملء معلومات إضافية حول اقتباس تساعدك على تحليل البيانات الخاصة بك على نحو أفضل.
Filling in additional information about the Sales Order will help you analyze your data better.,سوف ملء معلومات إضافية حول ترتيب المبيعات تساعدك على تحليل البيانات الخاصة بك على نحو أفضل.
Filter,تحديد
Filter By Amount,النتائج حسب المبلغ
Filter By Date,النتائج حسب تاريخ
Filter based on customer,تصفية على أساس العملاء
Filter based on item,تصفية استنادا إلى البند
Final Confirmation Date,تأكيد تاريخ النهائية
Financial Analytics,تحليلات مالية
Financial Statements,القوائم المالية
First Name,الاسم الأول
First Responded On,أجاب أولا على
Fiscal Year,السنة المالية
Fixed Asset Account,حساب الأصول الثابتة
Float,الطفو
Float Precision,تعويم الدقة
Follow via Email,متابعة عبر البريد الإلكتروني
Following Journal Vouchers have been created automatically,تم إنشاؤها في أعقاب قسائم مجلة تلقائيا
"Following table will show values if items are sub - contracted. These values will be fetched from the master of ""Bill of Materials"" of sub - contracted items.",سوف تظهر بعد الجدول القيم البنود الفرعية إذا - المتعاقد عليها. وسيتم جلب من هذه القيم سيد &quot;بيل من مواد&quot; من دون - البنود المتعاقد عليها.
Font (Heading),الخط (العنوان)
Font (Text),الخط (نص)
Font Size (Text),حجم الخط (نص)
Fonts,الخطوط
Footer,تذييل
Footer Items,تذييل العناصر
For All Users,لكافة المستخدمين
For Company,لشركة
For Employee,لموظف
For Employee Name,لاسم الموظف
For Item ,بالنسبة للبند
"For Links, enter the DocType as rangeFor Select, enter list of Options separated by comma",لخيارات، أدخل واختار DOCTYPE rangeFor، أدخل قائمة خيارات مفصولة بفواصل
For Production,للإنتاج
For Reference Only.,للإشارة فقط.
For Sales Invoice,لفاتورة المبيعات
For Server Side Print Formats,لتنسيقات طباعة جانب الملقم
For Territory,من أجل الأرض
For UOM,لUOM
For Warehouse,لمستودع
"For comparative filters, start with",للمرشحات النسبية، وتبدأ مع
"For e.g. 2012, 2012-13",ل، 2012 على سبيل المثال 2012-13
For example if you cancel and amend 'INV004' it will become a new document 'INV004-1'. This helps you to keep track of each amendment.,على سبيل المثال إذا قمت بإلغاء وتعديل &#39;INV004&#39; سوف تصبح الوثيقة الجديدة &quot;INV004-1&quot;. هذا يساعدك على تتبع كل تعديل.
For example: You want to restrict users to transactions marked with a certain property called 'Territory',على سبيل المثال: كنت ترغب في تقييد المستخدمين من وضع علامة المعاملات مع خاصية معينة تسمى &quot;الأرض&quot;
For opening balance entry account can not be a PL account,لفتح رصيد الحساب يمكن الدخول لا يكون حساب PL
For ranges,للنطاقات
For reference,للرجوع إليها
For reference only.,للإشارة فقط.
For row,لصف
"For the convenience of customers, these codes can be used in print formats like Invoices and Delivery Notes",لراحة العملاء، ويمكن استخدام هذه الرموز في أشكال الطباعة مثل الفواتير والسندات التسليم
Form,شكل
Format: hh:mm example for one hour expiry set as 01:00. Max expiry will be 72 hours. Default is 24 hours,الصيغة: HH: مم سبيل المثال لانتهاء صلاحيتها ساعة واحدة على النحو 01:00. وسوف يكون الحد الأقصى انقضاء 72 ساعة. الافتراضي هو 24 ساعة
Forum,منتدى
Fraction,جزء
Fraction Units,جزء الوحدات
Freeze Stock Entries,تجميد مقالات المالية
Friday,الجمعة
From,من
From Bill of Materials,من مشروع قانون للمواد
From Company,من شركة
From Currency,من العملات
From Currency and To Currency cannot be same,من العملة لعملة ولا يمكن أن يكون نفس
From Customer,من العملاء
From Date,من تاريخ
From Date must be before To Date,يجب أن تكون من تاريخ إلى تاريخ قبل
From Delivery Note,من التسليم ملاحظة
From Employee,من موظف
From Lead,من الرصاص
From PR Date,من تاريخ PR
From Package No.,من رقم حزمة
From Purchase Order,من أمر الشراء
