 (Half Day),(Poludnevni)
Dropbox Access Key,Dropbox Pristupna tipka
Dropbox Access Secret,Dropbox Pristup Secret
Due Date,Datum dospijeća
EMP/,EMP /
ESIC CARD No,ESIC KARTICA Ne
ESIC No.,ESIC broj
Earning,Zarada
Earning & Deduction,Zarada &amp; Odbitak
Earning Type,Zarada Vid
Earning1,Earning1
Edit,Uredi
Editable,Uređivati
Educational Qualification,Obrazovne kvalifikacije
Educational Qualification Details,Obrazovni Pojedinosti kvalifikacije
Eg. smsgateway.com/api/send_sms.cgi,Npr.. smsgateway.com / api / send_sms.cgi
Email,E-mail
Email (By company),E-mail (Po mjestu)
Email Digest,E-pošta
Email Digest Settings,E-pošta Postavke
Email Host,E-mail Host
Email Id,E-mail ID
"Email Id must be unique, already exists for: ","E-mail Id mora biti jedinstven, već postoji za:"
"Email Id where a job applicant will email e.g. ""jobs@example.com""",E-mail Id gdje posao zahtjeva će e-mail npr. &quot;jobs@example.com&quot;
Email Login,E-mail Prijava
Email Password,E-mail Lozinka
Email Sent,E-mail poslan
Email Sent?,E-mail poslan?
Email Settings,Postavke e-pošte
Email Settings for Outgoing and Incoming Emails.,Postavke e-pošte za odlazne i dolazne e-pošte.
Email Signature,E-mail potpis
Email Use SSL,Pošaljite Use
"Email addresses, separted by commas","E-mail adrese, separted zarezom"
Email ids separated by commas.,E-mail ids odvojene zarezima.
"Email settings for jobs email id ""jobs@example.com""",E-mail postavke za poslove email id &quot;jobs@example.com&quot;
"Email settings to extract Leads from sales email id e.g. ""sales@example.com""",E-mail postavke za izdvajanje vodi od prodaje email id npr. &quot;sales@example.com&quot;
Email...,E-mail ...
Embed image slideshows in website pages.,Postavi slikovne prezentacije u web stranicama.
Emergency Contact Details,Hitna Kontaktni podaci
Emergency Phone Number,Hitna Telefonski broj
Employee,Zaposlenik
Employee Birthday,Zaposlenik Rođendan
Employee Designation.,Zaposlenik Imenovanje.
Employee Details,Zaposlenih Detalji
Employee Education,Zaposlenik Obrazovanje
Employee External Work History,Zaposlenik Vanjski Rad Povijest
Employee Information,Zaposlenik informacije
Employee Internal Work History,Zaposlenik Unutarnji Rad Povijest
Employee Internal Work Historys,Zaposlenih unutarnji rad Historys
Employee Leave Approver,Zaposlenik dopust Odobritelj
Employee Leave Balance,Zaposlenik napuste balans
Employee Name,Zaposlenik Ime
Employee Number,Zaposlenik Broj
Employee Records to be created by,Zaposlenik Records bi se stvorili
Employee Setup,Zaposlenik konfiguracija
Employee Type,Zaposlenik Tip
Employee grades,Zaposlenih razreda
Employee record is created using selected field. ,Zaposlenika rekord je stvorio pomoću odabranog polja.
Employee records.,Zaposlenih evidencija.
Employee: ,Zaposlenik:
Employees Email Id,Zaposlenici Email ID
Employment Details,Zapošljavanje Detalji
Employment Type,Zapošljavanje Tip
Enable Auto Inventory Accounting,Omogućite Računovodstvo zaliha Auto
Enable Shopping Cart,Omogućite Košarica
Enabled,Omogućeno
Enables <b>More Info.</b> in all documents,Omogućuje <b>Vise Informacija.</b> U svim dokumentima
Encashment Date,Encashment Datum
End Date,Datum završetka
End date of current invoice's period,Kraj datum tekućeg razdoblja dostavnice
End of Life,Kraj života
Ends on,Završava
Enter Email Id to receive Error Report sent by users.E.g.: support@iwebnotes.com,Unesite Email ID primiti izvješće o pogrešci poslao users.Eg: support@iwebnotes.com
Enter Form Type,Unesite Obrazac Vid
Enter Row,Unesite Row
Enter Verification Code,Unesite kod za provjeru
Enter campaign name if the source of lead is campaign.,Unesite naziv kampanje ukoliko izvor olova je kampanja.
"Enter default value fields (keys) and values. If you add multiple values for a field, the first one will be picked. These defaults are also used to set ""match"" permission rules. To see list of fields, go to <a href=""#Form/Customize Form/Customize Form"">Customize Form</a>.","Unesite polja zadane vrijednosti (ključevi) i vrijednosti. Ako ste dodali više vrijednosti za polje, prvi će se podići. Ove postavke su također koristi za postavljanje &quot;match&quot; dozvola pravila. Da biste vidjeli popis polja, idite na <a href=""#Form/Customize Form/Customize Form"">Prilagodi obrazac</a> ."
Enter department to which this Contact belongs,Unesite odjel na koji se ovaj Kontakt pripada
Enter designation of this Contact,Upišite oznaku ove Kontakt
"Enter email id separated by commas, invoice will be mailed automatically on particular date","Unesite e-mail ID odvojena zarezima, račun će automatski biti poslan na određeni datum"
Enter items and planned qty for which you want to raise production orders or download raw materials for analysis.,Unesite stavke i planirani Količina za koje želite povećati proizvodne naloge ili preuzimanje sirovine za analizu.
Enter name of campaign if source of enquiry is campaign,"Unesite naziv kampanje, ako je izvor upit je kampanja"
"Enter static url parameters here (Eg. sender=ERPNext, username=ERPNext, password=1234 etc.)","Unesite statičke parametre URL ovdje (npr. pošiljatelj = ERPNext, username = ERPNext, lozinkom = 1234 itd.)"
Enter the company name under which Account Head will be created for this Supplier,Unesite naziv tvrtke pod kojima računa Voditelj će biti stvoren za tu dobavljača
Enter the date by which payments from customer is expected against this invoice.,Unesite datum do kojeg isplate kupca se očekuje protiv ovog računa.
Enter url parameter for message,Unesite URL parametar za poruke
Enter url parameter for receiver nos,Unesite URL parametar za prijemnike br
Entries,Prijave
Entries are not allowed against this Fiscal Year if the year is closed.,"Prijave nisu dozvoljeni protiv ove fiskalne godine, ako se godina zatvoren."
Error,Pogreška
Error for,Pogreška za
Error: Document has been modified after you have opened it,Pogreška: Dokument je promijenjen nakon što ste ga otvorili
Estimated Material Cost,Procjena troškova materijala
Event,Događaj
Event End must be after Start,Događaj Kraj mora biti nakon početnog
Event Individuals,Događaj Pojedinci
Event Role,Događaj Uloga
Event Roles,Događaj Uloge
Event Type,Vrsta događaja
Event User,Događaj Upute
Events In Today's Calendar,Događanja u današnjem kalendaru
Every Day,Svaki dan
Every Month,Svaki mjesec
Every Week,Svaki tjedan
Every Year,Svaki Godina
Everyone can read,Svatko može pročitati
Example:,Primjer:
Exchange Rate,Tečaj
Excise Page Number,Trošarina Broj stranice
Excise Voucher,Trošarina bon
Exemption Limit,Izuzeće granica
Exhibition,Izložba
Existing Customer,Postojeći Kupac
Exit,Izlaz
Exit Interview Details,Izlaz Intervju Detalji
Expected,Očekivana
Expected Delivery Date,Očekivani rok isporuke
Expected End Date,Očekivani Datum završetka
Expected Start Date,Očekivani datum početka
Expense Account,Rashodi račun
Expense Account is mandatory,Rashodi račun je obvezna
Expense Claim,Rashodi polaganja
Expense Claim Approved,Rashodi Zahtjev odobren
Expense Claim Approved Message,Rashodi Zahtjev Odobren poruku
Expense Claim Detail,Rashodi Zahtjev Detalj
Expense Claim Details,Rashodi Pojedinosti o polaganju
Expense Claim Rejected,Rashodi Zahtjev odbijen
Expense Claim Rejected Message,Rashodi Zahtjev odbijen poruku
Expense Claim Type,Rashodi Vrsta polaganja
Expense Date,Rashodi Datum
Expense Details,Rashodi Detalji
Expense Head,Rashodi voditelj
Expense account is mandatory for item: ,Rashodi račun je obvezna za stavke:
Expense/Adjustment Account,Rashodi / Prilagodba račun
Expenses Booked,Rashodi Rezervirani
Expenses Included In Valuation,Troškovi uključeni u vrednovanje
Expenses booked for the digest period,Troškovi rezerviranih za razdoblje digest
Expiry Date,Datum isteka
Export,Izvoz
Exports,Izvoz
External,Vanjski
Extract Emails,Ekstrakt e-pošte
FCFS Rate,FCFS Stopa
FIFO,FIFO
Facebook Share,Facebook Share
Failed: ,Nije uspjelo:
Family Background,Obitelj Pozadina
FavIcon,Favicon
Fax,Fax
Features Setup,Značajke konfiguracija
Feed,Hraniti
Feed Type,Pasi Vid
Feedback,Povratna veza
Female,Ženski
Fetch lead which will be converted into customer.,Fetch vodstvo koje će se pretvoriti u kupca.
Field Description,Opis polja
Field Name,Naziv polja
Field Type,Vrsta polja
"Field available in Delivery Note, Quotation, Sales Invoice, Sales Order","Polje dostupan u otpremnicu, ponudu, prodaje fakture, prodaja reda"
"Field that represents the Workflow State of the transaction (if field is not present, a new hidden Custom Field will be created)","Područje koje predstavlja tijeka državu transakcije (ako polje nije prisutan, novi skriveno Custom Field će biti stvoren)"
Fieldname,"Podataka, Naziv Polja"
Fields,Polja
"Fields separated by comma (,) will be included in the<br /><b>Search By</b> list of Search dialog box","Polja odvojene zarezom (,) će biti uključen u <br /> <b>Traži po</b> popisu Pretraživanje dijaloškom okviru"
File,File
File Data,File Podaci
File Name,File Name
File Size,Veličina
File URL,URL datoteke
File size exceeded the maximum allowed size,Veličina premašila maksimalnu dopuštenu veličinu
Files Folder ID,Files ID
Filing in Additional Information about the Opportunity will help you analyze your data better.,Podnošenje u dodatne informacije o Prilika će vam pomoći da analizirati podatke bolje.
Filing in Additional Information about the Purchase Receipt will help you analyze your data better.,Podnošenje u dodatne informacije o kupoprodaji prijemu će vam pomoći da analizirati podatke bolje.
Filling in Additional Information about the Delivery Note will help you analyze your data better.,Ispunjavanje Dodatne informacije o otpremnici će vam pomoći da analizirati podatke bolje.
Filling in additional information about the Quotation will help you analyze your data better.,Ispunjavanje dodatne informacije o kotaciju će vam pomoći da analizirati podatke bolje.
Filling in additional information about the Sales Order will help you analyze your data better.,Ispunjavanje dodatne informacije o prodaji Reda će vam pomoći da analizirati podatke bolje.
Filter,Filter
Filter By Amount,Filtriraj po visini
Filter By Date,Filter By Date
Filter based on customer,Filter temelji se na kupca
Filter based on item,Filtrirati na temelju točki
Final Confirmation Date,Konačna potvrda Datum
Financial Analytics,Financijski Analytics
Financial Statements,Financijska izvješća
First Name,Ime
First Responded On,Prvo Odgovorili Na
Fiscal Year,Fiskalna godina
Fixed Asset Account,Dugotrajne imovine račun
Float,Plutati
Float Precision,Float Precision
Follow via Email,Slijedite putem e-maila
Following Journal Vouchers have been created automatically,Nakon Časopis bon stvoreni su automatski
"Following table will show values if items are sub - contracted. These values will be fetched from the master of ""Bill of Materials"" of sub - contracted items.",Nakon stol će pokazati vrijednosti ako su stavke pod - ugovoreno. Ove vrijednosti će biti preuzeta od zapovjednika &quot;Bill of Materials&quot; pod - ugovoreni stavke.
Font (Heading),Font (Heading)
Font (Text),Font (Tekst)
Font Size (Text),Veličina fonta (Tekst)
Fonts,Fontovi
Footer,Footer
Footer Items,Footer Proizvodi
For All Users,Za sve korisnike
For Company,Za tvrtke
For Employee,Za zaposlenom
For Employee Name,Za ime zaposlenika
For Item ,Za točku
"For Links, enter the DocType as rangeFor Select, enter list of Options separated by comma","Za Linkovi, unesite DOCTYPE kao rangeFor Select, unesite popisu opcija odvojenih zarezom"
For Production,Za proizvodnju
For Reference Only.,Samo za referencu.
For Sales Invoice,Za prodaju fakture
For Server Side Print Formats,Za Server formati stranom za ispis
For Territory,Za Territory
For UOM,Za UOM
For Warehouse,Za galeriju
"For comparative filters, start with","Za komparativne filtera, početi s"
"For e.g. 2012, 2012-13","Za npr. 2012, 2012-13"
For example if you cancel and amend 'INV004' it will become a new document 'INV004-1'. This helps you to keep track of each amendment.,"Na primjer, ako ste odustali i dopune &#39;INV004&#39; postat će novi dokument &#39;INV004-1&#39;. To vam pomaže pratiti svaku izmjenu i dopunu."
For example: You want to restrict users to transactions marked with a certain property called 'Territory',Na primjer: Vi želite ograničiti korisnike transakcija označena s određenom objektu koji se zove &#39;teritorij&#39;
For opening balance entry account can not be a PL account,Za otvaranje računa bilance ulaz ne može biti PL račun
For ranges,Za raspone
For reference,Za referencu
For reference only.,Za samo kao referenca.
For row,Za zaredom
"For the convenience of customers, these codes can be used in print formats like Invoices and Delivery Notes","Za praktičnost kupaca, te kodovi mogu se koristiti u tiskanim formata kao što su fakture i otpremnice"
Form,Oblik
Format: hh:mm example for one hour expiry set as 01:00. Max expiry will be 72 hours. Default is 24 hours,Format: hh: mm primjer za jedan sat isteka postavljen kao 01:00. Maks isteka će biti 72 sati. Default je 24 sati
Forum,Forum
Fraction,Frakcija
Fraction Units,Frakcije Jedinice
Freeze Stock Entries,Zamrzavanje Stock Unosi
Friday,Petak
From,Od
From Bill of Materials,Od Bill of Materials
From Company,Iz Društva
From Currency,Od novca
From Currency and To Currency cannot be same,Od valute i valuta ne mogu biti isti
From Customer,Od kupca
From Date,Od datuma
From Date must be before To Date,Od datuma mora biti prije do danas
From Delivery Note,Od otpremnici
From Employee,Od zaposlenika
From Lead,Od Olovo
From PR Date,Iz PR Datum
From Package No.,Iz paketa broj
From Purchase Order,Od narudžbenice
From Purchase Receipt,Od Račun kupnje
From Sales Order,Od prodajnog naloga
From Time,S vremena
From Value,Od Vrijednost
From Value should be less than To Value,Iz vrijednost treba biti manja od vrijednosti za
Frozen,Zaleđeni
Fulfilled,Ispunjena
Full Name,Ime i prezime
Fully Completed,Potpuno Završeni
GL Entry,GL Stupanje
GL Entry: Debit or Credit amount is mandatory for ,GL Ulaz: debitna ili kreditna iznos je obvezno za
GRN,GRN
Gantt Chart,Gantogram
Gantt chart of all tasks.,Gantogram svih zadataka.
Gender,Rod
General,Opći
General Ledger,Glavna knjiga
Generate Description HTML,Generiranje Opis HTML
Generate Material Requests (MRP) and Production Orders.,Generirajte Materijal Upiti (MRP) i radne naloge.
Generate Salary Slips,Generiranje plaće gaćice
Generate Schedule,Generiranje Raspored
"Generate packing slips for packages to be delivered. Used to notify package number, package contents and its weight.","Generirajte pakiranje gaćice za pakete koji će biti isporučen. Rabljeni obavijestiti paket broj, sadržaj paketa i njegovu težinu."
Generates HTML to include selected image in the description,Stvara HTML uključuju odabrane slike u opisu
Georgia,Gruzija
Get,Dobiti
Get Advances Paid,Nabavite plaćenim avansima
Get Advances Received,Get Napredak pozicija
Get Current Stock,Nabavite trenutne zalihe
Get From ,Nabavite Od
Get Items,Nabavite artikle
Get Items From Sales Orders,Get artikle iz narudžbe
Get Last Purchase Rate,Nabavite Zadnji Ocijeni Kupnja
Get Non Reconciled Entries,Get Non pomirio tekstova
Get Outstanding Invoices,Nabavite neplaćene račune
Get Purchase Receipt,Get Kupnja Račun
Get Sales Orders,Nabavite narudžbe
Get Specification Details,Nabavite Specifikacija Detalji
Get Stock and Rate,Nabavite Stock i stopa
Get Template,Nabavite predloška
Get Terms and Conditions,Nabavite Uvjeti i pravila
Get Weekly Off Dates,Nabavite Tjedno Off datumi
"Get valuation rate and available stock at source/target warehouse on mentioned posting date-time. If serialized item, please press this button after entering serial nos.","Nabavite stopa za vrednovanje i dostupni zaliha na izvor / cilj skladištu na spomenuti datum knjiženja radno vrijeme. Ako serijaliziranom stavku, molimo pritisnite ovu tipku nakon ulaska serijskih brojeva."
Give additional details about the indent.,Daj dodatne pojedinosti o alineje.
Global Defaults,Globalni Zadano
Go back to home,Vrati se kući
Go to Setup > <a href='#user-properties'>User Properties</a> to set \			'territory' for diffent Users.,Idite na Setup&gt; <a href='#user-properties'>Svojstva korisnika</a> za postavljanje \ &#39;teritorij&#39; za diffent korisnike.
Goal,Cilj
Goals,Golovi
Goods received from Suppliers.,Roba dobio od dobavljače.
Google Analytics ID,Google Analytics ID
Google Drive,Google Drive
Google Drive Access Allowed,Google Drive Pristup dopuštenih
Google Plus One,Google Plus One
Google Web Font (Heading),Google Web Font (Heading)
Google Web Font (Text),Google Web Font (Tekst)
Grade,Razred
Graduate,Diplomski
Grand Total,Sveukupno
Grand Total (Company Currency),Sveukupno (Društvo valuta)
Gratuity LIC ID,Poklon LIC ID
Gross Margin %,Bruto marža%
Gross Margin Value,Bruto marža vrijednost
Gross Pay,Bruto plaće
Gross Pay + Arrear Amount +Encashment Amount - Total Deduction,Bruto plaće + + zaostatak Iznos Iznos Encashment - Ukupno Odbitak
Gross Profit,Ukupan profit
Gross Profit (%),Bruto dobit (%)
Gross Weight,Bruto težina
Gross Weight UOM,Bruto težina UOM
Group,Grupa
Group or Ledger,Grupa ili knjiga
Groups,Grupe
HR,HR
HR Settings,HR Postavke
HTML,HTML
HTML / Banner that will show on the top of product list.,HTML / bannera koji će se prikazivati ​​na vrhu liste proizvoda.
Half Day,Pola dana
Half Yearly,Pola Godišnji
Half-yearly,Polugodišnje
Has Batch No,Je Hrpa Ne
Has Child Node,Je li čvor dijete
Has Serial No,Ima Serial Ne
Header,Kombajn
Heading,Naslov
Heading Text As,Naslov teksta koji je
Heads (or groups) against which Accounting Entries are made and balances are maintained.,Šefovi (ili skupine) protiv kojih Računovodstvo upisi su izrađene i sredstva su održavani.
Health Concerns,Zdravlje Zabrinutost
Health Details,Zdravlje Detalji
Held On,Održanoj
Help,Pomoći
Help HTML,Pomoć HTML
"Help: To link to another record in the system, use ""#Form/Note/[Note Name]"" as the Link URL. (don't use ""http://"")","Pomoć: Za povezivanje na drugi zapis u sustavu, koristite &quot;# Forma / Napomena / [Napomena ime]&quot; kao URL veze. (Ne koristite &quot;http://&quot;)"
Helvetica Neue,Helvetica Neue
"Hence, maximum allowed Manufacturing Quantity","Dakle, maksimalno dopuštena količina proizvodnje"
"Here you can maintain family details like name and occupation of parent, spouse and children","Ovdje možete održavati obiteljske pojedinosti kao što su ime i okupacije roditelja, supružnika i djecu"
"Here you can maintain height, weight, allergies, medical concerns etc","Ovdje možete održavati visina, težina, alergije, medicinske brige itd."
Hey there! You need to put at least one item in \				the item table.,Hej tamo! Vi trebate da stavite barem jednu stavku u \ tablicu artikala.
Hey! All these items have already been invoiced.,Hej! Svi ti predmeti su već fakturirana.
Hey! There should remain at least one System Manager,Hej! Tu bi trebao ostati barem jedan Manager sustav
Hidden,Skriven
Hide Actions,Sakrij Akcije
Hide Copy,Sakrij Copy
Hide Currency Symbol,Sakrij simbol valute
Hide Email,Sakrij e
Hide Heading,Sakrij Naslov
Hide Print,Sakrij Ispis
Hide Toolbar,Sakrij alatne trake
High,Visok
Highlight,Istaknuti
History,Povijest
History In Company,Povijest U Društvu
Hold,Držati
Holiday,Odmor
Holiday List,Turistička Popis
Holiday List Name,Turistička Popis Ime
Holidays,Praznici
Home,Dom
Home Page,Početna stranica
Home Page is Products,Početna stranica je proizvodi
Home Pages,Početna stranica
Host,Domaćin
"Host, Email and Password required if emails are to be pulled","Domaćin, e-mail i lozinka potrebni ako e-mailove su se izvukao"
Hour Rate,Sat Ocijenite
Hour Rate Consumable,Sat Ocijenite Potrošni
Hour Rate Electricity,Sat Ocijenite Struja
Hour Rate Labour,Sat Ocijenite rada
Hour Rate Rent,Sat Ocijenite Najam
Hours,Sati
How frequently?,Kako često?
"How should this currency be formatted? If not set, will use system defaults","Kako bi se to valuta biti formatiran? Ako nije postavljeno, koristit će zadane postavke sustava"
How to upload,Kako prenijeti
Hrvatski,Hrvatski
Human Resources,Ljudski resursi
Hurray! The day(s) on which you are applying for leave \					coincide with holiday(s). You need not apply for leave.,Ura! Dan (e) na koje se prijavljuje za ostaviti \ podudara s odmora (s). Vi ne trebate podnijeti zahtjev za dopust.
I,Ja
ID (name) of the entity whose property is to be set,ID (ime) subjekta čiji je objekt se postaviti
IDT,IDT
II,II
III,III
IN,U
INV,INV
INV/10-11/,INV/10-11 /
ITEM,ITEM
IV,IV
Icon,Ikona
Icon will appear on the button,Ikona će se pojaviti na gumb
Id of the profile will be the email.,Id profilu će biti e-mail.
Identification of the package for the delivery (for print),Identifikacija paketa za dostavu (za tisak)
If Income or Expense,Ako prihoda i rashoda
If Monthly Budget Exceeded,Ako Mjesečni proračun Exceeded
"If Sale BOM is defined, the actual BOM of the Pack is displayed as table.Available in Delivery Note and Sales Order","Ako Prodaja BOM definiran, stvarna BOM od Pack prikazuje se kao table.Available u otpremnici i prodajnog naloga"
"If Supplier Part Number exists for given Item, it gets stored here","Ako Dobavljač Broj dijela postoji za određeni predmet, to dobiva pohranjen ovdje"
If Yearly Budget Exceeded,Ako Godišnji proračun Exceeded
"If a User does not have access at Level 0, then higher levels are meaningless","Ako korisnik ne imati pristup na razini 0, onda je viša razina su besmislene"
"If checked, BOM for sub-assembly items will be considered for getting raw materials. Otherwise, all sub-assembly items will be treated as a raw material.","Ako je označeno, BOM za pod-zbor stavke će biti uzeti u obzir za dobivanje sirovine. Inače, sve pod-montaža stavke će biti tretirani kao sirovinu."
"If checked, Total no. of Working Days will include holidays, and this will reduce the value of Salary Per Day","Ako je označeno, Ukupan broj. radnih dana će uključiti odmor, a to će smanjiti vrijednost plaća po danu"
"If checked, all other workflows become inactive.","Ako je označeno, svi ostali tijekovi postaju neaktivne."
"If checked, an email with an attached HTML format will be added to part of the EMail body as well as attachment. To only send as attachment, uncheck this.","Ako je označeno, e-mail s priloženom HTML formatu će biti dodan u dijelu u tijelo, kao i privrženosti. Za samo poslati kao privitak, isključite ovu."
"If checked, the Home page will be the default Item Group for the website.","Ako je označeno, stranica Home će biti zadana Grupa za web stranice predmeta."
"If checked, the tax amount will be considered as already included in the Print Rate / Print Amount","Ako je označeno, iznos poreza će se smatrati već uključena u Print Rate / Ispis Iznos"
"If disable, 'Rounded Total' field will not be visible in any transaction","Ako onemogućite, &#39;Ukupno&#39; Zaobljeni polje neće biti vidljiv u bilo kojoj transakciji"
"If enabled, the system will post accounting entries for inventory automatically.","Ako je omogućeno, sustav će objaviti računovodstvene stavke za popis automatski."
"If image is selected, color will be ignored (attach first)","Ako je slika odabrana, boja će biti ignoriran (priložiti prvi)"
If more than one package of the same type (for print),Ako je više od jedan paket od iste vrste (za tisak)
If non standard port (e.g. 587),Ako ne standardni ulaz (npr. 587)
If not applicable please enter: NA,Ako ne odnosi unesite: NA
"If not checked, the list will have to be added to each Department where it has to be applied.","Ako nije označeno, popis će biti dodan u svakom odjela gdje se mora primjenjivati."
"If not, create a","Ako ne, stvoriti"
"If set, data entry is only allowed for specified users. Else, entry is allowed for all users with requisite permissions.","Ako skup, unos podataka je dopušteno samo za određene korisnike. Inače, ulaz je dozvoljen za sve korisnike sa potrebnim dozvolama."
"If specified, send the newsletter using this email address","Ako je navedeno, pošaljite newsletter koristeći ovu e-mail adresu"
"If the 'territory' Link Field exists, it will give you an option to select it","Ako &#39;teritoriju&#39; Link Polje postoji, to će vam dati mogućnost da ga odabrali"
"If the account is frozen, entries are allowed for the ""Account Manager"" only.","Ako je račun zamrznut, unosi su dozvoljeni za &quot;Account Manager&quot; jedini."
"If this Account represents a Customer, Supplier or Employee, set it here.","Ako se to računa predstavlja kupac, dobavljač ili zaposlenik, postavite ga ovdje."
If you follow Quality Inspection<br>Enables item QA Required and QA No in Purchase Receipt,Ako slijedite Inspekcija kvalitete <br> Omogućuje stavku QA potrebno i QA nema u kupoprodaji primitka
If you have Sales Team and Sale Partners (Channel Partners)  they can be tagged and maintain their contribution in the sales activity,Ako imate prodajnog tima i prodaja partnerima (partneri) mogu biti označene i održavati svoj doprinos u prodajne aktivnosti
"If you have created a standard template in Purchase Taxes and Charges Master, select one and click on the button below.","Ako ste stvorili standardni predložak za kupnju poreze i pristojbe magisterij, odaberite jednu i kliknite na gumb ispod."
"If you have created a standard template in Sales Taxes and Charges Master, select one and click on the button below.","Ako ste stvorili standardni predložak u prodaji poreze i pristojbe magisterij, odaberite jednu i kliknite na gumb ispod."
"If you have long print formats, this feature can be used to split the page to be printed on multiple pages with all headers and footers on each page","Ako ste dugo ispis formata, ova značajka može se koristiti za podijeliti stranicu na koju se ispisuje više stranica sa svim zaglavljima i podnožjima na svakoj stranici"
If you involve in manufacturing activity<br>Enables item <b>Is Manufactured</b>,Ako uključiti u proizvodnju aktivnosti <br> Omogućuje predmet <b>je proizveden</b>
Ignore,Ignorirati
Ignored: ,Zanemareni:
Image,Slika
Image Link,Slika Link
Image View,Slika Pogledaj
Implementation Partner,Provedba partner
Import,Uvoz
Import Attendance,Uvoz posjećenost
Import Log,Uvoz Prijavite
Important dates and commitments in your project life cycle,Važni datumi i obveze u svoj ciklus projekta života
Imports,Uvoz
In Dialog,U Dialog
In Filter,U filtru
In Hours,U sati
In List View,U prikazu popisa
In Process,U procesu
In Report Filter,U Prijavi Filter
In Row,U nizu
In Store,U trgovini
In Words,U riječi
In Words (Company Currency),U riječi (Društvo valuta)
In Words (Export) will be visible once you save the Delivery Note.,U riječi (izvoz) će biti vidljiv nakon što spremite otpremnici.
In Words will be visible once you save the Delivery Note.,U riječi će biti vidljiv nakon što spremite otpremnici.
In Words will be visible once you save the Purchase Invoice.,U riječi će biti vidljiv nakon što spremite ulazne fakture.
In Words will be visible once you save the Purchase Order.,U riječi će biti vidljiv nakon što spremite narudžbenice.
In Words will be visible once you save the Purchase Receipt.,U riječi će biti vidljiv nakon što spremite kupiti primitka.
In Words will be visible once you save the Quotation.,U riječi će biti vidljiv nakon što spremite ponudu.
In Words will be visible once you save the Sales Invoice.,U riječi će biti vidljiv nakon što spremite prodaje fakture.
In Words will be visible once you save the Sales Order.,U riječi će biti vidljiv nakon što spremite prodajnog naloga.
In response to,U odgovoru na
"In the Permission Manager, click on the button in the 'Condition' column for the Role you want to restrict.","U dozvole Manager, kliknite na gumb u &#39;hotela&#39; stupcu za ulogu želite ograničiti."
Incentives,Poticaji
Incharge Name,Incharge Name
Include holidays in Total no. of Working Days,Uključi odmor u ukupnom. radnih dana
Income / Expense,Prihodi / rashodi
Income Account,Prihodi račun
Income Booked,Prihodi Rezervirani
Income Year to Date,Prihodi godine do danas
Income booked for the digest period,Prihodi rezervirano za razdoblje digest
Incoming,Dolazni
Incoming / Support Mail Setting,Dolazni / Podrška Mail Podešavanje
Incoming Rate,Dolazni Stopa
Incoming Time,Dolazni Vrijeme
Incoming quality inspection.,Dolazni kvalitete inspekcije.
Index,Indeks
Indicates that the package is a part of this delivery,Ukazuje na to da je paket dio ovog poroda
Individual,Pojedinac
Individuals,Pojedinci
Industry,Industrija
Industry Type,Industrija Tip
Info,Info
Insert After,Umetni Nakon
Insert Below,Umetnite Ispod
Insert Code,Umetnite kod
Insert Row,Umetnite Row
Insert Style,Umetni stil
Inspected By,Pregledati
Inspection Criteria,Inspekcijski Kriteriji
Inspection Required,Inspekcija Obvezno
Inspection Type,Inspekcija Tip
Installation Date,Instalacija Datum
Installation Note,Instalacija Napomena
Installation Note Item,Instalacija Napomena artikla
Installation Status,Instalacija Status
Installation Time,Instalacija Vrijeme
Installation record for a Serial No.,Instalacija rekord za serijski broj
Installed Qty,Instalirani Kol
Instructions,Instrukcije
Int,Interesi
Integrations,Integracije
Interested,Zainteresiran
Internal,Interni
Introduce your company to the website visitor.,Uvesti svoju tvrtku za web stranice posjetitelja.
Introduction,Uvod
Introductory information for the Contact Us Page,Uvodni podaci za kontaktiranje stranice
Invalid Delivery Note. Delivery Note should exist and should be in 				draft state. Please rectify and try again.,Nevažeći Otpremnica. Otpremnica mora postojati i treba biti u stanju nacrta. Molimo ispraviti i pokušajte ponovno.
Invalid Email,Nevažeći Email
Invalid Email Address,Neispravan e-mail adresu
Invalid Item or Warehouse Data,Nevalja ili skladište podataka
Invalid Leave Approver,Nevažeći Ostavite Odobritelj
Inventory,Inventar
Inverse,Inverzan
Invoice Date,Račun Datum
Invoice Details,Pojedinosti dostavnice
Invoice No,Račun br
Invoice Period From Date,Račun Razdoblje od datuma
Invoice Period To Date,Račun razdoblju do datuma
Is Active,Je aktivna
Is Advance,Je Predujam
Is Asset Item,Je imovinom artikla
Is Cancelled,Je Otkazan
Is Carry Forward,Je Carry Naprijed
Is Child Table,Je Dijete Tablica
Is Default,Je Default
Is Encash,Je li unovčiti
Is LWP,Je lwp
Is Mandatory Field,Je Obvezno polje
Is Opening,Je Otvaranje
Is Opening Entry,Je Otvaranje unos
Is PL Account,Je PL račun
Is POS,Je POS
Is Primary Contact,Je Primarna Kontakt
Is Purchase Item,Je Kupnja artikla
Is Sales Item,Je Prodaja artikla
Is Service Item,Je li usluga artikla
Is Single,Je Samac
Is Standard,Je Standardni
Is Stock Item,Je kataloški artikla
Is Sub Contracted Item,Je Sub Ugovoreno artikla
Is Subcontracted,Je podugovarati
Is Submittable,Je Submittable
Is it a Custom DocType created by you?,Je li Custom DOCTYPE stvorio vas?
Is this Tax included in Basic Rate?,Je li ovo pristojba uključena u osnovne stope?
Issue,Izdanje
Issue Date,Datum izdavanja
