(Half Day),(Halber Tag)
DocType Mapper,DocType Mapper
DocType is a Table / Form in the application.,DocType ist eine Tabelle / Formular in der Anwendung.
DocType on which this Workflow is applicable.,"DOCTYPE, auf denen diese Workflow-anwendbar ist."
DocType or Field,DocType oder Field
Document,Dokument
Document Description,Document Beschreibung
Document Status transition from,Document Status Übergang von
Document Type,Document Type
Document is only editable by users of role,Dokument ist nur editierbar Nutzer Rolle
Document to rename,Dokumentieren Sie umbenennen
Documentation,Dokumentation
Documents,Unterlagen
Domain List,Domain-Liste
Download Backup,Download von Backup
Download Materials Required,Herunterladen benötigte Materialien
Download Template,Vorlage herunterladen
Download a report containing all raw materials with their latest inventory status,Laden Sie einen Bericht mit allen Rohstoffen mit ihren neuesten Inventar Status
Draft,Entwurf
Drafts,Dame
Drag to sort columns,Ziehen Sie Spalten sortieren
Due Date,Due Date
Duration,Dauer
EMP/,EMP /
ESIC CARD No,ESIC CARD Nein
ESIC No.,ESIC Nr.
Earning,Earning
Earning & Deduction,Earning & Abzug
Earning Type,Earning Typ
Earning1,Earning1
Edit,Bearbeiten
Editable,Editable
Educational Qualification,Educational Qualifikation
Educational Qualification Details,Educational Qualifikation Einzelheiten
Eg. smsgateway.com/api/send_sms.cgi,Eg. smsgateway.com / api / send_sms.cgi
Eligible Amount,Anrechnungsbetrag
Email,E-Mail
Email (By company),Email (nach Unternehmen)
Email Digest,Email Digest
Email Digest Settings,Email Digest Einstellungen
Email Host,E-Mail-Host
Email Id,Email Id
"Email Id must be unique, already exists for: ","Email Id muss eindeutig sein, bereits für:"
"Email Id where a job applicant will email e.g. ""jobs@example.com""","Email Id, wo ein Bewerber beispielsweise per E-Mail wird ""Jobs@example.com"""
Email Login,E-Mail Anmelden
Email Password,E-Mail Passwort
Email Sent,E-Mail gesendet
Email Sent?,E-Mail gesendet?
Email Settings,E-Mail-Einstellungen
Email Settings for Outgoing and Incoming Emails.,E-Mail-Einstellungen für ausgehende und eingehende E-Mails.
Email Signature,E-Mail Signatur
Email Use SSL,E-Mail verwenden SSL
"Email addresses, separted by commas",E-Mail-Adressen durch Komma separted
"Email settings for jobs email id ""jobs@example.com""","E-Mail-Einstellungen für Jobs email id ""jobs@example.com"""
"Email settings to extract Leads from sales email id e.g. ""sales@example.com""","E-Mail-Einstellungen zu extrahieren Leads aus dem Verkauf email id zB ""Sales@example.com"""
Embed image slideshows in website pages.,Einbetten Bild Diashows in Web-Seiten.
Emergency Contact Details,Notfall Kontakt
Emergency Phone Number,Notrufnummer
Employee,Mitarbeiter
Employee Designation.,Mitarbeiter Bezeichnung.
Employee Details,Mitarbeiterdetails
Employee Education,Mitarbeiterschulung
Employee External Work History,Mitarbeiter Externe Arbeit Geschichte
Employee Internal Work History,Mitarbeiter Interner Arbeitsbereich Geschichte
Employee Internal Work Historys,Mitarbeiter Interner Arbeitsbereich Historys
Employee Name,Name des Mitarbeiters
Employee Number,Mitarbeiternummer
Employee Records to be created by,Mitarbeiter Records erstellt werden
Employee Setup,Mitarbeiter-Setup
Employee Training,Mitarbeiterschulung
Employee Type,Arbeitnehmertyp
Employee grades,Mitarbeiter-Typen
Employee record is created using selected field.,Mitarbeiter Datensatz erstellt anhand von ausgewählten Feld.
Employee records.,Mitarbeiter-Datensätze.
Employees Email Id,Mitarbeiter Email Id
Employment Details,Beschäftigung Einzelheiten
Employment Type,Beschäftigungsart
Enable / disable currencies.,Aktivieren / Deaktivieren der Währungen.
Enabled,Aktiviert
Enables <b>More Info.</b> in all documents,Ermöglicht <b> Mehr Info. </ B> in alle Dokumente
Encashment Date,Inkasso Datum
End Date,Enddatum
End date of current invoice's period,Ende der laufenden Rechnung der Zeit
End of Life,End of Life
Ends on,Endet am
Enter Email Id to receive Error Report sent by users.E.g.: support@iwebnotes.com,Ihre Email-Id Fehler Bericht users.Eg geschickt bekommen: support@iwebnotes.com
Enter Form Type,Geben Formulartyp
Enter Row,Geben Row
Enter campaign name if the source of lead is campaign.,"Geben Sie Namen der Kampagne, wenn die Quelle von Blei-Kampagne."
"Enter default value fields (keys) and values. If you add multiple values for a field, the first one will be picked. These defaults are also used to set ""match"" permission rules. To see list of fields, go to <a href=""#Form/Customize Form/Customize Form"">Customize Form</a>.","Geben Standardwert Felder (keys) und Werten. Wenn Sie mehrere Werte für ein Feld hinzufügen, wird die erste abgeholt werden. Diese Standardwerte werden auch verwendet, um ""match"" permission Regeln. Um eine Liste der Felder zu sehen, <a gehen href=""#Form/Customize Form/Customize Form""> Formular anpassen </ a>."
Enter department to which this Contact belongs,"Geben Abteilung, auf die diese Kontakt gehört"
Enter designation of this Contact,Geben Bezeichnung dieser Kontakt
"Enter domain names associated to this website, each on a new line","Geben Sie Domain-Namen verbunden mit dieser Website, die jeweils auf einer neuen Zeile"
"Enter email id separated by commas, invoice will be mailed automatically on particular date","Geben Sie E-Mail-ID durch Kommata getrennt, wird Rechnung automatisch auf bestimmte Zeitpunkt zugeschickt"
Enter items and planned qty for which you want to raise production orders or download raw materials for analysis.,Geben Sie die Posten und geplante Menge für die Sie Fertigungsaufträge erhöhen oder downloaden Rohstoffe für die Analyse.
Enter message,Geben Sie eine Nachricht
Enter name of campaign if source of enquiry is campaign,"Geben Sie den Namen der Kampagne, wenn die Quelle der Anfrage ist Kampagne"
"Enter static url parameters here (Eg. sender=ERPNext, username=ERPNext, password=1234 etc.)","Geben Sie statischen URL-Parameter hier (Bsp. sender = ERPNext, username = ERPNext, password = 1234 etc.)"
Enter the company name under which Account Head will be created for this Supplier,"Geben Sie den Namen des Unternehmens, unter denen Konto Leiter für diesen Lieferant erstellt werden"
Enter the date by which payments from customer is expected against this invoice.,Geben Sie das Datum der Zahlungen von Kunden gegen diese Rechnung erwartet wird.
Enter url parameter for message,Geben Sie URL-Parameter für die Nachrichtenübertragung
Enter url parameter for receiver nos,Geben Sie URL-Parameter für Empfänger nos
Entries,Einträge
Entries are not allowed against this Fiscal Year if the year is closed.,"Die Einträge sind nicht gegen diese Geschäftsjahr zulässig, wenn die Jahre geschlossen ist."
Error,Fehler
Estimated Material Cost,Geschätzter Materialkalkulationen
Event,Veranstaltung
Event Individuals,Event Personen
Event Role,Event Rolle
Event Roles,Event Rollen
Event Type,Ereignistyp
Event Updates,Event-Updates
Event User,Ereignis Benutzer
Exchange Rate,Wechselkurs
Excise Page Number,Excise Page Number
Excise Voucher,Excise Gutschein
Execute,Ausführen
Exemption Limit,Freigrenze
Exhibition,Ausstellung
Existing Customer,Bestehende Kunden
Exit,Verlassen
Exit Interview Details,Verlassen Interview Einzelheiten
Expected,Voraussichtlich
Expected Delivery Date,Voraussichtlicher Liefertermin
Expected End Date,Erwartete Enddatum
Expected Start Date,Frühestes Eintrittsdatum
Expense Account,Expense Konto
Expense Claim,Expense Anspruch
Expense Claim Approved,Expense Anspruch Genehmigt
Expense Claim Approved Message,Expense Anspruch Genehmigt Nachricht
Expense Claim Detail,Expense Anspruch Details
Expense Claim Details,Expense Anspruch Einzelheiten
Expense Claim Rejected,Expense Antrag abgelehnt
Expense Claim Rejected Message,Expense Antrag abgelehnt Nachricht
Expense Claim Type,Expense Anspruch Type
Expense Date,Expense Datum
Expense Details,Expense Einzelheiten
Expense Head,Expense Leiter
Expenses Booked,Aufwand gebucht
Expiry Date,Verfallsdatum
Export,Exportieren
Exports,Ausfuhr
External,Extern
Extra Condition,Zusätzliche Zustand
Extract Emails,Auszug Emails
Extract Job Applicant from jobs email id e.g. jobs@example.com,Auszug Bewerber aus Jobs E-Mail-ID beispielsweise jobs@example.com
Extract Leads from sales email id e.g. sales@example.com,Auszug Leads aus dem Verkauf email id beispielsweise sales@example.com
FCFS Rate,FCFS Rate
FIFO,FIFO
Family Background,Familiärer Hintergrund
FavIcon,FavIcon
Fax,Fax
Featured Item,Feature-Produkt
Featured Item in Item Group,Feature-Produkt bei Posten Gruppe
Features Setup,Features Setup
Feed,Füttern
Feed Type,Eingabetyp
Feedback,Rückkopplung
Female,Weiblich
Fetch lead which will be converted into customer.,"Fetch Blei, die in Kunden konvertiert werden."
Field,Feld
Field Description,Feld Beschreibung
Field Mapper Detail,Feld Mapper Details
Field Mapper Details,Feld Mapper Einzelheiten
Field Name,Feldname
Field Type,Feldtyp
"Field available in Delivery Note, Quotation, Sales Invoice, Sales Order","Feld in Lieferschein, Angebot, Sales Invoice, Sales Order"
Field from other forms,Feld von anderen Formen
"Field that represents the Workflow State of the transaction (if field is not present, a new hidden Custom Field will be created)","Feld, das den Workflow-Status der Transaktion darstellt (wenn das Feld nicht vorhanden ist, eine neue versteckte Custom Field wird erstellt)"
Fieldname,Fieldname
Fields,Felder
"Fields separated by comma (,) will be included in the<br /><b>Search By</b> list of Search dialog box","Felder durch ein Komma (,) getrennt werden in der <br /> Suche aufgenommen werden </ b> Liste der Such-Dialogfeld"
File Data,File Data
File LIst,Dateiliste
File List,Dateiliste
File Name,File Name
File URL,File URL
File Uploaded Sucessfully.,Erfolgreich hochgeladenen Datei.
Filing in Additional Information about the Opportunity will help you analyze your data better.,"Die Einreichung in Weitere Informationen über die Möglichkeit wird Ihnen helfen, Ihre Daten analysieren besser."
Filing in Additional Information about the Purchase Receipt will help you analyze your data better.,"Die Einreichung in Zusätzliche Informationen über den Kaufbeleg wird Ihnen helfen, Ihre Daten analysieren besser."
Filing in Additional Information about the Purchase Requisition will help you analyze your data better.,"Die Einreichung in Weitere Informationen über die Bestellanforderung wird Ihnen helfen, Ihre Daten analysieren besser."
Filling in Additional Information about the Delivery Note will help you analyze your data better.,"Ausfüllen Zusätzliche Informationen über den Lieferschein wird Ihnen helfen, Ihre Daten analysieren besser."
Filling in additional information about the Quotation will help you analyze your data better.,"Ausfüllen zusätzliche Informationen über das Angebot wird Ihnen helfen, Ihre Daten analysieren besser."
Filling in additional information about the Sales Order will help you analyze your data better.,"Ausfüllen zusätzliche Informationen über das Sales Order wird Ihnen helfen, Ihre Daten analysieren besser."
Filter By Amount,Filtern nach Betrag
Filter By Date,Nach Datum filtern
Filter based on customer,Filtern basierend auf Kunden-
Filter based on item,Filtern basierend auf Artikel
Filters,Filter
Final Confirmation Date,Final Confirmation Datum
Financial Analytics,Financial Analytics
Financial Statements,Financial Statements
Financial Years for books of accounts,Geschäftsjahre Bücher von Konten
First Name,Vorname
First Responded On,Zunächst reagierte am
Fiscal Year,Geschäftsjahr
Fiscal Year Details,Geschäftsjahr Einzelheiten
Fixed Asset Account,Fixed Asset Konto
Float,Schweben
Float Precision,Gleitkommatgenauigkeit
Floral,Blumen-
Following dates are blocked for Leave,Folgende Daten sind für Leave blockiert
"Following table will show values if items are sub - contracted. These values will be fetched from the master of ""Bill of Materials"" of sub - contracted items.","Folgende Tabelle zeigt Werte, wenn Artikel sub sind - vergeben werden. Vertragsgegenständen - Diese Werte werden vom Meister der ""Bill of Materials"" von Sub geholt werden."
Font,Schriftart
Font Size,Schriftgröße
Footer,Fußzeile
Footer Items,Footer Artikel
For All Users,Für alle Benutzer
For Buying,Für den Kauf
For Company,Für Unternehmen
For Employee,Für Mitarbeiter
For Employee Name,Für Employee Name
For Item,Für Artikel
"For Links, enter the DocType as rangeFor Select, enter list of Options separated by comma","Für Links, geben Sie die DocType als rangeFor Select, geben Liste der Optionen durch Komma getrennt"
"For Links, use define linked","Für Links, verwenden definieren verbunden"
For Production,For Production
For Reference Only.,Nur als Referenz.
For Selling,Für den Verkauf
For Warehouse,Für Warehouse
"For comparative filters, start with","Für vergleichende Filter, mit zu beginnen"
"For e.g. 2012, 2012-13","Für z.B. 2012, 2012-13"
For example if you cancel and amend 'INV004' it will become a new document 'INV004-1'. This helps you to keep track of each amendment.,"Zum Beispiel, wenn Sie stornieren und ändern 'INV004' wird es ein neues Dokument 'INV004-1' geworden. Dies hilft Ihnen, den Überblick über jede Änderung zu halten."
For example: You want to restrict users to transactions marked with a certain property called 'Territory',"Zum Beispiel: Sie möchten, dass Benutzer auf Geschäfte mit einer bestimmten Eigenschaft namens ""Territory"" markiert beschränken"
For opening balance entry account can not be a PL account,Für Eröffnungsbilanz Eintrag Konto kann nicht ein PL-Konto sein
"For opening invoice entry, this date will reflect in the period-wise aging report.","Zum Öffnen Rechnungserfassung, wird dieses Datum in der Zeit-weise alternden Berichts anzupassen."
For ranges,Für Bereiche
For reference,Als Referenz
For reference only.,Nur als Referenz.
"For the convenience of customers, these codes can be used in print formats like Invoices and Delivery Notes","Für die Bequemlichkeit der Kunden, können diese Codes in Druckformate wie Rechnungen und Lieferscheine werden"
Form,Form
Format: hh:mm example for one hour expiry set as 01:00. Max expiry will be 72 hours. Default is 24 hours,Format: hh: mm Beispiel für 1 Stunde Ablauf als 1.00 eingestellt. Max Ablauf wird 72 Stunden. Standardwert ist 24 Stunden
Forum,Forum
Fraction,Bruchteil
Fraction Units,Fraction Units
Friday,Freitag
From Company,Von Unternehmen
From Customer,Von Kunden
From Date,Von Datum
From Date must be before To Date,Von Datum muss vor dem Laufenden bleiben
From DocType,Von DocType
From Employee,Von Mitarbeiter
From Field,Vom Feld
From PR Date,Von PR Datum
From Package No.,Von Package No
From Table,Aus der Tabelle
Frozen,Eingefroren
Full Image,Full Image
Full Name,Vollständiger Name
Full description (formatted as markdown),Ausführliche Beschreibung (formatiert als Abschlag)
Fully Billed,Voll Billed
Fully Completed,Vollständig ausgefüllte
GL Control,GL Steuerung
GL Entry,GL Eintrag
GL Entry: Debit or Credit amount is mandatory for,GL Entry: Debit-oder Kreditkarten Betrag ist verpflichtend für
GL Mapper,GL Mapper
GL Mapper Detail,GL Mapper Details
GRN,GRN
Gantt Chart,Gantt Chart
Gantt chart of all tasks.,Gantt-Diagramm aller Aufgaben.
Gender,Geschlecht
General,General
General Ledger,General Ledger
Generate Description HTML,Generieren Beschreibung HTML
Generate Material Requests (MRP) and Production Orders.,Generieren Werkstoff Requests (MRP) und Fertigungsaufträge.
Generate Salary Slips,Generieren Gehaltsabrechnungen
Generate Schedule,Generieren Zeitplan
"Generate packing slips for packages to be delivered. Used to notify package number, package contents and its weight.","Generieren Packzettel für Pakete geliefert werden. Verwendet, um Paket-Nummer, der Lieferumfang und sein Gewicht zu benachrichtigen."
Generates HTML to include selected image in the description,Erzeugt HTML ausgewählte Bild sind in der Beschreibung
Georgia,Georgia
Get Advances Paid,Holen Geleistete
Get Advances Received,Holen Erhaltene Anzahlungen
Get Current Stock,Holen Aktuelle Stock
Get Items,Holen Artikel
Get Last Purchase Rate,Get Last Purchase Rate
Get Non Reconciled Entries,Holen Non versöhnt Einträge
Get Open Sales Order,Sie öffnen Sales Order
Get Outstanding Invoices,Holen Ausstehende Rechnungen
Get Purchase Receipt,Holen Kaufbeleg
Get Sales Orders,Holen Sie Kundenaufträge
Get Specification Details,Holen Sie Ausschreibungstexte
Get Stock and Rate,Holen Sie Stock und bewerten
Get Tax Detail,Holen MwSt. Details
Get Taxes and Charges,Holen Steuern und Abgaben
Get Template,Holen Template
Get Terms and Conditions,Holen AGB
Get Weekly Off Dates,Holen Weekly Off Dates
Get the template of the Attendance for which you want to import in CSV (Comma seperated values) format.Fill data in the template. Save the template in CSV format.All attendance dates inbetween 'Attendance From Date' and 'Attendance To Date' will come in the template with employees list.,"Holen Sie sich das Template der Teilnahme, für die Sie in CSV zu importieren (Komma getrennt Werte) format.Fill Daten in der Vorlage. Speichern Sie die Vorlage in CSV format.All Besucherzahlen geht dazwischen 'Teilnahme Von Datum' und 'Teilnahme To Date ""wird in der Vorlage mit den Mitarbeitern Liste kommen."
"Get valuation rate and available stock at source/target warehouse on mentioned posting date-time. If serialized item, please press this button after entering serial nos.","Holen Bewertungskurs und verfügbaren Bestand an der Quelle / Ziel-Warehouse am genannten Buchungsdatum-Zeit. Wenn serialisierten Objekt, drücken Sie bitte diese Taste nach Eingabe der Seriennummern nos."
Global Defaults,Globale Defaults
Go back to home,Zurück nach Hause
Go to Setup > <a href='#user-properties'>User Properties</a> to set \			'territory' for diffent Users.,"Gehe zu> <a Richten href='#user-properties'> User Properties </ a> \ Gebiet ""für diffent Benutzer eingestellt."""
Goal,Ziel
Goals,Ziele
Goods received from Suppliers.,Wareneingang vom Lieferanten.
Grade,Klasse
Graduate,Absolvent
Grand Total,Grand Total
Grand Total (Export),Grand Total (Export)
Grand Total (Import),Grand Total (Import)
Grand Total*,Grand Total *
Gratuity LIC ID,Gratuity LIC ID
Gross Margin %,Gross Margin%
Gross Margin Value,Gross Margin Wert
Gross Pay,Gross Pay
Gross Pay + Arrear Amount +Encashment Amount - Total Deduction,Gross Pay + nachträglich Betrag + Inkasso Betrag - Total Abzug
Gross Profit,Bruttogewinn
Gross Profit (%),Gross Profit (%)
Gross Weight,Bruttogewicht
Gross Weight UOM,Bruttogewicht UOM
Group,Gruppe
Group By,Group By
Group or Ledger,Gruppe oder Ledger
Groups,Gruppen
HR,HR
HTML,HTML
HTML / Banner that will show on the top of product list.,"HTML / Banner, die auf der Oberseite des Produkt-Liste zeigen."
"HTML print formats for quotes, invoices etc","HTML Druckformate für Angebote, Rechnungen etc"
Half Day,Half Day
Half Yearly,Halbjahresfinanzbericht
Half-yearly,Halbjährlich
Has Batch No,Hat Batch No
Has Child Node,Hat Child Node
Has Serial No,Hat Serial No
Header,Kopfzeile
Heading,Überschrift
Heading Font,Unterwegs Font
Heads (or groups) against which Accounting Entries are made and balances are maintained.,"Heads (oder Gruppen), gegen die Accounting-Einträge und sind Guthaben gehalten werden."
Health Concerns,Gesundheitliche Bedenken
Health Details,Gesundheit Details
Held On,Hielt
Help,Hilfe
Help HTML,Helfen Sie HTML
Helper for managing return of goods (sales or purchase),Helper für die Verwaltung Rücksendung der Ware (Verkauf oder Kauf)
Helvetica Neue,Helvetica Neue
"Hence, maximum allowed Manufacturing Quantity",Daher maximal erlaubte Menge Fertigung
"Here you can maintain family details like name and occupation of parent, spouse and children","Hier können Sie pflegen Familie Details wie Name und Beruf der Eltern, Ehepartner und Kinder"
"Here you can maintain height, weight, allergies, medical concerns etc","Hier können Sie pflegen Größe, Gewicht, Allergien, medizinischen Bedenken etc"
Hey there! You need to put at least one item in \				the item table.,Hey there! Sie müssen mindestens ein Element in \ dem Punkt Tisch zu legen.
Hey! You seem to be using the wrong template. \				Click on 'Download Template' button to get the correct template.,"Hey, du zu sein scheinen mit den falschen Vorlage. \ Klicken Sie auf Vorlage herunterladen "", um die richtige Vorlage zu bekommen."""
Hidden,Versteckt
Hide Actions,Ausblenden Aktionen
Hide Copy,Ausblenden kopieren
Hide Currency Symbol,Ausblenden Währungssymbol
Hide Email,Ausblenden Email
Hide Heading,Ausblenden Überschrift
Hide Print,Ausblenden drucken
Hide Toolbar,Symbolleiste ausblenden
High,Hoch
Highlight,Hervorheben
History In Company,Geschichte Im Unternehmen
Hold,Halten
Holiday,Urlaub
Holiday Block List,Ferienwohnung Block List
Holiday Block List Allow,Ferienwohnung Block List zulassen
Holiday Block List Allowed,Ferienwohnung Block List erlaubt
Holiday Block List Date,Ferienwohnung Block List Datum
Holiday Block List Dates,Ferienwohnung Block List Termine
Holiday Block List Name,Urlaub Blockieren Name
Holiday List,Ferienwohnung Liste
Holiday List Name,Ferienwohnung Name
Holidays,Ferien
Home,Zuhause
Home Control,Home Control
Home Page,Home Page
Home Page is Products,Home Page ist Products
Home Pages,Home Pages
Host,Gastgeber
"Host, Email and Password required if emails are to be pulled","Host, E-Mail und Passwort erforderlich, wenn E-Mails gezogen werden"
Hour Rate,Hour Rate
Hour Rate Consumable,Hour Rate Verbrauchsmaterial
Hour Rate Electricity,Hour Rate Strom
Hour Rate Labour,Hour Rate Labour
Hour Rate Rent,Hour Rate Miete
Hours,Stunden
How frequently?,Wie häufig?
"How should this currency be formatted? If not set, will use system defaults","Wie soll diese Währung formatiert werden? Wenn nicht gesetzt, verwenden Standardeinstellungen des Systems"
How to upload,So laden
Hrvatski,Hrvatski
Human Resources,Human Resources
Human Resources Home,Human Resources Startseite
Hurray! The day(s) on which you are applying for leave \					coincide with holiday(s). You need not apply for leave.,"Hurra! Der Tag (e), an dem Sie verlassen \ zusammen mit Urlaub (s) bewerben. Sie müssen nicht für Urlaub beantragen."
I,Ich
ID (name) of the entity whose property is to be set,"ID (Name) des Unternehmens, dessen Eigenschaft gesetzt werden"
IDT,IDT
IGHelp,IGHelp
II,II
III,III
IN,IN
INV,INV
INV/10-11/,INV/10-11 /
IV,IV
Icon,Symbol
Icon will appear on the button,Icon wird auf der Schaltfläche angezeigt
Id of the profile will be the email.,Id des Profils wird die E-Mail.
Identification of the package for the delivery (for print),Identifikation des Pakets für die Lieferung (für den Druck)
If Monthly Budget Exceeded,Wenn Monthly Budget überschritten
"If Sale BOM is defined, the actual BOM of the Pack is displayed as table.Available in Delivery Note and Sales Order","Wenn Sale Stücklisten definiert ist, wird die tatsächliche Stückliste des Pack als table.Available in Lieferschein und Sales Order angezeigt"
"If Supplier Part Number exists for given Item, it gets stored here","Wenn der Lieferant Teilenummer existiert für bestimmte Artikel, wird es hier gespeichert"
If Yearly Budget Exceeded,Wenn Jahresbudget überschritten
"If a User does not have access at Level 0, then higher levels are meaningless","Wenn ein Benutzer keinen Zugriff auf Level 0, dann höheren Ebenen sind bedeutungslos"
"If checked, BOM for sub-assembly items will be considered for getting raw materials. Otherwise, all sub-assembly items will be treated as a raw material.","Wenn aktiviert, wird Stückliste Baugruppe Artikel für immer Rohstoff betrachtet werden. Andernfalls werden alle Unterbaugruppe Elemente als Ausgangsmaterial behandelt werden."
"If checked, all other workflows become inactive.","Wenn aktiviert, werden alle anderen Workflows inaktiv."
"If checked, the Home page will be the default Item Group for the website.","Wenn aktiviert, wird die Startseite der Standard Artikel-Gruppe für die Website."
"If checked, the tax amount will be considered as already included in the Print Rate / Print Amount","Wenn aktiviert, wird der Steuerbetrag als bereits in der Print Rate / Print Menge aufgenommen werden"
"If image is selected, color will be ignored (attach first)","Wenn das Bild ausgewählt ist, wird die Farbe ignoriert (legen zuerst) werden"
If more than one package of the same type (for print),Wenn mehr als ein Paket des gleichen Typs (print)
If non standard port (e.g. 587),Wenn Nicht-Standard-Port (zum Beispiel 587)
If not applicable please enter: NA,"Soweit dies nicht zutrifft, geben Sie bitte: NA"
"If not checked, the list will have to be added to each Department where it has to be applied.","Falls nicht, wird die Liste müssen auf jeden Abteilung, wo sie angewendet werden hinzugefügt werden."
"If not, create a","Wenn nicht, erstellen Sie eine"
"If set, data entry is only allowed for specified users. Else, entry is allowed for all users with requisite permissions.","Wenn gesetzt, wird die Dateneingabe nur für bestimmte Benutzer erlaubt. Else, wird der Eintritt für alle Benutzer mit den erforderlichen Berechtigungen erlaubt."
"If specified, send the newsletter using this email address","Wenn angegeben, senden sie den Newsletter mit dieser E-Mail-Adresse"
"If the 'territory' Link Field exists, it will give you an option to select it","Wenn das ""Gebiet"" Link Field existiert, wird es geben Sie eine Option, um sie auszuwählen"
"If the account is frozen, entries are allowed for the ""Account Manager"" only.","Wenn das Konto eingefroren ist, werden die Einträge für die ""Account Manager"" gestattet."
"If this Account represents a Customer, Supplier or Employee, set it here.","Wenn dieses Konto ein Kunde, Lieferant oder Mitarbeiter, stellen Sie es hier."
If you follow Quality Inspection<br>Enables item QA Required and QA No in Purchase Receipt,Folgt man Qualitätsprüfung <br> Ermöglicht Artikel QA Erforderliche und QA Nein in Kaufbeleg
If you have Sales Team and Sale Partners (Channel Partners)  they can be tagged and maintain their contribution in the sales activity,Wenn Sie Sales Team und Verkauf Partners (Channel Partners) sie markiert werden können und pflegen ihren Beitrag in der Vertriebsaktivitäten
"If you have created a standard template in Purchase Taxes and Charges Master, select one and click on the button below.","Wenn Sie ein Standard-Template in Kauf Steuern und Abgaben Meister erstellt haben, wählen Sie eine aus und klicken Sie auf den Button unten."
"If you have created a standard template in Sales Taxes and Charges Master, select one and click on the button below.","Wenn Sie ein Standard-Template in Sales Steuern und Abgaben Meister erstellt haben, wählen Sie eine aus und klicken Sie auf den Button unten."
"If you have long print formats, this feature can be used to split the page to be printed on multiple pages with all headers and footers on each page","Wenn Sie lange drucken, haben Formate, kann diese Funktion dazu verwendet, um die Seite auf mehreren Seiten mit allen Kopf-und Fußzeilen auf jeder Seite gedruckt werden"
If you involve in manufacturing activity<br>Enables item <b>Is Manufactured</b>,Wenn Sie in die produzierenden Aktivitäten <br> beinhalten Ermöglicht Artikel <b> hergestellt wird </ b>
Ignore,Ignorieren
Image,Bild
Image View,Bild anzeigen
Image for listing (Width: 100px) (Attach First),Bild für Auflistung (Breite: 100px) (Befestigen zuerst)
Image for listing (Width: 300px) (Attach First),Bild für Auflistung (Breite: 300px) (Befestigen zuerst)
Implementation Partner,Implementation Partner
Import,Importieren
Import Date Format,Import Datumsformat
Import Log,Import-Logbuch
Import Log1,Importieren Log1
Import data from spreadsheet (csv) files,Importieren von Daten aus Tabellen (csv-Dateien)
Important dates and commitments in your project life cycle,Wichtige Termine und Verpflichtungen in Ihrem Projekt-Lebenszyklus
Imports,Imports
In Dialog,Im Dialog
In Filter,In Filter
In List View,In Listenansicht
In Process,In Process
In Report Filter,Im Berichts-Filter
In Store,In Store
In Words,In Worte
In Words (Export),In Words (Export)
In Words (Export) will be visible once you save the Delivery Note.,"In Words (Export) werden sichtbar, sobald Sie den Lieferschein zu speichern."
In Words (Import),In Words (Import)
In Words will be visible once you save the Delivery Note.,"In Worte sichtbar sein wird, sobald Sie den Lieferschein zu speichern."
In Words will be visible once you save the Purchase Invoice.,"In Worte sichtbar sein wird, wenn Sie den Kaufbeleg speichern."
In Words will be visible once you save the Purchase Order.,"In Worte sichtbar sein wird, wenn Sie die Bestellung zu speichern."
In Words will be visible once you save the Purchase Receipt.,"In Worte sichtbar sein wird, wenn Sie den Kaufbeleg speichern."
In Words will be visible once you save the Quotation.,"In Worte sichtbar sein wird, sobald Sie das Angebot zu speichern."
In Words will be visible once you save the Sales Invoice.,"In Worte sichtbar sein wird, sobald Sie das Sales Invoice speichern."
In Words will be visible once you save the Sales Order.,"In Worte sichtbar sein wird, sobald Sie den Sales Order zu speichern."
In Words(Import),In Words (Import)
In response to,Als Antwort auf
"In the Permission Manager, click on the button in the 'Condition' column for the Role you want to restrict.","In der Permission Manager, auf die Schaltfläche in der 'Bedingung' Spalte für die Rolle, die Sie einschränken möchten."
Inactive,Inaktiv
Incentives,Incentives
Incharge Name,InCharge Namen
Income,Einkommen
Income Account,Income Konto
Income Year to Date,Income Jahr bis Datum
Incoming,Eingehende
Incoming Mail Setting,Eingehende Mail-Einstellung
Incoming Rate,Incoming Rate
Incoming Time,Eingehende Zeit
Incoming quality inspection.,Eingehende Qualitätskontrolle.
Indent,Einzug
Index,Index
Indicates that the package is a part of this delivery,"Zeigt an, dass das Paket ein Teil dieser Lieferung ist"
Individual,Einzelne
Individuals,Einzelpersonen
Industry,Industrie
Industry Type,Industry Typ
Info,Info
Insert After,Einfügen nach
Insert Code,Code einfügen
Insert Style,Legen Stil
Inspected By,Geprüft von
Inspection Criteria,Prüfkriterien
Inspection Required,Inspektion erforderlich
Inspection Type,Prüfart
Installation Date,Installation Date
Installation Note,Installation Hinweis
Installation Note Item,Installation Hinweis Artikel
Installation Status,Installation Status
Installation Time,Installation Time
Installation record for a Serial No.,Installation Rekord für eine Seriennummer
Installed Qty,Installierte Anzahl
Institute / Conducted By,Institute / By Geleitete
Instructions,Anleitung
Int,Int
Interested,Interessiert
Internal,Intern
Intro HTML,Intro HTML
Introduce your company to the website visitor.,Präsentieren Sie Ihr Unternehmen auf der Website Besucher.
Introduction,Einführung
Introductory information for the Contact Us Page,Einführende Informationen für den Kontakt Seite
Invalid Email Address,Ungültige E-Mail-Adresse
Inventory,Inventar
Inverse,Umgekehrt
Invoice Date,Rechnungsdatum
Invoice Details,Rechnungsdetails
Invoice No,Rechnungsnummer
