 (Half Day),(ครึ่งวัน)
Document,เอกสาร
Document Description,คำอธิบายเอกสาร
Document Numbering Series,เอกสารชุดที่หมายเลข
Document Status transition from ,การเปลี่ยนแปลงสถานะเอกสารจาก
Document Type,ประเภทเอกสาร
Document is only editable by users of role,เอกสารเป็นเพียงแก้ไขได้โดยผู้ใช้ของบทบาท
Documentation,เอกสาร
Documentation Generator Console,คอนโซล Generator เอกสาร
Documentation Tool,เครื่องมือเอกสาร
Documents,เอกสาร
Domain,โดเมน
Download Backup,ดาวน์โหลดสำรอง
Download Materials Required,ดาวน์โหลดวัสดุที่จำเป็น
Download Template,ดาวน์โหลดแม่แบบ
Download a report containing all raw materials with their latest inventory status,ดาวน์โหลดรายงานที่มีวัตถุดิบทั้งหมดที่มีสถานะสินค้าคงคลังของพวกเขาล่าสุด
"Download the Template, fill appropriate data and attach the modified file.All dates and employee combination in the selected period will come in the template, with existing attendance records",ดาวน์โหลดแบบฟอร์มให้กรอกข้อมูลที่เหมาะสมและแนบแก้ไขวันที่ file.All และการรวมกันของพนักงานในช่วงที่เลือกจะมาในแม่แบบที่มีผลการเรียนที่มีอยู่
Draft,ร่าง
Drafts,ร่าง
Drag to sort columns,ลากเพื่อเรียงลำดับคอลัมน์
Dropbox,Dropbox
Dropbox Access Allowed,Dropbox เข็น
Dropbox Access Key,ที่สำคัญในการเข้าถึง Dropbox
Dropbox Access Secret,ความลับในการเข้าถึง Dropbox
Due Date,วันที่ครบกำหนด
EMP/,EMP /
ESIC CARD No,CARD ESIC ไม่มี
ESIC No.,หมายเลข ESIC
Earning,รายได้
Earning & Deduction,รายได้และการหัก
Earning Type,รายได้ประเภท
Earning1,Earning1
Edit,แก้ไข
Editable,ที่สามารถแก้ไขได้
Educational Qualification,วุฒิการศึกษา
Educational Qualification Details,รายละเอียดคุ​​ณสมบัติการศึกษา
Eg. smsgateway.com/api/send_sms.cgi,เช่น smsgateway.com / API / send_sms.cgi
Email,อีเมล์
Email (By company),อีเมล์ (โดย บริษัท )
Email Digest,ข่าวสารทางอีเมล
Email Digest Settings,การตั้งค่าอีเมลเด่น
Email Host,โฮสต์อีเมล์
Email Id,Email รหัส
"Email Id must be unique, already exists for: ",Email รหัสต้องไม่ซ้ำกันอยู่แล้วสำหรับ:
"Email Id where a job applicant will email e.g. ""jobs@example.com""",Email รหัสที่ผู้สมัครงานจะส่งอีเมลถึง &quot;jobs@example.com&quot; เช่น
Email Login,เข้าสู่ระบบอีเมล์
Email Password,รหัสผ่าน Email
Email Sent,อีเมลที่ส่ง
Email Sent?,อีเมลที่ส่ง?
Email Settings,การตั้งค่าอีเมล
Email Settings for Outgoing and Incoming Emails.,การตั้งค่าอีเมลสำหรับอีเมลขาออกและขาเข้า
Email Signature,ลายเซ็นอีเมล
Email Use SSL,ส่งอีเมลใช้ SSL
"Email addresses, separted by commas","ที่อยู่อีเมล, separted ด้วยเครื่องหมายจุลภาค"
Email ids separated by commas.,รหัสอีเมลคั่นด้วยเครื่องหมายจุลภาค
"Email settings for jobs email id ""jobs@example.com""",การตั้งค่าอีเมลสำหรับอีเมล ID งาน &quot;jobs@example.com&quot;
"Email settings to extract Leads from sales email id e.g. ""sales@example.com""",การตั้งค่าอีเมลที่จะดึงนำมาจากอีเมล์ ID เช่นยอดขาย &quot;sales@example.com&quot;
Email...,อีเมล์ ...
Embed image slideshows in website pages.,ฝังภาพสไลด์ภาพในหน้าเว็บไซต์
Emergency Contact Details,รายละเอียดการติดต่อในกรณีฉุกเฉิน
Emergency Phone Number,หมายเลขโทรศัพท์ฉุกเฉิน
Employee,ลูกจ้าง
Employee Birthday,วันเกิดของพนักงาน
Employee Designation.,ได้รับการแต่งตั้งพนักงาน
Employee Details,รายละเอียดของพนักงาน
Employee Education,การศึกษาการทำงานของพนักงาน
Employee External Work History,ประวัติการทำงานของพนักงานภายนอก
Employee Information,ข้อมูลของพนักงาน
Employee Internal Work History,ประวัติการทำงานของพนักงานภายใน
Employee Internal Work Historys,Historys การทำงานของพนักงานภายใน
Employee Leave Approver,อนุมัติพนักงานออก
Employee Leave Balance,ยอดคงเหลือพนักงานออก
Employee Name,ชื่อของพนักงาน
Employee Number,จำนวนพนักงาน
Employee Records to be created by,ระเบียนพนักงานที่จะถูกสร้างขึ้นโดย
Employee Setup,การติดตั้งการทำงานของพนักงาน
Employee Type,ประเภทพนักงาน
Employee grades,เกรดของพนักงาน
Employee record is created using selected field. ,ระเบียนของพนักงานจะถูกสร้างขึ้นโดยใช้เขตข้อมูลที่เลือก
Employee records.,ระเบียนพนักงาน
Employee: ,พนักงาน:
Employees Email Id,Email รหัสพนักงาน
Employment Details,รายละเอียดการจ้างงาน
Employment Type,ประเภทการจ้างงาน
Enable Auto Inventory Accounting,เปิดใช้งานบัญชีสินค้าคงคลังอัตโนมัติ
Enable Shopping Cart,เปิดใช้งานรถเข็น
Enabled,เปิดการใช้งาน
Enables <b>More Info.</b> in all documents,<b>ช่วยให้ข้อมูลเพิ่มเติม.</b> ในเอกสารทั้งหมด
Encashment Date,วันที่การได้เป็นเงินสด
End Date,วันที่สิ้นสุด
End date of current invoice's period,วันที่สิ้นสุดของรอบระยะเวลาใบแจ้งหนี้ปัจจุบัน
End of Life,ในตอนท้ายของชีวิต
Ends on,สิ้นสุด
Enter Email Id to receive Error Report sent by users.E.g.: support@iwebnotes.com,ป้อนรหัสที่จะได้รับอีเมล์รายงานข้อผิดพลาดที่ส่งมาจาก users.Eg: support@iwebnotes.com
Enter Form Type,ป้อนประเภทแบบฟอร์ม
Enter Row,ใส่แถว
Enter Verification Code,ใส่รหัสยืนยัน
Enter campaign name if the source of lead is campaign.,ป้อนชื่อแคมเปญหากแหล่งที่มาของสารตะกั่วเป็นแคมเปญ
"Enter default value fields (keys) and values. If you add multiple values for a field, the first one will be picked. These defaults are also used to set ""match"" permission rules. To see list of fields, go to <a href=""#Form/Customize Form/Customize Form"">Customize Form</a>.","ใส่เขตข้อมูลค่าเริ่มต้น (คีย์) และค่า ถ้าคุณเพิ่มค่าหลายค่าสำหรับเขตที่คนแรกที่จะถูกเลือก เริ่มต้นเหล่านี้ยังใช้ในการตั้งค่า &quot;การแข่งขัน&quot; กฎอนุญาต เพื่อดูรายชื่อของเขตข้อมูลไป <a href=""#Form/Customize Form/Customize Form"">กำหนดรูปแบบ</a> ."
Enter department to which this Contact belongs,ใส่แผนกที่ติดต่อนี้เป็นของ
Enter designation of this Contact,ใส่ชื่อของเราได้ที่นี่
"Enter email id separated by commas, invoice will be mailed automatically on particular date",ใส่หมายเลขอีเมลคั่นด้วยเครื่องหมายจุลภาคใบแจ้งหนี้จะถูกส่งโดยอัตโนมัติในวันที่เจาะจง
Enter items and planned qty for which you want to raise production orders or download raw materials for analysis.,ป้อนรายการและจำนวนที่วางแผนไว้สำหรับที่คุณต้องการที่จะยกระดับการสั่งผลิตหรือดาวน์โหลดวัตถุดิบสำหรับการวิเคราะห์
Enter name of campaign if source of enquiry is campaign,ป้อนชื่อของแคมเปญหากแหล่งที่มาของการรณรงค์สอบถามรายละเอียดเพิ่มเติม
"Enter static url parameters here (Eg. sender=ERPNext, username=ERPNext, password=1234 etc.)",ป้อนพารามิเตอร์คงที่ URL ที่นี่ (เช่นผู้ส่ง = ERPNext ชื่อผู้ใช้ = ERPNext รหัสผ่าน = 1234 ฯลฯ )
Enter the company name under which Account Head will be created for this Supplier,ป้อนชื่อ บริษัท ภายใต้ซึ่งหัวหน้าบัญชีจะถูกสร้างขึ้นสำหรับผู้ผลิตนี้
Enter the date by which payments from customer is expected against this invoice.,ป้อนวันที่โดยที่การชำระเงินจากลูกค้าที่คาดว่าจะต่อต้านใบแจ้งหนี้นี้
Enter url parameter for message,ป้อนพารามิเตอร์ URL สำหรับข้อความ
Enter url parameter for receiver nos,ป้อนพารามิเตอร์ URL สำหรับ Nos รับ
Entries,คอมเมนต์
Entries are not allowed against this Fiscal Year if the year is closed.,คอมเมนต์ไม่ได้รับอนุญาตกับปีงบประมาณนี้หากที่ปิดปี
Error,ความผิดพลาด
Error for,สำหรับข้อผิดพลาด
Error: Document has been modified after you have opened it,ข้อผิดพลาด: เอกสารได้รับการแก้ไขหลังจากที่คุณได้เปิดมัน
Estimated Material Cost,ต้นทุนวัสดุประมาณ
Event,เหตุการณ์
Event End must be after Start,สุดท้ายเหตุการณ์จะต้องหลังจากที่เริ่มต้น
Event Individuals,บุคคลเหตุการณ์
Event Role,บทบาทเหตุการณ์
Event Roles,บทบาทเหตุการณ์
Event Type,ชนิดเหตุการณ์
Event User,ผู้ใช้งาน
Events In Today's Calendar,เหตุการณ์ในปฏิทินของวันนี้
Every Day,ทุกวัน
Every Month,ทุกเดือน
Every Week,ทุกสัปดาห์
Every Year,ทุกปี
Everyone can read,ทุกคนสามารถอ่าน
Example:,ตัวอย่าง:
Exchange Rate,อัตราแลกเปลี่ยน
Excise Page Number,หมายเลขหน้าสรรพสามิต
Excise Voucher,บัตรกำนัลสรรพสามิต
Exemption Limit,วงเงินข้อยกเว้น
Exhibition,งานมหกรรม
Existing Customer,ลูกค้าที่มีอยู่
Exit,ทางออก
Exit Interview Details,ออกจากรายละเอียดการสัมภาษณ์
Expected,ที่คาดหวัง
Expected Delivery Date,คาดว่าวันที่ส่ง
Expected End Date,คาดว่าวันที่สิ้นสุด
Expected Start Date,วันที่เริ่มต้นคาดว่า
Expense Account,บัญชีค่าใช้จ่าย
Expense Account is mandatory,บัญชีค่าใช้จ่ายที่มีผลบังคับใช้
Expense Claim,เรียกร้องค่าใช้จ่าย
Expense Claim Approved,เรียกร้องค่าใช้จ่ายที่ได้รับอนุมัติ
Expense Claim Approved Message,เรียกร้องค่าใช้จ่ายที่ได้รับอนุมัติข้อความ
Expense Claim Detail,รายละเอียดค่าใช้จ่ายสินไหม
Expense Claim Details,รายละเอียดค่าใช้จ่ายสินไหม
Expense Claim Rejected,เรียกร้องค่าใช้จ่ายที่ถูกปฏิเสธ
Expense Claim Rejected Message,เรียกร้องค่าใช้จ่ายที่ถูกปฏิเสธข้อความ
Expense Claim Type,เรียกร้องประเภทค่าใช้จ่าย
Expense Date,วันที่ค่าใช้จ่าย
Expense Details,รายละเอียดค่าใช้จ่าย
Expense Head,หัวหน้าค่าใช้จ่าย
Expense account is mandatory for item: ,บัญชีค่าใช้จ่ายที่มีผลบังคับใช้สำหรับรายการ:
Expense/Adjustment Account,บัญชีค่าใช้จ่าย / ปรับ
Expenses Booked,ค่าใช้จ่ายใน Booked
Expenses Included In Valuation,ค่าใช้จ่ายรวมอยู่ในการประเมินมูลค่า
Expenses booked for the digest period,ค่าใช้จ่ายสำหรับการจองช่วงเวลาที่สำคัญ
Expiry Date,วันหมดอายุ
Export,ส่งออก
Exports,การส่งออก
External,ภายนอก
Extract Emails,สารสกัดจากอีเมล
FCFS Rate,อัตรา FCFS
FIFO,FIFO
Facebook Share,Facebook แบ่งปัน
Failed: ,ล้มเหลว:
Family Background,ภูมิหลังของครอบครัว
FavIcon,favicon
Fax,แฟกซ์
Features Setup,การติดตั้งสิ่งอำนวยความสะดวก
Feed,กิน
Feed Type,ฟีดประเภท
Feedback,ข้อเสนอแนะ
Female,หญิง
Fetch lead which will be converted into customer.,เรียกตะกั่วซึ่งจะถูกแปลงเป็นลูกค้า
Field Description,ฟิลด์คำอธิบาย
Field Name,ชื่อเขต
Field Type,ฟิลด์ชนิด
"Field available in Delivery Note, Quotation, Sales Invoice, Sales Order","สนามที่มีอยู่ในหมายเหตุส่งใบเสนอราคา, ใบแจ้งหนี้การขาย, การสั่งซื้อการขาย"
"Field that represents the Workflow State of the transaction (if field is not present, a new hidden Custom Field will be created)",สนามที่แสดงถึงรัฐเวิร์กโฟลว์ของการทำธุรกรรม (ถ้าเขตข้อมูลไม่ใช่ปัจจุบันฟิลด์ที่กำหนดเองใหม่ซ่อนจะถูกสร้างขึ้น)
Fieldname,fieldname
Fields,สาขา
"Fields separated by comma (,) will be included in the<br /><b>Search By</b> list of Search dialog box","เขตคั่นด้วยเครื่องหมายจุลภาค (,) จะรวมอยู่ใน <br /> <b>ค้นหาตามรายชื่อของกล่องโต้ตอบค้นหา</b>"
File,ไฟล์
File Data,แฟ้มข้อมูล
File Name,ชื่อไฟล์
File Size,ขนาดไฟล์
File URL,ไฟล์ URL
File size exceeded the maximum allowed size,ขนาดไฟล์เกินขนาดสูงสุดที่อนุญาตให้
Files Folder ID,ไฟล์ ID โฟลเดอร์
Filing in Additional Information about the Opportunity will help you analyze your data better.,ยื่นข้อมูลเพิ่มเติมเกี่ยวกับโอกาสที่จะช่วยให้คุณสามารถวิเคราะห์ข้อมูลของคุณดีขึ้น
Filing in Additional Information about the Purchase Receipt will help you analyze your data better.,ยื่นข้อมูลเพิ่มเติมเกี่ยวกับรับซื้อจะช่วยให้คุณสามารถวิเคราะห์ข้อมูลของคุณดีขึ้น
Filling in Additional Information about the Delivery Note will help you analyze your data better.,กรอกข้อมูลเพิ่มเติมเกี่ยวกับการจัดส่งสินค้าหมายเหตุจะช่วยให้คุณสามารถวิเคราะห์ข้อมูลของคุณได้ดียิ่งขึ้น
Filling in additional information about the Quotation will help you analyze your data better.,กรอกข้อมูลเพิ่มเติมเกี่ยวกับใบเสนอราคาจะช่วยให้คุณสามารถวิเคราะห์ข้อมูลของคุณดีขึ้น
Filling in additional information about the Sales Order will help you analyze your data better.,กรอกข้อมูลเพิ่มเติมเกี่ยวกับการสั่งซื้อการขายจะช่วยให้คุณสามารถวิเคราะห์ข้อมูลของคุณดีขึ้น
Filter,กรอง
Filter By Amount,กรองตามจํานวนเงิน
Filter By Date,กรองตามวันที่
Filter based on customer,กรองขึ้นอยู่กับลูกค้า
Filter based on item,กรองขึ้นอยู่กับสินค้า
Final Confirmation Date,วันที่ยืนยันครั้งสุดท้าย
Financial Analytics,Analytics การเงิน
Financial Statements,งบการเงิน
First Name,ชื่อแรก
First Responded On,ครั้งแรกเมื่อวันที่ง่วง
Fiscal Year,ปีงบประมาณ
Fixed Asset Account,บัญชีสินทรัพย์ถาวร
Float,ลอย
Float Precision,พรีซิชั่ลอย
Follow via Email,ผ่านทางอีเมล์ตาม
Following Journal Vouchers have been created automatically,หลังจากที่บัตรกำนัลวารสารได้ถูกสร้างขึ้นโดยอัตโนมัติ
"Following table will show values if items are sub - contracted. These values will be fetched from the master of ""Bill of Materials"" of sub - contracted items.",ตารางต่อไปนี้จะแสดงค่าหากรายการย่อย - สัญญา ค่าเหล่านี้จะถูกเรียกจากต้นแบบของ &quot;Bill of Materials&quot; ย่อย - รายการสัญญา
Font (Heading),แบบอักษร (หนังสือ)
Font (Text),แบบอักษร (ข้อความ)
Font Size (Text),ขนาดแบบอักษร (ข้อความ)
Fonts,แบบอักษร
Footer,ส่วนท้าย
Footer Items,รายการส่วนท้าย
For All Users,สำหรับผู้ใช้ทั้งหมด
For Company,สำหรับ บริษัท
For Employee,สำหรับพนักงาน
For Employee Name,สำหรับชื่อของพนักงาน
For Item ,สำหรับรายการ
"For Links, enter the DocType as rangeFor Select, enter list of Options separated by comma",สำหรับการเชื่อมโยงเข้าสู่ DocType เป็น rangeFor เลือกใส่รายการของตัวเลือกที่คั่นด้วยจุลภาค
For Production,สำหรับการผลิต
For Reference Only.,สำหรับการอ้างอิงเท่านั้น
For Sales Invoice,สำหรับใบแจ้งหนี้การขาย
For Server Side Print Formats,สำหรับเซิร์ฟเวอร์รูปแบบการพิมพ์ Side
For Territory,สำหรับดินแดน
For UOM,สำหรับ UOM
For Warehouse,สำหรับโกดัง
"For comparative filters, start with",สำหรับตัวกรองเปรียบเทียบเริ่มต้นด้วย
"For e.g. 2012, 2012-13","สำหรับเช่น 2012, 2012-13"
For example if you cancel and amend 'INV004' it will become a new document 'INV004-1'. This helps you to keep track of each amendment.,ตัวอย่างเช่นถ้าคุณยกเลิกและแก้ไข &#39;INV004&#39; มันจะกลายเป็นเอกสารใหม่ &#39;INV004-1&#39; นี้จะช่วยให้คุณสามารถติดตามการแก้ไขแต่ละ
For example: You want to restrict users to transactions marked with a certain property called 'Territory',ตัวอย่างเช่นคุณต้องการ จำกัด ผู้ใช้กับการทำธุรกรรมที่มีเครื่องหมายคุณสมบัติบางอย่างที่เรียกว่า &#39;พื้นที่&#39;
For opening balance entry account can not be a PL account,เปิดบัญชีรายการสมดุลไม่สามารถบัญชี PL
For ranges,สำหรับช่วง
For reference,สำหรับการอ้างอิง
For reference only.,สำหรับการอ้างอิงเท่านั้น
For row,สำหรับแถว
"For the convenience of customers, these codes can be used in print formats like Invoices and Delivery Notes",เพื่อความสะดวกของลูกค้ารหัสเหล่านี้สามารถนำมาใช้ในรูปแบบที่พิมพ์เช่นใบแจ้งหนี้และนำส่งสินค้า
Form,ฟอร์ม
Format: hh:mm example for one hour expiry set as 01:00. Max expiry will be 72 hours. Default is 24 hours,รูปแบบ: hh: mm สำหรับตัวอย่างหนึ่งชั่วโมงหมดอายุตั้งเช่น 01:00 แม็กซ์จะหมดอายุ 72 ชั่วโมง ค่าเริ่มต้นคือ 24 ชั่วโมง
Forum,ฟอรั่ม
Fraction,เศษ
Fraction Units,หน่วยเศษ
Freeze Stock Entries,ตรึงคอมเมนต์สินค้า
Friday,วันศุกร์
From,จาก
From Bill of Materials,จากค่าวัสดุ
From Company,จาก บริษัท
From Currency,จากสกุลเงิน
From Currency and To Currency cannot be same,สกุลเงินจากสกุลเงินและไม่สามารถเดียวกัน
From Customer,จากลูกค้า
From Date,จากวันที่
From Date must be before To Date,นับ แต่วันที่ต้องอยู่ก่อนวันที่ต้องการ
From Delivery Note,จากหมายเหตุการจัดส่งสินค้า
From Employee,จากพนักงาน
From Lead,จาก Lead
From PR Date,จากวันที่ PR
From Package No.,จากเลขที่แพคเกจ
From Purchase Order,จากการสั่งซื้อ
From Purchase Receipt,จากการรับซื้อ
From Sales Order,จากการสั่งซื้อการขาย
From Time,ตั้งแต่เวลา
From Value,จากมูลค่า
From Value should be less than To Value,จากค่าที่ควรจะน้อยกว่าค่า
Frozen,แช่แข็ง
Fulfilled,สม
Full Name,ชื่อเต็ม
Fully Completed,เสร็จสมบูรณ์
GL Entry,รายการ GL
GL Entry: Debit or Credit amount is mandatory for ,รายการ GL: จำนวนบัตรเดบิตหรือบัตรเครดิตมีผลบังคับใช้สำหรับ
GRN,GRN
Gantt Chart,แผนภูมิแกนต์
Gantt chart of all tasks.,แผนภูมิ Gantt ของงานทั้งหมด
Gender,เพศ
General,ทั่วไป
General Ledger,บัญชีแยกประเภททั่วไป
Generate Description HTML,สร้างคำอธิบาย HTML
Generate Material Requests (MRP) and Production Orders.,สร้างคำขอวัสดุ (MRP) และคำสั่งการผลิต
Generate Salary Slips,สร้าง Slips เงินเดือน
Generate Schedule,สร้างตาราง
"Generate packing slips for packages to be delivered. Used to notify package number, package contents and its weight.",สร้างบรรจุภัณฑ์แพคเกจที่จะส่งมอบ ใช้สำหรับการแจ้งจำนวนแพ็กเกจที่บรรจุและน้ำหนักของมัน
Generates HTML to include selected image in the description,สร้าง HTM​​L ที่จะรวมภาพที่เลือกไว้ในคำอธิบาย
Georgia,จอร์เจีย
Get,ได้รับ
Get Advances Paid,รับเงินทดรองจ่าย
Get Advances Received,รับเงินรับล่วงหน้า
Get Current Stock,รับสินค้าปัจจุบัน
Get From ,ได้รับจาก
Get Items,รับสินค้า
Get Items From Sales Orders,รับรายการจากคำสั่งซื้อขาย
Get Last Purchase Rate,รับซื้อให้ล่าสุด
Get Non Reconciled Entries,รับคอมเมนต์คืนดีไม่
Get Outstanding Invoices,รับใบแจ้งหนี้ค้าง
Get Purchase Receipt,รับใบเสร็จรับเงินซื้อ
Get Sales Orders,รับการสั่งซื้อการขาย
Get Specification Details,ดูรายละเอียดสเปค
Get Stock and Rate,รับสินค้าและอัตรา
Get Template,รับแม่แบบ
Get Terms and Conditions,รับข้อตกลงและเงื่อนไข
Get Weekly Off Dates,รับวันปิดสัปดาห์
"Get valuation rate and available stock at source/target warehouse on mentioned posting date-time. If serialized item, please press this button after entering serial nos.",ได้รับอัตรามูลค่าและสต็อกที่คลังสินค้าแหล่งที่มา / เป้าหมายดังกล่าวโพสต์วันที่เวลา ถ้าต่อเนื่องรายการโปรดกดปุ่มนี้หลังจากที่เข้ามา Nos อนุกรม
Give additional details about the indent.,ให้รายละเอียดเพิ่มเติมเกี่ยวกับการเยื้อง
Global Defaults,เริ่มต้นทั่วโลก
Go back to home,กลับไปที่บ้าน
Go to Setup > <a href='#user-properties'>User Properties</a> to set \			'territory' for diffent Users.,ไปที่ Setup&gt; <a href='#user-properties'>คุณสมบัติของผู้ใช้</a> ในการตั้งค่า \ &#39;ดินแดน&#39; สำหรับผู้ใช้ diffent
Goal,เป้าหมาย
Goals,เป้าหมาย
Goods received from Suppliers.,สินค้าที่ได้รับจากผู้จำหน่าย
Google Analytics ID,ID ของ Google Analytics
Google Drive,ใน Google Drive
Google Drive Access Allowed,เข้าถึงไดรฟ์ Google อนุญาต
Google Plus One,Google Plus One
Google Web Font (Heading),Google เว็บแบบอักษร (หนังสือ)
Google Web Font (Text),Google เว็บแบบอักษร (ข้อความ)
Grade,เกรด
Graduate,จบการศึกษา
Grand Total,รวมทั้งสิ้น
Grand Total (Company Currency),แกรนด์รวม (สกุลเงิน บริษัท )
Gratuity LIC ID,ID LIC บำเหน็จ
Gross Margin %,อัตรากำไรขั้นต้น%
Gross Margin Value,ค่าอัตรากำไรขั้นต้น
Gross Pay,จ่ายขั้นต้น
Gross Pay + Arrear Amount +Encashment Amount - Total Deduction,จ่ายขั้นต้น + จำนวน Arrear + จำนวนการได้เป็นเงินสด - หักรวม
Gross Profit,กำไรขั้นต้น
Gross Profit (%),กำไรขั้นต้น (%)
Gross Weight,น้ำหนักรวม
Gross Weight UOM,UOM น้ำหนักรวม
Group,กลุ่ม
Group or Ledger,กลุ่มหรือบัญชีแยกประเภท
Groups,กลุ่ม
HR,ทรัพยากรบุคคล
HR Settings,การตั้งค่าทรัพยากรบุคคล
HTML,HTML
HTML / Banner that will show on the top of product list.,HTML / แบนเนอร์ที่จะแสดงอยู่ด้านบนของรายการสินค้า
Half Day,ครึ่งวัน
Half Yearly,ประจำปีครึ่ง
Half-yearly,รายหกเดือน
Has Batch No,ชุดมีไม่มี
Has Child Node,มีโหนดลูก
Has Serial No,มีซีเรียลไม่มี
Header,ส่วนหัว
Heading,หัวเรื่อง
Heading Text As,ในฐานะที่เป็นหัวเรื่องข้อความ
Heads (or groups) against which Accounting Entries are made and balances are maintained.,หัว (หรือกลุ่ม) กับที่คอมเมนต์จะทำบัญชีและยอดคงเหลือจะรักษา
Health Concerns,ความกังวลเรื่องสุขภาพ
Health Details,รายละเอียดสุขภาพ
Held On,จัดขึ้นเมื่อวันที่
Help,ช่วย
Help HTML,วิธีใช้ HTML
"Help: To link to another record in the system, use ""#Form/Note/[Note Name]"" as the Link URL. (don't use ""http://"")",ช่วยเหลือ: ต้องการเชื่อมโยงไปบันทึกในระบบอื่นใช้ &quot;แบบฟอร์ม # / หมายเหตุ / [ชื่อ] หมายเหตุ&quot; เป็น URL ลิ้งค์ (ไม่ต้องใช้ &quot;http://&quot;)
Helvetica Neue,Neue Helvetica
"Hence, maximum allowed Manufacturing Quantity",ดังนั้นจำนวนการผลิตสูงสุดที่อนุญาต
"Here you can maintain family details like name and occupation of parent, spouse and children",ที่นี่คุณสามารถรักษารายละเอียดเช่นชื่อครอบครัวและอาชีพของผู้ปกครองคู่สมรสและเด็ก
"Here you can maintain height, weight, allergies, medical concerns etc","ที่นี่คุณสามารถรักษาความสูงน้ำหนัก, ภูมิแพ้, ฯลฯ ปัญหาด้านการแพทย์"
Hey there! You need to put at least one item in \				the item table.,Hey there! คุณจะต้องใส่อย่างน้อยหนึ่งรายการใน \ ตารางรายการ
Hey! All these items have already been invoiced.,Hey! รายการทั้งหมดเหล่านี้ได้รับใบแจ้งหนี้แล้ว
Hey! There should remain at least one System Manager,Hey! ควรมีตัวจัดการระบบยังคงอยู่อย่างน้อยหนึ่ง
Hidden,ซ่อน
Hide Actions,ซ่อนการดำเนินการ
Hide Copy,ซ่อนคัดลอก
Hide Currency Symbol,ซ่อนสัญลักษณ์สกุลเงิน
Hide Email,ซ่อนอีเมล์
Hide Heading,ซ่อนหัวเรื่อง
Hide Print,ซ่อนพิมพ์
Hide Toolbar,ซ่อนแถบเครื่องมือ
High,สูง
Highlight,เน้น
History,ประวัติศาสตร์
History In Company,ประวัติใน บริษัท
Hold,ถือ
Holiday,วันหยุด
Holiday List,รายการวันหยุด
Holiday List Name,ชื่อรายการวันหยุด
Holidays,วันหยุด
Home,บ้าน
Home Page,หน้าแรก
Home Page is Products,หน้าแรกคือผลิตภัณฑ์
Home Pages,หน้าแรก
Host,เจ้าภาพ
"Host, Email and Password required if emails are to be pulled","โฮสต์, Email และรหัสผ่านที่จำเป็นหากอีเมลที่จะดึง"
Hour Rate,อัตราชั่วโมง
Hour Rate Consumable,วัสดุสิ้นเปลืองค่าชั่วโมง
Hour Rate Electricity,การไฟฟ้าอัตราชั่วโมง
Hour Rate Labour,แรงงานอัตราชั่วโมง
Hour Rate Rent,ราคาเช่าชั่วโมง
Hours,ชั่วโมง
How frequently?,วิธีบ่อย?
"How should this currency be formatted? If not set, will use system defaults",วิธีการที่ควรสกุลเงินนี้จะจัดรูปแบบ? ถ้าไม่ตั้งจะใช้เริ่มต้นของระบบ
How to upload,วิธีการอัปโหลด
Hrvatski,Hrvatski
Human Resources,ทรัพยากรมนุษย์
Hurray! The day(s) on which you are applying for leave \					coincide with holiday(s). You need not apply for leave.,! Hurray วันที่ (s) ที่คุณกำลังใช้สำหรับออก \ ตรงกับวันหยุด (s) คุณไม่จำเป็นต้องใช้สำหรับการออก
I,ผม
ID (name) of the entity whose property is to be set,ID (ชื่อ) ของกิจการที่มีสถานที่ให้บริการจะถูกกำหนด
IDT,IDT
II,ครั้งที่สอง
III,III
IN,ใน
INV,INV
INV/10-11/,INV/10-11 /
ITEM,รายการ
IV,IV
Icon,ไอคอน
Icon will appear on the button,ไอคอนจะปรากฏบนปุ่ม
Id of the profile will be the email.,id ของโปรไฟล์จะเป็นอีเมล
Identification of the package for the delivery (for print),บัตรประจำตัวของแพคเกจสำหรับการส่งมอบ (สำหรับพิมพ์)
If Income or Expense,ถ้ารายได้หรือค่าใช้จ่าย
If Monthly Budget Exceeded,หากงบประมาณรายเดือนที่เกิน
"If Sale BOM is defined, the actual BOM of the Pack is displayed as table.Available in Delivery Note and Sales Order",ถ้า BOM ขายถูกกำหนด BOM ที่แท้จริงของแพ็คจะปรากฏเป็น table.Available ในหมายเหตุจัดส่งสินค้าและการสั่งซื้อการขาย
"If Supplier Part Number exists for given Item, it gets stored here",หากหมายเลขผู้ผลิตที่มีอยู่สำหรับรายการที่กำหนดจะได้รับการเก็บไว้ที่นี่
If Yearly Budget Exceeded,ถ้างบประมาณประจำปีเกิน
"If a User does not have access at Level 0, then higher levels are meaningless","หากผู้ใช้ไม่สามารถเข้าถึงที่ระดับ 0, ระดับที่สูงขึ้นแล้วมีความหมาย"
"If checked, BOM for sub-assembly items will be considered for getting raw materials. Otherwise, all sub-assembly items will be treated as a raw material.",หากการตรวจสอบรายการวัสดุสำหรับรายการย่อยประกอบจะได้รับการพิจารณาสำหรับการใช้วัตถุดิบ มิฉะนั้นทุกรายการย่อยประกอบจะได้รับการปฏิบัติเป็นวัตถุดิบ
"If checked, Total no. of Working Days will include holidays, and this will reduce the value of Salary Per Day",ถ้าการตรวจสอบรวม​​กัน ของวันทําการจะรวมถึงวันหยุดและนี้จะช่วยลดค่าของเงินเดือนที่ต้องการต่อวัน
