 (Half Day),(Demi-journée)
Disable Customer Signup link in Login page,Désactiver clientèle lien Inscription en page de connexion
Disable Rounded Total,Désactiver totale arrondie
Disable Signup,Désactiver Inscription
Disabled,Handicapé
Discount  %,% De réduction
Discount %,% De réduction
Discount (%),Remise (%)
"Discount Fields will be available in Purchase Order, Purchase Receipt, Purchase Invoice","Les champs d&#39;actualisation sera disponible en commande, reçu d&#39;achat, facture d&#39;achat"
Discount(%),Remise (%)
Display,Afficher
Display Settings,Paramètres d&#39;affichage
Display all the individual items delivered with the main items,Afficher tous les articles individuels livrés avec les principaux postes
Distinct unit of an Item,Unité distincte d&#39;un article
Distribute transport overhead across items.,Distribuer surdébit de transport pour tous les items.
Distribution,Répartition
Distribution Id,Id distribution
Distribution Name,Nom distribution
Distributor,Distributeur
Divorced,Divorcé
Do not show any symbol like $ etc next to currencies.,Ne plus afficher n&#39;importe quel symbole comme $ etc à côté de devises.
Doc Name,Nom de Doc
Doc Status,Statut Doc
Doc Type,Doc Type d&#39;
DocField,DocField
DocPerm,DocPerm
DocType,DOCTYPE
DocType Details,Détails DocType
DocType is a Table / Form in the application.,DocType est un tableau / formulaire dans l&#39;application.
DocType on which this Workflow is applicable.,DOCTYPE de la présente Workflow est applicable.
DocType or Field,DocType ou Champ
Document,Document
Document Description,Description du document
Document Numbering Series,Série de documents de numérotation
Document Status transition from ,transition de l&#39;état du document de
Document Type,Type de document
Document is only editable by users of role,Document est modifiable uniquement par les utilisateurs de rôle
Documentation,Documentation
Documentation Generator Console,Console de générateur de documentation
Documentation Tool,Outil de documentation
Documents,Documents
Domain,Domaine
Download Backup,Télécharger Backup
Download Materials Required,Télécharger Matériel requis
Download Template,Télécharger le modèle
Download a report containing all raw materials with their latest inventory status,Télécharger un rapport contenant toutes les matières premières avec leur dernier état des stocks
"Download the Template, fill appropriate data and attach the modified file.All dates and employee combination in the selected period will come in the template, with existing attendance records","Télécharger le modèle, remplissez les données appropriées et fixer les dates de file.All modifiés et la combinaison de l&#39;employé dans la période choisie viendra dans le modèle, avec des records de fréquentation existants"
Draft,Avant-projet
Drafts,Brouillons
Drag to sort columns,Faites glisser pour trier les colonnes
Dropbox,Dropbox
Dropbox Access Allowed,Dropbox accès autorisé
Dropbox Access Key,Dropbox Clé d&#39;accès
Dropbox Access Secret,Dropbox accès secrète
Due Date,Due Date
EMP/,EMP /
ESIC CARD No,CARTE Aucune ESIC
ESIC No.,ESIC n °
Earning,Revenus
Earning & Deduction,Gains et déduction
Earning Type,Gagner Type d&#39;
Earning1,Earning1
Edit,Éditer
Editable,Editable
Educational Qualification,Qualification pour l&#39;éducation
Educational Qualification Details,Détails de qualification d&#39;enseignement
Eg. smsgateway.com/api/send_sms.cgi,Par exemple. smsgateway.com / api / send_sms.cgi
Email,Email
Email (By company),Email (par entreprise)
Email Digest,Email Digest
Email Digest Settings,Paramètres de messagerie Digest
Email Host,Hôte Email
Email Id,Identification d&#39;email
"Email Id must be unique, already exists for: ","Email ID doit être unique, existe déjà pour:"
"Email Id where a job applicant will email e.g. ""jobs@example.com""",Identification d&#39;email où un demandeur d&#39;emploi enverra par courriel par exemple &quot;jobs@example.com&quot;
Email Login,Connexion E-mail
Email Password,E-mail Mot
Email Sent,Courriel a été envoyé
Email Sent?,Envoyer envoyés?
Email Settings,Paramètres de messagerie
Email Settings for Outgoing and Incoming Emails.,Paramètres de messagerie pour courriels entrants et sortants.
Email Signature,Signature e-mail
Email Use SSL,Envoyer SSL
"Email addresses, separted by commas","Adresses e-mail par des virgules, separted"
Email ids separated by commas.,identifiants de messagerie séparées par des virgules.
"Email settings for jobs email id ""jobs@example.com""",Paramètres par email pour Emploi email id &quot;jobs@example.com&quot;
"Email settings to extract Leads from sales email id e.g. ""sales@example.com""",Paramètres de messagerie pour extraire des ventes Leads e-mail par exemple id &quot;sales@example.com&quot;
Email...,Adresse e-mail ...
Embed image slideshows in website pages.,Intégrer des diaporamas d&#39;images dans les pages du site.
Emergency Contact Details,Détails de contact d&#39;urgence
Emergency Phone Number,Numéro de téléphone d&#39;urgence
Employee,Employé
Employee Birthday,Anniversaire des employés
Employee Designation.,Désignation des employés.
Employee Details,Détails des employés
Employee Education,Formation des employés
Employee External Work History,Antécédents de travail des employés externe
Employee Information,Renseignements sur l&#39;employé
Employee Internal Work History,Antécédents de travail des employés internes
Employee Internal Work Historys,Historys employés de travail internes
Employee Leave Approver,Congé employé approbateur
Employee Leave Balance,Congé employé Solde
Employee Name,Nom de l&#39;employé
Employee Number,Numéro d&#39;employé
Employee Records to be created by,Dossiers sur les employés à être créées par
Employee Setup,Configuration des employés
Employee Type,Type de contrat
Employee grades,Grades du personnel
Employee record is created using selected field. ,dossier de l&#39;employé est créé en utilisant champ sélectionné.
Employee records.,Les dossiers des employés.
Employee: ,Employé:
Employees Email Id,Les employés Id Email
Employment Details,Détails de l&#39;emploi
Employment Type,Type d&#39;emploi
Enable Auto Inventory Accounting,Activer Auto Inventory Accounting
Enable Shopping Cart,Activer Panier
Enabled,Activé
Enables <b>More Info.</b> in all documents,Permet <b>Plus d&#39;info.</b> Sur tous les documents
Encashment Date,Date de l&#39;encaissement
End Date,Date de fin
End date of current invoice's period,Date de fin de la période de facturation en cours
End of Life,Fin de vie
Ends on,Se termine le
Enter Email Id to receive Error Report sent by users.E.g.: support@iwebnotes.com,Entrez Id email pour recevoir Rapport d&#39;erreur envoyé par users.Eg: support@iwebnotes.com
Enter Form Type,Entrez le type de formulaire
Enter Row,Entrez Row
Enter Verification Code,Entrez le code de vérification
Enter campaign name if the source of lead is campaign.,Entrez le nom de la campagne si la source de plomb est la campagne.
"Enter default value fields (keys) and values. If you add multiple values for a field, the first one will be picked. These defaults are also used to set ""match"" permission rules. To see list of fields, go to <a href=""#Form/Customize Form/Customize Form"">Customize Form</a>.","Remplir les champs de valeur par défaut (touches) et les valeurs. Si vous ajoutez plusieurs valeurs pour un champ, le premier sera choisi. Ces valeurs par défaut sont également utilisés pour définir des règles d&#39;autorisation &quot;match&quot;. Pour voir la liste des champs, allez à <a href=""#Form/Customize Form/Customize Form"">Personnaliser le formulaire</a> ."
Enter department to which this Contact belongs,Entrez département auquel appartient ce contact
Enter designation of this Contact,Entrez la désignation de ce contact
"Enter email id separated by commas, invoice will be mailed automatically on particular date","Entrez Identifiant courriels séparé par des virgules, la facture sera envoyée automatiquement à la date particulière"
Enter items and planned qty for which you want to raise production orders or download raw materials for analysis.,Introduisez les articles et qté planifiée pour laquelle vous voulez soulever ordres de fabrication ou de télécharger des matières premières pour l&#39;analyse.
Enter name of campaign if source of enquiry is campaign,Entrez le nom de la campagne si la source de l&#39;enquête est la campagne
"Enter static url parameters here (Eg. sender=ERPNext, username=ERPNext, password=1234 etc.)","Entrez les paramètres url statiques (par exemple ici sender = ERPNext, username = ERPNext, mot de passe = 1234 etc)"
Enter the company name under which Account Head will be created for this Supplier,Entrez le nom de la société en vertu de laquelle Head compte sera créé pour ce Fournisseur
Enter the date by which payments from customer is expected against this invoice.,Entrez la date à laquelle les paiements du client est censé contre cette facture.
Enter url parameter for message,Entrez le paramètre url pour le message
Enter url parameter for receiver nos,Entrez le paramètre url pour nos récepteurs
Entries,Entrées
Entries are not allowed against this Fiscal Year if the year is closed.,Les inscriptions ne sont pas autorisés contre cette exercice si l&#39;année est fermé.
Error,Erreur
Error for,Erreur d&#39;
Error: Document has been modified after you have opened it,Erreur: document a été modifié après que vous l&#39;avez ouvert
Estimated Material Cost,Coût des matières premières estimée
Event,Événement
Event End must be after Start,Fin de l&#39;événement doit être postérieure au début
Event Individuals,Les individus de l&#39;événement
Event Role,Rôle de l&#39;événement
Event Roles,Rôles de l&#39;événement
Event Type,Type d&#39;événement
Event User,L&#39;utilisateur d&#39;Event
Events In Today's Calendar,Événements dans le calendrier d&#39;aujourd&#39;hui
Every Day,Every Day
Every Month,Chaque mois
Every Week,Chaque semaine
Every Year,Chaque année
Everyone can read,Tout le monde peut lire
Example:,Exemple:
Exchange Rate,Taux de change
Excise Page Number,Numéro de page d&#39;accise
Excise Voucher,Bon d&#39;accise
Exemption Limit,Limite d&#39;exemption
Exhibition,Exposition
Existing Customer,Client existant
Exit,Sortie
Exit Interview Details,Quittez Détails Interview
Expected,Attendu
Expected Delivery Date,Date de livraison prévue
Expected End Date,Date de fin prévue
Expected Start Date,Date de début prévue
Expense Account,Compte de dépenses
Expense Account is mandatory,Compte de dépenses est obligatoire
Expense Claim,Demande d&#39;indemnité de
Expense Claim Approved,Demande d&#39;indemnité Approuvé
Expense Claim Approved Message,Demande d&#39;indemnité Approuvé message
Expense Claim Detail,Détail remboursement des dépenses
Expense Claim Details,Détails de la réclamation des frais de
Expense Claim Rejected,Demande d&#39;indemnité rejetée
Expense Claim Rejected Message,Demande d&#39;indemnité rejeté le message
Expense Claim Type,Type de demande d&#39;indemnité
Expense Date,Date de frais
Expense Details,Détail des dépenses
Expense Head,Chef des frais
Expense account is mandatory for item: ,compte de dépenses est obligatoire pour objet:
Expense/Adjustment Account,Charges / Ajustement compte
Expenses Booked,Dépenses Réservé
Expenses Included In Valuation,Frais inclus dans l&#39;évaluation
Expenses booked for the digest period,Charges comptabilisées pour la période digest
Expiry Date,Date d&#39;expiration
Export,Exporter
Exports,Exportations
External,Externe
Extract Emails,Extrait Emails
FCFS Rate,Taux PAPS
FIFO,FIFO
Facebook Share,Facebook Partager
Failed: ,Échec:
Family Background,Antécédents familiaux
FavIcon,FavIcon
Fax,Fax
Features Setup,Features Setup
Feed,Nourrir
Feed Type,Type de flux
Feedback,Réaction
Female,Féminin
Fetch lead which will be converted into customer.,Fetch plomb qui sera converti en client.
Field Description,Champ Description
Field Name,Nom de domaine
Field Type,Type de champ
"Field available in Delivery Note, Quotation, Sales Invoice, Sales Order","Champ disponible dans la note de livraison, devis, facture de vente, Sales Order"
"Field that represents the Workflow State of the transaction (if field is not present, a new hidden Custom Field will be created)","Champ qui représente l&#39;état du workflow de la transaction (si le champ n&#39;est pas présent, un nouveau champ caché personnalisé sera créé)"
Fieldname,Fieldname
Fields,Champs
"Fields separated by comma (,) will be included in the<br /><b>Search By</b> list of Search dialog box","Les champs séparés par des virgules (,) seront inclus dans le <br /> <b>Recherche par</b> liste de la boîte de dialogue Rechercher"
File,Fichier
File Data,Fichier de données
File Name,Nom du fichier
File Size,Taille du fichier
File URL,URL du fichier
File size exceeded the maximum allowed size,La taille du fichier dépasse la taille maximale autorisée
Files Folder ID,Les fichiers d&#39;identification des dossiers
Filing in Additional Information about the Opportunity will help you analyze your data better.,Dépôt dans les Renseignements additionnels au sujet de l&#39;opportunité vous aidera à analyser vos données de meilleure qualité.
Filing in Additional Information about the Purchase Receipt will help you analyze your data better.,Dépôt dans les Renseignements additionnels sur le reçu d&#39;achat vous aidera à analyser vos données de meilleure qualité.
Filling in Additional Information about the Delivery Note will help you analyze your data better.,Remplissage Informations complémentaires sur le bon de livraison vous aidera à analyser vos données de meilleure qualité.
Filling in additional information about the Quotation will help you analyze your data better.,Remplir des informations supplémentaires sur le devis vous aidera à analyser vos données de meilleure qualité.
Filling in additional information about the Sales Order will help you analyze your data better.,Remplir des informations supplémentaires sur l&#39;Ordre des ventes vous aidera à analyser vos données de meilleure qualité.
Filter,Filtrez
Filter By Amount,Filtrer par Montant
Filter By Date,Filtrer par date
Filter based on customer,Filtre basé sur le client
Filter based on item,Filtre basé sur le point
Final Confirmation Date,Date de confirmation finale
Financial Analytics,Financial Analytics
Financial Statements,États financiers
First Name,Prénom
First Responded On,D&#39;abord répondu le
Fiscal Year,Exercice
Fixed Asset Account,Compte des immobilisations
Float,Flotter
Float Precision,Flotteur de précision
Follow via Email,Suivez par e-mail
Following Journal Vouchers have been created automatically,Suite à des pièces de journal ont été créées automatiquement
"Following table will show values if items are sub - contracted. These values will be fetched from the master of ""Bill of Materials"" of sub - contracted items.",Le tableau suivant indique les valeurs si les articles sont en sous - traitance. Ces valeurs seront extraites de la maîtrise de la «Bill of Materials&quot; de sous - traitance articles.
Font (Heading),Font (cap)
Font (Text),Font (texte)
Font Size (Text),Taille de la police (texte)
Fonts,Fonts
Footer,Pied de page
Footer Items,Articles de bas de page
For All Users,Pour tous les utilisateurs
For Company,Pour l&#39;entreprise
For Employee,Pour les employés
For Employee Name,Pour Nom de l&#39;employé
For Item ,Pour l&#39;article
"For Links, enter the DocType as rangeFor Select, enter list of Options separated by comma","Pour les liens, entrez le DocType que rangeFor Select, entrer dans la liste d&#39;options séparées par des virgules"
For Production,Pour la production
For Reference Only.,Pour référence seulement.
For Sales Invoice,Pour Facture de vente
For Server Side Print Formats,Server Side Formats d&#39;impression
For Territory,Pour le territoire
For UOM,Pour UOM
For Warehouse,Pour Entrepôt
"For comparative filters, start with","Pour les filtres de comparaison, commencez par"
"For e.g. 2012, 2012-13","Pour exemple, 2012, 2012-13"
For example if you cancel and amend 'INV004' it will become a new document 'INV004-1'. This helps you to keep track of each amendment.,"Par exemple, si vous annulez et modifier »INV004 &#39;il deviendra un nouveau document» INV004-1&#39;. Cela vous aide à garder la trace de chaque modification."
For example: You want to restrict users to transactions marked with a certain property called 'Territory',Par exemple: Vous souhaitez empêcher les utilisateurs de transactions marquées avec une certaine propriété appelée «territoire»
For opening balance entry account can not be a PL account,Pour ouvrir inscription en compte l&#39;équilibre ne peut pas être un compte de PL
For ranges,Pour les plages
For reference,Pour référence
For reference only.,À titre de référence seulement.
For row,Pour rangée
"For the convenience of customers, these codes can be used in print formats like Invoices and Delivery Notes","Pour la commodité des clients, ces codes peuvent être utilisés dans des formats d&#39;impression comme les factures et les bons de livraison"
Form,Forme
Format: hh:mm example for one hour expiry set as 01:00. Max expiry will be 72 hours. Default is 24 hours,Format: hh: mm Exemple pour une heure fixée d&#39;expiration 01:00. Max expiration sera de 72 heures. Défaut est 24 heures
Forum,Forum
Fraction,Fraction
Fraction Units,Unités fraction
Freeze Stock Entries,Congeler entrées en stocks
Friday,Vendredi
From,À partir de
From Bill of Materials,De Bill of Materials
From Company,De Company
From Currency,De Monnaie
From Currency and To Currency cannot be same,De leur monnaie et à devises ne peut pas être la même
From Customer,De clientèle
From Date,Partir de la date
From Date must be before To Date,Partir de la date doit être antérieure à ce jour
From Delivery Note,De bon de livraison
From Employee,De employés
From Lead,Du plomb
From PR Date,De PR Date
From Package No.,De Ensemble numéro
From Purchase Order,De bon de commande
From Purchase Receipt,De ticket de caisse
From Sales Order,De Sales Order
From Time,From Time
From Value,De la valeur
From Value should be less than To Value,De valeur doit être inférieure à la valeur
Frozen,Frozen
Fulfilled,Remplies
Full Name,Nom et Prénom
Fully Completed,Entièrement complété
GL Entry,Entrée GL
GL Entry: Debit or Credit amount is mandatory for ,GL Entrée: quantité de débit ou de crédit est obligatoire pour
GRN,GRN
Gantt Chart,Diagramme de Gantt
Gantt chart of all tasks.,Diagramme de Gantt de toutes les tâches.
Gender,Sexe
General,Général
General Ledger,General Ledger
Generate Description HTML,Générer HTML Description
Generate Material Requests (MRP) and Production Orders.,Lieu à des demandes de matériel (MRP) et de la procédure de production.
Generate Salary Slips,Générer les bulletins de salaire
Generate Schedule,Générer annexe
"Generate packing slips for packages to be delivered. Used to notify package number, package contents and its weight.","Générer des bordereaux d&#39;emballage pour les colis à livrer. Utilisé pour avertir le numéro du colis, contenu du paquet et son poids."
Generates HTML to include selected image in the description,Génère du code HTML pour inclure l&#39;image sélectionnée dans la description
Georgia,Géorgie
Get,Obtenez
Get Advances Paid,Obtenez Avances et acomptes versés
Get Advances Received,Obtenez Avances et acomptes reçus
Get Current Stock,Obtenez Stock actuel
Get From ,Obtenez partir
Get Items,Obtenir les éléments
Get Items From Sales Orders,Obtenir des éléments de Sales Orders
Get Last Purchase Rate,Obtenez Purchase Rate Dernière
Get Non Reconciled Entries,Obtenez Non Entrées rapprochées
Get Outstanding Invoices,Obtenez Factures en souffrance
Get Purchase Receipt,Obtenez reçu d&#39;achat
Get Sales Orders,Obtenez des commandes clients
Get Specification Details,Obtenez les détails Spécification
Get Stock and Rate,Obtenez stock et taux
Get Template,Obtenez modèle
Get Terms and Conditions,Obtenez Termes et Conditions
Get Weekly Off Dates,Obtenez hebdomadaires Dates Off
"Get valuation rate and available stock at source/target warehouse on mentioned posting date-time. If serialized item, please press this button after entering serial nos.","Obtenez taux d&#39;évaluation et le stock disponible à la source / cible d&#39;entrepôt sur l&#39;affichage mentionné de date-heure. Si sérialisé article, s&#39;il vous plaît appuyez sur cette touche après avoir entré numéros de série."
Give additional details about the indent.,Donnez des détails supplémentaires sur le tiret.
Global Defaults,Par défaut mondiaux
Go back to home,Retour à l&#39;accueil
Go to Setup > <a href='#user-properties'>User Properties</a> to set \			'territory' for diffent Users.,Allez dans Réglages&gt; <a href='#user-properties'>Propriétés de l&#39;utilisateur</a> de mettre en \ &quot;territoire&quot; pour les utilisateurs differents.
Goal,Objectif
Goals,Objectifs
Goods received from Suppliers.,Les marchandises reçues de fournisseurs.
Google Analytics ID,Google Analytics ID
Google Drive,Google Drive
Google Drive Access Allowed,Google Drive accès autorisé
Google Plus One,Google Plus One
Google Web Font (Heading),Google Web Font (cap)
Google Web Font (Text),Google Web Font (texte)
Grade,Grade
Graduate,Diplômé
Grand Total,Grand Total
Grand Total (Company Currency),Total (Société Monnaie)
Gratuity LIC ID,ID LIC gratuité
Gross Margin %,Marge brute%
Gross Margin Value,Valeur Marge brute
Gross Pay,Salaire brut
Gross Pay + Arrear Amount +Encashment Amount - Total Deduction,Salaire brut + + Montant Montant échu Encaissement - Déduction totale
Gross Profit,Bénéfice brut
Gross Profit (%),Bénéfice brut (%)
Gross Weight,Poids brut
Gross Weight UOM,Emballage Poids brut
Group,Groupe
Group or Ledger,Groupe ou Ledger
Groups,Groupes
HR,RH
HR Settings,Réglages RH
HTML,HTML
HTML / Banner that will show on the top of product list.,HTML / bannière qui apparaîtra sur le haut de la liste des produits.
Half Day,Demi-journée
Half Yearly,La moitié annuel
Half-yearly,Semestriel
Has Batch No,A lot no
Has Child Node,A Node enfant
Has Serial No,N ° de série a
Header,En-tête
Heading,Titre
Heading Text As,Intitulé texte que
Heads (or groups) against which Accounting Entries are made and balances are maintained.,Chefs (ou groupes) contre lequel Écritures comptables sont faites et les soldes sont maintenues.
Health Concerns,Préoccupations pour la santé
Health Details,Détails de santé
Held On,Tenu le
Help,Aider
Help HTML,Aide HTML
"Help: To link to another record in the system, use ""#Form/Note/[Note Name]"" as the Link URL. (don't use ""http://"")","Aide: Pour lier à un autre enregistrement dans le système, utiliser &quot;# Form / Note / [Note Nom]», comme l&#39;URL du lien. (Ne pas utiliser &quot;http://&quot;)"
Helvetica Neue,Helvetica Neue
"Hence, maximum allowed Manufacturing Quantity","Par conséquent, la quantité maximale autorisée de fabrication"
"Here you can maintain family details like name and occupation of parent, spouse and children","Ici vous pouvez conserver les détails de famille comme nom et la profession des parents, le conjoint et les enfants"
"Here you can maintain height, weight, allergies, medical concerns etc","Ici vous pouvez maintenir la hauteur, le poids, allergies, etc médicaux préoccupations"
Hey there! You need to put at least one item in \				the item table.,Hey there! Vous devez mettre au moins un article dans \ l&#39;élément de table.
Hey! All these items have already been invoiced.,Hey! Tous ces éléments ont déjà été facturés.
Hey! There should remain at least one System Manager,Hey! Il devrait y rester au moins un System Manager
Hidden,Caché
Hide Actions,Masquer Actions
Hide Copy,Cacher Copier
Hide Currency Symbol,Masquer le symbole monétaire
Hide Email,Masquer e-mail
Hide Heading,Masquer le Cap
Hide Print,Masquer Imprimer
Hide Toolbar,Masquer la barre
High,Haut
Highlight,Surligner
History,Histoire
History In Company,Dans l&#39;histoire de l&#39;entreprise
Hold,Tenir
Holiday,Vacances
Holiday List,Liste de vacances
Holiday List Name,Nom de la liste de vacances
Holidays,Fêtes
Home,Maison
Home Page,Page d&#39;accueil
Home Page is Products,Page d&#39;accueil Produits est
Home Pages,Pages d&#39;accueil
Host,Hôte
"Host, Email and Password required if emails are to be pulled","D&#39;accueil, e-mail et mot de passe requis si les courriels sont d&#39;être tiré"
Hour Rate,Taux heure
Hour Rate Consumable,Consommables heure Tarif
Hour Rate Electricity,Tarifs d&#39;électricité heure
Hour Rate Labour,Travail heure Tarif
Hour Rate Rent,Loyer heure Tarif
Hours,Heures
How frequently?,Quelle est la fréquence?
"How should this currency be formatted? If not set, will use system defaults","Comment cette monnaie est formaté? S&#39;il n&#39;est pas défini, utilisera par défaut du système"
How to upload,Comment faire pour télécharger
Hrvatski,Hrvatski
Human Resources,Ressources humaines
Hurray! The day(s) on which you are applying for leave \					coincide with holiday(s). You need not apply for leave.,Hourra! Le jour (s) sur lequel vous faites une demande d&#39;autorisation \ coïncider avec séjour (s). Vous n&#39;avez pas besoin demander un congé.
I,Je
ID (name) of the entity whose property is to be set,ID (nom) de l&#39;entité dont la propriété doit être définie
IDT,IDT
II,II
III,III
IN,EN
INV,INV
INV/10-11/,INV/10-11 /
ITEM,ARTICLE
IV,IV
Icon,Icône
Icon will appear on the button,Icône apparaîtra sur le bouton
Id of the profile will be the email.,Id du profil sera l&#39;e-mail.
Identification of the package for the delivery (for print),Identification de l&#39;emballage pour la livraison (pour l&#39;impression)
If Income or Expense,Si les produits ou charges
If Monthly Budget Exceeded,Si le budget mensuel dépassé
"If Sale BOM is defined, the actual BOM of the Pack is displayed as table.Available in Delivery Note and Sales Order","Si BOM vente est définie, la nomenclature actuelle de la meute est affiché comme table.Available dans la note de livraison et des commandes clients"
"If Supplier Part Number exists for given Item, it gets stored here","Si le numéro de pièce fournisseur existe pour objet donné, il est stocké ici"
If Yearly Budget Exceeded,Si le budget annuel dépassé
"If a User does not have access at Level 0, then higher levels are meaningless","Si un utilisateur n&#39;a pas accès au niveau 0, puis des niveaux plus élevés n&#39;ont pas de sens"
"If checked, BOM for sub-assembly items will be considered for getting raw materials. Otherwise, all sub-assembly items will be treated as a raw material.","Si elle est cochée, la nomenclature des sous-ensembles points seront examinés pour obtenir des matières premières. Sinon, tous les éléments du sous-ensemble sera traitée comme une matière première."
"If checked, Total no. of Working Days will include holidays, and this will reduce the value of Salary Per Day","Si elle est cochée, aucune totale. des jours de travail comprennent vacances, ce qui réduira la valeur de salaire par jour"
"If checked, all other workflows become inactive.","Si elle est cochée, tous les autres flux de production deviennent inactifs."
"If checked, an email with an attached HTML format will be added to part of the EMail body as well as attachment. To only send as attachment, uncheck this.","Si elle est cochée, un e-mail avec un format HTML ci-joint sera ajouté à une partie du corps du message ainsi que l&#39;attachement. Pour envoyer uniquement en pièce jointe, décochez cette."
"If checked, the Home page will be the default Item Group for the website.","Si elle est cochée, la page d&#39;accueil sera le groupe d&#39;éléments par défaut pour le site."
"If checked, the tax amount will be considered as already included in the Print Rate / Print Amount","Si elle est cochée, le montant de la taxe sera considéré comme déjà inclus dans le tarif Imprimer / Print Montant"
"If disable, 'Rounded Total' field will not be visible in any transaction","Si désactiver, &#39;arrondi totale «champ ne sera pas visible dans toute transaction"
"If enabled, the system will post accounting entries for inventory automatically.","S&#39;il est activé, le système affichera les écritures comptables pour l&#39;inventaire automatiquement."
"If image is selected, color will be ignored (attach first)","Si l&#39;image est sélectionnée, la couleur sera ignoré (joindre en premier)"
If more than one package of the same type (for print),Si plus d&#39;un paquet du même type (pour l&#39;impression)
If non standard port (e.g. 587),Si non port standard (par exemple 587)
If not applicable please enter: NA,S&#39;il n&#39;est pas applicable s&#39;il vous plaît entrez: NA
"If not checked, the list will have to be added to each Department where it has to be applied.","Si ce n&#39;est pas cochée, la liste devra être ajouté à chaque département où il doit être appliqué."
"If not, create a","Sinon, créez un"
"If set, data entry is only allowed for specified users. Else, entry is allowed for all users with requisite permissions.","S&#39;il est défini, la saisie des données n&#39;est autorisé que pour les utilisateurs spécifiés. Sinon, l&#39;entrée est autorisée pour tous les utilisateurs disposant des autorisations requises."
"If specified, send the newsletter using this email address","S&#39;il est spécifié, envoyer le bulletin en utilisant cette adresse e-mail"
"If the 'territory' Link Field exists, it will give you an option to select it","Si le champ Lien du «territoire» existe, il vous donnera une option pour la sélectionner"
"If the account is frozen, entries are allowed for the ""Account Manager"" only.","Si le compte est gelé, les entrées sont autorisées pour le «Account Manager» seulement."
"If this Account represents a Customer, Supplier or Employee, set it here.","Si ce compte représente un client, fournisseur ou employé, l&#39;indiquer ici."
If you follow Quality Inspection<br>Enables item QA Required and QA No in Purchase Receipt,Si vous suivez inspection de la qualité <br> Permet article Pas de QA et QA requis en reçu d&#39;achat
If you have Sales Team and Sale Partners (Channel Partners)  they can be tagged and maintain their contribution in the sales activity,"Si vous avez équipe de vente et Partenaires Vente (Channel Partners), ils peuvent être marqués et maintenir leur contribution à l&#39;activité commerciale"
"If you have created a standard template in Purchase Taxes and Charges Master, select one and click on the button below.","Si vous avez créé un modèle standard de taxes à l&#39;achat et Master accusations, sélectionnez-le et cliquez sur le bouton ci-dessous."
"If you have created a standard template in Sales Taxes and Charges Master, select one and click on the button below.","Si vous avez créé un modèle standard en taxes de vente et les frais de Master, sélectionnez-le et cliquez sur le bouton ci-dessous."
"If you have long print formats, this feature can be used to split the page to be printed on multiple pages with all headers and footers on each page","Si vous avez longtemps imprimer des formats, cette fonction peut être utilisée pour diviser la page à imprimer sur plusieurs pages avec tous les en-têtes et pieds de page sur chaque page"
If you involve in manufacturing activity<br>Enables item <b>Is Manufactured</b>,Si vous impliquer dans l&#39;activité manufacturière <br> Permet article <b>est fabriqué</b>
Ignore,Ignorer
Ignored: ,Ignoré:
Image,Image
Image Link,Lien vers l&#39;image
Image View,Voir l&#39;image
Implementation Partner,Partenaire de mise en œuvre
Import,Importer
Import Attendance,Importer Participation
Import Log,Importer Connexion
Important dates and commitments in your project life cycle,Dates importantes et des engagements dans votre cycle de vie du projet
Imports,Importations
In Dialog,Dans la boîte de dialogue
In Filter,Dans filtre
In Hours,Dans Heures
In List View,Dans la Fenêtre
In Process,In Process
In Report Filter,Dans le rapport de filtre
In Row,En Ligne
In Store,En magasin
In Words,Dans les mots
In Words (Company Currency),En Words (Société Monnaie)
In Words (Export) will be visible once you save the Delivery Note.,Dans Words (Exportation) sera visible une fois que vous enregistrez le bon de livraison.
In Words will be visible once you save the Delivery Note.,Dans les mots seront visibles une fois que vous enregistrez le bon de livraison.
In Words will be visible once you save the Purchase Invoice.,Dans les mots seront visibles une fois que vous enregistrez la facture d&#39;achat.
In Words will be visible once you save the Purchase Order.,Dans les mots seront visibles une fois que vous enregistrez le bon de commande.
In Words will be visible once you save the Purchase Receipt.,Dans les mots seront visibles une fois que vous enregistrez le reçu d&#39;achat.
In Words will be visible once you save the Quotation.,Dans les mots seront visibles une fois que vous enregistrez le devis.
In Words will be visible once you save the Sales Invoice.,Dans les mots seront visibles une fois que vous enregistrez la facture de vente.
In Words will be visible once you save the Sales Order.,Dans les mots seront visibles une fois que vous enregistrez le bon de commande.
In response to,En réponse à
"In the Permission Manager, click on the button in the 'Condition' column for the Role you want to restrict.","Dans le Gestionnaire d&#39;autorisations, cliquez sur le bouton dans la &#39;condition&#39; de colonne pour le rôle que vous souhaitez restreindre."
Incentives,Incitations
Incharge Name,Nom Incharge
Include holidays in Total no. of Working Days,Inclure les vacances en aucun totale. de jours de travail
Income / Expense,Produits / charges
Income Account,Compte de revenu
Income Booked,Revenu Réservé
Income Year to Date,Année revenu à ce jour
Income booked for the digest period,Revenu réservée pour la période digest
Incoming,Nouveau
Incoming / Support Mail Setting,Entrant / Support mail Configurer
Incoming Rate,Taux d&#39;entrée
Incoming Time,Heure d&#39;arrivée
Incoming quality inspection.,Contrôle de la qualité entrant.
Index,Index
Indicates that the package is a part of this delivery,Indique que le paquet est une partie de cette prestation
Individual,Individuel
Individuals,Les personnes
Industry,Industrie
Industry Type,Secteur d&#39;activité
Info,Infos
Insert After,Insérer après
Insert Below,Insérer en dessous
