 (Half Day),（半天）
Discount (%),折让（％）
"Discount Fields will be available in Purchase Order, Purchase Receipt, Purchase Invoice",折扣场将在采购订单，采购入库单，采购发票
Discount(%),折让（％）
Display Settings,显示设置
Display all the individual items delivered with the main items,显示所有交付使用的主要项目的单个项目
Distinct unit of an Item,该产品的独特单位
Distribute transport overhead across items.,分布到项目的传输开销。
Distribution,分配
Distribution Id,分配标识
Distribution Name,分配名称
Distributor,经销商
Divorced,离婚
Do Not Contact,不要联系
Do not show any symbol like $ etc next to currencies.,不要显示，如$等任何符号旁边货币。
Do really want to unstop production order: ,难道真的要unstop生产订单：
Do you really want to STOP this Material Request?,你真的要停止这种材料要求？
Do you really want to UNSTOP this Material Request?,难道你真的想要UNSTOP此材料要求？
Do you really want to stop production order: ,你真的要停止生产订单：
Doc Name,文件名称
Doc Status,文件状态
Doc Type,文件类型
DocField,DocField
DocPerm,DocPerm
DocType,的DocType
DocType Details,的DocType详情
DocType can not be merged,DocType文档类型不能合并
DocType is a Table / Form in the application.,的DocType是一个表/表格中的应用。
DocType on which this Workflow is applicable.,DocType文档类型上这个工作流是适用的。
DocType or Field,的DocType或现场
Docname,可采用DocName
Document,文件
Document Description,文档说明
Document Status transition from ,从文档状态过渡
Document Type,文件类型
Document Types,文档类型
Document is only editable by users of role,文件只有通过编辑角色的用户
Documentation,文档
Documentation Generator Console,文档生成器控制台
Documentation Tool,文档工具
Documents,文件
Domain,域
Don't send Employee Birthday Reminders,不要送员工生日提醒
Download Backup,下载备份
Download Materials Required,下载所需材料
Download Reconcilation Data,下载Reconcilation数据
Download Template,下载模板
Download a report containing all raw materials with their latest inventory status,下载一个包含所有原料一份报告，他们最新的库存状态
"Download the Template, fill appropriate data and \					attach the modified file.",下载模板，填写相应的数据和\附上修改后的文件。
"Download the Template, fill appropriate data and attach the modified file.All dates and employee combination in the selected period will come in the template, with existing attendance records",下载模板，填写相应的数据，并附加修饰file.All日期和员工组合在选定的期限会在模板中，与现有的考勤记录
Draft,草案
Drafts,草稿箱
Drag to sort columns,拖动进行排序的列
Dropbox,Dropbox的
Dropbox Access Allowed,Dropbox的允许访问
Dropbox Access Key,Dropbox的访问键
Dropbox Access Secret,Dropbox的访问秘密
Due Date,到期日
Duplicate Item,重复项目
EMP/,EMP /
ERPNext Setup,ERPNext设置
ERPNext Setup Guide,ERPNext安装指南
"ERPNext is an open-source web based ERP made by Web Notes Technologies Pvt Ltd.\		to provide an integrated tool to manage most processes in a small organization.\		For more information about Web Notes, or to buy hosting servies, go to ",ERPNext是一个开源的基于Web的ERP系统通过网络注技术私人有限公司\下，提供一个集成的工具来管理一个小型组织大多数进程。\有关Web注释的详细信息，或者购买主机楝，去
ESIC CARD No,ESIC卡无
ESIC No.,ESIC号
Earliest,最早
Earning,盈利
Earning & Deduction,收入及扣除
Earning Type,收入类型
Earning1,Earning1
Edit,编辑
Editable,编辑
Educational Qualification,学历
Educational Qualification Details,学历详情
Eg. smsgateway.com/api/send_sms.cgi,例如：。 smsgateway.com / API / send_sms.cgi
Electricity Cost,电力成本
Electricity cost per hour,每小时电费
Email,电子邮件
Email Digest,电子邮件摘要
Email Digest Settings,电子邮件摘要设置
Email Digest: ,电子邮件摘要：
Email Host,电子邮件主机
Email Id,电子邮件Id
"Email Id must be unique, already exists for: ",电子邮件ID必须是唯一的，已经存在：
"Email Id where a job applicant will email e.g. ""jobs@example.com""",电子邮件Id其中一个应聘者的电子邮件，例如“jobs@example.com”
Email Id where users will send support request e.g. support@example.com,电子邮件Id，用户将发送支持请求，例如support@example.com
Email Login,邮箱登录
Email Password,电子邮件密码
Email Sent,邮件发送
Email Sent?,邮件发送？
Email Settings,电子邮件设置
Email Settings for Outgoing and Incoming Emails.,电子邮件设置传出和传入的电子邮件。
Email Signature,电子邮件签名
Email Use SSL,电子邮件使用SSL
"Email addresses, separted by commas",电子邮件地址，以逗号separted
Email ids separated by commas.,电子邮件ID，用逗号分隔。
"Email settings for jobs email id ""jobs@example.com""",电子邮件设置工作电子邮件ID“jobs@example.com”
"Email settings to extract Leads from sales email id e.g. ""sales@example.com""",电子邮件设置，以销售电子邮件ID，例如“sales@example.com”提取信息
Email...,电子邮件...
Emergency Contact,紧急联络人
Emergency Contact Details,紧急联系方式
Emergency Phone,紧急电话
Employee,雇员
Employee Birthday,员工生日
Employee Designation.,员工名称。
Employee Details,员工详细信息
Employee Education,员工教育
Employee External Work History,员工对外工作历史
Employee Information,雇员资料
Employee Internal Work History,员工内部工作经历
Employee Internal Work Historys,员工内部工作Historys
Employee Leave Approver,员工请假审批
Employee Leave Balance,员工休假余额
Employee Name,员工姓名
Employee Number,员工人数
Employee Records to be created by,员工纪录的创造者
Employee Settings,员工设置
Employee Setup,员工设置
Employee Type,员工类型
Employee grades,员工成绩
Employee record is created using selected field. ,使用所选字段创建员工记录。
Employee records.,员工记录。
Employee: ,员工人数：
Employees Email Id,员工的电子邮件ID
Employment Details,就业信息
Employment Type,就业类型
Enable / Disable Email Notifications,启用/禁用电子邮件通知
Enable Comments,启用评论
Enable Shopping Cart,启用的购物车
Enabled,启用
Encashment Date,兑现日期
End Date,结束日期
End date of current invoice's period,当前发票的期限的最后一天
End of Life,寿命结束
Ends on,结束于
Enter Form Type,输入表单类型
Enter Row,输入行
Enter Verification Code,输入验证码
Enter campaign name if the source of lead is campaign.,输入活动名称，如果铅的来源是运动。
"Enter default value fields (keys) and values. If you add multiple values for a field, the first one will be picked. These defaults are also used to set ""match"" permission rules. To see list of fields, go to <a href=""#Form/Customize Form/Customize Form"">Customize Form</a>.","输入默认值字段（键）和值。如果你对一个字段中添加多个值，则第一个将有所回升。这些默认值也可用来设置“匹配”的权限规则。要查看字段的列表，请访问<a href=""#Form/Customize Form/Customize Form"">自定义表单</a> 。"
Enter department to which this Contact belongs,输入部门的这种联系是属于
Enter designation of this Contact,输入该联系人指定
"Enter email id separated by commas, invoice will be mailed automatically on particular date",输入电子邮件ID用逗号隔开，发票会自动在特定的日期邮寄
Enter items and planned qty for which you want to raise production orders or download raw materials for analysis.,输入您想要提高生产订单或下载的原材料进行分析的项目和计划数量。
Enter name of campaign if source of enquiry is campaign,输入活动的名称，如果查询来源是运动
"Enter static url parameters here (Eg. sender=ERPNext, username=ERPNext, password=1234 etc.)",在这里输入静态URL参数（如称发件人= ERPNext，用户名= ERPNext，密码= 1234等）
Enter the company name under which Account Head will be created for this Supplier,输入据此帐户总的公司名称将用于此供应商建立
Enter url parameter for message,输入url参数的消息
Enter url parameter for receiver nos,输入URL参数的接收器号
Entries,项
Entries are not allowed against this Fiscal Year if the year is closed.,参赛作品不得对本财年，如果当年被关闭。
Equals,等号
Error,错误
Error for,错误
Error: Document has been modified after you have opened it,错误：你已经打开了它之后，文件已被修改
Estimated Material Cost,预计材料成本
Event,事件
Event End must be after Start,活动结束必须开始后，
Event Individuals,个人事件
Event Role,事件角色
Event Roles,事件角色
Event Type,事件类型
Event User,事件用户
Events In Today's Calendar,活动在今天的日历
Every Day,天天
Every Month,每月
Every Week,每一周
Every Year,每年
Everyone can read,每个人都可以阅读
Example:,例如：
"Example: ABCD.#####If series is set and Serial No is not mentioned in transactions, then automatic serial number will be created based on this series. If you always want to explicitly mention Serial Nos for this item. leave this blank.",例如：ABCD＃＃＃＃＃如果串联设置和序列号没有在交易中提到，然后自动序列号将基于该系列被创建。如果你总是想明确提到串行NOS为​​这个项目。留空。
Exchange Rate,汇率
Excise Page Number,消费页码
Excise Voucher,消费券
Exemption Limit,免税限额
Exhibition,展览
Existing Customer,现有客户
Exit,出口
Exit Interview Details,退出面试细节
Expected,预期
Expected Delivery Date,预计交货日期
Expected End Date,预计结束日期
Expected Start Date,预计开始日期
Expense Account,费用帐户
Expense Account is mandatory,费用帐户是必需的
Expense Claim,报销
Expense Claim Approved,报销批准
Expense Claim Approved Message,报销批准的消息
Expense Claim Detail,报销详情
Expense Claim Details,报销详情
Expense Claim Rejected,费用索赔被拒绝
Expense Claim Rejected Message,报销拒绝消息
Expense Claim Type,费用报销型
Expense Date,牺牲日期
Expense Details,费用详情
Expense Head,总支出
Expense account is mandatory for item,交际费是强制性的项目
Expense/Difference account is mandatory for item: ,费用/差异帐户是强制性的项目：
Expenses Booked,支出预订
Expenses Included In Valuation,支出计入估值
Expenses booked for the digest period,预订了消化期间费用
Expiry Date,到期时间
Export,出口
Exports,出口
External,外部
Extract Emails,提取电子邮件
FCFS Rate,FCFS率
FIFO,FIFO
Facebook Share,Facebook分享
Failed: ,失败：
Family Background,家庭背景
FavIcon,网站图标
Fax,传真
Features Setup,功能设置
Feed,饲料
Feed Type,饲料类型
Feedback,反馈
Female,女
Fetch exploded BOM (including sub-assemblies),取爆炸BOM（包括子组件）
Field Description,字段说明
Field Name,字段名称
Field Type,字段类型
"Field available in Delivery Note, Quotation, Sales Invoice, Sales Order",在送货单，报价单，销售发票，销售订单可用字段
"Field that represents the Workflow State of the transaction (if field is not present, a new hidden Custom Field will be created)",现场，代表交易的工作流状态（如果域不存在，一个新的隐藏的自定义字段将被创建）
Fieldname,字段名
Fields,领域
"Fields separated by comma (,) will be included in the<br /><b>Search By</b> list of Search dialog box",字段用逗号（，）分隔将被纳入<br /> <b>搜索</b>的搜索对话框列表
File,文件
File Data,文件数据
File Name,文件名
File Size,文件大小
File URL,文件的URL
File size exceeded the maximum allowed size,文件大小超过了允许的最大尺寸
Files Folder ID,文件夹的ID
Fill the form and save it,填写表格，并将其保存
Filter,过滤器
Filter By Amount,过滤器以交易金额计算
Filter By Date,筛选通过日期
Filter based on customer,过滤器可根据客户
Filter based on item,根据项目筛选
Financial Analytics,财务分析
Financial Statements,财务报表附注
Finder,发现者
Finished Goods,成品
First Name,名字
First Responded On,首先作出回应
Fiscal Year,财政年度
Fixed Asset Account,固定资产帐户
Float,浮动
Float Precision,float精度
Follow via Email,通过电子邮件跟随
"Following table will show values if items are sub - contracted. These values will be fetched from the master of ""Bill of Materials"" of sub - contracted items.",下表将显示值，如果项目有子 - 签约。这些值将被从子的“材料清单”的主人进账 - 已签约的项目。
Font (Heading),字体（标题）
Font (Text),字体（文字）
Font Size (Text),字体大小（文本）
Fonts,字体
Footer,页脚
Footer Items,页脚项目
For All Users,对于所有用户
For Company,对于公司
For DocType,为的DocType
For Employee,对于员工
For Employee Name,对于员工姓名
"For Links, enter the DocType as rangeFor Select, enter list of Options separated by comma",对于链接，进入文档类型为rangeFor选择，进入选项列表以逗号分隔
For Production,对于生产
For Reference Only.,仅供参考。
For Sales Invoice,对于销售发票
For Server Side Print Formats,对于服务器端打印的格式
For UOM,对于计量单位
For Warehouse,对于仓库
"For comparative filters, start with",对于比较器，开始
"For e.g. 2012, 2012-13",对于例如2012，2012-13
For example if you cancel and amend 'INV004' it will become a new document 'INV004-1'. This helps you to keep track of each amendment.,例如，如果你取消及修订“INV004”它将成为一个新的文档&#39;INV004-1&#39;。这可以帮助您跟踪每一项修正案。
For example: You want to restrict users to transactions marked with a certain property called 'Territory',例如：你想限制用户到标有某种属性叫做&#39;领地&#39;交易
For opening balance entry account can not be a PL account,对于期初余额进入帐户不能是一个PL帐户
For ranges,对于范围
For reference,供参考
For reference only.,仅供参考。
For row,对于行
"For the convenience of customers, these codes can be used in print formats like Invoices and Delivery Notes",为方便客户，这些代码可以在打印格式，如发票和送货单使用
Form,表格
Format: hh:mm example for one hour expiry set as 01:00. Max expiry will be 72 hours. Default is 24 hours,格式：HH：一小时期满组为01:00毫米的例子。最大到期将是72小时。默认值为24小时
Forum,论坛
Forward To Email Address,转发到邮件地址
Fraction,分数
Fraction Units,部分单位
Freeze Stock Entries,冻结库存条目
Friday,星期五
From,从
From Bill of Materials,从材料清单
From Company,从公司
From Currency,从货币
From Currency and To Currency cannot be same,从货币和货币不能相同
From Customer,从客户
From Date,从日期
From Date must be before To Date,从日期必须是之前日期
From Delivery Note,从送货单
From Employee,从员工
From Lead,从铅
From Opportunity,从机会
From Package No.,从包号
From Purchase Order,从采购订单
From Purchase Receipt,从采购入库单
From Quotation,从报价
From Sales Order,从销售订单
From Time,从时间
From Value,从价值
From Value should be less than To Value,从数值应小于To值
Frozen,冻结的
Frozen Accounts Modifier,冻结帐户修改
Fulfilled,适合
Full Name,全名
Fully Completed,全面完成
"Further accounts can be made under Groups,",进一步帐户可以根据组进行，
Further nodes can be only created under 'Group' type nodes,此外节点可以在&#39;集团&#39;类型的节点上创建
GL Entry,GL报名
GL Entry: Debit or Credit amount is mandatory for ,GL录入：借方或贷方金额是强制性的
GRN,GRN
Gantt Chart,甘特图
Gantt chart of all tasks.,[甘特图表所有作业。
Gender,性别
General,一般
General Ledger,总帐
General Ledger: ,总帐：
Generate Description HTML,生成的HTML说明
Generate Material Requests (MRP) and Production Orders.,生成材料要求（MRP）和生产订单。
Generate Salary Slips,生成工资条
Generate Schedule,生成时间表
"Generate packing slips for packages to be delivered. Used to notify package number, package contents and its weight.",生成装箱单的包交付。用于通知包号，包装内容和它的重量。
Generates HTML to include selected image in the description,生成HTML，包括所选图像的描述
Generator,发电机
Georgia,格鲁吉亚
Get,得到
Get Advances Paid,获取有偿进展
Get Advances Received,取得进展收稿
Get Current Stock,获取当前库存
Get From ,得到
Get Items,找项目
Get Items From Sales Orders,获取项目从销售订单
Get Items from BOM,获取项目从物料清单
Get Last Purchase Rate,获取最新预订价
Get Non Reconciled Entries,获取非对帐项目
Get Outstanding Invoices,获取未付发票
Get Sales Orders,获取销售订单
Get Specification Details,获取详细规格
Get Stock and Rate,获取股票和速率
Get Template,获取模板
Get Terms and Conditions,获取条款和条件
Get Weekly Off Dates,获取每周关闭日期
"Get valuation rate and available stock at source/target warehouse on mentioned posting date-time. If serialized item, please press this button after entering serial nos.",获取估值率和可用库存在上提到过账日期 - 时间源/目标仓库。如果序列化的项目，请输入序列号后，按下此按钮。
GitHub Issues,GitHub的问题
Global Defaults,全球默认值
Global Settings / Default Values,全局设置/默认值
Go to Setup > <a href='#user-properties'>User Properties</a> to set \			'territory' for diffent Users.,进入设置&gt; <a href='#user-properties'>用户属性</a>设置\&#39;领土&#39;的diffent用户。
Go to the appropriate group (usually Application of Funds > Current Assets > Bank Accounts),转至相应的组（通常申请基金&gt;货币资产的&gt;银行账户）
Go to the appropriate group (usually Source of Funds > Current Liabilities > Taxes and Duties),转至相应的组（通常资金来源&gt;流动负债&gt;税和关税）
Goal,目标
Goals,目标
Goods received from Suppliers.,从供应商收到货。
Google Analytics ID,谷歌Analytics（分析）的ID
Google Drive,谷歌驱动器
Google Drive Access Allowed,谷歌驱动器允许访问
Google Plus One,谷歌加一
Google Web Font (Heading),谷歌网页字体（标题）
Google Web Font (Text),谷歌网页字体（文字）
Grade,等级
Graduate,毕业生
Grand Total,累计
Grand Total (Company Currency),总计（公司货币）
Gratuity LIC ID,酬金LIC ID
Greater or equals,大于或等于
Greater than,大于
"Grid """,电网“
Gross Margin %,毛利率％
Gross Margin Value,毛利率价值
Gross Pay,工资总额
Gross Pay + Arrear Amount +Encashment Amount - Total Deduction,工资总额+欠费金额+兑现金额 - 扣除项目金额
Gross Profit,毛利
Gross Profit (%),毛利率（％）
Gross Weight,毛重
Gross Weight UOM,毛重计量单位
Group,组
Group By,分组依据
Group by Ledger,集团以总帐
Group by Voucher,集团透过券
Group or Ledger,集团或Ledger
Groups,组
HR,人力资源
HR Settings,人力资源设置
HTML,HTML
HTML / Banner that will show on the top of product list.,HTML /横幅，将显示在产品列表的顶部。
Half Day,半天
Half Yearly,半年度
Half-yearly,每半年一次
Happy Birthday!,祝你生日快乐！
Has Batch No,有批号
Has Child Node,有子节点
Has Serial No,有序列号
Header,头
Heading,标题
Heading Text As,标题文字作为
Heads (or groups) against which Accounting Entries are made and balances are maintained.,头（或组）对其中的会计分录是由与平衡得以维持。
Health Concerns,健康问题
Health Details,健康细节
Held On,举行
Help,帮助
Help HTML,HTML帮助
"Help: To link to another record in the system, use ""#Form/Note/[Note Name]"" as the Link URL. (don't use ""http://"")",说明：要链接到另一个记录在系统中，使用“＃表单/注意/ [注名]”的链接网址。 （不使用的“http://”）
Helvetica Neue,Helvetica Neue字体
"Here you can maintain family details like name and occupation of parent, spouse and children",在这里，您可以维系家庭的详细信息，如姓名的父母，配偶和子女及职业
"Here you can maintain height, weight, allergies, medical concerns etc",在这里，你可以保持身高，体重，过敏，医疗问题等
Hey! All these items have already been invoiced.,嘿！所有这些项目已开具发票。
Hey! There should remain at least one System Manager,嘿！应该保持至少一个系统管理器
Hidden,隐
Hide Actions,隐藏操作
Hide Copy,隐藏副本
Hide Currency Symbol,隐藏货币符号
Hide Email,隐藏电子邮件
Hide Heading,隐藏标题
Hide Print,隐藏打印
Hide Toolbar,隐藏工具栏
High,高
Highlight,突出
History,历史
History In Company,历史在公司
Hold,持有
Holiday,节日
Holiday List,假日列表
Holiday List Name,假日列表名称
Holidays,假期
Home,家
Home Page,首页
Home Page is Products,首页产品是
Home Pages,主页
Host,主持人
"Host, Email and Password required if emails are to be pulled",主机，电子邮件和密码必需的，如果邮件是被拉到
Hour Rate,小时率
Hour Rate Labour,小时劳动率
Hours,小时
How frequently?,多久？
"How should this currency be formatted? If not set, will use system defaults",应如何货币进行格式化？如果没有设置，将使用系统默认
Human Resource,人力资源
Human Resources,人力资源
Hurray! The day(s) on which you are applying for leave \					coincide with holiday(s). You need not apply for leave.,华友世纪！在天在你申请许可\与节假日（S）相吻合。你不需要申请许可。
I,我
ID (name) of the entity whose property is to be set,其属性是要设置的实体的ID（名称）
IDT,IDT
II,二
III,三
IN,在
INV,投资
INV/10-11/,INV/10-11 /
ITEM,项目
IV,四
Icon,图标
Icon will appear on the button,图标将显示在按钮上
Identification of the package for the delivery (for print),包送货上门鉴定（用于打印）
If Income or Expense,如果收入或支出
If Monthly Budget Exceeded,如果每月超出预算
"If Sale BOM is defined, the actual BOM of the Pack is displayed as table.Available in Delivery Note and Sales Order",如果销售BOM定义，该包的实际BOM在送货单和销售订单显示为table.Available
"If Supplier Part Number exists for given Item, it gets stored here",如果供应商零件编号存在给定的项目，它被存放在这里
If Yearly Budget Exceeded,如果年度预算超出
"If a User does not have access at Level 0, then higher levels are meaningless",如果用户无权访问级别为0级，那么更高的水平是没有意义的
"If checked, BOM for sub-assembly items will be considered for getting raw materials. Otherwise, all sub-assembly items will be treated as a raw material.",如果选中，则BOM的子装配项目将被视为获取原料。否则，所有的子组件件，将被视为一个原料。
"If checked, Total no. of Working Days will include holidays, and this will reduce the value of Salary Per Day",如果选中，则总数。工作日将包括节假日，这将缩短每天的工资的价值
"If checked, all other workflows become inactive.",如果选中，所有其他的工作流程变得无效。
"If checked, an email with an attached HTML format will be added to part of the EMail body as well as attachment. To only send as attachment, uncheck this.",如果选中，则带有附加的HTML格式的电子邮件会被添加到电子邮件正文的一部分，以及作为附件。如果只作为附件发送，请取消勾选此。
"If checked, the Home page will be the default Item Group for the website.",如果选中，主页将是默认的项目组的网站上。
"If checked, the tax amount will be considered as already included in the Print Rate / Print Amount",如果选中，纳税额将被视为已包括在打印速度/打印量
"If disable, 'Rounded Total' field will not be visible in any transaction",如果禁用，“圆角总计”字段将不可见的任何交易
"If enabled, the system will post accounting entries for inventory automatically.",如果启用，系统将自动为发布库存会计分录。
"If image is selected, color will be ignored (attach first)",如果图像被选中，颜色将被忽略（先附上）
If more than one package of the same type (for print),如果不止一个包相同类型的（用于打印）
"If no change in either Quantity or Valuation Rate, leave the cell blank.",如果在任一数量或估价率没有变化，离开细胞的空白。
If non standard port (e.g. 587),如果非标准端口（如587）
If not applicable please enter: NA,如果不适用，请输入：不适用
"If not checked, the list will have to be added to each Department where it has to be applied.",如果未选中，则列表将被添加到每个部门，在那里它被应用。
"If not, create a",如果没有，请创建一个
"If set, data entry is only allowed for specified users. Else, entry is allowed for all users with requisite permissions.",如果设置，数据输入只允许指定的用户。否则，条目允许具备必要权限的所有用户。
"If specified, send the newsletter using this email address",如果指定了，使用这个电子邮件地址发送电子报
"If the 'territory' Link Field exists, it will give you an option to select it",如果&#39;领土&#39;链接字段存在，它会给你一个选项，选择它
"If the account is frozen, entries are allowed to restricted users.",如果帐户被冻结，条目被允许受限制的用户。
"If these instructions where not helpful, please add in your suggestions at <a href='https://github.com/webnotes/wnframework/issues'>GitHub Issues</a>",如果这些指令，其中没有帮助，请在您的建议添加<a href='https://github.com/webnotes/wnframework/issues'>GitHub的问题</a>
"If this Account represents a Customer, Supplier or Employee, set it here.",如果该帐户代表一个客户，供应商或员工，在这里设置。
If you follow Quality Inspection<br>Enables item QA Required and QA No in Purchase Receipt,如果你遵循质量检验<br>使项目所需的质量保证和质量保证在没有采购入库单
If you have Sales Team and Sale Partners (Channel Partners)  they can be tagged and maintain their contribution in the sales activity,如果你有销售团队和销售合作伙伴（渠道合作伙伴），他们可以被标记，并维持其在销售贡献活动
"If you have created a standard template in Purchase Taxes and Charges Master, select one and click on the button below.",如果您在购置税和费法师创建一个标准的模板，选择一个，然后点击下面的按钮。
"If you have created a standard template in Sales Taxes and Charges Master, select one and click on the button below.",如果你已经在销售税金及费用法师创建一个标准的模板，选择一个，然后点击下面的按钮。
"If you have long print formats, this feature can be used to split the page to be printed on multiple pages with all headers and footers on each page",如果你有很长的打印格式，这个功能可以被用来分割要打印多个页面，每个页面上的所有页眉和页脚的页
If you involve in manufacturing activity<br>Enables item <b>Is Manufactured</b>,如果您在制造业活动涉及<br>使<b>产品制造</b>
"If you set this, this Item will come in a drop-down under the selected parent.",如果你设置这个，这个项目会在一个下拉菜单中选定父下。
Ignore,忽略
Ignored: ,忽略：
Image,图像
Image Link,图片链接
Image View,图像查看
Implementation Partner,实施合作伙伴
Import,进口
Import Attendance,进口出席
Import Failed!,导入失败！
Import Log,导入日志
Import Successful!,导入成功！
Imports,进口
In,在
In Dialog,在对话框
In Filter,在过滤器
In Hours,以小时为单位
In List View,在列表视图
In Process,在过程
In Qty,在数量
In Report Filter,在报表筛选
In Row,在排
In Value,在价值
In Words,中字
In Words (Company Currency),在字（公司货币）
In Words (Export) will be visible once you save the Delivery Note.,在字（出口）将是可见的，一旦你保存送货单。
In Words will be visible once you save the Delivery Note.,在词将是可见的，一旦你保存送货单。
In Words will be visible once you save the Purchase Invoice.,在词将是可见的，一旦你保存购买发票。
In Words will be visible once you save the Purchase Order.,在词将是可见的，一旦你保存采购订单。
In Words will be visible once you save the Purchase Receipt.,在词将是可见的，一旦你保存购买收据。
In Words will be visible once you save the Quotation.,在词将是可见的，一旦你保存报价。
In Words will be visible once you save the Sales Invoice.,在词将是可见的，一旦你保存销售发票。
In Words will be visible once you save the Sales Order.,在词将是可见的，一旦你保存销售订单。
In response to,响应于
"In the Permission Manager, click on the button in the 'Condition' column for the Role you want to restrict.",在权限管理器中，单击在“状态”列中的按钮为要限制的作用。
Incentives,奖励
Incharge,Incharge
Incharge Name,Incharge名称
Include holidays in Total no. of Working Days,包括节假日的总数。工作日
Income / Expense,收入/支出
Income Account,收入账户
Income Booked,收入预订
Income Year to Date,收入年初至今
Income booked for the digest period,收入入账的消化期
Incoming,来
Incoming / Support Mail Setting,来电/支持邮件设置
Incoming Rate,传入速率
Incoming quality inspection.,来料质量检验。
Index,指数
Indicates that the package is a part of this delivery,表示该包是这个传递的一部分
Individual,个人
Individuals,个人
Industry,行业
Industry Type,行业类型
Info,信息
Insert After,插入后
Insert Below,下面插入
Insert Code,插入代码
Insert Row,插入行
Insert Style,插入式
Inspected By,视察
Inspection Criteria,检验标准
Inspection Required,需要检验
Inspection Type,检验类型
Installation Date,安装日期
Installation Note,安装注意事项
Installation Note Item,安装注意项
Installation Status,安装状态
Installation Time,安装时间
Installation record for a Serial No.,对于一个序列号安装记录
Installed Qty,安装数量
Instructions,说明
Int,诠释
Integrations,集成
Interested,有兴趣
Internal,内部
Introduce your company to the website visitor.,介绍贵公司的网站访客。
Introduction,介绍
Introductory information for the Contact Us Page,介绍信息的联系我们页面
Invalid Barcode,无效的条码
Invalid Delivery Note. Delivery Note should exist and should be in 				draft state. Please rectify and try again.,无效的送货单。送货单应该存在，应该是在草稿状态。请纠正，然后再试一次。
Invalid Email,无效的电子邮件
Invalid Email Address,无效的电子邮件地址
Invalid Leave Approver,无效休假审批
Invalid quantity specified for item ,为项目指定了无效的数量
Inventory,库存
Inverse,逆
Invoice Date,发票日期
Invoice Details,发票明细
Invoice No,发票号码
Invoice Period From Date,发票日期开始日期
Invoice Period To Date,发票日期终止日期
Invoiced Amount (Exculsive Tax),发票金额（Exculsive税）
Is Active,为活跃
Is Advance,为进
Is Asset Item,是资产项目
Is Cancelled,被注销
Is Carry Forward,是弘扬
Is Child Table,是子表
Is Default,是默认
Is Encash,为兑现
Is LWP,是LWP
Is Mandatory Field,是必须填写
Is Opening,是开幕
Is Opening Entry,是开放报名
Is PL Account,是PL账户
Is POS,是POS机
Is Primary Contact,是主要联络人
Is Purchase Item,是购买项目
Is Sales Item,是销售项目
Is Service Item,是服务项目
Is Single,单人
Is Standard,为标准
Is Stock Item,是库存项目
Is Sub Contracted Item,是次签约项目
Is Subcontracted,转包
Is Submittable,是Submittable
Is this Tax included in Basic Rate?,包括在基本速率此税？
Issue,问题
Issue Date,发行日期
Issue Details,问题详情
Issued Items Against Production Order,发出对项目生产订单
It can also be used to create opening stock entries and to fix stock value.,它也可以用来创建期初存货项目和解决股票价值。
It is needed to fetch Item Details.,这是需要获取产品的详细信息。
Item,项目
Item Advanced,项目高级
Item Barcode,商品条码
Item Batch Nos,项目批NOS
Item Classification,产品分类
Item Code,产品编号
Item Code (item_code) is mandatory because Item naming is not sequential.,产品编码（item_code）是强制性的，因为产品的命名是不连续的。
Item Code and Warehouse should already exist.,产品编号和仓库应该已经存在。
Item Code cannot be changed for Serial No.,产品编号不能为序列号改变
Item Customer Detail,项目客户详细
Item Description,项目说明
Item Desription,项目Desription
Item Details,产品详细信息
Item Group,项目组
Item Group Name,项目组名称
Item Groups in Details,在详细信息产品组
Item Image (if not slideshow),产品图片（如果不是幻灯片）
Item Name,项目名称
Item Naming By,产品命名规则
Item Price,商品价格
Item Prices,产品价格
Item Quality Inspection Parameter,产品质量检验参数
Item Reorder,项目重新排序
Item Serial No,产品序列号
Item Serial Nos,产品序列号
Item Shortage Report,商品短缺报告
Item Supplier,产品供应商
Item Supplier Details,产品供应商详细信息
Item Tax,产品税
Item Tax Amount,项目税额
Item Tax Rate,项目税率
Item Tax1,项目Tax1
Item To Manufacture,产品制造
Item UOM,项目计量单位
Item Website Specification,项目网站规格
Item Website Specifications,项目网站产品规格
Item Wise Tax Detail ,项目智者税制明细
Item classification.,项目分类。
Item is neither Sales nor Service Item,项目既不是销售，也不服务项目
Item must have 'Has Serial No' as 'Yes',项目必须有&#39;有序列号&#39;为&#39;是&#39;
Item table can not be blank,项目表不能为空
Item to be manufactured or repacked,产品被制造或重新包装
Item will be saved by this name in the data base.,项目将通过此名称在数据库中保存。
"Item, Warranty, AMC (Annual Maintenance Contract) details will be automatically fetched when Serial Number is selected.",当选择序号项目，担保，资产管理公司（常年维护保养合同）的详细信息将自动获取。
Item-wise Last Purchase Rate,项目明智的最后付款价
Item-wise Price List Rate,项目明智的价目表率
Item-wise Purchase History,项目明智的购买历史
Item-wise Purchase Register,项目明智的购买登记
Item-wise Sales History,项目明智的销售历史
Item-wise Sales Register,项目明智的销售登记
Items,项目
Items To Be Requested,项目要请求
"Items to be requested which are ""Out of Stock"" considering all warehouses based on projected qty and minimum order qty",这是“缺货”的项目被要求考虑根据预计数量和最小起订量为所有仓库
Items which do not exist in Item master can also be entered on customer's request,不中主项存在的项目也可以根据客户的要求进入
Itemwise Discount,Itemwise折扣
Itemwise Recommended Reorder Level,Itemwise推荐级别重新排序
JSON,JSON
JV,合资公司
