 (Half Day),(आधे दिन)
Cost Center is mandatory for item: ,लागत केंद्र मद के लिए अनिवार्य है:
Cost Center must be specified for PL Account: ,लागत केंद्र पीएल खाते के लिए निर्दिष्ट किया जाना चाहिए:
Costing,लागत
Country,देश
Country Name,देश का नाम
Create,बनाना
Create Bank Voucher for the total salary paid for the above selected criteria,कुल ऊपर चयनित मानदंड के लिए वेतन भुगतान के लिए बैंक वाउचर बनाएँ
Create Material Requests,सामग्री अनुरोध बनाएँ
Create Production Orders,उत्पादन के आदेश बनाएँ
Create Receiver List,रिसीवर सूची बनाएँ
Create Salary Slip,वेतनपर्ची बनाएँ
Create Stock Ledger Entries when you submit a Sales Invoice,आप एक बिक्री चालान प्रस्तुत जब स्टॉक लेजर प्रविष्टियां बनाएँ
"Create a price list from Price List master and enter standard ref rates against each of them. On selection of a price list in Quotation, Sales Order or Delivery Note, corresponding ref rate will be fetched for this item.","मूल्य सूची मास्टर से एक मूल्य सूची बनाएं और उनमें से प्रत्येक के खिलाफ मानक रेफरी दर दर्ज. कोटेशन, बिक्री आदेश या डिलिवरी नोट में एक मूल्य सूची के चयन पर, इसी रेफरी दर इस मद के लिए दिलवाया जाएगा."
Create and Send Newsletters,समाचारपत्रिकाएँ बनाएँ और भेजें
Created Account Head: ,बनाया गया खाता सिर:
Created By,द्वारा बनाया गया
Created Customer Issue,बनाया ग्राहक के मुद्दे
Created Group ,बनाया समूह
Created Opportunity,अवसर पैदा
Created Support Ticket,बनाया समर्थन टिकट
Creates salary slip for above mentioned criteria.,उपरोक्त मानदंडों के लिए वेतन पर्ची बनाता है.
Credentials,साख
Credit,श्रेय
Credit Amt,क्रेडिट राशि
Credit Card Voucher,क्रेडिट कार्ड वाउचर
Credit Controller,क्रेडिट नियंत्रक
Credit Days,क्रेडिट दिन
Credit Limit,साख सीमा
Credit Note,जमापत्र
Credit To,करने के लिए क्रेडिट
Cross Listing of Item in multiple groups,कई समूहों में आइटम लिस्टिंग पार
Currency,मुद्रा
Currency Exchange,मुद्रा विनिमय
Currency Format,मुद्रा स्वरूप
Currency Name,मुद्रा का नाम
Currency Settings,मुद्रा सेटिंग्स
Currency and Price List,मुद्रा और मूल्य सूची
Currency does not match Price List Currency for Price List,मुद्रा मूल्य सूची के लिए मूल्य सूची मुद्रा से मेल नहीं खाता
Current Accommodation Type,वर्तमान आवास के प्रकार
Current Address,वर्तमान पता
Current BOM,वर्तमान बीओएम
Current Fiscal Year,चालू वित्त वर्ष
Current Stock,मौजूदा स्टॉक
Current Stock UOM,वर्तमान स्टॉक UOM
Current Value,वर्तमान मान
Current status,वर्तमान स्थिति
Custom,रिवाज
Custom Autoreply Message,कस्टम स्वतः संदेश
Custom CSS,कस्टम सीएसएस
Custom Field,कस्टम फ़ील्ड
Custom Message,कस्टम संदेश
Custom Reports,कस्टम रिपोर्ट
Custom Script,कस्टम स्क्रिप्ट
Custom Startup Code,कस्टम स्टार्टअप कोड
Custom?,कस्टम?
Customer,ग्राहक
Customer (Receivable) Account,ग्राहक (प्राप्ति) खाता
Customer / Item Name,ग्राहक / मद का नाम
Customer Account,ग्राहक खाता
Customer Account Head,ग्राहक खाता हेड
Customer Address,ग्राहक पता
Customer Addresses And Contacts,ग्राहक के पते और संपर्क
Customer Code,ग्राहक कोड
Customer Codes,ग्राहक संहिताओं
Customer Details,ग्राहक विवरण
Customer Discount,ग्राहक डिस्काउंट
Customer Discounts,ग्राहक छूट
Customer Feedback,ग्राहक प्रतिक्रिया
Customer Group,ग्राहक समूह
Customer Group Name,ग्राहक समूह का नाम
Customer Intro,ग्राहक पहचान
Customer Issue,ग्राहक के मुद्दे
Customer Issue against Serial No.,सीरियल नंबर के खिलाफ ग्राहक अंक
Customer Name,ग्राहक का नाम
Customer Naming By,द्वारा नामकरण ग्राहक
Customer Type,ग्राहक प्रकार
Customer classification tree.,ग्राहक वर्गीकरण पेड़.
Customer database.,ग्राहक डेटाबेस.
Customer's Currency,ग्राहक की मुद्रा
Customer's Item Code,ग्राहक आइटम कोड
Customer's Purchase Order Date,ग्राहक की खरीद आदेश दिनांक
Customer's Purchase Order No,ग्राहक की खरीद आदेश नहीं
Customer's Vendor,ग्राहक विक्रेता
Customer's currency,ग्राहक की मुद्रा
"Customer's currency - If you want to select a currency that is not the default currency, then you must also specify the Currency Conversion Rate.","ग्राहक की मुद्रा - यदि आप एक मुद्रा है कि डिफ़ॉल्ट मुद्रा नहीं है का चयन करना चाहते हैं, तो आप भी मुद्रा रूपांतरण दर को निर्दिष्ट करना चाहिए."
Customers Not Buying Since Long Time,ग्राहकों को लंबे समय के बाद से नहीं खरीद
Customerwise Discount,Customerwise डिस्काउंट
Customize,को मनपसंद
Customize Form,प्रपत्र को अनुकूलित
Customize Form Field,प्रपत्र फ़ील्ड अनुकूलित
"Customize Label, Print Hide, Default etc.","लेबल, प्रिंट छिपाएँ, Default आदि अनुकूलित"
Customize the Notification,अधिसूचना को मनपसंद
Customize the introductory text that goes as a part of that email. Each transaction has a separate introductory text.,परिचयात्मक पाठ है कि कि ईमेल के एक भाग के रूप में चला जाता है अनुकूलित. प्रत्येक लेनदेन एक अलग परिचयात्मक पाठ है.
DN,डी.एन.
DN Detail,डी.एन. विस्तार
Daily,दैनिक
Daily Event Digest is sent for Calendar Events where reminders are set.,रोज की घटना डाइजेस्ट अनुस्मारक सेट कर रहे हैं जहां कैलेंडर घटनाक्रम के लिए भेज दिया जाता है.
Daily Time Log Summary,दैनिक समय प्रवेश सारांश
Danger,खतरा
Data,डेटा
Data missing in table,तालिका में लापता डेटा
Database,डेटाबेस
Database Folder ID,डेटाबेस फ़ोल्डर आईडी
Database of potential customers.,संभावित ग्राहकों के लिए धन्यवाद.
Date,तारीख
Date Format,दिनांक स्वरूप
Date Of Retirement,सेवानिवृत्ति की तारीख
Date and Number Settings,तिथि और संख्या सेटिंग्स
Date is repeated,तिथि दोहराया है
Date must be in format,तिथि प्रारूप में होना चाहिए
Date of Birth,जन्म तिथि
Date of Issue,जारी करने की तारीख
Date of Joining,शामिल होने की तिथि
Date on which lorry started from supplier warehouse,जिस पर तिथि लॉरी आपूर्तिकर्ता गोदाम से शुरू
Date on which lorry started from your warehouse,जिस पर तिथि लॉरी अपने गोदाम से शुरू
Date on which the lead was last contacted,"तारीख, जिस पर आगे अंतिम बार संपर्क किया था"
Dates,तिथियां
Datetime,Datetime
Days for which Holidays are blocked for this department.,दिन छुट्टियाँ जिसके लिए इस विभाग के लिए अवरुद्ध कर रहे हैं.
Dealer,व्यापारी
Dear,प्रिय
Debit,नामे
Debit Amt,डेबिट राशि
Debit Note,डेबिट नोट
Debit To,करने के लिए डेबिट
Debit or Credit,डेबिट या क्रेडिट
Deduct,घटाना
Deduction,कटौती
Deduction Type,कटौती के प्रकार
Deduction1,Deduction1
Deductions,कटौती
Default,चूक
Default Account,डिफ़ॉल्ट खाता
Default BOM,Default बीओएम
Default Bank / Cash account will be automatically updated in POS Invoice when this mode is selected.,डिफ़ॉल्ट खाता / बैंक कैश स्वतः स्थिति चालान में अद्यतन किया जाएगा जब इस मोड का चयन किया जाता है.
Default Bank Account,डिफ़ॉल्ट बैंक खाता
Default Cash Account,डिफ़ॉल्ट नकद खाता
Default Commission Rate,डिफ़ॉल्ट कमीशन दर
Default Company,Default कंपनी
Default Cost Center,डिफ़ॉल्ट लागत केंद्र
Default Cost Center for tracking expense for this item.,इस मद के लिए खर्च पर नज़र रखने के लिए डिफ़ॉल्ट लागत केंद्र.
Default Currency,डिफ़ॉल्ट मुद्रा
Default Customer Group,डिफ़ॉल्ट ग्राहक समूह
Default Expense Account,डिफ़ॉल्ट व्यय खाते
Default Home Page,डिफॉल्ट होम पेज
Default Home Pages,डिफॉल्ट होम पेज
Default Income Account,डिफ़ॉल्ट आय खाता
Default Item Group,डिफ़ॉल्ट आइटम समूह
Default Price List,डिफ़ॉल्ट मूल्य सूची
Default Print Format,डिफ़ॉल्ट प्रिंट प्रारूप
Default Purchase Account in which cost of the item will be debited.,डिफ़ॉल्ट खरीद खाता जिसमें मद की लागत डेबिट हो जाएगा.
Default Sales Partner,डिफ़ॉल्ट बिक्री साथी
Default Settings,डिफ़ॉल्ट सेटिंग
Default Source Warehouse,डिफ़ॉल्ट स्रोत वेअरहाउस
Default Stock UOM,Default स्टॉक UOM
Default Supplier,डिफ़ॉल्ट प्रदायक
Default Supplier Type,डिफ़ॉल्ट प्रदायक प्रकार
Default Target Warehouse,डिफ़ॉल्ट लक्ष्य वेअरहाउस
Default Territory,Default टेरिटरी
Default Unit of Measure,माप की मूलभूत इकाई
Default Valuation Method,डिफ़ॉल्ट मूल्यन विधि
Default Value,डिफ़ॉल्ट मान
Default Warehouse,डिफ़ॉल्ट गोदाम
Default Warehouse is mandatory for Stock Item.,डिफ़ॉल्ट गोदाम स्टॉक मद के लिए अनिवार्य है.
Default settings for Shopping Cart,खरीदारी की टोकरी के लिए डिफ़ॉल्ट सेटिंग्स
"Default: ""Contact Us""",डिफ़ॉल्ट: &quot;हमसे संपर्क करें&quot;
DefaultValue,DefaultValue
Defaults,डिफ़ॉल्ट्स
"Define Budget for this Cost Center. To set budget action, see <a href=""#!List/Company"">Company Master</a>","इस लागत केंद्र के लिए बजट निर्धारित. बजट कार्रवाई तय करने के लिए, देखने के लिए <a href=""#!List/Company"">कंपनी मास्टर</a>"
Defines actions on states and the next step and allowed roles.,राज्यों पर कार्रवाई और अगले कदम और अनुमति भूमिकाओं को परिभाषित करता है.
Defines workflow states and rules for a document.,कार्यप्रवाह राज्यों और एक दस्तावेज़ के लिए नियमों को परिभाषित करता है.
Delete,हटाना
Delete Row,पंक्ति हटाएँ
Delivered,दिया गया
Delivered Items To Be Billed,बिल के लिए दिया आइटम
Delivered Qty,वितरित मात्रा
Delivery Address,डिलिवरी पता
Delivery Date,प्रसव की तारीख
Delivery Details,वितरण विवरण
Delivery Document No,डिलिवरी दस्तावेज़
Delivery Document Type,डिलिवरी दस्तावेज़ प्रकार
Delivery Note,बिलटी
Delivery Note Item,डिलिवरी नोट आइटम
Delivery Note Items,डिलिवरी नोट आइटम
Delivery Note Message,डिलिवरी नोट संदेश
Delivery Note No,डिलिवरी नोट
Packed Item,डिलिवरी नोट पैकिंग आइटम
Delivery Note Required,डिलिवरी नोट आवश्यक
Delivery Note Trends,डिलिवरी नोट रुझान
Delivery Status,डिलिवरी स्थिति
Delivery Time,सुपुर्दगी समय
Delivery To,करने के लिए डिलिवरी
Department,विभाग
Depends On,पर निर्भर करता है
Depends on LWP,LWP पर निर्भर करता है
Descending,अवरोही
Description,विवरण
Description HTML,विवरण HTML
"Description for listing page, in plain text, only a couple of lines. (max 140 characters)","सादे पाठ में सूची पृष्ठ के लिए विवरण, लाइनों का केवल एक जोड़े. (अधिकतम 140 अक्षर)"
Description for page header.,पृष्ठ शीर्षक के लिए विवरण.
Description of a Job Opening,एक नौकरी खोलने का विवरण
Designation,पदनाम
Desktop,डेस्कटॉप
Detailed Breakup of the totals,योग की विस्तृत ब्रेकअप
Details,विवरण
Deutsch,जर्मन
Did not add.,जोड़ नहीं था.
Did not cancel,रद्द नहीं किया
Did not save,बचाने के लिए नहीं किया
Difference,अंतर
"Different ""States"" this document can exist in. Like ""Open"", ""Pending Approval"" etc.","विभिन्न इस दस्तावेज़ &quot;राज्य अमेरिका&quot; की तरह &quot;ओपन&quot; अंदर मौजूद है, &quot;अनुमोदन लंबित&quot; आदि कर सकते हैं"
Disable Customer Signup link in Login page,लॉगइन पेज में ग्राहक पंजीकरण कड़ी अक्षम
Disable Rounded Total,गोल कुल अक्षम
Disable Signup,पंजीकरण अक्षम
Disabled,विकलांग
Discount  %,डिस्काउंट%
Discount %,डिस्काउंट%
Discount (%),डिस्काउंट (%)
"Discount Fields will be available in Purchase Order, Purchase Receipt, Purchase Invoice","डिस्काउंट फील्ड्स खरीद आदेश, खरीद रसीद, खरीद चालान में उपलब्ध हो जाएगा"
Discount(%),डिस्काउंट (%)
Display,प्रदर्शन
Display Settings,सेटिंग्स प्रदर्शित करें
Display all the individual items delivered with the main items,सभी व्यक्तिगत मुख्य आइटम के साथ वितरित आइटम प्रदर्शित
Distinct unit of an Item,एक आइटम की अलग इकाई
Distribute transport overhead across items.,आइटम में परिवहन उपरि बांटो.
Distribution,वितरण
Distribution Id,वितरण आईडी
Distribution Name,वितरण नाम
Distributor,वितरक
Divorced,तलाकशुदा
Do not show any symbol like $ etc next to currencies.,$ मुद्राओं की बगल आदि की तरह किसी भी प्रतीक नहीं दिखा.
Doc Name,डॉक्टर का नाम
Doc Status,डॉक्टर स्थिति
Doc Type,डॉक्टर के प्रकार
DocField,DocField
DocPerm,DocPerm
DocType,Doctype
DocType Details,DOCTYPE विवरण
DocType is a Table / Form in the application.,DOCTYPE / आवेदन तालिका के रूप में है.
DocType on which this Workflow is applicable.,Doctype जिस पर इस कार्यप्रवाह लागू है.
DocType or Field,Doctype या फील्ड
Document,दस्तावेज़
Document Description,दस्तावेज का विवरण
Document Numbering Series,दस्तावेज़ क्रमांकन सीरीज
Document Status transition from ,से दस्तावेज स्थिति संक्रमण
Document Type,दस्तावेज़ प्रकार
Document is only editable by users of role,दस्तावेज़ भूमिका के उपयोगकर्ताओं द्वारा केवल संपादन है
Documentation,प्रलेखन
Documentation Generator Console,प्रलेखन जनरेटर कंसोल
Documentation Tool,प्रलेखन उपकरण
Documents,दस्तावेज़
Domain,डोमेन
Download Backup,बैकअप डाउनलोड
Download Materials Required,आवश्यक सामग्री डाउनलोड करें
Download Template,टेम्पलेट डाउनलोड करें
Download a report containing all raw materials with their latest inventory status,उनकी नवीनतम सूची की स्थिति के साथ सभी कच्चे माल युक्त रिपोर्ट डाउनलोड करें
"Download the Template, fill appropriate data and attach the modified file.All dates and employee combination in the selected period will come in the template, with existing attendance records",", टेम्पलेट डाउनलोड उपयुक्त डेटा को भरने और चयनित अवधि में संशोधित file.All दिनांक और कर्मचारी संयोजन देते मौजूदा उपस्थिति रिकॉर्ड के साथ, टेम्पलेट में आ जाएगा"
Draft,मसौदा
Drafts,ड्राफ्ट्स
Drag to sort columns,तरह स्तंभों को खींचें
Dropbox,ड्रॉपबॉक्स
Dropbox Access Allowed,ड्रॉपबॉक्स उपयोग की अनुमति दी
Dropbox Access Key,ड्रॉपबॉक्स प्रवेश कुंजी
Dropbox Access Secret,ड्रॉपबॉक्स पहुँच गुप्त
Due Date,नियत तारीख
EMP/,/ ईएमपी
ESIC CARD No,ईएसआईसी कार्ड नहीं
ESIC No.,ईएसआईसी सं.
Earning,कमाई
Earning & Deduction,अर्जन कटौती
Earning Type,प्रकार कमाई
Earning1,Earning1
Edit,संपादित करें
Editable,संपादन
Educational Qualification,शैक्षिक योग्यता
Educational Qualification Details,शैक्षिक योग्यता विवरण
Eg. smsgateway.com/api/send_sms.cgi,उदा. एपीआई smsgateway.com / / send_sms.cgi
Email,ईमेल
Email (By company),ईमेल (कंपनी के द्वारा)
Email Digest,ईमेल डाइजेस्ट
Email Digest Settings,ईमेल डाइजेस्ट सेटिंग
Email Host,ईमेल होस्ट
Email Id,ईमेल आईडी
"Email Id must be unique, already exists for: ","ईमेल आईडी अद्वितीय होना चाहिए, के लिए पहले से ही मौजूद है:"
"Email Id where a job applicant will email e.g. ""jobs@example.com""",ईमेल आईडी जहां एक नौकरी आवेदक जैसे &quot;jobs@example.com&quot; ईमेल करेंगे
Email Login,ईमेल लॉगइन
Email Password,ईमेल पासवर्ड
Email Sent,ईमेल भेजा गया
Email Sent?,ईमेल भेजा है?
Email Settings,ईमेल सेटिंग
Email Settings for Outgoing and Incoming Emails.,निवर्तमान और आने वाली ईमेल के लिए ईमेल सेटिंग्स.
Email Signature,ईमेल हस्ताक्षर
Email Use SSL,ईमेल में इस्तेमाल SSL
"Email addresses, separted by commas","ईमेल पते, अल्पविराम के द्वारा separted"
Email ids separated by commas.,ईमेल आईडी अल्पविराम के द्वारा अलग.
"Email settings for jobs email id ""jobs@example.com""",नौकरियाँ ईमेल आईडी &quot;jobs@example.com&quot; के लिए ईमेल सेटिंग्स
"Email settings to extract Leads from sales email id e.g. ""sales@example.com""",ईमेल सेटिंग्स बिक्री ईमेल आईडी जैसे &quot;sales@example.com से सुराग निकालने के लिए
Email...,ईमेल ...
Embed image slideshows in website pages.,वेबसाइट के पन्नों में छवि स्लाइडशो चलाने एम्बेड करें.
Emergency Contact Details,आपातकालीन सम्पर्क करने का विवरण
Emergency Phone Number,आपातकालीन फोन नंबर
Employee,कर्मचारी
Employee Birthday,कर्मचारी जन्मदिन
Employee Designation.,कर्मचारी पदनाम.
Employee Details,कर्मचारी विवरण
Employee Education,कर्मचारी शिक्षा
Employee External Work History,कर्मचारी बाहरी काम इतिहास
Employee Information,कर्मचारी सूचना
Employee Internal Work History,कर्मचारी आंतरिक कार्य इतिहास
Employee Internal Work Historys,कर्मचारी आंतरिक कार्य Historys
Employee Leave Approver,कर्मचारी छुट्टी अनुमोदक
Employee Leave Balance,कर्मचारी छुट्टी शेष
Employee Name,कर्मचारी का नाम
Employee Number,कर्मचारियों की संख्या
Employee Records to be created by,कर्मचारी रिकॉर्ड्स द्वारा पैदा किए जाने की
Employee Setup,कर्मचारी सेटअप
Employee Type,कर्मचारी प्रकार
Employee grades,कर्मचारी ग्रेड
Employee record is created using selected field. ,कर्मचारी रिकॉर्ड चयनित क्षेत्र का उपयोग कर बनाया जाता है.
Employee records.,कर्मचारी रिकॉर्ड.
Employee: ,कर्मचारी:
Employees Email Id,ईमेल आईडी कर्मचारी
Employment Details,रोजगार के विवरण
Employment Type,रोजगार के प्रकार
Enable Auto Inventory Accounting,ऑटो सूची लेखा सक्षम करें
Enable Shopping Cart,शॉपिंग कार्ट सक्षम करें
Enabled,Enabled
Enables <b>More Info.</b> in all documents,<b>अधिक जानकारी के लिए</b> सभी दस्तावेजों में <b>सक्षम</b> बनाता है
Encashment Date,नकदीकरण तिथि
End Date,समाप्ति तिथि
End date of current invoice's period,वर्तमान चालान की अवधि की समाप्ति की तारीख
End of Life,जीवन का अंत
Ends on,पर समाप्त होता है
Enter Email Id to receive Error Report sent by users.E.g.: support@iwebnotes.com,ईमेल आईडी दर्ज करें त्रुटि users.Eg द्वारा भेजा प्राप्त रिपोर्ट: support@iwebnotes.com
Enter Form Type,प्रपत्र प्रकार दर्ज करें
Enter Row,पंक्ति दर्ज
Enter Verification Code,सत्यापन कोड दर्ज
Enter campaign name if the source of lead is campaign.,अभियान का नाम दर्ज करें अगर नेतृत्व के स्रोत अभियान है.
"Enter default value fields (keys) and values. If you add multiple values for a field, the first one will be picked. These defaults are also used to set ""match"" permission rules. To see list of fields, go to <a href=""#Form/Customize Form/Customize Form"">Customize Form</a>.","डिफ़ॉल्ट मान (कुंजी) क्षेत्रों और मूल्यों दर्ज करें. यदि आप एक क्षेत्र के लिए अनेक मान जोड़ने के लिए, 1 एक उठाया जाएगा. ये चूक भी &quot;मैच&quot; अनुमति नियमों के सेट करने के लिए किया जाता है. क्षेत्रों की सूची देखने के लिए <a href=""#Form/Customize Form/Customize Form"">प्रपत्र को अनुकूलित</a> ."
Enter department to which this Contact belongs,विभाग को जो इस संपर्क के अंतर्गत आता दर्ज करें
Enter designation of this Contact,इस संपर्क के पद पर नियुक्ति दर्ज करें
"Enter email id separated by commas, invoice will be mailed automatically on particular date","अल्पविराम के द्वारा अलग ईमेल आईडी दर्ज करें, चालान विशेष तिथि पर स्वचालित रूप से भेज दिया जाएगा"
Enter items and planned qty for which you want to raise production orders or download raw materials for analysis.,"वस्तुओं और योजना बनाई मात्रा दर्ज करें, जिसके लिए आप उत्पादन के आदेश को बढ़ाने या विश्लेषण के लिए कच्चे माल के डाउनलोड करना चाहते हैं."
Enter name of campaign if source of enquiry is campaign,अभियान का नाम दर्ज़ अगर जांच के स्रोत अभियान
"Enter static url parameters here (Eg. sender=ERPNext, username=ERPNext, password=1234 etc.)","स्थैतिक यूआरएल यहाँ मानकों (Eg. प्रेषक = ERPNext, username = ERPNext, पासवर्ड = 1234 आदि) दर्ज करें"
Enter the company name under which Account Head will be created for this Supplier,कंपनी का नाम है जिसके तहत इस प्रदायक लेखाशीर्ष के लिए बनाया जाएगा दर्ज करें
Enter the date by which payments from customer is expected against this invoice.,तारीख है जिसके द्वारा ग्राहक से भुगतान इस चालान के खिलाफ उम्मीद है दर्ज करें.
Enter url parameter for message,संदेश के लिए url पैरामीटर दर्ज करें
Enter url parameter for receiver nos,रिसीवर ओपन स्कूल के लिए url पैरामीटर दर्ज करें
Entries,प्रविष्टियां
Entries are not allowed against this Fiscal Year if the year is closed.,"प्रविष्टियों इस वित्त वर्ष के खिलाफ की अनुमति नहीं है, अगर साल बंद कर दिया जाता है."
Error,त्रुटि
Error for,के लिए त्रुटि
Error: Document has been modified after you have opened it,त्रुटि: आप इसे खोल दिया है के बाद दस्तावेज़ संशोधित किया गया है
Estimated Material Cost,अनुमानित मटेरियल कॉस्ट
Event,घटना
Event End must be after Start,घटना अंत प्रारंभ के बाद होना चाहिए
Event Individuals,घटना व्यक्तियों
Event Role,घटना रोल
Event Roles,घटना भूमिकाओं
Event Type,इवेंट प्रकार
Event User,इवेंट उपयोगकर्ता के
Events In Today's Calendar,आज के कैलेंडर में घटनाक्रम
Every Day,हर दिन
Every Month,हर महीने
Every Week,हर हफ्ते
Every Year,हर साल
Everyone can read,हर कोई पढ़ सकता है
Example:,उदाहरण:
Exchange Rate,विनिमय दर
Excise Page Number,आबकारी पृष्ठ संख्या
Excise Voucher,आबकारी वाउचर
Exemption Limit,छूट की सीमा
Exhibition,प्रदर्शनी
Existing Customer,मौजूदा ग्राहक
Exit,निकास
Exit Interview Details,साक्षात्कार विवरण से बाहर निकलें
Expected,अपेक्षित
Expected Delivery Date,उम्मीद डिलीवरी की तारीख
Expected End Date,उम्मीद समाप्ति तिथि
Expected Start Date,उम्मीद प्रारंभ दिनांक
Expense Account,व्यय लेखा
Expense Account is mandatory,व्यय खाता अनिवार्य है
Expense Claim,व्यय दावा
Expense Claim Approved,व्यय दावे को मंजूरी
Expense Claim Approved Message,व्यय दावा संदेश स्वीकृत
Expense Claim Detail,व्यय दावा विवरण
Expense Claim Details,व्यय दावा विवरण
Expense Claim Rejected,व्यय दावे का खंडन किया
Expense Claim Rejected Message,व्यय दावा संदेश अस्वीकृत
Expense Claim Type,व्यय दावा प्रकार
Expense Date,व्यय तिथि
Expense Details,व्यय विवरण
Expense Head,व्यय प्रमुख
Expense account is mandatory for item: ,व्यय खाते आइटम के लिए अनिवार्य है:
Expense/Adjustment Account,व्यय / समायोजन खाता
Expenses Booked,व्यय बुक
Expenses Included In Valuation,व्यय मूल्यांकन में शामिल
Expenses booked for the digest period,पचाने अवधि के लिए बुक व्यय
Expiry Date,समाप्ति दिनांक
Export,निर्यात
Exports,निर्यात
External,बाहरी
Extract Emails,ईमेल निकालें
FCFS Rate,FCFS दर
FIFO,फीफो
Facebook Share,फेसबुक के शेयर
Failed: ,विफल:
Family Background,पारिवारिक पृष्ठभूमि
FavIcon,FavIcon
Fax,फैक्स
Features Setup,सुविधाएँ सेटअप
Feed,खिलाना
Feed Type,प्रकार फ़ीड
Feedback,प्रतिपुष्टि
Female,महिला
Fetch lead which will be converted into customer.,नेतृत्व जो ग्राहक में परिवर्तित किया जाएगा लायें.
Field Description,फील्ड विवरण
Field Name,फ़ील्ड का नाम
Field Type,फ़ील्ड प्रकार
"Field available in Delivery Note, Quotation, Sales Invoice, Sales Order","डिलिवरी नोट, कोटेशन, बिक्री चालान, विक्रय आदेश में उपलब्ध फील्ड"
"Field that represents the Workflow State of the transaction (if field is not present, a new hidden Custom Field will be created)","फील्ड है कि लेन - देन की कार्यप्रवाह राज्य का प्रतिनिधित्व करता है (अगर क्षेत्र मौजूद नहीं है, एक नया छिपा कस्टम फ़ील्ड बनाया जाएगा)"
Fieldname,FIELDNAME
Fields,फील्ड्स
"Fields separated by comma (,) will be included in the<br /><b>Search By</b> list of Search dialog box","अल्पविराम (,) द्वारा अलग क्षेत्रों में शामिल किया जाएगा <br /> खोज संवाद बॉक्स की सूची <b>तक खोजें</b>"
File,फ़ाइल
File Data,डेटा फ़ाइल
File Name,फ़ाइल नाम
File Size,फ़ाइल का आकार
File URL,फ़ाइल URL
File size exceeded the maximum allowed size,फ़ाइल का आकार अधिकतम आकार से अधिक
Files Folder ID,फ़ाइलें फ़ोल्डर आईडी
Filing in Additional Information about the Opportunity will help you analyze your data better.,अवसर के बारे में अतिरिक्त सूचना में फाइलिंग में मदद मिलेगी आप अपने डेटा का विश्लेषण बेहतर.
Filing in Additional Information about the Purchase Receipt will help you analyze your data better.,खरीद रसीद के बारे में अतिरिक्त सूचना में फाइलिंग में मदद मिलेगी आप अपने डेटा का विश्लेषण बेहतर.
Filling in Additional Information about the Delivery Note will help you analyze your data better.,डिलिवरी नोट के बारे में अतिरिक्त जानकारी में भरने में मदद मिलेगी आप अपने डेटा का विश्लेषण बेहतर.
Filling in additional information about the Quotation will help you analyze your data better.,कोटेशन के बारे में अतिरिक्त जानकारी में भरने में मदद मिलेगी आप अपने डेटा का विश्लेषण बेहतर.
Filling in additional information about the Sales Order will help you analyze your data better.,बिक्री आदेश के बारे में अतिरिक्त जानकारी में भरने में मदद मिलेगी आप अपने डेटा का विश्लेषण बेहतर.
Filter,फ़िल्टर
Filter By Amount,राशि के द्वारा फिल्टर
Filter By Date,तिथि फ़िल्टर
Filter based on customer,ग्राहकों के आधार पर फ़िल्टर
Filter based on item,आइटम के आधार पर फ़िल्टर
Final Confirmation Date,अंतिम पुष्टि तिथि
Financial Analytics,वित्तीय विश्लेषिकी
Financial Statements,वित्तीय विवरण
First Name,प्रथम नाम
First Responded On,पर पहले जवाब
Fiscal Year,वित्तीय वर्ष
Fixed Asset Account,फिक्स्ड आस्ति खाता
Float,नाव
Float Precision,प्रेसिजन फ्लोट
Follow via Email,ईमेल के माध्यम से पालन करें
Following Journal Vouchers have been created automatically,बाद जर्नल वाउचर स्वचालित रूप से बनाया गया है
"Following table will show values if items are sub - contracted. These values will be fetched from the master of ""Bill of Materials"" of sub - contracted items.",तालिका के बाद मूल्यों को दिखाने अगर आइटम उप - अनुबंध. अनुबंधित आइटम - इन मूल्यों को उप &quot;सामग्री के विधेयक&quot; के मालिक से दिलवाया जाएगा.
Font (Heading),फॉन्ट (शीर्षक)
Font (Text),फ़ॉन्ट (पाठ)
Font Size (Text),फॉन्ट साइज (पाठ)
Fonts,फ़ॉन्ट्स
Footer,पाद लेख
Footer Items,पाद लेख आइटम
For All Users,सभी उपयोगकर्ताओं के लिए
For Company,कंपनी के लिए
For Employee,कर्मचारी के लिए
For Employee Name,कर्मचारी का नाम
For Item ,आइटम के लिए
"For Links, enter the DocType as rangeFor Select, enter list of Options separated by comma","लिंक के लिए, rangeFor चयन के रूप में doctype दर्ज करें, अल्पविराम के द्वारा अलग विकल्प की सूची में प्रवेश"
For Production,उत्पादन के लिए
For Reference Only.,संदर्भ के लिए ही.
For Sales Invoice,बिक्री चालान के लिए
For Server Side Print Formats,सर्वर साइड प्रिंट स्वरूपों के लिए
For Territory,राज्य क्षेत्र के लिए
For UOM,UOM लिए
For Warehouse,गोदाम के लिए
"For comparative filters, start with","तुलनात्मक फिल्टर करने के लिए, के साथ शुरू"
"For e.g. 2012, 2012-13","जैसे 2012, 2012-13 के लिए"
For example if you cancel and amend 'INV004' it will become a new document 'INV004-1'. This helps you to keep track of each amendment.,उदाहरण के लिए यदि आप रद्द और &#39;INV004&#39; में संशोधन करने के लिए यह एक नया दस्तावेज़ INV004-1 &#39;बन जाएगा. यह आप प्रत्येक संशोधन का ट्रैक रखने में मदद करता है.
