 (Half Day),(Meio Dia)
DocType on which this Workflow is applicable.,DocType em que este fluxo de trabalho é aplicável.
DocType or Field,DocType ou Campo
Document,Documento
Document Description,Descrição do documento
Document Status transition from ,Transição do estado do Documento de
Document Type,Tipo de Documento
Document is only editable by users of role,Documento só é editável por usuários da função
Document to rename,Documento para renomear
Documentation,Documentação
Documents,Documentos
Domain List,Lista de Domínios
Download Backup,Baixar o Backup
Download Materials Required,Baixar Materiais Necessários
Download Template,Baixar o Modelo
Download a report containing all raw materials with their latest inventory status,Baixar um relatório contendo todas as matérias-primas com o seu estado mais recente do inventário
Draft,Rascunho
Drafts,Rascunhos
Drag to sort columns,Arraste para classificar colunas
Due Date,Data de Vencimento
Duration,Duração
EMP/,EMP /
ESIC CARD No,Nº CARTÃO ESIC
ESIC No.,Nº ESIC.
Earning,Ganho
Earning & Deduction,Ganho &amp; Dedução
Earning Type,Tipo de Ganho
Earning1,Earning1
Edit,Editar
Editable,Editável
Educational Qualification,Qualificação Educacional
Educational Qualification Details,Detalhes da Qualificação Educacional
Eg. smsgateway.com/api/send_sms.cgi,Por exemplo: smsgateway.com / api / send_sms.cgi
Eligible Amount,Montante elegível
Email,E-mail
Email (By company),E-mail (por empresa)
Email Digest,Resumo por E-mail
Email Digest Settings,Configurações do Resumo por E-mail
Email Host,Host do e-mail
Email Id,Endereço de e-mail
"Email Id must be unique, already exists for: ","Endereço de e-mail deve ser único, já existe para: "
"Email Id where a job applicant will email e.g. ""jobs@example.com""","Endereço do e-mail onde um candidato a emprego vai enviar e-mail, por exemplo: &quot;empregos@exemplo.com&quot;"
Email Login,Login do e-mail
Email Password,Senha do e-mail
Email Sent,E-mail enviado
Email Sent?,E-mail enviado?
Email Settings,Configurações de e-mail
Email Settings for Outgoing and Incoming Emails.,Configurações de e-mail para e-mails enviados e recebidos.
Email Signature,Assinatura de e-mail
Email Use SSL,Usar SSL no e-mail
"Email addresses, separted by commas","Endereços de email, separados por vírgulas"
"Email settings for jobs email id ""jobs@example.com""",Configurações de e-mail para e-mail de empregos &quot;empregos@exemplo.com&quot;
"Email settings to extract Leads from sales email id e.g. ""sales@example.com""","Configurações de e-mail para extrair Prospectos do e-mail de vendas, por exemplo &quot;vendas@exemplo.com&quot;"
Embed image slideshows in website pages.,Incorporar apresentações de imagem em páginas do site.
Emergency Contact Details,Detalhes do contato de emergência
Emergency Phone Number,Número do telefone de emergência
Employee,Funcionário
Employee Designation.,Designação empregado.
Employee Details,Detalhes do Funcionário
Employee Education,Escolaridade do Funcionário
Employee External Work History,Histórico de trabalho externo do Funcionário
Employee Internal Work History,Histórico de trabalho interno do Funcionário
Employee Internal Work Historys,Histórico de trabalho interno do Funcionário
Employee Leave Balance,Equilíbrio Leave empregado
Employee Name,Nome do Funcionário
Employee Number,Número do Funcionário
Employee Records to be created by ,Registros de Funcionário a serem criados por
Employee Setup,Configuração do Funcionário
Employee Training,Treinamento de funcionários
Employee Type,Tipo de empregado
Employee grades,Notas do funcionário
Employee record is created using selected field. ,Registro de funcionário é criado usando o campo selecionado.
Employee records.,Registros de funcionários.
Employees Email Id,Endereços de e-mail dos Funcionários 
Employment Details,Detalhes de emprego
Employment Type,Tipo de emprego
Enable / disable currencies.,Ativar / desativar moedas.
Enabled,Habilitado
Enables <b>More Info.</b> in all documents,Habilitar <b>Mais informações.</b> em todos os documentos
Encashment Date,Data da cobrança
End Date,Data final
End date of current invoice's period,Data final do período de fatura atual
End of Life,Fim de Vida
Ends on,Termina em
Enter Email Id to receive Error Report sent by users.E.g.: support@iwebnotes.com,Digite o Id-mail para receber Relatório de erros enviados por users.Eg: support@iwebnotes.com
Enter Form Type,Digite o Tipo de Formulário
Enter Row,Digite a Linha
Enter campaign name if the source of lead is campaign.,Digite o nome da campanha se a origem do Prospecto foi uma campanha.
"Enter default value fields (keys) and values. If you add multiple values for a field, the first one will be picked. These defaults are also used to set ""match"" permission rules. To see list of fields, go to <a href=""#Form/Customize Form/Customize Form"">Customize Form</a>.","Digite campos de valor padrão (chaves) e valores. Se você adicionar vários valores para um campo, o primeiro vai ser escolhido. Esses padrões são usados também para definir regras de permissão de &quot;combinação&quot;. Para ver a lista de campos, vá para <a href=""#Form/Customize Form/Customize Form"">Personalizar formulário</a> ."
Enter department to which this Contact belongs,Entre com o departamento a que este contato pertence
Enter designation of this Contact,Digite a designação deste contato
"Enter domain names associated to this website, each on a new line","Digite os nomes de domínio associados a este site, cada um em uma nova linha"
"Enter email id separated by commas, invoice will be mailed automatically on particular date","Digite os endereços de e-mail separados por vírgulas, a fatura será enviada automaticamente na data determinada"
Enter items and planned qty for which you want to raise production orders or download raw materials for analysis.,Digite itens e qtde. planejada para o qual você quer levantar ordens de produção ou fazer o download de matérias-primas para a análise.
Enter message,Digite a mensagem
Enter name of campaign if source of enquiry is campaign,Digite o nome da campanha se o motivo da consulta foi uma campanha.
"Enter static url parameters here (Eg. sender=ERPNext, username=ERPNext, password=1234 etc.)","Digite os parâmetros da URL estática aqui (por exemplo remetente=ERPNext, usuario=ERPNext, senha=1234, etc)"
Enter the company name under which Account Head will be created for this Supplier,Digite o nome da empresa sob a qual a Conta será criada para este fornecedor
Enter the date by which payments from customer is expected against this invoice.,Digite a data em que o pagamento do cliente é esperado para esta fatura.
Enter url parameter for message,Digite o parâmetro da url para mensagem
Enter url parameter for receiver nos,Digite o parâmetro da url para os números de receptores
Entries,Lançamentos
Entries are not allowed against this Fiscal Year if the year is closed.,Lançamentos não são permitidos contra este Ano Fiscal se o ano está fechado.
Error,Erro
Estimated Material Cost,Custo estimado de Material
Event,Evento
Event Individuals,Indivíduos do Evento
Event Role,Função do Evento
Event Roles,Funções do Evento
Event Type,Tipo de Evento
Event Updates,Atualizações do Eento
Event User,Usuário do Evento
Example:,Exemplo:
Exchange Rate,Taxa de Câmbio
Excise Page Number,Número de página do imposto
Excise Voucher,Comprovante do imposto
Execute,Executar
Exemption Limit,Limite de isenção
Exhibition,Exposição
Existing Customer,Cliente existente
Exit,Sair
Exit Interview Details,Detalhes da Entrevista de saída
Expected,Esperado
Expected Delivery Date,Data de entrega prevista
Expected End Date,Data Final prevista
Expected Start Date,Data Inicial prevista
Expense Account,Conta de Despesas
Expense Claim,Pedido de Reembolso de Despesas
Expense Claim Approved,Pedido de Reembolso de Despesas Aprovado
Expense Claim Approved Message,Mensagem de aprovação do Pedido de Reembolso de Despesas
Expense Claim Detail,Detalhe do Pedido de Reembolso de Despesas
Expense Claim Details,Detalhes do Pedido de Reembolso de Despesas
Expense Claim Rejected,Pedido de Reembolso de Despesas Rejeitado
Expense Claim Rejected Message,Mensagem de recusa do Pedido de Reembolso de Despesas
Expense Claim Type,Tipo de Pedido de Reembolso de Despesas
Expense Date,Data da despesa
Expense Details,Detalhes da despesa
Expense Head,Conta de despesas
Expenses Booked,Despesas agendadas
Expiry Date,Data de validade
Export,Exportar
Exports,Exportações
External,Externo
Extra Condition,Condição extra
Extract Emails,Extrair e-mails
Extract Job Applicant from jobs email id e.g. jobs@example.com,"Extraia Candidado a Emprego do e-mail de empregos, por exemplo empregos@exemplo.com"
Extract Leads from sales email id e.g. sales@example.com,"Extraia Prospectos do e-mail de vendas, por exemplo vendas@exemplo.com"
FCFS Rate,Taxa FCFS
FIFO,PEPS
Facebook Share,Compartilhar Facebook
Family Background,Antecedentes familiares
FavIcon,FavIcon
Fax,Fax
Featured Item,Item Destacado
Featured Item in Item Group,Item destacado no Grupo de Itens
Features Setup,Configuração de características
Feed,Alimentar
Feed Type,Tipo de alimentação
Feedback,Comentários
Female,Feminino
Fetch lead which will be converted into customer.,Extrair prospecto que vai se tornar cliente.
Field,Campo
Field Description,Descrição do Campo
Field Mapper Detail,Detalhe do Mapeador do Campo
Field Mapper Details,Detalhes do Mapeador do Campo
Field Name,Nome do Campo
Field Type,Tipo de Campo
"Field available in Delivery Note, Quotation, Sales Invoice, Sales Order","Campo disponível na Guia de Remessa, Cotação, Nota Fiscal de Venda, Ordem de Venda"
Field from other forms,Campo de outros formulários
"Field that represents the Workflow State of the transaction (if field is not present, a new hidden Custom Field will be created)","Campo que representa o Estado da transação do fluxo de trabalho (se o campo não estiver presente, um novo campo oculto personalizado será criado)"
Fieldname,Nome do Campo
Fields,Campos
"Fields separated by comma (,) will be included in the<br /><b>Search By</b> list of Search dialog box","Campos separados por vírgula (,) serão incluídos na lista <br /> <b>Pesquisa por</b> da caixa de diálogo Pesquisar"
File Data,Dados de arquivo
File LIst,Lista de Arquivos
File List,Lista de Arquivos
File Name,Nome do arquivo
File URL,URL do arquivo
File Uploaded Sucessfully.,Arquivo enviado com sucesso.
Filing in Additional Information about the Material Request will help you analyze your data better.,Apresentação de informações adicionais sobre a solicitar material vai ajudar a analisar melhor seus dados.
Filing in Additional Information about the Opportunity will help you analyze your data better.,Preenchimento de informações adicionais sobre o Opportunity vai ajudar a analisar melhor seus dados.
Filing in Additional Information about the Purchase Receipt will help you analyze your data better.,Preenchimento de informações adicionais sobre o Recibo de compra vai ajudar a analisar melhor seus dados.
Filing in Additional Information about the Purchase Requisition will help you analyze your data better.,Preenchimento de informações adicionais sobre o pedido de compra vai ajudar a analisar melhor seus dados.
Filling in Additional Information about the Delivery Note will help you analyze your data better.,Preenchimento de informações adicionais sobre a Guia de Remessa irá ajudá-lo a analisar os seus dados melhor.
Filling in additional information about the Quotation will help you analyze your data better.,Preenchimento de informações adicionais sobre a cotação irá ajudá-lo a analisar os seus dados melhor.
Filling in additional information about the Sales Order will help you analyze your data better.,Preenchimento de informações adicionais sobre a Ordem de Venda vai ajudar a analisar melhor seus dados.
Filter By Amount,Filtrar por Quantidade
Filter By Date,Filtrar por data
Filter based on customer,Filtrar baseado em cliente
Filter based on item,Filtrar baseado no item
Filters,Filtros
Final Confirmation Date,Data final de confirmação
Financial Analytics,Análise Financeira
Financial Statements,Demonstrações Financeiras
Financial Years for books of accounts,Exercícios para os livros-caixas
First Name,Nome
First Responded On,Primeira resposta em
Fiscal Year,Exercício fiscal
Fiscal Year Details,Detalhes do Exercício Fiscal
Fixed Asset Account,Conta de ativo fixo
Float,Float
Float Precision,Precisão flutuante
Floral,Floral
Follow via Email,Siga por e-mail
"Following table will show values if items are sub - contracted. These values will be fetched from the master of ""Bill of Materials"" of sub - contracted items.",A tabela a seguir mostrará valores se os itens são sub-contratados. Estes valores serão obtidos a partir do cadastro da &quot;Lista de Materiais&quot; de itens sub-contratados.
Font,Fonte
Font Size,Tamanho da Fonte
Footer,Rodapé
Footer Items,Itens do Rodapé
For All Users,Para todos os usuários
For Buying,Para Comprar
For Company,Para a Empresa
For Employee,Para o Funcionário
For Employee Name,Para Nome do Funcionário
For Item ,Para o Item
"For Links, enter the DocType as rangeFor Select, enter list of Options separated by comma","Para Links, digite o DocType como rangeFor Select, entrar na lista de opções separadas por vírgula"
For Production,Para Produção
For Reference Only.,Apenas para referência.
For Selling,Para Venda
For Warehouse,Para Almoxarifado
"For comparative filters, start with","Para filtros comparativos, comece com"
"For e.g. 2012, 2012-13","Para por exemplo 2012, 2012-13"
For example if you cancel and amend 'INV004' it will become a new document 'INV004-1'. This helps you to keep track of each amendment.,"Por exemplo, se você cancelar e alterar &#39;INV004&#39; ele vai se tornar um novo documento &quot;INV004-1&#39;. Isso ajuda você a manter o controle de cada alteração."
For example: You want to restrict users to transactions marked with a certain property called 'Territory',Por exemplo: Você quer restringir os usuários a transações marcadas com uma certa propriedade chamado &#39;Território&#39;
For opening balance entry account can not be a PL account,Para a abertura de conta de entrada saldo não pode ser uma conta de PL
"For opening invoice entry, this date will reflect in the period-wise aging report.","Para a abertura do lançamento da fatura, esta data vai refletir no relatório período sábio envelhecimento."
For ranges,Para faixas
For reference,Para referência
For reference only.,Apenas para referência.
"For the convenience of customers, these codes can be used in print formats like Invoices and Delivery Notes","Para a comodidade dos clientes, estes códigos podem ser usados ​​em formatos de impressão, como Notas Fiscais e Guias de Remessa"
Form,Forma
Format: hh:mm example for one hour expiry set as 01:00. Max expiry will be 72 hours. Default is 24 hours,Formato: hh: mm para um exemplo de validade definido como hora 01:00. Max termo será de 72 horas. Padrão é de 24 horas
Forum,Fórum
Fraction,Fração
Fraction Units,Unidades fracionadas
Friday,Sexta-feira
From Company,Da Empresa
From Customer,Do Cliente
From Date,A partir da data
From Date must be before To Date,A data inicial deve ser anterior a data final
From DocType,De DocType
From Employee,De Empregado
From Field,De Campo
From PR Date,De PR Data
From Package No.,De No. Package
From Table,A partir da Tabela
Frozen,Congelado
Full Name,Nome Completo
Fully Billed,Totalmente faturado
Fully Completed,Totalmente concluída
GL Control,GL Controle
GL Entry,Lançamento GL
GL Entry: Debit or Credit amount is mandatory for ,GL Entrada: montante de crédito ou débito é obrigatória para
GL Mapper,Mapeamento GL
GL Mapper Detail,Detalhe do Mapeamento GL
GRN,GRN
Gantt Chart,Gráfico de Gantt
Gantt chart of all tasks.,Gráfico de Gantt de todas as tarefas.
Gender,Sexo
General,Geral
General Ledger,Razão Geral
Generate Description HTML,Gerar Descrição HTML
Generate Material Requests (MRP) and Production Orders.,Gerar Pedidos de Materiais (MRP) e ordens de produção.
Generate Salary Slips,Gerar folhas de pagamento
Generate Schedule,Gerar Agenda
"Generate packing slips for packages to be delivered. Used to notify package number, package contents and its weight.","Gerar guias de remessa de pacotes a serem entregues. Usado para notificar o número do pacote, o conteúdo do pacote e seu peso."
Generates HTML to include selected image in the description,Gera HTML para incluir a imagem selecionada na descrição
Georgia,Geórgia
Get Advances Paid,Obter adiantamentos pagos
Get Advances Received,Obter adiantamentos recebidos
Get Current Stock,Obter Estoque atual
Get Items,Obter itens
Get Last Purchase Rate,Obter Valor da Última Compra
Get Non Reconciled Entries,Obter lançamentos não Reconciliados
Get Open Sales Order,Obter Ordens de Venda abertas
Get Outstanding Invoices,Obter faturas pendentes
Get Purchase Receipt,Obter Recibo de compra
Get Sales Orders,Obter Ordens de Venda
Get Specification Details,Obter detalhes da Especificação
Get Stock and Rate,Obter Estoque e Valor
Get Tax Detail,Obtenha detalhes de Imposto
Get Taxes and Charges,Obter Impostos e Encargos
Get Template,Obter Modelo
Get Terms and Conditions,Obter os Termos e Condições
Get Weekly Off Dates,Obter datas de descanso semanal
Get the template of the Attendance for which you want to import in CSV (Comma seperated values) format.Fill data in the template. Save the template in CSV format.All attendance dates inbetween 'Attendance From Date' and 'Attendance To Date' will come in the template with employees list.,Obter o modelo do atendimento para o qual você deseja importar no formato CSV (valores separados por vírgulas) format.Fill dados no modelo. Salve o modelo na CSV atendimento format.All data &#39;Presença De Data&#39; inbetween e &#39;Atendimento Conhecer&#39; virá no modelo com lista de funcionários.
"Get valuation rate and available stock at source/target warehouse on mentioned posting date-time. If serialized item, please press this button after entering serial nos.","Obter valorização e estoque disponível no almoxarifado de origem/destino na data e hora de postagem mencionada. Se for item serializado, pressione este botão depois de entrar os nº de série."
Global Defaults,Padrões globais
Go back to home,Volte para Início
Go to Setup > <a href='#user-properties'>User Properties</a> to set \			'territory' for diffent Users.,Vá para Configuração&gt; <a href='#user-properties'>Propriedades do usuário</a> para definir \ &#39;território&#39; para usuários diffent.
Goal,Meta
Goals,Metas
Goods received from Suppliers.,Mercadorias recebidas de fornecedores.
Google Analytics ID,ID do Google Analytics
Google Plus One,Google Plus One
Grade,Grau
Graduate,Pós-graduação
Grand Total,Total Geral
Grand Total (Export),Total Geral (Exportação)
Grand Total (Import),Total Geral (Importação)
Grand Total*,Total Geral*
Gratuity LIC ID,ID LIC gratuidade
Gross Margin %,Margem Bruta %
Gross Margin Value,Valor Margem Bruta
Gross Pay,Salário bruto
Gross Pay + Arrear Amount +Encashment Amount - Total Deduction,Salário bruto + Valor em atraso + Valor de cobrança - Dedução Total
Gross Profit,Lucro bruto
Gross Profit (%),Lucro Bruto (%)
Gross Weight,Peso bruto
Gross Weight UOM,UDM do Peso Bruto
Group,Grupo
Group By,Agrupar por
Group or Ledger,Grupo ou Razão
Groups,Grupos
HR,RH
HTML,HTML
HTML / Banner that will show on the top of product list.,HTML / Faixa que vai ser mostrada no topo da lista de produtos.
"HTML print formats for quotes, invoices etc","Formatos de impressão em HTML para cotações, notas fiscais, etc"
Half Day,Meio Dia
Half Yearly,Semestral
Half-yearly,Semestral
Has Batch No,Tem nº de Lote
Has Child Node,Tem nó filho
Has Serial No,Tem nº de Série
Header,Cabeçalho
Heading,Título
Heading Font,Título da fonte
Heads (or groups) against which Accounting Entries are made and balances are maintained.,Contas (ou grupos) contra a qual os lançamentos de contabilidade são feitos e os saldos são mantidos.
Health Concerns,Preocupações com a Saúde
Health Details,Detalhes sobre a Saúde
Held On,Realizada em
Help,Ajudar
Help HTML,Ajuda HTML
Helper for managing return of goods (sales or purchase),Auxiliar para a gestão de devolução de mercadorias (venda ou compra)
Helvetica Neue,Helvetica Neue
"Hence, maximum allowed Manufacturing Quantity","Assim, a Quantidade de Fabricação máxima permitida"
"Here you can maintain family details like name and occupation of parent, spouse and children","Aqui você pode manter detalhes familiares como o nome e ocupação do cônjuge, pai e filhos"
"Here you can maintain height, weight, allergies, medical concerns etc","Aqui você pode manter a altura, peso, alergias, preocupações médica, etc"
Hey there! You need to put at least one item in \				the item table.,Hey there! Você precisa colocar pelo menos um item em \ tabela do item.
Hey! You seem to be using the wrong template. \				Click on 'Download Template' button to get the correct template.,Hey! Você parece estar usando o modelo errado. \ Clique no botão &#39;Template Download&#39; para obter o modelo correto.
Hidden,Escondido
Hide Actions,Ocultar Ações
Hide Copy,Ocultar Copia
Hide Currency Symbol,Ocultar Símbolo de Moeda
Hide Email,Ocultar E-mail
Hide Heading,Ocultar Título
Hide Print,Ocultar Impressão
Hide Toolbar,Ocultar barra de ferramentas
High,Alto
Highlight,Realçar
History In Company,Histórico na Empresa
Hold,Segurar
Holiday,Feriado
Holiday Block List,Lista de Bloqueios de férias
Holiday Block List Allow,Lista de Bloqueios de férias Permitir
Holiday Block List Allowed,Lista de feriado Bloco admitidos
Holiday Block List Date,Data feriado Lista de Bloqueios
Holiday Block List Dates,Datas de férias Lista de Bloqueios
Holiday Block List Name,Nome de férias Lista de Bloqueios
Holiday List,Lista de feriado
Holiday List Name,Nome da lista de feriados
Holidays,Feriados
Home,Início
Home Control,Início de Controle
Home Page,Página Inicial
Home Page is Products,Página Inicial é Produtos
Home Pages,Páginas Iniciais
Host,Host
"Host, Email and Password required if emails are to be pulled","Host, E-mail e Senha são necessários se desejar obter e-mails"
Hour Rate,Valor por hora
Hour Rate Consumable,Valor por hora de Consumíveis
Hour Rate Electricity,Valor por hora de Eletricidade
Hour Rate Labour,Valor por hora de mão-de-obra
Hour Rate Rent,Valor por hora de Aluguel
Hours,Horas
How frequently?,Com que frequência?
"How should this currency be formatted? If not set, will use system defaults","Como essa moeda deve ser formatada? Se não for definido, serão usados os padrões do sistema"
How to upload,Como fazer o carregamento
Hrvatski,Hrvatski
Human Resources,Recursos Humanos
Human Resources Home,Início de Recursos Humanos
Hurray! The day(s) on which you are applying for leave \					coincide with holiday(s). You need not apply for leave.,Viva! O dia (s) em que você está aplicando para deixar \ coincidir com feriado (s). Você não precisa pedir licença.
I,Eu
ID (name) of the entity whose property is to be set,ID (nome) da entidade cuja propriedade é para ser definida
IDT,IDT
IGHelp,IGHelp
II,II
III,III
IN,EM
INV,INV
INV/10-11/,INV/10-11 /
IV,IV
Icon,Ícone
Icon will appear on the button,O ícone aparecerá no botão
Id of the profile will be the email.,O ID do perfil será o e-mail.
Identification of the package for the delivery (for print),Identificação do pacote para a Entrega (para impressão)
If Monthly Budget Exceeded,Se o orçamento mensal for excedido
"If Sale BOM is defined, the actual BOM of the Pack is displayed as table.Available in Delivery Note and Sales Order","Se BOM venda é definido, o BOM real do pacote é exibido como table.Available na nota de entrega e Ordem de Vendas"
"If Supplier Part Number exists for given Item, it gets stored here","Se Número da Peça do Fornecedor existir para um determinado item, ele fica armazenado aqui"
If Yearly Budget Exceeded,Se orçamento anual for excedido
"If a User does not have access at Level 0, then higher levels are meaningless","Se um usuário não tem acesso nível 0, então os níveis mais altos são irrelevantes"
"If checked, BOM for sub-assembly items will be considered for getting raw materials. Otherwise, all sub-assembly items will be treated as a raw material.","Se marcado, os itens da LDM para a Sub-Montagem serão considerados para obter matérias-primas. Caso contrário, todos os itens da sub-montagem vão ser tratados como matéria-prima."
"If checked, all other workflows become inactive.","Se marcada, todos os outros fluxos de trabalho tornam-se inativos."
"If checked, the Home page will be the default Item Group for the website.","Se marcado, a página inicial do site será o Grupo de Itens padrão."
"If checked, the tax amount will be considered as already included in the Print Rate / Print Amount","Se marcado, o valor do imposto será considerado como já incluído na Impressão de Taxa / Impressão do Valor"
"If disable, 'Rounded Total' field will not be visible in any transaction","Se desativar, &#39;Arredondado Total&#39; campo não será visível em qualquer transação"
"If image is selected, color will be ignored (attach first)","Se a imagem for selecionada, a cor será ignorada (anexar primeiro)"
If more than one package of the same type (for print),Se mais do que uma embalagem do mesmo tipo (para impressão)
If non standard port (e.g. 587),"Se não for a porta padrão (por exemplo, 587)"
If not applicable please enter: NA,Se não for aplicável digite: NA
"If not checked, the list will have to be added to each Department where it has to be applied.","Se não for controlada, a lista deverá ser adicionado a cada departamento onde tem de ser aplicado."
"If not, create a","Se não, crie um(a)"
"If set, data entry is only allowed for specified users. Else, entry is allowed for all users with requisite permissions.","Se definido, a entrada de dados só é permitida para usuários especificados. Outra, a entrada é permitida para todos os usuários com permissões necessárias."
"If specified, send the newsletter using this email address","Se especificado, enviar a newsletter usando esse endereço de e-mail"
"If the 'territory' Link Field exists, it will give you an option to select it","Se o campo com Link &#39;território&#39; existe, ele vai te dar uma opção para selecioná-lo"
"If the account is frozen, entries are allowed for the ""Account Manager"" only.","Se a conta estiver congelada, os lançamentos são permitidos apenas para o &quot;Gerente da Conta&quot;."
"If this Account represents a Customer, Supplier or Employee, set it here.","Se essa conta representa um cliente, fornecedor ou funcionário, estabeleça aqui."
If you follow Quality Inspection<br>Enables item QA Required and QA No in Purchase Receipt,Se você seguir Inspeção de Qualidade <br> Permite Nenhum item obrigatório e QA QA no Recibo de compra
If you have Sales Team and Sale Partners (Channel Partners)  they can be tagged and maintain their contribution in the sales activity,Se você tiver Equipe de Vendas e Parceiros de Venda (Parceiros de Canal) eles podem ser marcadas e manter suas contribuições na atividade de vendas
"If you have created a standard template in Purchase Taxes and Charges Master, select one and click on the button below.","Se você criou um modelo padrão no cadastro de Impostos de Compra e Encargos, selecione um e clique no botão abaixo."
"If you have created a standard template in Sales Taxes and Charges Master, select one and click on the button below.","Se você criou um modelo padrão no cadastro de Impostos de Vendas e Encargos, selecione um e clique no botão abaixo."
"If you have long print formats, this feature can be used to split the page to be printed on multiple pages with all headers and footers on each page","Se você formatos longos de impressão, esse recurso pode ser usado para dividir a página a ser impressa em várias páginas com todos os cabeçalhos e rodapés em cada página"
If you involve in manufacturing activity<br>Enables item <b>Is Manufactured</b>,Se você envolver na atividade industrial <br> Permite que o item <b>é fabricado</b>
Ignore,Ignorar
Image,Imagem
Image View,Ver imagem
Implementation Partner,Parceiro de implementação
Import,Importar
Import Date Format ,Formato de importação de data
Import Log,Importar Log
Import Log1,Importar Log1
Import data from spreadsheet (csv) files,Importar dados de planilhas (csv)
Important dates and commitments in your project life cycle,Datas importantes e compromissos no ciclo de vida do seu projeto
Imports,Importações
In Dialog,Em diálogo
In Filter,Em Filtro
In List View,Na exibição de lista
In Process,Em Processo
In Report Filter,No Filtro do Relatório
In Store,Na loja
In Words,Por extenso
In Words (Export),Por extenso (Exportação)
In Words (Export) will be visible once you save the Delivery Note.,Por extenso (Exportação) será visível quando você salvar a Guia de Remessa.
In Words (Import),Por extenso (Import)
In Words will be visible once you save the Delivery Note.,Por extenso será visível quando você salvar a Guia de Remessa.
In Words will be visible once you save the Purchase Invoice.,Por extenso será visível quando você salvar a Nota Fiscal de Compra.
In Words will be visible once you save the Purchase Order.,Por extenso será visível quando você salvar a Ordem de Compra.
In Words will be visible once you save the Purchase Receipt.,Por extenso será visível quando você salvar o recibo de compra.
In Words will be visible once you save the Quotation.,Por extenso será visível quando você salvar a cotação.
In Words will be visible once you save the Sales Invoice.,Por extenso será visível quando você salvar a Nota Fiscal de Venda.
In Words will be visible once you save the Sales Order.,Por extenso será visível quando você salvar a Ordem de Venda.
In Words(Import),Por extenso (Importar)
In response to,Em resposta ao(s)
"In the Permission Manager, click on the button in the 'Condition' column for the Role you want to restrict.","No Gerenciador de Permissão, clique no botão na coluna &#39;Condição&#39; para a função que deseja restringir."
Inactive,Inativo
Incentives,Incentivos
Incharge Name,Nome do Responsável
Income,Renda
Income Account,Conta de Renda
Income Year to Date,Ano de rendimento até a Data
Incoming,Entrada
Incoming Mail Setting,Configuração de entrada de emails
Incoming Rate,Taxa de entrada
Incoming Time,Tempo de entrada
Incoming quality inspection.,Inspeção de qualidade de entrada.
Indent,Recuar
Index,Índice
Indicates that the package is a part of this delivery,Indica que o pacote é uma parte desta entrega
Individual,Individual
Individuals,Indivíduos
Industry,Indústria
Industry Type,Tipo de indústria
Info,Informações
Insert After,Inserir Após
Insert Code,Inserir Código
Insert Style,Inserir Estilo
Inspected By,Inspecionado por
Inspection Criteria,Critérios de Inspeção
Inspection Required,Inspeção Obrigatória
Inspection Type,Tipo de Inspeção
Installation Date,Data de Instalação
Installation Note,Nota de Instalação
Installation Note Item,Item da Nota de Instalação
Installation Status,Estado da Instalação
Installation Time,O tempo de Instalação
Installation record for a Serial No.,Registro de instalação de um nº de série
Installed Qty,Quantidade Instalada
Institute / Conducted By,Instituto / Conduzido por
Instructions,Instruções
Int,Int
Integrations,Integrações
Interested,Interessado
Internal,Interno
Intro HTML,Intro HTML
Introduce your company to the website visitor.,Apresente sua empresa para o visitante do site.
Introduction,Introdução
Introductory information for the Contact Us Page,Informação introdutória para a página Fale Conosco
Invalid Email Address,Endereço de email inválido
Inventory,Inventário
Inverse,Inverso
Invoice Date,Data da nota fiscal
Invoice Details,Detalhes da nota fiscal
Invoice No,Nota Fiscal nº
Invoice Period From Date,Período Inicial de Fatura
Invoice Period To Date,Período Final de Fatura
Is Active,É Ativo
Is Advance,É antecipado
Is Asset Item,É item de ativo
Is Cancelled,É cancelado
Is Carry Forward,É encaminhado
Is Child Table,É tabela filho
Is Default,É padrão
Is Encash,É cobrança
Is LWP,É LWP
Is Mandatory Field,É campo obrigatório
Is Opening,É abertura
Is PL Account,É Conta PL
Is POS,É PDV
Is Primary Address,É o endereço principal
Is Primary Contact,É o contato principal
Is Purchase Item,É item de compra
Is Sales Item,É item de venda
Is Service Item,É item de serviço
Is Shipping Address,É endereço de envio
Is Single,É único
Is Standard,É Padrão
Is Stock Item,É item de estoque
Is Sub Contracted Item,É item subcontratado
Is Subcontracted,É subcontratada
Is Submittable,É enviável
Is it a Custom DocType created by you?,É um DocType personalizado criado por você?
Is this Tax included in Basic Rate?,Este imposto está incluído no Valor Base?
Issue,Questão
Issue Date,Data da Questão
Issue Details,Detalhes da Questão
It was raised because the (actual + ordered + indented - reserved) quantity reaches re-order level when the following record was created,Foi levantada porque a (real + + ordenou recuado - reservado) a quantidade chega a novo pedido de nível quando o registro a seguir foi criado
Item,Item
Item Advanced,Item antecipado
Item Barcode,Código de barras do Item
Item Batch Nos,Nº do Lote do Item
Item Classification,Classificação do Item
Item Code,Código do Item
Item Customer Detail,Detalhe do Cliente do Item
Item Description,Descrição do Item
Item Desription,Descrição do Item
Item Details,Detalhes do Item
Item Group,Grupo de Itens
Item Group Name,Nome do Grupo de Itens
Item Groups in Details,Detalhes dos Grupos de Itens
Item Image (if not slideshow),Imagem do Item (se não for slideshow)
Item Name,Nome do Item
Item Price,Preço do Item
Item Prices,Preços de itens
Item Quality Inspection Parameter,Parâmetro de Inspeção de Qualidade do Item
