 (Half Day),(Полудневни)
Datetime,Датетиме
Days for which Holidays are blocked for this department.,Дани за које Празници су блокирани овом одељењу.
Dealer,Трговац
Dear,Драг
Debit,Задужење
Debit Amt,Дебитна Амт
Debit Note,Задужењу
Debit To,Дебитна Да
Debit or Credit,Дебитна или кредитна
Deduct,Одбити
Deduction,Одузимање
Deduction Type,Одбитак Тип
Deduction1,Дедуцтион1
Deductions,Одбици
Default,Уобичајено
Default Account,Уобичајено Рачун
Default BOM,Уобичајено БОМ
Default Bank / Cash account will be automatically updated in POS Invoice when this mode is selected.,"Уобичајено банка / Готовина налог ће аутоматски бити ажуриран у ПОС фактура, када је овај режим изабран."
Default Bank Account,Уобичајено банковног рачуна
Default Cash Account,Уобичајено готовински рачун
Default Commission Rate,Уобичајено Комисија Оцени
Default Company,Уобичајено Компанија
Default Cost Center,Уобичајено Трошкови центар
Default Cost Center for tracking expense for this item.,Уобичајено Трошкови Центар за праћење трошкова за ову ставку.
Default Currency,Уобичајено валута
Default Customer Group,Уобичајено групу потрошача
Default Expense Account,Уобичајено Трошкови налога
Default Home Page,Уобичајено Хоме Паге
Default Home Pages,Уобичајено странице
Default Income Account,Уобичајено прихода Рачун
Default Item Group,Уобичајено тачка Група
Default Price List,Уобичајено Ценовник
Default Print Format,Уобичајено Принт Формат
Default Purchase Account in which cost of the item will be debited.,Уобичајено Куповина Рачун на који трошкови ставке ће бити задужен.
Default Sales Partner,Продаја дефаулт Партнер
Default Settings,Подразумевана подешавања
Default Source Warehouse,Уобичајено Извор Магацин
Default Stock UOM,Уобичајено берза УОМ
Default Supplier,Уобичајено Снабдевач
Default Supplier Type,Уобичајено Снабдевач Тип
Default Target Warehouse,Уобичајено Циљна Магацин
Default Territory,Уобичајено Територија
Default Unit of Measure,Уобичајено Јединица мере
Default Valuation Method,Уобичајено Процена Метод
Default Value,Подразумевана вредност
Default Warehouse,Уобичајено Магацин
Default Warehouse is mandatory for Stock Item.,Уобичајено Магацин је обавезна за лагеру предмета.
Default settings for Shopping Cart,Подразумевана подешавања за корзину
"Default: ""Contact Us""",Уобичајено: &quot;Контакт&quot;
DefaultValue,ДефаултВалуе
Defaults,Примарни
"Define Budget for this Cost Center. To set budget action, see <a href=""#!List/Company"">Company Master</a>","Дефинисање буџета за ову трошкова Центра. Да бисте поставили радњу буџета, види <a href=""#!List/Company"">Мастер Цомпани</a>"
Defines actions on states and the next step and allowed roles.,Дефинише радње државе и следећи корак и дозволио улоге.
Defines workflow states and rules for a document.,Дефинише тока државе и правила за документа.
Delete,Избрисати
Delete Row,Делете Ров
Delivered,Испоручено
Delivered Items To Be Billed,Испоручени артикала буду наплаћени
Delivered Qty,Испоручено Кол
Delivery Address,Испорука Адреса
Delivery Date,Датум испоруке
Delivery Details,Достава Детаљи
Delivery Document No,Достава докумената Нема
Delivery Document Type,Испорука Доцумент Типе
Delivery Note,Обавештење о пријему пошиљке
Delivery Note Item,Испорука Напомена Ставка
Delivery Note Items,Достава Напомена Ставке
Delivery Note Message,Испорука Напомена порука
Delivery Note No,Испорука Напомена Не
Packed Item,Испорука Напомена Паковање јединице
Delivery Note Required,Испорука Напомена Обавезно
Delivery Note Trends,Достава Напомена трендови
Delivery Status,Статус испоруке
Delivery Time,Време испоруке
Delivery To,Достава Да
Department,Одељење
Depends On,Зависи
Depends on LWP,Зависи ЛВП
Descending,Спуштање
Description,Опис
Description HTML,Опис ХТМЛ
"Description for listing page, in plain text, only a couple of lines. (max 140 characters)","Опис за листинг страну, у чисти текст, само пар редова. (Максимално 140 знакова)"
Description for page header.,Опис за заглављу странице.
Description of a Job Opening,Опис посла Отварање
Designation,Ознака
Desktop,Десктоп
Detailed Breakup of the totals,Детаљан Распад укупне вредности
Details,Детаљи
Deutsch,Деутсцх
Did not add.,Није додате.
Did not cancel,Није отказали
Did not save,Није штедело
Difference,Разлика
"Different ""States"" this document can exist in. Like ""Open"", ""Pending Approval"" etc.","Различите &quot;Државе&quot;, овај документ може да постоји унутра Као &quot;Отвори&quot;, &quot;Чека Одобрење&quot; итд"
Disable Customer Signup link in Login page,Онемогући Регистрација корисника линк на страницу за пријављивање
Disable Rounded Total,Онемогући Роундед Укупно
Disable Signup,Онемогући Регистрација
Disabled,Онеспособљен
Discount  %,Попуст%
Discount %,Попуст%
Discount (%),Попуст (%)
"Discount Fields will be available in Purchase Order, Purchase Receipt, Purchase Invoice","Попуст Поља ће бити доступан у нарудзбенице, Куповина записа, фактури"
Discount(%),Попуст (%)
Display,Приказ
Display Settings,Дисплаи Сеттингс
Display all the individual items delivered with the main items,Приказ све појединачне ставке испоручене са главним ставкама
Distinct unit of an Item,Изражена јединица стране јединице
Distribute transport overhead across items.,Поделити режијске трошкове транспорта преко ставки.
Distribution,Дистрибуција
Distribution Id,Дистрибуција Ид
Distribution Name,Дистрибуција Име
Distributor,Дистрибутер
Divorced,Разведен
Do not show any symbol like $ etc next to currencies.,Не показују као симбол $ итд поред валутама.
Doc Name,Док Име
Doc Status,Док статус
Doc Type,Док Тип
DocField,ДоцФиелд
DocPerm,ДоцПерм
DocType,ДОЦТИПЕ
DocType Details,ДОЦТИПЕ Детаљи
DocType is a Table / Form in the application.,ДОЦТИПЕ је Табела / Форма у апликацији.
DocType on which this Workflow is applicable.,ДОЦТИПЕ на којима ова Воркфлов је применљиво.
DocType or Field,ДОЦТИПЕ или поље
Document,Документ
Document Description,Опис документа
Document Numbering Series,Документ нумерисање серија
Document Status transition from ,Документ статус прелазак са
Document Type,Доцумент Типе
Document is only editable by users of role,Документ је само мењати од стране корисника о улози
Documentation,Документација
Documentation Generator Console,Документација генератор конзоле
Documentation Tool,Документација Алат
Documents,Документи
Domain,Домен
Download Backup,Преузмите Бацкуп
Download Materials Required,Преузимање материјала Потребна
Download Template,Преузмите шаблон
Download a report containing all raw materials with their latest inventory status,Преузмите извештај садржи све сировине са њиховим најновијим инвентара статусу
"Download the Template, fill appropriate data and attach the modified file.All dates and employee combination in the selected period will come in the template, with existing attendance records","Преузмите шаблон, попуните одговарајуће податке и приложите модификоване датуме филе.Алл и запосленог комбинација на овај период ће доћи у шаблону, са постојећим евиденцију радног"
Draft,Нацрт
Drafts,Нацрти
Drag to sort columns,Превуците за сортирање колоне
Dropbox,Дропбок
Dropbox Access Allowed,Дропбок дозвољен приступ
Dropbox Access Key,Дропбок Приступни тастер
Dropbox Access Secret,Дропбок Приступ тајна
Due Date,Дуе Дате
EMP/,ЕМП /
ESIC CARD No,ЕСИЦ КАРТИЦА Нема
ESIC No.,Но ЕСИЦ
Earning,Стицање
Earning & Deduction,Зарада и дедукције
Earning Type,Зарада Вид
Earning1,Еарнинг1
Edit,Едит
Editable,Едитабле
Educational Qualification,Образовни Квалификације
Educational Qualification Details,Образовни Квалификације Детаљи
Eg. smsgateway.com/api/send_sms.cgi,Нпр. смсгатеваи.цом / апи / сенд_смс.цги
Email,Е-маил
Email (By company),Е-маил (компаније)
Email Digest,Е-маил Дигест
Email Digest Settings,Е-маил подешавања Дигест
Email Host,Е-маил Хост
Email Id,Емаил ИД
"Email Id must be unique, already exists for: ","Е-маил Ид мора бити јединствена, већ постоји за:"
"Email Id where a job applicant will email e.g. ""jobs@example.com""",Емаил ИД гдје посао подносилац ће пошаљи нпр &quot;јобс@екампле.цом&quot;
Email Login,Емаил Пријава
Email Password,Е-маил Лозинка
Email Sent,Емаил Сент
Email Sent?,Емаил Сент?
Email Settings,Емаил подешавања
Email Settings for Outgoing and Incoming Emails.,Емаил подешавања за одлазне и долазне е-маил порука.
Email Signature,Е-маил Потпис
Email Use SSL,Емаил Користи ССЛ
"Email addresses, separted by commas","Емаил адресе, сепартед зарезима"
Email ids separated by commas.,Емаил ИДС раздвојене зарезима.
"Email settings for jobs email id ""jobs@example.com""",Емаил подешавања за послове Емаил ИД &quot;јобс@екампле.цом&quot;
"Email settings to extract Leads from sales email id e.g. ""sales@example.com""",Емаил подешавања за издвајање води од продаје Емаил ИД нпр &quot;салес@екампле.цом&quot;
Email...,Е-маил ...
Embed image slideshows in website pages.,Постави слајдова слике у веб страницама.
Emergency Contact Details,Хитна Контакт
Emergency Phone Number,Број телефона за хитне случајеве
Employee,Запосленик
Employee Birthday,Запослени Рођендан
Employee Designation.,Ознака запослених.
Employee Details,Запослених Детаљи
Employee Education,Запослени Образовање
Employee External Work History,Запослени Спољни Рад Историја
Employee Information,Запослени Информације
Employee Internal Work History,Запослени Интерна Рад Историја
Employee Internal Work Historys,Запослених интерном раду Хисторис
Employee Leave Approver,Запослени одсуство одобраватељ
Employee Leave Balance,Запослени одсуство Биланс
Employee Name,Запослени Име
Employee Number,Запослени Број
Employee Records to be created by,Евиденција запослених које ће креирати
Employee Setup,Запослени Сетуп
Employee Type,Запослени Тип
Employee grades,Запослених разреда
Employee record is created using selected field. ,Запослени Запис се креира коришћењем изабрано поље.
Employee records.,Запослених евиденција.
Employee: ,Запослени:
Employees Email Id,Запослени Емаил ИД
Employment Details,Детаљи за запошљавање
Employment Type,Тип запослења
Enable Auto Inventory Accounting,Омогући рачуноводство Ауто Инвентар
Enable Shopping Cart,Омогући Корпа
Enabled,Омогућено
Enables <b>More Info.</b> in all documents,Омогућава <b>Више Информација</b> у свим <b>документима.</b>
Encashment Date,Датум Енцасхмент
End Date,Датум завршетка
End date of current invoice's period,Крајњи датум периода актуелне фактуре за
End of Life,Крај живота
Ends on,Завршава се
Enter Email Id to receive Error Report sent by users.E.g.: support@iwebnotes.com,Унесите Ид емаил за примање извештаја о грешци послао усерс.Ег: суппорт@ивебнотес.цом
Enter Form Type,Унесите Тип Форм
Enter Row,Унесите ред
Enter Verification Code,Унесите верификациони код
Enter campaign name if the source of lead is campaign.,"Унесите назив кампање, ако извор олова кампања."
"Enter default value fields (keys) and values. If you add multiple values for a field, the first one will be picked. These defaults are also used to set ""match"" permission rules. To see list of fields, go to <a href=""#Form/Customize Form/Customize Form"">Customize Form</a>.","Унесите поља подразумеване вредности (тастери) и вредности. Ако додате више вредности за поље, прва ће бити одабран. Ове подразумеване се такође користи за подешавање &quot;утакмица&quot; правила дозвола. Да бисте видели листу поља, иди на <a href=""#Form/Customize Form/Customize Form"">Цустомизе образац</a> ."
Enter department to which this Contact belongs,Унесите одељење које се овај контакт припада
Enter designation of this Contact,Унесите назив овог контакта
"Enter email id separated by commas, invoice will be mailed automatically on particular date","Унесите ид е раздвојених зарезима, фактура ће аутоматски бити послат на одређени датум"
Enter items and planned qty for which you want to raise production orders or download raw materials for analysis.,Унесите ставке и планирани Кол за које желите да подигне наређења производне или преузети сировине за анализу.
Enter name of campaign if source of enquiry is campaign,"Унесите назив кампање, ако извор истраге је кампања"
"Enter static url parameters here (Eg. sender=ERPNext, username=ERPNext, password=1234 etc.)","Унесите статичке параметре овде УРЛ адресу (нпр. пошиљалац = ЕРПНект, усернаме = ЕРПНект, лозинком = 1234 итд)"
Enter the company name under which Account Head will be created for this Supplier,Унесите назив предузећа под којима ће налог бити шеф креирали за ову добављача
Enter the date by which payments from customer is expected against this invoice.,Унесите датум до којег се исплате из купац очекује од ове фактуре.
Enter url parameter for message,Унесите УРЛ параметар за поруке
Enter url parameter for receiver nos,Унесите УРЛ параметар за пријемник бр
Entries,Уноси
Entries are not allowed against this Fiscal Year if the year is closed.,Уноси нису дозвољени против фискалне године ако је затворен.
Error,Грешка
Error for,Грешка за
Error: Document has been modified after you have opened it,Грешка: Документ је измењен након што сте је отворили
Estimated Material Cost,Процењени трошкови материјала
Event,Догађај
Event End must be after Start,Догађај Крај мора да буде у СТАРТ
Event Individuals,Догађај Појединци
Event Role,Догађај Улога
Event Roles,Догађај Улоге
Event Type,Тип догађаја
Event User,Догађај Корисник
Events In Today's Calendar,Догађаји у календару данашњем
Every Day,Сваки дан
Every Month,Сваки месец
Every Week,Свака недеља
Every Year,Сваке године
Everyone can read,Свако може да чита
Example:,Пример:
Exchange Rate,Курс
Excise Page Number,Акцизе Број странице
Excise Voucher,Акцизе ваучера
Exemption Limit,Изузеће Лимит
Exhibition,Изложба
Existing Customer,Постојећи Кориснички
Exit,Излаз
Exit Interview Details,Екит Детаљи Интервју
Expected,Очекиван
Expected Delivery Date,Очекивани Датум испоруке
Expected End Date,Очекивани датум завршетка
Expected Start Date,Очекивани датум почетка
Expense Account,Трошкови налога
Expense Account is mandatory,Расходи Рачун је обавезан
Expense Claim,Расходи потраживање
Expense Claim Approved,Расходи потраживање одобрено
Expense Claim Approved Message,Расходи потраживање Одобрено поруку
Expense Claim Detail,Расходи потраживање Детаљ
Expense Claim Details,Расходи Цлаим Детаљи
Expense Claim Rejected,Расходи потраживање Одбијен
Expense Claim Rejected Message,Расходи потраживање Одбијен поруку
Expense Claim Type,Расходи потраживање Тип
Expense Date,Расходи Датум
Expense Details,Расходи Детаљи
Expense Head,Расходи шеф
Expense account is mandatory for item: ,Расходи рачун је обавезан за ставку:
Expense/Adjustment Account,Расходи / Подешавање налога
Expenses Booked,Расходи Боокед
Expenses Included In Valuation,Трошкови укључени у процене
Expenses booked for the digest period,Трошкови резервисано за период дигест
Expiry Date,Датум истека
Export,Извоз
Exports,Извоз
External,Спољни
Extract Emails,Екстракт Емаилс
FCFS Rate,Стопа ФЦФС
FIFO,ФИФО
Facebook Share,Фацебоок Схаре
Failed: ,Није успело:
Family Background,Породица Позадина
FavIcon,Фавицон
Fax,Фак
Features Setup,Функције за подешавање
Feed,Хранити
Feed Type,Феед Вид
Feedback,Повратна веза
Female,Женски
Fetch lead which will be converted into customer.,Донеси вођство које ће бити конвертована у купца.
Field Description,Поље Опис
Field Name,Име поља
Field Type,Тип поља
"Field available in Delivery Note, Quotation, Sales Invoice, Sales Order","Поље доступан у напомени испоруке, понуде, продаје фактуре, продаје Наруџбеница"
"Field that represents the Workflow State of the transaction (if field is not present, a new hidden Custom Field will be created)","Област која представља државу тока трансакције (ако поље није присутно, нова скривена Прилагођена поља ће бити креиран)"
Fieldname,Имепоља
Fields,Поља
"Fields separated by comma (,) will be included in the<br /><b>Search By</b> list of Search dialog box","Поља раздвојене зарезима (,) ће бити укључени у <br /> <b>Претрага по</b> списку дијалогу за претрагу"
File,Фајл
File Data,Филе података
File Name,Филе Наме
File Size,Величина
File URL,Филе УРЛ
File size exceeded the maximum allowed size,Величина фајла премашила максималну дозвољену величину
Files Folder ID,Фајлови Фолдер ИД
Filing in Additional Information about the Opportunity will help you analyze your data better.,Подношење додатне информације о могућностима помоћи ће вам да анализирате податке боље.
Filing in Additional Information about the Purchase Receipt will help you analyze your data better.,Подношење додатне информације о куповини пријем ће вам помоћи да анализирате податке боље.
Filling in Additional Information about the Delivery Note will help you analyze your data better.,Попуњавање Додатне информације о испоруци напомени ће вам помоћи да анализирате боље податке.
Filling in additional information about the Quotation will help you analyze your data better.,Попуњавање додатне информације о котацију ће вам помоћи да анализирате боље податке.
Filling in additional information about the Sales Order will help you analyze your data better.,Попуњавање додатне информације о продајних налога ће вам помоћи да анализирате боље податке.
Filter,Филтер
Filter By Amount,Филтер по количини
Filter By Date,Филтер Би Дате
Filter based on customer,Филтер на бази купца
Filter based on item,Филтер на бази ставке
Final Confirmation Date,Завршни Потврда Датум
Financial Analytics,Финансијски Аналитика
Financial Statements,Финансијски извештаји
First Name,Име
First Responded On,Прво одговорила
Fiscal Year,Фискална година
Fixed Asset Account,Основних средстава рачуна
Float,Пловак
Float Precision,Флоат Прецисион
Follow via Email,Пратите преко е-поште
Following Journal Vouchers have been created automatically,Након Јоурнал Ваучери су аутоматски креирана
"Following table will show values if items are sub - contracted. These values will be fetched from the master of ""Bill of Materials"" of sub - contracted items.",Након сто ће показати вредности ако су ставке под - уговорена. Ове вредности ће бити преузета од мајстора &quot;Бил материјала&quot; за под - уговорених ставки.
Font (Heading),Фонт (наслов)
Font (Text),Фонт (текст)
Font Size (Text),Величина слова (текст)
Fonts,Фонтови
Footer,Подножје
Footer Items,Фоотер Артикли
For All Users,За све кориснике
For Company,За компаније
For Employee,За запосленог
For Employee Name,За запосленог Име
For Item ,За тачке
"For Links, enter the DocType as rangeFor Select, enter list of Options separated by comma","За линкове, унесите ДОЦТИПЕ као рангеФор Селецт, унесите листу опција раздвојених зарезом"
For Production,За производњу
For Reference Only.,Само за референцу.
For Sales Invoice,"За продају, фактура"
For Server Side Print Formats,За Сервер форматима страна за штампање
For Territory,За територију
For UOM,За УЦГ
For Warehouse,За Варехоусе
"For comparative filters, start with","За компаративних филтера, почети са"
"For e.g. 2012, 2012-13","За нпр 2012, 2012-13"
For example if you cancel and amend 'INV004' it will become a new document 'INV004-1'. This helps you to keep track of each amendment.,"На пример, ако сте отказали и изменити &#39;ИНВ004 &quot;ће постати нови документ&quot; ИНВ004-1&#39;. То ће вам помоћи да пратите сваког амандмана."
For example: You want to restrict users to transactions marked with a certain property called 'Territory',На пример: Ви желите да ограничите кориснике на трансакције означене са одређеном имовином под називом &quot;Територија&quot;
For opening balance entry account can not be a PL account,За почетни биланс за унос налога не може бити ПЛ рачун
For ranges,За опсеге
For reference,За референце
For reference only.,Само за референцу.
For row,За ред
"For the convenience of customers, these codes can be used in print formats like Invoices and Delivery Notes","За практичност потрошача, ови кодови могу да се користе у штампаним форматима као што су фактуре и отпремнице"
Form,Образац
Format: hh:mm example for one hour expiry set as 01:00. Max expiry will be 72 hours. Default is 24 hours,Формат: хх: мм пример за један сат истека поставила као 01:00. Максимални рок ће бити 72 сати. Уобичајено је 24 сата
Forum,Форум
Fraction,Фракција
Fraction Units,Фракција јединице
Freeze Stock Entries,Фреезе уносе берза
Friday,Петак
From,Из
From Bill of Materials,Од Билл оф Материалс
From Company,Из компаније
From Currency,Од валутног
From Currency and To Currency cannot be same,Од Валуте и до валута не може да буде иста
From Customer,Од купца
From Date,Од датума
From Date must be before To Date,Од датума мора да буде пре датума
From Delivery Note,Из доставница
From Employee,Од запосленог
From Lead,Од Леад
From PR Date,Из ПР Дате
From Package No.,Од Пакет број
From Purchase Order,Од наруџбеницу
From Purchase Receipt,Од рачуном
From Sales Order,Од продајних налога
From Time,Од времена
From Value,Од вредности
From Value should be less than To Value,Из вредност треба да буде мања од вредности К
Frozen,Фрозен
Fulfilled,Испуњена
Full Name,Пуно име
Fully Completed,Потпуно Завршено
GL Entry,ГЛ Ентри
GL Entry: Debit or Credit amount is mandatory for ,ГЛ Унос: дебитна или кредитна износ је обавезно за
GRN,ГРН
Gantt Chart,Гантт Цхарт
Gantt chart of all tasks.,Гантов графикон свих задатака.
Gender,Пол
General,Општи
General Ledger,Главна књига
Generate Description HTML,Генериши ХТМЛ Опис
Generate Material Requests (MRP) and Production Orders.,Генеришите Захтеви материјал (МРП) и производних налога.
Generate Salary Slips,Генериши стаје ПЛАТА
Generate Schedule,Генериши Распоред
"Generate packing slips for packages to be delivered. Used to notify package number, package contents and its weight.","Генеришите паковање рачуне за пакете који се испоручују. Користи се обавести број пакета, пакет садржаја и његову тежину."
Generates HTML to include selected image in the description,Ствара ХТМЛ укључити изабрану слику у опису
Georgia,Грузија
Get,Добити
Get Advances Paid,Гет аванси
Get Advances Received,Гет аванси
Get Current Stock,Гет тренутним залихама
Get From ,Од Гет
Get Items,Гет ставке
Get Items From Sales Orders,Набавите ставке из наруџбина купаца
Get Last Purchase Rate,Гет Ласт Рате Куповина
Get Non Reconciled Entries,Гет Нон помирили Ентриес
Get Outstanding Invoices,Гет неплаћене рачуне
Get Purchase Receipt,Гет фискални рачун
Get Sales Orders,Гет продајних налога
Get Specification Details,Гет Детаљи Спецификација
Get Stock and Rate,Гет Стоцк анд рате
Get Template,Гет шаблона
Get Terms and Conditions,Гет Услове
Get Weekly Off Dates,Гет Офф Недељно Датуми
"Get valuation rate and available stock at source/target warehouse on mentioned posting date-time. If serialized item, please press this button after entering serial nos.","Гет стопу процене и доступну кундак на извор / мета складишта на поменуто постављање датум-време. Ако серијализованом ставку, притисните ово дугме након уласка серијски бр."
Give additional details about the indent.,Дајте додатне детаље о увлачења.
Global Defaults,Глобални Дефаултс
Go back to home,Вратите се кући
Go to Setup > <a href='#user-properties'>User Properties</a> to set \			'territory' for diffent Users.,Иди на Сетуп&gt; <a href='#user-properties'>Усер Пропертиес</a> постављања \ &#39;територије&#39; за диффент корисника.
Goal,Циљ
Goals,Циљеви
Goods received from Suppliers.,Роба примљена од добављача.
Google Analytics ID,Гоогле Аналитицс ИД
Google Drive,Гоогле диск
Google Drive Access Allowed,Гоогле диск дозвољен приступ
Google Plus One,Гоогле Плус Један
Google Web Font (Heading),Гоогле Веб Фонт (наслов)
Google Web Font (Text),Гоогле Веб Фонт (текст)
Grade,Разред
Graduate,Пређите
Grand Total,Свеукупно
Grand Total (Company Currency),Гранд Укупно (Друштво валута)
Gratuity LIC ID,Напојница ЛИЦ ИД
Gross Margin %,Бруто маржа%
Gross Margin Value,Бруто маржа Вредност
Gross Pay,Бруто Паи
Gross Pay + Arrear Amount +Encashment Amount - Total Deduction,Бруто Паи + Заостатак Износ + Енцасхмент Износ - Укупно дедукције
Gross Profit,Укупан профит
Gross Profit (%),Бруто добит (%)
Gross Weight,Бруто тежина
Gross Weight UOM,Бруто тежина УОМ
Group,Група
Group or Ledger,Група или Леџер
Groups,Групе
HR,ХР
HR Settings,ХР Подешавања
HTML,ХТМЛ
HTML / Banner that will show on the top of product list.,ХТМЛ / банер који ће се појавити на врху листе производа.
Half Day,Пола дана
Half Yearly,Пола Годишњи
Half-yearly,Полугодишње
Has Batch No,Има Батцх Нема
Has Child Node,Има деце Ноде
Has Serial No,Има Серијски број
Header,Заглавље
Heading,Наслов
Heading Text As,Наслов текст као
Heads (or groups) against which Accounting Entries are made and balances are maintained.,Главе (или групе) против кога се рачуноводствени уноси направљени и биланси се одржавају.
Health Concerns,Здравље Забринутост
Health Details,Здравље Детаљи
Held On,Одржана
Help,Помоћ
Help HTML,Помоћ ХТМЛ
"Help: To link to another record in the system, use ""#Form/Note/[Note Name]"" as the Link URL. (don't use ""http://"")","Помоћ: да се повеже на други запис у систему, користите &quot;# Форма / напомена / [Напомена име]&quot; као УРЛ везе. (Немојте користити &quot;хттп://&quot;)"
Helvetica Neue,Хелветица Неуе
"Hence, maximum allowed Manufacturing Quantity","Дакле, максимална дозвољена количина Производња"
"Here you can maintain family details like name and occupation of parent, spouse and children","Овде можете одржавати детаље породице као име и окупације родитеља, брачног друга и деце"
"Here you can maintain height, weight, allergies, medical concerns etc","Овде можете одржавати висина, тежина, алергија, медицинску забринутост сл"
Hey there! You need to put at least one item in \				the item table.,Хеј! Треба да се стави бар једну ставку у \ тачка табели.
Hey! All these items have already been invoiced.,Хеј! Све ове ставке су већ фактурисано.
Hey! There should remain at least one System Manager,Хеј! Ту би требало да остане најмање један Систем Манагер
Hidden,Сакривен
Hide Actions,Сакриј Ацтионс
Hide Copy,Сакриј Цопи
Hide Currency Symbol,Сакриј симбол валуте
Hide Email,Сакриј Емаил
Hide Heading,Сакриј Хеадинг
Hide Print,Сакриј Принт
Hide Toolbar,Сакриј Тоолбар
High,Висок
Highlight,Истаћи
History,Историја
History In Company,Историја У друштву
Hold,Држати
Holiday,Празник
Holiday List,Холидаи Листа
Holiday List Name,Холидаи Листа Име
Holidays,Празници
Home,Кући
Home Page,Почетна страна
Home Page is Products,Почетна страница је Производи
Home Pages,Почетна страница
Host,Домаћин
"Host, Email and Password required if emails are to be pulled","Домаћин, Е-маил и лозинка потребни ако е-поште су се повукли"
Hour Rate,Стопа час
Hour Rate Consumable,Стопа час Потрошни
Hour Rate Electricity,Стопа час електричне енергије
Hour Rate Labour,Стопа час рада
Hour Rate Rent,Стопа час Издавање
Hours,Радно време
How frequently?,Колико често?
"How should this currency be formatted? If not set, will use system defaults","Како би ова валута се форматира? Ако нису подешене, неће користити подразумеване системске"
How to upload,Како да уплоад
Hrvatski,Хрватски
Human Resources,Људски ресурси
Hurray! The day(s) on which you are applying for leave \					coincide with holiday(s). You need not apply for leave.,Ура! Дан (а) на коју се пријављујете за дозволу \ поклапају са одмора (с). Ви не морају поднети захтев за дозволу.
I,Ја
ID (name) of the entity whose property is to be set,ИД (име) ентитета чија имовина се подесити
IDT,ИДТ
II,ИИ
III,ИИИ
IN,У
INV,ИНВ
INV/10-11/,ИНВ/10-11 /
ITEM,ПОЗИЦИЈА
IV,ИВ
Icon,Икона
Icon will appear on the button,Икона ће се појавити на дугмету
Id of the profile will be the email.,ИД профила ће бити емаил.
Identification of the package for the delivery (for print),Идентификација пакета за испоруку (за штампу)
If Income or Expense,Ако прихода или расхода
If Monthly Budget Exceeded,Ако Месечни буџет прекорачени
"If Sale BOM is defined, the actual BOM of the Pack is displayed as table.Available in Delivery Note and Sales Order","Ако Продаја БОМ је дефинисан, стварна БОМ чопора се приказује као табле.Аваилабле у напомени испоруке и продајних налога"
"If Supplier Part Number exists for given Item, it gets stored here","Уколико Испоручилац Број дела постоји за дату ставку, она се складишти овде"
If Yearly Budget Exceeded,Ако Годишњи буџет прекорачени
"If a User does not have access at Level 0, then higher levels are meaningless","Уколико Корисник нема приступ на нивоу 0, онда виши нивои су бесмислени"
"If checked, BOM for sub-assembly items will be considered for getting raw materials. Otherwise, all sub-assembly items will be treated as a raw material.","Ако је проверен, бом за под-монтаже ставки ће бити узети у обзир за добијање сировина. Иначе, сви суб-монтажни ставке ће бити третирани као сировина."
"If checked, Total no. of Working Days will include holidays, and this will reduce the value of Salary Per Day","Уколико је означено, Укупно нема. радних дана ће се укључити празника, а то ће смањити вредност зараде по дану"
"If checked, all other workflows become inactive.","Ако је проверен, сви остали токови постају неактивни."
"If checked, an email with an attached HTML format will be added to part of the EMail body as well as attachment. To only send as attachment, uncheck this.","Уколико је означено, е-маил са припојеним ХТМЛ формату ће бити додат део у тело е, као и везаност. Да бисте послали само као прилог, искључите ово."
"If checked, the Home page will be the default Item Group for the website.","Ако је проверен, Почетна страница ће бити стандардна тачка Група за сајт."
"If checked, the tax amount will be considered as already included in the Print Rate / Print Amount","Ако је проверен, порески износ ће се сматрати као што је већ укључена у Принт Рате / Штампа Износ"
"If disable, 'Rounded Total' field will not be visible in any transaction","Ако онемогућите, &quot;заобљени&quot; Тотал поље неће бити видљив у свакој трансакцији"
"If enabled, the system will post accounting entries for inventory automatically.","Ако је укључен, систем ће писати уносе рачуноводствене инвентар аутоматски."
"If image is selected, color will be ignored (attach first)","Ако је слика изабрана, боја ће бити игнорисани (приложити први)"
If more than one package of the same type (for print),Ако више од једног пакета истог типа (за штампу)
If non standard port (e.g. 587),Ако не стандардни порт (нпр. 587)
If not applicable please enter: NA,Ако није примењиво унесите: НА
"If not checked, the list will have to be added to each Department where it has to be applied.","Ако се не проверава, листа ће морати да се дода сваком одељењу где има да се примењује."
"If not, create a","Ако не, направите"
"If set, data entry is only allowed for specified users. Else, entry is allowed for all users with requisite permissions.","Ако је постављено, унос података је дозвољено само за одређене кориснике. Иначе, улаз је дозвољен за све кориснике са потребним дозволама."
"If specified, send the newsletter using this email address","Ако је наведено, пошаљите билтен користећи ову адресу"
"If the 'territory' Link Field exists, it will give you an option to select it","Ако Линк пољу &quot;територије&quot; постоји, она ће вам дати могућност да изаберете"
"If the account is frozen, entries are allowed for the ""Account Manager"" only.","Ако рачун је замрзнут, уноси дозвољено &quot;Аццоунт Манагер&quot; само."
"If this Account represents a Customer, Supplier or Employee, set it here.","Ако је ово налог представља купац, добављач или запослени, подесите га овде."
If you follow Quality Inspection<br>Enables item QA Required and QA No in Purchase Receipt,Ако пратите контроле квалитета <br> Омогућава ставку КА Захтеване и КА нема у купопродаји пријему
If you have Sales Team and Sale Partners (Channel Partners)  they can be tagged and maintain their contribution in the sales activity,Уколико имате продајни тим и продаја партнерима (Цханнел Партнерс) они могу бити означене и одржава свој допринос у активностима продаје
