Pension Funds,Pensionifondid
Stock Reconciliation Item,Varude ühitamise punkt
General Settings,üldised seaded
Due Date cannot be before Posting / Supplier Invoice Date,Tähtaeg ei tohi olla enne postitamist / tarnija arve kuupäeva
Enter the name of the Beneficiary before submittting.,Sisestage saaja nimi enne saatmist.
Record Patient Vitals,Salvestage patsiendi lihased
Show Configure Button,Näita seadistusnuppu
Industry Type,Tööstuse tüüp
Cannot select charge type as 'On Previous Row Amount' or 'On Previous Row Total' for first row,Laenutüüpi ei saa valida esimesel real „Eelmise rea summa” või „Eelmise rea kokku”
The shares already exist,Aktsiad on juba olemas
Available Qty at WIP Warehouse,Saadaval on kogus WIP laos
Resolve error and upload again.,Lahenda viga ja laadige uuesti.
Copy of Invitation/Announcement,Kutse / teatise koopia
Healthcare Service Unit,Tervishoiuteenuste üksus
Total(Qty),Kokku (tk)
Health Insurance No,Ravikindlustus nr
Max Grade,Max Hinne
Approver,Nõustaja
Sales Order Trends,Müügitellimuse suundumused
Repair Cost,Remondikulud
Please mention Round Off Account in Company,Palun mainige ümmargust kontot ettevõttes
Select Payroll Period,Valige palgaarvestusperiood
Price List Name,Hinnakirja nimi
You can only submit Leave Encashment for a valid encashment amount,Saate esitada lahkumisvõimaluse ainult kehtiva sissemakse summa kohta
"Higher the number, higher the priority","Suurem number, kõrgem prioriteet"
Required Skills,Nõutavad oskused
Disable Marketplace,Keela turg
Action if Annual Budget Exceeded on Actual,"Tegevus, kui aastane eelarve ületab tegelikku"
Course Abbreviation,Kursuse lühend
Attendance not submitted for {0} as {1} on leave.,"Osavõtul, mida {0} ei esitatud kui {1} puhkusel."
Promotional Scheme Id,Reklaamiskeemi ID
End date of task <b>{0}</b> cannot be greater than <b>{1}</b> expected end date <b>{2}</b>,Ülesande <b>{0}</b> lõppkuupäev ei tohi olla suurem kui <b>{1}</b> eeldatav lõppkuupäev <b>{2}</b>
License Details,Litsentsi üksikasjad
e.g Adjustments for:,nt kohandused:
Default Quotation Validity Days,Vaikimisi pakkumise kehtivuspäevad
"Bank Account, From Date and To Date are Mandatory","Pangakonto, alates kuupäevast ja kuupäevast on kohustuslikud"
Expense Type,Kulutüüp
Auditor,Audiitor
Payment Confirmation,Maksekinnitus
Available Stock for Packing Items,Pakkimisobjektide saadaval olev varu
Please remove this Invoice {0} from C-Form {1},Palun eemaldage see arve {0} C-vormist {1}
Query Route String,Päringu marsruudi string
Customer Feedback Template,Kliendi tagasiside mall
Quotes to Leads or Customers.,Tsitaadid juhtidele või klientidele.
Transporter,Vedaja
Salary Slip of employee {0} already created for this period,Selle perioodi jaoks on juba loodud töötaja {0} palgatõend
To {0} | {1} {2},Kuni {0} | {1} {2}
Block Date,Blokeerimise kuupäev
Contact No.,Kontaktisiku nr
Overproduction Percentage For Work Order,Tööprotsessi ületootmine
Enroll,Registreeru
Quotation Lost Reason,Tsitaat Lost Reason
Employee Billing Summary,Töötajate arvelduse kokkuvõte
Country wise default Address Templates,Riigi mõistlikud vaikepealsed aadressimallid
Parent Cost Center,Vanemakeskuse keskus
Apply Rule On Item Group,Rakenda reegli elemendi grupp
Example: Basic Mathematics,Näide: matemaatika
Total Amount Reimbursed,Tagastatud summa kokku
Validity period of this quotation has ended.,Selle tsitaadi kehtivusaeg on lõppenud.
Item-wise Sales History,Üksikasjalik müügiajalugu
Personal Email,Isiklik e-post
Cheque Date,Kontrolli kuupäev
Previous Financial Year is not closed,Eelmine eelarveaasta ei ole suletud
Next Contact Date,Järgmine kontakti kuupäev
Membership,Liikmelisus
Default Buying Price List,Vaikimisi ostuhind
Depreciation Method,Amortisatsioonimeetod
Travel Request,Reisitaotlus
{0} variants created.,{0} loodud variandid.
Avoid Confirmation,Vältige kinnitust
Under AMC,AMC all
"Warehouse required at Row No {0}, please set default warehouse for the item {1} for the company {2}","Rida nr {0} vajalik ladu, tehke {{}} jaoks {1} kirje {1} vaikevaru"
Authorization Control,Autoriseerimiskontroll
Daily Work Summary Replies,Vastused igapäevasele tööle
You have been invited to collaborate on the project: {0},Teid on kutsutud projektis koostööd tegema: {0}
Sales Details,Müügiandmed
Letter Heads for print templates.,Trükimallide tähed.
Tax on additional salary,Täiendava palga maks
Attach Logo,Lisa logo
For row {0}: Enter Planned Qty,Rida {0}: sisestage planeeritud kogus
Calculate Prorated Depreciation Schedule Based on Fiscal Year,Arvuta eelarveaastal põhinev prognoositud amortisatsioonikava
Logs for maintaining sms delivery status,Logid SMS-teenuse oleku säilitamiseks
Current Job Openings,Praegused töö avad
"Pricing Rule is first selected based on 'Apply On' field, which can be Item, Item Group or Brand.","Hinnakujunduse reegel valitakse kõigepealt välja „Rakenda On”, mis võib olla üksus, kirje rühm või bränd."
Add / Edit Taxes and Charges,Maksude ja maksude lisamine / muutmine
Supply Raw Materials for Purchase,Varustage tooraine ostmiseks
Proposal Writing,Ettepaneku kirjutamine
Purchase Receipt Item,Ostukviitung
Get Sales Orders,Hankige müügitellimusi
Selling,Müük
Prevent Purchase Orders,Vältige ostutellimusi
Print and Stationery,Prindi ja kirjatarbed
Shipping rule only applicable for Buying,Kohaletoimetamise reegel kehtib ainult ostu puhul
No products found.,Tooteid ei leitud.
Row {0}: Please set at Tax Exemption Reason in Sales Taxes and Charges,Rida {0}: määrake müügimaksudes maksuvabastuse põhjus
Assessment Group: ,Hindamisgrupp:
Parties,Pooled
Show exploded view,Kuva hajutatud vaade
No Delivery Note selected for Customer {},Kliendile {} pole valitud ühtegi tarneteatist
End on,Lõpeta
You can't redeem Loyalty Points having more value than the Grand Total.,Te ei saa lojaalsuspunkte lunastada rohkem kui Grand Total.
Designer,Disainer
Default Warehouse,Vaikimisi ladu
Default Cash Account,Vaikimisi sularahakonto
Please enter Reference date,Palun sisestage viitepäev
Item {0} must be a stock Item,Üksus {0} peab olema varude kirje
Print Format for Online,Trükivorming võrgus
Employee Leave Balance,Töötajate lahkumise tasakaal
Ignore User Time Overlap,Ignoreeri kasutajaaja kattumist
As per Stock UOM,Nagu iga aktsia kohta
Cost Center with existing transactions can not be converted to group,Kulukeskust olemasolevate tehingutega ei saa muuta grupiks
cannot be greater than 100,ei tohi olla suurem kui 100
Please Delivery Note first,Esmalt saatke märkus
Leave Type Name,Jäta tüüp nimi
Homepage Featured Product,Kodulehekülg Soovitatav toode
Examiner Name,Eksamineerija nimi
Hotel Room Occupancy,Hotelli tuba
Telecommunications,Telekommunikatsioon
Certification Application,Sertifitseerimisrakendus
Website Image should be a public file or website URL,Veebisaidi pilt peaks olema avalik fail või veebisaidi URL
Your Suppliers,Teie tarnijad
Weightage (%),Kaal (%)
Inter-State Supplies,Riikidevahelised tarned
Send Payment Request,Saada maksenõue
{0} is not added in the table,{0} tabelisse ei lisata
Create Student,Loo õpilane
Gantt chart of all tasks.,Gantti graafik kõigi ülesannete kohta.
Leave Approvers,Jäta heakskiitjad
Materials Required (Exploded),Nõutavad materjalid (plahvatatud)
Repay Over Number of Periods,Tagastamine üle perioodide arvu
Receivable,Nõuded
Price List must be applicable for Buying or Selling,Hinnakiri peab kehtima ostu või müügi puhul
Resend Payment Email,Saada uuesti e-posti aadress
Please set {0} for address {1},Määrake aadress {1} jaoks {0}
Default Source Warehouse,Vaikimisi lähteallikas
Bill,Bill
Duplicate roll number for student {0},Üliõpilase numbri dubleerimine õpilasele {0}
Batch {0} of Item {1} has expired.,Punkti {1} partii {0} on aegunud.
Approved Date,Kinnitatud kuupäev
Item Tax,Toote maks
Cannot transfer Employee with status Left,"Töötajat, kellel on staatus vasakul, ei saa üle kanda"
Total Cost,Kogumaksumus
Quote Status,Tsiteeri staatus
Qualification,Kvalifikatsioon
Complaints,Kaebused
Is Purchase Item,Kas ostuartikkel on
Purchase Receipt,Ostutšekk
Trial Period Start Date,Prooviperioodi alguskuupäev
Credit Balance,Kreeditsaldo
Payroll Period,Palgaarvestusperiood
Supplier database.,Tarnija andmebaas.
Tax Type,Maksutüüp
Move Item,Teisalda üksus
Description of a Job Opening,Töö avamise kirjeldus
Create Users,Loo kasutajad
Current Fiscal Year,Praegune eelarveaasta
Hub Warehouse,Rummu ladu
Tax Breakup,Maksude katkestamine
Material Transferred,Ülekantud materjal
You are not authorized to add or update entries before {0},Teil ei ole luba kirjete lisamiseks või uuendamiseks enne {0}
Date of Birth cannot be greater than today.,Sünnikuupäev ei saa olla suurem kui täna.
Number of serial nos and quantity must be the same,Seerianumbrite ja koguste arv peab olema sama
Exception Budget Approver Role,Erandi eelarve heakskiitja roll
In Process,Protsessis
Send Emails At,Saada e-kirju aadressil
Marketplace Error,Marketplace&#39;i viga
Working Days,Tööpäevad
Margin Money,Marginaalne raha
Chapter,Peatükk
Current Stock,Hetke varu
History In Company,Ajalugu ettevõttes
Manufacturer,Tootja
Moderate Sensitivity,Mõõdukas tundlikkus
Leave Allocation,Jäta eraldamine välja
Timesheet,Töögraafik
Abbreviation already used for another company,Teise ettevõtte jaoks juba kasutatud lühend
Please select Patient to get Lab Tests,Palun valige Patsient laboritestide saamiseks
Advance Paid,Ettemakstud
Load All Criteria,Laadi kõik kriteeriumid
Serial Numbers in row {0} does not match with Delivery Note,Seerianumbrid reas {0} ei vasta tarneteatele
Creditors,Võlausaldajad
Raised By,Kasvatatud
Reference No and Reference Date is mandatory for Bank transaction,Pangaülekande puhul on viitenumber ja viitepäev kohustuslik
There can be multiple tiered collection factor based on the total spent. But the conversion factor for redemption will always be same for all the tier.,Kulutatud kogumahu põhjal võib olla mitu mitmetasandilist kogumistegurit. Lunastamise ümberarvestustegur on aga alati kõikidele tasanditele sama.
Batch No,Partii nr
Executive Search,Executive Search
Stock Adjustment Account,Varude korrigeerimise konto
Gross Profit %,Brutokasum%
Request Type,Taotluse tüüp
Reminded,Meenutati
Billing Address,Arve Aadress
Mark as Present,Märgi olevaks
Landed Cost Voucher,Landed Cost Voucher
Total working hours should not be greater than max working hours {0},Tööaeg kokku ei tohiks ületada maksimaalset tööaega {0}
Customer Addresses And Contacts,Kliendi aadressid ja kontaktid
Task Progress,Ülesande edenemine
Opening Entry,Avamise kirje
Charges Incurred,Maksud on tekkinud
Material Transferred for Manufacturing,Tootmisele üle kantud materjal
Hide Variants,Peida variandid
Disable Capacity Planning and Time Tracking,Keela võimsuse planeerimine ja aja jälgimine
* Will be calculated in the transaction.,* Arvutatakse tehingus.
{0} not allowed to transact with {1}. Please change the Company.,{0} ei tohi {1} -ga tehinguid teha. Palun muutke ettevõte.
"As per the Buying Settings if Purchase Reciept Required == 'YES', then for creating Purchase Invoice, user need to create Purchase Receipt first for item {0}","Vastavalt ostu seadetele, kui nõutav ostu sooritamine on vajalik == &#39;JAH&#39;, peab ostude arve loomiseks esmalt {0} kirje jaoks looma ostutšekk"
Delivery Details,Saatmise üksikasjad
Discharge Scheduled,Eelarve täitmine
"Reference: {0}, Item Code: {1} and Customer: {2}","Viide: {0}, kirje kood: {1} ja klient: {2}"
Caution,Ettevaatust
View attachments,Vaadake manuseid
Allow Production on Holidays,Luba tootmine pühadel
Update Bank Transaction Dates,Uuenda pangatehingute kuupäevad
Reading 4,Lugemine 4
"Item {0} has no Serial No. Only serilialized items \
						can have delivery based on Serial No",Punktil {0} ei ole järjekorranumbrit
Program Course,Programmi kursus
Telephone Expenses,Telefonikulud
Widow,Lesk
Number of Interaction,Koostoime arv
"Multiple Price Rules exists with same criteria, please resolve conflict by assigning priority. Price Rules: {0}","Mitme hinna reeglid kehtivad samade kriteeriumidega, lahendage konflikt prioriteedi määramise teel. Hinnareeglid: {0}"
Cost Center and Budgeting,Kulukeskus ja eelarve koostamine
Ordered Items To Be Delivered,Saadetavad kaubad
Homepage Section Card,Kodulehe sektsioonikaart
Depreciation,Kulum
Interests,Huvid
Consumed Qty,Tarbitud kogus
Education Manager,Haridusjuht
Plan time logs outside Workstation Working Hours.,Planeerige aja logisid väljaspool tööjaama töötunde.
Loyalty Points: {0},Lojaalsuspunktid: {0}
Registration Message,Registreerimissõnum
Select an account to print in account currency,Valige konto valuuta konto printimiseks
Serial no item cannot be a fraction,Seerianumber ei saa olla murdosa
Warehouse can not be deleted as stock ledger entry exists for this warehouse.,"Ladu ei saa kustutada, sest selle lao jaoks on olemas varude pearaamatu kirje."
See past quotations,Vaadake eelmisi tsitaate
Prev,Eelmine
Unit of Measure,Mõõtühik
Test Template,Testi mall
Fertilizer Contents,Väetise sisu
Minute,Minutit
"Row #{0}: Asset {1} cannot be submitted, it is already {2}","Rida # {0}: vara {1} ei saa esitada, on juba {2}"
Actual Time (in Hours),Tegelik aeg (tundides)
Closing Account Head,Konto sulgemine
Shipping Rule,Kohaletoimetamise reegel
Net Weight,Neto kaal
Please enter valid Financial Year Start and End Dates,Sisestage kehtivad majandusaasta algus- ja lõppkuupäevad
Quantity of Items,Üksuste kogus
PIN,PIN-kood
Lab testing datetime cannot be before collection datetime,Laboratoorsed testid datetime ei saa olla enne andmete kogumist
Invoice already created for all billing hours,Arve on juba loodud kõigi arveldustundide jaoks
Contact Desc,Kontakt Desc
Pricing Rules,Hinnakujunduse reeglid
Image List,Pildiloend
Allow Rename Attribute Value,Luba atribuudi väärtuse ümbernimetamine
Price Not UOM Dependant,Hind ei ole UOM sõltuv
Time(in mins),Aeg (minutites)
Basic,Põhiline
Interest Income Account,Intressitulu konto
A condition for a Shipping Rule,Tingimus laevandusreeglile
Payroll Period Date,Palgaarvestuse periood
Employment Type,Tööhõive tüüp
Select POS Profile,Valige POS profiil
Get Latest Query,Hankige uusim päring
Employee Incentive,Töötajate stiimul
Add cards or custom sections on homepage,Lisage avalehele kaarte või kohandatud sektsioone
Hero Section Based On,Hero jaotis põhineb
Total Purchase Cost (via Purchase Invoice),Ostumaksumus kokku (ostuarvega)
Total Estimated Cost,Eeldatav kogukulu
"Sales, Purchase, Accounting Defaults","Müük, ost, raamatupidamise vaikimisi"
Requesting payment against {0} {1} for amount {2},Makse esitamine {0} {1} eest summas {2}
Please set the Item Code first,Esmalt määrake eseme kood
Due Date Based On,Tähtaeg põhineb
Incoming,Sissetulev
Partially Ordered,Osaliselt tellitud
Customer's Purchase Order No,Kliendi ostutellimuse nr
Select Alternate Item,Valige Alternate Item
Applicable Holiday List,Kohaldatav puhkusenimekiri
Hub Tracked Item,Hub Tracked Item
Service Details,Teenuse üksikasjad
Is Featured,Kas on soovitatav
Don't send Employee Birthday Reminders,Ärge saatke töötaja sünnipäeva meeldetuletusi
Maintain Same Rate Throughout Sales Cycle,Säilitage sama hind kogu müügitsükli jooksul
Transportation,Transport
Date TIme,Kuupäev Kellaaeg
Please select quantity on row ,Palun valige rida kogus
Earning Component,Teenimise komponent
Please select Company first,Valige kõigepealt Firma
Publish Item to hub.erpnext.com,Avalda kirje hub.erpnext.com-le
Join,Liitu
Set rate of sub-assembly item based on BOM,Määra alamkoostise kirje määr BOM-i alusel
Wheels,Rattad
"Aggregate group of **Items** into another **Item**. This is useful if you are bundling a certain **Items** into a package and you maintain stock of the packed **Items** and not the aggregate **Item**. 

The package **Item** will have ""Is Stock Item"" as ""No"" and ""Is Sales Item"" as ""Yes"".

For Example: If you are selling Laptops and Backpacks separately and have a special price if the customer buys both, then the Laptop + Backpack will be a new Product Bundle Item.

Note: BOM = Bill of Materials","** Kogumik ** Kirjed ** teise ** Punkt **. See on kasulik, kui paketisse on ühendatud teatud ** üksused ** ja säilitate pakendatud ** kaupade ** ja mitte kogum ** ** **. Paketil ** Punkt ** on &quot;Kas Laoseis&quot; on &quot;Ei&quot; ja &quot;Kas Müük&quot; on &quot;Jah&quot;. Näiteks: kui müüte sülearvuteid ja seljakotte eraldi ja teil on erihind, kui klient mõlemat ostab, on sülearvuti ja seljakott uus tootepakend. Märkus: BOM = materjalide arv"
Purchase Receipt Amount,Ostukviitungi summa
Ongoing,Jätkuv
Agreement Details,Lepingu üksikasjad
Posting Time,Postitamise aeg
Loyalty Program Name,Lojaalsusprogrammi nimi
Dormant,Uinuv
{0}: From {1},{0}: {1}
Attach custom Chart of Accounts file,Lisage kohandatud kontoplaani fail
Item Variants,Üksuse variandid
Fully Completed,Täielikult valmis
Transaction Date,tehingu kuupäev
No data for this period,Selle perioodi kohta andmed puuduvad
Default account will be automatically updated in POS Invoice when this mode is selected.,"Kui see režiim on valitud, värskendatakse vaikekontot automaatselt POS arvel."
Company Abbreviation cannot have more than 5 characters,Ettevõtte lühendil ei tohi olla rohkem kui 5 tähemärki
Canceled,Tühistatud
Customers and Suppliers,Kliendid ja tarnijad
To Produce,Tootma
Is Container,Kas konteiner on
Research & Development,Teadus- ja arendustegevus
Application Settings,Rakenduse seaded
Production Order cannot be raised against a Item Template,Tootmistellimust ei saa esitada üksuse malli vastu
Manufacture against Material Request,Tootmine materjalitaotluse alusel
Ordered Quantity,Tellitud kogus
Row #{0}: Rejected Warehouse is mandatory against rejected Item {1},Rida # {0}: tagasilükatud ladu on kohustusliku {1} tagasi lükatud
Received Items To Be Billed,"Saadud kirjed, mida tuleb arveldada"
Working Hours,Töötunnid
Payment Mode,Makseviis
Purchase Order Items not received on time,"Ostutellimuse objektid, mida ei laekunud õigeaegselt"
Duration in Days,Kestus päevades
Sales Team Details,Müügimeeskonna andmed
Replace,Asenda
Event Name,Sündmuse nimi
Receiver List,Vastuvõtjate nimekiri
Cr,Kr
Are you sure you want to cancel this appointment?,"Kas olete kindel, et soovite selle kohtumise tühistada?"
Accounts Receivable Credit Account,Nõuded krediidi kontole
Prefix,Eesliide
Actual Operation Time,Tegelik tööaeg
Net Rate,Netomäär
Net Change in Cash,Raha muutus netos
Set warehouse for Procedure {0} ,Määra protseduurile {0} ladu
Block Invoice,Arve blokeerimine
Account {0}: Parent account {1} does not exist,Konto {0}: vanemakontot {1} ei eksisteeri
Encrypt Salary Slips in Emails,Krüptige palgatõendid e-kirjades
Score,Skoor
Driver Name,Juhi nimi
Please select Incharge Person's name,Valige Input Person&#39;s nimi
Training,Koolitus
Stock Reports,Varude aruanded
Conversion factor for default Unit of Measure must be 1 in row {0},Mõõtühiku teisendustegur peab olema 1 reas {0}
Course Scheduling Tool,Kursuse ajastamise tööriist
Finished Goods,Valmistoodang
Customer Warehouse (Optional),Kliendi ladu (valikuline)
Sync Master Data,Sünkroonige põhiandmed
Address & Contact,Aadress ja kontakt
To Date,Kuupäev
Error in some rows,Viga mõnedes ridades
Lab Tests and Vital Signs,Labi testid ja elulised märgid
Tax Rule for transactions.,Maksueeskiri tehingute jaoks.
Show Barcode Field,Näita vöötkoodi välja
DN Detail,DN Detail
Fluid,Vedelik
B2C Limit,B2C piir
Electronic Equipments,Elektroonilised seadmed
Cannot find active Leave Period,Aktiivset lahkumisperioodi ei leitud
Create Maintenance Visit,Loo hooldusvisiit
Change In Item,Muuda objekti
{0} Students have been enrolled,{0} Õpilased on registreerunud
Inspection,Kontroll
Area,Piirkond
Summary for this week and pending activities,Selle nädala kokkuvõte ja pooleliolevad tegevused
Maintenance Task,Hooldusülesanne
Current Invoice Start Date,Praegune arve alguskuupäev
Item,Üksus
Get Students From,Hankige õpilasi
Always synch your products from Amazon MWS before synching the Orders details,Enne tellimuste sünkroonimist sünkroonige oma tooted alati Amazon MWSist
Leave Block List Name,Blokeerimisloendi nimi
"Could not update stock, invoice contains drop shipping item.","Lao värskendamist ei õnnestunud uuendada, arvel on tilksaadetised."
Completion Date,Täitmise kuupäev
Rate at which supplier's currency is converted to company's base currency,"Hind, millise tarnija vääringu konverteeritakse ettevõtte baasvaluutaks"
Leave Control Panel,Jäta juhtpaneel välja
Total Applicable Charges in Purchase Receipt Items table must be same as Total Taxes and Charges,Ostukviitungite tabelis olevad rakendatavad tasud peavad olema samad kui üldmaksud ja -maksud
In Words will be visible once you save the Delivery Note.,Sõnades on nähtav pärast tarneteatise salvestamist.
Suppliies made to Composition Taxable Persons,Koostatud maksukohustuslastele
Reserved Qty for Production,Reserveeritud kogus tootmiseks
Quality Manager,Kvaliteedi juht
"Configure Item Fields like UOM, Item Group, Description and No of Hours.","Seadistage üksuste väljad, näiteks UOM, üksusgrupp, kirjeldus ja tundide arv."
New Department,Uus osakond
Job Applicant,Tööotsija
Create Invoices,Loo arved
Purchase Order Item,Ostutellimuse kirje
Data Import and Export,Andmete import ja eksport
Please contact to the user who have Sales Master Manager {0} role,"Palun võtke ühendust kasutajaga, kelle roll on müügijuhi halduril {0}"
You cannot delete Project Type 'External',Te ei saa kustutada projekti tüüpi „Väline”
Temporary,Ajutine
Column Labels : ,Veeru sildid:
Employee A/C Number,Töötaja A / C number
Opening Date should be before Closing Date,Avamise kuupäev peaks olema enne sulgemise kuupäeva
Parent Detail docname,Vanemate üksikasjad docname
Bank Reconciliation Detail,Pangakontrolli üksikasjad
Cumulative Transaction Threshold,Kumulatiivne tehingukünnis
"Number of intervals for the interval field e.g if Interval is 'Days' and Billing Interval Count is 3, invoices will be generated every 3 days","Intervallide arvu intervallide arv, nt kui intervall on „Päevad” ja arveldusintervallide arv on 3, genereeritakse arved iga 3 päeva järel"
'Actual Start Date' can not be greater than 'Actual End Date',&#39;Tegelik alguskuupäev&#39; ei tohi olla suurem kui &#39;tegelik lõppkuupäev&#39;
Payment Entry Reference,Makse sisestamise viide
Salary Component Account,Palkkomponentide konto
Default Payable Accounts,Vaikimisi makstavad kontod
In Words,Sõnades
Purchase Order,Ostutellimus
Entry Type,Sisenemise tüüp
Laboratory,Laboratoorium
To Bill,Billile
Utility Expenses,Kasulikkuse kulud
Time Between Operations (in mins),Toimingute vaheline aeg (minutites)
May,Mai
"Payment Gateway Account not created, please create one manually.","Maksete lüüsi konto pole loodud, looge see käsitsi."
Purchase,Ostmine
School House,Koolimaja
Please select at least one domain.,Palun valige vähemalt üks domeen.
Daily Project Summary for {0},Projekti {0} projekti kokkuvõte
All Territories,Kõik territooriumid
Failure Date,Vea kuupäev
Attendees,Osalejad
Total Outstanding,Kokku tasumata
Amount of TDS Deducted,TDS-i summa mahaarvatud
Cash or Bank Account is mandatory for making payment entry,Sularaha või pangakonto on maksekande tegemiseks kohustuslik
Registration Details,Registreerimisandmed
Calculated Bank Statement balance,Arvutatud pangakonto bilanss
Only users with {0} role can register on Marketplace,Marketplace&#39;is saavad registreeruda ainult {0} rolliga kasutajad
"Warehouse {0} is not linked to any account, please mention the account in  the warehouse record or set default inventory account in company {1}.","Ladu {0} ei ole seotud ühegi kontoga, palun mainige kontot laoarvestuses või seadistage ettevõtte {1} vaikimisi varude konto."
Admission,Sissepääs
This is based on the attendance of this Student,See põhineb õpilase osavõtul
Create Receiver List,Loo vastuvõtja nimekiri
Max Leaves Allowed,Lubatud on maksimaalsed lehed
Component,Komponent
Leave and Attendance,Lahkumine ja osavõtt
Billing Amount,Arvelduse summa
BOM Website Item,BOMi veebisait
Rounded Total,Ümardatud kokku
Production Plan,Tootmisplaan
Actions performed,Toimingud
Set Accepted Warehouse,Määra aktsepteeritud ladu
Rules for applying pricing and discount.,Hinnakujunduse ja allahindluse kohaldamise eeskirjad.
Statutory info and other general information about your Supplier,Kohustuslik teave ja muu üldine teave teie tarnija kohta
Default Selling Cost Center,Vaikemüügikulu keskus
Address & Contacts,Aadress ja kontaktid
Subscriber,Abonent
[{0}](#Form/Item/{0}) is out of stock,[{0}] (# vorm / üksus / {0}) on laos
Please select Posting Date first,Valige kõigepealt postitamise kuupäev
Mention if non-standard payable account,"Märgitakse, kas mittestandardsed tasumisele kuuluvad kontod"
Advance,Ettemaks
"Root Type for ""{0}"" must be one of the Asset, Liability, Income, Expense and Equity","&quot;{0}&quot; juuretüüp peab olema üks vara, vastutus, sissetulek, kulu ja omakapital"
% Complete Method,% Täielik meetod
Tasks Created,Loodud ülesanded
Default BOM ({0}) must be active for this item or its template,Vaikimisi BOM ({0}) peab selle elemendi või selle malli jaoks olema aktiivne
Commission Rate %,Komisjoni määr%
Response Time,Reaktsiooniaeg
Woocommerce Settings,Woocommerce seaded
Quantity must be positive,Kogus peab olema positiivne
CRM,CRM
Parenttype,Parenttype
Billing State,Arveldusriik
Quantity for Item {0} must be less than {1},Kogus {0} peab olema väiksem kui {1}
Transfer Material,Ülekandematerjal
Shipping Account,Laevakonto
Please set default template for Leave Approval Notification in HR Settings.,Palun määrake vaikeseadete jätmise kinnitamise teatise HR malli seaded.
Television,Televisioon
Quality Inspection required for Item {0},Toote {0} jaoks nõutav kvaliteedikontroll
Debit ({0}),Deebet ({0})
Inpatient Visit Charge,Statsionaalse külastuse tasu
Transaction Data Mapping,Tehingute andmete kaardistamine
A Lead requires either a person's name or an organization's name,Plii vajab kas isiku nime või organisatsiooni nime
Guardians,Valvurid
Select Brand...,Valige bränd ...
Middle Income,Keskmine sissetulek
Calculate Based On,Arvuta põhjal
Barcode {0} already used in Item {1},Triipkood {0} on juba kasutatud elemendis {1}
Campaign Name,Kampaania nimi
Rejected Warehouse,Hüljatud ladu
{0} {1} must be submitted,{0} {1} tuleb esitada
Expense Claim Advance,Kulude hüvitamise nõue
Rounding Adjustment (Company Currency),Ümardamise korrigeerimine (ettevõtte valuuta)
Publish in Hub,Avaldage jaotises Hub
GSTIN,GSTIN
August,august
Please enter Purchase Receipt first,Sisestage esmalt ostutšekk
Start Year,Algusaasta
Target ({}),Siht ({})
Please set Default Payroll Payable Account in Company {0},Palun määrake ettevõttes {0} vaikimisi makstav konto.
Sales Summary,Müügi kokkuvõte
In Words (Company Currency),Sõnades (ettevõtte valuuta)
Please specify currency in Company,Palun täpsustage valuuta ettevõttes
Price,Hind
Min Order Qty,Min. Tellimuse kogus
Holiday Management,Puhkusjuhtimine
Please enable default incoming account before creating Daily Work Summary Group,Palun lubage vaikimisi sissetulev konto enne igapäevase töö kokkuvõtte rühma loomist
You can only select a maximum of one option from the list of check boxes.,Saate märkida kastide loendist ainult ühe valiku.
Public Transport,Ühistransport
Maximum Samples - {0} can be retained for Batch {1} and Item {2}.,Maksimaalsed proovid - {0} saab säilitada partii {1} ja kirje {2} jaoks.
Max Sample Quantity,Maksimaalne proovikogus
Source and target warehouse must be different,Allikas ja sihtlaos peavad olema erinevad
Benefits Applied,Rakendatud hüvitised
Against Journal Entry {0} does not have any unmatched {1} entry,Ajakirja kirje vastu {0} ei ole ühtegi {1} kirjet
Price or product discount slabs are required,Hind või toote allahindlusplaadid on vajalikud
Set a Target,Määra sihtmärk
Attendance Record {0} exists against Student {1},Õpilase {1} vastu on kohaloleku kirje {0}
Date of Transaction,Tehingu kuupäev
Cancel Subscription,Tühista tellimus
Net Salary Amount,Netopalga summa
Liability,Vastutus
Bank A/C No.,Panga A / C number
Discharge Note,Täitmise märkus
Action if Accumulated Monthly Budget Exceeded on MR,"Tegevus, kui kogunenud kuueelarve ületab MR-i"
Asset Movement,Varade liikumine
"Could not create Credit Note automatically, please uncheck 'Issue Credit Note' and submit again","Krediidi märkust ei õnnestunud automaatselt luua, eemaldage märge „Väljastage krediidi märkus” ja esitage uuesti"
Per Month,Kuus
Routing Name,Marsruudi nimi
Common Name,Üldnimi
Measurable,Mõõdetav
LMS Title,LMS-i pealkiri
Loan Management,Laenude haldamine
Support Analtyics,Analüüsi toetamine
Consumable Total Amount,Tarbitav kogusumma
Enable Template,Luba mall
Customer LPO,Kliendi LPO
Website Image {0} attached to Item {1} cannot be found,Punktile {1} lisatud veebilehe pilti {0} ei leitud
Planned,Planeeritud
Custodian,Haldur
Filter based on Cost Center is only applicable if Budget Against is selected as Cost Center,"Kulukeskusel põhinev filter on rakendatav ainult siis, kui kuluarvestuskeskuseks on valitud Eelarve vastu"
Quoted Item Comparison,Tsiteeritud kirje võrdlus
Employee Advance,Töötajate ettemaks
Inward supplies liable to reverse charge (other than 1 & 2 above),"Sisseostetavad tarned, mille eest on võimalik pöörata tagasipöördumist (muud kui 1 &amp; 2 eespool)"
Shopping Cart,Ostukorv
User {0} does not exist,Kasutaja {0} puudub
