Pension Funds,ಪಿಂಚಣಿ ನಿಧಿಗಳು
Item,ಐಟಂ
Get Students From,ವಿದ್ಯಾರ್ಥಿಗಳನ್ನು ಪಡೆಯಿರಿ
Always synch your products from Amazon MWS before synching the Orders details,ಆರ್ಡರ್ಸ್ ವಿವರಗಳನ್ನು ಸಿಂಕ್ ಮಾಡುವ ಮೊದಲು ಅಮೆಜಾನ್ MWS ನಿಂದ ಯಾವಾಗಲೂ ನಿಮ್ಮ ಉತ್ಪನ್ನಗಳನ್ನು ಸಿಂಕ್ ಮಾಡಿ
Leave Block List Name,ಬ್ಲಾಕ್ ಪಟ್ಟಿ ಹೆಸರನ್ನು ಬಿಡಿ
"Could not update stock, invoice contains drop shipping item.","ಸ್ಟಾಕ್ ಅನ್ನು ನವೀಕರಿಸಲು ಸಾಧ್ಯವಾಗಲಿಲ್ಲ, ಇನ್ವಾಯ್ಸ್ ಡ್ರಾಪ್ ಡ್ರಾಪ್ ಐಟಂ ಹೊಂದಿದೆ."
Completion Date,ಪೂರ್ಣಗೊಳ್ಳುವ ದಿನಾಂಕ
Rate at which supplier's currency is converted to company's base currency,ಸರಬರಾಜು ಮಾಡುವವರ ಕರೆನ್ಸಿಯನ್ನು ಕಂಪನಿಯ ಮೂಲ ಕರೆನ್ಸಿಗೆ ಪರಿವರ್ತಿಸಲಾಗುತ್ತದೆ
Leave Control Panel,ನಿಯಂತ್ರಣ ಫಲಕವನ್ನು ಬಿಡಿ
Total Applicable Charges in Purchase Receipt Items table must be same as Total Taxes and Charges,ಖರೀದಿ ರಸೀತಿ ಐಟಂಗಳ ಟೇಬಲ್ನಲ್ಲಿನ ಒಟ್ಟು ಅನ್ವಯಿಸುವ ಶುಲ್ಕಗಳು ಒಟ್ಟು ತೆರಿಗೆಗಳು ಮತ್ತು ಶುಲ್ಕಗಳು ಒಂದೇ ಆಗಿರಬೇಕು
In Words will be visible once you save the Delivery Note.,ಡೆಲಿವರಿ ನೋಟ್ ಅನ್ನು ಉಳಿಸಿದ ನಂತರ ವರ್ಡ್ಸ್ನಲ್ಲಿ ಗೋಚರಿಸುತ್ತದೆ.
Suppliies made to Composition Taxable Persons,ಸಂಯೋಜನೆ ತೆರಿಗೆದಾರರಿಗೆ ಮಾಡಿದ ಸರಬರಾಜುಗಳು
Reserved Qty for Production,ಉತ್ಪಾದನೆಗೆ ಮೀಸಲಾದ Qty
Quality Manager,ಗುಣಮಟ್ಟ ವ್ಯವಸ್ಥಾಪಕ
"Configure Item Fields like UOM, Item Group, Description and No of Hours.","UOM, ಐಟಂ ಗ್ರೂಪ್, ವಿವರಣೆ ಮತ್ತು ಗಂಟೆಗಳ ಸಂಖ್ಯೆ ಮುಂತಾದ ಐಟಂ ಕ್ಷೇತ್ರಗಳನ್ನು ಕಾನ್ಫಿಗರ್ ಮಾಡಿ."
New Department,ಹೊಸ ಇಲಾಖೆ
Job Applicant,ಜಾಬ್ ಅರ್ಜಿದಾರರು
Create Invoices,ಇನ್ವಾಯ್ಸ್ಗಳನ್ನು ರಚಿಸಿ
Purchase Order Item,ಆದೇಶ ಐಟಂ ಖರೀದಿಸಿ
Data Import and Export,ಡೇಟಾ ಆಮದು ಮತ್ತು ರಫ್ತು
Please contact to the user who have Sales Master Manager {0} role,ಮಾರಾಟದ ಮಾಸ್ಟರ್ ಮ್ಯಾನೇಜರ್ {0} ಪಾತ್ರವನ್ನು ಹೊಂದಿರುವ ಬಳಕೆದಾರರಿಗೆ ದಯವಿಟ್ಟು ಸಂಪರ್ಕಿಸಿ
You cannot delete Project Type 'External',ನೀವು ಪ್ರಾಜೆಕ್ಟ್ ಕೌಟುಂಬಿಕತೆ &#39;ಬಾಹ್ಯ&#39; ಅನ್ನು ಅಳಿಸಲು ಸಾಧ್ಯವಿಲ್ಲ
Temporary,ತಾತ್ಕಾಲಿಕ
Column Labels : ,ಕಾಲಮ್ ಲೇಬಲ್ಗಳು:
Employee A/C Number,ಉದ್ಯೋಗಿ ಎ / ಸಿ ಸಂಖ್ಯೆ
Opening Date should be before Closing Date,ಮುಕ್ತಾಯ ದಿನಾಂಕ ಮುಕ್ತಾಯ ದಿನಾಂಕದ ಮೊದಲು ಇರಬೇಕು
Parent Detail docname,ಪೋಷಕ ವಿವರ docname
Bank Reconciliation Detail,ಬ್ಯಾಂಕ್ ಸಾಮರಸ್ಯ ವಿವರ
Cumulative Transaction Threshold,ಸಂಚಿತ ಟ್ರಾನ್ಸಾಕ್ಷನ್ ತ್ರೆಶೋಲ್ಡ್
"Number of intervals for the interval field e.g if Interval is 'Days' and Billing Interval Count is 3, invoices will be generated every 3 days","ಮಧ್ಯಂತರ ಕ್ಷೇತ್ರಕ್ಕೆ ಮಧ್ಯಂತರಗಳ ಸಂಖ್ಯೆ. ಮಧ್ಯಂತರವು &#39;ಡೇಸ್&#39; ಮತ್ತು ಬಿಲ್ಲಿಂಗ್ ಇಂಟರ್ವಲ್ ಕೌಂಟ್ 3 ಆಗಿದ್ದರೆ, ಇನ್ವಾಯ್ಸ್ಗಳು ಪ್ರತಿ 3 ದಿನಗಳಿಗೊಮ್ಮೆ ಉತ್ಪಾದಿಸಲ್ಪಡುತ್ತವೆ."
'Actual Start Date' can not be greater than 'Actual End Date',&#39;ವಾಸ್ತವಿಕ ಪ್ರಾರಂಭದ ದಿನಾಂಕ&#39; ಗಿಂತಲೂ &#39;ನಿಜವಾದ ಪ್ರಾರಂಭ ದಿನಾಂಕ&#39;
Payment Entry Reference,ಪಾವತಿ ನಮೂದು ಉಲ್ಲೇಖ
Salary Component Account,ಸಂಬಳ ಕಾಂಪೊನೆಂಟ್ ಖಾತೆ
Default Payable Accounts,ಡೀಫಾಲ್ಟ್ ಪೇಯ್ಬಲ್ ಖಾತೆಗಳು
In Words,ಪದಗಳಲ್ಲಿ
Purchase Order,ಖರೀದಿ ಆದೇಶ
Entry Type,ಎಂಟ್ರಿ ಪ್ರಕಾರ
Laboratory,ಪ್ರಯೋಗಾಲಯ
To Bill,ಬಿಲ್ ಮಾಡಲು
Utility Expenses,ಯುಟಿಲಿಟಿ ವೆಚ್ಚಗಳು
Time Between Operations (in mins),ಕಾರ್ಯಾಚರಣೆಗಳ ನಡುವೆ ಸಮಯ (ನಿಮಿಷಗಳಲ್ಲಿ)
May,ಮೇ
"Payment Gateway Account not created, please create one manually.","ಪಾವತಿ ಗೇಟ್ವೇ ಖಾತೆ ರಚಿಸಲಾಗಿಲ್ಲ, ದಯವಿಟ್ಟು ಹಸ್ತಚಾಲಿತವಾಗಿ ಒಂದನ್ನು ರಚಿಸಿ."
Purchase,ಖರೀದಿಸಿ
School House,ಸ್ಕೂಲ್ ಹೌಸ್
Please select at least one domain.,ದಯವಿಟ್ಟು ಕನಿಷ್ಠ ಒಂದು ಡೊಮೇನ್ ಅನ್ನು ಆಯ್ಕೆ ಮಾಡಿ.
Daily Project Summary for {0},{0} ಗಾಗಿ ಡೈಲಿ ಪ್ರಾಜೆಕ್ಟ್ ಸಾರಾಂಶ
All Territories,ಎಲ್ಲಾ ಪ್ರದೇಶಗಳು
Failure Date,ವೈಫಲ್ಯ ದಿನಾಂಕ
Attendees,ಹಾಜರಾಗುವವರು
Total Outstanding,ಒಟ್ಟು ಅತ್ಯುತ್ತಮ
Amount of TDS Deducted,ಟಿಡಿಎಸ್ ಮೊತ್ತವನ್ನು ಕಡಿತಗೊಳಿಸಲಾಗಿದೆ
Cash or Bank Account is mandatory for making payment entry,ಪಾವತಿ ನಮೂದನ್ನು ಮಾಡುವಲ್ಲಿ ನಗದು ಅಥವಾ ಬ್ಯಾಂಕ್ ಖಾತೆ ಕಡ್ಡಾಯವಾಗಿದೆ
Registration Details,ನೋಂದಣಿ ವಿವರಗಳು
Calculated Bank Statement balance,ಲೆಕ್ಕಹಾಕಿದ ಬ್ಯಾಂಕ್ ಹೇಳಿಕೆ ಬಾಕಿ
Only users with {0} role can register on Marketplace,{0} ಪಾತ್ರ ಹೊಂದಿರುವ ಬಳಕೆದಾರರು ಮಾತ್ರ ಮಾರುಕಟ್ಟೆ ಸ್ಥಳದಲ್ಲಿ ನೋಂದಾಯಿಸಬಹುದು
"Warehouse {0} is not linked to any account, please mention the account in  the warehouse record or set default inventory account in company {1}.","ವೇರ್ಹೌಸ್ {0} ಯಾವುದೇ ಖಾತೆಗೆ ಸಂಬಂಧಿಸಿಲ್ಲ, ದಯವಿಟ್ಟು ವೇರ್ಹೌಸ್ ರೆಕಾರ್ಡ್ನಲ್ಲಿ ಖಾತೆಯನ್ನು ಉಲ್ಲೇಖಿಸಿ ಅಥವಾ ಡೀಫಾಲ್ಟ್ ಇನ್ವೆಂಟರಿ ಖಾತೆಯನ್ನು ಕಂಪನಿಯು {1} ನಲ್ಲಿ ಹೊಂದಿಸಿ."
Admission,ಪ್ರವೇಶ
This is based on the attendance of this Student,ಇದು ಈ ವಿದ್ಯಾರ್ಥಿಯ ಹಾಜರಾತಿಯನ್ನು ಆಧರಿಸಿದೆ
Create Receiver List,ಸ್ವೀಕರಿಸುವವರ ಪಟ್ಟಿಯನ್ನು ರಚಿಸಿ
Max Leaves Allowed,ಮ್ಯಾಕ್ಸ್ ಲೀವ್ಸ್ ಅನುಮತಿಸಲಾಗಿದೆ
Component,ಕಾಂಪೊನೆಂಟ್
Leave and Attendance,ಬಿಡಿ ಮತ್ತು ಹಾಜರಾತಿ
Billing Amount,ಬಿಲ್ಲಿಂಗ್ ಮೊತ್ತ
BOM Website Item,BOM ವೆಬ್ಸೈಟ್ ಐಟಂ
Rounded Total,ದುಂಡಾದ ಒಟ್ಟು
Production Plan,ಉತ್ಪಾದನಾ ಯೋಜನೆ
Actions performed,ಕ್ರಿಯೆಗಳು ನಡೆಸಿವೆ
Set Accepted Warehouse,ಅಕ್ಸೆಪ್ಟೆಡ್ ವೇರ್ಹೌಸ್ ಹೊಂದಿಸಿ
Rules for applying pricing and discount.,ಬೆಲೆ ಮತ್ತು ರಿಯಾಯಿತಿ ಅನ್ವಯಿಸುವ ನಿಯಮಗಳು.
Statutory info and other general information about your Supplier,ನಿಮ್ಮ ಸರಬರಾಜುದಾರರ ಬಗ್ಗೆ ಶಾಸನಬದ್ಧ ಮಾಹಿತಿ ಮತ್ತು ಇತರ ಸಾಮಾನ್ಯ ಮಾಹಿತಿ
Default Selling Cost Center,ಡೀಫಾಲ್ಟ್ ಸೆಲ್ಲಿಂಗ್ ವೆಚ್ಚ ಕೇಂದ್ರ
Address & Contacts,ವಿಳಾಸ &amp; ಸಂಪರ್ಕಗಳು
Subscriber,ಚಂದಾದಾರ
Please select Posting Date first,ಪೋಸ್ಟ್ ದಿನಾಂಕವನ್ನು ಮೊದಲು ಆಯ್ಕೆಮಾಡಿ
Mention if non-standard payable account,ಸ್ಟಾಂಡರ್ಡ್ ಅಲ್ಲದ ಪಾವತಿಸದ ಖಾತೆಯನ್ನು ಸೂಚಿಸಿ
Advance,ಅಡ್ವಾನ್ಸ್
"Root Type for ""{0}"" must be one of the Asset, Liability, Income, Expense and Equity","&quot;{0}&quot; ಗಾಗಿ ರೂಟ್ ಪ್ರಕಾರವು ಸ್ವತ್ತು, ಹೊಣೆಗಾರಿಕೆ, ಆದಾಯ, ಖರ್ಚು ಮತ್ತು ಇಕ್ವಿಟಿಗಳಲ್ಲಿ ಒಂದಾಗಿದೆ"
% Complete Method,% ಸಂಪೂರ್ಣ ವಿಧಾನ
Tasks Created,ಕಾರ್ಯಗಳು ರಚಿಸಲಾಗಿದೆ
Default BOM ({0}) must be active for this item or its template,ಡೀಫಾಲ್ಟ್ BOM ({0}) ಈ ಐಟಂ ಅಥವಾ ಅದರ ಟೆಂಪ್ಲೇಟ್ಗಾಗಿ ಸಕ್ರಿಯವಾಗಿರಬೇಕು
Commission Rate %,ಕಮೀಷನ್ ದರ%
Response Time,ಪ್ರತಿಕ್ರಿಯೆ ಸಮಯ
Woocommerce Settings,Woocommerce ಸೆಟ್ಟಿಂಗ್ಗಳು
Quantity must be positive,ಪ್ರಮಾಣ ಧನಾತ್ಮಕವಾಗಿರಬೇಕು
CRM,ಸಿಆರ್ಎಂ
Parenttype,ಪೇರೆಂಟೈಪ್
Billing State,ಬಿಲ್ಲಿಂಗ್ ರಾಜ್ಯ
Quantity for Item {0} must be less than {1},ಐಟಂನ ಪ್ರಮಾಣವು {0} ಗಿಂತ ಕಡಿಮೆ ಇರಬೇಕು {1}
Transfer Material,ವರ್ಗಾವಣೆಯ ವಸ್ತು
Shipping Account,ಶಿಪ್ಪಿಂಗ್ ಖಾತೆ
Please set default template for Leave Approval Notification in HR Settings.,ಮಾನವ ಸಂಪನ್ಮೂಲ ಸೆಟ್ಟಿಂಗ್ಗಳಲ್ಲಿ ಅನುಮೋದನೆ ಪ್ರಕಟಣೆಗಾಗಿ ಡೀಫಾಲ್ಟ್ ಟೆಂಪ್ಲೇಟ್ ಅನ್ನು ಹೊಂದಿಸಿ.
Television,ದೂರದರ್ಶನ
Quality Inspection required for Item {0},ಐಟಂಗೆ ಗುಣಮಟ್ಟ ಪರೀಕ್ಷೆ ಅಗತ್ಯವಿರುತ್ತದೆ {0}
Debit ({0}),ಡೆಬಿಟ್ ({0})
Inpatient Visit Charge,ಒಳರೋಗಿ ಭೇಟಿ ಶುಲ್ಕ
Transaction Data Mapping,ವ್ಯವಹಾರ ಡೇಟಾ ಮ್ಯಾಪಿಂಗ್
A Lead requires either a person's name or an organization's name,ಲೀಡ್ಗೆ ಒಬ್ಬ ವ್ಯಕ್ತಿಯ ಹೆಸರು ಅಥವಾ ಸಂಸ್ಥೆಯ ಹೆಸರು ಬೇಕಾಗುತ್ತದೆ
Guardians,ಗಾರ್ಡಿಯನ್ಸ್
Select Brand...,ಬ್ರ್ಯಾಂಡ್ ಆಯ್ಕೆಮಾಡಿ ...
Middle Income,ಮಧ್ಯಮ ಆದಾಯ
Calculate Based On,ಆಧರಿಸಿ ಲೆಕ್ಕಾಚಾರ
Barcode {0} already used in Item {1},ಬಾರ್ಕೋಡ್ {0} ಈಗಾಗಲೇ ಐಟಂನಲ್ಲಿ ಬಳಸಲಾಗಿದೆ {1}
Campaign Name,ಕ್ಯಾಂಪೇನ್ ಹೆಸರು
Rejected Warehouse,ತಿರಸ್ಕರಿಸಿದ ವೇರ್ಹೌಸ್
{0} {1} must be submitted,{0} {1} ಅನ್ನು ಸಲ್ಲಿಸಬೇಕು
Expense Claim Advance,ಖರ್ಚು ಹಕ್ಕು ಅಡ್ವಾನ್ಸ್
Rounding Adjustment (Company Currency),ಪೂರ್ಣಾಂಕಗೊಳಿಸುವ ಹೊಂದಾಣಿಕೆ (ಕಂಪೆನಿ ಕರೆನ್ಸಿ)
Publish in Hub,ಹಬ್ನಲ್ಲಿ ಪ್ರಕಟಿಸಿ
GSTIN,GSTIN
August,ಆಗಸ್ಟ್
Please enter Purchase Receipt first,ದಯವಿಟ್ಟು ಮೊದಲು ಖರೀದಿಯ ರಸೀದಿ ನಮೂದಿಸಿ
Start Year,ಪ್ರಾರಂಭ ವರ್ಷ
Target ({}),ಟಾರ್ಗೆಟ್ ({})
Please set Default Payroll Payable Account in Company {0},ಕಂಪೆನಿಯಲ್ಲಿ ಡೀಫಾಲ್ಟ್ ವೇತನದಾರರ ಪೇಯ್ಬಲ್ ಖಾತೆಯನ್ನು ಹೊಂದಿಸಿ {0}
Sales Summary,ಮಾರಾಟದ ಸಾರಾಂಶ
In Words (Company Currency),ವರ್ಡ್ಸ್ನಲ್ಲಿ (ಕಂಪನಿ ಕರೆನ್ಸಿ)
Please specify currency in Company,ಕಂಪೆನಿಯಲ್ಲಿ ಕರೆನ್ಸಿ ಸೂಚಿಸಿ
Price,ಬೆಲೆ
Min Order Qty,ಮಿನ್ ಆರ್ಡರ್ ಕ್ಯೂಟಿ
Holiday Management,ರಜಾದಿನದ ನಿರ್ವಹಣೆ
Please enable default incoming account before creating Daily Work Summary Group,ಡೈಲಿ ವರ್ಕ್ ಸಾರಾಂಶ ಗುಂಪನ್ನು ರಚಿಸುವ ಮೊದಲು ಡೀಫಾಲ್ಟ್ ಒಳಬರುವ ಖಾತೆಯನ್ನು ಸಕ್ರಿಯಗೊಳಿಸಿ
You can only select a maximum of one option from the list of check boxes.,ನೀವು ಚೆಕ್ ಪೆಟ್ಟಿಗೆಗಳ ಪಟ್ಟಿಯಿಂದ ಗರಿಷ್ಟ ಒಂದು ಆಯ್ಕೆಯನ್ನು ಮಾತ್ರ ಆಯ್ಕೆ ಮಾಡಬಹುದು.
Public Transport,ಸಾರ್ವಜನಿಕ ಸಾರಿಗೆ
Maximum Samples - {0} can be retained for Batch {1} and Item {2}.,ಗರಿಷ್ಠ ಮಾದರಿಗಳು - ಬ್ಯಾಚ್ {1} ಮತ್ತು ಐಟಂ {2} ಗಾಗಿ {0} ಅನ್ನು ಉಳಿಸಿಕೊಳ್ಳಬಹುದು.
Max Sample Quantity,ಮ್ಯಾಕ್ಸ್ ಸ್ಯಾಂಪಲ್ ಪ್ರಮಾಣ
Source and target warehouse must be different,ಮೂಲ ಮತ್ತು ಗುರಿ ವೇರ್ಹೌಸ್ ವಿಭಿನ್ನವಾಗಿರಬೇಕು
Benefits Applied,ಅನ್ವಯವಾಗುವ ಪ್ರಯೋಜನಗಳು
Against Journal Entry {0} does not have any unmatched {1} entry,ಜರ್ನಲ್ ಎಂಟ್ರಿ ವಿರುದ್ಧ {0} ಯಾವುದೇ ಸಾಟಿಯಿಲ್ಲದ {1} ಪ್ರವೇಶವನ್ನು ಹೊಂದಿಲ್ಲ
Price or product discount slabs are required,ಬೆಲೆ ಅಥವಾ ಉತ್ಪನ್ನ ರಿಯಾಯಿತಿ ಚಪ್ಪಡಿಗಳು ಅಗತ್ಯವಿದೆ
Set a Target,ಟಾರ್ಗೆಟ್ ಹೊಂದಿಸಿ
Attendance Record {0} exists against Student {1},ವಿದ್ಯಾರ್ಥಿ {1} ವಿರುದ್ಧ ಅಟೆಂಡೆನ್ಸ್ ರೆಕಾರ್ಡ್ {0}
Date of Transaction,ಟ್ರಾನ್ಸಾಕ್ಷನ್ ದಿನಾಂಕ
Cancel Subscription,ಚಂದಾದಾರಿಕೆಯನ್ನು ರದ್ದುಮಾಡಿ
Net Salary Amount,ನೆಟ್ ಸಂಬಳ ಮೊತ್ತ
Liability,ಹೊಣೆಗಾರಿಕೆ
Bank A/C No.,ಬ್ಯಾಂಕ್ ಎ / ಸಿ
Discharge Note,ಡಿಸ್ಚಾರ್ಜ್ ನೋಟ್
Action if Accumulated Monthly Budget Exceeded on MR,ಸಂಗ್ರಹಿಸಿದ ಮಾಸಿಕ ಬಜೆಟ್ ಎಮ್ಆರ್ ಮೇಲೆ ಮೀರಿದರೆ ಕ್ರಿಯೆ
Asset Movement,ಸ್ವತ್ತು ಚಳುವಳಿ
"Could not create Credit Note automatically, please uncheck 'Issue Credit Note' and submit again","ಕ್ರೆಡಿಟ್ ನೋಟ್ ಅನ್ನು ಸ್ವಯಂಚಾಲಿತವಾಗಿ ರಚಿಸಲಾಗಲಿಲ್ಲ, ದಯವಿಟ್ಟು &#39;ಇಶ್ಯೂ ಕ್ರೆಡಿಟ್ ನೋಟ್&#39; ಅನ್ನು ಗುರುತಿಸಿ ಮತ್ತು ಮತ್ತೆ ಸಲ್ಲಿಸಿ"
Per Month,ಪ್ರತಿ ತಿಂಗಳು
Routing Name,ರೂಟಿಂಗ್ ಹೆಸರು
Common Name,ಸಾಮಾನ್ಯ ಹೆಸರು
Measurable,ಮಾಪನ
LMS Title,ಎಲ್ಎಂಎಸ್ ಶೀರ್ಷಿಕೆ
Loan Management,ಸಾಲ ನಿರ್ವಹಣೆ
Support Analtyics,ಅನಾಲಿಟಿಕ್ಸ್ ಬೆಂಬಲ
Consumable Total Amount,ಗ್ರಾಹಕ ಒಟ್ಟು ಮೊತ್ತ
Enable Template,ಟೆಂಪ್ಲೇಟ್ ಅನ್ನು ಸಕ್ರಿಯಗೊಳಿಸಿ
Customer LPO,ಗ್ರಾಹಕ ಎಲ್ಪಿಒ
Planned,ಯೋಜಿಸಲಾಗಿದೆ
Custodian,ರಕ್ಷಕ
Filter based on Cost Center is only applicable if Budget Against is selected as Cost Center,ಕಾಸ್ಟ್ ಸೆಂಟರ್ ಆಧರಿಸಿ ಫಿಲ್ಟರ್ ವಿರುದ್ಧದ ಬಜೆಟ್ ವೆಚ್ಚ ಕೇಂದ್ರವಾಗಿ ಆಯ್ಕೆಮಾಡಿದರೆ ಮಾತ್ರ ಅನ್ವಯವಾಗುತ್ತದೆ
Quoted Item Comparison,ಐಟಂ ಹೋಲಿಕೆ ಉಲ್ಲೇಖಿಸಲಾಗಿದೆ
Employee Advance,ಉದ್ಯೋಗಿ ಅಡ್ವಾನ್ಸ್
Inward supplies liable to reverse charge (other than 1 & 2 above),ಆಂತರಿಕ ಸರಬರಾಜು ರಿವರ್ಸ್ ಚಾರ್ಜ್ಗೆ ಹೊಣೆಗಾರನಾಗಿರುತ್ತದೆ (1 &amp; 2 ಗಿಂತಲೂ ಹೆಚ್ಚು)
Shopping Cart,ಶಾಪಿಂಗ್ ಕಾರ್ಟ್
User {0} does not exist,ಬಳಕೆದಾರ {0} ಅಸ್ತಿತ್ವದಲ್ಲಿಲ್ಲ
Loans and Advances (Assets),ಸಾಲಗಳು ಮತ್ತು ಮುಂಗಡಗಳು (ಸ್ವತ್ತುಗಳು)
Designation (optional),ಸ್ಥಾನೀಕರಣ (ಐಚ್ಛಿಕ)
Total Principal Amount,ಒಟ್ಟು ಪ್ರಧಾನ ಮೊತ್ತ
Customer / Lead Address,ಗ್ರಾಹಕ / ಲೀಡ್ ವಿಳಾಸ
Soap & Detergent,ಸೋಪ್ ಮತ್ತು ಮಾರ್ಜಕ
Purchase Analytics,ವಿಶ್ಲೇಷಣೆಗಳನ್ನು ಖರೀದಿಸಿ
Opportunity,ಅವಕಾಶ
Prefered Contact Email,ಪೂರ್ವಭಾವಿ ಸಂಪರ್ಕ ಇಮೇಲ್
Opening Accounting Balance,ಲೆಕ್ಕಪರಿಶೋಧಕ ಬ್ಯಾಲೆನ್ಸ್ ತೆರೆಯುವುದು
[Select],[ಆಯ್ಕೆ]
MAT-RECO-.YYYY.-,MAT-RECO- .YYYY.-
Master Data,ಮಾಸ್ಟರ್ ಡೇಟಾ
Yet to appear,ಇನ್ನೂ ಕಾಣಿಸಿಕೊಳ್ಳಲು
Customers in Queue,ಕ್ಯೂನಲ್ಲಿ ಗ್ರಾಹಕರು
Supplier Details,ಪೂರೈಕೆದಾರ ವಿವರಗಳು
No gain or loss in the exchange rate,ವಿನಿಮಯ ದರದಲ್ಲಿ ಯಾವುದೇ ಲಾಭ ಅಥವಾ ನಷ್ಟವಿಲ್ಲ
GSTR-1,GSTR-1
Total Billable Hours,ಒಟ್ಟು ಬಿಲ್ ಮಾಡಬಹುದಾದ ಅವರ್ಸ್
Represents Company,ಕಂಪನಿ ಪ್ರತಿನಿಧಿಸುತ್ತದೆ
Company Address,ಕಂಪೆನಿ ವಿಳಾಸ
Lead Name,ಲೀಡ್ ಹೆಸರು
Diseases & Fertilizers,ರೋಗಗಳು ಮತ್ತು ರಸಗೊಬ್ಬರಗಳು
Item {0} must be a Sub-contracted Item,ಐಟಂ {0} ಉಪ ಒಪ್ಪಂದದ ಐಟಂ ಆಗಿರಬೇಕು
Purchase Receipt Items,ಖರೀದಿ ರಸೀದಿ ಐಟಂಗಳು
Ignore Existing Projected Quantity,ಅಸ್ತಿತ್ವದಲ್ಲಿರುವ ಯೋಜಿತ ಪ್ರಮಾಣವನ್ನು ನಿರ್ಲಕ್ಷಿಸಿ
Supervisor,ಮೇಲ್ವಿಚಾರಕ
Salary Detail,ವೇತನ ವಿವರ
Budget Against,ಬಜೆಟ್ ವಿರುದ್ಧ
Add Letterhead,ಲೆಟರ್ಹೆಡ್ ಸೇರಿಸಿ
Templates of supplier scorecard criteria.,ಪೂರೈಕೆದಾರ ಸ್ಕೋರ್ಕಾರ್ಡ್ ಮಾನದಂಡದ ಟೆಂಪ್ಲೇಟ್ಗಳು.
Default Finance Book,ಡೀಫಾಲ್ಟ್ ಹಣಕಾಸು ಪುಸ್ತಕ
Please specify Company,ದಯವಿಟ್ಟು ಕಂಪನಿ ಸೂಚಿಸಿ
Total contribution percentage should be equal to 100,ಒಟ್ಟು ಕೊಡುಗೆ ಶೇಕಡಾವಾರು 100 ಕ್ಕೆ ಸಮನಾಗಿರಬೇಕು
Webhooks Secret,ವೆಬ್ಹೂಕ್ಸ್ ಸೀಕ್ರೆಟ್
Asset Depreciations and Balances,ಆಸ್ತಿ ವಂಚನೆಗಳು ಮತ್ತು ಸಮತೋಲನಗಳು
New Batch Qty,ಹೊಸ ಬ್ಯಾಚ್ ಕ್ವಿಟಿ
Import of goods,ಸರಕುಗಳ ಆಮದು
Raw Material Item Code,ರಾ ಮೆಟೀರಿಯಲ್ ಐಟಂ ಕೋಡ್
Purchase Invoice {0} is already submitted,ಖರೀದಿ ಸರಕುಪಟ್ಟಿ {0} ಈಗಾಗಲೇ ಸಲ್ಲಿಸಲಾಗಿದೆ
Student Email,ವಿದ್ಯಾರ್ಥಿ ಇಮೇಲ್
BOM recursion: {0} cannot be parent or child of {2},BOM ರಿಕರ್ಶನ್: {0} ಪೋಷಕ ಅಥವಾ ಮಗುವಿನ {2}
Get Items from Healthcare Services,ಆರೋಗ್ಯ ಸೇವೆಗಳಿಂದ ವಸ್ತುಗಳನ್ನು ಪಡೆಯಿರಿ
Stock Entry {0} is not submitted,ಸ್ಟಾಕ್ ಎಂಟ್ರಿ {0} ಅನ್ನು ಸಲ್ಲಿಸಲಾಗಿಲ್ಲ
Item Attribute Value,ಐಟಂ ಗುಣಲಕ್ಷಣ ಮೌಲ್ಯ
Volunteer Skills,ಸ್ವಯಂಸೇವಕ ಸ್ಕಿಲ್ಸ್
Cannot enroll more than {0} students for this student group.,ಈ ವಿದ್ಯಾರ್ಥಿ ಗುಂಪಿಗಾಗಿ {0} ವಿದ್ಯಾರ್ಥಿಗಳಿಗಿಂತ ಹೆಚ್ಚಿನದನ್ನು ದಾಖಲು ಮಾಡಲಾಗುವುದಿಲ್ಲ.
Costing Details,ವೆಚ್ಚದ ವಿವರಗಳು
Sales Invoice {0} has already been submitted,ಮಾರಾಟ ಸರಕುಪಟ್ಟಿ {0} ಅನ್ನು ಈಗಾಗಲೇ ಸಲ್ಲಿಸಲಾಗಿದೆ
Accounting Entries,ಲೆಕ್ಕಪತ್ರ ನಿರ್ವಹಣೆ ನಮೂದುಗಳು
Internal Transfer,ಆಂತರಿಕ ವರ್ಗಾವಣೆ
Stock Details,ಸ್ಟಾಕ್ ವಿವರಗಳು
Is Carry Forward,ಮುಂದೆ ಸಾಗುತ್ತಿದೆ
Product Enquiry,ಉತ್ಪನ್ನ ವಿಚಾರಣೆ
PUR-ORD-.YYYY.-,ಪೂರ್-ಓರ್ಡಿ- .YYYY.-
Evaluation Period,ಮೌಲ್ಯಮಾಪನ ಅವಧಿ
Volunteer Skill,ಸ್ವಯಂಸೇವಕ ನೈಪುಣ್ಯ
Order Confirmation No,ಆರ್ಡರ್ ದೃಢೀಕರಣ ಇಲ್ಲ
POS,ಪಿಓಎಸ್
Self-Study,ಸ್ವ-ಅಧ್ಯಯನ
Above,ಮೇಲೆ
Action Doctype,ಆಕ್ಷನ್ ಡಾಕ್ಟೈಪ್
Allow Print Before Pay,ಪೇ ಮೊದಲು ಮುದ್ರಿಸಲು ಅನುಮತಿಸಿ
Select Items to Manufacture,ಉತ್ಪಾದನೆಗೆ ಐಟಂಗಳನ್ನು ಆಯ್ಕೆಮಾಡಿ
Leave Approver Name,ಅಪ್ರೋವರ್ ಹೆಸರನ್ನು ಬಿಡಿ
