DocType: Accounting Period,Period Name,期间名称
DocType: Loyalty Point Entry Redemption,Redemption Date,赎回日期
apps/erpnext/erpnext/accounts/page/bank_reconciliation/bank_reconciliation.py,This bank transaction is already fully reconciled,此银行交易已完全已对帐
DocType: Sales Invoice,Packing List,包装清单
apps/erpnext/erpnext/config/buying.py,Purchase Orders given to Suppliers.,采购给供应商的订单。
DocType: Contract,Contract Template,合同模板
DocType: Clinical Procedure Item,Transfer Qty,转移数量
DocType: Purchase Invoice Item,Asset Location,资产位置
apps/erpnext/erpnext/projects/report/billing_summary.py, From Date can not be greater than To Date,从日期不能大于到日期
DocType: Tax Rule,Shipping Zipcode,运输邮编
apps/erpnext/erpnext/setup/setup_wizard/data/industry_type.py,Publishing,出版
DocType: Accounts Settings,Report Settings,报表设置
DocType: Activity Cost,Projects User,工程用户
apps/erpnext/erpnext/stock/report/itemwise_recommended_reorder_level/itemwise_recommended_reorder_level.py,Consumed,已消耗
apps/erpnext/erpnext/accounts/doctype/payment_reconciliation/payment_reconciliation.py,{0}: {1} not found in Invoice Details table,{0}：{1}在发票信息表中无法找到
DocType: Asset,Asset Owner Company,资产所有者公司
DocType: Company,Round Off Cost Center,四舍五入成本中心
apps/erpnext/erpnext/selling/doctype/sales_order/sales_order.py,Maintenance Visit {0} must be cancelled before cancelling this Sales Order,取消此销售订单前必须取消维护访问{0}
apps/erpnext/erpnext/templates/pages/help.html,What do you need help with?,你有什么需要帮助的？
DocType: Employee Checkin,Shift Start,转移开始
apps/erpnext/erpnext/manufacturing/doctype/job_card/job_card.js,Material Transfer,材料转移
DocType: Cost Center,Cost Center Number,成本中心编号
apps/erpnext/erpnext/buying/doctype/supplier_scorecard_variable/supplier_scorecard_variable.py,Could not find path for ,找不到路径
apps/erpnext/erpnext/accounts/report/trial_balance/trial_balance.py,Opening (Dr),期初（借方）
DocType: Compensatory Leave Request,Work End Date,工作结束日期
DocType: Loan,Applicant,申请人
apps/erpnext/erpnext/controllers/sales_and_purchase_return.py,Posting timestamp must be after {0},记帐时间必须晚于{0}
,GST Itemised Purchase Register,GST物料采购台帐
apps/erpnext/erpnext/regional/italy/setup.py,Applicable if the company is a limited liability company,适用于公司是有限责任公司的情况
DocType: Course Scheduling Tool,Reschedule,改期
DocType: Item Tax Template,Item Tax Template,物品税模板
DocType: Loan,Total Interest Payable,合计应付利息
apps/erpnext/erpnext/buying/doctype/purchase_order/purchase_order.js,Reason for Hold,保留原因
DocType: Landed Cost Taxes and Charges,Landed Cost Taxes and Charges,到岸成本税费
apps/erpnext/erpnext/regional/italy/utils.py,Row {0}: Please set at Tax Exemption Reason in Sales Taxes and Charges,行{0}：请设置销售税和费用中的免税原因
DocType: Quality Goal Objective,Quality Goal Objective,质量目标
DocType: Work Order Operation,Actual Start Time,实际开始时间
DocType: Purchase Invoice Item,Deferred Expense Account,递延费用帐户
DocType: BOM Operation,Operation Time,操作时间
apps/erpnext/erpnext/manufacturing/doctype/work_order/work_order.js,Finish,完成
apps/erpnext/erpnext/hr/doctype/salary_structure/salary_structure.js,Base,基础
DocType: Timesheet,Total Billed Hours,帐单总时间
DocType: Pricing Rule Item Group,Pricing Rule Item Group,定价规则项目组
DocType: Travel Itinerary,Travel To,目的地
apps/erpnext/erpnext/config/accounting.py,Exchange Rate Revaluation master.,汇率重估主数据。
apps/erpnext/erpnext/selling/page/point_of_sale/point_of_sale.js,Write Off Amount,销帐金额
DocType: Leave Block List Allow,Allow User,允许用户
DocType: Journal Entry,Bill No,账单编号
DocType: Company,Gain/Loss Account on Asset Disposal,资产处置收益/损失科目
DocType: Vehicle Log,Service Details,服务细节
DocType: Vehicle Log,Service Details,服务细节
DocType: Lab Test Template,Grouped,分组
DocType: Selling Settings,Delivery Note Required,销售出货单是必须项
apps/erpnext/erpnext/hr/doctype/payroll_entry/payroll_entry.py,Submitting Salary Slips...,提交工资单......
DocType: Bank Guarantee,Bank Guarantee Number,银行担保编号
DocType: Bank Guarantee,Bank Guarantee Number,银行担保编号
DocType: Assessment Criteria,Assessment Criteria,评估标准
DocType: BOM Item,Basic Rate (Company Currency),库存评估价（公司货币）
apps/erpnext/erpnext/accounts/doctype/account/account.py,"While creating account for child Company {0}, parent account {1} not found. Please create the parent account in corresponding COA",在为子公司{0}创建帐户时，找不到父帐户{1}。请在相应的COA中创建父帐户
apps/erpnext/erpnext/support/doctype/issue/issue.js,Split Issue,拆分问题
DocType: Student Attendance,Student Attendance,学生出勤
apps/erpnext/erpnext/regional/report/electronic_invoice_register/electronic_invoice_register.js,No data to export,没有要导出的数据
DocType: Sales Invoice Timesheet,Time Sheet,时间表
DocType: Manufacturing Settings,Backflush Raw Materials Based On,基于..进行原物料倒扣账
DocType: Sales Invoice,Port Code,港口代码
apps/erpnext/erpnext/buying/doctype/purchase_order/purchase_order.js,Reserve Warehouse,储备仓库
DocType: Lead,Lead is an Organization,商机是一个组织
DocType: Guardian Interest,Interest,利息
apps/erpnext/erpnext/accounts/doctype/tax_category/tax_category_dashboard.py,Pre Sales,售前
DocType: Instructor Log,Other Details,其他详细信息
apps/erpnext/erpnext/accounts/report/delivered_items_to_be_billed/delivered_items_to_be_billed.py,Suplier,供应商
apps/erpnext/erpnext/stock/report/delayed_item_report/delayed_item_report.py,Actual Delivery Date,实际交货日期
DocType: Lab Test,Test Template,测试模板
DocType: Restaurant Order Entry Item,Served,曾任
apps/erpnext/erpnext/config/non_profit.py,Chapter information.,章节信息。
DocType: Account,Accounts,会计
DocType: Vehicle,Odometer Value (Last),里程表值（最后）
apps/erpnext/erpnext/config/buying.py,Templates of supplier scorecard criteria.,供应商计分卡标准模板。
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py,Marketing,市场营销
DocType: Sales Invoice,Redeem Loyalty Points,兑换忠诚度积分
apps/erpnext/erpnext/accounts/doctype/payment_request/payment_request.py,Payment Entry is already created,付款凭证已创建
DocType: Request for Quotation,Get Suppliers,获取供应商
DocType: Purchase Receipt Item Supplied,Current Stock,当前库存
DocType: Pricing Rule,System will notify to increase or decrease quantity or amount ,系统将通知增加或减少数量或金额
apps/erpnext/erpnext/controllers/accounts_controller.py,Row #{0}: Asset {1} does not linked to Item {2},行＃{0}：资产{1}不挂项目{2}
apps/erpnext/erpnext/hr/doctype/salary_structure/salary_structure.js,Preview Salary Slip,预览工资单
apps/erpnext/erpnext/utilities/activation.py,Create Timesheet,创建时间表
apps/erpnext/erpnext/accounts/doctype/budget/budget.py,Account {0} has been entered multiple times,科目{0}已多次输入
DocType: Account,Expenses Included In Valuation,计入库存评估价的费用科目
apps/erpnext/erpnext/hooks.py,Purchase Invoices,购买发票
apps/erpnext/erpnext/non_profit/doctype/membership/membership.py,You can only renew if your membership expires within 30 days,如果您的会员资格在30天内到期，您只能续订
DocType: Shopping Cart Settings,Show Stock Availability,显示库存可用性
apps/erpnext/erpnext/assets/doctype/asset/asset.py,Set {0} in asset category {1} or company {2},在资产类别{1}或公司{2}中设置{0}
apps/erpnext/erpnext/regional/doctype/gstr_3b_report/gstr_3b_report.html,As per section 17(5),根据第17（5）条
DocType: Location,Longitude,经度
,Absent Student Report,缺勤学生报表
DocType: Crop,Crop Spacing UOM,裁剪间隔UOM
DocType: Loyalty Program,Single Tier Program,单层计划
DocType: Accounts Settings,Only select if you have setup Cash Flow Mapper documents,只有在设置了“现金流量映射器”文档时才能选择
apps/erpnext/erpnext/regional/report/eway_bill/eway_bill.py,From Address 1,来自地址1
DocType: Email Digest,Next email will be sent on:,下次邮件发送时间：
DocType: Supplier Scorecard,Per Week,每个星期
apps/erpnext/erpnext/stock/doctype/item/item.py,Item has variants.,物料有变体。
apps/erpnext/erpnext/education/report/assessment_plan_status/assessment_plan_status.py,Total Student,学生总数
apps/erpnext/erpnext/stock/doctype/item_price/item_price.py,Item {0} not found,物料{0}未找到
DocType: Bin,Stock Value,库存值
apps/erpnext/erpnext/accounts/doctype/pricing_rule/pricing_rule.py,Duplicate {0} found in the table,表中找到重复的{0}
apps/erpnext/erpnext/accounts/doctype/account/account.py,Company {0} does not exist,公司{0}不存在
apps/erpnext/erpnext/healthcare/doctype/patient_appointment/patient_appointment.py,{0} has fee validity till {1},{0}有效期至{1}
apps/erpnext/erpnext/healthcare/page/appointment_analytic/appointment_analytic.js,Tree Type,树类型
DocType: Leave Control Panel,Employee Grade (optional),员工等级（可选）
DocType: Pricing Rule,Apply Rule On Other,在其他方面适用规则
DocType: BOM Explosion Item,Qty Consumed Per Unit,每单位消耗数量
DocType: Shift Type,Late Entry Grace Period,延迟入境宽限期
DocType: GST Account,IGST Account,IGST科目
DocType: Serial No,Warranty Expiry Date,保修到期日
DocType: Material Request Item,Quantity and Warehouse,数量和仓库
DocType: Sales Invoice,Commission Rate (%),佣金率（％）
apps/erpnext/erpnext/education/doctype/student_group/student_group.py,Please select Program,请选择程序
apps/erpnext/erpnext/education/doctype/student_group/student_group.py,Please select Program,请选择程序
DocType: Project,Estimated Cost,估计成本
DocType: Supplier Quotation,Link to material requests,链接到物料申请
apps/erpnext/erpnext/public/js/hub/pages/Publish.vue,Publish,发布
apps/erpnext/erpnext/setup/setup_wizard/data/industry_type.py,Aerospace,航天
,Fichier des Ecritures Comptables [FEC],Fichier des Ecritures Comptables [FEC]
DocType: Journal Entry,Credit Card Entry,信用卡分录
apps/erpnext/erpnext/config/selling.py,Invoices for Costumers.,客户发票。
apps/erpnext/erpnext/stock/report/stock_balance/stock_balance.py,In Value,金额
DocType: Asset Settings,Depreciation Options,折旧选项
apps/erpnext/erpnext/assets/doctype/asset_movement/asset_movement.py,Either location or employee must be required,必须要求地点或员工
apps/erpnext/erpnext/hr/doctype/job_offer/job_offer.js,Create Employee,创建员工
apps/erpnext/erpnext/utilities/transaction_base.py,Invalid Posting Time,记帐时间无效
DocType: Salary Component,Condition and Formula,条件和公式
DocType: Lead,Campaign Name,活动名称
apps/erpnext/erpnext/setup/default_energy_point_rules.py,On Task Completion,完成任务
apps/erpnext/erpnext/hr/doctype/compensatory_leave_request/compensatory_leave_request.py,There is no leave period in between {0} and {1},{0}和{1}之间没有休假期限
DocType: Fee Validity,Healthcare Practitioner,医疗从业者
DocType: Hotel Room,Capacity,容量
DocType: Travel Request Costing,Expense Type,费用类型
DocType: Selling Settings,Close Opportunity After Days,几天后关闭机会
,Reserved,保留的
DocType: Driver,License Details,许可证信息
apps/erpnext/erpnext/accounts/doctype/share_transfer/share_transfer.py,The field From Shareholder cannot be blank,来自股东的字段不能为空
DocType: Leave Allocation,Allocation,分配
DocType: Purchase Order,Supply Raw Materials,供应原材料
apps/erpnext/erpnext/hr/doctype/salary_structure/salary_structure.py,Structures have been assigned successfully,已成功分配结构
apps/erpnext/erpnext/config/getting_started.py,Create Opening Sales and Purchase Invoices,创建开仓销售和采购发票
apps/erpnext/erpnext/accounts/doctype/account/chart_of_accounts/verified/standard_chart_of_accounts_with_account_number.py,Current Assets,流动资产
apps/erpnext/erpnext/stock/doctype/stock_entry/stock_entry.py,{0} is not a stock Item,{0}不是一个库存物料
apps/erpnext/erpnext/hr/notification/training_feedback/training_feedback.html,Please share your feedback to the training by clicking on 'Training Feedback' and then 'New',请点击“培训反馈”，再点击“新建”来分享你的培训反馈
DocType: Call Log,Caller Information,来电者信息
DocType: Mode of Payment Account,Default Account,默认科目
apps/erpnext/erpnext/stock/doctype/item/item.py,Please select Sample Retention Warehouse in Stock Settings first,请先在库存设置中选择留存样品仓库
apps/erpnext/erpnext/accounts/doctype/loyalty_program/loyalty_program.js,Please select the Multiple Tier Program type for more than one collection rules.,请为多个收集规则选择多层程序类型。
DocType: Payment Entry,Received Amount (Company Currency),收到的款项（公司币种）
apps/erpnext/erpnext/erpnext_integrations/doctype/gocardless_settings/gocardless_settings.py,Payment Cancelled. Please check your GoCardless Account for more details,付款已取消。请检查您的GoCardless科目以了解更多信息
DocType: Work Order,Skip Material Transfer to WIP Warehouse,跳过物料转移到WIP仓库
DocType: Contract,N/A,N / A
DocType: Task Type,Task Type,任务类型
DocType: Topic,Topic Content,主题内容
DocType: Delivery Settings,Send with Attachment,发送附件
DocType: Service Level,Priorities,优先级
apps/erpnext/erpnext/hr/doctype/holiday_list/holiday_list.py,Please select weekly off day,请选择每周休息日
DocType: Inpatient Record,O Negative,O负面
DocType: Work Order Operation,Planned End Time,计划结束时间
DocType: POS Profile,Only show Items from these Item Groups,仅显示这些项目组中的项目
apps/erpnext/erpnext/accounts/doctype/account/account.py,Account with existing transaction cannot be converted to ledger,有交易的科目不能被转换为分类账
apps/erpnext/erpnext/config/non_profit.py,Memebership Type Details,会员类型详细信息
DocType: Delivery Note,Customer's Purchase Order No,客户的采购订单号
DocType: Clinical Procedure,Consume Stock,消费股票
DocType: Budget,Budget Against,预算对象
apps/erpnext/erpnext/accounts/doctype/sales_invoice/sales_invoice.js,Lost Reasons,失去的原因
apps/erpnext/erpnext/stock/reorder_item.py,Auto Material Requests Generated,已自动生成材料需求
DocType: Shift Type,Working hours below which Half Day is marked. (Zero to disable),工作时间低于标记的半天。 （零禁用）
DocType: Job Card,Total Completed Qty,完成总数量
DocType: HR Settings,Auto Leave Encashment,自动离开兑现
apps/erpnext/erpnext/buying/doctype/supplier_quotation/supplier_quotation_list.js,Lost,遗失
apps/erpnext/erpnext/accounts/doctype/journal_entry/journal_entry.py,You can not enter current voucher in 'Against Journal Entry' column,您不能在“对日记账分录”列中选择此凭证。
DocType: Employee Benefit Application Detail,Max Benefit Amount,最大福利金额
apps/erpnext/erpnext/stock/page/stock_balance/stock_balance.js,Reserved for manufacturing,预留用于制造
DocType: Soil Texture,Sand,砂
apps/erpnext/erpnext/setup/setup_wizard/data/industry_type.py,Energy,能源
DocType: Opportunity,Opportunity From,机会来源
apps/erpnext/erpnext/accounts/doctype/sales_invoice/sales_invoice.py,Row {0}: {1} Serial numbers required for Item {2}. You have provided {3}.,{1}请为第{0}行的物料{2}指定序列号。你已经提供{3}。
apps/erpnext/erpnext/controllers/accounts_controller.py,Cannot set quantity less than delivered quantity,无法设定数量小于交货数量
apps/erpnext/erpnext/restaurant/doctype/restaurant_order_entry/restaurant_order_entry.py,Please select a table,请选择一张桌子
DocType: BOM,Website Specifications,网站规格
apps/erpnext/erpnext/accounts/doctype/account/account.py,Please add the account to root level Company - %s,请将帐户添加到根级别公司 - ％s
DocType: Content Activity,Content Activity,内容活动
DocType: Special Test Items,Particulars,细节
DocType: Employee Checkin,Employee Checkin,员工签到
apps/erpnext/erpnext/hr/doctype/leave_application/leave_application.py,{0}: From {0} of type {1},{0}：申请者{0} 休假类型{1}
apps/erpnext/erpnext/config/crm.py,Sends Mails to lead or contact based on a Campaign schedule,根据Campaign计划发送邮件以进行引导或联系
apps/erpnext/erpnext/controllers/selling_controller.py,Row {0}: Conversion Factor is mandatory,行{0}：转换系数必填
DocType: Student,A+,A +
apps/erpnext/erpnext/accounts/doctype/pricing_rule/utils.py,"Multiple Price Rules exists with same criteria, please resolve conflict by assigning priority. Price Rules: {0}",海报价格规则，同样的标准存在，请分配优先级解决冲突。价格规则：{0}
DocType: Exchange Rate Revaluation,Exchange Rate Revaluation Account,汇率重估科目
apps/erpnext/erpnext/accounts/doctype/pricing_rule/pricing_rule.py,Min Amt can not be greater than Max Amt,Min Amt不能大于Max Amt
apps/erpnext/erpnext/manufacturing/doctype/bom/bom.py,Cannot deactivate or cancel BOM as it is linked with other BOMs,无法停用或取消BOM，因为它被其他BOM引用。
apps/erpnext/erpnext/accounts/doctype/exchange_rate_revaluation/exchange_rate_revaluation.js,Please select Company and Posting Date to getting entries,请选择公司和发布日期以获取条目
DocType: Asset,Maintenance,维护
apps/erpnext/erpnext/healthcare/doctype/lab_test/lab_test.js,Get from Patient Encounter,从患者遭遇中获取
DocType: Subscriber,Subscriber,订户
DocType: Item Attribute Value,Item Attribute Value,物料属性值
apps/erpnext/erpnext/setup/doctype/currency_exchange/currency_exchange.py,Currency Exchange must be applicable for Buying or for Selling.,外币汇率必须适用于买入或卖出。
apps/erpnext/erpnext/hr/doctype/leave_ledger_entry/leave_ledger_entry.py,Only expired allocation can be cancelled,只能取消过期分配
DocType: Item,Maximum sample quantity that can be retained,可以保留的最大样品数量
apps/erpnext/erpnext/stock/doctype/stock_entry/stock_entry.py,Row {0}# Item {1} cannot be transferred more than {2} against Purchase Order {3},对于采购订单{3}，行{0}＃项目{1}不能超过{2}
apps/erpnext/erpnext/config/crm.py,Sales campaigns.,促销活动。
apps/erpnext/erpnext/public/js/call_popup/call_popup.js,Unknown Caller,未知的来电者
DocType: Sales Taxes and Charges Template,"Standard tax template that can be applied to all Sales Transactions. This template can contain list of tax heads and also other expense / income heads like ""Shipping"", ""Insurance"", ""Handling"" etc.

#### Note

The tax rate you define here will be the standard tax rate for all **Items**. If there are **Items** that have different rates, they must be added in the **Item Tax** table in the **Item** master.

#### Description of Columns

1. Calculation Type: 
    - This can be on **Net Total** (that is the sum of basic amount).
    - **On Previous Row Total / Amount** (for cumulative taxes or charges). If you select this option, the tax will be applied as a percentage of the previous row (in the tax table) amount or total.
    - **Actual** (as mentioned).
2. Account Head: The Account ledger under which this tax will be booked
3. Cost Center: If the tax / charge is an income (like shipping) or expense it needs to be booked against a Cost Center.
4. Description: Description of the tax (that will be printed in invoices / quotes).
5. Rate: Tax rate.
6. Amount: Tax amount.
7. Total: Cumulative total to this point.
8. Enter Row: If based on ""Previous Row Total"" you can select the row number which will be taken as a base for this calculation (default is the previous row).
9. Is this Tax included in Basic Rate?: If you check this, it means that this tax will not be shown below the item table, but will be included in the Basic Rate in your main item table. This is useful where you want give a flat price (inclusive of all taxes) price to customers.","标准税项模板可应用到所有销售交易中。此模板可以包含多个税项及其他的开支/收益项(例如“运费”，“保险费”，“处理费”等)。
###需要注意的是，这里指定的是适用于整张单据所有物料的标准税费率。如果某些物料的税费率与这里指定的标准税费率，则您必须在“物料主数据”内的“物料税项”内添加。
####列说明
1. 计算类型：-“净总计”(即基本总额)；-“基于前一行的总计/金额”(用于累计税费率)，选择此项则税费将基于前一行的总计/金额按百分比计算；-“实际”(按实际输入)。
2. 科目： 此税费对应的会计分类帐。
3. 成本中心： 如果此税费为收益或支出，那么必须指定一个成本中心。
4. 说明：税费项的说明，会被用于如发票/报价的打印中。
5. 税率：税项的比率
6. 金额：税项金额
7. 总计：到这里为止的累计
8. 输入行： 如果选择了“基于前一行的总计/金额”，你可以选择此税项基于的行数(默认为前一行)。
9. 价内税？：勾选此项则意味着此税项不会再单独出现在销售订单物料项清单下方，此税费率会体现再物料售价中。如果您需要向客户提供打包价而不是详细价格(即包含所有税费)，此选项就会很有用。"
DocType: Quality Action,Corrective,纠正的
DocType: Employee,Bank A/C No.,银行账号
DocType: Quality Inspection Reading,Reading 7,检验结果7
DocType: Purchase Invoice,UIN Holders,UIN持有人
apps/erpnext/erpnext/stock/doctype/material_request/material_request_list.js,Partially Ordered,偏序
DocType: Lab Test,Lab Test,实验室测试
DocType: Student Report Generation Tool,Student Report Generation Tool,学生报表生成工具
DocType: Healthcare Schedule Time Slot,Healthcare Schedule Time Slot,医疗保健计划时间槽
apps/erpnext/erpnext/regional/report/eway_bill/eway_bill.py,Doc Name,文档名称
DocType: Expense Claim Detail,Expense Claim Type,报销类型
DocType: Shopping Cart Settings,Default settings for Shopping Cart,购物车的默认设置
apps/erpnext/erpnext/public/js/hub/pages/Item.vue,Save Item,保存项目
apps/erpnext/erpnext/accounts/page/bank_reconciliation/bank_transaction_row.html,New Expense,新费用
apps/erpnext/erpnext/selling/doctype/sales_order/sales_order.js,Ignore Existing Ordered Qty,忽略现有的订购数量
apps/erpnext/erpnext/healthcare/doctype/practitioner_schedule/practitioner_schedule.js,Add Timeslots,添加时间空挡
apps/erpnext/erpnext/stock/__init__.py,Please set Account in Warehouse {0} or Default Inventory Account in Company {1},请在仓库{0}中设置帐户或在公司{1}中设置默认库存帐户
apps/erpnext/erpnext/assets/doctype/asset/depreciation.py,Asset scrapped via Journal Entry {0},通过资产手工凭证报废{0}
DocType: Loan,Interest Income Account,利息收入科目
DocType: Bank Transaction,Unreconciled,未调节
DocType: Shift Type,Allow check-out after shift end time (in minutes),允许在班次结束后退房（以分钟为单位）
apps/erpnext/erpnext/hr/doctype/salary_structure/salary_structure.py,Max benefits should be greater than zero to dispense benefits,最大的好处应该大于零来分配好处
apps/erpnext/erpnext/non_profit/doctype/grant_application/grant_application.py,Review Invitation Sent,审核邀请已发送
DocType: Shift Assignment,Shift Assignment,班别分配
DocType: Employee Transfer Property,Employee Transfer Property,员工变动属性
apps/erpnext/erpnext/accounts/doctype/share_transfer/share_transfer.py,The field Equity/Liability Account cannot be blank,字段权益/责任帐户不能为空
apps/erpnext/erpnext/accounts/doctype/cashier_closing/cashier_closing.py,From Time Should Be Less Than To Time,从时间应该少于去时间
apps/erpnext/erpnext/setup/setup_wizard/data/industry_type.py,Biotechnology,生物技术
apps/erpnext/erpnext/stock/doctype/stock_entry/stock_entry.py,"Item {0} (Serial No: {1}) cannot be consumed as is reserverd\
						 to fullfill Sales Order {2}.",物料{0}（序列号：{1}）无法使用，因为已被保留 \用来完成销售订单{2}。
apps/erpnext/erpnext/accounts/doctype/account/chart_of_accounts/verified/standard_chart_of_accounts_with_account_number.py,Office Maintenance Expenses,办公维护费用
,BOM Explorer,BOM Explorer
apps/erpnext/erpnext/utilities/user_progress.py,Go to ,转到
DocType: Shopify Settings,Update Price from Shopify To ERPNext Price List,将Shopify更新到ERPNext价格清单
apps/erpnext/erpnext/config/help.py,Setting up Email Account,设置电子邮件科目
apps/erpnext/erpnext/manufacturing/doctype/production_plan/production_plan.js,Please enter Item first,请先输入物料
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py,Needs Analysis,需求分析
DocType: Asset Repair,Downtime,停工期
DocType: Account,Liability,负债
apps/erpnext/erpnext/hr/doctype/expense_claim/expense_claim.py,Sanctioned Amount cannot be greater than Claim Amount in Row {0}.,核准金额不能大于行{0}的申报额。
apps/erpnext/erpnext/education/report/course_wise_assessment_report/course_wise_assessment_report.html,Academic Term: ,学术期限：
DocType: Salary Detail,Do not include in total,不包括在总金额内
DocType: Quiz Activity,Quiz Activity,测验活动
DocType: Company,Default Cost of Goods Sold Account,默认销货成本科目
apps/erpnext/erpnext/stock/doctype/stock_entry/stock_entry.py,Sample quantity {0} cannot be more than received quantity {1},采样数量{0}不能超过接收数量{1}
apps/erpnext/erpnext/stock/get_item_details.py,Price List not selected,价格列表没有选择
DocType: Employee,Family Background,家庭背景
DocType: Request for Quotation Supplier,Send Email,发送电子邮件
DocType: Quality Goal,Weekday,平日
apps/erpnext/erpnext/stock/doctype/item/item.py,Warning: Invalid Attachment {0},警告：无效的附件{0}
DocType: Item,Max Sample Quantity,最大样品量
apps/erpnext/erpnext/accounts/doctype/journal_entry/journal_entry.py,No Permission,无此权限
DocType: Contract Fulfilment Checklist,Contract Fulfilment Checklist,合同履行清单
DocType: Vital Signs,Heart Rate / Pulse,心率/脉搏
DocType: Supplier,Default Bank Account,默认银行科目
apps/erpnext/erpnext/accounts/report/general_ledger/general_ledger.py,"To filter based on Party, select Party Type first",如果基于往来单位过滤，请先选择往来单位类型
apps/erpnext/erpnext/controllers/sales_and_purchase_return.py,'Update Stock' can not be checked because items are not delivered via {0},因为物料还未通过{0）交付，“库存更新'不能被勾选
DocType: Vehicle,Acquisition Date,采集日期
apps/erpnext/erpnext/regional/italy/utils.py,Nos,Nos
DocType: Item,Items with higher weightage will be shown higher,具有较高权重的物料会优先显示在清单的上面
apps/erpnext/erpnext/healthcare/doctype/inpatient_record/inpatient_record_dashboard.py,Lab Tests and Vital Signs,实验室测试和重要标志
DocType: Bank Reconciliation Detail,Bank Reconciliation Detail,银行对帐信息
apps/erpnext/erpnext/controllers/accounts_controller.py,Row #{0}: Asset {1} must be submitted,行＃{0}：资产{1}必须提交
apps/erpnext/erpnext/hr/doctype/leave_control_panel/leave_control_panel.py,No employee found,未找到任何员工
DocType: Supplier Quotation,Stopped,已停止
DocType: Item,If subcontracted to a vendor,针对外包给供应商的情况
apps/erpnext/erpnext/education/doctype/student_group/student_group.js,Student Group is already updated.,学生组已经更新。
apps/erpnext/erpnext/education/doctype/student_group/student_group.js,Student Group is already updated.,学生组已经更新。
apps/erpnext/erpnext/config/projects.py,Project Update.,项目更新。
DocType: SMS Center,All Customer Contact,所有客户联系方式
DocType: Location,Tree Details,树详细信息
DocType: Marketplace Settings,Registered,已注册
DocType: Training Event,Event Status,状态
DocType: Volunteer,Availability Timeslot,可用时间段
apps/erpnext/erpnext/config/support.py,Support Analytics,客户支持分析
apps/erpnext/erpnext/accounts/doctype/payment_request/payment_request.py,"If you have any questions, please get back to us.",如果您有任何疑问，请再次与我们联系。
DocType: Cash Flow Mapper,Cash Flow Mapper,现金流量映射器
DocType: Item,Website Warehouse,网站仓库
DocType: Payment Reconciliation,Minimum Invoice Amount,最小费用清单金额
apps/erpnext/erpnext/accounts/doctype/gl_entry/gl_entry.py,{0} {1}: Cost Center {2} does not belong to Company {3},{0} {1}：成本中心{2}不属于公司{3}
apps/erpnext/erpnext/www/lms/program.py,Program {0} does not exist.,程序{0}不存在。
apps/erpnext/erpnext/utilities/user_progress.py,Upload your letter head (Keep it web friendly as 900px by 100px),上传你的信头（保持网页友好，900px乘100px）
apps/erpnext/erpnext/accounts/doctype/gl_entry/gl_entry.py,{0} {1}: Account {2} cannot be a Group,{0} {1}科目{2}不能是一个组
apps/erpnext/erpnext/accounts/doctype/sales_invoice/sales_invoice.py,Timesheet {0} is already completed or cancelled,时间表{0}已完成或已取消
DocType: QuickBooks Migrator,QuickBooks Migrator,QuickBooks Migrator
apps/erpnext/erpnext/templates/pages/projects.html,No tasks,没有任务
apps/erpnext/erpnext/healthcare/doctype/patient_appointment/patient_appointment.py,Sales Invoice {0} created as paid,销售费用清单{0}已创建为已付款
DocType: Item Variant Settings,Copy Fields to Variant,将字段复制到变量
DocType: Asset,Opening Accumulated Depreciation,期初累计折旧
apps/erpnext/erpnext/hr/doctype/appraisal/appraisal.js,Score must be less than or equal to 5,得分必须小于或等于5
DocType: Program Enrollment Tool,Program Enrollment Tool,计划注册工具
apps/erpnext/erpnext/config/accounting.py,C-Form records,C-表记录
apps/erpnext/erpnext/accounts/doctype/share_transfer/share_transfer.py,The shares already exist,股份已经存在
apps/erpnext/erpnext/config/help.py,Customer and Supplier,客户和供应商
DocType: Email Digest,Email Digest Settings,邮件摘要设置
apps/erpnext/erpnext/accounts/doctype/payment_request/payment_request.py,Thank you for your business!,感谢您的业务！
apps/erpnext/erpnext/config/support.py,Support queries from customers.,回应客户咨询。
DocType: Employee Property History,Employee Property History,员工属性历史
apps/erpnext/erpnext/stock/doctype/item/item.py,Variant Based On cannot be changed,Variant Based On无法更改
DocType: Setup Progress Action,Action Doctype,行动的文档类型
DocType: HR Settings,Retirement Age,退休年龄
DocType: Bin,Moving Average Rate,移动平均价格
DocType: Share Transfer,To Shareholder,给股东
apps/erpnext/erpnext/accounts/doctype/journal_entry/journal_entry.py,{0} against Bill {1} dated {2},{0}对日期为{2}的账单{1}
apps/erpnext/erpnext/regional/report/eway_bill/eway_bill.py,From State,来自州
apps/erpnext/erpnext/utilities/user_progress.py,Setup Institution,设置机构
apps/erpnext/erpnext/hr/doctype/leave_period/leave_period.py,Allocating leaves...,分配假期......
DocType: Program Enrollment,Vehicle/Bus Number,车辆/巴士号码
apps/erpnext/erpnext/public/js/call_popup/call_popup.js,Create New Contact,创建新联系人
apps/erpnext/erpnext/education/doctype/course/course.js,Course Schedule,课程表
DocType: GSTR 3B Report,GSTR 3B Report,GSTR 3B报告
DocType: Request for Quotation Supplier,Quote Status,报价状态
DocType: GoCardless Settings,Webhooks Secret,Webhooks的秘密
