DocType: Accounting Period,Period Name,Nom de période
apps/erpnext/erpnext/accounts/utils.py,{0} '{1}' not in Fiscal Year {2},{0} '{1}' n'est pas dans l’Exercice {2}
DocType: Buying Settings,Settings for Buying Module,Paramètres du Module Achat
apps/erpnext/erpnext/assets/doctype/asset_movement/asset_movement.py,Asset {0} does not belong to company {1},L'actif {0} ne fait pas partie à la société {1}
apps/erpnext/erpnext/stock/doctype/landed_cost_voucher/landed_cost_voucher.js,Please enter Purchase Receipt first,Veuillez d’abord entrer un Reçu d'Achat
DocType: Buying Settings,Supplier Naming By,Nomenclature de Fournisseur Par
DocType: Activity Type,Default Costing Rate,Coût de Revient par Défaut
apps/erpnext/erpnext/accounts/doctype/sales_invoice/sales_invoice.js,Maintenance Schedule,Échéancier d'Entretien
apps/erpnext/erpnext/accounts/doctype/pricing_rule/pricing_rule.js,"Then Pricing Rules are filtered out based on Customer, Customer Group, Territory, Supplier, Supplier Type, Campaign, Sales Partner etc.","Les Règles de Tarification sont ensuite filtrées en fonction des Clients, des Groupes de Clients, des Régions, des Fournisseurs, des Groupes de Fournisseurs, des Campagnes, des Partenaires Commerciaux, etc."
DocType: Employee Promotion,Employee Promotion Details,Détails de la promotion des employés
apps/erpnext/erpnext/accounts/report/cash_flow/cash_flow.py,Net Change in Inventory,Variation Nette des Stocks
DocType: Employee,Passport Number,Numéro de Passeport
DocType: Invoice Discounting,Accounts Receivable Credit Account,Compte de crédit débiteur
apps/erpnext/erpnext/education/report/student_and_guardian_contact_details/student_and_guardian_contact_details.py,Relation with Guardian2,Relation avec Tuteur2
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py,Manager,Directeur
DocType: Payment Entry,Payment From / To,Paiement De / À
apps/erpnext/erpnext/accounts/report/budget_variance_report/budget_variance_report.js,From Fiscal Year,À partir de l&#39;année fiscale
apps/erpnext/erpnext/selling/doctype/customer/customer.py,New credit limit is less than current outstanding amount for the customer. Credit limit has to be atleast {0},Nouvelle limite de crédit est inférieure à l'encours actuel pour le client. Limite de crédit doit être au moins de {0}
apps/erpnext/erpnext/accounts/doctype/purchase_invoice/purchase_invoice.py,Please set account in Warehouse {0},Veuillez définir un compte dans l&#39;entrepôt {0}
apps/erpnext/erpnext/controllers/trends.py,'Based On' and 'Group By' can not be same,'Basé sur' et 'Groupé par' ne peuvent pas être identiques
DocType: Sales Person,Sales Person Targets,Objectifs des Commerciaux
DocType: GSTR 3B Report,December,décembre
DocType: Work Order Operation,In minutes,En Minutes
DocType: Production Plan,"If enabled, then system will create the material even if the raw materials are available","Si activé, le système créera le matériau, même si les matières premières sont disponibles."
apps/erpnext/erpnext/templates/pages/cart.html,See past quotations,Voir les citations passées
DocType: Issue,Resolution Date,Date de Résolution
DocType: Lab Test Template,Compound,Composé
DocType: Opportunity,Probability (%),Probabilité (%)
apps/erpnext/erpnext/patches/v11_0/add_default_dispatch_notification_template.py,Dispatch Notification,Notification d&#39;expédition
apps/erpnext/erpnext/hr/doctype/employee_promotion/employee_promotion.js,Select Property,Veuillez sélectionner la propriété
DocType: Course Activity,Course Activity,Activité de cours
DocType: Student Batch Name,Batch Name,Nom du Lot
DocType: Fee Validity,Max number of visit,Nombre maximum de visites
DocType: Accounting Dimension Detail,Mandatory For Profit and Loss Account,Compte de résultat obligatoire
,Hotel Room Occupancy,Occupation de la chambre d'hôtel
apps/erpnext/erpnext/accounts/doctype/sales_invoice/sales_invoice.py,Please set default Cash or Bank account in Mode of Payment {0},Veuillez définir un compte de Caisse ou de Banque par défaut pour le Mode de Paiement {0}
apps/erpnext/erpnext/education/doctype/student_applicant/student_applicant.js,Enroll,Inscrire
DocType: GST Settings,GST Settings,Paramètres GST
apps/erpnext/erpnext/accounts/doctype/pricing_rule/pricing_rule.py,Currency should be same as Price List Currency: {0},La devise doit être la même que la devise de la liste de prix: {0}
DocType: Selling Settings,Customer Naming By,Client Nommé par
DocType: Student Leave Application,Will show the student as Present in Student Monthly Attendance Report,Affichera l'étudiant comme Présent dans le Rapport Mensuel de Présence des Étudiants
DocType: Depreciation Schedule,Depreciation Amount,Montant d'Amortissement
apps/erpnext/erpnext/accounts/doctype/cost_center/cost_center.js,Convert to Group,Convertir en Groupe
DocType: Activity Cost,Activity Type,Type d&#39;activité
DocType: Request for Quotation,For individual supplier,Pour un fournisseur individuel
DocType: BOM Operation,Base Hour Rate(Company Currency),Taux Horaire de Base (Devise de la Société)
,Qty To Be Billed,Qté à facturer
apps/erpnext/erpnext/stock/report/supplier_wise_sales_analytics/supplier_wise_sales_analytics.py,Delivered Amount,Montant Livré
DocType: Coupon Code,Gift Card,Carte cadeau
apps/erpnext/erpnext/manufacturing/doctype/production_plan/production_plan.js,Reserved Qty for Production: Raw materials quantity to make manufacturing items.,Qté réservée à la production: quantité de matières premières permettant de fabriquer des articles de fabrication.
DocType: Loyalty Point Entry Redemption,Redemption Date,Date de l'échange
apps/erpnext/erpnext/accounts/page/bank_reconciliation/bank_reconciliation.py,This bank transaction is already fully reconciled,Cette transaction bancaire est déjà totalement réconciliée
DocType: Sales Invoice,Packing List,Liste de Colisage
apps/erpnext/erpnext/config/buying.py,Purchase Orders given to Suppliers.,Bons de Commande donnés aux Fournisseurs
DocType: Contract,Contract Template,Modèle de contrat
DocType: Clinical Procedure Item,Transfer Qty,Quantité de transfert
DocType: Purchase Invoice Item,Asset Location,Localisation de l'actif
apps/erpnext/erpnext/projects/report/billing_summary.py, From Date can not be greater than To Date,La date de début ne peut pas être supérieure à la date de fin
DocType: Tax Rule,Shipping Zipcode,Code postal d&#39;expédition
apps/erpnext/erpnext/setup/setup_wizard/data/industry_type.py,Publishing,Édition
DocType: Accounts Settings,Report Settings,Paramètres de rapport
DocType: Activity Cost,Projects User,Utilisateur/Intervenant Projets
apps/erpnext/erpnext/stock/report/itemwise_recommended_reorder_level/itemwise_recommended_reorder_level.py,Consumed,Consommé
apps/erpnext/erpnext/accounts/doctype/payment_reconciliation/payment_reconciliation.py,{0}: {1} not found in Invoice Details table,{0} : {1} introuvable dans la table de Détails de la Facture
DocType: Asset,Asset Owner Company,Société Propriétaire de l'Actif
DocType: Company,Round Off Cost Center,Centre de Coûts d’Arrondi
apps/erpnext/erpnext/selling/doctype/sales_order/sales_order.py,Maintenance Visit {0} must be cancelled before cancelling this Sales Order,La Visite d'Entretien {0} doit être annulée avant d'annuler cette Commande Client
apps/erpnext/erpnext/templates/pages/help.html,What do you need help with?,Avec quoi avez vous besoin d'aide ?
DocType: Employee Checkin,Shift Start,Début de quart
apps/erpnext/erpnext/manufacturing/doctype/job_card/job_card.js,Material Transfer,Transfert de Matériel
DocType: Cost Center,Cost Center Number,Numéro du centre de coûts
apps/erpnext/erpnext/buying/doctype/supplier_scorecard_variable/supplier_scorecard_variable.py,Could not find path for ,Impossible de trouver un chemin pour
apps/erpnext/erpnext/accounts/report/trial_balance/trial_balance.py,Opening (Dr),Ouverture (Dr)
DocType: Compensatory Leave Request,Work End Date,Date de fin du travail
DocType: Loan,Applicant,Candidat
apps/erpnext/erpnext/controllers/sales_and_purchase_return.py,Posting timestamp must be after {0},Horodatage de Publication doit être après {0}
,GST Itemised Purchase Register,Registre d'Achat Détaillé GST
apps/erpnext/erpnext/regional/italy/setup.py,Applicable if the company is a limited liability company,Applicable si la société est une société à responsabilité limitée
DocType: Course Scheduling Tool,Reschedule,Reporter
DocType: Item Tax Template,Item Tax Template,Modèle de taxe d&#39;article
DocType: Loan,Total Interest Payable,Total des Intérêts à Payer
apps/erpnext/erpnext/buying/doctype/purchase_order/purchase_order.js,Reason for Hold,Raison de tenir
DocType: Landed Cost Taxes and Charges,Landed Cost Taxes and Charges,Taxes et Frais du Coût au Débarquement
apps/erpnext/erpnext/regional/italy/utils.py,Row {0}: Please set at Tax Exemption Reason in Sales Taxes and Charges,Ligne {0}: Définissez le motif d&#39;exemption de taxe dans les taxes de vente et les frais.
DocType: Quality Goal Objective,Quality Goal Objective,Objectif de qualité Objectif
DocType: Work Order Operation,Actual Start Time,Heure de Début Réelle
DocType: Purchase Invoice Item,Deferred Expense Account,Compte de dépenses différées
DocType: BOM Operation,Operation Time,Heure de l'Opération
apps/erpnext/erpnext/manufacturing/doctype/work_order/work_order.js,Finish,Terminer
apps/erpnext/erpnext/hr/doctype/salary_structure/salary_structure.js,Base,Base
DocType: Timesheet,Total Billed Hours,Total des Heures Facturées
DocType: Pricing Rule Item Group,Pricing Rule Item Group,Groupe de postes de règle de tarification
DocType: Travel Itinerary,Travel To,Arrivée
apps/erpnext/erpnext/config/accounting.py,Exchange Rate Revaluation master.,Master de réévaluation du taux de change.
apps/erpnext/erpnext/selling/page/point_of_sale/point_of_sale.js,Write Off Amount,Montant de la Reprise
DocType: Leave Block List Allow,Allow User,Autoriser l'Utilisateur
DocType: Journal Entry,Bill No,Numéro de Facture
DocType: Company,Gain/Loss Account on Asset Disposal,Compte de Cessions des Immobilisations
DocType: Vehicle Log,Service Details,Détails du Service
DocType: Lab Test Template,Grouped,Groupé
DocType: Selling Settings,Delivery Note Required,Bon de Livraison Requis
apps/erpnext/erpnext/hr/doctype/payroll_entry/payroll_entry.py,Submitting Salary Slips...,Soumission des bulletins de salaire ...
DocType: Bank Guarantee,Bank Guarantee Number,Numéro de Garantie Bancaire
DocType: Assessment Criteria,Assessment Criteria,Critères d'Évaluation
DocType: BOM Item,Basic Rate (Company Currency),Taux de Base (Devise de la Société )
apps/erpnext/erpnext/accounts/doctype/account/account.py,"While creating account for child Company {0}, parent account {1} not found. Please create the parent account in corresponding COA","Lors de la création du compte pour la société enfant {0}, le compte parent {1} est introuvable. Veuillez créer le compte parent dans le COA correspondant."
apps/erpnext/erpnext/support/doctype/issue/issue.js,Split Issue,Diviser le ticket
DocType: Student Attendance,Student Attendance,Présence des Étudiants
apps/erpnext/erpnext/regional/report/electronic_invoice_register/electronic_invoice_register.js,No data to export,Aucune donnée à exporter
DocType: Sales Invoice Timesheet,Time Sheet,Feuille de Temps
DocType: Manufacturing Settings,Backflush Raw Materials Based On,Enregistrer les Matières Premières sur la Base de
DocType: Sales Invoice,Port Code,Code du port
apps/erpnext/erpnext/buying/doctype/purchase_order/purchase_order.js,Reserve Warehouse,Entrepôt de réserve
DocType: Lead,Lead is an Organization,Le prospect est une organisation
DocType: Guardian Interest,Interest,Intérêt
apps/erpnext/erpnext/accounts/doctype/tax_category/tax_category_dashboard.py,Pre Sales,Prévente
DocType: Instructor Log,Other Details,Autres Détails
apps/erpnext/erpnext/accounts/report/delivered_items_to_be_billed/delivered_items_to_be_billed.py,Suplier,Fournisseur
apps/erpnext/erpnext/stock/report/delayed_item_report/delayed_item_report.py,Actual Delivery Date,Date de livraison réelle
DocType: Lab Test,Test Template,Modèle de Test
DocType: Restaurant Order Entry Item,Served,Servi
apps/erpnext/erpnext/config/non_profit.py,Chapter information.,Informations sur le chapitre
DocType: Account,Accounts,Comptes
DocType: Vehicle,Odometer Value (Last),Valeur Compteur Kilométrique (Dernier)
apps/erpnext/erpnext/config/buying.py,Templates of supplier scorecard criteria.,Modèles de Critères de  Fiche d'Évaluation Fournisseur.
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py,Marketing,Marketing
DocType: Sales Invoice,Redeem Loyalty Points,Échanger des points de fidélité
apps/erpnext/erpnext/accounts/doctype/payment_request/payment_request.py,Payment Entry is already created,L’Écriture de Paiement est déjà créée
DocType: Request for Quotation,Get Suppliers,Obtenir des Fournisseurs
DocType: Purchase Receipt Item Supplied,Current Stock,Stock Actuel
DocType: Pricing Rule,System will notify to increase or decrease quantity or amount ,Le système notifiera d&#39;augmenter ou de diminuer la quantité ou le montant
apps/erpnext/erpnext/controllers/accounts_controller.py,Row #{0}: Asset {1} does not linked to Item {2},Ligne #{0} : L’Actif {1} n’est pas lié à l'Article {2}
apps/erpnext/erpnext/hr/doctype/salary_structure/salary_structure.js,Preview Salary Slip,Aperçu de la fiche de paie
apps/erpnext/erpnext/utilities/activation.py,Create Timesheet,Créer une feuille de temps
apps/erpnext/erpnext/accounts/doctype/budget/budget.py,Account {0} has been entered multiple times,Le compte {0} a été entré plusieurs fois
DocType: Account,Expenses Included In Valuation,Charges Incluses dans la Valorisation
apps/erpnext/erpnext/hooks.py,Purchase Invoices,Factures d&#39;achat
apps/erpnext/erpnext/non_profit/doctype/membership/membership.py,You can only renew if your membership expires within 30 days,Vous ne pouvez renouveler que si votre abonnement expire dans les 30 jours
DocType: Shopping Cart Settings,Show Stock Availability,Afficher la disponibilité du stock
apps/erpnext/erpnext/assets/doctype/asset/asset.py,Set {0} in asset category {1} or company {2},Définissez {0} dans la catégorie d&#39;actifs {1} ou la société {2}
apps/erpnext/erpnext/regional/doctype/gstr_3b_report/gstr_3b_report.html,As per section 17(5),Conformément à l&#39;article 17 (5)
DocType: Location,Longitude,Longitude
,Absent Student Report,Rapport des Absences
DocType: Crop,Crop Spacing UOM,UOM d&#39;espacement des cultures
DocType: Loyalty Program,Single Tier Program,Programme à échelon unique
DocType: Accounts Settings,Only select if you have setup Cash Flow Mapper documents,Ne sélectionner que si vous avez configuré des documents de mapping de trésorerie
apps/erpnext/erpnext/regional/report/eway_bill/eway_bill.py,From Address 1,Ligne d'addresse 1 (Origine)
DocType: Email Digest,Next email will be sent on:,Le prochain Email sera envoyé le :
DocType: Supplier Scorecard,Per Week,Par Semaine
apps/erpnext/erpnext/stock/doctype/item/item.py,Item has variants.,L'article a des variantes.
apps/erpnext/erpnext/education/report/assessment_plan_status/assessment_plan_status.py,Total Student,Total Étudiant
apps/erpnext/erpnext/stock/doctype/item_price/item_price.py,Item {0} not found,Article {0} introuvable
DocType: Bin,Stock Value,Valeur du Stock
apps/erpnext/erpnext/accounts/doctype/pricing_rule/pricing_rule.py,Duplicate {0} found in the table,Dupliquer {0} trouvé dans la table
apps/erpnext/erpnext/accounts/doctype/account/account.py,Company {0} does not exist,Société {0} n'existe pas
apps/erpnext/erpnext/healthcare/doctype/patient_appointment/patient_appointment.py,{0} has fee validity till {1},{0} a des frais valides jusqu'à {1}
apps/erpnext/erpnext/healthcare/page/appointment_analytic/appointment_analytic.js,Tree Type,Type d'Arbre
DocType: Leave Control Panel,Employee Grade (optional),Grade d&#39;employé (facultatif)
DocType: Pricing Rule,Apply Rule On Other,Appliquer la règle sur autre
DocType: BOM Explosion Item,Qty Consumed Per Unit,Qté Consommée Par Unité
DocType: Shift Type,Late Entry Grace Period,Délai de grâce pour entrée tardive
DocType: GST Account,IGST Account,Compte IGST
DocType: Serial No,Warranty Expiry Date,Date d'Expiration de la Garantie
DocType: Material Request Item,Quantity and Warehouse,Quantité et Entrepôt
DocType: Sales Invoice,Commission Rate (%),Taux de Commission (%)
apps/erpnext/erpnext/education/doctype/student_group/student_group.py,Please select Program,Veuillez sélectionner un Programme
DocType: Project,Estimated Cost,Coût Estimé
DocType: Supplier Quotation,Link to material requests,Lien vers les demandes de matériaux
apps/erpnext/erpnext/public/js/hub/pages/Publish.vue,Publish,Publier
apps/erpnext/erpnext/setup/setup_wizard/data/industry_type.py,Aerospace,Aérospatial
,Fichier des Ecritures Comptables [FEC],Fichier des Ecritures Comptables [FEC]
DocType: Journal Entry,Credit Card Entry,Écriture de Carte de Crédit
apps/erpnext/erpnext/config/selling.py,Invoices for Costumers.,Factures pour les clients.
apps/erpnext/erpnext/stock/report/stock_balance/stock_balance.py,In Value,En Valeur
DocType: Asset Settings,Depreciation Options,Options d&#39;amortissement
apps/erpnext/erpnext/assets/doctype/asset_movement/asset_movement.py,Either location or employee must be required,La localisation ou l'employé sont requis
apps/erpnext/erpnext/hr/doctype/job_offer/job_offer.js,Create Employee,Créer un employé
apps/erpnext/erpnext/utilities/transaction_base.py,Invalid Posting Time,Heure de publication non valide
DocType: Salary Component,Condition and Formula,Condition et formule
DocType: Lead,Campaign Name,Nom de la Campagne
apps/erpnext/erpnext/setup/default_energy_point_rules.py,On Task Completion,En fin de tâche
apps/erpnext/erpnext/hr/doctype/compensatory_leave_request/compensatory_leave_request.py,There is no leave period in between {0} and {1},Il n&#39;y a pas de période de congé entre {0} et {1}
DocType: Fee Validity,Healthcare Practitioner,Praticien de la santé
DocType: Hotel Room,Capacity,Capacité
DocType: Travel Request Costing,Expense Type,Type de dépense
DocType: Selling Settings,Close Opportunity After Days,Fermer Opportunité Après Jours
,Reserved,Réservé
DocType: Driver,License Details,Détails de la licence
apps/erpnext/erpnext/accounts/doctype/share_transfer/share_transfer.py,The field From Shareholder cannot be blank,Le champ 'De l'actionnaire' ne peut pas être vide
DocType: Leave Allocation,Allocation,Allocation
DocType: Purchase Order,Supply Raw Materials,Fournir les Matières Premières
apps/erpnext/erpnext/hr/doctype/salary_structure/salary_structure.py,Structures have been assigned successfully,Les structures ont été assignées avec succès
apps/erpnext/erpnext/config/getting_started.py,Create Opening Sales and Purchase Invoices,Créer des factures d&#39;ouverture et des factures d&#39;achat
apps/erpnext/erpnext/accounts/doctype/account/chart_of_accounts/verified/standard_chart_of_accounts_with_account_number.py,Current Assets,Actifs Actuels
apps/erpnext/erpnext/stock/doctype/stock_entry/stock_entry.py,{0} is not a stock Item,{0} n'est pas un Article de stock
apps/erpnext/erpnext/hr/notification/training_feedback/training_feedback.html,Please share your feedback to the training by clicking on 'Training Feedback' and then 'New',"Partagez vos commentaires sur la formation en cliquant sur 'Retour d'Expérience de la formation', puis 'Nouveau'"
DocType: Call Log,Caller Information,Informations sur l&#39;appelant
DocType: Mode of Payment Account,Default Account,Compte par Défaut
apps/erpnext/erpnext/stock/doctype/item/item.py,Please select Sample Retention Warehouse in Stock Settings first,Veuillez d'abord définir un entrepôt de stockage des échantillons dans les paramètres de stock
apps/erpnext/erpnext/accounts/doctype/loyalty_program/loyalty_program.js,Please select the Multiple Tier Program type for more than one collection rules.,Veuillez sélectionner le type de programme à plusieurs niveaux pour plus d&#39;une règle de collecte.
DocType: Payment Entry,Received Amount (Company Currency),Montant Reçu (Devise Société)
apps/erpnext/erpnext/erpnext_integrations/doctype/gocardless_settings/gocardless_settings.py,Payment Cancelled. Please check your GoCardless Account for more details,Paiement annulé. Veuillez vérifier votre compte GoCardless pour plus de détails
DocType: Work Order,Skip Material Transfer to WIP Warehouse,Ignorer le transfert de matériel vers l&#39;entrepôt WIP
DocType: Contract,N/A,N/A
DocType: Task Type,Task Type,Type de tâche
DocType: Topic,Topic Content,Contenu du sujet
DocType: Delivery Settings,Send with Attachment,Envoyer avec pièce jointe
DocType: Service Level,Priorities,Les priorités
apps/erpnext/erpnext/hr/doctype/holiday_list/holiday_list.py,Please select weekly off day,Veuillez sélectionnez les jours de congé hebdomadaires
DocType: Inpatient Record,O Negative,O Négatif
DocType: Work Order Operation,Planned End Time,Heure de Fin Prévue
DocType: POS Profile,Only show Items from these Item Groups,Afficher uniquement les éléments de ces groupes d&#39;éléments
apps/erpnext/erpnext/accounts/doctype/account/account.py,Account with existing transaction cannot be converted to ledger,Un compte contenant une transaction ne peut pas être converti en grand livre
apps/erpnext/erpnext/config/non_profit.py,Memebership Type Details,Détails du type d'adhésion
DocType: Delivery Note,Customer's Purchase Order No,Numéro bon de commande du client
DocType: Clinical Procedure,Consume Stock,Consommer le stock
DocType: Budget,Budget Against,Budget Pour
apps/erpnext/erpnext/accounts/doctype/sales_invoice/sales_invoice.js,Lost Reasons,Raisons perdues
apps/erpnext/erpnext/stock/reorder_item.py,Auto Material Requests Generated,Demandes de Matériel Générées Automatiquement
DocType: Shift Type,Working hours below which Half Day is marked. (Zero to disable),Heures de travail en dessous desquelles la demi-journée est marquée. (Zéro à désactiver)
DocType: Job Card,Total Completed Qty,Total terminé Quantité
DocType: HR Settings,Auto Leave Encashment,Auto Leave Encashment
apps/erpnext/erpnext/buying/doctype/supplier_quotation/supplier_quotation_list.js,Lost,Perdu
apps/erpnext/erpnext/accounts/doctype/journal_entry/journal_entry.py,You can not enter current voucher in 'Against Journal Entry' column,Vous ne pouvez pas entrer le bon actuel dans la colonne 'Pour l'Écriture de Journal'
DocType: Employee Benefit Application Detail,Max Benefit Amount,Montant maximal des prestations
apps/erpnext/erpnext/stock/page/stock_balance/stock_balance.js,Reserved for manufacturing,Réservé pour la production
DocType: Soil Texture,Sand,Le sable
apps/erpnext/erpnext/setup/setup_wizard/data/industry_type.py,Energy,Énergie
DocType: Opportunity,Opportunity From,Opportunité De
apps/erpnext/erpnext/accounts/doctype/sales_invoice/sales_invoice.py,Row {0}: {1} Serial numbers required for Item {2}. You have provided {3}.,Ligne {0}: {1} Numéros de série requis pour l'article {2}. Vous en avez fourni {3}.
apps/erpnext/erpnext/controllers/accounts_controller.py,Cannot set quantity less than delivered quantity,Impossible de définir une quantité inférieure à la quantité livrée
apps/erpnext/erpnext/restaurant/doctype/restaurant_order_entry/restaurant_order_entry.py,Please select a table,Veuillez sélectionner une table
DocType: BOM,Website Specifications,Spécifications du Site Web
apps/erpnext/erpnext/accounts/doctype/account/account.py,Please add the account to root level Company - %s,Veuillez ajouter le compte au niveau racine de la société -% s
DocType: Content Activity,Content Activity,Activité de contenu
DocType: Special Test Items,Particulars,Particularités
DocType: Employee Checkin,Employee Checkin,Enregistrement des employés
apps/erpnext/erpnext/hr/doctype/leave_application/leave_application.py,{0}: From {0} of type {1},{0} : Du {0} de type {1}
apps/erpnext/erpnext/config/crm.py,Sends Mails to lead or contact based on a Campaign schedule,Envoie des courriers à diriger ou à contacter en fonction d&#39;un calendrier de campagne
apps/erpnext/erpnext/controllers/selling_controller.py,Row {0}: Conversion Factor is mandatory,Ligne {0} : Le Facteur de Conversion est obligatoire
DocType: Student,A+,A +
apps/erpnext/erpnext/accounts/doctype/pricing_rule/utils.py,"Multiple Price Rules exists with same criteria, please resolve conflict by assigning priority. Price Rules: {0}","Plusieurs Règles de Prix existent avec les mêmes critères, veuillez résoudre les conflits en attribuant des priorités. Règles de Prix : {0}"
DocType: Exchange Rate Revaluation,Exchange Rate Revaluation Account,Compte de réévaluation du taux de change
apps/erpnext/erpnext/accounts/doctype/pricing_rule/pricing_rule.py,Min Amt can not be greater than Max Amt,Min Amt ne peut pas être supérieur à Max Amt
apps/erpnext/erpnext/manufacturing/doctype/bom/bom.py,Cannot deactivate or cancel BOM as it is linked with other BOMs,Désactivation ou annulation de la LDM impossible car elle est liée avec d'autres LDMs
apps/erpnext/erpnext/accounts/doctype/exchange_rate_revaluation/exchange_rate_revaluation.js,Please select Company and Posting Date to getting entries,Veuillez sélectionner la société et la date de comptabilisation pour obtenir les écritures
DocType: Asset,Maintenance,Entretien
apps/erpnext/erpnext/healthcare/doctype/lab_test/lab_test.js,Get from Patient Encounter,Obtenez de la rencontre du patient
DocType: Subscriber,Subscriber,Abonné
DocType: Item Attribute Value,Item Attribute Value,Valeur de l'Attribut de l'Article
apps/erpnext/erpnext/setup/doctype/currency_exchange/currency_exchange.py,Currency Exchange must be applicable for Buying or for Selling.,Le taux de change doit être applicable à l'achat ou la vente.
apps/erpnext/erpnext/hr/doctype/leave_ledger_entry/leave_ledger_entry.py,Only expired allocation can be cancelled,Seule l&#39;allocation expirée peut être annulée
DocType: Item,Maximum sample quantity that can be retained,Quantité maximale d&#39;échantillon pouvant être conservée
apps/erpnext/erpnext/stock/doctype/stock_entry/stock_entry.py,Row {0}# Item {1} cannot be transferred more than {2} against Purchase Order {3},La ligne {0} # article {1} ne peut pas être transférée plus de {2} par commande d&#39;achat {3}
apps/erpnext/erpnext/config/crm.py,Sales campaigns.,Campagnes de vente.
apps/erpnext/erpnext/public/js/call_popup/call_popup.js,Unknown Caller,Appelant inconnu
DocType: Sales Taxes and Charges Template,"Standard tax template that can be applied to all Sales Transactions. This template can contain list of tax heads and also other expense / income heads like ""Shipping"", ""Insurance"", ""Handling"" etc.

#### Note

The tax rate you define here will be the standard tax rate for all **Items**. If there are **Items** that have different rates, they must be added in the **Item Tax** table in the **Item** master.

#### Description of Columns

1. Calculation Type: 
    - This can be on **Net Total** (that is the sum of basic amount).
    - **On Previous Row Total / Amount** (for cumulative taxes or charges). If you select this option, the tax will be applied as a percentage of the previous row (in the tax table) amount or total.
    - **Actual** (as mentioned).
2. Account Head: The Account ledger under which this tax will be booked
3. Cost Center: If the tax / charge is an income (like shipping) or expense it needs to be booked against a Cost Center.
4. Description: Description of the tax (that will be printed in invoices / quotes).
5. Rate: Tax rate.
6. Amount: Tax amount.
7. Total: Cumulative total to this point.
8. Enter Row: If based on ""Previous Row Total"" you can select the row number which will be taken as a base for this calculation (default is the previous row).
9. Is this Tax included in Basic Rate?: If you check this, it means that this tax will not be shown below the item table, but will be included in the Basic Rate in your main item table. This is useful where you want give a flat price (inclusive of all taxes) price to customers.","Modèle de la taxe standard qui peut être appliqué à toutes les Opérations d'Achat. Ce modèle peut contenir la liste des titres d'impôts ainsi que d'autres titre de charges comme ""Livraison"", ""Assurance"", ""Gestion"", etc. 

#### Remarque 

Le taux d'imposition que vous définissez ici sera le taux d'imposition standard pour tous les **Articles**. S'il y a des **Articles** qui ont des taux différents, ils doivent être ajoutés dans la table **Taxe de l'Article** dans les données de base **Article**.

#### Description des Colonnes

1. Type de Calcul : 
    - Cela peut être le **Total Net** (qui est la somme des montants de base).
    - **Total / Montant Sur la Ligne Précédente** (pour les taxes ou frais accumulés). Si vous sélectionnez cette option, la taxe sera appliquée en pourcentage du montant ou du total de la ligne précédente (dans la table d'impôts).
    - **Réel** (comme mentionné).
2. Titre du Compte : Le journal comptable dans lequel cette taxe sera comptabilisée
3. Centre de Coût : Si la taxe / redevance est un revenu (comme la livraison) ou une charge, elle doit être comptabilisée dans un Centre de Coûts.
4. Description : Description de la taxe (qui sera imprimée sur les factures / devis).
5. Taux : Le taux d'imposition.
6. Montant : Le montant de la taxe.
7. Total : Total accumulé à ce point.
8. Entrez la Ligne : Si elle est basée sur ""Total de la Ligne Précédente"" vous pouvez sélectionner le numéro de la ligne qui sera pris comme base pour ce calcul (par défaut la ligne précédente).
9. Considérez Taxe ou Charge pour : Dans cette section, vous pouvez spécifier si la taxe / redevance est seulement pour la valorisation (pas une partie du total) ou seulement pour le total (n'ajoute pas de la valeur à l'article) ou pour les deux.
10. Ajouter ou Déduire : Ce que vous voulez ajouter ou déduire de la taxe."
DocType: Quality Action,Corrective,Correctif
DocType: Employee,Bank A/C No.,N° de Compte Bancaire
DocType: Quality Inspection Reading,Reading 7,Lecture 7
DocType: Purchase Invoice,UIN Holders,Titulaires UIN
apps/erpnext/erpnext/stock/doctype/material_request/material_request_list.js,Partially Ordered,Partiellement Ordonné
DocType: Lab Test,Lab Test,Test de laboratoire
DocType: Student Report Generation Tool,Student Report Generation Tool,Outil de génération de rapports d&#39;étudiants
DocType: Healthcare Schedule Time Slot,Healthcare Schedule Time Slot,Horaire horaire
apps/erpnext/erpnext/regional/report/eway_bill/eway_bill.py,Doc Name,Nom du Document
DocType: Expense Claim Detail,Expense Claim Type,Type de Note de Frais
DocType: Shopping Cart Settings,Default settings for Shopping Cart,Paramètres par défaut pour le Panier d'Achat
apps/erpnext/erpnext/public/js/hub/pages/Item.vue,Save Item,Enregistrer l&#39;élément
apps/erpnext/erpnext/accounts/page/bank_reconciliation/bank_transaction_row.html,New Expense,Nouvelle dépense
apps/erpnext/erpnext/selling/doctype/sales_order/sales_order.js,Ignore Existing Ordered Qty,Ignorer la quantité commandée existante
apps/erpnext/erpnext/healthcare/doctype/practitioner_schedule/practitioner_schedule.js,Add Timeslots,Ajouter des Créneaux
apps/erpnext/erpnext/stock/__init__.py,Please set Account in Warehouse {0} or Default Inventory Account in Company {1},Veuillez définir le compte dans l’entrepôt {0} ou le compte d’inventaire par défaut dans la société {1}.
apps/erpnext/erpnext/assets/doctype/asset/depreciation.py,Asset scrapped via Journal Entry {0},Actif mis au rebut via Écriture de Journal {0}
