DocType: Accounting Period,Period Name,Időszak neve
apps/erpnext/erpnext/www/all-products/not_found.html,No products found,Nem található termék
DocType: Employee,Better Prospects,Jobb kilátások
DocType: Travel Itinerary,Gluten Free,Gluténmentes
DocType: Loyalty Program Collection,Minimum Total Spent,Minimális Összes bevitt
apps/erpnext/erpnext/stock/doctype/batch/batch.py,"Row #{0}: The batch {1} has only {2} qty. Please select another batch which has {3} qty available or split the row into multiple rows, to deliver/issue from multiple batches","Sor # {0}: A köteg: {1} csak {2} Menny. Kérjük, válasszon egy másik tétel köteget, amelyben {3} Mennyiség elérhető vagy válassza szée a sort több sorrá, szállít / ügy kötegekből"
DocType: Loyalty Program,Expiry Duration (in days),Lejárati idő (napokban)
DocType: Inpatient Record,Discharge Date,Felmentés dátuma
DocType: Subscription Plan,Price Determination,Ár  meghatározás
DocType: Vehicle,License Plate,Rendszámtábla
apps/erpnext/erpnext/hr/doctype/department/department_tree.js,New Department,Új osztály
DocType: Compensatory Leave Request,Worked On Holiday,Ünnepelt
DocType: Appraisal,Goals,Célok
DocType: Support Settings,Allow Resetting Service Level Agreement,Engedélyezze a szolgáltatási szintű megállapodás visszaállítását
apps/erpnext/erpnext/selling/page/point_of_sale/point_of_sale.js,Select POS Profile,Válasszon  POS profilt
DocType: Warranty Claim,Warranty / AMC Status,Garancia és éves karbantartási szerződés állapota
,Accounts Browser,Számlák böngészője
DocType: Procedure Prescription,Referral,Hivatkozó
DocType: Payment Entry Reference,Payment Entry Reference,Fizetés megadásának hivatkozása
DocType: GL Entry,GL Entry,FŐKSZLA bejegyzés
DocType: Support Search Source,Response Options,Válaszbeállítások
DocType: Pricing Rule,Apply Multiple Pricing Rules,Alkalmazza a többszörös árképzési szabályokat
DocType: HR Settings,Employee Settings,Alkalmazott beállítások
apps/erpnext/erpnext/templates/pages/integrations/gocardless_checkout.html,Loading Payment System,Fizetési rendszer betöltés
,Batch-Wise Balance History,Köteg-Szakaszos mérleg előzmények
apps/erpnext/erpnext/controllers/accounts_controller.py,Row #{0}: Cannot set Rate if amount is greater than billed amount for Item {1}.,"A(z) {0} sor: nem lehet beállítani az árat, ha az összeg nagyobb, mint a(z) {1} tétel számlázott összege."
apps/erpnext/erpnext/accounts/doctype/cheque_print_template/cheque_print_template.js,Print settings updated in respective print format,Nyomtatási beállítások frissítve a mindenkori nyomtatási formátumban
DocType: Package Code,Package Code,Csomag kód
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py,Apprentice,Gyakornok
DocType: Purchase Invoice,Company GSTIN,Vállalkozás GSTIN
apps/erpnext/erpnext/stock/doctype/stock_reconciliation/stock_reconciliation.py,Negative Quantity is not allowed,Negatív mennyiség nem megengedett
DocType: Purchase Invoice Item,"Tax detail table fetched from item master as a string and stored in this field.
Used for Taxes and Charges","Adó részletek táblázatot betölti a törzsadat tételtből szóláncként, és ebben a mezőben tárolja. Adókhoz és illetékekhez használja"
apps/erpnext/erpnext/hr/doctype/employee/employee.py,Employee cannot report to himself.,Alkalmazott nem jelent magának.
apps/erpnext/erpnext/templates/pages/order.html,Rate:,Arány:
DocType: Bank Account,Change this date manually to setup the next synchronization start date,Ezt a dátumot manuálisan változtassa meg a következő szinkronizálás kezdő dátumának beállításához
DocType: Leave Type,Max Leaves Allowed,Maximális megengedett távollétek
DocType: Account,"If the account is frozen, entries are allowed to restricted users.","Ha a számla zárolásra került, a bejegyzések engedélyezettek korlátozott felhasználóknak."
DocType: Email Digest,Bank Balance,Bank mérleg
apps/erpnext/erpnext/controllers/accounts_controller.py,Accounting Entry for {0}: {1} can only be made in currency: {2},"Könyvelési tétel ehhez {0}: {1}, csak ebben a pénznem végezhető: {2}"
DocType: HR Settings,Leave Approver Mandatory In Leave Application,Távollét jóváhagyó kötelező a szabadságra vonatkozó kérelemhez
DocType: Job Opening,"Job profile, qualifications required etc.","Munkakör, szükséges képesítések stb"
DocType: Journal Entry Account,Account Balance,Számla egyenleg
apps/erpnext/erpnext/config/accounting.py,Tax Rule for transactions.,Adó szabály a tranzakciókra.
DocType: Rename Tool,Type of document to rename.,Dokumentum típusa átnevezéshez.
apps/erpnext/erpnext/accounts/doctype/chart_of_accounts_importer/chart_of_accounts_importer.js,Resolve error and upload again.,"Oldja meg a hibát, és töltse fel újra."
DocType: Buying Settings,Over Transfer Allowance (%),Túllépési juttatás (%)
apps/erpnext/erpnext/accounts/doctype/gl_entry/gl_entry.py,{0} {1}: Customer is required against Receivable account {2},{0} {1}: a vevő kötelező a Bevételi számlához {2}
DocType: Purchase Invoice,Total Taxes and Charges (Company Currency),Összesen adók és illetékek (Vállakozás pénznemében)
DocType: Weather,Weather Parameter,Időjárás paraméter
apps/erpnext/erpnext/accounts/report/trial_balance/trial_balance.js,Show unclosed fiscal year's P&L balances,Jelenítse meg a lezáratlan pénzügyi évben a P&L mérlegeket
DocType: Item,Asset Naming Series,Vagyontárgy elnevezési sorozat
DocType: Appraisal,HR-APR-.YY.-.MM.,HR-APR-.YY.-.MM.
apps/erpnext/erpnext/regional/india/utils.py,House rented dates should be atleast 15 days apart,A ház bérleti dátumának legalább 15 napnyi távolságban kell lennie
DocType: Clinical Procedure Template,Collection Details,Gyűjtés részletei
DocType: POS Profile,Allow Print Before Pay,Nyomtatás engedélyezése a fizetés előtt
DocType: Linked Soil Texture,Linked Soil Texture,Kapcsolodó talajszövet
DocType: Shipping Rule,Shipping Account,Szállítási számla
apps/erpnext/erpnext/accounts/doctype/gl_entry/gl_entry.py,{0} {1}: Account {2} is inactive,{0} {1}: fiók {2} inaktív
DocType: GSTR 3B Report,March,március
DocType: Bank Statement Transaction Entry,Bank Transaction Entries,Banki tranzakciós bejegyzések
DocType: Quality Inspection,Readings,Olvasások
DocType: Stock Entry,Total Additional Costs,Összes További költségek
DocType: Quality Action,Quality Action,Minőségi akció
apps/erpnext/erpnext/crm/report/lead_conversion_time/lead_conversion_time.py,No of Interactions,Az interakciók száma
DocType: BOM,Scrap Material Cost(Company Currency),Hulladék anyagköltség (Vállaklozás pénzneme)
apps/erpnext/erpnext/support/doctype/service_level/service_level.py,"Set Start Time and End Time for  \
					Support Day {0} at index {1}.",Állítsa be a {0} támogatási nap kezdési és befejezési idejét a (z) {1} indexnél.
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py,Sub Assemblies,Részegységek
DocType: Asset,Asset Name,Vagyontárgy neve
DocType: Employee Boarding Activity,Task Weight,Feladat súlyozás
DocType: Shipping Rule Condition,To Value,Értékeléshez
DocType: Accounts Settings,Automatically Add Taxes and Charges from Item Tax Template,Adók és díjak automatikus hozzáadása az elemadó sablonból
DocType: Loyalty Program,Loyalty Program Type,Hűségprogram típus
DocType: Asset Movement,Stock Manager,Készlet menedzser
apps/erpnext/erpnext/stock/doctype/stock_entry/stock_entry.py,Source warehouse is mandatory for row {0},Forrás raktára kötelező ebben a sorban {0}
apps/erpnext/erpnext/accounts/doctype/payment_terms_template/payment_terms_template.py,The Payment Term at row {0} is possibly a duplicate.,A(z) {0} sorban szereplő fizetési feltétel valószínűleg másodpéldány.
apps/erpnext/erpnext/public/js/setup_wizard.js,Agriculture (beta),Mezőgazdaság (béta)
apps/erpnext/erpnext/stock/doctype/delivery_note/delivery_note.js,Packing Slip,Csomagjegy
apps/erpnext/erpnext/accounts/doctype/account/chart_of_accounts/verified/standard_chart_of_accounts_with_account_number.py,Office Rent,Iroda bérlés
apps/erpnext/erpnext/config/settings.py,Setup SMS gateway settings,SMS átjáró telepítése
DocType: Disease,Common Name,Gyakori név
DocType: Customer Feedback Template Table,Customer Feedback Template Table,Ügyfél-visszajelzési sablon táblázat
DocType: Employee Boarding Activity,Employee Boarding Activity,Munkavállalói beszállási tevékenység
apps/erpnext/erpnext/public/js/templates/address_list.html,No address added yet.,Nem lett még cím hozzá adva.
DocType: Workstation Working Hour,Workstation Working Hour,Munkaállomás munkaideje
DocType: Vital Signs,Blood Pressure,Vérnyomás
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py,Analyst,Elemző
apps/erpnext/erpnext/hr/doctype/employee_benefit_claim/employee_benefit_claim.py,{0} is not in a valid Payroll Period,{0} nem érvényes bérszámfejtési időszak
DocType: Employee Benefit Application,Max Benefits (Yearly),Maximális haszon (évente)
DocType: Item,Inventory,Leltár
apps/erpnext/erpnext/regional/report/gstr_1/gstr_1.js,Download as Json,Töltse le Json néven
DocType: Item,Sales Details,Értékesítés részletei
DocType: Coupon Code,Used,Használt
DocType: Opportunity,With Items,Tételekkel
apps/erpnext/erpnext/crm/doctype/email_campaign/email_campaign.py,The Campaign '{0}' already exists for the {1} '{2}',A (z) {0} kampány már létezik a (z) {1} &#39;{2}&#39; kampányhoz
DocType: Asset Maintenance,Maintenance Team,Karbantartó csoport
DocType: Homepage Section,"Order in which sections should appear. 0 is first, 1 is second and so on.","A szakaszok megjelenésének sorrendje. 0 az első, 1 a második és így tovább."
apps/erpnext/erpnext/stock/report/batch_wise_balance_history/batch_wise_balance_history.py,In Qty,A Mennyiségben
DocType: Education Settings,Validate Enrolled Course for Students in Student Group,Érvényesítse letárolt pálya diákok számára Csoport
DocType: Item,Item Attribute,Tétel Jellemző
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py,Government,Kormány
apps/erpnext/erpnext/hr/doctype/vehicle_log/vehicle_log.py,Expense Claim {0} already exists for the Vehicle Log,Költség igény {0} már létezik a Gépjármű naplóra
DocType: Asset Movement,Source Location,Forrás helyszín
apps/erpnext/erpnext/public/js/setup_wizard.js,Institute Name,Intézmény neve
apps/erpnext/erpnext/hr/doctype/loan/loan.py,Please enter repayment Amount,"Kérjük, adja meg törlesztés összegét"
DocType: Shift Type,Working Hours Threshold for Absent,Munkaidő-küszöb hiánya
apps/erpnext/erpnext/accounts/doctype/loyalty_program/loyalty_program.js,There can be multiple tiered collection factor based on the total spent. But the conversion factor for redemption will always be same for all the tier.,A teljes elköltött összteljesítmény alapján többféle szintű gyűjtési tényező lehet. De a megváltás konverziós faktora mindig ugyanaz lesz az összes szintre.
apps/erpnext/erpnext/config/help.py,Item Variants,Tétel változatok
apps/erpnext/erpnext/public/js/setup_wizard.js,Services,Szervíz szolgáltatások
apps/erpnext/erpnext/manufacturing/page/bom_comparison_tool/bom_comparison_tool.js,BOM 2,BOM 2
DocType: Payment Order,PMO-,PMO-
DocType: HR Settings,Email Salary Slip to Employee,E-mail Bérpapír nyomtatvány az alkalmazottnak
DocType: Cost Center,Parent Cost Center,Fő költséghely
apps/erpnext/erpnext/accounts/doctype/opening_invoice_creation_tool/opening_invoice_creation_tool.js,Create Invoices,Készítsen számlákat
apps/erpnext/erpnext/buying/doctype/request_for_quotation/request_for_quotation.js,Select Possible Supplier,Válasszon lehetséges beszállítót
DocType: Communication Medium,Communication Medium Type,Kommunikációs közepes típus
DocType: Customer,"Select, to make the customer searchable with these fields","Válassza a lehetőséget, hogy a vevőt kereshesse ezekkel a mezőkkel"
DocType: Shopify Settings,Import Delivery Notes from Shopify on Shipment,Import szállítólevél a Shopify-tól a szállítmányhoz
apps/erpnext/erpnext/templates/pages/projects.html,Show closed,Mutassa zárva
DocType: Issue Priority,Issue Priority,Kiállítási prioritás
DocType: Leave Ledger Entry,Is Leave Without Pay,Ez fizetés nélküli szabadság
apps/erpnext/erpnext/regional/doctype/gstr_3b_report/gstr_3b_report.html,GSTIN,GSTIN
apps/erpnext/erpnext/stock/doctype/item/item.py,Asset Category is mandatory for Fixed Asset item,Vagyontárgy Kategória kötelező befektetett eszközök tételeire
DocType: Fee Validity,Fee Validity,Díj érvényessége
apps/erpnext/erpnext/accounts/doctype/payment_reconciliation/payment_reconciliation.py,No records found in the Payment table,Nem talált bejegyzést a fizetési táblázatban
apps/erpnext/erpnext/education/utils.py,This {0} conflicts with {1} for {2} {3},Ez {0} ütközik ezzel {1} ehhez {2} {3}
DocType: Student Attendance Tool,Students HTML,Tanulók HTML
apps/erpnext/erpnext/accounts/doctype/payment_entry/payment_entry.js,{0}: {1} must be less than {2},"{0}: {1} -nek kevesebbnek kell lennie, mint {2}"
apps/erpnext/erpnext/selling/doctype/sales_order/sales_order.js,"Select BOM, Qty and For Warehouse","Válasszon ANYAGJ, menny. és  raktárhoz"
DocType: GST HSN Code,GST HSN Code,GST HSN kód
DocType: Employee External Work History,Total Experience,Összes Tapasztalat
apps/erpnext/erpnext/setup/doctype/email_digest/templates/default.html,Open Projects,Projekt témák megnyitása
apps/erpnext/erpnext/stock/doctype/delivery_note/delivery_note.py,Packing Slip(s) cancelled,Csomagjegy(ek) törölve
apps/erpnext/erpnext/accounts/report/cash_flow/cash_flow.py,Cash Flow from Investing,Pénzforgalom befektetésből
DocType: Program Course,Program Course,Program pálya
DocType: Healthcare Service Unit,Allow Appointments,Találkozók engedélyezése
apps/erpnext/erpnext/accounts/doctype/account/chart_of_accounts/verified/standard_chart_of_accounts_with_account_number.py,Freight and Forwarding Charges,Árufuvarozási és szállítmányozási költségek
DocType: Homepage,Company Tagline for website homepage,Válallkozás jelmondata az internetes honlapon
DocType: Item Group,Item Group Name,Tételcsoport neve
apps/erpnext/erpnext/hr/report/employee_leave_balance/employee_leave_balance.py,Taken,Lefoglalva
DocType: Invoice Discounting,Short Term Loan Account,Rövid lejáratú hitelszámla
DocType: Student,Date of Leaving,Eltávozás dátuma
DocType: Pricing Rule,For Price List,Árlistához
apps/erpnext/erpnext/setup/setup_wizard/data/industry_type.py,Executive Search,Adminisztratív keresés
DocType: Employee Advance,HR-EAD-.YYYY.-,HR-EAD-.YYYY.-
apps/erpnext/erpnext/setup/setup_wizard/setup_wizard.py,Setting defaults,Alapértelmezések beállításai
DocType: Loyalty Program,Auto Opt In (For all customers),Automatikus belépés (minden ügyfél számára)
apps/erpnext/erpnext/utilities/activation.py,Create Leads,Készítsen érdeklődéseket
DocType: Maintenance Schedule,Schedules,Ütemezések
apps/erpnext/erpnext/selling/page/point_of_sale/point_of_sale.js,POS Profile is required to use Point-of-Sale,POS-profil szükséges a Értékesítési kassza  használatához
DocType: Cashier Closing,Net Amount,Nettó Összege
apps/erpnext/erpnext/stock/doctype/material_request/material_request.py,{0} {1} has not been submitted so the action cannot be completed,"{0} {1} nem nyújtották be, így a művelet nem végrehajtható"
DocType: Purchase Order Item Supplied,BOM Detail No,Anyagjegyzék részlet száma
DocType: Landed Cost Voucher,Additional Charges,további díjak
DocType: Support Search Source,Result Route Field,Eredmény útvonal mező
DocType: Supplier,PAN,PÁN
DocType: Employee Checkin,Log Type,Napló típusa
DocType: Purchase Invoice,Additional Discount Amount (Company Currency),További kedvezmény összege (Vállalat pénznemében)
DocType: Supplier Scorecard,Supplier Scorecard,Szállítói eredménymutató
DocType: Plant Analysis,Result Datetime,Eredmény dátuma
,Support Hour Distribution,Támogatási órák elosztása
DocType: Maintenance Visit,Maintenance Visit,Karbantartási látogatás
apps/erpnext/erpnext/accounts/doctype/invoice_discounting/invoice_discounting.js,Close Loan,Bezárja a kölcsönt
DocType: Student,Leaving Certificate Number,Leaving Certificate száma
apps/erpnext/erpnext/healthcare/doctype/patient_appointment/patient_appointment.py,"Appointment cancelled, Please review and cancel the invoice {0}","A vizit időpont törölve, kérjük, tekintse át és törölje a számlát {0}"
DocType: Sales Invoice Item,Available Batch Qty at Warehouse,Elérhető Kötegelt Mennyiség a Raktárban
apps/erpnext/erpnext/accounts/doctype/cheque_print_template/cheque_print_template.js,Update Print Format,Nyomtatási formátum frissítése
DocType: Bank Account,Is Company Account,A vállalati fiók
apps/erpnext/erpnext/hr/doctype/leave_encashment/leave_encashment.py,Leave Type {0} is not encashable,A (z) {0} típusú távollét letilthatatlan
apps/erpnext/erpnext/selling/doctype/customer/customer.py,Credit limit is already defined for the Company {0},A hitelkeret már meg van határozva a vállalat számára {0}
DocType: Landed Cost Voucher,Landed Cost Help,Beszerzési költség Súgó
DocType: Vehicle Log,HR-VLOG-.YYYY.-,HR-vlog-.YYYY.-
DocType: Purchase Invoice,Select Shipping Address,Válasszon Szállítási címet
DocType: Timesheet Detail,Expected Hrs,Várható órák
apps/erpnext/erpnext/config/non_profit.py,Memebership Details,Tagság részletei
DocType: Leave Block List,Block Holidays on important days.,Zárolt Ünnepek a fontos napokon.
apps/erpnext/erpnext/healthcare/doctype/lab_test/lab_test.js,Please input all required Result Value(s),"Kérjük, adja meg az összes szükséges eredményértéket"
apps/erpnext/erpnext/accounts/report/accounts_receivable/accounts_receivable.js,Accounts Receivable Summary,Vevőtartozás bevétel Összefoglalója
DocType: POS Closing Voucher,Linked Invoices,Kapcsolodó számlák
DocType: Loan,Monthly Repayment Amount,Havi törlesztés összege
apps/erpnext/erpnext/accounts/doctype/opening_invoice_creation_tool/opening_invoice_creation_tool_dashboard.html,Opening Invoices,Számlák megnyitása
DocType: Contract,Contract Details,Szerződés részletei
apps/erpnext/erpnext/hr/doctype/employee/employee.py,Please set User ID field in an Employee record to set Employee Role,"Kérjük, állítsa be a Felhasználói azonosító ID mezőt az alkalmazotti bejegyzésen az Alkalmazott beosztásának beállításához"
DocType: UOM,UOM Name,Mértékegység neve
apps/erpnext/erpnext/regional/report/eway_bill/eway_bill.py,To Address 1,Címzés 1
DocType: GST HSN Code,HSN Code,HSN kód
apps/erpnext/erpnext/selling/report/sales_person_commission_summary/sales_person_commission_summary.py,Contribution Amount,Támogatás mértéke
DocType: Homepage Section,Section Order,Szekciórend
DocType: Inpatient Record,Patient Encounter,Beteg találkozó
DocType: Accounts Settings,Shipping Address,Szállítási cím
DocType: Stock Reconciliation,This tool helps you to update or fix the quantity and valuation of stock in the system. It is typically used to synchronise the system values and what actually exists in your warehouses.,Ez az eszköz segít frissíteni vagy kijavítani a mennyiséget és a raktári tétel értékelést a rendszerben. Ez tipikusan a rendszer szinkronizációjához használja és mi létezik  valóban a raktárakban.
DocType: Delivery Note,In Words will be visible once you save the Delivery Note.,"A szavakkal mező lesz látható, miután mentette a szállítólevelet."
apps/erpnext/erpnext/erpnext_integrations/utils.py,Unverified Webhook Data,Ellenőrizetlen Webhook adatok
DocType: Water Analysis,Container,Tartály
apps/erpnext/erpnext/regional/report/gstr_1/gstr_1.py,Please set valid GSTIN No. in Company Address,"Kérjük, érvényes vállalati GSTIN-számot állítson be"
apps/erpnext/erpnext/education/utils.py,Student {0} - {1} appears Multiple times in row {2} & {3},Tanuló {0} - {1} többször is megjelenik ezekben a sorokban {2} & {3}
apps/erpnext/erpnext/selling/doctype/customer/customer.py,Following fields are mandatory to create address:,A következő mezők kitöltése kötelező a cím létrehozásához:
DocType: Item Alternative,Two-way,Kétirányú
DocType: Item,Manufacturers,Gyártók
apps/erpnext/erpnext/accounts/deferred_revenue.py,Error while processing deferred accounting for {0},Hiba a (z) {0} halasztott számvitelének feldolgozása során
,Employee Billing Summary,Munkavállalói számlázási összefoglaló
DocType: Project,Day to Send,Nap a küldésig
DocType: Healthcare Settings,Manage Sample Collection,Mintagyűjtés kezelése
apps/erpnext/erpnext/setup/doctype/naming_series/naming_series.py,Please set the series to be used.,"Kérjük, állítsa be a használni kívánt sorozatokat."
DocType: Patient,Tobacco Past Use,Dohányzás múltbeli felhasználása
DocType: Travel Itinerary,Mode of Travel,Utazás módja
DocType: Sales Invoice Item,Brand Name,Márkanév
DocType: Purchase Receipt,Transporter Details,Szállítmányozó  részletei
DocType: Issue,Service Level Agreement Creation,Szolgáltatási szintű megállapodás létrehozása
apps/erpnext/erpnext/accounts/page/pos/pos.js,Default warehouse is required for selected item,Alapértelmezett raktár szükséges a kiválasztott elemhez
DocType: Quiz,Passing Score,Felvételi pontszám
apps/erpnext/erpnext/utilities/user_progress.py,Box,Doboz
apps/erpnext/erpnext/buying/doctype/request_for_quotation/request_for_quotation.js,Possible Supplier,Lehetséges Beszállító
DocType: Budget,Monthly Distribution,Havi Felbontás
apps/erpnext/erpnext/selling/doctype/sms_center/sms_center.py,Receiver List is empty. Please create Receiver List,"Fogadófél lista üres. Kérjük, hozzon létre Fogadófél listát"
apps/erpnext/erpnext/regional/india/utils.py,Invalid GSTIN! The input you've entered doesn't match the GSTIN format for UIN Holders or Non-Resident OIDAR Service Providers,Érvénytelen GSTIN! A beírt adat nem felel meg a GSTIN formátumnak az UIN-tulajdonosok vagy a nem rezidens OIDAR szolgáltatók esetében
apps/erpnext/erpnext/public/js/setup_wizard.js,Healthcare (beta),Egészségügy (béta)
DocType: Production Plan Sales Order,Production Plan Sales Order,Vevői rendelés Legyártási terve
apps/erpnext/erpnext/selling/doctype/sales_order/sales_order.py,"No active BOM found for item {0}. Delivery by \
						Serial No cannot be ensured",A (z) {0} tételhez nem található aktív BOM. Nem biztosítható a \ Serial No \ Delivery
DocType: Sales Partner,Sales Partner Target,Vevő partner cél
DocType: Loan Type,Maximum Loan Amount,Maximális hitel összeg
DocType: Coupon Code,Pricing Rule,Árképzési szabály
apps/erpnext/erpnext/education/doctype/student_group/student_group.py,Duplicate roll number for student {0},Ismétlődő lajstromszám ehhez a hallgatóhoz: {0}
apps/erpnext/erpnext/config/help.py,Material Request to Purchase Order,Anyagigénylés -&gt; Beszerzési megrendelésre
DocType: Company,Default Selling Terms,Alapértelmezett eladási feltételek
DocType: Shopping Cart Settings,Payment Success URL,Fizetési sikeres URL
apps/erpnext/erpnext/controllers/sales_and_purchase_return.py,Row # {0}: Returned Item {1} does not exists in {2} {3},Sor # {0}: Visszaküldött pont {1} nem létezik {2} {3}
apps/erpnext/erpnext/accounts/doctype/account/chart_of_accounts/verified/standard_chart_of_accounts_with_account_number.py,Bank Accounts,Bankszámlák
,Bank Reconciliation Statement,Bank egyeztetés kivonat
DocType: Patient Encounter,Medical Coding,Orvosi kódolás
DocType: Healthcare Settings,Reminder Message,Emlékeztető üzenet
DocType: Call Log,Lead Name,Célpont neve
,POS,Értékesítési hely kassza (POS)
DocType: C-Form,III,III
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py,Prospecting,Kiállít
apps/erpnext/erpnext/config/help.py,Opening Stock Balance,Nyitó készlet egyenleg
DocType: Asset Category Account,Capital Work In Progress Account,Fővállalkozói munka folyamatban lévő számlája
apps/erpnext/erpnext/assets/doctype/asset/asset.js,Asset Value Adjustment,Vagyontárgy érték-beállítás
DocType: Additional Salary,Payroll Date,Bérszámfejtés dátuma
apps/erpnext/erpnext/stock/doctype/item_attribute/item_attribute.py,{0} must appear only once,{0} csak egyszer kell megjelennie
apps/erpnext/erpnext/hr/doctype/leave_control_panel/leave_control_panel.py,Leaves Allocated Successfully for {0},Távollét foglalása sikeres erre {0}
apps/erpnext/erpnext/stock/doctype/packing_slip/packing_slip.py,No Items to pack,Nincsenek tételek csomagoláshoz
apps/erpnext/erpnext/accounts/doctype/bank_statement_transaction_entry/bank_statement_transaction_entry.py,Only .csv and .xlsx files are supported currently,Jelenleg csak .csv és .xlsx fájlok támogatottak
DocType: Shipping Rule Condition,From Value,Értéktől
apps/erpnext/erpnext/stock/doctype/stock_entry/stock_entry.py,Manufacturing Quantity is mandatory,Gyártási mennyiség kötelező
DocType: Loan,Repayment Method,Törlesztési mód
DocType: Products Settings,"If checked, the Home page will be the default Item Group for the website","Ha be van jelölve, a Kezdőlap lesz az alapértelmezett tétel csoport a honlapján"
DocType: Quality Inspection Reading,Reading 4,Olvasás 4
apps/erpnext/erpnext/buying/report/subcontracted_item_to_be_received/subcontracted_item_to_be_received.py,Pending Quantity,Függő mennyiség
apps/erpnext/erpnext/utilities/activation.py,"Students are at the heart of the system, add all your students","A diákok a rendszer lelkei, összes tanuló hozzáadása"
apps/erpnext/erpnext/non_profit/report/expiring_memberships/expiring_memberships.py,Member ID,Tag-azonosító
DocType: Employee Tax Exemption Proof Submission,Monthly Eligible Amount,Havi jogosult összeg
apps/erpnext/erpnext/accounts/doctype/bank_reconciliation/bank_reconciliation.py,Row #{0}: Clearance date {1} cannot be before Cheque Date {2},"Sor # {0}: Végső dátuma: {1} nem lehet, a csekk dátuma: {2} előtti"
DocType: Asset Maintenance Task,Certificate Required,Tanusítvány szükséges
DocType: Company,Default Holiday List,Alapértelmezett távolléti lista
DocType: Pricing Rule,Supplier Group,Beszállítócsoport
apps/erpnext/erpnext/setup/doctype/email_digest/email_digest.py,{0} Digest,{0} válogatás
apps/erpnext/erpnext/manufacturing/doctype/job_card/job_card.py,Row {0}: From Time and To Time of {1} is overlapping with {2},{0} sor: Időtől és időre {1} átfedésben van {2}
apps/erpnext/erpnext/accounts/doctype/account/chart_of_accounts/verified/standard_chart_of_accounts_with_account_number.py,Stock Liabilities,Készlet források (kötelezettségek)
DocType: Purchase Invoice,Supplier Warehouse,Beszállító raktára
DocType: Opportunity,Contact Mobile No,Kapcsolattartó mobilszáma
apps/erpnext/erpnext/accounts/doctype/journal_entry/journal_entry.js,Select Company,Vállalkozás kiválasztása
,Material Requests for which Supplier Quotations are not created,"Anyag igénylések, amelyekre Beszállítói árajánlatokat nem hoztak létre"
apps/erpnext/erpnext/config/crm.py,"Helps you keep tracks of Contracts based on Supplier, Customer and Employee","Segít a szerződések nyomon követésében, a szállító, az ügyfél és az alkalmazott alapján"
DocType: Company,Discount Received Account,Kedvezmény a kapott számla
DocType: Student Report Generation Tool,Print Section,Nyomtatási szakasz
DocType: Staffing Plan Detail,Estimated Cost Per Position,Pozíció becsült költsége
DocType: Employee,HR-EMP-,HR-EMP
apps/erpnext/erpnext/accounts/doctype/pos_profile/pos_profile.py,User {0} doesn't have any default POS Profile. Check Default at Row {1} for this User.,A(z) {0} felhasználónak nincs alapértelmezett POS profilja. Ellenőrizze ehhez a felhasználóhoz az alapértelmezett értéket a {1} sorban.
DocType: Quality Meeting Minutes,Quality Meeting Minutes,Minőségi találkozó jegyzőkönyve
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py,Employee Referral,Alkalmazott ajánlója
DocType: Student Group,Set 0 for no limit,Állítsa 0 = nincs korlátozás
DocType: Cost Center,rgt,RGT
apps/erpnext/erpnext/hr/doctype/leave_application/leave_application.py,The day(s) on which you are applying for leave are holidays. You need not apply for leave.,"A nap (ok), amelyre benyújtotta a távollétét azok ünnepnapok. Nem kell igényelni a távollétet."
DocType: Customer,Primary Address and Contact Detail,Elsődleges cím és kapcsolatfelvétel
apps/erpnext/erpnext/accounts/doctype/payment_request/payment_request.js,Resend Payment Email,Küldje el újra a Fizetési E-mailt
apps/erpnext/erpnext/templates/pages/projects.html,New task,Új feladat
DocType: Clinical Procedure,Appointment,Vizit időpont egyeztetés
apps/erpnext/erpnext/config/buying.py,Other Reports,Más jelentések
apps/erpnext/erpnext/public/js/setup_wizard.js,Please select at least one domain.,"Kérjük, válasszon legalább egy domaint."
DocType: Dependent Task,Dependent Task,Függő feladat
apps/erpnext/erpnext/regional/doctype/gstr_3b_report/gstr_3b_report.html,Supplies made to UIN holders,Kellékek az UIN tartók számára
DocType: Shopify Settings,Shopify Tax Account,Shopify vásárlási adószámla
apps/erpnext/erpnext/stock/doctype/item/item.py,Conversion factor for default Unit of Measure must be 1 in row {0},Konverziós tényező alapértelmezett mértékegység legyen 1 ebben a sorban: {0}
apps/erpnext/erpnext/hr/doctype/leave_application/leave_application.py,Leave of type {0} cannot be longer than {1},"Távollét típusa {0}, nem lehet hosszabb, mint {1}"
DocType: Delivery Trip,Optimize Route,Optimalizálja az útvonalat
DocType: Manufacturing Settings,Try planning operations for X days in advance.,Próbáljon tervezni tevékenységet  X nappal előre.
