DocType: Accounting Period,Period Name,ชื่อช่วงเวลา
apps/erpnext/erpnext/selling/page/point_of_sale/point_of_sale.js,Disc,จาน
DocType: Buying Settings,Material Transferred for Subcontract,วัสดุที่ถ่ายโอนสำหรับการรับเหมาช่วง
apps/erpnext/erpnext/buying/report/procurement_tracker/procurement_tracker.py,Purchase Order Date,วันที่สั่งซื้อ
DocType: Email Digest,Purchase Orders Items Overdue,สั่งซื้อสินค้ารายการค้างชำระ
apps/erpnext/erpnext/accounts/page/pos/pos.js,ZIP Code,รหัสไปรษณีย์
apps/erpnext/erpnext/controllers/selling_controller.py,Sales Order {0} is {1},ใบสั่งขาย {0} เป็น {1}
apps/erpnext/erpnext/hr/doctype/payroll_entry/payroll_entry.py,Select interest income account in loan {0},เลือกบัญชีเงินฝากดอกเบี้ย {0}
DocType: Opportunity,Contact Info,ข้อมูลการติดต่อ
apps/erpnext/erpnext/config/help.py,Making Stock Entries,ทำรายการสต็อก
apps/erpnext/erpnext/hr/doctype/employee_promotion/employee_promotion.py,Cannot promote Employee with status Left,ไม่สามารถส่งเสริมพนักงานที่มีสถานะเหลือ
DocType: Packing Slip,Net Weight UOM,UOM น้ำหนักสุทธิ
DocType: Item Default,Default Supplier,ผู้ผลิตเริ่มต้น
DocType: Loan,Repayment Schedule,กำหนดชำระคืน
DocType: Shipping Rule Condition,Shipping Rule Condition,สภาพกฎการจัดส่งสินค้า
apps/erpnext/erpnext/hr/doctype/payroll_period/payroll_period.py,End Date can not be less than Start Date,วันที่สิ้นสุด ไม่สามารถ จะน้อยกว่า วันเริ่มต้น
apps/erpnext/erpnext/projects/doctype/timesheet/timesheet.py,Invoice can't be made for zero billing hour,ไม่สามารถจัดทำใบแจ้งหนี้สำหรับศูนย์เรียกเก็บเงินได้เป็นศูนย์
DocType: Company,Date of Commencement,วันที่เริ่มเรียน
DocType: Sales Person,Select company name first.,เลือกชื่อ บริษัท แรก
apps/erpnext/erpnext/hr/doctype/leave_application/leave_application.py,Email sent to {0},อีเมล์ ส่งไปที่ {0}
apps/erpnext/erpnext/config/buying.py,Quotations received from Suppliers.,ใบเสนอราคาที่ได้รับจากผู้จัดจำหน่าย
DocType: Quality Goal,January-April-July-October,เดือนมกราคมถึงเดือนเมษายนถึงเดือนกรกฎาคมถึงเดือนตุลาคม
apps/erpnext/erpnext/config/manufacturing.py,Replace BOM and update latest price in all BOMs,แทนที่ BOM และอัปเดตราคาล่าสุดใน BOM ทั้งหมด
apps/erpnext/erpnext/controllers/selling_controller.py,To {0} | {1} {2},เพื่อ {0} | {1} {2}
apps/erpnext/erpnext/setup/doctype/supplier_group/supplier_group.js,This is a root supplier group and cannot be edited.,นี่คือกลุ่มผู้จัดจำหน่ายรากและไม่สามารถแก้ไขได้
DocType: Sales Invoice,Driver Name,ชื่อไดร์เวอร์
apps/erpnext/erpnext/stock/report/stock_ageing/stock_ageing.py,Average Age,อายุเฉลี่ย
DocType: Education Settings,Attendance Freeze Date,วันที่เข้าร่วมตรึง
DocType: Education Settings,Attendance Freeze Date,วันที่เข้าร่วมตรึง
DocType: Payment Request,Inward,ขาเข้า
apps/erpnext/erpnext/utilities/user_progress.py,List a few of your suppliers. They could be organizations or individuals.,รายการ บางส่วนของ ซัพพลายเออร์ ของคุณ พวกเขาจะเป็น องค์กร หรือบุคคล
DocType: Accounting Dimension,Dimension Defaults,ค่าเริ่มต้นของมิติ
apps/erpnext/erpnext/crm/report/prospects_engaged_but_not_converted/prospects_engaged_but_not_converted.js,Minimum Lead Age (Days),อายุนำขั้นต่ำ (วัน)
apps/erpnext/erpnext/crm/report/prospects_engaged_but_not_converted/prospects_engaged_but_not_converted.js,Minimum Lead Age (Days),อายุนำขั้นต่ำ (วัน)
apps/erpnext/erpnext/assets/report/fixed_asset_register/fixed_asset_register.py,Available For Use Date,พร้อมใช้งานสำหรับวันที่ใช้งาน
apps/erpnext/erpnext/manufacturing/doctype/bom/bom.py,All BOMs,BOMs ทั้งหมด
apps/erpnext/erpnext/accounts/doctype/journal_entry/journal_entry.js,Create Inter Company Journal Entry,สร้างรายการบันทึกระหว่าง บริษัท
DocType: Company,Parent Company,บริษัท แม่
apps/erpnext/erpnext/hotels/doctype/hotel_room_reservation/hotel_room_reservation.py,Hotel Rooms of type {0} are unavailable on {1},ห้องพักประเภท {0} ไม่มีให้บริการใน {1}
apps/erpnext/erpnext/config/manufacturing.py,Compare BOMs for changes in Raw Materials and Operations,เปรียบเทียบ BOM สำหรับการเปลี่ยนแปลงในวัตถุดิบและการปฏิบัติงาน
apps/erpnext/erpnext/accounts/doctype/bank_transaction/bank_transaction.js,Document {0} successfully uncleared,เอกสาร {0} ถูกลบสำเร็จ
DocType: Healthcare Practitioner,Default Currency,สกุลเงินเริ่มต้น
apps/erpnext/erpnext/accounts/page/bank_reconciliation/bank_reconciliation.js,Reconcile this account,กระทบยอดบัญชีนี้
apps/erpnext/erpnext/controllers/selling_controller.py,Maximum discount for Item {0} is {1}%,ส่วนลดสูงสุดสำหรับรายการ {0} คือ {1}%
DocType: Chart of Accounts Importer,Attach custom Chart of Accounts file,แนบไฟล์ผังบัญชีที่กำหนดเอง
DocType: Asset Movement,From Employee,จากพนักงาน
apps/erpnext/erpnext/regional/doctype/gstr_3b_report/gstr_3b_report.html,Import of services,นำเข้าบริการ
DocType: Driver,Cellphone Number,หมายเลขโทรศัพท์มือถือ
DocType: Project,Monitor Progress,ติดตามความคืบหน้า
DocType: Pricing Rule Item Code,Pricing Rule Item Code,รหัสสินค้ากฎการตั้งราคา
apps/erpnext/erpnext/controllers/accounts_controller.py,Warning: System will not check overbilling since amount for Item {0} in {1} is zero,คำเตือน: ระบบ จะไม่ตรวจสอบ overbilling ตั้งแต่ จำนวนเงิน รายการ {0} ใน {1} เป็นศูนย์
DocType: Journal Entry,Make Difference Entry,บันทึกผลต่าง
DocType: Supplier Quotation,Auto Repeat Section,ส่วนทำซ้ำอัตโนมัติ
DocType: Service Level Priority,Response Time,เวลาตอบสนอง
DocType: Upload Attendance,Attendance From Date,ผู้เข้าร่วมจากวันที่
DocType: Appraisal Template Goal,Key Performance Area,พื้นที่การดำเนินงานหลัก
DocType: Program Enrollment,Transportation,การขนส่ง
apps/erpnext/erpnext/controllers/item_variant.py,Invalid Attribute,แอตทริบิวต์ไม่ถูกต้อง
apps/erpnext/erpnext/accounts/doctype/payment_entry/payment_entry.py,{0} {1} must be submitted,{0} {1} จำเป็นต้องส่ง
apps/erpnext/erpnext/selling/doctype/campaign/campaign_dashboard.py,Email Campaigns,แคมเปญอีเมล
DocType: Sales Partner,To Track inbound purchase,เพื่อติดตามการซื้อขาเข้า
DocType: Buying Settings,Default Supplier Group,กลุ่มผู้จัดจำหน่ายเริ่มต้น
apps/erpnext/erpnext/stock/dashboard/item_dashboard.js,Quantity must be less than or equal to {0},ปริมาณต้องน้อยกว่าหรือเท่ากับ {0}
apps/erpnext/erpnext/hr/doctype/employee_benefit_claim/employee_benefit_claim.py,Maximum amount eligible for the component {0} exceeds {1},จำนวนเงินสูงสุดที่มีสิทธิ์สำหรับคอมโพเนนต์ {0} เกินกว่า {1}
DocType: Department Approver,Department Approver,ผู้ประเมินกรม
DocType: QuickBooks Migrator,Application Settings,การตั้งค่าโปรแกรมประยุกต์
DocType: SMS Center,Total Characters,ตัวอักษรรวม
apps/erpnext/erpnext/erpnext_integrations/doctype/tally_migration/tally_migration.py,Creating Company and Importing Chart of Accounts,การสร้าง บริษัท และการนำเข้าผังบัญชี
DocType: Employee Advance,Claimed,อ้างว่า
DocType: Crop,Row Spacing,การเว้นระยะห่างของแถว
apps/erpnext/erpnext/controllers/buying_controller.py,Please select BOM in BOM field for Item {0},กรุณาเลือก BOM BOM ในด้านการพิจารณาวาระที่ {0}
apps/erpnext/erpnext/stock/report/item_variant_details/item_variant_details.py,There isn't any item variant for the selected item,ไม่มีตัวแปรรายการสำหรับรายการที่เลือก
DocType: C-Form Invoice Detail,C-Form Invoice Detail,C-Form รายละเอียดใบแจ้งหนี้
DocType: Payment Reconciliation Invoice,Payment Reconciliation Invoice,กระทบยอดใบแจ้งหนี้การชำระเงิน
DocType: Clinical Procedure,Procedure Template,แม่แบบขั้นตอน
apps/erpnext/erpnext/public/js/hub/Sidebar.vue,Publish Items,เผยแพร่รายการ
apps/erpnext/erpnext/selling/report/sales_person_commission_summary/sales_person_commission_summary.py,Contribution %,เงินสมทบ%
apps/erpnext/erpnext/accounts/doctype/purchase_invoice/purchase_invoice.py,"As per the Buying Settings if Purchase Order Required == 'YES', then for creating Purchase Invoice, user need to create Purchase Order first for item {0}",ตามการตั้งค่าการซื้อหากต้องการสั่งซื้อสินค้า == &#39;ใช่&#39; จากนั้นสำหรับการสร้างใบกำกับการซื้อผู้ใช้จำเป็นต้องสร้างใบสั่งซื้อก่อนสำหรับรายการ {0}
,HSN-wise-summary of outward supplies,HSN-wise สรุปของวัสดุสิ้นเปลืองภายนอก
DocType: Company,Company registration numbers for your reference. Tax numbers etc.,เลขทะเบียน บริษัท สำหรับการอ้างอิงของคุณ ตัวเลขภาษี ฯลฯ
apps/erpnext/erpnext/regional/report/eway_bill/eway_bill.py,To State,ไปยังรัฐ
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py,Distributor,ผู้จัดจำหน่าย
DocType: Asset Finance Book,Asset Finance Book,สมุดบัญชีการเงินสินทรัพย์
DocType: Shopping Cart Shipping Rule,Shopping Cart Shipping Rule,รถเข็นกฎการจัดส่งสินค้า
apps/erpnext/erpnext/erpnext_integrations/doctype/plaid_settings/plaid_settings.py,Please setup a default bank account for company {0},โปรดตั้งค่าบัญชีธนาคารเริ่มต้นสำหรับ บริษัท {0}
apps/erpnext/erpnext/public/js/controllers/transaction.js,Please set 'Apply Additional Discount On',โปรดตั้ง &#39;ใช้ส่วนลดเพิ่มเติมใน&#39;
DocType: Party Tax Withholding Config,Applicable Percent,เปอร์เซ็นต์ที่ใช้บังคับ
,Ordered Items To Be Billed,รายการที่สั่งซื้อจะเรียกเก็บเงิน
apps/erpnext/erpnext/stock/doctype/item_attribute/item_attribute.py,From Range has to be less than To Range,จากช่วงจะต้องมีน้อยกว่าในช่วง
DocType: Global Defaults,Global Defaults,เริ่มต้นทั่วโลก
apps/erpnext/erpnext/projects/doctype/project/project.py,Project Collaboration Invitation,ขอเชิญร่วมโครงการ
DocType: Salary Slip,Deductions,การหักเงิน
DocType: Setup Progress Action,Action Name,ชื่อการกระทำ
apps/erpnext/erpnext/accounts/report/consolidated_financial_statement/consolidated_financial_statement.js,Start Year,ปีวันเริ่มต้น
apps/erpnext/erpnext/hr/doctype/loan_application/loan_application.js,Create Loan,สร้างสินเชื่อ
DocType: Purchase Invoice,Start date of current invoice's period,วันที่เริ่มต้นของระยะเวลาการออกใบแจ้งหนี้ปัจจุบัน
DocType: Shift Type,Process Attendance After,กระบวนการเข้าร่วมหลังจาก
,IRS 1099,"IRS 1,099"
DocType: Salary Slip,Leave Without Pay,ฝากโดยไม่ต้องจ่าย
DocType: Payment Request,Outward,ภายนอก
apps/erpnext/erpnext/setup/default_energy_point_rules.py,On {0} Creation,เมื่อวันที่ {0} การสร้าง
apps/erpnext/erpnext/regional/doctype/gstr_3b_report/gstr_3b_report.html,State/UT Tax,ภาษีของรัฐ / UT
,Trial Balance for Party,งบทดลองสำหรับพรรค
,Gross and Net Profit Report,รายงานกำไรขั้นต้นและกำไรสุทธิ
apps/erpnext/erpnext/config/quality_management.py,Tree of Procedures,ต้นไม้แห่งกระบวนการ
DocType: Lead,Consultant,ผู้ให้คำปรึกษา
apps/erpnext/erpnext/education/doctype/student_report_generation_tool/student_report_generation_tool.html,Parents Teacher Meeting Attendance,ผู้ปกครองเข้าร่วมประชุม
DocType: Salary Slip,Earnings,ผลกำไร
apps/erpnext/erpnext/stock/doctype/stock_entry/stock_entry.py,Finished Item {0} must be entered for Manufacture type entry,เสร็จสิ้นรายการ {0} ต้องป้อนสำหรับรายการประเภทการผลิต
apps/erpnext/erpnext/config/help.py,Opening Accounting Balance,เปิดยอดคงเหลือบัญชี
,GST Sales Register,ลงทะเบียนการขาย GST
DocType: Sales Invoice Advance,Sales Invoice Advance,ขายใบแจ้งหนี้ล่วงหน้า
apps/erpnext/erpnext/public/js/setup_wizard.js,Select your Domains,เลือกโดเมนของคุณ
apps/erpnext/erpnext/erpnext_integrations/doctype/shopify_settings/sync_product.py,Shopify Supplier,ผู้จัดหาสินค้า
DocType: Bank Statement Transaction Entry,Payment Invoice Items,รายการใบแจ้งหนี้การชำระเงิน
DocType: Payroll Entry,Employee Details,รายละเอียดของพนักงาน
DocType: Amazon MWS Settings,CN,CN
DocType: Item Variant Settings,Fields will be copied over only at time of creation.,ฟิลด์จะถูกคัดลอกเฉพาะช่วงเวลาของการสร้างเท่านั้น
apps/erpnext/erpnext/accounts/doctype/purchase_invoice/purchase_invoice.py,Row {0}: asset is required for item {1},แถว {0}: ต้องการเนื้อหาสำหรับรายการ {1}
apps/erpnext/erpnext/projects/doctype/task/task.py,'Actual Start Date' can not be greater than 'Actual End Date',' วันเริ่มต้น จริง ' ไม่สามารถ จะมากกว่า ' วันสิ้นสุด จริง '
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py,Management,การจัดการ
apps/erpnext/erpnext/accounts/doctype/accounting_dimension/accounting_dimension.js,Show {0},แสดง {0}
DocType: Cheque Print Template,Payer Settings,การตั้งค่าการชำระเงิน
apps/erpnext/erpnext/accounts/doctype/purchase_invoice/purchase_invoice.js,No pending Material Requests found to link for the given items.,ไม่พบคำร้องขอวัสดุที่รอการค้นหาสำหรับรายการที่ระบุ
apps/erpnext/erpnext/public/js/utils/party.js,Select company first,เลือก บริษัท ก่อน
apps/erpnext/erpnext/accounts/general_ledger.py,Account: <b>{0}</b> is capital Work in progress and can not be updated by Journal Entry,บัญชี: <b>{0}</b> เป็นงานที่อยู่ระหว่างดำเนินการและไม่สามารถอัพเดตได้โดยรายการบันทึก
apps/erpnext/erpnext/education/doctype/quiz/quiz.py,Compare List function takes on list arguments,ฟังก์ชั่นรายการเปรียบเทียบใช้เวลาในรายการอาร์กิวเมนต์
DocType: Item Attribute Value,"This will be appended to the Item Code of the variant. For example, if your abbreviation is ""SM"", and the item code is ""T-SHIRT"", the item code of the variant will be ""T-SHIRT-SM""","นี้จะถูกผนวกเข้ากับรหัสสินค้าของตัวแปร ตัวอย่างเช่นถ้าย่อของคุณคือ ""เอสเอ็ม"" และรหัสรายการคือ ""เสื้อยืด"" รหัสรายการของตัวแปรจะเป็น ""เสื้อ-SM"""
DocType: Salary Slip,Net Pay (in words) will be visible once you save the Salary Slip.,จ่ายสุทธิ (คำ) จะสามารถมองเห็นได้เมื่อคุณบันทึกสลิปเงินเดือน
DocType: Delivery Note,Is Return,คือการกลับมา
apps/erpnext/erpnext/buying/doctype/request_for_quotation/request_for_quotation.py,Caution,ความระมัดระวัง
apps/erpnext/erpnext/hr/doctype/upload_attendance/upload_attendance.js,Import Successful,นำเข้าสำเร็จ
apps/erpnext/erpnext/config/quality_management.py,Goal and Procedure,เป้าหมายและขั้นตอน
apps/erpnext/erpnext/agriculture/doctype/disease/disease.py,Start day is greater than end day in task '{0}',วันเริ่มต้นมากกว่าวันสิ้นสุดในงาน &#39;{0}&#39;
apps/erpnext/erpnext/accounts/doctype/purchase_invoice/purchase_invoice.js,Return / Debit Note,ย้อนกลับ / เดบิตหมายเหตุ
DocType: Price List Country,Price List Country,ราคาประเทศ
DocType: Sales Invoice,Set Source Warehouse,ตั้งค่า Warehouse ต้นทาง
DocType: Tally Migration,UOMs,UOMs
DocType: Account Subtype,Account Subtype,ประเภทย่อยบัญชี
apps/erpnext/erpnext/stock/utils.py,{0} valid serial nos for Item {1},{0} หมายเลขประจำเครื่องที่ถูกต้องสำหรับรายการ {1}
apps/erpnext/erpnext/stock/doctype/serial_no/serial_no.py,Item Code cannot be changed for Serial No.,รหัสสินค้า ไม่สามารถ เปลี่ยนเป็น เลข อนุกรม
DocType: Purchase Invoice Item,UOM Conversion Factor,ปัจจัยการแปลง UOM
apps/erpnext/erpnext/healthcare/doctype/clinical_procedure/clinical_procedure.js,Please enter Item Code to get Batch Number,กรุณากรอกรหัสสินค้าที่จะได้รับหมายเลข Batch
DocType: Loyalty Point Entry,Loyalty Point Entry,Entry ความภักดี
DocType: Employee Checkin,Shift End,สิ้นสุดกะ
DocType: Stock Settings,Default Item Group,กลุ่มสินค้าเริ่มต้น
DocType: Job Card Time Log,Time In Mins,เวลาในนาที
apps/erpnext/erpnext/config/non_profit.py,Grant information.,ให้ข้อมูล
apps/erpnext/erpnext/accounts/doctype/bank_account/bank_account.js,This action will unlink this account from any external service integrating ERPNext with your bank accounts. It cannot be undone. Are you certain ?,การกระทำนี้จะยกเลิกการเชื่อมโยงบัญชีนี้จากบริการภายนอกใด ๆ ที่รวม ERPNext กับบัญชีธนาคารของคุณ ไม่สามารถยกเลิกได้ คุณแน่ใจหรือ
apps/erpnext/erpnext/config/buying.py,Supplier database.,ฐานข้อมูลผู้ผลิต
DocType: Contract Template,Contract Terms and Conditions,ข้อกำหนดในการให้บริการของสัญญา
apps/erpnext/erpnext/accounts/doctype/subscription/subscription.py,You cannot restart a Subscription that is not cancelled.,คุณไม่สามารถรีสตาร์ทการสมัครสมาชิกที่ไม่ได้ยกเลิกได้
DocType: Account,Balance Sheet,รายงานงบดุล
DocType: Leave Type,Is Earned Leave,ได้รับลาออกแล้ว
apps/erpnext/erpnext/buying/report/procurement_tracker/procurement_tracker.py,Purchase Order Amount,จำนวนการสั่งซื้อ
apps/erpnext/erpnext/accounts/doctype/sales_invoice/sales_invoice.js,Cost Center For Item with Item Code ',ศูนย์ต้นทุนสำหรับสินค้าที่มีรหัสสินค้า '
DocType: Fee Validity,Valid Till,ใช้ได้จนถึง
DocType: Student Report Generation Tool,Total Parents Teacher Meeting,การประชุมครูผู้ปกครองโดยรวม
apps/erpnext/erpnext/accounts/page/pos/pos.js,"Payment Mode is not configured. Please check, whether account has been set on Mode of Payments or on POS Profile.",วิธีการชำระเงินไม่ได้กำหนดค่า กรุณาตรวจสอบไม่ว่าจะเป็นบัญชีที่ได้รับการตั้งค่าในโหมดของการชำระเงินหรือบนโปรไฟล์ POS
apps/erpnext/erpnext/buying/utils.py,Same item cannot be entered multiple times.,รายการเดียวกันไม่สามารถเข้ามาหลายครั้ง
apps/erpnext/erpnext/accounts/doctype/account/account_tree.js,"Further accounts can be made under Groups, but entries can be made against non-Groups",บัญชีเพิ่มเติมสามารถทำภายใต้กลุ่ม แต่รายการที่สามารถทำกับกลุ่มที่ไม่
DocType: Call Log,Lead,ช่องทาง
DocType: Email Digest,Payables,เจ้าหนี้
DocType: Amazon MWS Settings,MWS Auth Token,MWS Auth Token
DocType: Email Campaign,Email Campaign For ,แคมเปญอีเมลสำหรับ
apps/erpnext/erpnext/stock/doctype/batch/batch.js,Stock Entry {0} created,แจ้งรายการ {0} สร้าง
apps/erpnext/erpnext/accounts/doctype/loyalty_program/loyalty_program.py,You don't have enought Loyalty Points to redeem,คุณไม่มีจุดภักดีเพียงพอที่จะไถ่ถอน
apps/erpnext/erpnext/accounts/doctype/tax_withholding_category/tax_withholding_category.py,Please set associated account in Tax Withholding Category {0} against Company {1},โปรดตั้งค่าบัญชีที่เกี่ยวข้องในหมวดหักภาษี {0} กับ บริษัท {1}
apps/erpnext/erpnext/controllers/buying_controller.py,Row #{0}: Rejected Qty can not be entered in Purchase Return,แถว # {0}: ปฏิเสธจำนวนไม่สามารถเข้าไปอยู่ในการซื้อกลับ
apps/erpnext/erpnext/stock/doctype/item/item.js,Changing Customer Group for the selected Customer is not allowed.,ไม่สามารถเปลี่ยนกลุ่มลูกค้าสำหรับลูกค้าที่เลือกได้
,Purchase Order Items To Be Billed,รายการใบสั่งซื้อที่จะได้รับจำนวนมากที่สุด
DocType: Program Enrollment Tool,Enrollment Details,รายละเอียดการลงทะเบียน
apps/erpnext/erpnext/stock/doctype/item/item.py,Cannot set multiple Item Defaults for a company.,ไม่สามารถกำหนดค่าเริ่มต้นของรายการสำหรับ บริษัท ได้หลายรายการ
DocType: Customer Group,Credit Limits,วงเงินเครดิต
DocType: Purchase Invoice Item,Net Rate,อัตราการสุทธิ
apps/erpnext/erpnext/selling/page/point_of_sale/point_of_sale.js,Please select a customer,โปรดเลือกลูกค้า
DocType: Leave Policy,Leave Allocations,ยกเลิกการจัดสรร
DocType: Job Card,Started Time,เวลาเริ่มต้น
DocType: Purchase Invoice Item,Purchase Invoice Item,สั่งซื้อสินค้าใบแจ้งหนี้
apps/erpnext/erpnext/stock/doctype/landed_cost_voucher/landed_cost_voucher.js,Stock Ledger Entries and GL Entries are reposted for the selected Purchase Receipts,รายการบัญชีแยกประเภทหุ้นและ GL รายการที่ reposted สำหรับซื้อรายรับที่เลือก
DocType: Student Report Generation Tool,Assessment Terms,ข้อกำหนดในการให้คะแนน
apps/erpnext/erpnext/stock/report/bom_search/bom_search.js,Item 1,รายการที่ 1
DocType: Holiday,Holiday,วันหยุด
apps/erpnext/erpnext/hr/doctype/compensatory_leave_request/compensatory_leave_request.py,Leave Type is madatory,ประเภทการปล่อยตัวเป็นแบบวิกลจริต
DocType: Support Settings,Close Issue After Days,ปิดฉบับหลังจากวัน
,Eway Bill,Eway Bill
apps/erpnext/erpnext/public/js/hub/marketplace.js,You need to be a user with System Manager and Item Manager roles to add users to Marketplace.,คุณต้องเป็นผู้ใช้ที่มีบทบาท System Manager และ Item Manager เพื่อเพิ่มผู้ใช้ลงใน Marketplace
DocType: Attendance,Early Exit,ออกก่อนเวลา
DocType: Job Opening,Staffing Plan,แผนการจัดหาพนักงาน
apps/erpnext/erpnext/accounts/doctype/sales_invoice/regional/india_list.js,e-Way Bill JSON can only be generated from a submitted document,e-Way Bill JSON สามารถสร้างได้จากเอกสารที่ส่งมาเท่านั้น
apps/erpnext/erpnext/config/hr.py,Employee Tax and Benefits,ภาษีและผลประโยชน์ของพนักงาน
DocType: Bank Guarantee,Validity in Days,ความถูกต้องในวัน
DocType: Bank Guarantee,Validity in Days,ความถูกต้องในวัน
apps/erpnext/erpnext/accounts/doctype/c_form/c_form.py,C-form is not applicable for Invoice: {0},C-รูปแบบไม่ได้ใช้กับใบแจ้งหนี้: {0}
DocType: Certified Consultant,Name of Consultant,ชื่อที่ปรึกษา
DocType: Payment Reconciliation,Unreconciled Payment Details,รายละเอียดการชำระเงิน Unreconciled
apps/erpnext/erpnext/non_profit/doctype/member/member_dashboard.py,Member Activity,กิจกรรมสมาชิก
apps/erpnext/erpnext/crm/report/campaign_efficiency/campaign_efficiency.py,Order Count,จำนวนคำสั่งซื้อ
apps/erpnext/erpnext/crm/report/campaign_efficiency/campaign_efficiency.py,Order Count,จำนวนคำสั่งซื้อ
DocType: Global Defaults,Current Fiscal Year,ปีงบประมาณปัจจุบัน
DocType: Purchase Invoice,Group same items,รายการกลุ่มเดียวกัน
DocType: Purchase Invoice,Disable Rounded Total,ปิดการใช้งานรวมโค้ง
DocType: Marketplace Settings,Sync in Progress,ซิงค์อยู่ระหว่างดำเนินการ
DocType: Department,Parent Department,ฝ่ายปกครอง
DocType: Loan Application,Repayment Info,ข้อมูลการชำระหนี้
apps/erpnext/erpnext/accounts/doctype/journal_entry/journal_entry.py,'Entries' cannot be empty,' รายการ ' ต้องไม่ว่างเปล่า
DocType: Maintenance Team Member,Maintenance Role,บทบาทการบำรุงรักษา
apps/erpnext/erpnext/utilities/transaction_base.py,Duplicate row {0} with same {1},แถว ที่ซ้ำกัน {0} ด้วย เหมือนกัน {1}
DocType: Marketplace Settings,Disable Marketplace,ปิดการใช้งาน Marketplace
DocType: Quality Meeting,Minutes,รายงานการประชุม
apps/erpnext/erpnext/public/js/hub/Sidebar.vue,Your Featured Items,รายการแนะนำของคุณ
,Trial Balance,งบทดลอง
apps/erpnext/erpnext/templates/pages/projects.js,Show Completed,แสดงเสร็จสมบูรณ์
apps/erpnext/erpnext/hr/doctype/payroll_entry/payroll_entry.py,Fiscal Year {0} not found,ปีงบประมาณ {0} ไม่พบ
apps/erpnext/erpnext/config/help.py,Setting up Employees,การตั้งค่าพนักงาน
apps/erpnext/erpnext/stock/doctype/purchase_receipt/purchase_receipt.js,Make Stock Entry,ทำรายการสินค้า
DocType: Hotel Room Reservation,Hotel Reservation User,ผู้จองโรงแรม
apps/erpnext/erpnext/projects/doctype/project/project.js,Set Status,กำหนดสถานะ
apps/erpnext/erpnext/setup/doctype/naming_series/naming_series.py,Please select prefix first,กรุณาเลือก คำนำหน้า เป็นครั้งแรก
apps/erpnext/erpnext/setup/doctype/naming_series/naming_series.py,Please set Naming Series for {0} via Setup &gt; Settings &gt; Naming Series,โปรดตั้ง Naming Series สำหรับ {0} ผ่านการตั้งค่า&gt; การตั้งค่า&gt; Naming Series
DocType: Contract,Fulfilment Deadline,Fulfillment Deadline
apps/erpnext/erpnext/public/js/hub/pages/Home.vue,Near you,ใกล้คุณ
DocType: Student,O-,O-
DocType: Subscription Settings,Subscription Settings,การตั้งค่าการสมัครสมาชิก
DocType: Purchase Invoice,Update Auto Repeat Reference,อัปเดตข้อมูลอ้างอิงการทำซ้ำอัตโนมัติ
apps/erpnext/erpnext/hr/doctype/leave_application/leave_application.py,Optional Holiday List not set for leave period {0},รายการวันหยุดเสริมไม่ได้ตั้งไว้สำหรับระยะเวลาการลา {0}
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py,Research,การวิจัย
apps/erpnext/erpnext/regional/report/eway_bill/eway_bill.py,To Address 2,ที่อยู่ 2
apps/erpnext/erpnext/manufacturing/doctype/job_card/job_card.py,Row {0}: From time must be less than to time,แถว {0}: เวลาต้องน้อยกว่าเวลา
DocType: Maintenance Visit Purpose,Work Done,งานที่ทำ
apps/erpnext/erpnext/controllers/item_variant.py,Please specify at least one attribute in the Attributes table,โปรดระบุอย่างน้อยหนึ่งแอตทริบิวต์ในตารางคุณสมบัติ
DocType: Announcement,All Students,นักเรียนทุกคน
apps/erpnext/erpnext/assets/doctype/asset/asset.py,Item {0} must be a non-stock item,รายการ {0} จะต้องเป็นรายการที่ไม่สต็อก
apps/erpnext/erpnext/stock/doctype/batch/batch.js,View Ledger,ดู บัญชีแยกประเภท
DocType: Cost Center,Lft,ซ้าย
DocType: Grading Scale,Intervals,ช่วงเวลา
DocType: Bank Statement Transaction Entry,Reconciled Transactions,การเจรจาต่อรอง
apps/erpnext/erpnext/stock/report/stock_ageing/stock_ageing.py,Earliest,ที่เก่าแก่ที่สุด
DocType: Crop Cycle,Linked Location,สถานที่ที่เชื่อมโยง
apps/erpnext/erpnext/stock/doctype/item/item.py,"An Item Group exists with same name, please change the item name or rename the item group",รายการกลุ่ม ที่มีอยู่ ที่มีชื่อเดียวกัน กรุณาเปลี่ยน ชื่อรายการหรือเปลี่ยนชื่อ กลุ่ม รายการ
apps/erpnext/erpnext/accounts/doctype/invoice_discounting/invoice_discounting.js,Get Invocies,รับ Invocies
DocType: Designation,Skills,ทักษะ
DocType: Crop Cycle,Less than a year,น้อยกว่าหนึ่งปี
apps/erpnext/erpnext/education/report/absent_student_report/absent_student_report.py,Student Mobile No.,หมายเลขโทรศัพท์มือถือของนักเรียน
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py,Rest Of The World,ส่วนที่เหลือ ของโลก
apps/erpnext/erpnext/stock/doctype/stock_ledger_entry/stock_ledger_entry.py,The Item {0} cannot have Batch,รายการ {0} ไม่สามารถมีแบทช์
DocType: Crop,Yield UOM,Yield UOM
,Budget Variance Report,รายงานความแปรปรวนของงบประมาณ
DocType: Salary Slip,Gross Pay,จ่ายขั้นต้น
