DocType: Accounting Period,Period Name,Име периода
DocType: Quality Goal Objective,Quality Goal Objective,Циљ квалитета квалитета
DocType: Work Order Operation,Actual Start Time,Стварна Почетак Време
DocType: Purchase Invoice Item,Deferred Expense Account,Одложени рачун трошкова
DocType: BOM Operation,Operation Time,Операција време
apps/erpnext/erpnext/manufacturing/doctype/work_order/work_order.js,Finish,завршити
apps/erpnext/erpnext/hr/doctype/salary_structure/salary_structure.js,Base,база
DocType: Timesheet,Total Billed Hours,Укупно Обрачунате сат
DocType: Pricing Rule Item Group,Pricing Rule Item Group,Скупина правила правила о ценама
DocType: Travel Itinerary,Travel To,Путују у
apps/erpnext/erpnext/config/accounting.py,Exchange Rate Revaluation master.,Мастер ревалоризације курса
apps/erpnext/erpnext/selling/page/point_of_sale/point_of_sale.js,Write Off Amount,Отпис Износ
DocType: Leave Block List Allow,Allow User,Дозволите кориснику
DocType: Journal Entry,Bill No,Бил Нема
DocType: Company,Gain/Loss Account on Asset Disposal,Добитак / губитак налог на средства одлагању
DocType: Vehicle Log,Service Details,Сервице Детаљи
DocType: Vehicle Log,Service Details,Сервице Детаљи
DocType: Lab Test Template,Grouped,Груписано
DocType: Selling Settings,Delivery Note Required,Испорука Напомена Обавезно
apps/erpnext/erpnext/hr/doctype/payroll_entry/payroll_entry.py,Submitting Salary Slips...,Подношење плата ...
DocType: Bank Guarantee,Bank Guarantee Number,Банкарска гаранција Број
DocType: Bank Guarantee,Bank Guarantee Number,Банкарска гаранција Број
DocType: Assessment Criteria,Assessment Criteria,Критеријум за процену
DocType: BOM Item,Basic Rate (Company Currency),Основни курс (Друштво валута)
apps/erpnext/erpnext/accounts/doctype/account/account.py,"While creating account for child Company {0}, parent account {1} not found. Please create the parent account in corresponding COA","Док сте креирали налог за дечију компанију {0}, родитељски рачун {1} није пронађен. Направите матични рачун у одговарајућем ЦОА"
apps/erpnext/erpnext/support/doctype/issue/issue.js,Split Issue,Сплит Иссуе
DocType: Student Attendance,Student Attendance,студент Присуство
apps/erpnext/erpnext/regional/report/electronic_invoice_register/electronic_invoice_register.js,No data to export,Нема података за извоз
DocType: Sales Invoice Timesheet,Time Sheet,Распоред
DocType: Manufacturing Settings,Backflush Raw Materials Based On,Бацкфлусх сировине на основу
DocType: Sales Invoice,Port Code,Порт Цоде
apps/erpnext/erpnext/buying/doctype/purchase_order/purchase_order.js,Reserve Warehouse,Резервни склад
DocType: Lead,Lead is an Organization,Олово је организација
DocType: Guardian Interest,Interest,интерес
apps/erpnext/erpnext/accounts/doctype/tax_category/tax_category_dashboard.py,Pre Sales,Пре продаје
DocType: Instructor Log,Other Details,Остали детаљи
apps/erpnext/erpnext/accounts/report/delivered_items_to_be_billed/delivered_items_to_be_billed.py,Suplier,суплиер
apps/erpnext/erpnext/stock/report/delayed_item_report/delayed_item_report.py,Actual Delivery Date,Стварни датум испоруке
DocType: Lab Test,Test Template,Тест Темплате
DocType: Restaurant Order Entry Item,Served,Сервирано
apps/erpnext/erpnext/config/non_profit.py,Chapter information.,Информације о поглављу.
DocType: Account,Accounts,Рачуни
DocType: Vehicle,Odometer Value (Last),Одометер вредност (Задња)
apps/erpnext/erpnext/config/buying.py,Templates of supplier scorecard criteria.,Шаблони за критеријуме резултата добављача.
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py,Marketing,маркетинг
DocType: Sales Invoice,Redeem Loyalty Points,Искористите лојалностне тачке
apps/erpnext/erpnext/accounts/doctype/payment_request/payment_request.py,Payment Entry is already created,Плаћање Ступање је већ направљена
DocType: Request for Quotation,Get Suppliers,Узмите добављача
DocType: Purchase Receipt Item Supplied,Current Stock,Тренутне залихе
DocType: Pricing Rule,System will notify to increase or decrease quantity or amount ,Систем ће обавестити о повећању или смањењу количине или количине
apps/erpnext/erpnext/controllers/accounts_controller.py,Row #{0}: Asset {1} does not linked to Item {2},Ред # {0}: имовине {1} не повезано са тачком {2}
apps/erpnext/erpnext/hr/doctype/salary_structure/salary_structure.js,Preview Salary Slip,Преглед плата Слип
apps/erpnext/erpnext/utilities/activation.py,Create Timesheet,Направите часопис
apps/erpnext/erpnext/accounts/doctype/budget/budget.py,Account {0} has been entered multiple times,Рачун {0} је ушла више пута
DocType: Account,Expenses Included In Valuation,Трошкови укључени у процене
apps/erpnext/erpnext/hooks.py,Purchase Invoices,Куповина рачуна
apps/erpnext/erpnext/non_profit/doctype/membership/membership.py,You can only renew if your membership expires within 30 days,Можете обновити само ако ваше чланство истекне у року од 30 дана
DocType: Shopping Cart Settings,Show Stock Availability,Схов Стоцк Аваилабилити
apps/erpnext/erpnext/assets/doctype/asset/asset.py,Set {0} in asset category {1} or company {2},Поставите {0} у категорији активе {1} или компанију {2}
apps/erpnext/erpnext/regional/doctype/gstr_3b_report/gstr_3b_report.html,As per section 17(5),Према члану 17 (5)
DocType: Location,Longitude,Дужина
,Absent Student Report,Абсент Студентски Извештај
DocType: Crop,Crop Spacing UOM,Цроп Спацинг УОМ
DocType: Loyalty Program,Single Tier Program,Један ниво програма
DocType: Accounts Settings,Only select if you have setup Cash Flow Mapper documents,Само изаберите ако имате поставке Мап Фловер Доцументс
apps/erpnext/erpnext/regional/report/eway_bill/eway_bill.py,From Address 1,Од наслова 1
DocType: Email Digest,Next email will be sent on:,Следећа порука ће бити послата на:
DocType: Supplier Scorecard,Per Week,Недељно
apps/erpnext/erpnext/stock/doctype/item/item.py,Item has variants.,Тачка има варијанте.
apps/erpnext/erpnext/education/report/assessment_plan_status/assessment_plan_status.py,Total Student,Тотал Студент
apps/erpnext/erpnext/stock/doctype/item_price/item_price.py,Item {0} not found,Пункт {0} не найден
DocType: Bin,Stock Value,Вредност акције
apps/erpnext/erpnext/accounts/doctype/pricing_rule/pricing_rule.py,Duplicate {0} found in the table,Дупликат {0} пронађен у табели
apps/erpnext/erpnext/accounts/doctype/account/account.py,Company {0} does not exist,Фирма {0} не постоји
apps/erpnext/erpnext/healthcare/doctype/patient_appointment/patient_appointment.py,{0} has fee validity till {1},{0} има важећу тарифу до {1}
apps/erpnext/erpnext/healthcare/page/appointment_analytic/appointment_analytic.js,Tree Type,Дрво Тип
DocType: Leave Control Panel,Employee Grade (optional),Ступањ запосленика (изборно)
DocType: Pricing Rule,Apply Rule On Other,Примените правило на друго
DocType: BOM Explosion Item,Qty Consumed Per Unit,Кол Потрошено по јединици
DocType: Shift Type,Late Entry Grace Period,Период касног уласка
DocType: GST Account,IGST Account,ИГСТ налог
DocType: Serial No,Warranty Expiry Date,Гаранција Датум истека
DocType: Material Request Item,Quantity and Warehouse,Количина и Магацин
DocType: Sales Invoice,Commission Rate (%),Комисија Стопа (%)
apps/erpnext/erpnext/education/doctype/student_group/student_group.py,Please select Program,Молимо одаберите програм
apps/erpnext/erpnext/education/doctype/student_group/student_group.py,Please select Program,Молимо одаберите програм
DocType: Project,Estimated Cost,Процењени трошкови
DocType: Supplier Quotation,Link to material requests,Линк материјалним захтевима
apps/erpnext/erpnext/public/js/hub/pages/Publish.vue,Publish,Објави
apps/erpnext/erpnext/setup/setup_wizard/data/industry_type.py,Aerospace,ваздушно-космички простор
,Fichier des Ecritures Comptables [FEC],Фицхиер дес Ецритурес Цомптаблес [ФЕЦ]
DocType: Journal Entry,Credit Card Entry,Кредитна картица Ступање
apps/erpnext/erpnext/config/selling.py,Invoices for Costumers.,Рачуни за купце.
apps/erpnext/erpnext/stock/report/stock_balance/stock_balance.py,In Value,у вредности
DocType: Asset Settings,Depreciation Options,Опције амортизације
apps/erpnext/erpnext/assets/doctype/asset_movement/asset_movement.py,Either location or employee must be required,Морају бити потребне локације или запослени
apps/erpnext/erpnext/hr/doctype/job_offer/job_offer.js,Create Employee,Креирајте запосленог
apps/erpnext/erpnext/utilities/transaction_base.py,Invalid Posting Time,Неисправно време слања порука
DocType: Salary Component,Condition and Formula,Услов и формула
DocType: Lead,Campaign Name,Назив кампање
apps/erpnext/erpnext/setup/default_energy_point_rules.py,On Task Completion,По завршетку задатка
apps/erpnext/erpnext/hr/doctype/compensatory_leave_request/compensatory_leave_request.py,There is no leave period in between {0} and {1},Нема периода одласка између {0} и {1}
DocType: Fee Validity,Healthcare Practitioner,Здравствени лекар
DocType: Hotel Room,Capacity,Капацитет
DocType: Travel Request Costing,Expense Type,Тип расхода
DocType: Selling Settings,Close Opportunity After Days,Близу Прилика Након неколико дана
,Reserved,Резервисано
DocType: Driver,License Details,Детаљи лиценце
apps/erpnext/erpnext/accounts/doctype/share_transfer/share_transfer.py,The field From Shareholder cannot be blank,Поље Од дионичара не може бити празно
DocType: Leave Allocation,Allocation,Алокација
DocType: Purchase Order,Supply Raw Materials,Суппли Сировине
apps/erpnext/erpnext/hr/doctype/salary_structure/salary_structure.py,Structures have been assigned successfully,Структуре су успешно додељене
apps/erpnext/erpnext/config/getting_started.py,Create Opening Sales and Purchase Invoices,Креирајте отворене фактуре за продају и куповину
apps/erpnext/erpnext/accounts/doctype/account/chart_of_accounts/verified/standard_chart_of_accounts_with_account_number.py,Current Assets,оборотные активы
apps/erpnext/erpnext/stock/doctype/stock_entry/stock_entry.py,{0} is not a stock Item,{0} не является акционерным Пункт
apps/erpnext/erpnext/hr/notification/training_feedback/training_feedback.html,Please share your feedback to the training by clicking on 'Training Feedback' and then 'New',"Молимо вас да поделите своје повратне информације на тренинг кликом на &#39;Феедбацк Феедбацк&#39;, а затим &#39;Нев&#39;"
DocType: Call Log,Caller Information,Информације о позиваоцу
DocType: Mode of Payment Account,Default Account,Уобичајено Рачун
apps/erpnext/erpnext/stock/doctype/item/item.py,Please select Sample Retention Warehouse in Stock Settings first,Прво изаберите складиште за задржавање узорка у поставкама залиха
apps/erpnext/erpnext/accounts/doctype/loyalty_program/loyalty_program.js,Please select the Multiple Tier Program type for more than one collection rules.,Молимо изаберите тип вишеструког нивоа програма за више правила колекције.
DocType: Payment Entry,Received Amount (Company Currency),Примљени износ (Фирма валута)
apps/erpnext/erpnext/erpnext_integrations/doctype/gocardless_settings/gocardless_settings.py,Payment Cancelled. Please check your GoCardless Account for more details,Плаћање је отказано. Проверите свој ГоЦардлесс рачун за више детаља
DocType: Work Order,Skip Material Transfer to WIP Warehouse,Прескочите трансфер материјала у ВИП складиште
DocType: Contract,N/A,Н / А
DocType: Task Type,Task Type,Тип задатка
DocType: Topic,Topic Content,Садржај теме
DocType: Delivery Settings,Send with Attachment,Пошаљите са прилогом
DocType: Service Level,Priorities,Приоритети
apps/erpnext/erpnext/hr/doctype/holiday_list/holiday_list.py,Please select weekly off day,"Пожалуйста, выберите в неделю выходной"
DocType: Inpatient Record,O Negative,О Негативе
DocType: Work Order Operation,Planned End Time,Планирано време завршетка
DocType: POS Profile,Only show Items from these Item Groups,Прикажите само ставке из ових група предмета
apps/erpnext/erpnext/accounts/doctype/account/account.py,Account with existing transaction cannot be converted to ledger,Счет с существующей сделки не могут быть преобразованы в книге
apps/erpnext/erpnext/config/non_profit.py,Memebership Type Details,Детаљи типа Мемеберсхип
DocType: Delivery Note,Customer's Purchase Order No,Наруџбенице купца Нема
DocType: Clinical Procedure,Consume Stock,Цонсуме Стоцк
DocType: Budget,Budget Against,буџет protiv
apps/erpnext/erpnext/accounts/doctype/sales_invoice/sales_invoice.js,Lost Reasons,Лост Реасонс
apps/erpnext/erpnext/stock/reorder_item.py,Auto Material Requests Generated,Аутоматско Материјал Захтеви Генератед
DocType: Shift Type,Working hours below which Half Day is marked. (Zero to disable),Радно време испод којег се обележава Половна дана. (Нула за онемогућавање)
DocType: Job Card,Total Completed Qty,Укупно завршено Количина
DocType: HR Settings,Auto Leave Encashment,Ауто Леаве Енцасхмент
apps/erpnext/erpnext/buying/doctype/supplier_quotation/supplier_quotation_list.js,Lost,изгубљен
apps/erpnext/erpnext/accounts/doctype/journal_entry/journal_entry.py,You can not enter current voucher in 'Against Journal Entry' column,Не можете ући у тренутну ваучер 'против' Јоурнал Ентри колону
DocType: Employee Benefit Application Detail,Max Benefit Amount,Мак Бенефит Количина
apps/erpnext/erpnext/stock/page/stock_balance/stock_balance.js,Reserved for manufacturing,Резервисан за производњу
DocType: Soil Texture,Sand,Песак
apps/erpnext/erpnext/setup/setup_wizard/data/industry_type.py,Energy,енергија
DocType: Opportunity,Opportunity From,Прилика Од
apps/erpnext/erpnext/accounts/doctype/sales_invoice/sales_invoice.py,Row {0}: {1} Serial numbers required for Item {2}. You have provided {3}.,Ред {0}: {1} Серијски бројеви потребни за ставку {2}. Дали сте {3}.
apps/erpnext/erpnext/controllers/accounts_controller.py,Cannot set quantity less than delivered quantity,Не може се подесити количина мања од испоручене количине
apps/erpnext/erpnext/restaurant/doctype/restaurant_order_entry/restaurant_order_entry.py,Please select a table,Изаберите табелу
DocType: BOM,Website Specifications,Сајт Спецификације
apps/erpnext/erpnext/accounts/doctype/account/account.py,Please add the account to root level Company - %s,Додајте налог у корпоративни ниво компаније -% с
DocType: Content Activity,Content Activity,Активност садржаја
DocType: Special Test Items,Particulars,Спецулатионс
DocType: Employee Checkin,Employee Checkin,Цхецкин Емплоиее Цхецкин
apps/erpnext/erpnext/hr/doctype/leave_application/leave_application.py,{0}: From {0} of type {1},{0}: Од {0} типа {1}
apps/erpnext/erpnext/config/crm.py,Sends Mails to lead or contact based on a Campaign schedule,Шаље поруке како би водио или контактирао на основу распореда кампање
apps/erpnext/erpnext/controllers/selling_controller.py,Row {0}: Conversion Factor is mandatory,Ред {0}: Фактор конверзије је обавезно
DocType: Student,A+,А +
apps/erpnext/erpnext/accounts/doctype/pricing_rule/utils.py,"Multiple Price Rules exists with same criteria, please resolve conflict by assigning priority. Price Rules: {0}","Вишеструки Цена Правила постоји са истим критеријумима, молимо вас да решавају конфликте са приоритетом. Цена Правила: {0}"
DocType: Exchange Rate Revaluation,Exchange Rate Revaluation Account,Рачун ревалоризације курса
apps/erpnext/erpnext/accounts/doctype/pricing_rule/pricing_rule.py,Min Amt can not be greater than Max Amt,Мин Амт не може бити већи од Мак Амт
apps/erpnext/erpnext/manufacturing/doctype/bom/bom.py,Cannot deactivate or cancel BOM as it is linked with other BOMs,Не можете деактивирати или отказати БОМ јер је повезан са другим саставница
apps/erpnext/erpnext/accounts/doctype/exchange_rate_revaluation/exchange_rate_revaluation.js,Please select Company and Posting Date to getting entries,Молимо да одаберете Компанију и Датум објављивања да бисте добили уносе
DocType: Asset,Maintenance,Одржавање
apps/erpnext/erpnext/healthcare/doctype/lab_test/lab_test.js,Get from Patient Encounter,Узмите из сусрета пацијента
DocType: Subscriber,Subscriber,Претплатник
DocType: Item Attribute Value,Item Attribute Value,Итем Вредност атрибута
apps/erpnext/erpnext/setup/doctype/currency_exchange/currency_exchange.py,Currency Exchange must be applicable for Buying or for Selling.,Мењање мјењача мора бити примјењиво за куповину или продају.
apps/erpnext/erpnext/hr/doctype/leave_ledger_entry/leave_ledger_entry.py,Only expired allocation can be cancelled,Само истекле алокације могу се отказати
DocType: Item,Maximum sample quantity that can be retained,Максимална количина узорка која се може задржати
apps/erpnext/erpnext/stock/doctype/stock_entry/stock_entry.py,Row {0}# Item {1} cannot be transferred more than {2} against Purchase Order {3},Ров {0} # Ставка {1} не може се пренијети више од {2} у односу на наруџбеницу {3}
apps/erpnext/erpnext/config/crm.py,Sales campaigns.,Кампании по продажам .
apps/erpnext/erpnext/public/js/call_popup/call_popup.js,Unknown Caller,Непознати позивалац
DocType: Sales Taxes and Charges Template,"Standard tax template that can be applied to all Sales Transactions. This template can contain list of tax heads and also other expense / income heads like ""Shipping"", ""Insurance"", ""Handling"" etc.

#### Note

The tax rate you define here will be the standard tax rate for all **Items**. If there are **Items** that have different rates, they must be added in the **Item Tax** table in the **Item** master.

#### Description of Columns

1. Calculation Type: 
    - This can be on **Net Total** (that is the sum of basic amount).
    - **On Previous Row Total / Amount** (for cumulative taxes or charges). If you select this option, the tax will be applied as a percentage of the previous row (in the tax table) amount or total.
    - **Actual** (as mentioned).
2. Account Head: The Account ledger under which this tax will be booked
3. Cost Center: If the tax / charge is an income (like shipping) or expense it needs to be booked against a Cost Center.
4. Description: Description of the tax (that will be printed in invoices / quotes).
5. Rate: Tax rate.
6. Amount: Tax amount.
7. Total: Cumulative total to this point.
8. Enter Row: If based on ""Previous Row Total"" you can select the row number which will be taken as a base for this calculation (default is the previous row).
9. Is this Tax included in Basic Rate?: If you check this, it means that this tax will not be shown below the item table, but will be included in the Basic Rate in your main item table. This is useful where you want give a flat price (inclusive of all taxes) price to customers.","Стандардни порез шаблон који се може применити на свим продајним трансакцијама. Овај шаблон може садржати листу пореских глава и такође других шефова расходи / приходима као што су ""Схиппинг"", ""осигурање"", ""Руковање"" итд 

 

 #### Напомена Порески оцењујете дефине овде ће бити стандардна стопа пореза за све ** ставки **. Ако постоје ** ** артикала које имају различите цене, они морају да се додају у ** тачка порезу ** сто у ** тачка ** господара.

 #### Опис Цолумнс 

 1. Обрачун Тип: 
 - Ово може бити на ** Нето Укупно ** (да је збир основног износа).
 - ** На Претходна Ров укупно / Износ ** (за кумулативних наплати пореза и). Ако изаберете ову опцију, порез ће се применити као проценат претходни ред (у пореском табели) износу или укупно.
 - ** Стварни ** (као што је поменуто).
 2. Рачун Шеф: Рачун књига под којима ће овај порез бити кажњен 
 3. Трошак Центар: Ако порески / наплаћује приход (као бродарства) или трошак треба да буде кажњен против трошкова Центра.
 4. Опис: Опис пореза (који ће бити штампан у фактурама / наводницима).
 5. Рате: Пореска стопа.
 6. Износ: Износ пореза.
 7. Укупно: Кумулативни укупно до ове тачке.
 8. Ентер Ров: Ако на основу ""Претходни ред Тотал"" можете одабрати редни који ће бити узет као основа за овај обрачун (дефаулт је претходни ред).
 9. Да ли је ово такса у Основном курс ?: Ако видиш ово, то значи да овај порез неће бити приказан испод стола тачка, али ће бити укључени у Основном курс у вашем главном табели тачка. Ово је корисно у којој желите дати раван цену (укључујући све порезе) Цена клијентима."
DocType: Quality Action,Corrective,Коректив
DocType: Employee,Bank A/C No.,Банка / Ц бр
DocType: Quality Inspection Reading,Reading 7,Читање 7
DocType: Purchase Invoice,UIN Holders,Држачи УИН-а
apps/erpnext/erpnext/stock/doctype/material_request/material_request_list.js,Partially Ordered,Делимично Ж
DocType: Lab Test,Lab Test,Лаб Тест
DocType: Student Report Generation Tool,Student Report Generation Tool,Алат за генерисање студената
DocType: Healthcare Schedule Time Slot,Healthcare Schedule Time Slot,Временска распоред здравствене заштите
apps/erpnext/erpnext/regional/report/eway_bill/eway_bill.py,Doc Name,Док Име
DocType: Expense Claim Detail,Expense Claim Type,Расходи потраживање Тип
DocType: Shopping Cart Settings,Default settings for Shopping Cart,Дефаулт сеттингс фор Корпа
apps/erpnext/erpnext/public/js/hub/pages/Item.vue,Save Item,Сачувај ставку
apps/erpnext/erpnext/accounts/page/bank_reconciliation/bank_transaction_row.html,New Expense,Нови трошак
apps/erpnext/erpnext/selling/doctype/sales_order/sales_order.js,Ignore Existing Ordered Qty,Занемарите постојећи наручени број
apps/erpnext/erpnext/healthcare/doctype/practitioner_schedule/practitioner_schedule.js,Add Timeslots,Додај Тимеслотс
apps/erpnext/erpnext/stock/__init__.py,Please set Account in Warehouse {0} or Default Inventory Account in Company {1},Молимо поставите налог у складишту {0} или подразумевани рачун инвентара у компанији {1}
apps/erpnext/erpnext/assets/doctype/asset/depreciation.py,Asset scrapped via Journal Entry {0},Средство укинуо преко књижење {0}
DocType: Loan,Interest Income Account,Приход од камата рачуна
DocType: Bank Transaction,Unreconciled,Неусклађено
DocType: Shift Type,Allow check-out after shift end time (in minutes),Дозволи одјаву након завршетка смене (у минутама)
apps/erpnext/erpnext/hr/doctype/salary_structure/salary_structure.py,Max benefits should be greater than zero to dispense benefits,Максималне користи би требало да буду веће од нуле да би се избациле користи
apps/erpnext/erpnext/non_profit/doctype/grant_application/grant_application.py,Review Invitation Sent,Послати позив за преглед
DocType: Shift Assignment,Shift Assignment,Схифт Ассигнмент
DocType: Employee Transfer Property,Employee Transfer Property,Имовина трансфера радника
apps/erpnext/erpnext/accounts/doctype/share_transfer/share_transfer.py,The field Equity/Liability Account cannot be blank,Поље Власнички рачун / рачун одговорности не може бити празно
apps/erpnext/erpnext/accounts/doctype/cashier_closing/cashier_closing.py,From Time Should Be Less Than To Time,Од времена би требало бити мање од времена
apps/erpnext/erpnext/setup/setup_wizard/data/industry_type.py,Biotechnology,биотехнологија
apps/erpnext/erpnext/stock/doctype/stock_entry/stock_entry.py,"Item {0} (Serial No: {1}) cannot be consumed as is reserverd\
						 to fullfill Sales Order {2}.",Ставка {0} (серијски број: {1}) не може се потрошити као што је пресерверд \ да бисте испунили налог продаје {2}.
apps/erpnext/erpnext/accounts/doctype/account/chart_of_accounts/verified/standard_chart_of_accounts_with_account_number.py,Office Maintenance Expenses,Офис эксплуатационные расходы
,BOM Explorer,БОМ Екплорер
apps/erpnext/erpnext/utilities/user_progress.py,Go to ,Иди на
DocType: Shopify Settings,Update Price from Shopify To ERPNext Price List,Ажурирајте цену од Схопифи до ЕРПНект Ценовник
apps/erpnext/erpnext/config/help.py,Setting up Email Account,Подешавање Емаил налога
apps/erpnext/erpnext/manufacturing/doctype/production_plan/production_plan.js,Please enter Item first,Молимо унесите прва тачка
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py,Needs Analysis,Анализа потреба
DocType: Asset Repair,Downtime,Време заустављања
DocType: Account,Liability,одговорност
apps/erpnext/erpnext/hr/doctype/expense_claim/expense_claim.py,Sanctioned Amount cannot be greater than Claim Amount in Row {0}.,Санкционисани износ не може бити већи од износ потраживања у низу {0}.
apps/erpnext/erpnext/education/report/course_wise_assessment_report/course_wise_assessment_report.html,Academic Term: ,Академски термин:
DocType: Salary Detail,Do not include in total,Не укључујте у потпуности
DocType: Quiz Activity,Quiz Activity,Активност квиза
DocType: Company,Default Cost of Goods Sold Account,Уобичајено Набавна вредност продате робе рачуна
apps/erpnext/erpnext/stock/doctype/stock_entry/stock_entry.py,Sample quantity {0} cannot be more than received quantity {1},Количина узорка {0} не може бити већа од примљене количине {1}
apps/erpnext/erpnext/stock/get_item_details.py,Price List not selected,Прайс-лист не выбран
DocType: Employee,Family Background,Породица Позадина
DocType: Request for Quotation Supplier,Send Email,Сенд Емаил
DocType: Quality Goal,Weekday,Радним даном
apps/erpnext/erpnext/stock/doctype/item/item.py,Warning: Invalid Attachment {0},Упозорење: Неважећи Прилог {0}
DocType: Item,Max Sample Quantity,Максимална количина узорка
apps/erpnext/erpnext/accounts/doctype/journal_entry/journal_entry.py,No Permission,Без дозвола
DocType: Contract Fulfilment Checklist,Contract Fulfilment Checklist,Контролна листа Испуњавања уговора
DocType: Vital Signs,Heart Rate / Pulse,Срце / пулса
DocType: Supplier,Default Bank Account,Уобичајено банковног рачуна
apps/erpnext/erpnext/accounts/report/general_ledger/general_ledger.py,"To filter based on Party, select Party Type first","Филтрирање на основу партије, изаберите партија Типе први"
apps/erpnext/erpnext/controllers/sales_and_purchase_return.py,'Update Stock' can not be checked because items are not delivered via {0},"&#39;Ажурирање Сток &quot;не може се проверити, јер ствари нису достављене преко {0}"
DocType: Vehicle,Acquisition Date,Датум куповине
apps/erpnext/erpnext/regional/italy/utils.py,Nos,Нос
DocType: Item,Items with higher weightage will be shown higher,Предмети са вишим веигхтаге ће бити приказано више
apps/erpnext/erpnext/healthcare/doctype/inpatient_record/inpatient_record_dashboard.py,Lab Tests and Vital Signs,Лабораторијски тестови и витални знаци
DocType: Bank Reconciliation Detail,Bank Reconciliation Detail,Банка помирење Детаљ
apps/erpnext/erpnext/controllers/accounts_controller.py,Row #{0}: Asset {1} must be submitted,Ред # {0}: имовине {1} мора да се поднесе
apps/erpnext/erpnext/hr/doctype/leave_control_panel/leave_control_panel.py,No employee found,Не работник не найдено
DocType: Supplier Quotation,Stopped,Заустављен
DocType: Item,If subcontracted to a vendor,Ако подизвођење на продавца
apps/erpnext/erpnext/education/doctype/student_group/student_group.js,Student Group is already updated.,Студент Група је већ ажуриран.
apps/erpnext/erpnext/education/doctype/student_group/student_group.js,Student Group is already updated.,Студент Група је већ ажуриран.
apps/erpnext/erpnext/config/projects.py,Project Update.,Ажурирање пројекта.
DocType: SMS Center,All Customer Contact,Све Кориснички Контакт
DocType: Location,Tree Details,трее Детаљи
DocType: Marketplace Settings,Registered,Регистровано
DocType: Training Event,Event Status,Статус догађаја
DocType: Volunteer,Availability Timeslot,Аваилабилити Тимеслот
apps/erpnext/erpnext/config/support.py,Support Analytics,Подршка Аналитика
apps/erpnext/erpnext/accounts/doctype/payment_request/payment_request.py,"If you have any questions, please get back to us.","Уколико имате било каквих питања, молимо Вас да се вратим на нас."
DocType: Cash Flow Mapper,Cash Flow Mapper,Маппер за готовински ток
DocType: Item,Website Warehouse,Сајт Магацин
DocType: Payment Reconciliation,Minimum Invoice Amount,Минимални износ фактуре
apps/erpnext/erpnext/accounts/doctype/gl_entry/gl_entry.py,{0} {1}: Cost Center {2} does not belong to Company {3},{0} {1}: Цена центар {2} не припада компанији {3}
apps/erpnext/erpnext/www/lms/program.py,Program {0} does not exist.,Програм {0} не постоји.
apps/erpnext/erpnext/utilities/user_progress.py,Upload your letter head (Keep it web friendly as 900px by 100px),Отпремите писмо главом (Држите га на вебу као 900пк по 100пк)
apps/erpnext/erpnext/accounts/doctype/gl_entry/gl_entry.py,{0} {1}: Account {2} cannot be a Group,{0} {1}: налог {2} не може бити група
apps/erpnext/erpnext/accounts/doctype/sales_invoice/sales_invoice.py,Timesheet {0} is already completed or cancelled,Тимесхеет {0} је већ завршен или отказан
DocType: QuickBooks Migrator,QuickBooks Migrator,КуицкБоокс Мигратор
apps/erpnext/erpnext/templates/pages/projects.html,No tasks,Но задаци
apps/erpnext/erpnext/healthcare/doctype/patient_appointment/patient_appointment.py,Sales Invoice {0} created as paid,Продајна фактура {0} креирана је као плаћена
DocType: Item Variant Settings,Copy Fields to Variant,Копирај поља на варијанту
DocType: Asset,Opening Accumulated Depreciation,Отварање акумулирана амортизација
apps/erpnext/erpnext/hr/doctype/appraisal/appraisal.js,Score must be less than or equal to 5,Коначан мора бити мања или једнака 5
DocType: Program Enrollment Tool,Program Enrollment Tool,Програм Упис Алат
apps/erpnext/erpnext/config/accounting.py,C-Form records,Ц - Форма евиденција
apps/erpnext/erpnext/accounts/doctype/share_transfer/share_transfer.py,The shares already exist,Акције већ постоје
apps/erpnext/erpnext/config/help.py,Customer and Supplier,Купаца и добављача
DocType: Email Digest,Email Digest Settings,Е-маил подешавања Дигест
apps/erpnext/erpnext/accounts/doctype/payment_request/payment_request.py,Thank you for your business!,Хвала за ваш посао!
apps/erpnext/erpnext/config/support.py,Support queries from customers.,Подршка упите од купаца.
DocType: Employee Property History,Employee Property History,Историја имовине запослених
apps/erpnext/erpnext/stock/doctype/item/item.py,Variant Based On cannot be changed,Варијанта заснована на основу се не може променити
DocType: Setup Progress Action,Action Doctype,Ацтион Доцтипе
DocType: HR Settings,Retirement Age,Старосна граница
DocType: Bin,Moving Average Rate,Мовинг Авераге рате
DocType: Share Transfer,To Shareholder,За дионичара
apps/erpnext/erpnext/accounts/doctype/journal_entry/journal_entry.py,{0} against Bill {1} dated {2},{0} против Предлога закона {1} {2} од
apps/erpnext/erpnext/regional/report/eway_bill/eway_bill.py,From State,Од државе
apps/erpnext/erpnext/utilities/user_progress.py,Setup Institution,Сетуп Институтион
apps/erpnext/erpnext/hr/doctype/leave_period/leave_period.py,Allocating leaves...,Расподјела листова ...
DocType: Program Enrollment,Vehicle/Bus Number,Вехицле / Аутобус број
apps/erpnext/erpnext/public/js/call_popup/call_popup.js,Create New Contact,Креирајте нови контакт
apps/erpnext/erpnext/education/doctype/course/course.js,Course Schedule,Распоред курс
DocType: GSTR 3B Report,GSTR 3B Report,Извештај ГСТР 3Б
