Pension Funds,Fons de pensions
Select Serial No,Seleccioneu el número de sèrie
Sales Return,Retorn de vendes
No record found,No s’ha trobat cap registre
Expense Approvers,Aprovadors de despeses
Group same items,Agrupeu els mateixos elements
Parent Company,Empresa matriu
Reminder,Recordatori
Bank Overdraft Account,Compte de descobert bancari
Difference (Dr - Cr),Diferència (Dr - Cr)
"An Item Group exists with same name, please change the item name or rename the item group",Existeix un grup d’elements amb el mateix nom; canvieu el nom de l’element o canvieu el nom del grup d’articles
B+,B +
Following item {0} is not marked as {1} item. You can enable them as {1} item from its Item master,L’element següent {0} no està marcat com a {1} element. Podeu habilitar-los com a {1} ítem del seu propi document
Allow Overlap,Permet la superposició
Value for Attribute {0} must be within the range of {1} to {2} in the increments of {3} for Item {4},El valor per a l’atribut {0} ha d’estar dins de l’abast de {1} a {2} en els increments de {3} per a l’element {4}.
Billing Details,Detalls de facturació
Quality Procedure Table,Taula de procediments de qualitat
Serial No {0} created,No s’ha creat la sèrie {0}
Warehouse Detail,Detall del magatzem
To Deliver and Bill,Per lliurar i facturar
Added to details,Afegit als detalls
Add Users to Marketplace,Afegeix usuaris a Marketplace
Remind Before,Recordeu abans
Manage Customer,Gestioneu el client
Tier Name,Nom del nivell
Manufacturing Settings,Configuració de fabricació
Taken,Pres
Please select Start Date and End Date for Item {0},Seleccioneu Data d&#39;inici i Data de finalització de l&#39;element {0}
Education Settings,Configuració de l&#39;educació
Admission End Date,Data de finalització de l&#39;entrada
"If you {0} {1} worth item <b>{2}</b>, the scheme <b>{3}</b> will be applied on the item.
				","Si {0} {1} val l&#39;article <b>{2}</b> , l’esquema <b>{3}</b> s’aplicarà al document."
Please specify Company to proceed,Especifiqueu l&#39;empresa per procedir
Asset Maintenance Team,Equip de manteniment d’actius
Material Request Date,Data de sol·licitud de material
Responsibilities,Responsabilitats
Total Costing Amount (via Timesheets),Quantitat total de costos (a través de fulls de temps)
Importing Items and UOMs,Importació d&#39;elements i UOM
Leaves per Year,Fulles per any
Date of Leaving,Data de sortida
Export E-Invoices,Exportació de factures electròniques
Laboratory SMS Alerts,Alertes SMS de laboratori
Is Published,Publicat
Healthcare Practitioner,Practicant sanitari
Item Price updated for {0} in Price List {1},Preu de l’article actualitzat per {0} a la llista de preus {1}
"Batched Item {0} cannot be updated using Stock Reconciliation, instead use Stock Entry","L’article {0} rebutjat no es pot actualitzar mitjançant la reconciliació de valors, sinó l’ús d’inventari"
Total Experience,Experiència total
Material to Supplier,Material al proveïdor
{0} {1}: Customer is required against Receivable account {2},{0} {1}: el client es requereix contra el compte de cobrament {2}
Healthcare Services,Serveis sanitaris
Grade Code,Codi de qualificació
Appointments and Patient Encounters,Cites i trobades de pacients
TDS Computation Summary,Resum de la computació de TDS
Shipping Rule Label,Etiqueta de la regla d’enviament
Supplier Naming By,Nom del proveïdor per
Admissions for {0},Admissions de {0}
Loan Details,Detalls del préstec
Employee {0} on Half day on {1},Empleat {0} el mig dia de {1}
Max Exemption Amount cannot be greater than maximum exemption amount {0} of Tax Exemption Category {1},La quantitat màxima d’exempció no pot ser superior a l’import màxim de l’exempció {0} de la categoria d’exempció d’impostos {1}
Please set leave policy for employee {0} in Employee / Grade record,"Si us plau, establiu la política de permís per a l’empleat {0} al registre d’Empleat / Grau"
Cheque Number,Número de verificació
Prospects Engaged But Not Converted,Perspectives compromeses però no convertides
Stock Liabilities,Passius de valors
-Above,-A dalt
Item Website Specification,Especificació del lloc web de l&#39;article
"Item {0} (Serial No: {1}) cannot be consumed as is reserverd\
						 to fullfill Sales Order {2}.",L’element {0} (número de sèrie: {1}) no es pot consumir tal com és reservat per completar l’ordre de venda {2}.
Electric,Electricitat
"Item Price appears multiple times based on Price List, Supplier/Customer, Currency, Item, UOM, Qty and Dates.","El preu de l’article apareix diverses vegades segons la llista de preus, el proveïdor / client, la moneda, l’ítem, la UOM, la quantitat i les dates."
Stock Ledger Entry,Entrada de llibre de valors
Email Salary Slip to Employee,Envieu un resum d&#39;emissió a un empleat
Delivery Note No,Nota de lliurament núm
Add Timeslots,Afegeix els períodes de temps
Packing Slip Item,Empaquetatge d’embalatge
Standard Tax Exemption Amount,Import d’exempció d’impostos estàndard
Serialized Inventory,Inventari en sèrie
Requires Fulfilment,Cal complir
MAT-QA-.YYYY.-,MAT-QA-.AAAA.-
Receivable Account,Compte de cobrament
Website Attribute,Atribut del lloc web
No address added yet.,Encara no s’ha afegit cap adreça.
Partly Billed,Parcialment facturat
Customer isn't enrolled in any Loyalty Program,El client no està inscrit en cap programa de fidelització
Jobs,Treballs
Approval Status,Estat d&#39;aprovació
Opening Qty,Qty d’obertura
"Skipping Salary Structure Assignment for the following employees, as Salary Structure Assignment records already exists against them. {0}","Atribució de l’estructura salarial ometent per als empleats següents, ja que ja hi ha registres d’assignació d’estructura de salaris contra ells. {0}"
The Term End Date cannot be later than the Year End Date of the Academic Year to which the term is linked (Academic Year {}). Please correct the dates and try again.,La data de finalització del termini no pot ser posterior a la data de finalització de l’any de l’any acadèmic al qual s’estableix el vincle (any acadèmic {}). Corregiu les dates i torneu-ho a provar.
% Billed,% Facturat
Total Variance,Variació total
Split Issue,Divideix el problema
Default Supplier,Proveïdor predeterminat
Base,Base
Share Management,Gestió de participacions
Sales Order {0} is not valid,L&#39;ordre de venda {0} no és vàlida
Branch (optional),Branca (opcional)
Clearance Date,Data de liquidació
Criteria,Criteris
Raise Material Request when stock reaches re-order level,Augmentar la sol·licitud de material quan l’estoc arribi al nivell de reordenació
Campaign Efficiency,Eficiència de la campanya
Create Timesheet,Crea un full de temps
Internal Work History,Historial de treball intern
Select Target Warehouse,Seleccioneu Magatzem objectiu
Grace Period,Període de gràcia
Married,Casat
Available Qty at Source Warehouse,Quantitat disponible a Source Warehouse
Shipping Rule Country,Regla d’enviament del país
Email Sent To,Correu electrònic enviat a
Material Consumption,Consum de materials
Nothing to change,Res a canviar
No Lab Test created,No s’ha creat cap prova de laboratori
Maximum Samples - {0} have already been retained for Batch {1} and Item {2} in Batch {3}.,Les mostres màximes - {0} ja s’han mantingut per al lot {1} i l’article {2} al lot {3}.
"Cannot change company's default currency, because there are existing transactions. Transactions must be cancelled to change the default currency.","No es pot canviar la moneda per defecte de l&#39;empresa, ja que hi ha transaccions existents. Les transaccions s&#39;han de cancel·lar per canviar la moneda per defecte."
Office Maintenance Expenses,Despeses de manteniment d’oficines
Total allocated leaves are more days than maximum allocation of {0} leave type for employee {1} in the period,Les fulles assignades totals són més dies que l’assignació màxima de {0} tipus de permís per a l’empleat {1} durant el període
Update Rate and Availability,Actualització de la tarifa i la disponibilitat
Item Variant Attribute,Atribut de la variant de l’element
Available Batch Qty at From Warehouse,Quantitat de lot disponible a From Warehouse
Discount (%) on Price List Rate with Margin,Descompte (%) a la tarifa de llista de preus amb marge
Check if Asset requires Preventive Maintenance or Calibration,Comproveu si l’actiu necessita un manteniment preventiu o una calibració
Technician Name,Nom del tècnic
Normal Range,Interval normal
Total Projected Qty,Quantitat total projectada
Boms,Boms
Actual Start Date,Data d&#39;inici real
You are not present all day(s) between compensatory leave request days,No esteu presents tots els dies entre dies de sol·licitud de baixa compensatòria
About the Company,Sobre l&#39;empresa
Tree of financial accounts.,Arbre dels comptes financers.
Indirect Income,Ingressos indirectes
Hotel Room Reservation Item,Article de reserva d’habitació d’hotel
Course Start Date,Data d&#39;inici del curs
Sell,Vendre
Post Route String,Publica la cadena de rutes
Electrical,Elèctrica
Total Debit,Deute total
Guardian,Guardià
Transfer Type,Tipus de transferència
Database of potential customers.,Base de dades de clients potencials.
Skill Name,Nom d’habilitat
Print Report Card,Imprimeix el reportatge
Ternary Plot,Trama ternària
Support Tickets,Entrades de suport
Fixed Asset Account,Compte d&#39;actius fix
Latest,Últim
Submit Salary Slip,Envieu un resguard de salari
Adults' pulse rate is anywhere between 50 and 80 beats per minute.,La freqüència de pols dels adults és entre 50 i 80 batecs per minut.
Program Enrollment Course,Curs d&#39;inscripció al programa
IRS 1099,IRS 1099
Please set the series to be used.,Configureu la sèrie que s’utilitzarà.
Distance UOM,Distància UOM
Total Allocated Amount,Import total assignat
Get Advances Received,Obteniu avenços rebuts
B-,B-
Item Tax Amount Included in Value,Import de l’impost sobre l’element inclòs en el valor
"Row {0}: Invoice {1} is invalid, it might be cancelled / does not exist. \
						Please enter a valid Invoice","La fila {0}: la factura {1} no és vàlida, podria ser cancel·lada / no existeix. Introduïu una factura vàlida"
Subscription Plan,Pla de subscripció
Blood Group,Grup sanguini
Masters,Màsters
Crop Spacing UOM,Espai de cultiu UOM
Explore,Explora
"{0} vacancies and {1} budget for {2} already planned for subsidiary companies of {3}. \
				You can only plan for upto {4} vacancies and and budget {5} as per staffing plan {6} for parent company {3}.",{0} places vacants i {1} pressupost per a {2} ja planificades per a empreses filials de {3}. Només es poden planificar fins a {4} places vacants i pressupost {5} segons el pla de personal {6} per a la societat matriu {3}.
Product Discount Slabs,Lloses de descompte de productes
Amenities,Serveis
Add Test,Afegeix una prova
Row # {0}: Cannot return more than {1} for Item {2},Fila # {0}: no es pot retornar més de {1} per a l’element {2}
Student Leave Application,Sol·licitud d&#39;abandonament d&#39;estudiants
Repayment amount {} should be greater than monthly interest amount {},L’import del reemborsament {} ha de ser superior a l’import de l’interès mensual {}
Maintenance Schedule Item,Element del calendari de manteniment
POS Profile required to make POS Entry,Perfil de POS requerit per fer l&#39;entrada de TPV
Enable LMS,Habiliteu LMS
Sales Invoices Summary,Resum de factures de vendes
Credit To account must be a Balance Sheet account,El crèdit al compte ha de ser un compte de balanç
Duration,Durada
Descriptive,Descriptiu
Please select Price List,Seleccioneu la llista de preus
From Invoice Date,De la data de factura
Validate Batch for Students in Student Group,Valida el lot per a estudiants del grup d&#39;estudiants
Leave Allocations,Abandona les assignacions
Score cannot be greater than Maximum Score,La puntuació no pot ser superior a la puntuació màxima
BOM is not specified for subcontracting item {0} at row {1},No s’especifica la llista de materials per subcontractar l’ítem {0} a la fila {1}
Automatically Create New Batch,Crea automàticament un lot nou
Price List (Auto created),Llista de preus (creada automàticament)
Credit Limit and Payment Terms,Límit de crèdit i condicions de pagament
Show Variants,Mostra les variants
Please set 'Gain/Loss Account on Asset Disposal' in Company {0},Configureu &quot;Compte de guany / pèrdua en l’eliminació d’actius&quot; a la companyia {0}
Salary Slip of employee {0} already created for time sheet {1},Slip de salari d’empleat {0} ja creat per al full de temps {1}
Timesheet for tasks.,Full de temps per a tasques.
Rounded Total (Company Currency),Total arrodonit (moneda de la companyia)
Settings for website product listing,Configuració de la llista de productes del lloc web
Successfully Set Supplier,Establiu amb èxit el proveïdor
Start Date of Agreement can't be greater than or equal to End Date.,La data d&#39;inici de l&#39;acord no pot ser superior o igual a la data de finalització.
Item Prices,Preus dels articles
Product Page,Pàgina del producte
Market Place ID,Identificador del lloc de mercat
Production Order has been {0},La comanda de producció ha estat {0}
Employee Benefit Application,Sol·licitud de beneficis per a empleats
Item operation,Operació d’article
Partially Received,Rebut parcialment
MAT-LCV-.YYYY.-,MAT-LCV-.YYYY.-
Due Advance Amount,Quantitat anticipada deguda
Total allocated leaves {0} cannot be less than already approved leaves {1} for the period,Les fulles assignades totals {0} no poden ser inferiors a les fulles aprovades {1} ja aprovades per al període
New Purchase Orders,Noves comandes de compra
Item: {0} does not exist in the system,L&#39;element: {0} no existeix al sistema
Loan Info,Informació de préstec
Try planning operations for X days in advance.,Proveu de planificar les operacions abans de 10 dies.
Is Cancelled,Es cancel·la
For individual supplier,Per a proveïdors individuals
Min Qty can not be greater than Max Qty,Min Qty no pot ser superior a Max Qty
Loamy Sand,Loamy Sand
Row {0}: Payment against Sales/Purchase Order should always be marked as advance,Fila {0}: el pagament contra la comanda de compra / venda ha de ser sempre marcat com a avanç
"Example: ABCD.#####. If series is set and Batch No is not mentioned in transactions, then automatic batch number will be created based on this series. If you always want to explicitly mention Batch No for this item, leave this blank. Note: this setting will take priority over the Naming Series Prefix in Stock Settings.","Exemple: ABCD. #####. Si s’estableix la sèrie i no s’esmenta Batch No a les transaccions, es crearà el número de lot automàtic a partir d’aquesta sèrie. Si sempre voleu esmentar explícitament el número de lot d&#39;aquest article, deixeu-ho en blanc. Nota: aquest paràmetre tindrà prioritat sobre el prefix de les sèries de noms en la configuració de les accions."
Consultation,Consulta
Item Defaults,Valor per defecte de l&#39;element
Total Commission,Total Commission
Hotel Room,Habitació d&#39;hotel
{0} hours,{0} hores
Serial no is mandatory for the item {0},El número de sèrie és obligatori per a l&#39;article {0}
Standard Template,Plantilla estàndard
The number of shares and the share numbers are inconsistent,El nombre d’accions i els números de participació són inconsistents
Start and End Dates,Dates d&#39;inici i finalització
Notify Employee,Notifiqueu l’empleat
Software,Programari
Stock Expenses,Despeses d&#39;estoc
Reference No is mandatory if you entered Reference Date,El número de referència és obligatori si heu introduït la data de referència
Workshop,Taller
Auto insert Price List rate if missing,Insereix automàticament la tarifa de la llista de preus si falta
Course Content,Contingut del curs
Material Request Item,Article de sol·licitud de material
Maintenance Visit Purpose,Propòsit de la visita de manteniment
Skills,Habilitats
Out of Order,No funciona
Available {0},Disponible {0}
Select Customer,Seleccioneu el client
Ignore Workstation Time Overlap,Ignora la superposició de temps d’estació de treball
Hidden list maintaining the list of contacts linked to Shareholder,Llista oculta que manté la llista de contactes vinculats a l&#39;accionista
Same item has been entered multiple times,S&#39;ha introduït el mateix article diverses vegades
Serial No {0} is under maintenance contract upto {1},El número de sèrie {0} es troba sota contracte de manteniment fins a {1}
FCFS Rate,Taxa FCFS
Negative Quantity is not allowed,No es permet la quantitat negativa
Planning,Planificació
Marketplace URL (to hide and update label),URL del mercat (per ocultar i actualitzar l’etiqueta)
Parent Item Group,Grup d&#39;articles dels pares
Avg. Buying Price List Rate,Mitjana Compra de tarifa de llista de preus
Fichier des Ecritures Comptables [FEC],Fichier des Ecritures Comptables [FEC]
Row #{0}: Timings conflicts with row {1},Fila # {0}: els horaris conflueixen amb la fila {1}
Repeat Customers,Repeteix els clients
Fee Schedule,Horari de taxes
Reading 10,Lectura 10
Setting up Employees,Configuració dels empleats
Settings for Selling Module,Configuració per al mòdul de venda
Reconcile,Reconciliació
"Difference Account must be a Asset/Liability type account, since this Stock Entry is an Opening Entry","El compte de diferència ha de ser un compte de tipus Actiu / Responsabilitat, ja que aquesta entrada de valors és una entrada d&#39;obertura"
End Year cannot be before Start Year,L’any de finalització no pot ser abans de l’any inicial
Parent Task,Tasca de pare
Attendance Request,Sol·licitud d&#39;assistència
Moving Average,Mitjana mòbil
Unmarked Attendance,Assistència sense marcar
Number of Columns,Nombre de columnes
Add Weekly Holidays,Afegiu vacances setmanals
Shopify Log,Shopify Log
Create Salary Slip,Crea un desemborsament salarial
Customs Tariff Number,Número de tarifa de duanes
Value / Description,Valor / descripció
Issue Date,Data d&#39;emissió
Please select a Batch for Item {0}. Unable to find a single batch that fulfills this requirement,Seleccioneu un lot per a l&#39;element {0}. No es pot trobar un sol lot que compleixi aquest requisit
Cannot create Retention Bonus for left Employees,No es pot crear el bo de retenció per a empleats abandonats
To Receive,Rebre
You are in offline mode. You will not be able to reload until you have network.,Esteu en mode fora de línia. No podreu tornar a carregar fins que no tingueu xarxa.
Enrollment,Inscripció
Lab Test Template,Plantilla de prova de laboratori
Employee Birthday,Aniversari dels empleats
Max: {0},Màxim: {0}
E-Invoicing Information Missing,Falta informació sobre la facturació electrònica
No material request created,No s’ha creat cap sol·licitud de material
Total Amount Paid,Import total pagat
All these items have already been invoiced,Tots aquests articles ja s’han facturat
Trainer Name,Nom d&#39;entrenador
Project Manager,Gestor de projectes
Non Diary,No Diari
The shares don't exist with the {0},Les accions no existeixen amb el {0}
Test Group,Grup de proves
Number of days that the subscriber has to pay invoices generated by this subscription,Nombre de dies que el subscriptor ha de pagar factures generades per aquesta subscripció
Please set Unrealized Exchange Gain/Loss Account in Company {0},Configureu el compte de guanys / pèrdues de canvi no realitzats a l&#39;empresa {0}
Select Payment Account to make Bank Entry,Seleccioneu el compte de pagament per fer l&#39;entrada del banc
Scoring Setup,Configuració de puntuació
Total Interest Amount,Import total d’interès
Fiscal Year Start Date and Fiscal Year End Date are already set in Fiscal Year {0},L’any fiscal i la data d’acabament de l’any fiscal s’han establert a l’any fiscal {0}
Billable Hours,Hores facturables
Merge with Existing Account,Combina amb el compte existent
Lost Quotation,Cotització perduda
Note: Email will not be sent to disabled users,Nota: l’adreça electrònica no s’enviarà als usuaris discapacitats
"Create and manage daily, weekly and monthly email digests.","Creeu i gestioneu diaris diaris, setmanals i mensuals."
Academic Year,Any escolar
Stage Name,Nom artistic
All Employee (Active),Tots els empleats (actius)
Customer Details,Dades del client
Default Supplier Group,Grup de proveïdors predeterminat
Please cancel Purchase Receipt {0} first,Anul·lar primer el rebut de compra {0}
Charge of type 'Actual' in row {0} cannot be included in Item Rate,La càrrega del tipus &#39;Actual&#39; a la fila {0} no es pot incloure a la tarifa de l’article
Business Development Manager,Gerent de Desenvolupament de Negocis
Urgent,Urgent
From Value,De valor
Next Due Date,Propera data de venciment
Buy,Compra
Progress % for a task cannot be more than 100.,El progrés% per a una tasca no pot ser superior a 100.
Number of root accounts cannot be less than 4,El nombre de comptes d’arrel no pot ser inferior a 4
Website Item Groups,Grups d’elements del lloc web
Certified Consultant,Consultor certificat
Class,Classe
Sold,Venut
There can only be 1 Account per Company in {0} {1},Només hi pot haver un compte per empresa a {0} {1}
Against,Contra
Default Deferred Expense Account,Compte de despeses diferides per defecte
Auto Material Request,Sol·licitud de material automàtic
Sync in Progress,Sincronització en curs
No salary slip found to submit for the above selected criteria OR salary slip already submitted,No s’ha trobat cap butlletí de salari que s’enviï per als criteris seleccionats O el full de salari ja presentat
Create rules to restrict transactions based on values.,Creeu regles per restringir les transaccions basades en valors.
Enable Field Filters,Activa els filtres de camp
Loan Amount,Total del préstec
Miscellaneous Expenses,Despeses diverses
Please set Fiscal Code for the public administration '%s',Configureu el codi fiscal per a l&#39;administració pública &#39;% s&#39;
Setup mode of POS (Online / Offline),Mode de configuració del TPV (en línia / fora de línia)
User {0} doesn't have any default POS Profile. Check Default at Row {1} for this User.,L’usuari {0} no té cap perfil de POS per defecte. Comproveu Predeterminat a la fila {1} per a aquest usuari.
Leave Block List,Deixa la llista de blocs
Select Patient,Seleccioneu el pacient
Leave Type,Deixa el tipus
Creating student groups,Creació de grups d&#39;estudiants
Plants and Machineries,Plantes i maquinàries
Not Marked,No marcat
Purchase Invoice,Compra de factura
Is Opening,És obertura
Accounts Settings,Configuració de comptes
Actual Qty: Quantity available in the warehouse.,Quantitat real: quantitat disponible al magatzem.
Expires On,Caduca el
Accounting Entry for Asset,Entrada comptable per a l’actiu
Schedule Course,Programa el curs
Cost Center with existing transactions can not be converted to ledger,El centre de costos amb transaccions existents no es pot convertir en llibre major
Bank Clearance Summary,Resum de liquidació bancària
SMS Center,Centre SMS
Threshold for Suggestion,Llindar de suggeriment
Sales Invoice No,Factura de vendes núm
Project Update,Actualització del projecte
Student ID,Identificació d&#39;estudiant
Pending SO Items For Purchase Request,Articles de sol·licitud de compra pendents
Timeline,Línia de temps
The Loyalty Program isn't valid for the selected company,El programa de fidelització no és vàlid per a l&#39;empresa seleccionada
Configure {0},Configura {0}
Contact Details,Detalls de contacte
Classrooms/ Laboratories etc where lectures can be scheduled.,"Aules / laboratoris, etc. on es poden programar conferències."
Cannot cancel because submitted Stock Entry {0} exists,No es pot cancel·lar perquè existeix l&#39;entrada d’estoc {0}
Balance In Account Currency,Saldo en moneda de compte
Close the POS,Tanqueu el TPV
"For {0}, only credit accounts can be linked against another debit entry","Per a {0}, només es poden enllaçar comptes de crèdit amb una altra entrada de dèbit"
Pharmaceutical,Farmacèutica
Boarding Student,Estudiant d&#39;embarcament
Total Contribution Amount: {0},Quantitat total de contribució: {0}
Two-way,De dues vies
Appraisal,Valoració
Fiscal Year: {0} does not exists,Any fiscal: {0} no existeix
Create Employee,Crea un empleat
Structures have been assigned successfully,Les estructures s’han assignat amb èxit
Direct Expenses,Despeses directes
Result Route Field,Camp de ruta de resultats
There is not enough leave balance for Leave Type {0},No hi ha prou saldo per a la sortida de tipus {0}
Actual Qty,Quantitat real
Supplier Invoice Date,Data de la factura del proveïdor
Finance Book Id,Id del llibre de finances
Current Exchange Rate,Tipus de canvi actual
Equity,Equitat
"Row #{0}: Reference Document Type must be one of Sales Order, Sales Invoice or Journal Entry","La fila # {0}: el tipus de document de referència ha de ser una ordre de venda, factura de vendes o entrada de diari"
Explore Sales Cycle,Exploreu el cicle de vendes
Request Data,Sol·licitar dades
Quality Procedure,Procediment de qualitat
Email sent to supplier {0},Correu electrònic enviat al proveïdor {0}
Course wise Assessment Report,Informe d’avaluació sàvia del curs
Automotive,Automoció
Row {0}: Allocated amount {1} must be less than or equals to invoice outstanding amount {2},La fila {0}: la quantitat assignada {1} ha de ser inferior o igual a la factura de l&#39;import pendent {2}
Total Parents Teacher Meeting,Reunió total de professors
Row {0} : Operation is required against the raw material item {1},Fila {0}: es requereix una operació contra l’article de matèria primera {1}
Posting timestamp must be after {0},La publicació de la marca de temps ha de ser després de {0}
Please mention the Lead Name in Lead {0},"Si us plau, mencioneu el nom principal del plom {0}"
You can enter any date manually,Podeu introduir qualsevol data manualment
Stock Reconciliation Item,Article de reconciliació de valors
General Settings,Configuració general
Due Date cannot be before Posting / Supplier Invoice Date,La data de venciment no pot ser abans d’enviar / Data de la factura del proveïdor
Enter the name of the Beneficiary before submittting.,Introduïu el nom del beneficiari abans de presentar-vos.
Record Patient Vitals,Enregistreu els pacients Vitals
Show Configure Button,Mostra el botó de configuració
Industry Type,Tipus d&#39;indústria
Cannot select charge type as 'On Previous Row Amount' or 'On Previous Row Total' for first row,No es pot seleccionar el tipus de càrrega com a &quot;Quantitat de fila anterior&quot; o &quot;Total de fila anterior&quot; per a la primera fila
The shares already exist,Les accions ja existeixen
Available Qty at WIP Warehouse,Quantitat disponible a WIP Warehouse
Resolve error and upload again.,Resoldre l&#39;error i tornar a carregar.
Copy of Invitation/Announcement,Còpia de la invitació / anunci
Healthcare Service Unit,Unitat de serveis sanitaris
Total(Qty),Total (Quantitat)
Health Insurance No,Assegurança mèdica núm
Max Grade,Grau màxim
Approver,Aprovador
Sales Order Trends,Tendències de la comanda de vendes
Repair Cost,Cost de reparació
Please mention Round Off Account in Company,"Si us plau, mencioneu el compte d’arrodoniment a l’empresa"
Select Payroll Period,Seleccioneu el període de nòmina
Price List Name,Nom de la llista de preus
You can only submit Leave Encashment for a valid encashment amount,Només podeu enviar l’anunci de retenció per obtenir una quantitat de cobrament vàlida
"Higher the number, higher the priority","Més el nombre, més alta la prioritat"
Required Skills,Habilitats necessàries
Disable Marketplace,Desactiva el mercat
Action if Annual Budget Exceeded on Actual,Acció sobrepassat el pressupost anual sobre real
Course Abbreviation,Abreviatura del curs
Attendance not submitted for {0} as {1} on leave.,L&#39;assistència no s&#39;ha enviat a {0} com a {1} en permís.
Promotional Scheme Id,Id del programa promocional
End date of task <b>{0}</b> cannot be greater than <b>{1}</b> expected end date <b>{2}</b>,La data de finalització de la tasca <b>{0}</b> no pot ser superior a <b>{1}</b> data de finalització prevista <b>{2}</b>
License Details,Detalls de la llicència
e.g Adjustments for:,"per exemple, ajustaments per a:"
Default Quotation Validity Days,Dies de validesa de cita predeterminats
"Bank Account, From Date and To Date are Mandatory","El compte bancari, de data i data, són obligatoris"
Expense Type,Tipus de despeses
Auditor,Auditor
Payment Confirmation,Confirmació de pagament
Available Stock for Packing Items,Estoc disponible per a articles d&#39;embalatge
Please remove this Invoice {0} from C-Form {1},Elimineu aquesta factura {0} de C-Form {1}
Query Route String,Consulta la cadena de rutes
Customer Feedback Template,Plantilla de comentaris del client
Quotes to Leads or Customers.,Cotitzacions a clients o clients potencials.
Transporter,Transporter
Salary Slip of employee {0} already created for this period,Retard de salari de treballador {0} ja creat per a aquest període
To {0} | {1} {2},A {0} | {1} {2}
Block Date,Data de bloc
Contact No.,Núm. De contacte
Overproduction Percentage For Work Order,Percentatge de sobreproducció per ordre de treball
Enroll,Inscriviu-vos
Quotation Lost Reason,Quota Perduda Raó
Employee Billing Summary,Resum de facturació dels empleats
Country wise default Address Templates,Plantilles d’adreça predeterminades per país
Parent Cost Center,Centre de costos dels pares
Apply Rule On Item Group,Aplica la regla del grup d&#39;articles
Example: Basic Mathematics,Exemple: Matemàtiques bàsiques
Total Amount Reimbursed,Import total reemborsat
Validity period of this quotation has ended.,El període de validesa d’aquesta cita ha finalitzat.
Item-wise Sales History,Historial de vendes en funció dels articles
Personal Email,Correu electrònic personal
Cheque Date,Data de verificació
Previous Financial Year is not closed,L’exercici anterior no està tancat
Next Contact Date,Data de contacte següent
Membership,Membres
Default Buying Price List,Llista de preus de compra predeterminada
Depreciation Method,Mètode d’amortització
Travel Request,Sol·licitud de viatge
{0} variants created.,S&#39;han creat {0} variants.
Avoid Confirmation,Eviteu la confirmació
Under AMC,Sota AMC
"Warehouse required at Row No {0}, please set default warehouse for the item {1} for the company {2}","Magatzem necessari a la fila No {0}, establiu el magatzem per defecte per a l&#39;element {1} per a l&#39;empresa {2}"
Authorization Control,Control d&#39;autorització
Daily Work Summary Replies,Respostes diàries del treball de resum
You have been invited to collaborate on the project: {0},Has estat convidat a col·laborar en el projecte: {0}
Sales Details,Detalls de vendes
Letter Heads for print templates.,Capçals de lletres per a plantilles d&#39;impressió.
Tax on additional salary,Impost sobre el salari addicional
Attach Logo,Adjunta el logotip
For row {0}: Enter Planned Qty,Per a la fila {0}: introduïu Quantitat planificada
Calculate Prorated Depreciation Schedule Based on Fiscal Year,Calculeu el calendari d’amortització prorrat basat en l’exercici fiscal
Logs for maintaining sms delivery status,Registres per mantenir l&#39;estat de lliurament de SMS
Current Job Openings,Obertures de treball actuals
"Pricing Rule is first selected based on 'Apply On' field, which can be Item, Item Group or Brand.","La regla de preus es selecciona primer en funció del camp &quot;Aplica en&quot;, que pot ser un element, un grup d&#39;articles o una marca."
Add / Edit Taxes and Charges,Afegeix / edita impostos i càrregues
Supply Raw Materials for Purchase,Subministrament de matèries primeres per a la compra
Proposal Writing,Escriptura de propostes
Purchase Receipt Item,Article de rebut de compra
Get Sales Orders,Obteniu comandes de vendes
Selling,Venda
Prevent Purchase Orders,Eviteu les comandes de compra
Print and Stationery,Impressió i papereria
Shipping rule only applicable for Buying,Norma d’enviament només aplicable a la compra
No products found.,No s&#39;ha trobat cap producte.
Row {0}: Please set at Tax Exemption Reason in Sales Taxes and Charges,Fila {0}: establiu-ho a l’exemple d’exempció d’impostos en impostos sobre vendes i càrrecs
Assessment Group: ,Grup d’avaluació:
Parties,Festa
Show exploded view,Mostra la vista explotada
No Delivery Note selected for Customer {},No hi ha cap nota de lliurament seleccionada per al client {}
End on,Acaba
You can't redeem Loyalty Points having more value than the Grand Total.,No podeu canviar els punts de fidelitat que tinguin més valor que el Gran Total.
Designer,Dissenyador
Default Warehouse,Magatzem per defecte
Default Cash Account,Compte de caixa per defecte
Please enter Reference date,Introduïu la data de referència
Item {0} must be a stock Item,L’element {0} ha de ser un article en estoc
Print Format for Online,Format d&#39;impressió en línia
Employee Leave Balance,Saldo de la baixa laboral
Ignore User Time Overlap,Ignora la superposició de temps d&#39;usuari
As per Stock UOM,Segons Stock UOM
Cost Center with existing transactions can not be converted to group,El centre de costos amb transaccions existents no es pot convertir en grup
cannot be greater than 100,no pot ser superior a 100
Please Delivery Note first,Primer avís de lliurament
Leave Type Name,Deixa el nom de tipus
Homepage Featured Product,Producte destacat de la pàgina web
Examiner Name,Nom de l’examinador
Hotel Room Occupancy,Ocupació de l&#39;habitació dels hotels
Telecommunications,Telecomunicacions
Certification Application,Sol·licitud de certificació
Website Image should be a public file or website URL,La imatge del lloc web ha de ser un fitxer públic o URL del lloc web
