Pension Funds,Pensiju fondi
Student Batch Name,Studentu partijas nosaukums
Qty to Receive,Saņemamais daudzums
Previous Business Day,Iepriekšējā darba diena
Sponsored Amount,Sponsorētā summa
Please wait 3 days before resending the reminder.,"Lūdzu, pagaidiet 3 dienas pirms atgādinājuma nosūtīšanas."
Qty as per Stock UOM,Daudzums uz vienu akciju UOM
Quantity,Daudzums
Estimated Arrival,Paredzamā ierašanās
Trial Balance for Party,Izmēģinājuma bilance partijai
Employee Separation Template,Darbinieku atdalīšanas veidne
Unit,Vienība
Maximum benefit amount of component {0} exceeds {1},{0} komponenta maksimālā pabalsta summa pārsniedz {1}
Venture Capital,Riska kapitāls
Fiscal Year End Date should be one year after Fiscal Year Start Date,Finanšu gada beigu datumam jābūt vienam gadam pēc fiskālā gada sākuma datuma
Daily Reminders,Ikdienas atgādinājumi
Default Sales Unit of Measure,Noklusējuma pārdošanas vienība
Rate of Depreciation,Nolietojuma likme
Post Description Key,Post Apraksts Key
Minimum Total Spent,Minimālā kopējā summa
Period Score,Perioda rādītājs
Can't create standard criteria. Please rename the criteria,"Nevar izveidot standarta kritērijus. Lūdzu, pārdēvējiet kritērijus"
Arrival Datetime,Ierašanās Datetime
Student LMS Activity,Studentu LMS darbība
Quantity Difference,Daudzuma starpība
Row #{0}: Allocated Amount cannot be greater than outstanding amount.,Rinda # {0}: piešķirtā summa nevar būt lielāka par nenomaksāto summu.
Timesheet Detail,Laika kontrolsaraksts
Proficiency,Prasmes
Sent To,Nosūtīts uz
Hub Publishing Details,Informācija par Hub publicēšanu
"Student Batches help you track attendance, assessments and fees for students","Studentu partijas palīdz izsekot studentu apmeklējumam, novērtējumiem un maksām"
Declared Amount,Deklarētā summa
Auto close Opportunity after 15 days,Automātiski aizveriet iespēju pēc 15 dienām
Issue,Izdevums
Availability Timeslot,Pieejamība Laiks
Program Abbreviation,Programmas saīsinājums
Project Start Date,Projekta sākuma datums
Additional DIscount Amount,Papildu summa
Item {0} not found in 'Raw Materials Supplied' table in Purchase Order {1},{0} vienums nav atrodams tabulā “Pasūtīt izejmateriāli” pirkuma pasūtījumā {1}
Manage cost of operations,Pārvaldiet darbību izmaksas
You are not authorized to set Frozen value,Jums nav atļauts iestatīt iesaldēto vērtību
Lapsed,Zaudējis spēku
Investments,Ieguldījumi
Date of Birth,Dzimšanas datums
You need to be a user with System Manager and Item Manager roles to register on Marketplace.,"Lai reģistrētos Marketplace, jums ir jābūt lietotājam ar System Manager un Item Manager lomām."
Item Attribute Values,Vienuma atribūtu vērtības
Please save the patient first,"Lūdzu, vispirms saglabājiet pacientu"
Half Day Date should be between From Date and To Date,Pusdienas datumam jābūt starp datumu un datumu
Expected Discharge,Paredzamā izlāde
Travel Type,Ceļojuma veids
Customer is required,Klientam ir nepieciešams
Invalid quantity specified for item {0}. Quantity should be greater than 0.,"Nepareizs daudzums, kas norādīts vienumam {0}. Daudzumam jābūt lielākam par 0."
As Supervisor,Kā uzraudzītājs
Employees,Darbinieki
Billing Status,Norēķinu statuss
Please select Category first,"Lūdzu, vispirms atlasiet kategoriju"
BOM Browser,BOM pārlūks
Create Student Groups,Izveidot studentu grupas
In Minutes,Minūtēs
Net Pay cannot be less than 0,Neto maksa nedrīkst būt mazāka par 0
Schedules,Grafiki
Employee Training,Darbinieku apmācība
Rate of Interest (%) / Year,Procentu likme (%) / gads
Require Result Value,Pieprasīt rezultātu vērtību
Loan Type,Kredīta veids
Item Code required at Row No {0},Vienuma kods nepieciešams rindā Nr. {0}
Identification of the package for the delivery (for print),Piegādes iepakojuma identifikācija (drukāšanai)
Assessment Name,Novērtējuma nosaukums
Departure Datetime,Izbraukšana Datetime
From Warehouse,No noliktavas
Amount {0} {1} against {2} {3},Summa {0} {1} pret {2} {3}
Create Variant,Izveidot variantu
Fulfilment Terms and Conditions,Izpildes noteikumi
Date of Commencement should be greater than Date of Incorporation,Sākuma datumam jābūt lielākam par iekļaušanas datumu
Price or Product Discount,Cena vai produkta atlaide
Reading 1,Lasīšana 1
Maximum Age,Maksimālais vecums
Payroll Periods,Darba samaksas periodi
Transferred Quantity,Pārsūtītais daudzums
Marketplace Settings,Tirgus vietas iestatījumi
Purchase Orders are not allowed for {0} due to a scorecard standing of {1}.,"Pirkuma pasūtījumi nav atļauti {0}, jo {1} rādītājs ir rezultāts."
Price List not selected,Cenrādis nav atlasīts
Workstation is closed on the following dates as per Holiday List: {0},"Darbstacija ir slēgta šādos datumos, kā norādīts svētku sarakstā: {0}"
"Reselect, if the chosen address is edited after save","Atlasiet vēlreiz, ja izvēlētā adrese ir rediģēta pēc saglabāšanas"
Default Unit of Measure for Item {0} cannot be changed directly because you have already made some transaction(s) with another UOM. You will need to create a new Item to use a different Default UOM.,"{0} vienuma noklusējuma mērvienību nevar mainīt tieši, jo jūs jau esat veikuši kādu darījumu ar citu UOM. Lai izmantotu citu noklusējuma UOM, jums būs jāizveido jauns vienums."
Changing Customer Group for the selected Customer is not allowed.,Klientu grupas maiņa izvēlētajam klientam nav atļauta.
Creation Document Type,Izveides dokumenta veids
Available Batch Qty at Warehouse,Pieejamais partijas daudzums noliktavā
This is a root territory and cannot be edited.,"Tā ir saknes teritorija, un to nevar rediģēt."
Surgical History,Ķirurģiskā vēsture
Tree of Quality Procedures.,Kvalitātes procedūru koks.
Contact HTML,Sazinieties ar HTML
Employee Information,Informācija par darbiniekiem
Examiner,Pārbaudītājs
Actual Amount,Faktiskā summa
Fulfilled,Aizpildīts
Row {0}: Enter location for the asset item {1},Rinda {0}: ievadiet atrašanās vietas objektu {1}
View Timesheet,Skatīt laika kontrolsaraksts
Taxes and Charges Calculation,Nodokļi un maksas aprēķināšana
Action Document,Rīcības dokuments
Procedure Prescription,Procedūras recepte
Guardian Name,Aizbildņa vārds
Successfully Reconciled,Veiksmīgi saskaņota
Period Name,Perioda nosaukums
Please pull items from Delivery Note,"Lūdzu, velciet vienumus no piegādes paziņojuma"
Content Question,Satura jautājums
In Stock: ,Noliktavā:
Please save before assigning task.,"Lūdzu, saglabājiet pirms uzdevuma piešķiršanas."
Company is manadatory for company account,Uzņēmums ir uzņēmuma konts
Delivery Warehouse,Piegādes noliktava
Enable Shopify,Iespējot Shopify
Additional information regarding the patient,Papildu informācija par pacientu
Purchase Receipts,Pirkuma kvītis
New Employee,Jauns darbinieks
Update Auto Repeat Reference,Atjaunināt automātisko atkārtojumu
Fees,Maksa
Student Group Name,Studentu grupas nosaukums
Employee,Darbinieks
Available-for-use Date should be after purchase date,Lietošanai paredzētajam datumam jābūt pēc iegādes datuma
Please define grade for Threshold 0%,"Lūdzu, definējiet slieksni 0% apmērā"
"Apps using current key won't be able to access, are you sure?","Vai esat pārliecināts, ka lietojumprogrammas, kas izmanto pašreizējo atslēgu, nevarēs piekļūt?"
Minutes,Protokols
Correct,Pareizi
Total Declared Amount,Kopējā deklarētā summa
Material,Materiāls
Is Inpatient,Vai stacionārs
Encashment Amount,Kapitāla summa
Conversion Rate,Reklāmguvumu līmenis
CEO,CEO
Set tasks in this project as cancelled?,Iestatiet uzdevumus šajā projektā kā atceltu?
Reserved Qty for sub contract,Rezervētais daudzums apakšlīgumam
Create Payment Entry,Izveidot maksājumu ierakstu
Submit Proof,Iesniegt pierādījumu
Credit Months,Kredīta mēneši
Providing,Nodrošināšana
Total Billing Amount,Kopējā norēķinu summa
Maintenance Visit,Apkopes apmeklējums
Country of Origin,Izcelsmes valsts
Agriculture Analysis Criteria,Lauksaimniecības analīzes kritēriji
Additional Salary Component Exists.,Pastāv papildu algu komponents.
Grocery,Pārtikas preces
Minimum Seating,Minimālā sēdvietas
Furry,Furry
"Can not filter based on Account, if grouped by Account","Nevar filtrēt, pamatojoties uz kontu, ja tā ir sagrupēta pēc konta"
Bank Entries,Bankas ieraksti
Sandy Clay Loam,Sandy Clay Loam
LInked Analysis,Analīzes analīze
Valid From Date must be lesser than Valid Upto Date.,Derīgs no datuma jābūt mazākam par derīgo datumu.
Salary Component,Algas komponents
Maintenance Team Members,Uzturēšanas komandas locekļi
Minimum Age,Minimālais vecums
Available Selling,Pieejama pārdošana
Taxes and Charges Deducted,Atskaitīti nodokļi un nodevas
Create Lab Test,Izveidot laboratorijas testu
Hotel Settings,Viesnīcas iestatījumi
Select Transaction,Izvēlieties Darījums
Declare Lost,Atzīt zaudēto
If different than customer address,Ja atšķiras no klienta adreses
Chart Tree,Diagrammas koks
Contract,Līgums
Please select the Multiple Tier Program type for more than one collection rules.,"Lūdzu, atlasiet vairāku līmeņu programmas veidu vairākiem kolekcijas noteikumiem."
{0} for {1},{0} {1}
For Quantity (Manufactured Qty) is mandatory,Daudzumam (izgatavotajam daudzumam) ir obligāti jābūt
"e.g. ""Primary School"" or ""University""","piemēram, &quot;pamatskola&quot; vai &quot;universitāte&quot;"
Apply Multiple Pricing Rules,Lietot vairākus cenu noteikšanas noteikumus
Review Invitation Sent,Pārskatiet ielūgumu
No of Months,Mēnešu skaits
Serial Nos Required for Serialized Item {0},Serializētajam vienumam {0} nepieciešami sērijas numuri
Bill of Materials (BOM),Materiālu rēķins (BOM)
Allow Stale Exchange Rates,Atļaut Stale valūtas maiņas kursus
Website Description,Mājas lapas apraksts
Expense Details,Informācija par izdevumiem
From Range has to be less than To Range,No diapazona jābūt mazākam par diapazonu
Products to be shown on website homepage,"Produkti, kas tiks parādīti mājas lapas sākumlapā"
Is Master Data Processed,Vai tiek apstrādāti galvenie dati
Quantity  that must be bought or sold per UOM,"Daudzums, kas jāiegādājas vai pārdodams par UOM"
Total Sales Amount (via Sales Order),Kopējā pārdošanas summa (izmantojot pārdošanas pasūtījumu)
Box,Kaste
Default Cost Center,Noklusējuma izmaksu centrs
Billed Amt,Norēķinātais Amt
Please set default {0} in Company {1},"Lūdzu, iestatiet noklusējumu {0} uzņēmumā {1}"
Distance from left edge,Attālums no kreisās malas
Item 4,4. punkts
Income Account,Ienākumu konts
All Warehouses,Visas noliktavas
Signee Details,Signee Details
Procurement,Iepirkums
Check this if you want to show in website,"Pārbaudiet, vai vēlaties parādīt vietnē"
Fiscal Year {0} not found,Fiskālais gads {0} nav atrasts
Bank Statement Settings,Bankas izraksta iestatījumi
Score (0-5),Vērtējums (0-5)
Attribute {0} selected multiple times in Attributes Table,Atribūts tabulā vairākas reizes atlasīts atribūts {0}
Debit Note Issued,Izdots debeta paziņojums
"Please select Item where ""Is Stock Item"" is ""No"" and ""Is Sales Item"" is ""Yes"" and there is no other Product Bundle","Lūdzu, atlasiet vienumu, kur &quot;Vai krājumu vienība&quot; ir &quot;Nē&quot; un &quot;Pārdošanas vienums&quot; ir &quot;Jā&quot;, un nav cita produkta komplekta"
Employee {0} of grade {1} have no default leave policy,{1} darbiniekam {1} nav noklusējuma atvaļinājuma politikas
Leave Policy Detail,Atstāt politikas informāciju
Warehouse not found in the system,Noliktava nav atrodama sistēmā
OP Consulting Charge,OP konsultāciju maksa
Measurable Goal,Mērāms mērķis
Invoices,Rēķini
Currency Exchange,Valūtas maiņa
Fortnightly,Katru nedēļu
Serial No {0} not in stock,Sērijas Nr. {0} nav noliktavā
"Material Request not created, as quantity for Raw Materials already available.","Materiāla pieprasījums nav izveidots, jo daudzums jau pieejamajiem izejmateriāliem."
Creation User,Radīšanas lietotājs
"Record of all communications of type email, phone, chat, visit, etc.","Ierakstiet visu veidu e-pasta, tālruņa, tērzēšanas, apmeklējuma utt."
Asset Settings,Aktīvu iestatījumi
Worked On Holiday,Strādāja brīvdienās
Either location or employee must be required,Jānorāda vieta vai darbinieks
Item {0} is cancelled,{0} vienums tiek atcelts
Course End Date,Kursa beigu datums
Opportunity From field is mandatory,Iespēja no lauka ir obligāta
Warning: Leave application contains following block dates,Brīdinājums: Atstājiet lietojumprogrammā ir šādi bloku datumi
Preventive Maintenance,Profilaktiskā apkope
Institute Abbreviation,Institūts Saīsinājums
"Difference Account must be a Asset/Liability type account, since this Stock Reconciliation is an Opening Entry","Atšķirības kontam jābūt aktīva / pasīvu veida kontam, jo šī krājumu saskaņošana ir atvēršanas ieraksts"
Contract End Date must be greater than Date of Joining,Līguma beigu datumam jābūt lielākam par pievienošanās datumu
Default Leave Policy,Noklusējuma atstāšanas politika
Select Users,Izvēlieties Lietotāji
Net Hour Rate,Neto stundu likme
Age,Vecums
Event Details,Informācija par notikumiem
Accumulated Monthly,Uzkrātie mēneši
Save the document first.,Saglabājiet dokumentu vispirms.
Update Cost,Atjaunināt izmaksas
Fully Delivered,Pilnībā piegādāts
Please enter company first,"Lūdzu, vispirms ievadiet uzņēmumu"
Confirmed orders from Customers.,Apstiprināti Klientu pasūtījumi.
Dosage Strength,Devas stiprums
Fill the form and save it,Aizpildiet veidlapu un saglabājiet to
Enrollment Details,Reģistrācijas dati
Subscription Invoice,Abonēšanas rēķins
Total Leaves Encashed,Pavisam pievienotās lapas
Verified By,Verificēts
Get Invoices,Saņemiet rēķinus
Settled,Atrisināts
Re-open,Atkārtoti atveriet
Closing Fiscal Year,Finanšu gada slēgšana
Release Date,Izdošanas datums
Advances,Avansa maksājumi
Specify conditions to calculate shipping amount,Norādiet piegādes apjoma aprēķināšanas nosacījumus
Technology,Tehnoloģija
Can refer row only if the charge type is 'On Previous Row Amount' or 'Previous Row Total',"Var atsaukt rindu tikai tad, ja maksas veids ir “Iepriekšējā rindā” vai “Iepriekšējā rinda kopā”"
"If checked, Total no. of Working Days will include holidays, and this will reduce the value of Salary Per Day","Ja pārbaudīts, kopējais Nr. darba dienās tiks iekļautas brīvdienas, un tas samazinās Algas par dienu vērtību"
Location Name,Atrašanās vietas nosaukums
{0} {1}: Account {2} does not belong to Company {3},{0} {1}: konts {2} nepieder uzņēmumam {3}
Remaining Benefits (Yearly),Atlikušie ieguvumi (katru gadu)
Depreciation Start Date,Nolietojuma sākuma datums
Billing Rate,Norēķinu likme
Warning: Another {0} # {1} exists against stock entry {2},Brīdinājums: vēl {0} # {1} pastāv pret krājumu ierakstu {2}
Please enable Google Maps Settings to estimate and optimize routes,"Lūdzu, iespējojiet Google Maps iestatījumus, lai novērtētu un optimizētu maršrutus"
Max Score,Maksimālais punktu skaits
Repayment Start Date cannot be before Disbursement Date.,Atmaksāšanas sākuma datums nevar būt pirms izmaksas datuma.
Support Search Source,Atbalsta meklēšanas avots
Financial Services,Finanšu pakalpojumi
Availability,Pieejamība
Tree of Procedures,Procedūru koks
Allow Item to be added multiple times in a transaction,"Atļaut vienumu, kas darījumā tiks pievienots vairākas reizes"
{0} {1} is not submitted,{0} {1} netiek iesniegts
Backflush raw materials from work-in-progress warehouse,Atgrieziet izejvielas no nepabeigtās noliktavas
Maintenance Team Member,Uzturēšanas grupas loceklis
The minimum distance between rows of plants for optimum growth,Minimālais attālums starp augu rindām optimālai augšanai
Health Insurance Name,Veselības apdrošināšanas nosaukums
Stock Assets,Akciju aktīvi
Further cost centers can be made under Groups but entries can be made against non-Groups,"Papildu izmaksu centrus var izveidot grupās, bet ierakstus var veikt pret grupām, kas nav grupas"
Upper Income,Augšējie ienākumi
Discount Allowed Account,Atlaides atļautais konts
Restart Subscription,Restartējiet abonementu
You can not change rate if BOM mentioned agianst any item,"Jūs nevarat mainīt likmi, ja BOM pieminēja jebkuru vienumu"
Please login as another user to register on Marketplace,"Lūdzu, piesakieties kā cits lietotājs, lai reģistrētos Marketplace"
Insurance Details,Apdrošināšanas informācija
Past Due Date,Iepriekšējais termiņš
"You can only plan for upto {0} vacancies and budget {1} \
				for {2} as per staffing plan {3} for parent company {4}.","Mātesuzņēmumam {4} var plānot tikai {0} vakances un budžetu {1} {2}, kā personāla plānu {3}."
No GST No. found for the Company.,Uzņēmumam nav atrasts neviens GST Nr.
From Pin Code,No PIN koda
Signed On,Parakstīts
{0} {1}: Accounting Entry for {2} can only be made in currency: {3},{0} {1}: {2} grāmatvedības ierakstu var veikt tikai valūtā: {3}
Assessment Criteria,Novērtēšanas kritēriji
Is Billable,Ir rēķins
User must always select,Lietotājam vienmēr jāizvēlas
Compensatory leave request days not in valid holidays,Kompensācijas atvaļinājuma dienās nav derīgu brīvdienu
Sum of points for all goals should be 100. It is {0},Visu mērķu punktu skaitam jābūt 100. Tas ir {0}
Scrap Items,Metāllūžņu vienumi
Result Component,Rezultātu komponents
Please mention Basic and HRA component in Company,"Lūdzu, norādiet Basic un HRA komponentu uzņēmumā"
{0} does not belong to Company {1},{0} nepieder uzņēmumam {1}
Half Day Date,Pusdienas datums
Billing Address Name,Norēķinu adreses nosaukums
GST Itemised Purchase Register,GST detalizēts pirkumu reģistrs
Alternate Item,Alternatīvs vienums
Name of Applicant,Iesniedzēja vārds
Earned Leave,Nopelnīts atvaļinājums
June,jūnijs
Row {0}: Cost center is required for an item {1},{0} rinda: vienumam {1} ir nepieciešams izmaksu centrs
Can be approved by {0},Var apstiprināt ar {0}
Unit of Measure {0} has been entered more than once in Conversion Factor Table,Mērvienības {0} vienība konversijas koeficienta tabulā ir ievadīta vairāk nekā vienu reizi
Net Rate (Company Currency),Neto likme (uzņēmuma valūta)
All BOMs,Visi BOM
Days for which Holidays are blocked for this department.,"Dienas, kurās šī nodaļa ir bloķējusi brīvdienas."
"Cannot Submit, Employees left to mark attendance","Nevar iesniegt, darbinieki atstāti, lai atzīmētu apmeklējumu"
Quality Inspection Template,Kvalitātes pārbaudes veidne
Result Datetime,Rezultāts Datetime
Valuation,Vērtēšana
Student Monthly Attendance Sheet,Studentu ikmēneša apmeklējuma lapa
Term End Date,Termiņa beigu datums
Child Docname,Bērna Docname
Services,Pakalpojumi
Cannot set quantity less than received quantity,"Nevar iestatīt daudzumu, kas ir mazāks par saņemto daudzumu"
Supplier Part Number,Piegādātāja daļas numurs
Standard Selling Rate,Standarta pārdošanas likme
Please set an active menu for Restaurant {0},"Lūdzu, iestatiet aktīvo ēdienkarti restorānam {0}"
You need to be a user with System Manager and Item Manager roles to add users to Marketplace.,"Lai pievienotu lietotājus Marketplace, jums jābūt lietotājam ar sistēmas pārvaldnieka un vienumu pārvaldnieka lomām."
Asset Finance Book,Aktīvu finanšu grāmata
Employee Transfer,Darbinieku pārcelšana
Sales Funnel,Tirdzniecības piltuve
Water Analysis,Ūdens analīze
Accounts Frozen Upto,Konti iesaldēti Upto
There is nothing to edit.,Nekas nav rediģējams.
"Operation {0} longer than any available working hours in workstation {1}, break down the operation into multiple operations","Darbība {0} ilgāk nekā jebkurā darba vietā {1} pieejamā darba stunda, sadaliet darbību vairākās operācijās"
Do not update variants on save,Neatjauniniet saglabāšanas variantus
Threshold,Slieksnis
% Amount Billed,% Norēķinātais daudzums
Resolved By,Atrisināts līdz
"Add users to your organization, other than yourself.","Pievienojiet lietotājus savai organizācijai, izņemot sevi."
Default Company,Noklusējuma uzņēmums
Cash Account will used for Sales Invoice creation,Naudas konts tiks izmantots pārdošanas rēķina izveidei
Sales Order {0} is {1},Pārdošanas pasūtījums {0} ir {1}
Delay in payment (Days),Maksājuma aizkavēšanās (dienas)
Enter depreciation details,Ievadiet informāciju par amortizāciju
Expected Delivery Date should be after Sales Order Date,Paredzamajam piegādes datumam jābūt pēc pārdošanas pasūtījuma datuma
Invalid Attribute,Nederīgs atribūts
Please select BOM against item {0},"Lūdzu, atlasiet BOM pret vienumu {0}"
Invoice Type,Rēķina veids
Price List Master,Cenrādis
Lost Opportunity,Zaudēta iespēja
Maintenance Date,Uzturēšanas datums
Afternoon,Pēcpusdiena
Nutrition Values,Uztura vērtības
Presence of a fever (temp &gt; 38.5 °C/101.3 °F or sustained temp &gt; 38 °C/100.4 °F),"Drudzis (temp&gt; 38,5 ° C / 101,3 ° F vai ilgstoša temperatūra&gt; 38 ° C / 100,4 ° F)"
ITC Reversed,ITC mainīts
Collect Progress,Savākt progresu
Energy,Enerģija
Items To Be Requested,Pieprasāmie vienumi
Ca/K,Ca / K
Work Order already created for all items with BOM,"Darba kārtība, kas jau izveidota visiem vienumiem ar BOM"
Billed Amount,Norēķinātais daudzums
Current Odometer reading entered should be greater than initial Vehicle Odometer {0},Ievadītajam pašreizējam Odometra rādījumam jābūt lielākam par sākotnējo transportlīdzekļa skaitītāju {0}
Employee Transfer Property,Darbinieku pārveduma īpašums
Pending Activities,Līdz gaidāmajām darbībām
List a few of your customers. They could be organizations or individuals.,Uzskaitiet dažus no saviem klientiem. Tie varētu būt organizācijas vai indivīdi.
Bank Account Info,Bankas konta informācija
Guardian1 Name,Guardian1 nosaukums
Variable Based On Taxable Salary,"Mainīgs, pamatojoties uz nodokli apliekamo algu"
Accounting Period,Grāmatvedības periods
Standard Working Hours,Standarta darba stundas
In Stock,Noliktavā
Market Place Account Group,Tirgus vietas konta grupa
Before reconciliation,Pirms saskaņošanas
Fees Category,Nodevu kategorija
%  Delivered,% Piegādāts
Redemption Cost Center,Atpirkšanas izmaksu centrs
Respiratory rate,Elpošanas ātrums
Mandatory field - Get Students From,Obligāts lauks - iegūt studentus no
Item Classification,Vienība Klasifikācija
Is Existing Asset,Vai esošais aktīvs
Cancel Material Visits {0} before cancelling this Maintenance Visit,Pirms šī uzturēšanas apmeklējuma atcelšanas atceliet materiālu apmeklējumus {0}
Workstation Name,Darbstacijas nosaukums
Row #{0}: Status must be {1} for Invoice Discounting {2},Rinda # {0}: statusam jābūt {1} rēķina diskontēšanai {2}
Material Transfer,Materiālu nodošana
% Installed,% Instalēta
Agriculture Task,Lauksaimniecības uzdevums
Dosage Form,Devas forma
Select the program first,Vispirms izvēlieties programmu
Expected Start Date,Paredzamais sākuma datums
Share Transfer,Akciju pārvedums
Leave Management,Atstāt pārvaldību
Total Payable Interest,Kopā maksājamie procenti
Current Address,Pašreizējā adrese
Cannot {0} {1} {2} without any negative outstanding invoice,Nevar {0} {1} {2} bez negatīva neapmaksāta rēķina
Transaction not allowed against stopped Work Order {0},Darījums nav atļauts pret pārtrauktu darba uzdevumu {0}
Warehouses with existing transaction can not be converted to ledger.,Noliktavas ar esošo darījumu nevar pārvērst virsgrāmatā.
Deduct Tax For Unsubmitted Tax Exemption Proof,Nodokļa atskaitīšana par neapstiprinātu nodokļu atbrīvojumu
Clearance Date updated,Atjaunošanas datums atjaunināts
Delivery Stops,Piegāde apstājas
Setup Progress,Iestatīšanas progress
Ordered Items To Be Billed,"Pasūtītie vienumi, kas jāapmaksā"
To Amount,Uz summu
Is Return (Debit Note),Vai atgriešanās (debeta piezīme)
Getting Started,Darba sākšana
Merge,Apvienot
Cannot change Fiscal Year Start Date and Fiscal Year End Date once the Fiscal Year is saved.,"Nevar mainīt fiskālā gada sākuma datumu un fiskālā gada beigu datumu, kad tiek saglabāts fiskālais gads."
Get Material Request,Saņemt materiālu pieprasījumu
Invoice No,Rēķins Nr
Max Qty,Maksimālais daudzums
Row {0}: Allocated amount {1} must be less than or equals to Payment Entry amount {2},Rinda {0}: piešķirtajai summai {1} jābūt mazākai vai vienādai ar Maksājuma ieraksta summu {2}
Piecework,Darbs
Drop Ship,Drop Ship
Hub User,Hub lietotājs
No Result,Nav rezultātu
Match Transaction to Invoices,Saskaņot darījumu ar rēķiniem
Commission,Komisija
Sales Order Item,Pārdošanas pasūtījuma postenis
Actual Date,Faktiskais datums
Maintenance start date can not be before delivery date for Serial No {0},Uzturēšanas sākuma datums nevar būt pirms sērijas Nr. {0} piegādes datuma
Row {0}: Exchange Rate is mandatory,Rinda {0}: valūtas kurss ir obligāts
Select Supplier Address,Izvēlieties piegādātāja adresi
Please enter API Consumer Secret,"Lūdzu, ievadiet API patērētāju noslēpumu"
Program Enrollment Fee,Programmas reģistrācijas maksa
Warranty Expiry Date,Garantijas termiņa beigu datums
Hotel Room Pricing,Viesnīcas numura cenas
"Outward taxable supplies(other than zero rated, nil rated and exempted","Ārējie nodokļi, kas apliekami ar nodokli (izņemot nulles nominālvērtību, nulli un atbrīvoti no nodokļa)"
Resolution By,Izšķirtspēja
Customer Territory,Klientu teritorija
Last Communication,Pēdējais paziņojums
Total Billed Hours,Kopējais stundu skaits
Current invoice {0} is missing,Trūkst pašreizējā rēķina {0}
Patient Registration,Pacientu reģistrācija
Supplier Invoice No exists in Purchase Invoice {0},Piegādātāja rēķina Nr. Ir iegādes rēķinā {0}
Workday,Darba diena
No Items added to cart,Grozā nav pievienoti vienumi
Target Qty,Mērķa daudzums
"To merge, following properties must be same for both items","Lai apvienotu, abām vienībām jābūt vienādām šādām īpašībām"
Drug Prescription,Narkotiku recepte
Buildings,Ēkas
Application Date,Pieteikuma datums
Result,Rezultāts
Leave Block List Allowed,Atstāt bloķēto sarakstu
Row # {0}: Rate cannot be greater than the rate used in {1} {2},"Rinda # {0}: likme nevar būt lielāka par likmi, kas izmantota {1} {2}"
Blanket Order,Segas pasūtījums
Attendance for employee {0} is already marked,Darbinieku {0} apmeklējums jau ir atzīmēts
Assessment Result record {0} already exists.,Novērtējuma rezultātu ieraksts {0} jau pastāv.
Rounding Adjustment,Noapaļošanas regulēšana
Quality Review Table,Kvalitātes pārbaudes tabula
Membership Expiry Date,Dalības beigu datums
Expected Value After Useful Life,Paredzamā vērtība pēc lietderīgās lietošanas laika
November,Novembris
Rate of Interest,Procentu likme
Bank Statement Transaction Payment Item,Bankas konta izraksta maksājuma postenis
Waitlisted,Gaidīt sarakstā
You need to enable Shopping Cart,Jums ir jāiespējo iepirkumu grozs
Leave Status Notification Template,Atstājiet statusa paziņojumu veidni
Leave Without Pay,Atstājiet bez maksas
Actual Qty (at source/target),Faktiskais daudzums (pie avota / mērķa)
Tax ID,Nodokļu ID
See past orders,Skatīt iepriekšējos pasūtījumus
Current Qty,Pašreizējais daudzums
UOM Conversion factor is required in row {0},UOM konversijas koeficients ir nepieciešams {0} rindā
"Tax detail table fetched from item master as a string and stored in this field.
Used for Taxes and Charges","Nodokļu detalizācijas tabula, kas iegūta no vienuma kapteiņa kā virkne un saglabāta šajā laukā. Izmanto nodokļiem un maksām"
Key Responsibility Area,Galvenā atbildības joma
Sample Quantity,Parauga daudzums
Expense Claim,Izdevumu pieprasījums
Opening Date and Closing Date should be within same Fiscal Year,Atvēršanas datumam un noslēguma datumam jābūt vienā un tajā pašā finanšu gadā
Silt Composition (%),Silt kompozīcija (%)
Tax Withholding Rate,Nodokļu ieturējuma likme
Default Tax Template,Noklusējuma nodokļu veidne
Transfer Asset,Pārskaitījuma aktīvs
Opp/Lead %,Opp / Lead%
Please cancel Purchase Invoice {0} first,"Lūdzu, vispirms atcelt pirkuma rēķinu {0}"
Complete Job,Pabeigt darbu
Select Possible Supplier,Izvēlieties Iespējamais piegādātājs
Customer Groups,Klientu grupas
Hub Category,Hub kategorija
"Quotations are proposals, bids you have sent to your customers","Citāti ir priekšlikumi, cenas, ko esat nosūtījis saviem klientiem"
Reading 5,Lasīšana 5
Display Settings,Displeja iestatījumi
Please set Number of Depreciations Booked,"Lūdzu, norādiet rezervēto nolietojumu skaitu"
What do you need help with?,Kam tev vajag palīdzību?
Printing Settings,Drukāšanas iestatījumi
Banking,Banku darbība
Purchase Invoice Advance,Iegādāties rēķina avansu
EDU-APP-.YYYY.-,EDU-APP-.YYYY.-
PR Detail,PR detaļas
Billing Address is same as Shipping Address,Norēķinu adrese ir tāda pati kā piegādes adrese
Cash,Nauda
Leave Policy,Atstāt politiku
Student Address,Studentu adrese
CESS Account,CESS konts
{0} {1}: Cost Center is required for 'Profit and Loss' account {2}. Please set up a default Cost Center for the Company.,"{0} {1}: izmaksu centrs ir nepieciešams kontam “Peļņa un zaudējumi” {2}. Lūdzu, iestatiet uzņēmumam noklusējuma izmaksu centru."
"While creating account for child Company {0}, parent account {1} not found. Please create the parent account in corresponding COA","Veidojot kontu bērnam Uzņēmumam {0}, vecāku konts {1} netika atrasts. Lūdzu, izveidojiet mātes kontu atbilstošajā COA"
General Ledger,Ģenerālgrāmata
