DocType: Accounting Period,Period Name,Nama Tempoh
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py,Small,Kecil
DocType: Shopify Settings,"If Shopify not contains a customer in Order, then while syncing Orders, the system will consider default customer for order","Jika Shopify tidak mengandungi pelanggan dalam Perintah, maka semasa menyegerakkan Perintah, sistem akan mempertimbangkan pelanggan lalai untuk pesanan"
DocType: Opening Invoice Creation Tool Item,Opening Invoice Creation Tool Item,Membuka Item Penciptaan Alat Invois
DocType: Cashier Closing Payments,Cashier Closing Payments,Bayaran Penutupan Tunai
DocType: Education Settings,Employee Number,Bilangan pekerja
DocType: Subscription Settings,Cancel Invoice After Grace Period,Batal Invois Selepas Tempoh Grace
apps/erpnext/erpnext/stock/doctype/packing_slip/packing_slip.py,Case No(s) already in use. Try from Case No {0},Kes Tidak (s) telah digunakan. Cuba dari Case No {0}
DocType: Project,% Completed,% Selesai
,Invoiced Amount (Exculsive Tax),Invois (Exculsive Cukai)
DocType: Asset Finance Book,Rate of Depreciation,Kadar Susut Nilai
apps/erpnext/erpnext/public/js/utils/serial_no_batch_selector.js,Serial Numbers,Nombor Siri
apps/erpnext/erpnext/controllers/stock_controller.py,Row {0}: Quality Inspection rejected for item {1},Baris {0}: Pemeriksaan Kualiti ditolak untuk item {1}
apps/erpnext/erpnext/stock/report/bom_search/bom_search.js,Item 2,Perkara 2
DocType: Pricing Rule,Validate Applied Rule,Mengesahkan Peraturan Terapan
DocType: QuickBooks Migrator,Authorization Endpoint,Endpoint Kebenaran
DocType: Employee Onboarding,Notify users by email,Beritahu pengguna melalui e-mel
DocType: Travel Request,International,Antarabangsa
DocType: Training Event,Training Event,Event Training
DocType: Item,Auto re-order,Auto semula perintah
DocType: Attendance,Late Entry,Entri lewat
apps/erpnext/erpnext/selling/report/sales_partner_target_variance_based_on_item_group/item_group_wise_sales_target_variance.py,Total Achieved,Jumlah Pencapaian
DocType: Employee,Place of Issue,Tempat Dikeluarkan
DocType: Promotional Scheme,Promotional Scheme Price Discount,Diskaun Harga Skim Promosi
DocType: Contract,Contract,Kontrak
DocType: GSTR 3B Report,May,Boleh
DocType: Plant Analysis,Laboratory Testing Datetime,Ujian Laboratorium Datetime
DocType: Email Digest,Add Quote,Tambah Quote
apps/erpnext/erpnext/stock/doctype/stock_entry/stock_entry.py,UOM coversion factor required for UOM: {0} in Item: {1},Faktor coversion UOM diperlukan untuk UOM: {0} dalam Perkara: {1}
apps/erpnext/erpnext/accounts/doctype/account/chart_of_accounts/verified/standard_chart_of_accounts_with_account_number.py,Indirect Expenses,Perbelanjaan tidak langsung
apps/erpnext/erpnext/controllers/selling_controller.py,Row {0}: Qty is mandatory,Row {0}: Qty adalah wajib
DocType: Agriculture Analysis Criteria,Agriculture,Pertanian
apps/erpnext/erpnext/manufacturing/doctype/blanket_order/blanket_order.js,Create Sales Order,Buat Pesanan Jualan
apps/erpnext/erpnext/assets/doctype/asset/asset.py,Accounting Entry for Asset,Kemasukan Perakaunan untuk Aset
apps/erpnext/erpnext/accounts/doctype/purchase_invoice/purchase_invoice.js,Block Invoice,Blok Invois
apps/erpnext/erpnext/manufacturing/report/bom_stock_calculated/bom_stock_calculated.js,Quantity to Make,Kuantiti Membuat
apps/erpnext/erpnext/accounts/page/pos/pos.js,Sync Master Data,Sync Master Data
DocType: Asset Repair,Repair Cost,Kos Pembaikan
apps/erpnext/erpnext/utilities/user_progress.py,Your Products or Services,Produk atau Perkhidmatan anda
DocType: Quality Meeting Table,Under Review,Ditinjau
apps/erpnext/erpnext/setup/setup_wizard/setup_wizard.py,Failed to login,Gagal masuk
apps/erpnext/erpnext/controllers/buying_controller.py,Asset {0} created,Aset {0} dibuat
DocType: Coupon Code,Promotional,Promosi
DocType: Special Test Items,Special Test Items,Item Ujian Khas
apps/erpnext/erpnext/public/js/hub/marketplace.js,You need to be a user with System Manager and Item Manager roles to register on Marketplace.,Anda perlu menjadi pengguna dengan Pengurus Sistem dan peranan Pengurus Item untuk mendaftar di Marketplace.
apps/erpnext/erpnext/config/buying.py,Key Reports,Laporan Utama
DocType: Bank Statement Transaction Payment Item,Mode of Payment,Cara Pembayaran
apps/erpnext/erpnext/hr/doctype/employee_benefit_application/employee_benefit_application.py,As per your assigned Salary Structure you cannot apply for benefits,"Sebagaimana Struktur Gaji yang anda berikan, anda tidak boleh memohon manfaat"
apps/erpnext/erpnext/stock/doctype/item/item.py,Website Image should be a public file or website URL,Laman web Image perlu fail awam atau URL laman web
DocType: Purchase Invoice Item,BOM,BOM
apps/erpnext/erpnext/stock/doctype/item/item.py,Duplicate entry in Manufacturers table,Kemasukan pendua dalam jadual Pengilang
apps/erpnext/erpnext/setup/doctype/item_group/item_group.js,This is a root item group and cannot be edited.,Ini adalah kumpulan item akar dan tidak boleh diedit.
apps/erpnext/erpnext/accounts/doctype/account/account.js,Merge,Gabung
DocType: Journal Entry Account,Purchase Order,Pesanan Pembelian
DocType: Vehicle,Fuel UOM,Fuel UOM
DocType: Warehouse,Warehouse Contact Info,Gudang info
DocType: Payment Entry,Write Off Difference Amount,Tulis Off Jumlah Perbezaan
DocType: Volunteer,Volunteer Name,Nama Sukarelawan
apps/erpnext/erpnext/controllers/accounts_controller.py,Rows with duplicate due dates in other rows were found: {0},Baris dengan pendua tarikh akhir pada baris lain dijumpai: {0}
apps/erpnext/erpnext/hr/doctype/salary_slip/salary_slip.py,"{0}: Employee email not found, hence email not sent","{0}: e-mel pekerja tidak dijumpai, maka e-mel tidak dihantar"
apps/erpnext/erpnext/hr/doctype/leave_encashment/leave_encashment.py,No Salary Structure assigned for Employee {0} on given date {1},Tiada Struktur Gaji yang diberikan kepada Pekerja {0} pada tarikh yang diberikan {1}
apps/erpnext/erpnext/accounts/doctype/shipping_rule/shipping_rule.py,Shipping rule not applicable for country {0},Peraturan penghantaran tidak boleh digunakan untuk negara {0}
DocType: Item,Foreign Trade Details,Maklumat Perdagangan Luar Negeri
,Assessment Plan Status,Status Pelan Penilaian
DocType: Email Digest,Annual Income,Pendapatan tahunan
DocType: Serial No,Serial No Details,Serial No Butiran
DocType: Purchase Invoice Item,Item Tax Rate,Perkara Kadar Cukai
apps/erpnext/erpnext/regional/report/eway_bill/eway_bill.py,From Party Name,Dari Nama Parti
apps/erpnext/erpnext/hr/report/bank_remittance/bank_remittance.py,Net Salary Amount,Jumlah Gaji Bersih
DocType: Pick List,Delivery against Sales Order,Penghantaran terhadap Perintah Jualan
DocType: Student Group Student,Group Roll Number,Kumpulan Nombor Roll
DocType: Student Group Student,Group Roll Number,Kumpulan Nombor Roll
apps/erpnext/erpnext/accounts/doctype/journal_entry/journal_entry.py,"For {0}, only credit accounts can be linked against another debit entry","Untuk {0}, hanya akaun kredit boleh dikaitkan terhadap kemasukan debit lain"
apps/erpnext/erpnext/accounts/doctype/sales_invoice/sales_invoice.py,Delivery Note {0} is not submitted,Penghantaran Nota {0} tidak dikemukakan
apps/erpnext/erpnext/stock/get_item_details.py,Item {0} must be a Sub-contracted Item,Perkara {0} mestilah Sub-kontrak Perkara
apps/erpnext/erpnext/accounts/doctype/account/chart_of_accounts/verified/standard_chart_of_accounts_with_account_number.py,Capital Equipments,Peralatan Modal
apps/erpnext/erpnext/accounts/doctype/pricing_rule/pricing_rule.js,"Pricing Rule is first selected based on 'Apply On' field, which can be Item, Item Group or Brand.","Peraturan harga mula-mula dipilih berdasarkan &#39;Guna Mengenai&#39; bidang, yang boleh menjadi Perkara, Perkara Kumpulan atau Jenama."
apps/erpnext/erpnext/manufacturing/doctype/work_order/work_order.js,Please set the Item Code first,Sila nyatakan Kod Item terlebih dahulu
apps/erpnext/erpnext/regional/report/eway_bill/eway_bill.py,Doc Type,Doc Jenis
apps/erpnext/erpnext/controllers/selling_controller.py,Total allocated percentage for sales team should be 100,Jumlah peratusan yang diperuntukkan bagi pasukan jualan harus 100
DocType: Subscription Plan,Billing Interval Count,Count Interval Pengebilan
apps/erpnext/erpnext/hr/doctype/employee_transfer/employee_transfer.py,"Please delete the Employee <a href=""#Form/Employee/{0}"">{0}</a>\
					to cancel this document","Sila padamkan Pekerja <a href=""#Form/Employee/{0}"">{0}</a> \ untuk membatalkan dokumen ini"
apps/erpnext/erpnext/healthcare/doctype/healthcare_practitioner/healthcare_practitioner_dashboard.py,Appointments and Patient Encounters,Pelantikan dan Pesakit yang Menemui
apps/erpnext/erpnext/hr/doctype/employee_promotion/employee_promotion.js,Value missing,Nilai hilang
DocType: Employee,Department and Grade,Jabatan dan Gred
DocType: Antibiotic,Antibiotic,Antibiotik
,Team Updates,Pasukan Terbaru
apps/erpnext/erpnext/accounts/doctype/payment_order/payment_order.js,For Supplier,Untuk Pembekal
DocType: Account,Setting Account Type helps in selecting this Account in transactions.,Menetapkan Jenis Akaun membantu dalam memilih Akaun ini dalam urus niaga.
DocType: Purchase Invoice,Grand Total (Company Currency),Jumlah Besar (Syarikat mata wang)
apps/erpnext/erpnext/accounts/doctype/cheque_print_template/cheque_print_template.js,Create Print Format,Buat Format Cetak
apps/erpnext/erpnext/education/doctype/fee_schedule/fee_schedule_list.js,Fee Created,Bayaran Dibuat
apps/erpnext/erpnext/utilities/bot.py,Did not find any item called {0},Tidak jumpa apa-apa perkara yang dipanggil {0}
apps/erpnext/erpnext/stock/report/item_prices/item_prices.js,Items Filter,Penapis Item
DocType: Supplier Scorecard Criteria,Criteria Formula,Formula Kriteria
apps/erpnext/erpnext/stock/report/itemwise_recommended_reorder_level/itemwise_recommended_reorder_level.py,Total Outgoing,Jumlah Keluar
apps/erpnext/erpnext/accounts/doctype/shipping_rule/shipping_rule.py,"There can only be one Shipping Rule Condition with 0 or blank value for ""To Value""",Hanya ada satu Keadaan Peraturan Penghantaran dengan 0 atau nilai kosong untuk &quot;Untuk Nilai&quot;
DocType: Bank Statement Transaction Settings Item,Transaction,Transaksi
DocType: Call Log,Duration,Tempoh
apps/erpnext/erpnext/controllers/status_updater.py,"For an item {0}, quantity must be positive number","Untuk item {0}, kuantiti mestilah nombor positif"
apps/erpnext/erpnext/accounts/doctype/cost_center/cost_center.js,Note: This Cost Center is a Group. Cannot make accounting entries against groups.,Nota: Ini PTJ adalah Kumpulan. Tidak boleh membuat catatan perakaunan terhadap kumpulan.
apps/erpnext/erpnext/hr/doctype/compensatory_leave_request/compensatory_leave_request.py,Compensatory leave request days not in valid holidays,Hari permintaan cuti pampasan tidak bercuti
apps/erpnext/erpnext/stock/doctype/warehouse/warehouse.py,Child warehouse exists for this warehouse. You can not delete this warehouse.,Child gudang wujud untuk gudang ini. Anda tidak boleh memadam gudang ini.
DocType: Item,Website Item Groups,Kumpulan Website Perkara
DocType: Purchase Invoice,Total (Company Currency),Jumlah (Syarikat mata wang)
DocType: Daily Work Summary Group,Reminder,Peringatan
apps/erpnext/erpnext/regional/report/eway_bill/eway_bill.py,Accessable Value,Nilai yang boleh diakses
apps/erpnext/erpnext/stock/utils.py,Serial number {0} entered more than once,Nombor siri {0} memasuki lebih daripada sekali
DocType: Bank Statement Transaction Invoice Item,Journal Entry,Jurnal Entry
apps/erpnext/erpnext/regional/report/eway_bill/eway_bill.py,From GSTIN,Dari GSTIN
DocType: Expense Claim Advance,Unclaimed amount,Jumlah tidak dituntut
apps/erpnext/erpnext/manufacturing/doctype/work_order/work_order.js,{0} items in progress,{0} item dalam kemajuan
DocType: Workstation,Workstation Name,Nama stesen kerja
DocType: Grading Scale Interval,Grade Code,Kod gred
DocType: POS Item Group,POS Item Group,POS Item Kumpulan
apps/erpnext/erpnext/setup/doctype/email_digest/email_digest.js,Email Digest:,E-mel Digest:
apps/erpnext/erpnext/stock/doctype/item_alternative/item_alternative.py,Alternative item must not be same as item code,Item alternatif tidak boleh sama dengan kod item
apps/erpnext/erpnext/manufacturing/doctype/bom/bom.py,BOM {0} does not belong to Item {1},BOM {0} bukan milik Perkara {1}
DocType: Promotional Scheme,Product Discount Slabs,Slab Diskaun Produk
DocType: Target Detail,Target Distribution,Pengagihan Sasaran
DocType: Purchase Invoice,06-Finalization of Provisional assessment,06-Muktamadkan penilaian sementara
apps/erpnext/erpnext/erpnext_integrations/doctype/tally_migration/tally_migration.py,Importing Parties and Addresses,Mengimport Pihak dan Alamat
DocType: Salary Slip,Bank Account No.,No. Akaun Bank
DocType: Naming Series,This is the number of the last created transaction with this prefix,Ini ialah bilangan transaksi terakhir yang dibuat dengan awalan ini
DocType: Supplier Scorecard,"Scorecard variables can be used, as well as:
{total_score} (the total score from that period),
{period_number} (the number of periods to present day)
","Pemboleh ubah kad skor boleh digunakan, dan juga: {total_score} (jumlah skor dari tempoh itu), {period_number} (bilangan tempoh hingga ke hari sekarang)"
apps/erpnext/erpnext/manufacturing/doctype/blanket_order/blanket_order.js,Create Purchase Order,Buat Pesanan Pembelian
DocType: Quality Inspection Reading,Reading 8,Membaca 8
DocType: Inpatient Record,Discharge Note,Nota Pelepasan
apps/erpnext/erpnext/config/desktop.py,Getting Started,Bermula
DocType: Purchase Invoice,Taxes and Charges Calculation,Cukai dan Caj Pengiraan
DocType: Accounts Settings,Book Asset Depreciation Entry Automatically,Buku Asset Kemasukan Susutnilai secara automatik
DocType: Accounts Settings,Book Asset Depreciation Entry Automatically,Buku Asset Kemasukan Susutnilai secara automatik
DocType: BOM Operation,Workstation,Stesen kerja
DocType: Request for Quotation Supplier,Request for Quotation Supplier,Sebut Harga Pembekal
DocType: Healthcare Settings,Registration Message,Mesej Pendaftaran
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py,Hardware,Perkakasan
DocType: Prescription Dosage,Prescription Dosage,Dosis Preskripsi
DocType: Contract,HR Manager,HR Manager
apps/erpnext/erpnext/accounts/party.py,Please select a Company,Sila pilih sebuah Syarikat
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py,Privilege Leave,Privilege Cuti
DocType: Purchase Invoice,Supplier Invoice Date,Pembekal Invois Tarikh
apps/erpnext/erpnext/shopping_cart/doctype/shopping_cart_settings/shopping_cart_settings.py,You need to enable Shopping Cart,Anda perlu untuk membolehkan Troli
DocType: Payment Entry,Writeoff,Hapus kira
DocType: Maintenance Visit,MAT-MVS-.YYYY.-,MAT-MVS-.YYYY.-
DocType: HR Settings,<b>Example:</b> SAL-{first_name}-{date_of_birth.year} <br>This will generate a password like SAL-Jane-1972,<b>Contoh:</b> SAL- {first_name} - {date_of_birth.year} <br> Ini akan menghasilkan kata laluan seperti SAL-Jane-1972
DocType: Stock Settings,Naming Series Prefix,Naming Prefix Prefix
DocType: Appraisal Template Goal,Appraisal Template Goal,Templat Penilaian Matlamat
DocType: Salary Component,Earning,Pendapatan
DocType: Supplier Scorecard,Scoring Criteria,Kriteria Pemarkahan
DocType: Purchase Invoice,Party Account Currency,Akaun Pihak Mata Wang
DocType: Delivery Trip,Total Estimated Distance,Jumlah Anggaran
DocType: Invoice Discounting,Accounts Receivable Unpaid Account,Akaun Belum Dibayar Akaun Belum Dibayar
DocType: Tally Migration,Tally Company,Syarikat Tally
apps/erpnext/erpnext/config/manufacturing.py,BOM Browser,BOM Pelayar
apps/erpnext/erpnext/accounts/doctype/accounting_dimension/accounting_dimension.py,Not allowed to create accounting dimension for {0},Tidak dibenarkan membuat dimensi perakaunan untuk {0}
apps/erpnext/erpnext/templates/emails/training_event.html,Please update your status for this training event,Sila kemas kini status anda untuk acara latihan ini
DocType: Item Barcode,EAN,EAN
DocType: Purchase Taxes and Charges,Add or Deduct,Tambah atau Memotong
apps/erpnext/erpnext/accounts/doctype/shipping_rule/shipping_rule.py,Overlapping conditions found between:,Keadaan bertindih yang terdapat di antara:
DocType: Bank Transaction Mapping,Field in Bank Transaction,Bidang Urus Niaga Bank
apps/erpnext/erpnext/accounts/doctype/gl_entry/gl_entry.py,Against Journal Entry {0} is already adjusted against some other voucher,Terhadap Journal Entry {0} telah diselaraskan dengan beberapa baucar lain
,Inactive Sales Items,Item Jualan Tidak Aktif
DocType: Quality Review,Additional Information,Maklumat tambahan
apps/erpnext/erpnext/selling/report/inactive_customers/inactive_customers.py,Total Order Value,Jumlah Nilai Pesanan
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py,Food,Makanan
apps/erpnext/erpnext/accounts/report/accounts_payable/accounts_payable.js,Ageing Range 3,Range Penuaan 3
DocType: POS Closing Voucher Details,POS Closing Voucher Details,Butiran Baucar Penutupan POS
DocType: Bank Account,Is the Default Account,Adakah Akaun Lalai
DocType: Shopify Log,Shopify Log,Log Shopify
apps/erpnext/erpnext/public/js/call_popup/call_popup.js,No communication found.,Tiada komunikasi dijumpai.
DocType: Inpatient Occupancy,Check In,Daftar masuk
apps/erpnext/erpnext/accounts/doctype/payment_request/payment_request.js,Create Payment Entry,Buat Entri Pembayaran
DocType: Maintenance Schedule Item,No of Visits,Jumlah Lawatan
apps/erpnext/erpnext/maintenance/doctype/maintenance_schedule/maintenance_schedule.py,Maintenance Schedule {0} exists against {1},Jadual Penyelenggaraan {0} wujud daripada {1}
apps/erpnext/erpnext/education/doctype/student_applicant/student_applicant.js,Enrolling student,pelajar yang mendaftar
apps/erpnext/erpnext/accounts/doctype/period_closing_voucher/period_closing_voucher.py,Currency of the Closing Account must be {0},Mata Wang Akaun Penutupan mestilah {0}
apps/erpnext/erpnext/healthcare/doctype/patient_appointment/patient_appointment.py,"Appointment overlaps with {0}.<br> {1} has appointment scheduled
			with {2} at {3} having {4} minute(s) duration.",Pelantikan bertindih dengan {0}. <br> {1} mempunyai pelantikan yang dijadualkan dengan {2} pada {3} mempunyai tempoh {4} minit (s).
apps/erpnext/erpnext/hr/doctype/appraisal_template/appraisal_template.py,Sum of points for all goals should be 100. It is {0},Jumlah mata untuk semua matlamat harus 100. Ia adalah {0}
DocType: Project,Start and End Dates,Tarikh mula dan tamat
DocType: Contract Template Fulfilment Terms,Contract Template Fulfilment Terms,Terma Pemenuhan Template Kontrak
,Delivered Items To Be Billed,Item Dihantar dikenakan caj
DocType: Coupon Code,Maximum Use,Penggunaan maksimum
apps/erpnext/erpnext/manufacturing/doctype/bom/bom_item_preview.html,Open BOM {0},Terbuka BOM {0}
apps/erpnext/erpnext/stock/doctype/serial_no/serial_no.py,Warehouse cannot be changed for Serial No.,Gudang tidak boleh diubah untuk No. Siri
DocType: Authorization Rule,Average Discount,Diskaun Purata
DocType: Pricing Rule,UOM,UOM
DocType: Employee Tax Exemption Declaration,Annual HRA Exemption,Pengecualian HRA Tahunan
DocType: Rename Tool,Utilities,Utiliti
DocType: POS Profile,Accounting,Perakaunan
DocType: Asset,Purchase Receipt Amount,Jumlah Resit Pembelian
DocType: Employee Separation,Exit Interview Summary,Keluar daripada Ringkasan Temuduga
apps/erpnext/erpnext/public/js/utils/serial_no_batch_selector.js,Please select batches for batched item ,Sila pilih kumpulan untuk item batched
DocType: Asset,Depreciation Schedules,Jadual susutnilai
apps/erpnext/erpnext/projects/doctype/timesheet/timesheet.js,Create Sales Invoice,Buat Invois Jualan
apps/erpnext/erpnext/regional/doctype/gstr_3b_report/gstr_3b_report.html,Ineligible ITC,ITC tidak layak
DocType: Task,Dependent Tasks,Tugasan yang bergantung
apps/erpnext/erpnext/regional/report/gstr_1/gstr_1.py,Following accounts might be selected in GST Settings:,Berikut akaun mungkin dipilih dalam Tetapan CBP:
apps/erpnext/erpnext/manufacturing/report/bom_stock_report/bom_stock_report.js,Quantity to Produce,Kuantiti untuk Menghasilkan
apps/erpnext/erpnext/hr/doctype/leave_application/leave_application.py,Application period cannot be outside leave allocation period,Tempoh permohonan tidak boleh cuti di luar tempoh peruntukan
DocType: Activity Cost,Projects,Projek
DocType: Payment Request,Transaction Currency,transaksi mata Wang
apps/erpnext/erpnext/controllers/buying_controller.py,From {0} | {1} {2},Dari {0} | {1} {2}
apps/erpnext/erpnext/public/js/hub/marketplace.js,Some emails are invalid,Sesetengah e-mel adalah tidak sah
DocType: Work Order Operation,Operation Description,Operasi Penerangan
apps/erpnext/erpnext/accounts/doctype/fiscal_year/fiscal_year.py,Cannot change Fiscal Year Start Date and Fiscal Year End Date once the Fiscal Year is saved.,Tidak dapat ubah Tahun Fiskal Mula Tarikh dan Tahun Anggaran Tarikh akhir sekali Tahun Fiskal disimpan.
DocType: Quotation,Shopping Cart,Troli Membeli-belah
apps/erpnext/erpnext/stock/report/itemwise_recommended_reorder_level/itemwise_recommended_reorder_level.py,Avg Daily Outgoing,Purata harian Keluar
DocType: POS Profile,Campaign,Kempen
DocType: Supplier,Name and Type,Nama dan Jenis
apps/erpnext/erpnext/public/js/hub/pages/Item.vue,Item Reported,Item Dilaporkan
apps/erpnext/erpnext/hr/doctype/expense_claim/expense_claim.py,Approval Status must be 'Approved' or 'Rejected',Kelulusan Status mesti &#39;diluluskan&#39; atau &#39;Ditolak&#39;
DocType: Healthcare Practitioner,Contacts and Address,Kenalan dan Alamat
DocType: Shift Type,Determine Check-in and Check-out,Tentukan daftar masuk dan daftar keluar
DocType: Salary Structure,Max Benefits (Amount),Faedah Max (Amaun)
apps/erpnext/erpnext/templates/includes/cart/cart_items.html,Add notes,Tambah nota
DocType: Purchase Invoice,Contact Person,Dihubungi
apps/erpnext/erpnext/projects/doctype/task/task.py,'Expected Start Date' can not be greater than 'Expected End Date','Jangkaan Tarikh Bermula' tidak boleh menjadi lebih besar daripada 'Jangkaan Tarikh Tamat'
apps/erpnext/erpnext/selling/page/sales_funnel/sales_funnel.js,No data for this period,Tiada data untuk tempoh ini
DocType: Course Scheduling Tool,Course End Date,Kursus Tarikh Akhir
DocType: Holiday List,Holidays,Cuti
DocType: Sales Order Item,Planned Quantity,Dirancang Kuantiti
DocType: Water Analysis,Water Analysis Criteria,Kriteria Analisis Air
DocType: Item,Maintain Stock,Mengekalkan Stok
DocType: Terms and Conditions,Applicable Modules,Modul yang berkenaan
DocType: Employee,Prefered Email,diinginkan Email
DocType: Student Admission,Eligibility and Details,Kelayakan dan Butiran
apps/erpnext/erpnext/accounts/report/gross_and_net_profit_report/gross_and_net_profit_report.py,Included in Gross Profit,Termasuk dalam Untung Kasar
apps/erpnext/erpnext/accounts/report/cash_flow/cash_flow.py,Net Change in Fixed Asset,Perubahan Bersih dalam Aset Tetap
apps/erpnext/erpnext/manufacturing/report/bom_stock_calculated/bom_stock_calculated.py,Reqd Qty,Reqd Qty
apps/erpnext/erpnext/controllers/accounts_controller.py,Charge of type 'Actual' in row {0} cannot be included in Item Rate,Penjaga jenis &#39;sebenar&#39; di baris {0} tidak boleh dimasukkan dalam Kadar Perkara
apps/erpnext/erpnext/manufacturing/doctype/work_order/work_order.js,Max: {0},Max: {0}
apps/erpnext/erpnext/projects/report/daily_timesheet_summary/daily_timesheet_summary.py,From Datetime,Dari datetime
DocType: Shopify Settings,For Company,Bagi Syarikat
apps/erpnext/erpnext/buying/doctype/request_for_quotation/request_for_quotation.py,"Request for Quotation is disabled to access from portal, for more check portal settings.","Sebut Harga dilumpuhkan untuk mengakses dari portal, lebih tetapan portal cek."
DocType: Supplier Scorecard Scoring Variable,Supplier Scorecard Scoring Variable,Pembekal Skor Kad Pembekal Pembekal
apps/erpnext/erpnext/accounts/report/gross_profit/gross_profit.py,Buying Amount,Membeli Jumlah
DocType: POS Closing Voucher,Modes of Payment,Mod Pembayaran
DocType: Sales Invoice,Shipping Address Name,Alamat Penghantaran Nama
apps/erpnext/erpnext/accounts/doctype/account/account.js,Chart of Accounts,Carta Akaun
DocType: Material Request,Terms and Conditions Content,Terma dan Syarat Kandungan
apps/erpnext/erpnext/education/doctype/course_scheduling_tool/course_scheduling_tool.js,There were errors creating Course Schedule,Terdapat kesilapan mencipta Jadual Kursus
DocType: Communication Medium,Timeslots,Timeslots
DocType: Department,The first Expense Approver in the list will be set as the default Expense Approver.,Pengendali Perbelanjaan pertama dalam senarai akan ditetapkan sebagai Pengecualian Perbelanjaan lalai.
apps/erpnext/erpnext/accounts/doctype/sales_invoice/sales_invoice.js,cannot be greater than 100,tidak boleh lebih besar daripada 100
apps/erpnext/erpnext/public/js/hub/marketplace.js,You need to be a user other than Administrator with System Manager and Item Manager roles to register on Marketplace.,Anda perlu menjadi pengguna selain Pentadbir dengan Pengurus Sistem dan peranan Pengurus Item untuk mendaftar di Marketplace.
apps/erpnext/erpnext/stock/doctype/item/item.py,Item {0} is not a stock Item,Perkara {0} bukan Item saham
DocType: Packing Slip,MAT-PAC-.YYYY.-,MAT-PAC-.YYYY.-
DocType: Maintenance Visit,Unscheduled,Tidak Berjadual
DocType: Employee,Owned,Milik
DocType: Pricing Rule,"Higher the number, higher the priority","Lebih tinggi nombor tersebut, lebih tinggi keutamaan"
,Purchase Invoice Trends,Membeli Trend Invois
apps/erpnext/erpnext/www/all-products/not_found.html,No products found,Tiada produk dijumpai
DocType: Employee,Better Prospects,Prospek yang lebih baik
DocType: Travel Itinerary,Gluten Free,Bebas gluten
DocType: Loyalty Program Collection,Minimum Total Spent,Jumlah Jumlah Minimum
apps/erpnext/erpnext/stock/doctype/batch/batch.py,"Row #{0}: The batch {1} has only {2} qty. Please select another batch which has {3} qty available or split the row into multiple rows, to deliver/issue from multiple batches","Row # {0}: batch The {1} hanya {2} qty. Sila pilih satu lagi kumpulan yang mempunyai {3} qty ada atau berpecah baris ke dalam pelbagai baris, untuk menyampaikan / isu dari pelbagai kelompok"
DocType: Loyalty Program,Expiry Duration (in days),Tempoh tamat tempoh (dalam hari)
DocType: Inpatient Record,Discharge Date,Tarikh Pelepasan
DocType: Subscription Plan,Price Determination,Penetapan harga
DocType: Vehicle,License Plate,Plate lesen
apps/erpnext/erpnext/hr/doctype/department/department_tree.js,New Department,Jabatan Baru
DocType: Compensatory Leave Request,Worked On Holiday,Bekerja Semasa Percutian
DocType: Appraisal,Goals,Matlamat
DocType: Support Settings,Allow Resetting Service Level Agreement,Benarkan Perjanjian Tahap Perkhidmatan Semula
apps/erpnext/erpnext/selling/page/point_of_sale/point_of_sale.js,Select POS Profile,Pilih Profil POS
DocType: Warranty Claim,Warranty / AMC Status,Waranti / AMC Status
,Accounts Browser,Pelayar Akaun-akaun
DocType: Procedure Prescription,Referral,Rujukan
DocType: Payment Entry Reference,Payment Entry Reference,Pembayaran Rujukan Kemasukan
DocType: GL Entry,GL Entry,GL Entry
DocType: Support Search Source,Response Options,Pilihan Response
DocType: Pricing Rule,Apply Multiple Pricing Rules,Terapkan Peraturan Harga Pelbagai
DocType: HR Settings,Employee Settings,Tetapan pekerja
apps/erpnext/erpnext/templates/pages/integrations/gocardless_checkout.html,Loading Payment System,Memuatkan Sistem Pembayaran
,Batch-Wise Balance History,Batch Bijaksana Baki Sejarah
apps/erpnext/erpnext/controllers/accounts_controller.py,Row #{0}: Cannot set Rate if amount is greater than billed amount for Item {1}.,Baris # {0}: Tidak boleh menetapkan Kadar jika amaun lebih besar daripada jumlah ditaksir untuk Item {1}.
apps/erpnext/erpnext/accounts/doctype/cheque_print_template/cheque_print_template.js,Print settings updated in respective print format,tetapan cetak dikemaskini dalam format cetak masing
DocType: Package Code,Package Code,Kod pakej
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py,Apprentice,Perantis
DocType: Purchase Invoice,Company GSTIN,syarikat GSTIN
apps/erpnext/erpnext/stock/doctype/stock_reconciliation/stock_reconciliation.py,Negative Quantity is not allowed,Kuantiti negatif tidak dibenarkan
DocType: Purchase Invoice Item,"Tax detail table fetched from item master as a string and stored in this field.
Used for Taxes and Charges",Cukai terperinci jadual diambil dari ruang induk sebagai rentetan dan disimpan di dalam bidang ini. Digunakan untuk Cukai dan Caj
apps/erpnext/erpnext/hr/doctype/employee/employee.py,Employee cannot report to himself.,Pekerja tidak boleh melaporkan kepada dirinya sendiri.
apps/erpnext/erpnext/templates/pages/order.html,Rate:,Kadar:
