DocType: Accounting Period,Period Name,Jina la Kipindi
DocType: Bank Guarantee,Bank Guarantee Number,Nambari ya Dhamana ya Benki
DocType: Assessment Criteria,Assessment Criteria,Vigezo vya Tathmini
DocType: BOM Item,Basic Rate (Company Currency),Kiwango cha Msingi (Fedha la Kampuni)
apps/erpnext/erpnext/accounts/doctype/account/account.py,"While creating account for child Company {0}, parent account {1} not found. Please create the parent account in corresponding COA","Wakati wa kuunda akaunti ya Kampuni ya watoto {0}, akaunti ya wazazi {1} haipatikani. Tafadhali unda akaunti ya mzazi katika COA inayolingana"
apps/erpnext/erpnext/support/doctype/issue/issue.js,Split Issue,Fungua Suala
DocType: Student Attendance,Student Attendance,Mahudhurio ya Wanafunzi
apps/erpnext/erpnext/regional/report/electronic_invoice_register/electronic_invoice_register.js,No data to export,Hakuna data ya kuuza nje
DocType: Sales Invoice Timesheet,Time Sheet,Karatasi ya Muda
DocType: Manufacturing Settings,Backflush Raw Materials Based On,Vipande vya Raw vya Backflush Kulingana na
DocType: Sales Invoice,Port Code,Kanuni ya Bandari
apps/erpnext/erpnext/buying/doctype/purchase_order/purchase_order.js,Reserve Warehouse,Ghala la Hifadhi
DocType: Lead,Lead is an Organization,Kiongozi ni Shirika
DocType: Guardian Interest,Interest,Hamu
apps/erpnext/erpnext/accounts/doctype/tax_category/tax_category_dashboard.py,Pre Sales,Mauzo ya awali
DocType: Instructor Log,Other Details,Maelezo mengine
apps/erpnext/erpnext/accounts/report/delivered_items_to_be_billed/delivered_items_to_be_billed.py,Suplier,Kuinua
apps/erpnext/erpnext/stock/report/delayed_item_report/delayed_item_report.py,Actual Delivery Date,Tarehe halisi ya Uwasilishaji
DocType: Lab Test,Test Template,Kigezo cha Mtihani
DocType: Restaurant Order Entry Item,Served,Imehudumiwa
apps/erpnext/erpnext/config/non_profit.py,Chapter information.,Maelezo ya sura.
DocType: Account,Accounts,Akaunti
DocType: Vehicle,Odometer Value (Last),Thamani ya Odometer (Mwisho)
apps/erpnext/erpnext/config/buying.py,Templates of supplier scorecard criteria.,Matukio ya vigezo vya scorecard ya wasambazaji.
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py,Marketing,Masoko
DocType: Sales Invoice,Redeem Loyalty Points,Punguza Pole ya Uaminifu
apps/erpnext/erpnext/accounts/doctype/payment_request/payment_request.py,Payment Entry is already created,Kuingia kwa Malipo tayari kuundwa
DocType: Request for Quotation,Get Suppliers,Pata Wauzaji
DocType: Purchase Receipt Item Supplied,Current Stock,Stock sasa
DocType: Pricing Rule,System will notify to increase or decrease quantity or amount ,Mfumo utaarifu kuongeza au kupungua kwa idadi au kiasi
apps/erpnext/erpnext/controllers/accounts_controller.py,Row #{0}: Asset {1} does not linked to Item {2},Mstari # {0}: Malipo {1} haihusishwa na Item {2}
apps/erpnext/erpnext/hr/doctype/salary_structure/salary_structure.js,Preview Salary Slip,Angalia Slip ya Mshahara
apps/erpnext/erpnext/utilities/activation.py,Create Timesheet,Unda Timesheet
apps/erpnext/erpnext/accounts/doctype/budget/budget.py,Account {0} has been entered multiple times,Akaunti {0} imeingizwa mara nyingi
DocType: Account,Expenses Included In Valuation,Malipo Pamoja na Valuation
apps/erpnext/erpnext/hooks.py,Purchase Invoices,Ankara za ununuzi
apps/erpnext/erpnext/non_profit/doctype/membership/membership.py,You can only renew if your membership expires within 30 days,Unaweza tu upya kama wanachama wako muda wake ndani ya siku 30
DocType: Shopping Cart Settings,Show Stock Availability,Onyesha Upatikanaji wa hisa
apps/erpnext/erpnext/assets/doctype/asset/asset.py,Set {0} in asset category {1} or company {2},Weka {0} katika kiwanja cha mali {1} au kampuni {2}
apps/erpnext/erpnext/regional/doctype/gstr_3b_report/gstr_3b_report.html,As per section 17(5),Kama kwa sehemu ya 17 (5)
DocType: Location,Longitude,Longitude
,Absent Student Report,Ripoti ya Wanafunzi Yasiyo
DocType: Crop,Crop Spacing UOM,Ugawaji wa mazao ya UOM
DocType: Loyalty Program,Single Tier Program,Programu ya Mpango wa Pekee
DocType: Accounts Settings,Only select if you have setup Cash Flow Mapper documents,Chagua tu ikiwa umeweka hati za Mapato ya Mapato ya Fedha
apps/erpnext/erpnext/regional/report/eway_bill/eway_bill.py,From Address 1,Kutoka kwenye Anwani 1
DocType: Email Digest,Next email will be sent on:,Imefuata barua pepe itatumwa kwenye:
DocType: Supplier Scorecard,Per Week,Kila wiki
apps/erpnext/erpnext/stock/doctype/item/item.py,Item has variants.,Item ina tofauti.
apps/erpnext/erpnext/education/report/assessment_plan_status/assessment_plan_status.py,Total Student,Jumla ya Mwanafunzi
apps/erpnext/erpnext/stock/doctype/item_price/item_price.py,Item {0} not found,Kipengee {0} haipatikani
DocType: Bin,Stock Value,Thamani ya Hifadhi
apps/erpnext/erpnext/accounts/doctype/pricing_rule/pricing_rule.py,Duplicate {0} found in the table,Kurudia {0} kupatikana kwenye jedwali
apps/erpnext/erpnext/accounts/doctype/account/account.py,Company {0} does not exist,Kampuni {0} haipo
apps/erpnext/erpnext/healthcare/doctype/patient_appointment/patient_appointment.py,{0} has fee validity till {1},{0} ina uhalali wa ada mpaka {1}
apps/erpnext/erpnext/healthcare/page/appointment_analytic/appointment_analytic.js,Tree Type,Aina ya Mti
DocType: Leave Control Panel,Employee Grade (optional),Daraja la Mwajiriwa (hiari)
DocType: Pricing Rule,Apply Rule On Other,Tumia Sheria Nyingine
DocType: BOM Explosion Item,Qty Consumed Per Unit,Uchina hutumiwa kwa kitengo
DocType: Shift Type,Late Entry Grace Period,Marehemu Kuingia kwa kipindi cha Neema
DocType: GST Account,IGST Account,Akaunti ya IGST
DocType: Serial No,Warranty Expiry Date,Tarehe ya Kumalizika ya Udhamini
DocType: Material Request Item,Quantity and Warehouse,Wingi na Ghala
DocType: Sales Invoice,Commission Rate (%),Kiwango cha Tume (%)
apps/erpnext/erpnext/education/doctype/student_group/student_group.py,Please select Program,Tafadhali chagua Programu
DocType: Project,Estimated Cost,Gharama zilizohesabiwa
DocType: Supplier Quotation,Link to material requests,Unganisha maombi ya vifaa
apps/erpnext/erpnext/public/js/hub/pages/Publish.vue,Publish,Kuchapisha
apps/erpnext/erpnext/setup/setup_wizard/data/industry_type.py,Aerospace,Mazingira
,Fichier des Ecritures Comptables [FEC],Faili la Maandiko ya Comptables [FEC]
DocType: Journal Entry,Credit Card Entry,Kuingia Kadi ya Mikopo
apps/erpnext/erpnext/config/selling.py,Invoices for Costumers.,Ankara kwa Vivutio.
apps/erpnext/erpnext/stock/report/stock_balance/stock_balance.py,In Value,Kwa Thamani
DocType: Asset Settings,Depreciation Options,Chaguzi za uchafuzi
apps/erpnext/erpnext/assets/doctype/asset_movement/asset_movement.py,Either location or employee must be required,Eneo lolote au mfanyakazi lazima ahitajike
apps/erpnext/erpnext/hr/doctype/job_offer/job_offer.js,Create Employee,Unda Mfanyikazi
apps/erpnext/erpnext/utilities/transaction_base.py,Invalid Posting Time,Muda usio sahihi wa Kuchapa
DocType: Salary Component,Condition and Formula,Hali na Mfumo
DocType: Lead,Campaign Name,Jina la Kampeni
apps/erpnext/erpnext/setup/default_energy_point_rules.py,On Task Completion,Kwenye Kukamilika kwa Kazi
apps/erpnext/erpnext/hr/doctype/compensatory_leave_request/compensatory_leave_request.py,There is no leave period in between {0} and {1},Hakuna kipindi cha kuondoka kati ya {0} na {1}
DocType: Fee Validity,Healthcare Practitioner,Daktari wa Afya
DocType: Hotel Room,Capacity,Uwezo
DocType: Travel Request Costing,Expense Type,Aina ya gharama
DocType: Selling Settings,Close Opportunity After Days,Fungua Fursa Baada ya Siku
,Reserved,Imehifadhiwa
DocType: Driver,License Details,Maelezo ya Leseni
apps/erpnext/erpnext/accounts/doctype/share_transfer/share_transfer.py,The field From Shareholder cannot be blank,Shamba Kutoka kwa Mshirika haiwezi kuwa tupu
DocType: Leave Allocation,Allocation,Ugawaji
DocType: Purchase Order,Supply Raw Materials,Vifaa vya Malighafi
apps/erpnext/erpnext/hr/doctype/salary_structure/salary_structure.py,Structures have been assigned successfully,Miundo imepewa mafanikio
apps/erpnext/erpnext/config/getting_started.py,Create Opening Sales and Purchase Invoices,Unda Uuzaji wa ufunguzi na ankara za ununuzi
apps/erpnext/erpnext/accounts/doctype/account/chart_of_accounts/verified/standard_chart_of_accounts_with_account_number.py,Current Assets,Malipo ya sasa
apps/erpnext/erpnext/stock/doctype/stock_entry/stock_entry.py,{0} is not a stock Item,{0} si kitu cha hisa
apps/erpnext/erpnext/hr/notification/training_feedback/training_feedback.html,Please share your feedback to the training by clicking on 'Training Feedback' and then 'New',Tafadhali shiriki maoni yako kwenye mafunzo kwa kubonyeza &#39;Mafunzo ya Maoni&#39; na kisha &#39;Mpya&#39;
DocType: Call Log,Caller Information,Habari ya mpiga simu
DocType: Mode of Payment Account,Default Account,Akaunti ya Akaunti
apps/erpnext/erpnext/stock/doctype/item/item.py,Please select Sample Retention Warehouse in Stock Settings first,Tafadhali chagua Ghala la Wafanyakazi Kuhifadhiwa katika Mipangilio ya Hifadhi kwanza
apps/erpnext/erpnext/accounts/doctype/loyalty_program/loyalty_program.js,Please select the Multiple Tier Program type for more than one collection rules.,Tafadhali chagua aina ya Programu ya Mipango ya Multiple kwa sheria zaidi ya moja ya ukusanyaji.
DocType: Payment Entry,Received Amount (Company Currency),Kiasi kilichopokelewa (Fedha la Kampuni)
apps/erpnext/erpnext/erpnext_integrations/doctype/gocardless_settings/gocardless_settings.py,Payment Cancelled. Please check your GoCardless Account for more details,Malipo Imepigwa. Tafadhali angalia Akaunti yako ya GoCardless kwa maelezo zaidi
DocType: Work Order,Skip Material Transfer to WIP Warehouse,Skip Uhamisho wa nyenzo kwa Ghala ya WIP
DocType: Contract,N/A,N / A
DocType: Task Type,Task Type,Aina ya Kazi
DocType: Topic,Topic Content,Yaliyomo Mada
DocType: Delivery Settings,Send with Attachment,Tuma na Kiambatisho
DocType: Service Level,Priorities,Vipaumbele
apps/erpnext/erpnext/hr/doctype/holiday_list/holiday_list.py,Please select weekly off day,Tafadhali chagua kila wiki siku
DocType: Inpatient Record,O Negative,O Hasi
DocType: Work Order Operation,Planned End Time,Muda wa Mwisho
DocType: POS Profile,Only show Items from these Item Groups,Onyesha tu Vitu kutoka kwa Vikundi vya Bidhaa
apps/erpnext/erpnext/accounts/doctype/account/account.py,Account with existing transaction cannot be converted to ledger,Akaunti na shughuli zilizopo haziwezi kubadilishwa kuwa kiongozi
apps/erpnext/erpnext/config/non_profit.py,Memebership Type Details,Maelezo ya Aina ya Uhifadhi
DocType: Delivery Note,Customer's Purchase Order No,Nambari ya Ununuzi wa Wateja No
DocType: Clinical Procedure,Consume Stock,Tumia Stock
DocType: Budget,Budget Against,Bajeti ya Dhidi
apps/erpnext/erpnext/accounts/doctype/sales_invoice/sales_invoice.js,Lost Reasons,Sababu Zilizopotea
apps/erpnext/erpnext/stock/reorder_item.py,Auto Material Requests Generated,Maombi ya Nyenzo za Auto yanayotokana
DocType: Shift Type,Working hours below which Half Day is marked. (Zero to disable),Kufanya kazi masaa chini ambayo Half Day imewekwa alama. (Zero ya kuzima)
DocType: Job Card,Total Completed Qty,Jumla ya Qty iliyokamilishwa
DocType: HR Settings,Auto Leave Encashment,Auto Acha Shtaka
apps/erpnext/erpnext/buying/doctype/supplier_quotation/supplier_quotation_list.js,Lost,Potea
apps/erpnext/erpnext/accounts/doctype/journal_entry/journal_entry.py,You can not enter current voucher in 'Against Journal Entry' column,Huwezi kuingia hati ya sasa katika safu ya &#39;Against Journal Entry&#39;
DocType: Employee Benefit Application Detail,Max Benefit Amount,Kiwango cha Faida Max
apps/erpnext/erpnext/stock/page/stock_balance/stock_balance.js,Reserved for manufacturing,Imehifadhiwa kwa ajili ya utengenezaji
DocType: Soil Texture,Sand,Mchanga
apps/erpnext/erpnext/setup/setup_wizard/data/industry_type.py,Energy,Nishati
DocType: Opportunity,Opportunity From,Fursa Kutoka
apps/erpnext/erpnext/accounts/doctype/sales_invoice/sales_invoice.py,Row {0}: {1} Serial numbers required for Item {2}. You have provided {3}.,Row {0}: {1} Nambari za nambari zinahitajika kwa Bidhaa {2}. Umetoa {3}.
apps/erpnext/erpnext/controllers/accounts_controller.py,Cannot set quantity less than delivered quantity,Haiwezi kuweka kiasi chini ya wingi uliowasilishwa
apps/erpnext/erpnext/restaurant/doctype/restaurant_order_entry/restaurant_order_entry.py,Please select a table,Tafadhali chagua meza
DocType: BOM,Website Specifications,Ufafanuzi wa tovuti
apps/erpnext/erpnext/accounts/doctype/account/account.py,Please add the account to root level Company - %s,Tafadhali ongeza akaunti kwa Kampuni ya kiwango cha mizizi -% s
DocType: Content Activity,Content Activity,Shughuli ya yaliyomo
DocType: Special Test Items,Particulars,Maelezo
DocType: Employee Checkin,Employee Checkin,Mfanyakazi Checkin
apps/erpnext/erpnext/hr/doctype/leave_application/leave_application.py,{0}: From {0} of type {1},{0}: Kutoka {0} ya aina {1}
apps/erpnext/erpnext/config/crm.py,Sends Mails to lead or contact based on a Campaign schedule,Inatuma barua za kuongoza au mawasiliano kwa msingi wa ratiba ya Kampeni
apps/erpnext/erpnext/controllers/selling_controller.py,Row {0}: Conversion Factor is mandatory,Row {0}: Kiini cha Kubadilisha ni lazima
DocType: Student,A+,A +
apps/erpnext/erpnext/accounts/doctype/pricing_rule/utils.py,"Multiple Price Rules exists with same criteria, please resolve conflict by assigning priority. Price Rules: {0}","Sheria nyingi za Bei zipo na vigezo sawa, tafadhali tatua mgogoro kwa kuwapa kipaumbele. Kanuni za Bei: {0}"
DocType: Exchange Rate Revaluation,Exchange Rate Revaluation Account,Akaunti ya Kukarabati Akaunti
apps/erpnext/erpnext/accounts/doctype/pricing_rule/pricing_rule.py,Min Amt can not be greater than Max Amt,Min Amt haiwezi kuwa kubwa kuliko Max Amt
apps/erpnext/erpnext/manufacturing/doctype/bom/bom.py,Cannot deactivate or cancel BOM as it is linked with other BOMs,Haiwezi kuzima au kufuta BOM kama inavyounganishwa na BOM nyingine
apps/erpnext/erpnext/accounts/doctype/exchange_rate_revaluation/exchange_rate_revaluation.js,Please select Company and Posting Date to getting entries,Tafadhali chagua tarehe ya Kampuni na Kuajili ili uweze kuingia
DocType: Asset,Maintenance,Matengenezo
apps/erpnext/erpnext/healthcare/doctype/lab_test/lab_test.js,Get from Patient Encounter,Pata kutoka kwa Mkutano wa Wagonjwa
DocType: Subscriber,Subscriber,Msajili
DocType: Item Attribute Value,Item Attribute Value,Thamani ya Thamani ya Bidhaa
apps/erpnext/erpnext/setup/doctype/currency_exchange/currency_exchange.py,Currency Exchange must be applicable for Buying or for Selling.,Kubadilisha Fedha lazima iwezekanavyo kwa Ununuzi au kwa Ununuzi.
apps/erpnext/erpnext/hr/doctype/leave_ledger_entry/leave_ledger_entry.py,Only expired allocation can be cancelled,Ugawaji uliomalizika tu ndio unaweza kufutwa
DocType: Item,Maximum sample quantity that can be retained,Upeo wa kiwango cha sampuli ambacho kinaweza kuhifadhiwa
apps/erpnext/erpnext/stock/doctype/stock_entry/stock_entry.py,Row {0}# Item {1} cannot be transferred more than {2} against Purchase Order {3},Row {0} # Item {1} haiwezi kuhamishiwa zaidi ya {2} dhidi ya Ununuzi wa Order {3}
apps/erpnext/erpnext/config/crm.py,Sales campaigns.,Kampeni za mauzo.
apps/erpnext/erpnext/public/js/call_popup/call_popup.js,Unknown Caller,Mpiga simu asiyejulikana
DocType: Sales Taxes and Charges Template,"Standard tax template that can be applied to all Sales Transactions. This template can contain list of tax heads and also other expense / income heads like ""Shipping"", ""Insurance"", ""Handling"" etc.

#### Note

The tax rate you define here will be the standard tax rate for all **Items**. If there are **Items** that have different rates, they must be added in the **Item Tax** table in the **Item** master.

#### Description of Columns

1. Calculation Type: 
    - This can be on **Net Total** (that is the sum of basic amount).
    - **On Previous Row Total / Amount** (for cumulative taxes or charges). If you select this option, the tax will be applied as a percentage of the previous row (in the tax table) amount or total.
    - **Actual** (as mentioned).
2. Account Head: The Account ledger under which this tax will be booked
3. Cost Center: If the tax / charge is an income (like shipping) or expense it needs to be booked against a Cost Center.
4. Description: Description of the tax (that will be printed in invoices / quotes).
5. Rate: Tax rate.
6. Amount: Tax amount.
7. Total: Cumulative total to this point.
8. Enter Row: If based on ""Previous Row Total"" you can select the row number which will be taken as a base for this calculation (default is the previous row).
9. Is this Tax included in Basic Rate?: If you check this, it means that this tax will not be shown below the item table, but will be included in the Basic Rate in your main item table. This is useful where you want give a flat price (inclusive of all taxes) price to customers.","Template ya kodi ya kawaida inayoweza kutumika kwa Shughuli zote za Mauzo. Template hii inaweza kuwa na orodha ya vichwa vya kodi na pia vichwa vingine / kipato cha mapato kama &quot;Shipping&quot;, &quot;Bima&quot;, &quot;Kushikilia&quot; nk #### Kumbuka kiwango cha kodi unachofafanua hapa kitakuwa kiwango cha kodi ya wote ** Vipengele **. Ikiwa kuna ** Vitu ** vilivyo na viwango tofauti, lazima ziongezwe kwenye meza ya ** ya Item ** ** kwenye ** Item ** bwana. #### Maelezo ya nguzo 1. Aina ya mahesabu: - Hii inaweza kuwa kwenye ** Net Jumla ** (hiyo ni jumla ya kiasi cha msingi). - ** Katika Mstari uliopita Mto / Kiasi ** (kwa kodi za malipo au mashtaka). Ikiwa utichagua chaguo hili, kodi itatumika kama asilimia ya safu ya awali (katika meza ya kodi) kiasi au jumla. - ** Halisi ** (kama ilivyoelezwa). 2. Mkurugenzi wa Akaunti: Mwandishi wa Akaunti chini ya kodi hii itafunguliwa 3. Kituo cha Gharama: Ikiwa kodi / malipo ni mapato (kama meli) au gharama zinahitajika kutumiwa kwenye kituo cha gharama. 4. Maelezo: Maelezo ya kodi (ambayo yatachapishwa katika ankara / quotes). 5. Kiwango: kiwango cha kodi. 6. Kiasi: Kiwango cha Ushuru. 7. Jumla: Jumla ya jumla kwa hatua hii. 8. Ingiza Mstari: Ikiwa msingi wa &quot;Mstari uliopita Uliopita&quot; unaweza kuchagua namba ya mstari ambayo itachukuliwa kama msingi kwa hesabu hii (default ni mstari uliopita). 9. Je, kodi hii ni pamoja na Msingi wa Msingi ?: Ikiwa utaangalia hii, inamaanisha kuwa kodi hii haionyeshe chini ya meza ya bidhaa, lakini itaingizwa katika Msingi wa Msingi kwenye meza yako kuu ya bidhaa. Hii ni muhimu ambapo unataka kutoa bei ya gorofa (bei ya pamoja na kodi) kwa wateja."
DocType: Quality Action,Corrective,Marekebisho
DocType: Employee,Bank A/C No.,Benki ya A / C.
DocType: Quality Inspection Reading,Reading 7,Kusoma 7
DocType: Purchase Invoice,UIN Holders,Wamiliki wa UIN
apps/erpnext/erpnext/stock/doctype/material_request/material_request_list.js,Partially Ordered,Imeamriwa kwa kikundi
DocType: Lab Test,Lab Test,Mtihani wa Lab
DocType: Student Report Generation Tool,Student Report Generation Tool,Chombo cha Uzazi wa Ripoti ya Mwanafunzi
DocType: Healthcare Schedule Time Slot,Healthcare Schedule Time Slot,Muda wa Ratiba ya Afya
apps/erpnext/erpnext/regional/report/eway_bill/eway_bill.py,Doc Name,Jina la Hati
DocType: Expense Claim Detail,Expense Claim Type,Aina ya kudai ya gharama
DocType: Shopping Cart Settings,Default settings for Shopping Cart,Mipangilio ya mipangilio ya Kifaa cha Ununuzi
apps/erpnext/erpnext/public/js/hub/pages/Item.vue,Save Item,Hifadhi kipengee
apps/erpnext/erpnext/accounts/page/bank_reconciliation/bank_transaction_row.html,New Expense,Gharama Mpya
apps/erpnext/erpnext/selling/doctype/sales_order/sales_order.js,Ignore Existing Ordered Qty,Puuza agizo lililopo la Qty
apps/erpnext/erpnext/healthcare/doctype/practitioner_schedule/practitioner_schedule.js,Add Timeslots,Ongeza Timeslots
apps/erpnext/erpnext/stock/__init__.py,Please set Account in Warehouse {0} or Default Inventory Account in Company {1},Tafadhali weka Akaunti katika Warehouse {0} au Akaunti ya Inventory Akaunti katika Kampuni {1}
apps/erpnext/erpnext/assets/doctype/asset/depreciation.py,Asset scrapped via Journal Entry {0},Mali yamepigwa kupitia Entri ya Journal {0}
DocType: Loan,Interest Income Account,Akaunti ya Mapato ya riba
DocType: Bank Transaction,Unreconciled,Haijaridhishwa
DocType: Shift Type,Allow check-out after shift end time (in minutes),Ruhusu kuondoka baada ya muda wa mwisho wa kuhama (kwa dakika)
apps/erpnext/erpnext/hr/doctype/salary_structure/salary_structure.py,Max benefits should be greater than zero to dispense benefits,Faida nyingi zinapaswa kuwa kubwa zaidi kuliko sifuri kutangaza faida
apps/erpnext/erpnext/non_profit/doctype/grant_application/grant_application.py,Review Invitation Sent,Kagua Mwaliko uliotumwa
DocType: Shift Assignment,Shift Assignment,Kazi ya Shift
DocType: Employee Transfer Property,Employee Transfer Property,Mali ya Uhamisho wa Wafanyakazi
apps/erpnext/erpnext/accounts/doctype/share_transfer/share_transfer.py,The field Equity/Liability Account cannot be blank,Akaunti ya Usawa / Dhima ya uwanja haiwezi kuwa wazi
apps/erpnext/erpnext/accounts/doctype/cashier_closing/cashier_closing.py,From Time Should Be Less Than To Time,Kutoka Wakati Unapaswa Kuwa Chini Zaidi ya Muda
apps/erpnext/erpnext/setup/setup_wizard/data/industry_type.py,Biotechnology,Bioteknolojia
apps/erpnext/erpnext/stock/doctype/stock_entry/stock_entry.py,"Item {0} (Serial No: {1}) cannot be consumed as is reserverd\
						 to fullfill Sales Order {2}.",Kipengee {0} (Serial No: {1}) haiwezi kutumiwa kama vile reserverd \ to Order Sales kamilifu {2}.
apps/erpnext/erpnext/accounts/doctype/account/chart_of_accounts/verified/standard_chart_of_accounts_with_account_number.py,Office Maintenance Expenses,Malipo ya Matengenezo ya Ofisi
,BOM Explorer,BOM Explorer
apps/erpnext/erpnext/utilities/user_progress.py,Go to ,Enda kwa
DocType: Shopify Settings,Update Price from Shopify To ERPNext Price List,Punguza bei kutoka kwa Shopify hadi ERPNext Orodha ya Bei
apps/erpnext/erpnext/config/help.py,Setting up Email Account,Kuweka Akaunti ya Barua pepe
apps/erpnext/erpnext/manufacturing/doctype/production_plan/production_plan.js,Please enter Item first,Tafadhali ingiza kipengee kwanza
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py,Needs Analysis,Uchambuzi wa Mahitaji
DocType: Asset Repair,Downtime,Downtime
DocType: Account,Liability,Dhima
apps/erpnext/erpnext/hr/doctype/expense_claim/expense_claim.py,Sanctioned Amount cannot be greater than Claim Amount in Row {0}.,Kizuizi cha Hesabu haiwezi kuwa kikubwa kuliko Kiasi cha Madai katika Row {0}.
apps/erpnext/erpnext/education/report/course_wise_assessment_report/course_wise_assessment_report.html,Academic Term: ,Muda wa Elimu:
DocType: Salary Detail,Do not include in total,Usijumuishe kwa jumla
DocType: Quiz Activity,Quiz Activity,Swali ya Jaribio
DocType: Company,Default Cost of Goods Sold Account,Akaunti ya Kuuza Gharama ya Bidhaa
apps/erpnext/erpnext/stock/doctype/stock_entry/stock_entry.py,Sample quantity {0} cannot be more than received quantity {1},Mfano wa wingi {0} hauwezi kuwa zaidi ya kupokea kiasi {1}
apps/erpnext/erpnext/stock/get_item_details.py,Price List not selected,Orodha ya Bei haichaguliwa
DocType: Employee,Family Background,Familia ya Background
DocType: Request for Quotation Supplier,Send Email,Kutuma barua pepe
DocType: Quality Goal,Weekday,Siku ya wiki
apps/erpnext/erpnext/stock/doctype/item/item.py,Warning: Invalid Attachment {0},Onyo: Sakilili batili {0}
DocType: Item,Max Sample Quantity,Max Mfano Wingi
apps/erpnext/erpnext/accounts/doctype/journal_entry/journal_entry.py,No Permission,Hakuna Ruhusa
DocType: Contract Fulfilment Checklist,Contract Fulfilment Checklist,Orodha ya Uthibitishaji wa Mkataba
DocType: Vital Signs,Heart Rate / Pulse,Kiwango cha Moyo / Pulse
DocType: Supplier,Default Bank Account,Akaunti ya Akaunti ya Default
apps/erpnext/erpnext/accounts/report/general_ledger/general_ledger.py,"To filter based on Party, select Party Type first","Kuchuja kulingana na Chama, chagua Aina ya Chama kwanza"
apps/erpnext/erpnext/controllers/sales_and_purchase_return.py,'Update Stock' can not be checked because items are not delivered via {0},&#39;Mwisho Stock&#39; hauwezi kuzingatiwa kwa sababu vitu havijatumwa kupitia {0}
DocType: Vehicle,Acquisition Date,Tarehe ya Ununuzi
apps/erpnext/erpnext/regional/italy/utils.py,Nos,Nasi
DocType: Item,Items with higher weightage will be shown higher,Vitu vinavyo na uzito mkubwa vitaonyeshwa juu
apps/erpnext/erpnext/healthcare/doctype/inpatient_record/inpatient_record_dashboard.py,Lab Tests and Vital Signs,Majaribio ya Lab na Ishara za Vital
DocType: Bank Reconciliation Detail,Bank Reconciliation Detail,Upatanisho wa Benki ya Ufafanuzi
apps/erpnext/erpnext/controllers/accounts_controller.py,Row #{0}: Asset {1} must be submitted,Row # {0}: Mali {1} lazima iwasilishwa
apps/erpnext/erpnext/hr/doctype/leave_control_panel/leave_control_panel.py,No employee found,Hakuna mfanyakazi aliyepatikana
DocType: Supplier Quotation,Stopped,Imesimamishwa
DocType: Item,If subcontracted to a vendor,Ikiwa unatambuliwa kwa muuzaji
apps/erpnext/erpnext/education/doctype/student_group/student_group.js,Student Group is already updated.,Kundi la Wanafunzi tayari limehifadhiwa.
apps/erpnext/erpnext/config/projects.py,Project Update.,Mwisho wa Mradi.
DocType: SMS Center,All Customer Contact,Mawasiliano ya Wateja wote
DocType: Location,Tree Details,Maelezo ya Miti
DocType: Marketplace Settings,Registered,Imeandikishwa
DocType: Training Event,Event Status,Hali ya Tukio
DocType: Volunteer,Availability Timeslot,Timeslot ya Upatikanaji
apps/erpnext/erpnext/config/support.py,Support Analytics,Analytics Support
apps/erpnext/erpnext/accounts/doctype/payment_request/payment_request.py,"If you have any questions, please get back to us.","Ikiwa una maswali yoyote, tafadhali kurudi kwetu."
DocType: Cash Flow Mapper,Cash Flow Mapper,Cash Flow Mapper
DocType: Item,Website Warehouse,Tovuti ya Warehouse
DocType: Payment Reconciliation,Minimum Invoice Amount,Kiasi cha chini cha ankara
apps/erpnext/erpnext/accounts/doctype/gl_entry/gl_entry.py,{0} {1}: Cost Center {2} does not belong to Company {3},{0} {1}: Kituo cha Gharama {2} si cha Kampuni {3}
apps/erpnext/erpnext/www/lms/program.py,Program {0} does not exist.,Programu {0} haipo.
apps/erpnext/erpnext/utilities/user_progress.py,Upload your letter head (Keep it web friendly as 900px by 100px),Pakia kichwa chako cha barua (Weka mtandao kuwa wavuti kama 900px kwa 100px)
apps/erpnext/erpnext/accounts/doctype/gl_entry/gl_entry.py,{0} {1}: Account {2} cannot be a Group,{0} {1}: Akaunti {2} haiwezi kuwa Kikundi
apps/erpnext/erpnext/accounts/doctype/sales_invoice/sales_invoice.py,Timesheet {0} is already completed or cancelled,Timesheet {0} tayari imekamilika au kufutwa
DocType: QuickBooks Migrator,QuickBooks Migrator,QuickBooks Migrator
apps/erpnext/erpnext/templates/pages/projects.html,No tasks,Hakuna kazi
apps/erpnext/erpnext/healthcare/doctype/patient_appointment/patient_appointment.py,Sales Invoice {0} created as paid,Invozi ya Mauzo {0} imeundwa kama kulipwa
DocType: Item Variant Settings,Copy Fields to Variant,Weka Mashamba kwa Tofauti
DocType: Asset,Opening Accumulated Depreciation,Kufungua kushuka kwa thamani
apps/erpnext/erpnext/hr/doctype/appraisal/appraisal.js,Score must be less than or equal to 5,Score lazima iwe chini au sawa na 5
DocType: Program Enrollment Tool,Program Enrollment Tool,Chombo cha Usajili wa Programu
apps/erpnext/erpnext/config/accounting.py,C-Form records,Rekodi za Fomu za C
apps/erpnext/erpnext/accounts/doctype/share_transfer/share_transfer.py,The shares already exist,Sehemu tayari zipo
apps/erpnext/erpnext/config/help.py,Customer and Supplier,Wateja na Wasambazaji
DocType: Email Digest,Email Digest Settings,Mipangilio ya Digest ya barua pepe
