Pension Funds,ஓய்வூதிய நிதி
Amenities,வசதிகள்
Add Test,டெஸ்ட் சேர்
Row # {0}: Cannot return more than {1} for Item {2},வரிசை # {0}: பொருள் {2} க்கு {1}
Student Leave Application,மாணவர் விடுப்பு விண்ணப்பம்
Repayment amount {} should be greater than monthly interest amount {},திருப்பிச் செலுத்தும் தொகை {} மாத வட்டி அளவுக்கு அதிகமாக இருக்க வேண்டும் {}
Maintenance Schedule Item,பராமரிப்பு அட்டவணை பொருள்
POS Profile required to make POS Entry,POS நுழைவு செய்ய POS சுயவிவரம் தேவை
Enable LMS,LMS ஐ இயக்கு
Sales Invoices Summary,விற்பனை பற்றுச்சீட்டுகள் சுருக்கம்
Credit To account must be a Balance Sheet account,கடன் கணக்கில் ஒரு இருப்புநிலை கணக்கு இருக்க வேண்டும்
Duration,காலம்
Descriptive,விளக்கமான
Please select Price List,விலை பட்டியலைத் தேர்ந்தெடுக்கவும்
From Invoice Date,விலைப்பட்டியல் தேதி முதல்
Validate Batch for Students in Student Group,மாணவர் குழுவில் மாணவர்களுக்கான பட்டத்தை உறுதிப்படுத்துக
Leave Allocations,ஒதுக்கீடுகளை விடுங்கள்
Score cannot be greater than Maximum Score,அதிகபட்ச ஸ்கோர் விட ஸ்கோர் அதிகமாக இருக்க முடியாது
BOM is not specified for subcontracting item {0} at row {1},{0} வரிசையில் {0} துணை உருப்படிக்கு BOM குறிப்பிடப்படவில்லை
Automatically Create New Batch,புதிய தொகுதி தானாக உருவாக்க
Price List (Auto created),விலை பட்டியல் (தானாக உருவாக்கப்பட்டது)
Credit Limit and Payment Terms,கடன் வரம்பு மற்றும் கொடுப்பனவு விதிமுறைகள்
Show Variants,காட்டு மாறுபாடுகள்
Please set 'Gain/Loss Account on Asset Disposal' in Company {0},கம்பெனி {0} இல் &#39;சொத்து இழப்பு மீதான ஆதாயம் / இழப்பு கணக்கு&#39;
Timesheet for tasks.,பணிகளுக்கு டைஷ்ஷீட்.
Rounded Total (Company Currency),வட்டமான மொத்தம் (கம்பெனி நாணய)
Settings for website product listing,வலைத்தள தயாரிப்பு பட்டியல் அமைப்பு
Successfully Set Supplier,சப்ளையர் வெற்றிகரமாக அமைக்கவும்
Start Date of Agreement can't be greater than or equal to End Date.,தொடக்க தேதி ஒப்பந்த தேதி முடிவடையும் தேதிக்கு சமமாக இருக்காது.
Item Prices,பொருள் விலைகள்
Product Page,தயாரிப்பு பக்கம்
Market Place ID,சந்தை இடம் ஐடி
Production Order has been {0},உற்பத்தி ஆணை {0}
Employee Benefit Application,ஊழியர் நலன் விண்ணப்பம்
Item operation,பொருள் செயல்பாடு
Partially Received,ஓரளவு பெற்றது
MAT-LCV-.YYYY.-,MAT-சேர்ந்து தயாரிப்பில் ஈடுபட்டுள்ளதாக-.YYYY.-
Due Advance Amount,முன் அட்வான்ஸ் தொகை
New Purchase Orders,புதிய கொள்முதல் ஆணைகள்
Item: {0} does not exist in the system,பொருள்: {0} கணினியில் இல்லை
Loan Info,கடன் தகவல்
Try planning operations for X days in advance.,முன்கூட்டியே X நாட்களுக்கு திட்டமிடல் செயல்களை முயற்சிக்கவும்.
Is Cancelled,ரத்து செய்யப்பட்டது
For individual supplier,தனிப்பட்ட சப்ளையருக்கு
Min Qty can not be greater than Max Qty,மினி க்யூட்டியை விட அதிகமான மினி அளவு இருக்க முடியாது
Loamy Sand,லோமாயி மணல்
Row {0}: Payment against Sales/Purchase Order should always be marked as advance,வரிசை {0}: விற்பனை / கொள்முதல் ஆணைக்கு எதிரான கட்டணம் எப்போதும் முன்கூட்டியே குறிக்கப்பட வேண்டும்
"Example: ABCD.#####. If series is set and Batch No is not mentioned in transactions, then automatic batch number will be created based on this series. If you always want to explicitly mention Batch No for this item, leave this blank. Note: this setting will take priority over the Naming Series Prefix in Stock Settings.","எடுத்துக்காட்டு: ABCD. #####. தொடர் அமைக்கப்பட்டு பரிவர்த்தனைகளில் குறிப்பிடப்படவில்லை என்றால், இந்தத் தொடரின் அடிப்படையில் தானியங்கி தொகுதி எண் உருவாக்கப்படும். இந்த உருப்படியின் பேட்ச் இலலை வெளிப்படையாக குறிப்பிட விரும்பவில்லை என்றால், இதை வெறுமையாக விடவும். குறிப்பு: இந்த அமைப்பு முன்னுரிமைக்கு முன்னுரிமை பெறுகிறது."
Consultation,கலந்தாய்வின்
Item Defaults,பொருள் இயல்புநிலை
Total Commission,மொத்த கமிஷன்
Hotel Room,விடுதி அறை
{0} hours,{0} மணிநேரம்
Serial no is mandatory for the item {0},உருப்படியை {0} க்கு தொடர் இல்லை
Standard Template,தரநிலை வார்ப்புரு
The number of shares and the share numbers are inconsistent,பங்குகள் மற்றும் பங்கு எண்கள் எண்ணிக்கை சீரற்றதாக உள்ளன
Start and End Dates,தொடக்க மற்றும் முடிவு நாட்கள்
Notify Employee,பணியாளரை அறிவி
Software,மென்பொருள்
Stock Expenses,பங்குச் செலவுகள்
Reference No is mandatory if you entered Reference Date,குறிப்பு தேதி நீங்கள் உள்ளிட்டால் குறிப்பு கண்டிப்பாக கட்டாயமாகும்
Workshop,பட்டறை
Auto insert Price List rate if missing,காணாமல் இருந்தால் ஆட்டோ பட்டியல் விலை பட்டியல் வீதத்தை சேர்க்கலாம்
Course Content,பாடநெறி உள்ளடக்கம்
Material Request Item,பொருள் கோரிக்கை பொருள்
Maintenance Visit Purpose,பராமரிப்பு வருகை நோக்கம்
Skills,திறன்கள்
Out of Order,ஆர்டர் அவுட்
Available {0},கிடைக்கும் {0}
Select Customer,வாடிக்கையாளரைத் தேர்ந்தெடுக்கவும்
Ignore Workstation Time Overlap,பணிநிலைய நேர இடைவெளியை புறக்கணிக்கவும்
Hidden list maintaining the list of contacts linked to Shareholder,பங்குதாரர் இணைக்கப்பட்ட தொடர்புகள் பட்டியல் பராமரிக்க மறைக்கப்பட்ட பட்டியல்
Same item has been entered multiple times,அதே உருப்படியை பல முறை உள்ளிட்டுள்ளது
Serial No {0} is under maintenance contract upto {1},{0} பராமரிப்பு ஒப்பந்தத்தின் கீழ் {1}
FCFS Rate,FCFS விகிதம்
Negative Quantity is not allowed,எதிர்மறை அளவு அனுமதிக்கப்படவில்லை
Planning,திட்டமிடல்
Marketplace URL (to hide and update label),சந்தை URL (மறைக்க மற்றும் லேபிளை புதுப்பிக்க)
Parent Item Group,பெற்றோர் பொருள் குழு
Avg. Buying Price List Rate,சரா. விலை பட்டியல் விகிதம் வாங்குவது
Fichier des Ecritures Comptables [FEC],ஃபிஷியர் டெஸ் ஈக்ரிட்டர்ஸ் காம்பேக்ட்ஸ் [FEC]
Row #{0}: Timings conflicts with row {1},வரிசை # {0}: டைம்ஸ் {1} வரிசையில் முரண்படுகிறது
Repeat Customers,வாடிக்கையாளர்களை மீண்டும் செய்யவும்
Fee Schedule,கட்டணம் அட்டவணை
Reading 10,படித்தல் 10
Setting up Employees,பணியாளர்களை அமைத்தல்
Settings for Selling Module,தொகுதி விற்பனைக்கு அமைப்புகள்
Reconcile,சரிசெய்யும்
"Difference Account must be a Asset/Liability type account, since this Stock Entry is an Opening Entry","வேறுபாடு கணக்கு ஒரு சொத்து / பொறுப்பு வகை கணக்கு இருக்க வேண்டும், இந்த பங்கு நுழைவு தொடக்க நுழைவு என்பதால்"
End Year cannot be before Start Year,தொடக்க ஆண்டு தொடங்குவதற்கு முன் இருக்க முடியாது
Parent Task,பெற்றோர் பணி
Attendance Request,கலந்துரையாடல் கோரிக்கை
Moving Average,சராசரியாக நகர்கிறது
Unmarked Attendance,குறிக்கப்படாத கலந்துரையாடல்
Number of Columns,நெடுவரிசைகளின் எண்ணிக்கை
Add Weekly Holidays,வார விடுமுறை தினங்களைச் சேர்க்கவும்
Shopify Log,Shopify பதிவு
Create Salary Slip,சம்பள சரிவை உருவாக்குங்கள்
Customs Tariff Number,சுங்கவரி கட்டண எண்
Value / Description,மதிப்பு / விளக்கம்
Issue Date,வெளியீட்டு தேதி
Please select a Batch for Item {0}. Unable to find a single batch that fulfills this requirement,தயவுசெய்து பொருளுக்கு ஒரு பாட்டைத் தேர்ந்தெடுக்கவும் {0}. இந்த தேவையை நிறைவேற்றும் ஒற்றைத் தொகுதி கண்டுபிடிக்க முடியவில்லை
Cannot create Retention Bonus for left Employees,இடது ஊழியர்களுக்கான தக்கவைப்பு போனஸ் உருவாக்க முடியாது
To Receive,பெற
You are in offline mode. You will not be able to reload until you have network.,நீங்கள் ஆஃப்லைன் முறையில் இருக்கின்றீர்கள். நெட்வொர்க்கு இருக்கும் வரை நீங்கள் மீண்டும் ஏற்ற முடியாது.
Enrollment,பதிவு
Lab Test Template,லேப் டெஸ்ட் வார்ப்புரு
Employee Birthday,பணியாளர் பிறந்தவர்
Max: {0},அதிகபட்சம்: {0}
E-Invoicing Information Missing,மின்-விலைப்பட்டியல் தகவல் காணப்படவில்லை
No material request created,பொருள் கோரிக்கை எதுவும் உருவாக்கப்படவில்லை
Total Amount Paid,மொத்த தொகை பணம்
All these items have already been invoiced,இந்த அனைத்து பொருட்களும் ஏற்கெனவே பதிவு செய்யப்பட்டுள்ளன
Trainer Name,பயிற்சியாளர் பெயர்
Project Manager,திட்ட மேலாளர்
Non Diary,அல்லாத டைரி
The shares don't exist with the {0},பங்குகளை {0}
Test Group,டெஸ்ட் குழு
Number of days that the subscriber has to pay invoices generated by this subscription,சந்தாதாரர் இந்த சந்தாவால் உருவாக்கப்படும் பொருள் செலுத்துவதற்கு செலுத்த வேண்டிய நாட்களின் எண்ணிக்கை
Please set Unrealized Exchange Gain/Loss Account in Company {0},தயவு செய்து நிறுவனத்தில் நம்பத்தகுந்த பரிவர்த்தனை இழப்பீடு / இழப்பு கணக்கு அமைக்கவும் {0}
Select Payment Account to make Bank Entry,வங்கி நுழைவு செய்ய கட்டணம் கணக்கைத் தேர்ந்தெடுக்கவும்
Scoring Setup,ஸ்கோரிங் அமைப்பு
Total Interest Amount,மொத்த வட்டி தொகை
Billable Hours,பில்லுபல் ஹவர்ஸ்
Merge with Existing Account,தற்போதுள்ள கணக்குடன் இணை
Lost Quotation,இழந்த மேற்கோள்
Note: Email will not be sent to disabled users,குறிப்பு: முடக்கப்பட்ட பயனர்களுக்கு மின்னஞ்சல் அனுப்பப்படாது
"Create and manage daily, weekly and monthly email digests.","தினசரி, வாராந்திர மற்றும் மாதாந்திர மின்னஞ்சல்களை உருவாக்க மற்றும் நிர்வகிக்கலாம்."
Academic Year,கல்வி ஆண்டில்
Stage Name,மேடை பெயர்
All Employee (Active),அனைத்து பணியாளரும் (செயலில்)
Customer Details,வாடிக்கையாளர் விவரங்கள்
Default Supplier Group,Default Supplier Group
Please cancel Purchase Receipt {0} first,முதலில் வாங்குதல் வாங்குவதை ரத்து செய் {0}
Business Development Manager,வணிக மேம்பாட்டு மேலாளர்
Urgent,அவசர
From Value,மதிப்பு இருந்து
Next Due Date,அடுத்த Due தேதி
Buy,வாங்க
Progress % for a task cannot be more than 100.,ஒரு பணிக்கான முன்னேற்றம்% 100 க்கும் மேற்பட்டதாக இருக்க முடியாது.
Number of root accounts cannot be less than 4,ரூட் கணக்குகளின் எண்ணிக்கை 4 ஐ விட குறைவாக இருக்க முடியாது
Website Item Groups,இணைய பொருள் குழுக்கள்
Certified Consultant,சான்றளிக்கப்பட்ட ஆலோசகர்
Class,வர்க்கம்
Sold,விற்கப்பட்டது
There can only be 1 Account per Company in {0} {1},{0} {1} இல் கம்பனி ஒன்றுக்கு 1 கணக்கு மட்டுமே இருக்க முடியும்
Against,எதிராக
Default Deferred Expense Account,Default Deferred Expense Account
Auto Material Request,வாகன பொருள் கோரிக்கை
Sync in Progress,ஒத்திசைவில் முன்னேற்றம்
No salary slip found to submit for the above selected criteria OR salary slip already submitted,சம்பள சரிவு இல்லை மேலே தேர்ந்தெடுக்கப்பட்ட அளவுகோல்கள் அல்லது சம்பள சரிவு ஏற்கனவே சமர்ப்பிக்கப்பட்டது
Create rules to restrict transactions based on values.,மதிப்புகளின் அடிப்படையில் பரிவர்த்தனைகளை கட்டுப்படுத்த விதிகள் உருவாக்கவும்.
Enable Field Filters,புல வடிகட்டிகளை இயக்கு
Loan Amount,கடன்தொகை
Miscellaneous Expenses,இதர செலவுகள்
Please set Fiscal Code for the public administration '%s',பொது நிர்வாகத்தின் &#39;% s&#39;
Setup mode of POS (Online / Offline),POS இன் அமைவு முறை (ஆன்லைன் / ஆஃப்லைன்)
User {0} doesn't have any default POS Profile. Check Default at Row {1} for this User.,பயனர் {0} எந்த இயல்புநிலை POS சுயவிவரமும் இல்லை. இந்த பயனருக்கு வரிசையில் {1} இயல்புநிலையை சரிபார்க்கவும்.
Leave Block List,தடுப்பு பட்டியலை விடு
Select Patient,நோயாளிக்குத் தேர்ந்தெடுங்கள்
Leave Type,வகை விடு
Creating student groups,மாணவர் குழுக்களை உருவாக்குதல்
Plants and Machineries,தாவரங்கள் மற்றும் இயந்திரங்கள்
Not Marked,குறிக்கப்படவில்லை
Purchase Invoice,கொள்முதல் விலைப்பட்டியல்
Is Opening,திறக்கிறது
Accounts Settings,கணக்கு அமைப்புகள்
Actual Qty: Quantity available in the warehouse.,அசல் க்யூடி: கிடங்கில் கிடைக்கும் அளவு.
Expires On,காலாவதியாகிறது
Accounting Entry for Asset,சொத்துக்கான பைனான்ஸ் நுழைவு
Schedule Course,பாடநெறி அட்டவணை
Cost Center with existing transactions can not be converted to ledger,நடப்பு பரிவர்த்தனைகளுடன் கூடிய செலவு மையம் லெட்ஜெர் மாற்றப்பட முடியாது
Bank Clearance Summary,வங்கியின் தெளிவுத்திறன் சுருக்கம்
SMS Center,எஸ்எம்எஸ் மையம்
Threshold for Suggestion,பரிந்துரையின் நுழைவாயில்
Sales Invoice No,விற்பனை விலைப்பட்டியல் இல்லை
Project Update,திட்டம் மேம்படுத்தல்
Student ID,மாணவர் அடையாளம்
Pending SO Items For Purchase Request,கொள்முதல் கோரிக்கைக்கு SO உருப்படிகள் நிலுவையில் உள்ளன
Timeline,காலக்கெடு
The Loyalty Program isn't valid for the selected company,தெரிவு செய்யப்பட்ட நிறுவனத்திற்கு லாய்லிட்டி திட்டம் செல்லுபடியாகாது
Configure {0},{0}
Contact Details,தொடர்பு விபரங்கள்
Classrooms/ Laboratories etc where lectures can be scheduled.,வகுப்புகள் / ஆய்வுக்கூடங்கள் முதலியன விரிவுரைகளை திட்டமிடலாம்.
Cannot cancel because submitted Stock Entry {0} exists,சமர்ப்பிக்கப்படாத பங்கு நுழைவு {0} இருப்பதால் ரத்து செய்ய முடியாது
Balance In Account Currency,கணக்கு நாணயத்தில் இருப்பு
Close the POS,POS ஐ மூடு
"For {0}, only credit accounts can be linked against another debit entry","{0}, கடன் கணக்குகள் மற்றொரு பற்று நுழைவுடன் இணைக்கப்படலாம்"
Pharmaceutical,மருந்து
Boarding Student,மாணவர் போர்டிங்
Total Contribution Amount: {0},மொத்த பங்களிப்பு தொகை: {0}
Two-way,இரு வழி
Appraisal,மதிப்பீடு
Fiscal Year: {0} does not exists,நிதி ஆண்டு: {0} இல்லை
Create Employee,பணியாளரை உருவாக்குங்கள்
Structures have been assigned successfully,கட்டமைப்புகள் வெற்றிகரமாக ஒதுக்கப்பட்டுள்ளன
Direct Expenses,நேரடி செலவுகள்
Result Route Field,முடிவு பாதை புலம்
There is not enough leave balance for Leave Type {0},விடுப்பு வகைக்கு போதுமான விடுப்பு சமநிலை இல்லை {0}
Actual Qty,உண்மையான Qty
Supplier Invoice Date,சப்ளையர் விலைப்பட்டியல் தேதி
Finance Book Id,நிதி புத்தகம் ஐடி
Current Exchange Rate,தற்போதைய பரிவர்த்தனை விகிதம்
Equity,ஈக்விட்டி
"Row #{0}: Reference Document Type must be one of Sales Order, Sales Invoice or Journal Entry","வரிசை # {0}: குறிப்பு ஆவண வகை விற்பனை ஆணை, விற்பனை விலைப்பட்டியல் அல்லது ஜர்னல் நுழைவில் ஒன்று இருக்க வேண்டும்"
Explore Sales Cycle,விற்பனை சுழற்சியை ஆராயுங்கள்
Request Data,கோரிக்கை தரவு
Quality Procedure,தரமான நடைமுறை
Email sent to supplier {0},சப்ளையர் {0} க்கு மின்னஞ்சல் அனுப்பப்பட்டது
Course wise Assessment Report,பாடநெறி வாரியாக மதிப்பீட்டு அறிக்கை
Automotive,தானியங்கி
Row {0}: Allocated amount {1} must be less than or equals to invoice outstanding amount {2},வரிசை {0}: ஒதுக்கப்பட்ட அளவு {1} விலைப்பட்டியல் அளவுக்கு குறைவாகவோ அல்லது அதற்கு சமமானதாகவோ இருக்க வேண்டும் {2}
Total Parents Teacher Meeting,மொத்த பெற்றோர் ஆசிரியர் கூட்டம்
Row {0} : Operation is required against the raw material item {1},வரிசை {0}: மூலப்பொருள் உருப்படிக்கு எதிராக நடவடிக்கை தேவைப்படுகிறது {1}
Posting timestamp must be after {0},நேரத்தை வெளியீடு {0}
Please mention the Lead Name in Lead {0},முன்னணி தலைப்பில் குறிப்பிடவும் {0}
You can enter any date manually,நீங்கள் எந்தவொரு தேதியும் கைமுறையாக உள்ளிடலாம்
Stock Reconciliation Item,பங்கு நல்லிணக்கப் பொருள்
General Settings,பொது அமைப்புகள்
Due Date cannot be before Posting / Supplier Invoice Date,தேதி / சப்ளையர் விலைப்பட்டியல் தேதிக்கு முன்பே தேதி இருக்கக்கூடாது
Enter the name of the Beneficiary before submittting.,சமர்ப்பிக்கும் முன் பயனாளியின் பெயரை உள்ளிடவும்.
Record Patient Vitals,பதிவு நோயாளி Vitals
Show Configure Button,பட்டனை உள்ளமை
Industry Type,தொழில் வகை
Cannot select charge type as 'On Previous Row Amount' or 'On Previous Row Total' for first row,முதல் வரிசையில் &#39;முந்தைய வரிசையில் தொகை&#39; அல்லது &#39;முந்தைய வரிசையில் மொத்தம்&#39; என கட்டணம் வகை தேர்ந்தெடுக்க முடியாது
The shares already exist,பங்குகள் ஏற்கனவே உள்ளன
Available Qty at WIP Warehouse,WIP Warehouse இல் கிடைத்த Qty
Resolve error and upload again.,பிழைகளை சரிசெய்து மீண்டும் பதிவேற்றவும்.
Copy of Invitation/Announcement,அழைப்பிதழ் / அறிவிப்பு நகல்
Healthcare Service Unit,சுகாதார சேவை பிரிவு
Total(Qty),மொத்தம் (அளவு)
Health Insurance No,சுகாதார காப்பீடு இல்லை
Max Grade,மேக்ஸ் கிரேடு
Approver,ஒப்புதல்
Sales Order Trends,விற்பனை ஆணை போக்குகள்
Repair Cost,பழுது செலவு
Please mention Round Off Account in Company,கம்பெனி வட்டத்தில் இனிய கணக்கைக் குறிப்பிடவும்
Select Payroll Period,சம்பள காலம் தேர்ந்தெடு
Price List Name,விலை பட்டியல் பெயர்
You can only submit Leave Encashment for a valid encashment amount,செல்லுபடியாகும் குறியாக்கத் தொகையை நீக்குவதற்கு மட்டுமே அனுமதி வழங்கலாம்
"Higher the number, higher the priority","அதிக எண், அதிக முன்னுரிமை"
Required Skills,தேவையான திறன்
Disable Marketplace,Marketplace ஐ முடக்கு
Action if Annual Budget Exceeded on Actual,வருடாந்த வரவு செலவுத் திட்டம் உண்மையானால் மீறப்பட்டால் நடவடிக்கை
Course Abbreviation,பாடநெறி சுருக்கம்
Attendance not submitted for {0} as {1} on leave.,விடுப்பு மீது {0} {0} க்கான வருகை சமர்ப்பிக்கப்படவில்லை.
Promotional Scheme Id,விளம்பர திட்டம் ஐடி
License Details,உரிமம் விவரங்கள்
e.g Adjustments for:,எ.கா. சரிசெய்தல்:
Default Quotation Validity Days,இயல்புநிலை மேற்கோள் செல்லுபடியாகும் நாட்கள்
"Bank Account, From Date and To Date are Mandatory","வங்கி கணக்கு, தேதி மற்றும் தேதி ஆகியவற்றின் கட்டாயம் கட்டாயமாகும்"
Expense Type,செலவு வகை
Auditor,ஆடிட்டர்
Payment Confirmation,பணம் உறுதிப்படுத்தல்
Available Stock for Packing Items,பொருட்கள் பொதிக்கு கிடைக்கும் பங்கு
Please remove this Invoice {0} from C-Form {1},C-Form {1} இலிருந்து இந்த விலைப்பட்டியல் {0} ஐ அகற்றவும்
Query Route String,வினவலை பாதை சரம்
Customer Feedback Template,வாடிக்கையாளர் கருத்து டெம்ப்ளேட்
Quotes to Leads or Customers.,லட்ஸ் அல்லது வாடிக்கையாளர்களுக்கு மேற்கோள்.
Transporter,இடமாற்றி
Salary Slip of employee {0} already created for this period,ஊழியரின் சம்பள சரிவு {0} ஏற்கனவே இந்த காலப்பகுதியில் உருவாக்கப்பட்டது
To {0} | {1} {2},{0} | {1} {2}
Block Date,தடுப்பு தேதி
Contact No.,தொடர்பு எண்.
Overproduction Percentage For Work Order,வேலை ஆணைக்கான அதிக உற்பத்தி சதவீதம்
Enroll,பதிவுசெய்யவும்
Quotation Lost Reason,மேற்கோள் இழந்த காரணம்
Employee Billing Summary,பணியாளர் பில்லிங் சுருக்கம்
Country wise default Address Templates,நாடு வாரியாக இயல்புநிலை முகவரி வார்ப்பு
Parent Cost Center,பெற்றோர் விலை மையம்
Apply Rule On Item Group,பொருள் குழுவில் விதிமுறை விண்ணப்பிக்கவும்
Example: Basic Mathematics,உதாரணம்: அடிப்படை கணிதம்
Total Amount Reimbursed,மொத்த தொகை திரும்பப் பெற்றது
Validity period of this quotation has ended.,இந்த மேற்கோள் செல்லுபடியாகும் காலம் முடிந்தது.
Item-wise Sales History,பொருள் வாரியாக விற்பனை வரலாறு
Personal Email,தனிப்பட்ட மின்னஞ்சல்
Cheque Date,தேதி சரிபார்க்கவும்
Previous Financial Year is not closed,முந்தைய நிதி ஆண்டு மூடப்படவில்லை
Next Contact Date,அடுத்த தொடர்பு தேதி
Membership,உறுப்பினர்
Default Buying Price List,முன்னிருப்பு வாங்குவதற்கான விலை பட்டியல்
Depreciation Method,தேய்மான முறை
Travel Request,சுற்றுலா கோரிக்கை
{0} variants created.,{0} வகைகள் உருவாக்கப்பட்டன.
Avoid Confirmation,உறுதிப்படுத்தலைத் தவிர்க்கவும்
Under AMC,AMC கீழ்
"Warehouse required at Row No {0}, please set default warehouse for the item {1} for the company {2}","வரிசை எண் {0} இல் தேவையான கிடங்கு, நிறுவனம் {2} க்கான உருப்படிக்கு {1}"
Authorization Control,அங்கீகார கட்டுப்பாடு
Daily Work Summary Replies,தினசரி பணி சுருக்கம் பதில்கள்
You have been invited to collaborate on the project: {0},திட்டத்தில் ஒத்துழைக்க நீங்கள் அழைக்கப்பட்டுள்ளீர்கள்: {0}
Sales Details,விற்பனை விவரங்கள்
Letter Heads for print templates.,அச்சு வார்ப்புருகளுக்கான கடிதம் தலைப்புகள்.
Tax on additional salary,கூடுதல் சம்பளத்தில் வரி
Attach Logo,லோகோவை இணைக்கவும்
For row {0}: Enter Planned Qty,வரிசையில் {0}: திட்டமிட்ட அளவு உள்ளிடவும்
Calculate Prorated Depreciation Schedule Based on Fiscal Year,நிதி ஆண்டின் அடிப்படையில் விலைமதிப்பற்ற தேய்மானம் அட்டவணை கணக்கிடுங்கள்
Logs for maintaining sms delivery status,எஸ்எம்எஸ் டெலிவரி நிலை பராமரிக்க பதிவுகள்
Current Job Openings,தற்போதைய வேலை வாய்ப்புகள்
"Pricing Rule is first selected based on 'Apply On' field, which can be Item, Item Group or Brand.","விலையிடல் விதி முதலில் &#39;விண்ணப்பிக்க On&#39; என்ற அடிப்படையில் தேர்ந்தெடுக்கப்பட்டது, இது பொருள், பொருள் குழு அல்லது பிராண்டாக இருக்கலாம்."
Add / Edit Taxes and Charges,சேர் / திருத்து வரிகள் மற்றும் கட்டணம்
Supply Raw Materials for Purchase,வாங்குவதற்கு மூலப்பொருட்களை அளித்தல்
Proposal Writing,திட்டம் எழுதுதல்
Purchase Receipt Item,கொள்முதல் பெறுதல் பொருள்
Get Sales Orders,விற்பனை ஆணைகள் பெறுக
Selling,விற்பனை
Prevent Purchase Orders,வாங்குவதற்கான ஆர்டர்களைத் தடு
Print and Stationery,அச்சிடுதல் மற்றும் நிலையம்
Shipping rule only applicable for Buying,கொள்முதல் செய்வதற்கு மட்டுமே பொருந்தும் கப்பல் விதி
No products found.,தயாரிப்புகள் எதுவும் இல்லை.
Row {0}: Please set at Tax Exemption Reason in Sales Taxes and Charges,வரிசை {0}: விற்பனை வரி மற்றும் கட்டணங்கள் வரி விலக்கு காரணமாக அமைக்கவும்
Assessment Group: ,மதிப்பீட்டுக் குழு:
Parties,கட்சிகள்
Show exploded view,வெடித்துள்ள காட்சி காட்டு
No Delivery Note selected for Customer {},வாடிக்கையாளர்களுக்கான டெலிவரி குறிப்பு இல்லை
End on,முடிவுக்கு
You can't redeem Loyalty Points having more value than the Grand Total.,கிரேட் டோட்டை விட அதிக மதிப்புள்ள விசுவாச புள்ளிகள் மீட்டெடுக்க முடியாது.
Designer,வடிவமைப்பாளர்
Default Warehouse,இயல்புநிலை கிடங்கு
Default Cash Account,இயல்புநிலை பணக் கணக்கு
Please enter Reference date,குறிப்பு தேதி உள்ளிடுக
Item {0} must be a stock Item,பொருள் {0} ஒரு பங்கு பொருள் இருக்க வேண்டும்
Print Format for Online,ஆன்லைனில் அச்சிடுவதற்கான வடிவமைப்பு
Employee Leave Balance,பணியாளர் விடுப்பு இருப்பு
Ignore User Time Overlap,பயனர் நேரம் Overlap ஐ புறக்கணியுங்கள்
As per Stock UOM,பங்கு UOM படி
Cost Center with existing transactions can not be converted to group,ஏற்கனவே இருக்கும் பரிவர்த்தனைகளுடன் கூடிய செலவு மையம் குழுமத்திற்கு மாற்ற முடியாது
cannot be greater than 100,100 க்கும் அதிகமாக இருக்க முடியாது
Please Delivery Note first,முதலில் டெலிவரி குறிப்பு தயவுசெய்து
Leave Type Name,வகை பெயர் விடு
Homepage Featured Product,முகப்பு சிறப்பு தயாரிப்பு
Examiner Name,பரிசோதகர் பெயர்
Hotel Room Occupancy,ஹோட்டல் அறை ஆக்கிரமிப்பு
Telecommunications,தொலைத்தொடர்பு
Certification Application,சான்றிதழ் விண்ணப்பம்
Website Image should be a public file or website URL,வலைத்தள படம் ஒரு பொது கோப்பு அல்லது வலைத்தள URL ஆக இருக்க வேண்டும்
Your Suppliers,உங்கள் சப்ளையர்கள்
Weightage (%),எடை (%)
Inter-State Supplies,இண்டர்-ஸ்டேட் சப்ளைஸ்
Send Payment Request,கட்டணம் கோரிக்கை அனுப்பவும்
{0} is not added in the table,மேஜையில் {0} சேர்க்கப்படவில்லை
Create Student,மாணவர் உருவாக்கவும்
Gantt chart of all tasks.,அனைத்து பணிகளின் கண்ட்ட் விளக்கப்படம்.
Leave Approvers,புறக்கணிப்புகளை விடுங்கள்
Materials Required (Exploded),தேவையான பொருட்கள் (வெடித்தது)
Repay Over Number of Periods,காலகட்டங்களின் எண்ணிக்கையை திருப்பி செலுத்துக
Receivable,பெறத்தக்க
Price List must be applicable for Buying or Selling,விலை பட்டியல் வாங்குதல் அல்லது விற்பனை செய்வதற்கு பொருந்தும்
Resend Payment Email,கட்டண மின்னஞ்சல் மீண்டும் அனுப்பவும்
Please set {0} for address {1},முகவரிக்கு {0} {0}
Default Source Warehouse,இயல்புநிலை மூல கிடங்கு
Bill,ர சி து
Duplicate roll number for student {0},மாணவருக்கு நகல் ரோல் எண் {0}
Batch {0} of Item {1} has expired.,பொருள் {0} தொகுதி {0} காலாவதியானது.
Approved Date,அங்கீகரிக்கப்பட்ட தேதி
Item Tax,பொருள் வரி
Cannot transfer Employee with status Left,பணியாளர் நிலையை இடதுடன் மாற்ற முடியாது
Total Cost,மொத்த செலவு
Quote Status,Quote நிலை
Qualification,தகுதி
Complaints,புகார்கள்
Is Purchase Item,கொள்முதல் பொருள்
Purchase Receipt,கொள்முதல் ரசீது
Trial Period Start Date,சோதனை காலம் தொடங்கும் தேதி
Credit Balance,வரவு இருப்பு
Payroll Period,சம்பள காலம்
Supplier database.,வழங்குபவர் தகவல்.
