Pension Funds,Пенсійні фонди
Planning,Планування
Marketplace URL (to hide and update label),URL-адреса Marketplace (щоб приховати й оновити ярлик)
Parent Item Group,Група батьківських позицій
Avg. Buying Price List Rate,Сер. Купівля цінової пропозиції
Fichier des Ecritures Comptables [FEC],Fichier des Ecritures Comptables [FEC]
Row #{0}: Timings conflicts with row {1},Рядок # {0}: синхронізація конфліктує з рядком {1}
Repeat Customers,Повторюйте клієнтів
Fee Schedule,Тариф
Reading 10,Читання 10
Setting up Employees,Налаштування співробітників
Settings for Selling Module,Налаштування для модуля продажу
Reconcile,Помирити
"Difference Account must be a Asset/Liability type account, since this Stock Entry is an Opening Entry","Рахунок різниці має бути обліковим записом типу активу / відповідальності, оскільки цей запис акції є відкриттям"
End Year cannot be before Start Year,Кінець року не може бути до початку року
Parent Task,Батьківська задача
Attendance Request,Запит на відвідування
Moving Average,Ковзне середнє значення
Unmarked Attendance,Відсутність позначки
Number of Columns,Кількість стовпців
Add Weekly Holidays,Додати тижневі свята
Shopify Log,Shopify Log
Create Salary Slip,Створіть плату заробітної плати
Customs Tariff Number,Митний тарифний номер
Value / Description,Значення / опис
Issue Date,Дата випуску
Please select a Batch for Item {0}. Unable to find a single batch that fulfills this requirement,"Виберіть пакет для елемента {0}. Неможливо знайти окремий пакет, який відповідає цій вимозі"
Cannot create Retention Bonus for left Employees,Не вдається створити бонус збереження для лівих співробітників
To Receive,Отримати
You are in offline mode. You will not be able to reload until you have network.,"Ви перебуваєте в автономному режимі. Ви не зможете перезавантажити програму, доки ви не матимете мережі."
Enrollment,Реєстрація
Lab Test Template,Шаблон лабораторного тестування
Employee Birthday,День народження працівника
Max: {0},Макс.: {0}
E-Invoicing Information Missing,Інформація про електронне виставлення рахунків відсутня
No material request created,Не створено жодного матеріалу
Total Amount Paid,"Загальна сума, сплачена"
All these items have already been invoiced,Усі ці елементи вже виставлено на рахунок
Trainer Name,Назва тренера
Project Manager,Менеджер проекту
Non Diary,Non Diary
The shares don't exist with the {0},Частини не існують з {0}
Test Group,Тестова група
Number of days that the subscriber has to pay invoices generated by this subscription,"Кількість днів, протягом яких абонент повинен сплачувати рахунки-фактури, сформовані за допомогою цієї підписки"
Please set Unrealized Exchange Gain/Loss Account in Company {0},Вкажіть нереалізований обліковий запис про прибутки та збитки в компанії {0}
Select Payment Account to make Bank Entry,"Виберіть Платіжний рахунок, щоб зробити запис в банк"
Scoring Setup,Підрахунок налаштувань
Total Interest Amount,Загальна сума відсотків
Fiscal Year Start Date and Fiscal Year End Date are already set in Fiscal Year {0},Фіскальний рік і дата завершення фіскального року вже встановлено у фінансовому році {0}
Billable Hours,Платні години
Merge with Existing Account,Об&#39;єднати з існуючим обліковим записом
Lost Quotation,Загублена пропозиція
Note: Email will not be sent to disabled users,Примітка. Електронна пошта не надсилатиметься користувачам з обмеженими можливостями
"Create and manage daily, weekly and monthly email digests.","Створюйте та керуйте щоденними, щотижневими та щомісячними дайджестами електронної пошти."
Academic Year,Навчальний рік
Stage Name,Творчий псевдонім
All Employee (Active),Усі працівники (активні)
Customer Details,Дані клієнта
Default Supplier Group,Група постачальників за замовчуванням
Please cancel Purchase Receipt {0} first,Спершу скасуйте квитанцію про придбання {0}
Charge of type 'Actual' in row {0} cannot be included in Item Rate,Заряд типу &quot;Фактичний&quot; у рядку {0} не може бути включений до позиції &quot;Оцінка&quot;
Business Development Manager,менеджер з розвитку бізнесу
Urgent,Терміново
From Value,Від значення
Next Due Date,Наступна дата завершення
Buy,Купити
Progress % for a task cannot be more than 100.,Прогрес% для завдання не може перевищувати 100.
Number of root accounts cannot be less than 4,Кількість кореневих облікових записів не може бути менше 4
Website Item Groups,Групи елементів веб-сайту
Certified Consultant,Сертифікований консультант
Class,Клас
Sold,Продано
There can only be 1 Account per Company in {0} {1},У {0} {1} може бути лише 1 обліковий запис на компанію
Against,Проти
Default Deferred Expense Account,Рахунок за умовчанням відкладених витрат
Auto Material Request,Автоматичний запит на матеріал
Sync in Progress,Поточна синхронізація
No salary slip found to submit for the above selected criteria OR salary slip already submitted,"Відсутня оплата заробітної плати, подана за вищезазначені критерії АБО, що вже подана"
Create rules to restrict transactions based on values.,Створити правила для обмеження транзакцій на основі значень.
Enable Field Filters,Увімкнути фільтри полів
Loan Amount,Розмір позики
Miscellaneous Expenses,Різні витрати
Please set Fiscal Code for the public administration '%s',"Будь ласка, встановіть Фіскальний код для державної адміністрації &quot;% s&quot;"
Setup mode of POS (Online / Offline),Режим налаштування POS (онлайн / офлайн)
User {0} doesn't have any default POS Profile. Check Default at Row {1} for this User.,Користувач {0} не має жодного профілю профілю POS. Для цього користувача перевірте за умовчанням на рядку {1}.
Leave Block List,Залишити список блоків
Select Patient,Виберіть Пацієнт
Leave Type,Залишити тип
Creating student groups,Створення студентських груп
Plants and Machineries,Рослини і механізми
Not Marked,Не позначено
Purchase Invoice,Рахунок-фактура
Is Opening,Відкривається
Accounts Settings,Налаштування облікових записів
Actual Qty: Quantity available in the warehouse.,Фактична кількість: кількість доступна на складі.
Expires On,Закінчується
Accounting Entry for Asset,Введення бухгалтерського обліку для активу
Schedule Course,Розклад курсу
Cost Center with existing transactions can not be converted to ledger,Центр витрат з існуючими транзакціями не можна конвертувати в облікову книгу
Bank Clearance Summary,Підсумок банківського оформлення
SMS Center,Центр SMS
Threshold for Suggestion,Поріг для пропозиції
Sales Invoice No,Номер рахунка-фактури продажу
Project Update,Оновлення проекту
Student ID,Студентський ідентифікатор
Pending SO Items For Purchase Request,Відкладені позиції для запиту на купівлю
Timeline,Хронологія
The Loyalty Program isn't valid for the selected company,Програма лояльності не дійсна для вибраної компанії
Configure {0},Налаштувати {0}
Contact Details,Контактні дані
Classrooms/ Laboratories etc where lectures can be scheduled.,"Класи / Лабораторії тощо, де можна запланувати лекції."
Cannot cancel because submitted Stock Entry {0} exists,"Неможливо скасувати, оскільки подано запис про акції {0}"
Balance In Account Currency,Баланс у валюті рахунку
Close the POS,Закрийте POS
"For {0}, only credit accounts can be linked against another debit entry",Для {0} можна пов&#39;язати лише кредитні рахунки з іншим дебетовим записом
Pharmaceutical,Фармацевтична
Boarding Student,Студент інтернат
Total Contribution Amount: {0},Загальна сума внеску: {0}
Two-way,Двосторонній
Appraisal,Оцінка
Fiscal Year: {0} does not exists,Фіскальний рік: {0} не існує
Create Employee,Створити співробітника
Structures have been assigned successfully,Структури успішно призначені
Direct Expenses,Прямі витрати
Result Route Field,Результат Поле маршруту
There is not enough leave balance for Leave Type {0},Немає достатньо залишити залишок для типу &quot;Залишити&quot; {0}
Actual Qty,Фактична кількість
Supplier Invoice Date,Дата рахунку постачальника
Finance Book Id,Фінансовий номер книги
Current Exchange Rate,Поточний курс обміну
Equity,Справедливість
"Row #{0}: Reference Document Type must be one of Sales Order, Sales Invoice or Journal Entry","Рядок # {0}: Тип довідкового документа повинен бути одним із замовлень на продаж, рахунка-фактури чи запису журналу"
Explore Sales Cycle,Дослідіть цикл продажів
Request Data,Запит даних
Quality Procedure,Процедура якості
Email sent to supplier {0},"Електронну адресу, надіслану постачальнику {0}"
Course wise Assessment Report,Звіт про оцінку курсу
Automotive,Автомобілі
Row {0}: Allocated amount {1} must be less than or equals to invoice outstanding amount {2},"Рядок {0}: сума, яка нараховується {1}, повинна бути меншою або дорівнювати стягненій сумою рахунку {2}"
Total Parents Teacher Meeting,Загальна зустріч вчителів батьків
Row {0} : Operation is required against the raw material item {1},Рядок {0}: Необхідна операція щодо елемента сировини {1}
Posting timestamp must be after {0},Мітка часу публікації має бути після {0}
Please mention the Lead Name in Lead {0},Прохання згадати провідну назву у лідирі {0}
You can enter any date manually,Можна ввести будь-яку дату вручну
Stock Reconciliation Item,Пункт примирення запасів
General Settings,Загальні налаштування
Due Date cannot be before Posting / Supplier Invoice Date,Дата завершення не може бути до відправлення / Дата рахунку постачальника
Enter the name of the Beneficiary before submittting.,Введіть назву Бенефіціара перед поданням.
Record Patient Vitals,Запис пацієнта Vitals
Show Configure Button,Показати кнопку налаштування
Industry Type,Тип промисловості
Cannot select charge type as 'On Previous Row Amount' or 'On Previous Row Total' for first row,Неможливо вибрати тип платежу як &quot;На попередній кількості рядків&quot; або &quot;На попередньому рядку загалом&quot; для першого рядка
The shares already exist,Акції вже існують
Available Qty at WIP Warehouse,Доступна кількість в WIP Warehouse
Resolve error and upload again.,Вирішити помилку та завантажити знову.
Copy of Invitation/Announcement,Копія запрошення / оголошення
Healthcare Service Unit,Відділ охорони здоров&#39;я
Total(Qty),Усього (кількість)
Health Insurance No,Медичне страхування Ні
Max Grade,Макс
Approver,Підтверджувач
Sales Order Trends,Тенденції продажу
Repair Cost,Вартість ремонту
Please mention Round Off Account in Company,Зверніть увагу на компанію &quot;Завершення рахунку&quot;
Select Payroll Period,Виберіть Період нарахування заробітної плати
Price List Name,Назва цінового списку
You can only submit Leave Encashment for a valid encashment amount,Можна надіслати лише заставу для залишкової суми
"Higher the number, higher the priority","Вище число, вищий пріоритет"
Required Skills,Необхідні навички
Disable Marketplace,Вимкнути Marketplace
Action if Annual Budget Exceeded on Actual,"Дія, якщо щорічний бюджет перевищує фактичний"
Course Abbreviation,Абревіатура курсу
Attendance not submitted for {0} as {1} on leave.,Відвідування не надійшло на {0} як {1} у відпустці.
Promotional Scheme Id,Ідентифікатор рекламної схеми
End date of task <b>{0}</b> cannot be greater than <b>{1}</b> expected end date <b>{2}</b>,Дата завершення завдання <b>{0}</b> не може перевищувати <b>{1}</b> очікуваної кінцевої дати <b>{2}</b>
License Details,Деталі ліцензії
e.g Adjustments for:,"наприклад, коригування для:"
Default Quotation Validity Days,Дні дії котирувань за умовчанням
"Bank Account, From Date and To Date are Mandatory","Банківський рахунок, від дати та до дати є обов&#39;язковими"
Expense Type,Тип витрат
Auditor,Аудитор
Payment Confirmation,Підтвердження платежу
Available Stock for Packing Items,Доступні запаси для упаковки
Please remove this Invoice {0} from C-Form {1},Видаліть цей рахунок {0} з C-Form {1}
Query Route String,Рядок запиту маршруту
Customer Feedback Template,Шаблон зворотного зв&#39;язку із клієнтом
Quotes to Leads or Customers.,Котирування до клієнтів або клієнтів.
Transporter,Транспортер
Salary Slip of employee {0} already created for this period,Заробітна плата співробітника {0} вже створена за цей період
To {0} | {1} {2},До {0} | {1} {2}
Block Date,Дата блоку
Contact No.,Контактний номер.
Overproduction Percentage For Work Order,Відсоток перевиробництва для робочого замовлення
Enroll,Зареєструватися
Quotation Lost Reason,Загублена причина
Employee Billing Summary,Підсумок платежів співробітників
Country wise default Address Templates,Шаблони адрес адреси за умовчанням у країні
Parent Cost Center,Центр витрат батьків
Apply Rule On Item Group,Застосувати правило щодо групи предметів
Example: Basic Mathematics,Приклад: Основна математика
Total Amount Reimbursed,Загальна сума відшкодована
Validity period of this quotation has ended.,Термін дії цієї пропозиції закінчився.
Item-wise Sales History,Пункт-мудрий Історія продажів
Personal Email,Особиста електронна пошта
Cheque Date,Дата перевірки
Previous Financial Year is not closed,Попередній фінансовий рік не закритий
Next Contact Date,Дата наступного контакту
Membership,Членство
Default Buying Price List,За замовчуванням прайс-лист
Depreciation Method,Метод амортизації
Travel Request,Запит на поїздку
{0} variants created.,Створено {0} варіантів.
Avoid Confirmation,Уникайте підтвердження
Under AMC,Під AMC
"Warehouse required at Row No {0}, please set default warehouse for the item {1} for the company {2}","Склад, необхідний у рядку № {0}, встановіть склад компанії за умовчанням {1} для компанії {2}"
Authorization Control,Контроль авторизації
Daily Work Summary Replies,Щоденна робота Підсумки відповідей
You have been invited to collaborate on the project: {0},Вас запросили до співпраці над проектом: {0}
Sales Details,Деталі продажів
Letter Heads for print templates.,Листи для друку шаблонів друку.
Tax on additional salary,Податок на додаткову зарплату
Attach Logo,Вкладіть логотип
For row {0}: Enter Planned Qty,Для рядка {0}: Введіть плановану кількість
Calculate Prorated Depreciation Schedule Based on Fiscal Year,Розрахувати пропорційний графік амортизації на основі фінансового року
Logs for maintaining sms delivery status,Журнали для збереження статусу доставки SMS
Current Job Openings,Поточні вакансії
"Pricing Rule is first selected based on 'Apply On' field, which can be Item, Item Group or Brand.","Правило ціноутворення спочатку вибирається на основі поля &quot;Застосувати&quot;, яке може бути групою елементів, позицій або брендом."
Add / Edit Taxes and Charges,Додати / змінити податки та збори
Supply Raw Materials for Purchase,Постачання сировини для закупівлі
Proposal Writing,Написання пропозицій
Purchase Receipt Item,Елемент купівлі
Get Sales Orders,Отримати замовлення на купівлю
Selling,Продаж
Prevent Purchase Orders,Запобігання замовлень на купівлю
Print and Stationery,Друк та канцелярські товари
Shipping rule only applicable for Buying,Правило доставки застосовується лише для купівлі
No products found.,Не знайдено жодної продукції.
Row {0}: Please set at Tax Exemption Reason in Sales Taxes and Charges,Рядок {0}. Встановіть причину звільнення від податку в податках і зборах продажів
Assessment Group: ,Група оцінки:
Parties,Сторони
Show exploded view,Показати розірваний вигляд
No Delivery Note selected for Customer {},Для клієнта не вибрано запит на доставку {}
End on,Завершити на
You can't redeem Loyalty Points having more value than the Grand Total.,"Ви не можете погашати очки лояльності, які мають більше значення, ніж Grand Total."
Designer,Дизайнер
Default Warehouse,Стандартний склад
Default Cash Account,Поточний грошовий рахунок
Please enter Reference date,Введіть референтну дату
Item {0} must be a stock Item,Елемент {0} повинен бути запасом
Print Format for Online,Формат друку для онлайн
Employee Leave Balance,Співробітник залишає баланс
Ignore User Time Overlap,Ігнорувати перекриття часу користувача
As per Stock UOM,За фондовим UOM
Cost Center with existing transactions can not be converted to group,Центр витрат з існуючими транзакціями не можна конвертувати в групу
cannot be greater than 100,не може бути більше 100
Please Delivery Note first,Спочатку слід надіслати запит на доставку
Leave Type Name,Залиште ім&#39;я типу
Homepage Featured Product,Продукт домашньої сторінки
Examiner Name,Ім&#39;я експерта
Hotel Room Occupancy,Розміщення в готелі
Telecommunications,Телекомунікації
Certification Application,Заява про сертифікацію
Website Image should be a public file or website URL,Зображення веб-сайту має бути загальнодоступним файлом або URL-адресою веб-сайту
Your Suppliers,Ваші постачальники
Weightage (%),Вага (%)
Inter-State Supplies,Міждержавні запаси
Send Payment Request,Надіслати запит на оплату
{0} is not added in the table,{0} не додано до таблиці
Create Student,Створити студента
Gantt chart of all tasks.,Діаграма Ганта всіх завдань.
Leave Approvers,Залишити схвалення
Materials Required (Exploded),Необхідні матеріали (розірвано)
Repay Over Number of Periods,Погасити протягом кількох періодів
Receivable,Дебіторська заборгованість
Price List must be applicable for Buying or Selling,Прайс-лист повинен застосовуватися для купівлі або продажу
Resend Payment Email,Повторно надіслати електронний лист про оплату
Please set {0} for address {1},Установіть {0} для адреси {1}
Default Source Warehouse,Стандартний склад джерела
Bill,Білл
Duplicate roll number for student {0},Дубльований номер рулону для студента {0}
Batch {0} of Item {1} has expired.,Термін дії {0} елемента {1} завершився.
Approved Date,Дата схвалення
Item Tax,Податок на предмет
Cannot transfer Employee with status Left,Неможливо перенести працівника зі статусом ліворуч
Total Cost,Загальна вартість
Quote Status,Стан цитування
Qualification,Кваліфікація
Complaints,Скарги
Is Purchase Item,Це купівля
Purchase Receipt,Придбання
Trial Period Start Date,Дата початку пробного періоду
Credit Balance,Баланс кредиту
Payroll Period,Період оплати праці
Supplier database.,База даних постачальників.
Tax Type,Тип податку
Move Item,Перемістити елемент
Description of a Job Opening,Опис відкриття роботи
Create Users,Створити користувачів
Current Fiscal Year,Поточний фінансовий рік
Hub Warehouse,Склад концентратора
Tax Breakup,Податковий розрив
Material Transferred,Перенесені матеріали
You are not authorized to add or update entries before {0},Ви не маєте дозволу додавати або оновлювати записи до {0}
Date of Birth cannot be greater than today.,"Дата народження не може бути більшою, ніж сьогодні."
Number of serial nos and quantity must be the same,Кількість серійних номерів та кількості повинні бути однаковими
Exception Budget Approver Role,Роль затвердження виключення бюджету
In Process,В процесі
Send Emails At,Надіслати електронні листи на
Marketplace Error,Помилка на ринку
Working Days,Робочі дні
Margin Money,Маржа Гроші
Chapter,Глава
Current Stock,Поточний запас
History In Company,Історія в компанії
Manufacturer,Виробник
Moderate Sensitivity,Помірна чутливість
Leave Allocation,Залишити виділення
Timesheet,Табель обліку робочого часу
Abbreviation already used for another company,Абревіатура вже використовується для іншої компанії
Please select Patient to get Lab Tests,"Виберіть &quot;Пацієнт&quot;, щоб отримати лабораторні тести"
Advance Paid,Попередня оплата
Load All Criteria,Завантажити всі критерії
Serial Numbers in row {0} does not match with Delivery Note,Серійні номери в рядку {0} не збігаються з приміткою доставки
Creditors,Кредитори
Raised By,Піднято
Reference No and Reference Date is mandatory for Bank transaction,Довідка № та довідкова дата є обов&#39;язковою для банківської операції
There can be multiple tiered collection factor based on the total spent. But the conversion factor for redemption will always be same for all the tier.,На основі загального обсягу витрат може бути декілька багаторівневих коефіцієнтів збору. Але коефіцієнт перерахунку для погашення завжди буде однаковим для всіх рівнів.
Batch No,Пакетний №
Executive Search,Пошук виконавців
Stock Adjustment Account,Рахунок коригування запасів
Gross Profit %,Загальний прибуток %
Request Type,Тип запиту
Reminded,Нагадав
Billing Address,Адреса платежу
Mark as Present,Позначити як подарунок
Landed Cost Voucher,Ваучер земельної вартості
Total working hours should not be greater than max working hours {0},Загальний робочий час не повинен перевищувати максимальну кількість робочих годин {0}
Customer Addresses And Contacts,Адреси клієнтів і контакти
Task Progress,Прогрес виконання завдання
Opening Entry,Відкриття запису
Charges Incurred,Понесені витрати
Material Transferred for Manufacturing,Передані матеріали для виробництва
Hide Variants,Сховати варіанти
Disable Capacity Planning and Time Tracking,Вимкнути планування потужності та відстеження часу
* Will be calculated in the transaction.,* Розраховується в транзакції.
{0} not allowed to transact with {1}. Please change the Company.,"{0} заборонено здійснювати операції з {1}. Будь ласка, змініть Компанію."
"As per the Buying Settings if Purchase Reciept Required == 'YES', then for creating Purchase Invoice, user need to create Purchase Receipt first for item {0}","Відповідно до налаштувань при купівлі, якщо потрібно придбати придбання == &quot;ТАК&quot;, тоді для створення рахунку-фактури потрібно створити обліковий запис покупки для елемента {0}"
Delivery Details,Деталі доставки
Discharge Scheduled,За розкладом заплановано
"Reference: {0}, Item Code: {1} and Customer: {2}","Довідка: {0}, код товару: {1} і клієнт: {2}"
Caution,Обережно
View attachments,Переглянути вкладення
Allow Production on Holidays,Дозволити виробництво на святах
Update Bank Transaction Dates,Оновлення дат банківських операцій
Reading 4,Читання 4
"Item {0} has no Serial No. Only serilialized items \
						can have delivery based on Serial No",Елемент {0} не має серійний номер. Лише сервісовані елементи можуть мати доставку на основі серійного номера
Program Course,Програмний курс
Telephone Expenses,Телефонні витрати
Widow,Вдова
Number of Interaction,Кількість взаємодій
"Multiple Price Rules exists with same criteria, please resolve conflict by assigning priority. Price Rules: {0}","Існує декілька правил ціни з однаковими критеріями, вирішіть конфлікт, призначивши пріоритет. Правила цін: {0}"
Cost Center and Budgeting,Центр витрат і бюджетування
Ordered Items To Be Delivered,"Впорядковані елементи, які потрібно доставити"
Homepage Section Card,Домашня сторінка Розділ Картка
Depreciation,Амортизація
Interests,Інтереси
Consumed Qty,Споживана кількість
Education Manager,Менеджер з освіти
Plan time logs outside Workstation Working Hours.,Планувати журнали часу поза робочими годинами робочої станції.
Loyalty Points: {0},Очки лояльності: {0}
Registration Message,Повідомлення про реєстрацію
Select an account to print in account currency,Виберіть обліковий запис для друку у валюті рахунку
Serial no item cannot be a fraction,Послідовний елемент не може бути дробом
Warehouse can not be deleted as stock ledger entry exists for this warehouse.,"Склад не може бути видалено, оскільки для цього складу існує запис бухгалтерського обліку."
See past quotations,Дивіться попередні котирування
Prev,Поперед
Unit of Measure,Одиниця виміру
Test Template,Тест шаблону
Fertilizer Contents,Зміст добрив
Minute,Хвилина
"Row #{0}: Asset {1} cannot be submitted, it is already {2}","Рядок # {0}: Активу {1} неможливо надіслати, це вже {2}"
Actual Time (in Hours),Фактичний час (у годинах)
Closing Account Head,Закриття головного рахунку
Shipping Rule,Правило доставки
Net Weight,Вага нетто
Please enter valid Financial Year Start and End Dates,Введіть дійсний початок та кінець фінансового року
Quantity of Items,Кількість предметів
PIN,PIN-код
Lab testing datetime cannot be before collection datetime,Дата тестування лабораторного тестування не може бути до дати збирання
Invoice already created for all billing hours,Рахунок-фактура вже створено для всіх розрахункових годин
Contact Desc,Contact Desc
Pricing Rules,Правила ціноутворення
Image List,Список зображень
Allow Rename Attribute Value,Дозволити перейменувати значення атрибута
Price Not UOM Dependant,Ціна Не UOM Залежний
Time(in mins),Час (у хвилинах)
Basic,Основний
Interest Income Account,Рахунок процентних доходів
A condition for a Shipping Rule,Умова для правила доставки
Payroll Period Date,Дата нарахування заробітної плати
Employment Type,Тип зайнятості
Select POS Profile,Виберіть профіль POS
Get Latest Query,Отримати останні запит
Employee Incentive,Заохочення працівників
Add cards or custom sections on homepage,Додайте картки або спеціальні розділи на домашню сторінку
Hero Section Based On,Розділ Герой на основі
Total Purchase Cost (via Purchase Invoice),Загальна вартість покупки (через рахунок-фактуру)
Total Estimated Cost,Загальна оцінена вартість
"Sales, Purchase, Accounting Defaults","Продажі, закупівлі, стандартні параметри обліку"
Requesting payment against {0} {1} for amount {2},Запит оплати на суму {0} {1} за суму {2}
Please set the Item Code first,Спочатку встановіть код товару
Due Date Based On,Дата на підставі
Incoming,Вхідні
Partially Ordered,Частково замовлений
Customer's Purchase Order No,Замовлення на замовлення клієнта №
Select Alternate Item,Виберіть альтернативний елемент
Applicable Holiday List,Застосовується список свят
Hub Tracked Item,Елемент відстеження концентратора
Service Details,Подробиці служби
Is Featured,Рекомендовано
Don't send Employee Birthday Reminders,Не надсилайте нагадування про день народження працівників
Maintain Same Rate Throughout Sales Cycle,Підтримуйте однакову швидкість протягом усього циклу продажу
Transportation,Перевезення
Date TIme,"Дата, час"
Please select quantity on row ,Виберіть кількість у рядку
Earning Component,Компонент заробітку
Please select Company first,Спочатку виберіть компанію
Publish Item to hub.erpnext.com,Опублікувати елемент до hub.erpnext.com
Join,Приєднатися
Set rate of sub-assembly item based on BOM,Встановити швидкість пункту під-збірки на основі специфікації
Wheels,Колеса
"Aggregate group of **Items** into another **Item**. This is useful if you are bundling a certain **Items** into a package and you maintain stock of the packed **Items** and not the aggregate **Item**. 

The package **Item** will have ""Is Stock Item"" as ""No"" and ""Is Sales Item"" as ""Yes"".

For Example: If you are selling Laptops and Backpacks separately and have a special price if the customer buys both, then the Laptop + Backpack will be a new Product Bundle Item.

Note: BOM = Bill of Materials","Сукупна група ** елементів ** в інший ** Item **. Це корисно, якщо ви комплектуєте певні ** елементи ** в пакет, і ви зберігаєте запас упакованих ** елементів **, а не сукупний ** Item **. Пакет ** Item ** матиме &quot;Is Stock Item&quot; як &quot;No&quot; і &quot;Is Sales Item&quot; як &quot;Yes&quot;. Наприклад: Якщо ви продаєте ноутбуки і рюкзаки окремо і є спеціальна ціна, якщо клієнт купує обидва, то ноутбук + рюкзак буде новим товаром продукту. Примітка: BOM = Документ"
Another Budget record '{0}' already exists against {1} '{2}' and account '{3}' for fiscal year {4},Інший запис бюджету &quot;{0}&quot; вже існує проти {1} &#39;{2}&#39; та облікового запису &#39;{3}&#39; для фінансового року {4}
Purchase Receipt Amount,Сума придбання
Ongoing,Постійно
Agreement Details,Деталі угоди
Posting Time,Час публікації
Loyalty Program Name,Назва програми лояльності
Dormant,Бездіяльний
{0}: From {1},{0}: з {1}
Attach custom Chart of Accounts file,Додайте власний файл діаграми облікових записів
Item Variants,Варіанти позиції
Fully Completed,Повністю завершено
Transaction Date,Дата операції
No data for this period,Немає даних за цей період
Default account will be automatically updated in POS Invoice when this mode is selected.,"Обліковий запис за промовчанням автоматично оновлюватиметься в POS Invoice, коли цей режим буде вибрано."
Company Abbreviation cannot have more than 5 characters,Скорочення компанії не може містити більше 5 символів
Canceled,Скасовано
Customers and Suppliers,Клієнти та постачальники
To Produce,Виробляти
Is Container,Є контейнер
Research & Development,Дослідження та розробка
Application Settings,Налаштування програми
Production Order cannot be raised against a Item Template,Виробниче замовлення не може бути піднято до шаблону елементів
Manufacture against Material Request,Виробництво на вимогу матеріалу
Ordered Quantity,Впорядкована кількість
Row #{0}: Rejected Warehouse is mandatory against rejected Item {1},Рядок # {0}: Відхилене сховище є обов&#39;язковим для відхиленого елемента {1}
Received Items To Be Billed,Отримані елементи для виставлення рахунку
Working Hours,Робочі години
Payment Mode,Режим оплати
Purchase Order Items not received on time,Елементи замовлення на купівлю не отримані вчасно
Duration in Days,Тривалість у днях
Sales Team Details,Деталі команди продажу
Replace,Замінити
Event Name,Назва події
Receiver List,Список приймачів
Cr,Cr
Are you sure you want to cancel this appointment?,Дійсно скасувати це призначення?
Accounts Receivable Credit Account,Кредитний рахунок дебіторської заборгованості
Prefix,Префікс
Actual Operation Time,Фактичний час роботи
Net Rate,Чиста ставка
Net Change in Cash,Чисті зміни готівки
Set warehouse for Procedure {0} ,Встановити склад для процедури {0}
Block Invoice,Блок-фактура
Account {0}: Parent account {1} does not exist,Обліковий запис {0}: батьківський обліковий запис {1} не існує
Encrypt Salary Slips in Emails,Шифрувати зарплату ковзає в електронні листи
Score,Оцінка
Driver Name,Ім&#39;я водія
Please select Incharge Person's name,"Будь ласка, оберіть ім&#39;я Incharge Person"
Training,Навчання
Stock Reports,Звіти про акції
Conversion factor for default Unit of Measure must be 1 in row {0},Коефіцієнт конверсії для одиниці виміру за умовчанням має бути 1 у рядку {0}
Course Scheduling Tool,Інструмент планування курсу
Finished Goods,Готові вироби
Customer Warehouse (Optional),Склад клієнта (необов&#39;язково)
Sync Master Data,Основні дані синхронізації
Address & Contact,Адреса та контакт
To Date,До дати
Error in some rows,Помилка в деяких рядках
Lab Tests and Vital Signs,Лабораторні тести та життєві ознаки
Tax Rule for transactions.,Податкове правило для операцій.
Show Barcode Field,Показати поле штрих-коду
DN Detail,DN Докладно
Fluid,Рідина
B2C Limit,Ліміт B2C
Electronic Equipments,Електронне обладнання
Cannot find active Leave Period,Не вдається знайти активний період відпустки
Create Maintenance Visit,Створити візит для технічного обслуговування
Change In Item,Змінити елемент
{0} Students have been enrolled,{0} Учасників було зареєстровано
Inspection,Огляд
Area,Площа
Summary for this week and pending activities,Підсумок цього тижня та очікувані дії
Maintenance Task,Завдання технічного обслуговування
Current Invoice Start Date,Поточна дата початкового рахунку
Item,Пункт
Get Students From,Отримати студентів з
Always synch your products from Amazon MWS before synching the Orders details,"Завжди синхронізуйте свої продукти з Amazon MWS, перш ніж синхронізувати деталі замовлень"
Leave Block List Name,Залишити назву списку блоків
"Could not update stock, invoice contains drop shipping item.","Не вдалося оновити запас, рахунок-фактура містить елемент перевезення падіння."
Completion Date,Дата Виконання
Rate at which supplier's currency is converted to company's base currency,"Ставка, за якою валюта постачальника перетворюється в базову валюту компанії"
Leave Control Panel,Залиште Панель керування
Total Applicable Charges in Purchase Receipt Items table must be same as Total Taxes and Charges,"Загальні застосовні витрати в таблиці &quot;Отримання товарів&quot; повинні бути такими ж, як і загальні податки та збори"
In Words will be visible once you save the Delivery Note.,"У словах буде видно, коли ви збережете Примітку про доставку."
