Pension Funds,연금 기금
Number of Interaction,상호 작용 수
"Multiple Price Rules exists with same criteria, please resolve conflict by assigning priority. Price Rules: {0}",동일한 가격으로 여러 가격 규칙이 존재할 경우 우선 순위를 지정하여 충돌을 해결하십시오. 가격 규칙 : {0}
Cost Center and Budgeting,비용 센터 및 예산
Ordered Items To Be Delivered,배달 될 주문 품목
Homepage Section Card,홈페이지 섹션 카드
Depreciation,감가 상각
Interests,이해
Consumed Qty,소비 된 수량
Education Manager,교육 관리자
Plan time logs outside Workstation Working Hours.,워크 스테이션 근무 시간 이외의 시간 계획 로그.
Loyalty Points: {0},충성도 점수 : {0}
Registration Message,등록 메시지
Select an account to print in account currency,계좌 통화로 인쇄 할 계좌를 선택하십시오
Serial no item cannot be a fraction,일련 번호가없는 항목은 분수가 될 수 없습니다.
Warehouse can not be deleted as stock ledger entry exists for this warehouse.,이 창고에 대한 재고 원장 항목이 있으므로 창고를 삭제할 수 없습니다.
See past quotations,과거 인용보기
Prev,예전의
Unit of Measure,측정 단위
Test Template,테스트 템플릿
Fertilizer Contents,비료 내용
Minute,분
"Row #{0}: Asset {1} cannot be submitted, it is already {2}",행 # {0} : 애셋 {1}을 제출할 수 없습니다. 이미 {2}
Actual Time (in Hours),실제 시간 (시간)
Closing Account Head,결산 계정 헤드
Shipping Rule,배송 규칙
Net Weight,순중량
Please enter valid Financial Year Start and End Dates,유효한 회계 연도 시작일과 종료일을 입력하십시오.
Quantity of Items,항목 수
PIN,핀
Lab testing datetime cannot be before collection datetime,랩 테스트 datetime은 콜렉션 datetime 이전 일 수 없습니다.
Invoice already created for all billing hours,모든 결제 시간에 대해 이미 생성 된 인보이스
Contact Desc,연락처 정보
Pricing Rules,가격 결정 규칙
Image List,이미지 목록
Allow Rename Attribute Value,특성 값 이름 바꾸기 허용
Price Not UOM Dependant,UOM에 의존하지 않는 가격
Time(in mins),시간 (분)
Basic,기본
Interest Income Account,이자 소득 계정
A condition for a Shipping Rule,출하 규칙의 조건
Payroll Period Date,급여 기간 날짜
Employment Type,고용 유형
Select POS Profile,POS 프로파일 선택
Get Latest Query,최신 질의 얻기
Employee Incentive,직원 인센티브
Add cards or custom sections on homepage,홈페이지에 카드 또는 맞춤 섹션 추가
Hero Section Based On,히어로 섹션 기반
Total Purchase Cost (via Purchase Invoice),총 구매 비용 (구매 송장을 통해)
Total Estimated Cost,총 예상 비용
"Sales, Purchase, Accounting Defaults","판매, 구매, 회계 기본값"
Requesting payment against {0} {1} for amount {2},금액 {2}에 대해 {0} {1}에 대한 지불 요청 중입니다.
Please set the Item Code first,먼저 상품 코드를 설정하십시오.
Due Date Based On,만기일 기준
Incoming,들어오는
Partially Ordered,부분적으로 주문 됨
Customer's Purchase Order No,고객의 구매 주문 번호
Select Alternate Item,대체 항목 선택
Applicable Holiday List,해당 휴일 목록
Hub Tracked Item,허브 추적 항목
Service Details,서비스 세부 정보
Is Featured,추천
Don't send Employee Birthday Reminders,직원 생일 알림을 보내지 마십시오.
Maintain Same Rate Throughout Sales Cycle,판매주기 전체에서 동일한 비율 유지
Transportation,교통
Date TIme,날짜 시간
Please select quantity on row ,행의 수량을 선택하십시오.
Earning Component,적립 구성 요소
Please select Company first,먼저 회사를 선택하십시오.
Publish Item to hub.erpnext.com,hub.erpnext.com에 항목 게시
Join,어울리다
Set rate of sub-assembly item based on BOM,BOM을 기준으로 하위 어셈블리 항목의 비율 설정
Wheels,바퀴
"Aggregate group of **Items** into another **Item**. This is useful if you are bundling a certain **Items** into a package and you maintain stock of the packed **Items** and not the aggregate **Item**. 

The package **Item** will have ""Is Stock Item"" as ""No"" and ""Is Sales Item"" as ""Yes"".

For Example: If you are selling Laptops and Backpacks separately and have a special price if the customer buys both, then the Laptop + Backpack will be a new Product Bundle Item.

Note: BOM = Bill of Materials","** 상품 **의 그룹을 다른 ** 상품 **으로 통합하십시오. 이는 ** 항목 **을 패키지로 묶고 집계 ** 항목 **이 아닌 ** 포장 된 ** 항목의 재고를 유지하는 경우에 유용합니다. ** Item ** 패키지는 &quot;재고 항목&quot;을 &quot;아니오&quot;로, &quot;판매 품목&quot;을 &quot;예&quot;로 갖습니다. 예 : 랩톱 및 배낭을 별도로 판매하고 고객이 두 가지를 모두 구매하면 특별 가격이있는 경우 랩톱 + 배낭은 새로운 제품 번들 항목이됩니다. 참고 : BOM = BOM"
Another Budget record '{0}' already exists against {1} '{2}' and account '{3}' for fiscal year {4},회계 연도 {4}에 대해 {1} &#39;{2}&#39;및 계정 &#39;{3}&#39;에 대한 다른 예산 레코드 &#39;{0}&#39;이 (가) 이미 있습니다.
Purchase Receipt Amount,구매 영수증 금액
Ongoing,전진
Agreement Details,계약 세부 정보
Posting Time,전기 시간
Loyalty Program Name,로열티 프로그램 이름
Dormant,잠자는
{0}: From {1},{0} : {1}
Attach custom Chart of Accounts file,사용자 지정 차트 계정 파일 첨부
Item Variants,품목 변형
Fully Completed,완전히 완료 됨
Transaction Date,거래 날짜
No data for this period,이 기간 동안 데이터가 없습니다.
Default account will be automatically updated in POS Invoice when this mode is selected.,이 모드를 선택하면 POS 송장에서 기본 계정이 자동으로 업데이트됩니다.
Company Abbreviation cannot have more than 5 characters,회사 약어는 5자를 초과 할 수 없습니다.
Canceled,취소 된
Customers and Suppliers,고객 및 공급 업체
To Produce,생산하는
Is Container,용기인가?
Research & Development,연구 개발
Application Settings,어플리케이션 설정
Production Order cannot be raised against a Item Template,항목 템플릿에 대해 생산 오더를 제기 할 수 없습니다.
Manufacture against Material Request,자재 요청에 대한 제조
Ordered Quantity,주문 수량
Row #{0}: Rejected Warehouse is mandatory against rejected Item {1},행 번호 {0} : 거절 된 창고는 거부 된 아이템 {1}에 대해 의무적입니다.
Received Items To Be Billed,수령 한 수령 품목
Working Hours,근무 시간
Payment Mode,지불 모드
Purchase Order Items not received on time,구매 오더 항목을 정시에받지 못함
Duration in Days,기간 (일)
Sales Team Details,판매 팀 세부 정보
Replace,바꾸다
Event Name,이벤트 이름
Receiver List,수신기 목록
Cr,크롬
Are you sure you want to cancel this appointment?,이 약속을 취소 하시겠습니까?
Accounts Receivable Credit Account,채권 신용 계정
Prefix,접두사
Actual Operation Time,실제 작업 시간
Net Rate,순 요율
Net Change in Cash,현금 순 변경
Set warehouse for Procedure {0} ,프로 시저 {0}에 대한웨어 하우스 설정
Block Invoice,인보이스 차단
Account {0}: Parent account {1} does not exist,계정 {0} : 상위 계정 {1}이 (가) 존재하지 않습니다.
Encrypt Salary Slips in Emails,전자 메일에서 급여 전표를 암호화하십시오.
Score,점수
Driver Name,드라이버 이름
Please select Incharge Person's name,충전식 인명을 선택하십시오.
Training,훈련
Stock Reports,주식 보고서
Conversion factor for default Unit of Measure must be 1 in row {0},기본 측정 단위의 변환 계수는 {0} 행에서 1이어야합니다.
Course Scheduling Tool,코스 일정 잡기 도구
Finished Goods,완제품
Customer Warehouse (Optional),고객 창고 (선택 사항)
Sync Master Data,마스터 데이터 동기화
Address & Contact,주소 및 연락처
To Date,오늘까지
Error in some rows,일부 행에 오류가 있습니다.
Lab Tests and Vital Signs,실험실 검사 및 활력 징후
Tax Rule for transactions.,거래에 대한 세금 규칙.
Show Barcode Field,바코드 필드 표시
DN Detail,DN 세부 정보
Fluid,유동체
B2C Limit,B2C 한도
Electronic Equipments,전자 장비
Cannot find active Leave Period,활성 휴가 기간을 찾을 수 없습니다.
Create Maintenance Visit,유지 관리 방문 만들기
Change In Item,항목 변경
{0} Students have been enrolled,{0} 학생이 등록되었습니다.
Inspection,검사
Area,지역
Summary for this week and pending activities,이번 주 및 진행중인 활동 요약
Maintenance Task,유지 보수 작업
Current Invoice Start Date,현재 송장 시작일
Item,목
Get Students From,학생을에서 얻으십시오
Always synch your products from Amazon MWS before synching the Orders details,주문 세부 사항을 동기화하기 전에 항상 Amazon MWS에서 제품을 동기화하십시오.
Leave Block List Name,차단 목록 이름 남기기
"Could not update stock, invoice contains drop shipping item.",재고를 업데이트 할 수 없으며 송장에 드롭 운송 품목이 포함되어 있습니다.
Completion Date,완료 날짜
Rate at which supplier's currency is converted to company's base currency,공급 업체의 통화가 회사의 기본 통화로 변환되는 비율
Leave Control Panel,제어판에서 나가기
Total Applicable Charges in Purchase Receipt Items table must be same as Total Taxes and Charges,구매 영수증 항목의 총 해당 요금은 총 세금 및 요금과 동일해야합니다.
In Words will be visible once you save the Delivery Note.,납품서를 저장하면 단어가 표시됩니다.
Suppliies made to Composition Taxable Persons,구성 과세 대상에게 지급 한 보조금
Reserved Qty for Production,생산을위한 예약 된 수량
Quality Manager,품질 관리자
"Configure Item Fields like UOM, Item Group, Description and No of Hours.","UOM, Item Group, Description, No of Hours와 같은 항목 필드를 구성하십시오."
New Department,새로운 부서
Job Applicant,취업 지원자
Create Invoices,송장 생성
Purchase Order Item,구매 주문서
Data Import and Export,데이터 가져 오기 및 내보내기
Please contact to the user who have Sales Master Manager {0} role,판매 마스터 관리자 {0} 역할을 가진 사용자에게 문의하십시오.
You cannot delete Project Type 'External',프로젝트 유형 &#39;외부&#39;를 삭제할 수 없습니다.
Temporary,일시적인
Column Labels : ,열 레이블 :
Employee A/C Number,직원 A / C 번호
Opening Date should be before Closing Date,개회 일은 폐회 일 이전이어야합니다.
Parent Detail docname,상위 세부 사항 docname
Bank Reconciliation Detail,은행 화해 세부 정보
Cumulative Transaction Threshold,누적 트랜잭션 임계 값
"Number of intervals for the interval field e.g if Interval is 'Days' and Billing Interval Count is 3, invoices will be generated every 3 days","간격 필드의 간격 수 (예 : 간격이 &#39;일&#39;이고 Billing Interval Count가 3 인 경우, 3 일마다 송장이 생성 됨)"
'Actual Start Date' can not be greater than 'Actual End Date',&#39;실제 시작일&#39;은 &#39;실제 종료일&#39;보다 클 수 없습니다.
Payment Entry Reference,지불 항목 참조
Salary Component Account,급여 구성 요소 계정
Default Payable Accounts,기본 채무 계정
In Words,단어
Purchase Order,구매 주문서
Entry Type,입력 유형
Laboratory,실험실
To Bill,청구서에
Utility Expenses,유틸리티 비용
Time Between Operations (in mins),작업 간 시간 (분)
May,할 수있다
"Payment Gateway Account not created, please create one manually.",지불 게이트웨이 계정이 생성되지 않았습니다. 수동으로 생성하십시오.
Purchase,매수
School House,학교 집
Please select at least one domain.,하나 이상의 도메인을 선택하십시오.
Daily Project Summary for {0},{0}에 대한 일별 프로젝트 요약
All Territories,모든 지역
Failure Date,실패 날짜
Attendees,참석자
Total Outstanding,총 우수
Amount of TDS Deducted,공제 된 TDS 금액
Cash or Bank Account is mandatory for making payment entry,현금 또는 은행 계좌는 지불 입력을 위해 필수입니다.
Registration Details,등록 세부 정보
Calculated Bank Statement balance,계산 된 은행 잔고 증명서 잔액
Only users with {0} role can register on Marketplace,{0} 역할을 가진 사용자 만 마켓 플레이스에 등록 할 수 있습니다.
"Warehouse {0} is not linked to any account, please mention the account in  the warehouse record or set default inventory account in company {1}.",창고 {0}이 (가) 어떤 계정에도 연결되어 있지 않습니다. 창고 기록에서 계정을 언급하거나 {1} 회사에서 기본 인벤토리 계정을 설정하십시오.
Admission,입장
This is based on the attendance of this Student,이것은이 학생의 출석에 기초합니다
Create Receiver List,수신기 목록 생성
Max Leaves Allowed,허용되는 최대 잎
Component,구성 요소
Leave and Attendance,퇴장 및 출석
Billing Amount,청구 금액
BOM Website Item,BOM 웹 사이트 항목
Rounded Total,반올림 합계
Production Plan,생산 계획
Actions performed,수행 된 작업
Set Accepted Warehouse,수락 된 창고 설정
Rules for applying pricing and discount.,가격 책정 및 할인 적용 규칙.
Statutory info and other general information about your Supplier,공급자에 관한 법령 정보 및 기타 일반 정보
Default Selling Cost Center,기본 판매 코스트 센터
Address & Contacts,주소 및 연락처
Subscriber,구독자
[{0}](#Form/Item/{0}) is out of stock,[{0}] (# 양식 / 항목 / {0}) 재고가 없습니다
Please select Posting Date first,먼저 전기 일을 선택하십시오.
Mention if non-standard payable account,표준이 아닌 지불 계정에 대한 언급
Advance,전진
"Root Type for ""{0}"" must be one of the Asset, Liability, Income, Expense and Equity","&quot;{0}&quot;의 루트 유형은 자산, 책임, 수입, 비용 및 자본 중 하나 여야합니다."
% Complete Method,완료 방법 %
Tasks Created,생성 된 작업
Default BOM ({0}) must be active for this item or its template,이 항목 또는 해당 템플릿에 대해 기본 BOM ({0})이 활성화되어 있어야합니다.
Commission Rate %,수수료율
Response Time,응답 시간
Woocommerce Settings,Woocommerce 설정
Quantity must be positive,수량은 양수 여야합니다.
CRM,CRM
Parenttype,부모 유형
Billing State,청구서 수신 상태
Quantity for Item {0} must be less than {1},항목 {0}의 수량은 {1}보다 작아야합니다.
Transfer Material,자재 이전
Shipping Account,배송 계정
Please set default template for Leave Approval Notification in HR Settings.,HR 설정에서 승인 알림을 남기기위한 기본 템플릿을 설정하십시오.
Television,텔레비전
Quality Inspection required for Item {0},항목 {0}에 대한 품질 검사 필요
Debit ({0}),직불 ({0})
Inpatient Visit Charge,입원 환자 방문 비용
Transaction Data Mapping,트랜잭션 데이터 매핑
A Lead requires either a person's name or an organization's name,리드는 개인의 이름이나 조직의 이름이 필요합니다.
Guardians,수호자
Select Brand...,브랜드 선택 ...
Middle Income,중간 수입
Calculate Based On,계산 기준
Barcode {0} already used in Item {1},아이템 {1}에 이미 사용 된 바코드 {0}
Campaign Name,캠페인 이름
Rejected Warehouse,거부 된 창고
{0} {1} must be submitted,{0} {1}을 제출해야합니다.
Expense Claim Advance,경비 청구 진행
Rounding Adjustment (Company Currency),반올림 조정 (회사 통화)
Publish in Hub,허브에 게시
GSTIN,GSTIN
August,팔월
Please enter Purchase Receipt first,먼저 구매 영수증을 입력하십시오.
Start Year,시작 연도
Target ({}),타겟 ({})
Please set Default Payroll Payable Account in Company {0},회사 {0}에 기본 Payroll Payable Account를 설정하십시오.
Sales Summary,판매 요약
In Words (Company Currency),단어 (회사 통화)
Please specify currency in Company,회사에서 통화를 지정하십시오.
Price,가격
Min Order Qty,최소 주문 수량
Holiday Management,휴일 관리
Please enable default incoming account before creating Daily Work Summary Group,일일 작업 요약 그룹을 만들기 전에 기본 수신 계정을 활성화하십시오.
You can only select a maximum of one option from the list of check boxes.,확인란 목록에서 최대 하나의 옵션 만 선택할 수 있습니다.
Public Transport,대중 교통
Maximum Samples - {0} can be retained for Batch {1} and Item {2}.,최대 샘플 - 배치 {1} 및 항목 {2}에 대해 {0}을 보유 할 수 있습니다.
Max Sample Quantity,최대 샘플 수량
Source and target warehouse must be different,소스웨어 하우스와 목표웨어 하우스는 서로 달라야합니다.
Benefits Applied,혜택 적용
Against Journal Entry {0} does not have any unmatched {1} entry,저널 항목 {0}에 대해 일치하지 않는 {1} 항목이 없습니다.
Price or product discount slabs are required,가격 또는 제품 할인 슬랩이 필요합니다.
Set a Target,목표 설정
Attendance Record {0} exists against Student {1},학생 {1}에 대한 출석 기록 {0}이 (가) 있습니다.
Date of Transaction,거래 일자
Cancel Subscription,구독 취소
Net Salary Amount,순 급여 금액
Liability,책임
Bank A/C No.,은행 A / C 번호
Discharge Note,배출주의 사항
Action if Accumulated Monthly Budget Exceeded on MR,누적 된 월 예산이 MR을 초과하는 경우의 조치
Asset Movement,자산 이동
"Could not create Credit Note automatically, please uncheck 'Issue Credit Note' and submit again",자동으로 신용 노트를 만들 수 없습니다. &#39;크레딧 발행&#39;을 선택 취소하고 다시 제출하십시오.
Per Month,달마다
Routing Name,라우팅 이름
Common Name,공통 이름
Measurable,측정 가능
LMS Title,LMS 제목
Loan Management,대출 관리
Support Analtyics,지원 분석
Consumable Total Amount,소모 가능한 총 금액
Enable Template,템플릿 사용
Customer LPO,고객 LPO
Website Image {0} attached to Item {1} cannot be found,{1}에 첨부 된 웹 사이트 이미지 {0}을 (를) 찾을 수 없습니다.
Planned,계획된
Custodian,후견인
Filter based on Cost Center is only applicable if Budget Against is selected as Cost Center,코스트 센터 기반 필터는 예산 대비 예산이 코스트 센터로 선택된 경우에만 적용 가능
Quoted Item Comparison,인용 된 상품 비교
Employee Advance,직원 진급
Inward supplies liable to reverse charge (other than 1 & 2 above),역 충전 (위의 1 및 2 제외)
Shopping Cart,쇼핑 카트
User {0} does not exist,사용자 {0}이 (가) 없습니다.
Loans and Advances (Assets),대출 및 대출 (자산)
Row {0}: Please check 'Is Advance' against Account {1} if this is an advance entry.,행 {0} : 사전 항목 인 경우 계정 {1}에 대해 &#39;진행&#39;인지 확인하십시오.
Designation (optional),지정 (선택 사항)
Total Principal Amount,총 교장 금액
Customer / Lead Address,고객 / 리드 주소
Soap & Detergent,비누 &amp; 세제
Purchase Analytics,애널리틱스 구입
Opportunity,기회
Prefered Contact Email,선호 연락처 이메일
Opening Accounting Balance,회계 잔액 개설
[Select],[고르다]
MAT-RECO-.YYYY.-,매트 - 리코 - .YYYY.-
Master Data,마스터 데이터
Yet to appear,아직 등장하지
Customers in Queue,대기열에있는 고객
Supplier Details,공급 업체 세부 정보
No gain or loss in the exchange rate,환율에 따른 손익 없음
GSTR-1,GSTR-1
Total Billable Hours,총 청구 가능 시간
Represents Company,회사를 대표합니다.
Company Address,회사 주소
Lead Name,리드 이름
Diseases & Fertilizers,질병 및 비료
Item {0} must be a Sub-contracted Item,항목 {0}은 (는) 계약 된 항목이어야합니다.
Purchase Receipt Items,구매 영수증 항목
Ignore Existing Projected Quantity,기존 예상 수량 무시
Supervisor,감독자
Salary Detail,급여 세부 정보
Budget Against,예산 대비
Add Letterhead,레터 헤드 추가
Templates of supplier scorecard criteria.,공급 업체 스코어 카드 기준의 템플릿.
Default Finance Book,기본 금융 도서
Please specify Company,회사를 지정하십시오.
Total contribution percentage should be equal to 100,총 기여도 백분율은 100과 같아야합니다.
Webhooks Secret,Webhooks Secret
Asset Depreciations and Balances,자산 감가 상각비 및 잔액
New Batch Qty,새로운 일괄 수량
Import of goods,상품 수입
Raw Material Item Code,원자재 품목 코드
Purchase Invoice {0} is already submitted,구매 송장 {0}이 이미 제출되었습니다.
Student Email,학생 이메일
BOM recursion: {0} cannot be parent or child of {2},BOM 재귀 : {0}은 (는) {2}의 부모 또는 자식이 될 수 없습니다.
Get Items from Healthcare Services,의료 서비스에서 아이템을 얻으십시오.
Stock Entry {0} is not submitted,재고 항목 {0}이 (가) 제출되지 않았습니다.
Item Attribute Value,항목 속성 값
Volunteer Skills,자원 봉사 기술
Cannot enroll more than {0} students for this student group.,이 학생 그룹에 대해 {0} 명 이상의 학생을 등록 할 수 없습니다.
Costing Details,원가 계산 세부 사항
Sales Invoice {0} has already been submitted,판매 송장 {0}이 (가) 이미 제출되었습니다.
Accounting Entries,회계 항목
Internal Transfer,내부 거래
Stock Details,증권 세부 정보
Is Carry Forward,캐리 포워드
Product Enquiry,제품 문의
PUR-ORD-.YYYY.-,PUR-ORD-.YYYY.-
Evaluation Period,평가 기간
Volunteer Skill,자원 봉사 기술
Order Confirmation No,주문 확인 번호
POS,POS
Self-Study,자율 학습
Above,위
Action Doctype,액션 Doctype
Allow Print Before Pay,지불 전 인쇄 허용
Select Items to Manufacture,제조 품목 선택
Leave Approver Name,승인자 이름 남기기
Shareholder,주주
Agreement Status,계약 상태
Default settings for selling transactions.,거래 판매를위한 기본 설정.
Please select Student Admission which is mandatory for the paid student applicant,유급 학생 지원자에게 의무적 인 학생 입학을 선택하십시오.
Select BOM,BOM 선택
"Schedules for {0} overlaps, do you want to proceed after skiping overlaped slots ?",{0}의 일정이 겹칩니다. 겹친 슬롯을 건너 뛰고 계속 하시겠습니까?
Customer or Supplier Details,고객 또는 공급 업체 세부 정보
Debit Account,직불 계정
Trial Period End Date Cannot be before Trial Period Start Date,평가판 기간 종료 날짜는 평가판 기간 이전 일 수 없습니다. 시작 날짜
Rented,대여 됨
Employee Group Table,직원 그룹 표
HR Manager,HR 관리자
Details of Outward Supplies and inward supplies liable to reverse charge,반전 공급 및 역 충전이 필요한 내부 공급 장치의 세부 사항
Cheque/Reference No,확인 / 참조 번호
Assessment Result,평가 결과
New Contact,새 연락처
Opportunities,기회
Net Cash from Operations,운영 순 현금
Leave Encashment,괴롭히기를 떠나라.
Source warehouse is mandatory for row {0},소스웨어 하우스는 행 {0}에 필수입니다.
After Date,날짜 이후
ITC Available (whether in full op part),ITC 가능 (전체 운영 부분 포함)
Row {0}: Activity Type is mandatory.,행 {0} : 활동 유형은 필수 항목입니다.
Consultant,컨설턴트
Select an employee to get the employee advance.,직원을 선택하여 직원을 진급시킵니다.
"Asset cannot be cancelled, as it is already {0}",이미 {0}이므로 애셋을 취소 할 수 없습니다.
Wrong Password,잘못된 비밀번호
STO-ITEM-.YYYY.-,STO-ITEM- .YYYY.-
Update Account Number / Name,계정 번호 / 이름 업데이트
Use Custom Cash Flow Format,맞춤형 현금 흐름 형식 사용
Opening Invoices,인보이스 열기
Send to Warehouse,창고로 보내기
Event Status,이벤트 상태
Total completed qty must be greater than zero,완료된 총 qty는 0보다 커야합니다.
Chargeable,청구 가능
Anytime,언제든지
Student Batch-Wise Attendance,학생 일괄 출석
Normal Test Template,일반 테스트 템플릿
Tree of financial Cost Centers.,금융 비용 센터 트리입니다.
"in Minutes
Updated via 'Time Log'",분 단위로 &#39;시간 기록&#39;을 통해 업데이트 됨
Bin,큰 상자
Invoice Number,송장 번호
Fulfillment User,이행 사용자
Planned End Time,계획된 종료 시간
Section Code,섹션 코드
Monitor Progress,진행 상황 모니터링
Select Batch No,배치 번호 선택
Payroll Number,급여 번호
Include UOM,UOM 포함
Stock Ledger Entries and GL Entries are reposted for the selected Purchase Receipts,선택한 구매 영수증에 대해 재고 원장 및 GL 항목이 재 전기됩니다.
Update Print Format,업데이트 인쇄 형식
Siblings,동기
Hold Invoice,청구서 보류
Row {0}: Invalid reference {1},행 {0} : 잘못된 참조 {1}
Profitability Analysis,수익성 분석
New Account Name,새 계정 이름
Expense Proof,비용 증명
Served,제공된
Member,회원
Practitioner Service Unit Schedule,실무자 서비스 단위 일정
Wire Transfer,송금
Against Account,반대 계정
Projects Settings,프로젝트 설정
{0} {1}: Account {2} cannot be a Group,{0} {1} : 계정 {2}이 (가) 그룹이 될 수 없습니다.
Prescription Duration,처방 기간
Row {0}: Debit entry can not be linked with a {1},행 {0} : 차변 입력을 {1}과 연결할 수 없습니다.
Intro Video,소개 비디오
Is Paid,유료입니다.
Debit,차변
Item Balance (Simple),상품 잔액 (단순)
Purchase orders help you plan and follow up on your purchases,구매 주문은 구매 계획을 수립하고 후속 조치를 취하는 데 도움이됩니다.
Project Type,프로젝트 유형
Student Batch Name,학생 배치 이름
Qty to Receive,수신 수량
Previous Business Day,이전 영업일
Sponsored Amount,후원 금액
Please wait 3 days before resending the reminder.,알림을 다시 보내기 전에 3 일을 기다려주십시오.
Qty as per Stock UOM,재고 UOM 당 수량
Quantity,수량
Estimated Arrival,예상 도착 시간
Trial Balance for Party,파티 용 시산표
Employee Separation Template,직원 분리 템플릿
Unit,단위
Maximum benefit amount of component {0} exceeds {1},{0} 구성 요소의 최대 혜택 금액이 {1}을 초과했습니다.
Venture Capital,벤처 캐피탈
Fiscal Year End Date should be one year after Fiscal Year Start Date,회계 연도 종료일은 회계 연도 시작일 이후 1 년이어야합니다.
Daily Reminders,일일 미리 알림
Default Sales Unit of Measure,기본 판매 단위
Rate of Depreciation,감가 상각률
Post Description Key,게시 설명 키
Minimum Total Spent,최소 지출 총액
Period Score,기간 점수
Can't create standard criteria. Please rename the criteria,표준 기준을 만들 수 없습니다. 조건의 이름을 변경하십시오.
Arrival Datetime,도착 시간
Student LMS Activity,학생 LMS 활동
Quantity Difference,수량 차이
Row #{0}: Allocated Amount cannot be greater than outstanding amount.,행 # {0} : 할당 된 금액은 미납 금액보다 클 수 없습니다.
Timesheet Detail,작업 표 세부 정보
Proficiency,진보
Sent To,전송
Hub Publishing Details,허브 출판 세부 정보
"Student Batches help you track attendance, assessments and fees for students","학생 배치는 학생들의 출석, 평가 및 비용을 추적하는 데 도움을줍니다."
Declared Amount,신고 금액
Auto close Opportunity after 15 days,자동 닫기 15 일 후 기회
Issue,발행물
Availability Timeslot,가용성 타임 슬롯
Program Abbreviation,프로그램 약어
Project Start Date,프로젝트 시작 날짜
Additional DIscount Amount,추가 DIscount 금액
Item {0} not found in 'Raw Materials Supplied' table in Purchase Order {1},구매 오더 {1}의 &#39;원자재 공급&#39;테이블에 {0} 품목이 없습니다.
Manage cost of operations,운영 비용 관리
You are not authorized to set Frozen value,고정 값 설정 권한이 없습니다.
Lapsed,지나간
Investments,투자
Date of Birth,생년월일
You need to be a user with System Manager and Item Manager roles to register on Marketplace.,마켓 플레이스에 등록하려면 System Manager 및 Item Manager 역할이있는 사용자 여야합니다.
Item Attribute Values,항목 속성 값
Please save the patient first,환자를 먼저 저장하십시오.
Half Day Date should be between From Date and To Date,반나절 날짜는 시작일과 종료일 사이 여야합니다.
Expected Discharge,예상 배출량
Travel Type,여행 유형
Customer is required,고객이 필요합니다.
Invalid quantity specified for item {0}. Quantity should be greater than 0.,{0} 항목에 잘못된 수량이 지정되었습니다. 수량은 0보다 커야합니다.
As Supervisor,관리자로서
Employees,직원
Billing Status,결제 상태
Please select Category first,먼저 카테고리를 선택하십시오.
BOM Browser,BOM 브라우저
Create Student Groups,학생 그룹 만들기
In Minutes,분 단위로
Net Pay cannot be less than 0,Net Pay는 0보다 작을 수 없습니다.
Schedules,일정
Employee Training,직원 교육
Rate of Interest (%) / Year,이자율 (%) / 년
Require Result Value,결과 값 필요
Loan Type,대출 유형
Item Code required at Row No {0},행 번호가 {0} 인 항목 코드 필요
Identification of the package for the delivery (for print),납품을위한 포장 식별 (인쇄용)
Assessment Name,평가 이름
Departure Datetime,출발 날짜 시간
From Warehouse,창고에서
Amount {0} {1} against {2} {3},{2} {3}에 대한 금액 {0} {1}
Create Variant,변형 생성
Fulfilment Terms and Conditions,이행 조건
Date of Commencement should be greater than Date of Incorporation,개시일은 설립일보다 커야한다.
Price or Product Discount,가격 또는 제품 할인
Reading 1,독서 1
Maximum Age,최대 연령
Payroll Periods,급여 기간
Transferred Quantity,양도 됨
Marketplace Settings,마켓 플레이스 설정
Purchase Orders are not allowed for {0} due to a scorecard standing of {1}.,스코어 카드가 {1} (으)로 인해 구매 주문이 {0}에 허용되지 않습니다.
Price List not selected,가격 목록이 선택되지 않았습니다.
Workstation is closed on the following dates as per Holiday List: {0},워크 스테이션은 공휴일 목록 당 다음 날짜에 마감됩니다. {0}
"Reselect, if the chosen address is edited after save",저장 후 선택한 주소를 다시 선택한 경우 다시 선택하십시오.
Default Unit of Measure for Item {0} cannot be changed directly because you have already made some transaction(s) with another UOM. You will need to create a new Item to use a different Default UOM.,다른 UOM과 이미 거래를했기 때문에 {0} 항목의 기본 측정 단위를 직접 변경할 수 없습니다. 다른 Default UOM을 사용하려면 새 Item을 만들어야합니다.
Changing Customer Group for the selected Customer is not allowed.,선택한 고객에 대한 고객 그룹 변경은 허용되지 않습니다.
Creation Document Type,생성 문서 유형
Available Batch Qty at Warehouse,창고에서 가능한 일괄 수량
This is a root territory and cannot be edited.,이것은 루트 영역이며 편집 할 수 없습니다.
Surgical History,외과 적 병력
Tree of Quality Procedures.,품질 절차 트리.
Contact HTML,연락처 HTML
Employee Information,직원 정보
Examiner,시험관
Actual Amount,실제 금액
Fulfilled,완성 된
Row {0}: Enter location for the asset item {1},행 {0} : 자산 항목 {1}의 위치 입력
View Timesheet,작업 표보기
Taxes and Charges Calculation,세금 및 요금 계산
Action Document,액션 문서
Procedure Prescription,절차 처방
Guardian Name,보호자 이름
Successfully Reconciled,성공적으로 조정
Period Name,기간 이름
Please pull items from Delivery Note,배송지에서 항목을 가져 오십시오.
Content Question,내용 질문
In Stock: ,재고:
Please save before assigning task.,작업을 할당하기 전에 저장하십시오.
Company is manadatory for company account,회사는 회사 계정에 대한 manadatory입니다
