DocType: Accounting Period,Period Name,കാലാവധി നാമം
DocType: Loyalty Program Collection,Minimum Total Spent,ഏറ്റവും കുറഞ്ഞ ആകെ ചിലവ്
apps/erpnext/erpnext/stock/doctype/batch/batch.py,"Row #{0}: The batch {1} has only {2} qty. Please select another batch which has {3} qty available or split the row into multiple rows, to deliver/issue from multiple batches","വരി # {0}: ബാച്ച് {1} മാത്രമേ {2} അളവ് ഉണ്ട്. ഉണ്ട് {3} ലഭ്യമായ അളവ് മറ്റൊരു ബാച്ച് തിരഞ്ഞെടുക്കുക അല്ലെങ്കിൽ ഒന്നിലധികം ബാച്ചുകൾ നിന്ന് / പ്രശ്നം വിടുവിപ്പാൻ, ഒന്നിലധികം വരികൾ കയറി വരി വേർതിരിക്കുക"
DocType: Loyalty Program,Expiry Duration (in days),കാലഹരണപ്പെടൽ സമയം (ദിവസങ്ങളിൽ)
DocType: Inpatient Record,Discharge Date,ഡിസ്ചാർജ് തീയതി
DocType: Subscription Plan,Price Determination,വില നിർണ്ണയം
DocType: Vehicle,License Plate,ലൈസൻസ് പ്ലേറ്റ്
apps/erpnext/erpnext/hr/doctype/department/department_tree.js,New Department,പുതിയ വകുപ്പ്
DocType: Compensatory Leave Request,Worked On Holiday,അവധി ദിനാചരണം
DocType: Appraisal,Goals,ലക്ഷ്യങ്ങൾ
DocType: Support Settings,Allow Resetting Service Level Agreement,സേവന ലെവൽ കരാർ പുന et സജ്ജമാക്കാൻ അനുവദിക്കുക
apps/erpnext/erpnext/selling/page/point_of_sale/point_of_sale.js,Select POS Profile,POS പ്രൊഫൈൽ തിരഞ്ഞെടുക്കുക
DocType: Warranty Claim,Warranty / AMC Status,വാറന്റി / എഎംസി അവസ്ഥ
,Accounts Browser,അക്കൗണ്ടുകൾ ബ്രൗസർ
DocType: Procedure Prescription,Referral,റഫറൽ
DocType: Payment Entry Reference,Payment Entry Reference,പേയ്മെന്റ് എൻട്രി റഫറൻസ്
DocType: GL Entry,GL Entry,ജി.എൽ എൻട്രി
DocType: Support Search Source,Response Options,പ്രതികരണ ഓപ്ഷനുകൾ
DocType: Pricing Rule,Apply Multiple Pricing Rules,ഒന്നിലധികം വിലനിർണ്ണയ നിയമങ്ങൾ പ്രയോഗിക്കുക
DocType: HR Settings,Employee Settings,ജീവനക്കാരുടെ ക്രമീകരണങ്ങൾ
apps/erpnext/erpnext/templates/pages/integrations/gocardless_checkout.html,Loading Payment System,പേയ്മെന്റ് സിസ്റ്റം ലോഡുചെയ്യുന്നു
,Batch-Wise Balance History,ബാച്ച് യുക്തിമാനും ബാലൻസ് ചരിത്രം
apps/erpnext/erpnext/controllers/accounts_controller.py,Row #{0}: Cannot set Rate if amount is greater than billed amount for Item {1}.,വരി # {0}: ഇനം {1} എന്നതിന്റെ ബില്ല്യൺ തുകയേക്കാൾ കൂടുതലാണെങ്കിൽ നിരക്ക് ക്രമീകരിക്കാൻ കഴിയില്ല.
apps/erpnext/erpnext/accounts/doctype/cheque_print_template/cheque_print_template.js,Print settings updated in respective print format,അച്ചടി ക്രമീകരണങ്ങൾ അതാത് പ്രിന്റ് ഫോർമാറ്റിൽ അപ്ഡേറ്റ്
DocType: Package Code,Package Code,പാക്കേജ് കോഡ്
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py,Apprentice,വിദേശികൾക്ക്
DocType: Purchase Invoice,Company GSTIN,കമ്പനി ഗ്സ്തിന്
apps/erpnext/erpnext/stock/doctype/stock_reconciliation/stock_reconciliation.py,Negative Quantity is not allowed,നെഗറ്റീവ് ക്വാണ്ടിറ്റി അനുവദനീയമല്ല
DocType: Purchase Invoice Item,"Tax detail table fetched from item master as a string and stored in this field.
Used for Taxes and Charges",നികുതി വിശദമായി ടേബിൾ സ്ടിംഗ് ഐറ്റം മാസ്റ്റർ നിന്നും പിടിച്ചു ഈ വയലിൽ സൂക്ഷിച്ചു. നികുതികളും ചാർജുകളും ഉപയോഗിച്ച
apps/erpnext/erpnext/hr/doctype/employee/employee.py,Employee cannot report to himself.,ജീവനക്കാർ തനിക്കായി റിപ്പോർട്ട് ചെയ്യാൻ കഴിയില്ല.
apps/erpnext/erpnext/templates/pages/order.html,Rate:,നിരക്ക്:
DocType: Bank Account,Change this date manually to setup the next synchronization start date,അടുത്ത സമന്വയ ആരംഭ തീയതി സജ്ജീകരിക്കുന്നതിന് ഈ തീയതി സ്വമേധയാ മാറ്റുക
DocType: Leave Type,Max Leaves Allowed,മാക്സ് ഇലകൾ അനുവദനീയം
DocType: Account,"If the account is frozen, entries are allowed to restricted users.","അക്കൗണ്ട് മരവിപ്പിച്ചു എങ്കിൽ, എൻട്രികൾ നിയന്ത്രിത ഉപയോക്താക്കൾക്ക് അനുവദിച്ചിരിക്കുന്ന."
DocType: Email Digest,Bank Balance,ബാങ്ക് ബാലൻസ്
apps/erpnext/erpnext/controllers/accounts_controller.py,Accounting Entry for {0}: {1} can only be made in currency: {2},{0} വേണ്ടി അക്കൗണ്ടിംഗ് എൻട്രി: {1} മാത്രം കറൻസി കഴിയും: {2}
DocType: HR Settings,Leave Approver Mandatory In Leave Application,ലീവ് അപേക്ഷയിൽ അനുവയർ നിർബന്ധമാണ്
DocType: Job Opening,"Job profile, qualifications required etc.","ഇയ്യോബ് പ്രൊഫൈൽ, യോഗ്യത തുടങ്ങിയവ ആവശ്യമാണ്"
DocType: Journal Entry Account,Account Balance,അക്കൗണ്ട് ബാലൻസ്
apps/erpnext/erpnext/config/accounting.py,Tax Rule for transactions.,ഇടപാടുകൾക്ക് നികുതി റൂൾ.
DocType: Rename Tool,Type of document to rename.,പേരുമാറ്റാൻ പ്രമാണത്തിൽ തരം.
apps/erpnext/erpnext/accounts/doctype/chart_of_accounts_importer/chart_of_accounts_importer.js,Resolve error and upload again.,പിശക് പരിഹരിച്ച് വീണ്ടും അപ്‌ലോഡുചെയ്യുക.
DocType: Buying Settings,Over Transfer Allowance (%),ഓവർ ട്രാൻസ്ഫർ അലവൻസ് (%)
apps/erpnext/erpnext/accounts/doctype/gl_entry/gl_entry.py,{0} {1}: Customer is required against Receivable account {2},{0} {1}: ഉപഭോക്തൃ സ്വീകാര്യം അക്കൗണ്ട് {2} നേരെ ആവശ്യമാണ്
DocType: Purchase Invoice,Total Taxes and Charges (Company Currency),ആകെ നികുതി ചാർജുകളും (കമ്പനി കറൻസി)
DocType: Weather,Weather Parameter,കാലാവസ്ഥ പരിധി
apps/erpnext/erpnext/accounts/report/trial_balance/trial_balance.js,Show unclosed fiscal year's P&L balances,അടയ്ക്കാത്ത സാമ്പത്തിക വർഷത്തെ പി &amp; എൽ തുലാസിൽ കാണിക്കുക
DocType: Item,Asset Naming Series,അസറ്റ് നോമിംഗ് സീരീസ്
DocType: Appraisal,HR-APR-.YY.-.MM.,HR-APR-.YY.-.MM.
apps/erpnext/erpnext/regional/india/utils.py,House rented dates should be atleast 15 days apart,ഹൗസ് വാടകയ്ക്ക് നൽകേണ്ട തീയതി 15 ദിവസമെങ്കിലും അവശേഷിക്കും
DocType: Clinical Procedure Template,Collection Details,ശേഖരത്തിന്റെ വിശദാംശങ്ങൾ
DocType: POS Profile,Allow Print Before Pay,പണമടയ്ക്കുന്നതിന് മുമ്പ് പ്രിന്റ് അനുവദിക്കുക
DocType: Linked Soil Texture,Linked Soil Texture,ലിങ്ക്ഡ് സോയിൽ ടെക്സ്ചർ
DocType: Shipping Rule,Shipping Account,ഷിപ്പിംഗ് അക്കൗണ്ട്
apps/erpnext/erpnext/accounts/doctype/gl_entry/gl_entry.py,{0} {1}: Account {2} is inactive,{0} {1}: അക്കൗണ്ട് {2} സജ്ജമല്ല
DocType: GSTR 3B Report,March,മാർച്ച്
DocType: Bank Statement Transaction Entry,Bank Transaction Entries,ബാങ്ക് ഇടപാട് എൻട്രികൾ
DocType: Quality Inspection,Readings,വായന
DocType: Stock Entry,Total Additional Costs,ആകെ അധിക ചെലവ്
DocType: Quality Action,Quality Action,ഗുണനിലവാരമുള്ള പ്രവർത്തനം
apps/erpnext/erpnext/crm/report/lead_conversion_time/lead_conversion_time.py,No of Interactions,ഇടപെടലുകളുടെ എണ്ണം
DocType: BOM,Scrap Material Cost(Company Currency),സ്ക്രാപ്പ് വസ്തുക്കളുടെ വില (കമ്പനി കറൻസി)
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py,Sub Assemblies,സബ് അസംബ്ലീസ്
DocType: Asset,Asset Name,അസറ്റ് പേര്
DocType: Employee Boarding Activity,Task Weight,ടാസ്ക് ഭാരോദ്വഹനം
DocType: Shipping Rule Condition,To Value,മൂല്യത്തിലേക്ക്
DocType: Accounts Settings,Automatically Add Taxes and Charges from Item Tax Template,ഐറ്റം ടാക്സ് ടെംപ്ലേറ്റിൽ നിന്ന് നികുതികളും നിരക്കുകളും സ്വപ്രേരിതമായി ചേർക്കുക
DocType: Loyalty Program,Loyalty Program Type,ലോയൽറ്റി പ്രോഗ്രാം തരം
DocType: Asset Movement,Stock Manager,സ്റ്റോക്ക് മാനേജർ
apps/erpnext/erpnext/stock/doctype/stock_entry/stock_entry.py,Source warehouse is mandatory for row {0},ഉറവിട വെയർഹൗസ് വരി {0} നിര്ബന്ധമാണ്
apps/erpnext/erpnext/accounts/doctype/payment_terms_template/payment_terms_template.py,The Payment Term at row {0} is possibly a duplicate.,വരിയിൽ വരുന്ന പെയ്മെന്റ് ടേം {0} ഒരു തനിപ്പകർപ്പാണ്.
apps/erpnext/erpnext/public/js/setup_wizard.js,Agriculture (beta),കൃഷി (ബീറ്റ)
apps/erpnext/erpnext/stock/doctype/delivery_note/delivery_note.js,Packing Slip,പാക്കിംഗ് സ്ലിപ്പ്
apps/erpnext/erpnext/accounts/doctype/account/chart_of_accounts/verified/standard_chart_of_accounts_with_account_number.py,Office Rent,ഓഫീസ് രെംട്
apps/erpnext/erpnext/config/settings.py,Setup SMS gateway settings,സെറ്റപ്പ് എസ്എംഎസ് ഗേറ്റ്വേ ക്രമീകരണങ്ങൾ
DocType: Disease,Common Name,പൊതുവായ പേര്
DocType: Customer Feedback Template Table,Customer Feedback Template Table,ഉപഭോക്തൃ ഫീഡ്‌ബാക്ക് ടെംപ്ലേറ്റ് പട്ടിക
DocType: Employee Boarding Activity,Employee Boarding Activity,ജീവനക്കാരുടെ ബോർഡിംഗ് പ്രവർത്തനങ്ങൾ
apps/erpnext/erpnext/public/js/templates/address_list.html,No address added yet.,ഇല്ല വിലാസം ഇതുവരെ ചേർത്തു.
DocType: Workstation Working Hour,Workstation Working Hour,വർക്ക്സ്റ്റേഷൻ ജോലി അന്ത്യസമയം
DocType: Vital Signs,Blood Pressure,രക്തസമ്മര്ദ്ദം
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py,Analyst,അനലിസ്റ്റ്
apps/erpnext/erpnext/hr/doctype/employee_benefit_claim/employee_benefit_claim.py,{0} is not in a valid Payroll Period,{0} സാധുതയുള്ള പേരോൾ കാലയളവിൽ അല്ല
DocType: Employee Benefit Application,Max Benefits (Yearly),പരമാവധി ആനുകൂല്യങ്ങൾ (വാർഷികം)
DocType: Item,Inventory,ഇൻവെന്ററി
apps/erpnext/erpnext/regional/report/gstr_1/gstr_1.js,Download as Json,Json ആയി ഡൗൺലോഡുചെയ്യുക
DocType: Item,Sales Details,സെയിൽസ് വിശദാംശങ്ങൾ
DocType: Coupon Code,Used,ഉപയോഗിച്ചു
DocType: Opportunity,With Items,ഇനങ്ങൾ കൂടി
apps/erpnext/erpnext/crm/doctype/email_campaign/email_campaign.py,The Campaign '{0}' already exists for the {1} '{2}',{1} &#39;{2}&#39; എന്നതിനായി &#39;{0}&#39; കാമ്പെയ്‌ൻ ഇതിനകം നിലവിലുണ്ട്.
DocType: Asset Maintenance,Maintenance Team,മെയിന്റനൻസ് ടീം
DocType: Homepage Section,"Order in which sections should appear. 0 is first, 1 is second and so on.",ഏതൊക്കെ വിഭാഗങ്ങൾ ദൃശ്യമാകണമെന്ന് ഓർഡർ ചെയ്യുക. 0 ആദ്യത്തേതും 1 രണ്ടാമത്തേതും മറ്റും.
apps/erpnext/erpnext/stock/report/batch_wise_balance_history/batch_wise_balance_history.py,In Qty,Qty ൽ
DocType: Education Settings,Validate Enrolled Course for Students in Student Group,സ്റ്റുഡന്റ് ഗ്രൂപ്പ് വിദ്യാർത്ഥികളുടെ മൂല്യനിർണ്ണയം എൻറോൾ കോഴ്സ്
DocType: Item,Item Attribute,ഇനത്തിനും
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py,Government,സർക്കാർ
apps/erpnext/erpnext/hr/doctype/vehicle_log/vehicle_log.py,Expense Claim {0} already exists for the Vehicle Log,ചിലവേറിയ ക്ലെയിം {0} ഇതിനകം വാഹനം ലോഗ് നിലവിലുണ്ട്
DocType: Asset Movement,Source Location,ഉറവിട സ്ഥാനം
apps/erpnext/erpnext/public/js/setup_wizard.js,Institute Name,ഇൻസ്റ്റിറ്റ്യൂട്ട് പേര്
apps/erpnext/erpnext/hr/doctype/loan/loan.py,Please enter repayment Amount,ദയവായി തിരിച്ചടവ് തുക നൽകുക
DocType: Shift Type,Working Hours Threshold for Absent,ഇല്ലാത്തവർക്കുള്ള പ്രവർത്തന സമയം പരിധി
apps/erpnext/erpnext/accounts/doctype/loyalty_program/loyalty_program.js,There can be multiple tiered collection factor based on the total spent. But the conversion factor for redemption will always be same for all the tier.,ആകെ ചെലവഴിച്ച തുക അടിസ്ഥാനമാക്കി ഒന്നിലധികം tiered ശേഖരണ ഘടകം ഉണ്ടാകും. എന്നാൽ വീണ്ടെടുക്കൽ എന്നതിനുള്ള പരിവർത്തന ഘടകം എല്ലായ്പ്പോഴും എല്ലാ ടയർക്കും തുല്യമായിരിക്കും.
apps/erpnext/erpnext/config/help.py,Item Variants,ഇനം രൂപഭേദങ്ങൾ
apps/erpnext/erpnext/public/js/setup_wizard.js,Services,സേവനങ്ങള്
apps/erpnext/erpnext/manufacturing/page/bom_comparison_tool/bom_comparison_tool.js,BOM 2,ബോം 2
DocType: Payment Order,PMO-,PMO-
DocType: HR Settings,Email Salary Slip to Employee,രേഖയെ ഇമെയിൽ ശമ്പളം ജി
DocType: Cost Center,Parent Cost Center,പാരന്റ് ചെലവ് കേന്ദ്രം
apps/erpnext/erpnext/accounts/doctype/opening_invoice_creation_tool/opening_invoice_creation_tool.js,Create Invoices,ഇൻവോയ്സുകൾ സൃഷ്ടിക്കുക
apps/erpnext/erpnext/buying/doctype/request_for_quotation/request_for_quotation.js,Select Possible Supplier,സാധ്യമായ വിതരണക്കാരൻ തിരഞ്ഞെടുക്കുക
DocType: Communication Medium,Communication Medium Type,ആശയവിനിമയ ഇടത്തരം തരം
DocType: Customer,"Select, to make the customer searchable with these fields",ഈ ഫീൽഡുകൾ ഉപയോഗിച്ച് ഉപഭോക്താവിനെ തിരയാൻ കഴിയുന്നതിനായി തിരഞ്ഞെടുക്കുക
DocType: Shopify Settings,Import Delivery Notes from Shopify on Shipment,ഷിപ്പിംഗിൽ നിന്ന് Shopify ൽ നിന്നുള്ള Import Delivery Notes
apps/erpnext/erpnext/templates/pages/projects.html,Show closed,അടച്ചു കാണിക്കുക
DocType: Issue Priority,Issue Priority,മുൻ‌ഗണന നൽകുക
DocType: Leave Ledger Entry,Is Leave Without Pay,ശമ്പള ഇല്ലാതെ തന്നെ തന്നു
apps/erpnext/erpnext/regional/doctype/gstr_3b_report/gstr_3b_report.html,GSTIN,GSTIN
apps/erpnext/erpnext/stock/doctype/item/item.py,Asset Category is mandatory for Fixed Asset item,അസറ്റ് വിഭാഗം ഫിക്സ്ഡ് അസറ്റ് ഇനം നിര്ബന്ധമാണ്
DocType: Fee Validity,Fee Validity,ഫീസ് സാധുത
apps/erpnext/erpnext/accounts/doctype/payment_reconciliation/payment_reconciliation.py,No records found in the Payment table,പേയ്മെന്റ് പട്ടികയിൽ കണ്ടെത്തിയില്ല റെക്കോർഡുകൾ
apps/erpnext/erpnext/education/utils.py,This {0} conflicts with {1} for {2} {3},ഈ {0} {2} {3} ഉപയോഗിച്ച് {1} വൈരുദ്ധ്യങ്ങൾ
DocType: Student Attendance Tool,Students HTML,വിദ്യാർത്ഥികൾ എച്ച്ടിഎംഎൽ
apps/erpnext/erpnext/selling/doctype/sales_order/sales_order.js,"Select BOM, Qty and For Warehouse","BOM, Qty, For Warehouse എന്നിവ തിരഞ്ഞെടുക്കുക"
DocType: GST HSN Code,GST HSN Code,ചരക്കുസേവന ഹ്സ്ന് കോഡ്
DocType: Employee External Work History,Total Experience,ആകെ അനുഭവം
apps/erpnext/erpnext/setup/doctype/email_digest/templates/default.html,Open Projects,തുറക്കുക പദ്ധതികളിൽ
apps/erpnext/erpnext/stock/doctype/delivery_note/delivery_note.py,Packing Slip(s) cancelled,പായ്ക്കിംഗ് ജി (കൾ) റദ്ദാക്കി
apps/erpnext/erpnext/accounts/report/cash_flow/cash_flow.py,Cash Flow from Investing,നിക്ഷേപം മുതൽ ക്യാഷ് ഫ്ളോ
DocType: Program Course,Program Course,പ്രോഗ്രാം കോഴ്സ്
DocType: Healthcare Service Unit,Allow Appointments,അപ്പോയിന്മെന്റുകൾ അനുവദിക്കുക
apps/erpnext/erpnext/accounts/doctype/account/chart_of_accounts/verified/standard_chart_of_accounts_with_account_number.py,Freight and Forwarding Charges,ചരക്കുഗതാഗതം കൈമാറലും ചുമത്തിയിട്ടുള്ള
DocType: Homepage,Company Tagline for website homepage,വെബ്സൈറ്റ് ഹോംപേജിൽ കമ്പനിയുടെ ടാഗ്ലൈൻ
DocType: Item Group,Item Group Name,ഇനം ഗ്രൂപ്പ് പേര്
apps/erpnext/erpnext/hr/report/employee_leave_balance/employee_leave_balance.py,Taken,എടുത്ത
DocType: Invoice Discounting,Short Term Loan Account,ഹ്രസ്വകാല വായ്പ അക്കൗണ്ട്
DocType: Student,Date of Leaving,വിടുന്നത് തീയതി
DocType: Pricing Rule,For Price List,വില ലിസ്റ്റിനായി
apps/erpnext/erpnext/setup/setup_wizard/data/industry_type.py,Executive Search,എക്സിക്യൂട്ടീവ് തിരച്ചിൽ
DocType: Employee Advance,HR-EAD-.YYYY.-,HR-EAD-. YYYY.-
apps/erpnext/erpnext/setup/setup_wizard/setup_wizard.py,Setting defaults,സ്ഥിരസ്ഥിതികൾ സജ്ജമാക്കുന്നു
DocType: Loyalty Program,Auto Opt In (For all customers),യാന്ത്രിക ഓപ്റ്റ് ഇൻ (എല്ലാ ഉപഭോക്താക്കൾക്കും)
apps/erpnext/erpnext/utilities/activation.py,Create Leads,വിജയസാധ്യതയുള്ളത് സൃഷ്ടിക്കുക
DocType: Maintenance Schedule,Schedules,സമയക്രമങ്ങൾ
apps/erpnext/erpnext/selling/page/point_of_sale/point_of_sale.js,POS Profile is required to use Point-of-Sale,Point-of-Sale ഉപയോഗിക്കുന്നതിന് POS പ്രൊഫൈൽ ആവശ്യമാണ്
DocType: Cashier Closing,Net Amount,ആകെ തുക
apps/erpnext/erpnext/stock/doctype/material_request/material_request.py,{0} {1} has not been submitted so the action cannot be completed,{0} {1} അങ്ങനെ നടപടി പൂർത്തിയാക്കാൻ കഴിയില്ല സമർപ്പിച്ചിട്ടില്ല
DocType: Purchase Order Item Supplied,BOM Detail No,BOM വിശദാംശം ഇല്ല
DocType: Landed Cost Voucher,Additional Charges,അധിക ചാര്ജ്
DocType: Support Search Source,Result Route Field,ഫലം റൂട്ട് ഫീൽഡ്
DocType: Supplier,PAN,പാൻ
DocType: Employee Checkin,Log Type,ലോഗ് തരം
DocType: Purchase Invoice,Additional Discount Amount (Company Currency),അഡീഷണൽ കിഴിവ് തുക (കമ്പനി കറൻസി)
DocType: Supplier Scorecard,Supplier Scorecard,വിതരണക്കാരൻ സ്കോർകാർഡ്
DocType: Plant Analysis,Result Datetime,ഫലം
,Support Hour Distribution,പിന്തുണ ഹാർഡ് ഡിസ്ട്രിബ്യൂഷൻ
DocType: Maintenance Visit,Maintenance Visit,മെയിൻറനൻസ് സന്ദർശനം
apps/erpnext/erpnext/accounts/doctype/invoice_discounting/invoice_discounting.js,Close Loan,വായ്പ അടയ്ക്കുക
DocType: Student,Leaving Certificate Number,സർട്ടിഫിക്കറ്റ് നമ്പർ വിടുന്നത്
apps/erpnext/erpnext/healthcare/doctype/patient_appointment/patient_appointment.py,"Appointment cancelled, Please review and cancel the invoice {0}","അപ്പോയിന്റ്മെന്റ് റദ്ദാക്കി, ദയവായി ഇൻവോയ്സ് അവലോകനം ചെയ്ത് റദ്ദാക്കുക {0}"
DocType: Sales Invoice Item,Available Batch Qty at Warehouse,വെയർഹൗസ് ലഭ്യമായ ബാച്ച് Qty
apps/erpnext/erpnext/accounts/doctype/cheque_print_template/cheque_print_template.js,Update Print Format,അപ്ഡേറ്റ് പ്രിന്റ് ഫോർമാറ്റ്
DocType: Bank Account,Is Company Account,കമ്പനി അക്കൗണ്ട് ആണ്
apps/erpnext/erpnext/hr/doctype/leave_encashment/leave_encashment.py,Leave Type {0} is not encashable,വിടുക ടൈപ്പ് {0} സ്കെയിൽ ചെയ്യാവുന്നതല്ല
DocType: Landed Cost Voucher,Landed Cost Help,ചെലവ് സഹായം റജിസ്റ്റർ
DocType: Vehicle Log,HR-VLOG-.YYYY.-,HR-VLOG -YYYY.-
DocType: Purchase Invoice,Select Shipping Address,ഷിപ്പിംഗ് വിലാസം തിരഞ്ഞെടുക്കുക
DocType: Timesheet Detail,Expected Hrs,പ്രതീക്ഷിച്ച സമയം
apps/erpnext/erpnext/config/non_profit.py,Memebership Details,മെമ്മറിപറേഷന്റെ വിശദാംശങ്ങൾ
DocType: Leave Block List,Block Holidays on important days.,പ്രധാനപ്പെട്ട ദിവസങ്ങളിൽ അവധി തടയുക.
apps/erpnext/erpnext/healthcare/doctype/lab_test/lab_test.js,Please input all required Result Value(s),ആവശ്യമായ എല്ലാ അവശ്യ മൂല്യവും നൽകുക
apps/erpnext/erpnext/accounts/report/accounts_receivable/accounts_receivable.js,Accounts Receivable Summary,അക്കൗണ്ടുകൾ സ്വീകാര്യം ചുരുക്കം
DocType: POS Closing Voucher,Linked Invoices,ലിങ്ക് ചെയ്ത ഇൻവോയ്സുകൾ
DocType: Loan,Monthly Repayment Amount,പ്രതിമാസ തിരിച്ചടവ് തുക
apps/erpnext/erpnext/accounts/doctype/opening_invoice_creation_tool/opening_invoice_creation_tool_dashboard.html,Opening Invoices,ഇൻവോയിസുകൾ തുറക്കുന്നു
DocType: Contract,Contract Details,കരാര് വിശദാംശങ്ങള്
apps/erpnext/erpnext/hr/doctype/employee/employee.py,Please set User ID field in an Employee record to set Employee Role,ജീവനക്കാരുടെ റോൾ സജ്ജീകരിക്കാൻ ജീവനക്കാരിയെ രേഖയിൽ ഉപയോക്തൃ ഐഡി ഫീൽഡ് സജ്ജീകരിക്കുക
DocType: UOM,UOM Name,UOM പേര്
apps/erpnext/erpnext/regional/report/eway_bill/eway_bill.py,To Address 1,വിലാസം 1
DocType: GST HSN Code,HSN Code,ഹ്സ്ന് കോഡ്
apps/erpnext/erpnext/selling/report/sales_person_commission_summary/sales_person_commission_summary.py,Contribution Amount,സംഭാവനത്തുക
DocType: Homepage Section,Section Order,വിഭാഗം ഓർഡർ
DocType: Inpatient Record,Patient Encounter,രോഗിയുടെ ആശയം
DocType: Accounts Settings,Shipping Address,ഷിപ്പിംഗ് വിലാസം
DocType: Stock Reconciliation,This tool helps you to update or fix the quantity and valuation of stock in the system. It is typically used to synchronise the system values and what actually exists in your warehouses.,ഈ ഉപകരണം നിങ്ങളെ സിസ്റ്റം സ്റ്റോക്ക് അളവ് മൂലധനം അപ്ഡേറ്റുചെയ്യാനോ പരിഹരിക്കാൻ സഹായിക്കുന്നു. ഇത് സിസ്റ്റം മൂല്യങ്ങളും യഥാർത്ഥമാക്കുകയും നിങ്ങളുടെ അബദ്ധങ്ങളും നിലവിലുണ്ട് സമന്വയിപ്പിക്കുക ഉപയോഗിക്കുന്നു.
DocType: Delivery Note,In Words will be visible once you save the Delivery Note.,നിങ്ങൾ ഡെലിവറി നോട്ട് ലാഭിക്കാൻ ഒരിക്കൽ വാക്കുകളിൽ ദൃശ്യമാകും.
apps/erpnext/erpnext/erpnext_integrations/utils.py,Unverified Webhook Data,പരിശോധിക്കാത്ത വെബ്ഹുക്ക് ഡാറ്റ
DocType: Water Analysis,Container,കണ്ടെയ്നർ
apps/erpnext/erpnext/regional/report/gstr_1/gstr_1.py,Please set valid GSTIN No. in Company Address,കമ്പനി വിലാസത്തിൽ സാധുവായ GSTIN നമ്പർ സജ്ജമാക്കുക
apps/erpnext/erpnext/education/utils.py,Student {0} - {1} appears Multiple times in row {2} & {3},വിദ്യാർത്ഥി {0} - {1} വരി {2} ൽ നിരവധി തവണ ലഭ്യമാകുന്നു &amp; {3}
apps/erpnext/erpnext/selling/doctype/customer/customer.py,Following fields are mandatory to create address:,വിലാസം സൃഷ്ടിക്കാൻ ഇനിപ്പറയുന്ന ഫീൽഡുകൾ നിർബന്ധമാണ്:
DocType: Item Alternative,Two-way,രണ്ടു വഴി
DocType: Item,Manufacturers,നിർമ്മാതാക്കൾ
,Employee Billing Summary,ജീവനക്കാരുടെ ബില്ലിംഗ് സംഗ്രഹം
DocType: Project,Day to Send,അയയ്ക്കാനുള്ള ദിവസം
DocType: Healthcare Settings,Manage Sample Collection,സാമ്പിൾ ശേഖരണം നിയന്ത്രിക്കുക
apps/erpnext/erpnext/setup/doctype/naming_series/naming_series.py,Please set the series to be used.,ദയവായി ഉപയോഗിക്കുന്നതിനായി പരമ്പര ക്രമീകരിക്കുക.
DocType: Patient,Tobacco Past Use,പുകവലിയ Past ഉപയോഗം
DocType: Travel Itinerary,Mode of Travel,യാത്രയുടെ സഞ്ചാരം
DocType: Sales Invoice Item,Brand Name,ബ്രാൻഡ് പേര്
DocType: Purchase Receipt,Transporter Details,ട്രാൻസ്പോർട്ടർ വിശദാംശങ്ങൾ
DocType: Issue,Service Level Agreement Creation,സേവന നില കരാർ സൃഷ്ടിക്കൽ
apps/erpnext/erpnext/accounts/page/pos/pos.js,Default warehouse is required for selected item,സ്വതേ വെയർഹൗസ് തിരഞ്ഞെടുത്ത ഇനം ആവശ്യമാണ്
DocType: Quiz,Passing Score,പാസിംഗ് സ്കോർ
apps/erpnext/erpnext/utilities/user_progress.py,Box,ബോക്സ്
apps/erpnext/erpnext/buying/doctype/request_for_quotation/request_for_quotation.js,Possible Supplier,സാധ്യമായ വിതരണക്കാരൻ
DocType: Budget,Monthly Distribution,പ്രതിമാസ വിതരണം
apps/erpnext/erpnext/selling/doctype/sms_center/sms_center.py,Receiver List is empty. Please create Receiver List,റിസീവർ പട്ടിക ശൂന്യമാണ്. റിസീവർ പട്ടിക സൃഷ്ടിക്കാൻ ദയവായി
apps/erpnext/erpnext/regional/india/utils.py,Invalid GSTIN! The input you've entered doesn't match the GSTIN format for UIN Holders or Non-Resident OIDAR Service Providers,GSTIN അസാധുവാണ്! നിങ്ങൾ നൽകിയ ഇൻപുട്ട് യുഐഎൻ ഹോൾഡർമാർക്കോ നോൺ-റസിഡന്റ് ഒയിഡാർ സേവന ദാതാക്കൾക്കോ ഉള്ള ജിഎസ്ടിഎൻ ഫോർമാറ്റുമായി പൊരുത്തപ്പെടുന്നില്ല
apps/erpnext/erpnext/public/js/setup_wizard.js,Healthcare (beta),ഹെൽത്ത് (ബീറ്റ)
DocType: Production Plan Sales Order,Production Plan Sales Order,പ്രൊഡക്ഷൻ പ്ലാൻ സെയിൽസ് ഓർഡർ
