Pension Funds,Пенсионные фонды
"Warehouse {0} is not linked to any account, please mention the account in  the warehouse record or set default inventory account in company {1}.","Склад {0} не связан с какой-либо учетной записью, укажите эту учетную запись в записи хранилища или установите учетную запись инвентаризации по умолчанию в компании {1}."
Admission,вход
This is based on the attendance of this Student,Это основано на посещаемости этого студента
Create Receiver List,Создать список получателей
Max Leaves Allowed,Максимум разрешенных листьев
Component,Составная часть
Leave and Attendance,Отпуск и посещаемость
Billing Amount,Количество счетов
BOM Website Item,Спецификация сайта
Rounded Total,Округленный итог
Production Plan,Производственный план
Actions performed,Выполненные действия
Set Accepted Warehouse,Установить принятый склад
Rules for applying pricing and discount.,Правила применения цен и скидок.
Statutory info and other general information about your Supplier,Уставная информация и другая общая информация о вашем поставщике
Default Selling Cost Center,Центр продаж по умолчанию
Address & Contacts,Адрес и контакты
Subscriber,подписчик
[{0}](#Form/Item/{0}) is out of stock,[{0}] (# Форма / Элемент / {0}) нет в наличии
Please select Posting Date first,"Пожалуйста, сначала выберите Дата публикации"
Mention if non-standard payable account,"Укажите, если нестандартный счет к оплате"
Advance,авансировать
"Root Type for ""{0}"" must be one of the Asset, Liability, Income, Expense and Equity","Тип корня для &quot;{0}&quot; должен быть одним из активов, пассивов, доходов, расходов и капитала"
% Complete Method,% Завершения метода
Tasks Created,Задачи созданы
Default BOM ({0}) must be active for this item or its template,Спецификация по умолчанию ({0}) должна быть активной для этого элемента или его шаблона
Commission Rate %,Ставка комиссионного вознаграждения %
Response Time,Время отклика
Woocommerce Settings,Настройки Woocommerce
Quantity must be positive,Количество должно быть положительным
CRM,CRM
Parenttype,Parenttype
Billing State,Состояние платежа
Quantity for Item {0} must be less than {1},Количество для позиции {0} должно быть меньше {1}
Transfer Material,Передача материала
Shipping Account,Счет доставки
Please set default template for Leave Approval Notification in HR Settings.,"Пожалуйста, установите шаблон по умолчанию для Оставить уведомление об утверждении в настройках HR."
Television,телевидение
Quality Inspection required for Item {0},Требуется проверка качества для позиции {0}
Debit ({0}),Дебет ({0})
Inpatient Visit Charge,Плата за посещение стационара
Transaction Data Mapping,Отображение данных транзакции
A Lead requires either a person's name or an organization's name,"Ведущий требует либо имя человека, либо название организации"
Guardians,Опекуны
Select Brand...,Выберите бренд ...
Middle Income,Средний доход
Calculate Based On,Рассчитать на основе
Barcode {0} already used in Item {1},Штрих-код {0} уже используется в элементе {1}
Campaign Name,Название кампании
Rejected Warehouse,Забракованный склад
{0} {1} must be submitted,{0} {1} должен быть отправлен
Expense Claim Advance,Аванс по расходам
Rounding Adjustment (Company Currency),Корректировка округления (валюта компании)
Publish in Hub,Опубликовать в Hub
GSTIN,GSTIN
August,августейший
Please enter Purchase Receipt first,"Пожалуйста, сначала введите квитанцию о покупке"
Start Year,Начать год
Target ({}),Цель ({})
Please set Default Payroll Payable Account in Company {0},"Пожалуйста, установите счет по умолчанию для платежной ведомости в компании {0}"
Sales Summary,Сводка продаж
In Words (Company Currency),В словах (валюта компании)
Please specify currency in Company,"Пожалуйста, укажите валюту в компании"
Price,Цена
Min Order Qty,Минимальное количество заказа
Holiday Management,Управление праздниками
Please enable default incoming account before creating Daily Work Summary Group,"Пожалуйста, включите входящую учетную запись по умолчанию перед созданием ежедневной рабочей сводной группы"
You can only select a maximum of one option from the list of check boxes.,Вы можете выбрать только один вариант из списка флажков.
Public Transport,Общественный транспорт
Maximum Samples - {0} can be retained for Batch {1} and Item {2}.,Максимальное количество выборок - {0} можно сохранить для партии {1} и позиции {2}.
Max Sample Quantity,Максимальное количество образца
Source and target warehouse must be different,Исходный и целевой склады должны отличаться
Benefits Applied,Преимущества применяются
Against Journal Entry {0} does not have any unmatched {1} entry,Против записи в журнале {0} не найдено ни одной непревзойденной записи {1}
Price or product discount slabs are required,Требуется цена или скидка на продукцию
Set a Target,Установить цель
Attendance Record {0} exists against Student {1},Запись о посещаемости {0} существует в отношении ученика {1}
Date of Transaction,Дата транзакции
Cancel Subscription,Отменить подписку
Net Salary Amount,Чистая сумма зарплаты
Liability,ответственность
Bank A/C No.,Банк A / C №
Discharge Note,Примечание о разряде
Action if Accumulated Monthly Budget Exceeded on MR,"Действие, если накопленный месячный бюджет превышен на MR"
Asset Movement,Движение активов
"Could not create Credit Note automatically, please uncheck 'Issue Credit Note' and submit again","Не удалось создать кредитную заметку автоматически, снимите флажок «Выдать кредитную заметку» и повторите попытку"
Per Month,В месяц
Routing Name,Имя маршрутизации
Common Name,Распространенное имя
Measurable,измеримый
LMS Title,Название LMS
Loan Management,Управление кредитами
Support Analtyics,Поддержите Аналитику
Consumable Total Amount,Расходуемая общая сумма
Enable Template,Включить шаблон
Customer LPO,Заказчик ПОЛ
Website Image {0} attached to Item {1} cannot be found,"Невозможно найти изображение веб-сайта {0}, прикрепленное к элементу {1}"
Planned,планируемый
Custodian,попечитель
Filter based on Cost Center is only applicable if Budget Against is selected as Cost Center,"Фильтр на основе МВЗ применяется только в том случае, если в качестве МВЗ выбран Бюджет против"
Quoted Item Comparison,Сравнение цитируемого товара
Employee Advance,Сотрудник Аванс
Inward supplies liable to reverse charge (other than 1 & 2 above),"Расходные материалы, подлежащие возврату (кроме 1 и 2 выше)"
Shopping Cart,Корзина
User {0} does not exist,Пользователь {0} не существует
Loans and Advances (Assets),Кредиты и авансы (активы)
Row {0}: Please check 'Is Advance' against Account {1} if this is an advance entry.,"Строка {0}: пожалуйста, отметьте «Аванс» в отношении учетной записи {1}, если это предварительная запись."
Designation (optional),Обозначение (необязательно)
Total Principal Amount,Общая сумма основного долга
Customer / Lead Address,Клиент / Ведущий адрес
Soap & Detergent,Мыло и моющее средство
Purchase Analytics,Аналитика покупок
Opportunity,Возможность
Prefered Contact Email,Предпочитаемый контактный адрес электронной почты
Opening Accounting Balance,Начальный бухгалтерский баланс
[Select],[Выбрать]
MAT-RECO-.YYYY.-,MAT-РЕКО-.YYYY.-
Master Data,Основные данные
Yet to appear,Еще не появиться
Customers in Queue,Клиенты в очереди
Supplier Details,Сведения о поставщике
No gain or loss in the exchange rate,Нет прибыли или убытка в обменном курсе
GSTR-1,GSTR-1
Total Billable Hours,Всего оплачиваемых часов
Represents Company,Представляет компанию
Company Address,Адрес компании
Lead Name,Имя лидера
Diseases & Fertilizers,Болезни и удобрения
Item {0} must be a Sub-contracted Item,Элемент {0} должен быть субподрядным
Purchase Receipt Items,Покупка пунктов квитанции
Ignore Existing Projected Quantity,Игнорировать существующее прогнозируемое количество
Supervisor,Руководитель
Salary Detail,Деталь зарплаты
Budget Against,Бюджет против
Add Letterhead,Добавить бланк
Templates of supplier scorecard criteria.,Шаблоны критериев оценочной карты поставщиков.
Default Finance Book,Финансовая книга по умолчанию
Please specify Company,"Пожалуйста, укажите компанию"
Total contribution percentage should be equal to 100,Общий процент взносов должен быть равен 100
Webhooks Secret,Webhooks Secret
Asset Depreciations and Balances,Амортизация активов и остатки
New Batch Qty,Новая партия Кол-во
Import of goods,Импорт товаров
Raw Material Item Code,Код товара
Purchase Invoice {0} is already submitted,Счет на покупку {0} уже отправлен
Student Email,Электронная почта студента
BOM recursion: {0} cannot be parent or child of {2},Рекурсия спецификации: {0} не может быть родительским или дочерним для {2}
Get Items from Healthcare Services,Получить предметы из медицинских услуг
Stock Entry {0} is not submitted,Запись на складе {0} не отправлена
Item Attribute Value,Значение атрибута элемента
Volunteer Skills,Волонтерские Навыки
Cannot enroll more than {0} students for this student group.,Невозможно зарегистрировать более {0} студентов для этой группы студентов.
Costing Details,Детали калькуляции
Sales Invoice {0} has already been submitted,Счет-фактура {0} уже отправлен
Accounting Entries,Бухгалтерские записи
Internal Transfer,Внутренний трансфер
Stock Details,Информация о складе
Is Carry Forward,Нести вперед
Product Enquiry,Запрос продукта
PUR-ORD-.YYYY.-,PUR-ORD-.YYYY.-
Evaluation Period,Период оценки
Volunteer Skill,Навык волонтера
Order Confirmation No,Подтверждение заказа №
POS,POS
Self-Study,Самообучения
Above,Выше
Action Doctype,Действие Doctype
Allow Print Before Pay,Разрешить печать перед оплатой
Select Items to Manufacture,Выберите товары для производства
Leave Approver Name,Оставьте имя утверждающего
Shareholder,акционер
Agreement Status,Статус соглашения
Default settings for selling transactions.,Настройки по умолчанию для транзакций продажи.
Please select Student Admission which is mandatory for the paid student applicant,"Пожалуйста, выберите «Прием студентов», который является обязательным для платного студента"
Select BOM,Выберите спецификацию
"Schedules for {0} overlaps, do you want to proceed after skiping overlaped slots ?","Графики перекрытия {0}, вы хотите продолжить после пропуска перекрывающихся слотов?"
Customer or Supplier Details,Данные клиента или поставщика
Debit Account,Дебетовый счет
Trial Period End Date Cannot be before Trial Period Start Date,Дата окончания пробного периода не может быть раньше даты начала пробного периода
Rented,арендованный
Employee Group Table,Стол группы сотрудников
HR Manager,Менеджер по персоналу
Details of Outward Supplies and inward supplies liable to reverse charge,"Сведения о расходных материалах и расходных материалах, подлежащих возврату"
Cheque/Reference No,Чек / Ссылка №
Assessment Result,Результат оценки
New Contact,Новый контакт
Opportunities,возможности
Net Cash from Operations,Чистые денежные средства от операций
Leave Encashment,Оставить инкассо
Source warehouse is mandatory for row {0},Исходный склад является обязательным для строки {0}
After Date,После даты
ITC Available (whether in full op part),ITC Доступен (будь то в полной части оп)
Row {0}: Activity Type is mandatory.,Строка {0}: тип действия является обязательным.
Consultant,консультант
Select an employee to get the employee advance.,"Выберите сотрудника, чтобы получить его заранее."
"Asset cannot be cancelled, as it is already {0}","Актив не может быть отменен, так как он уже {0}"
Wrong Password,Неправильный пароль
STO-ITEM-.YYYY.-,STO-ITEM-.YYYY.-
Update Account Number / Name,Обновить номер счета / имя
Use Custom Cash Flow Format,Использовать пользовательский формат денежного потока
Opening Invoices,Открытие счетов
Send to Warehouse,Отправить на склад
Event Status,Статус события
Total completed qty must be greater than zero,Общее количество завершенных кол-во должно быть больше нуля
Chargeable,оплата
Anytime,В любой момент
Student Batch-Wise Attendance,Посещаемость студенческих партий
Normal Test Template,Нормальный тестовый шаблон
Tree of financial Cost Centers.,Дерево финансовых центров затрат.
"in Minutes
Updated via 'Time Log'",в минутах обновляется через «Журнал времени»
Bin,мусорное ведро
Invoice Number,Номер счета
Fulfillment User,Пользователь выполнения
Planned End Time,Запланированное время окончания
Section Code,Код раздела
Monitor Progress,Мониторинг прогресса
Select Batch No,Выберите номер партии
Payroll Number,Номер платежной ведомости
Include UOM,Включить UOM
Stock Ledger Entries and GL Entries are reposted for the selected Purchase Receipts,Записи в Главной книге и Записи GL повторно размещаются для выбранных квитанций на покупку
Update Print Format,Обновить формат печати
Siblings,Братья и сестры
Hold Invoice,Удерживать счет
Row {0}: Invalid reference {1},Строка {0}: недействительная ссылка {1}
Profitability Analysis,Анализ рентабельности
New Account Name,Имя новой учетной записи
Expense Proof,Доказательство расходов
Served,Подается
Member,член
Practitioner Service Unit Schedule,Расписание обслуживания практикующего
Wire Transfer,Передача по проводам
Against Account,Против аккаунта
Projects Settings,Настройки проектов
Actual Qty {0} / Waiting Qty {1},Фактический Кол-во {0} / Ожидание Кол-во {1}
{0} {1}: Account {2} cannot be a Group,{0} {1}: учетная запись {2} не может быть группой
Prescription Duration,Продолжительность рецепта
Row {0}: Debit entry can not be linked with a {1},Строка {0}: дебетовая запись не может быть связана с {1}
Intro Video,Вступительное видео
Is Paid,Оплачивается
Debit,Дебет
Item Balance (Simple),Баланс предметов (простой)
Purchase orders help you plan and follow up on your purchases,Заказы на покупку помогут вам планировать и отслеживать ваши покупки
Project Type,Тип проекта
Student Batch Name,Имя студенческой партии
Qty to Receive,"Кол-во, чтобы получить"
Previous Business Day,Предыдущий рабочий день
Sponsored Amount,Спонсируемая сумма
Please wait 3 days before resending the reminder.,"Пожалуйста, подождите 3 дня, прежде чем отправлять напоминание."
Qty as per Stock UOM,Кол-во в соответствии со складом UOM
Quantity,Количество
Estimated Arrival,ожидаемое прибытие
Trial Balance for Party,Пробный баланс для партии
Employee Separation Template,Шаблон увольнения сотрудников
Unit,Единица измерения
Maximum benefit amount of component {0} exceeds {1},Максимальный размер пособия для компонента {0} превышает {1}
Venture Capital,Венчурный капитал
Fiscal Year End Date should be one year after Fiscal Year Start Date,Дата окончания финансового года должна быть через год после даты начала финансового года
Daily Reminders,Ежедневные Напоминания
Default Sales Unit of Measure,Единица измерения продаж по умолчанию
Rate of Depreciation,Норма амортизации
Post Description Key,Ключ описания сообщения
Minimum Total Spent,Минимальное общее количество потраченных
Period Score,Оценка за период
Can't create standard criteria. Please rename the criteria,"Не могу создать стандартные критерии. Пожалуйста, переименуйте критерии"
Arrival Datetime,Дата прибытия
Student LMS Activity,Студенческая LMS Активность
Quantity Difference,Количественная разница
Row #{0}: Allocated Amount cannot be greater than outstanding amount.,Строка # {0}: выделенная сумма не может быть больше непогашенной суммы.
Timesheet Detail,Деталь расписания
Proficiency,умение
Sent To,Отправлено
Hub Publishing Details,Детали публикации Hub
"Student Batches help you track attendance, assessments and fees for students","Студенческие партии помогают вам отслеживать посещаемость, оценки и плату для студентов"
Declared Amount,Объявленная сумма
Auto close Opportunity after 15 days,Возможность автоматического закрытия через 15 дней
Issue,вопрос
Availability Timeslot,Таймслот доступности
Program Abbreviation,Аббревиатура программы
Project Start Date,Дата начала проекта
Additional DIscount Amount,Дополнительная сумма скидки
Item {0} not found in 'Raw Materials Supplied' table in Purchase Order {1},Элемент {0} не найден в таблице «Поставка сырья» в заказе на поставку {1}
Manage cost of operations,Управлять стоимостью операций
You are not authorized to set Frozen value,Вы не авторизованы для установки значения Frozen
Lapsed,Просроченные
Investments,Вложения
Date of Birth,Дата рождения
You need to be a user with System Manager and Item Manager roles to register on Marketplace.,"Вы должны быть пользователем с ролями System Manager и Item Manager, чтобы зарегистрироваться на Marketplace."
Item Attribute Values,Значения атрибута элемента
Please save the patient first,"Пожалуйста, сначала сохраните пациента"
Half Day Date should be between From Date and To Date,Дата полдня должна быть между датой и датой
Expected Discharge,Ожидаемый сброс
Travel Type,Тип путешествия
Customer is required,Требуется клиент
Invalid quantity specified for item {0}. Quantity should be greater than 0.,Указано недопустимое количество для позиции {0}. Количество должно быть больше 0.
As Supervisor,В качестве руководителя
Employees,Сотрудники
Billing Status,Платежный статус
Please select Category first,"Пожалуйста, сначала выберите категорию"
BOM Browser,Браузер спецификации
Create Student Groups,Создать студенческие группы
In Minutes,В минутах
Net Pay cannot be less than 0,Чистая оплата не может быть меньше 0
Schedules,Расписание
Employee Training,Обучение персонала
Rate of Interest (%) / Year,Процентная ставка (%) / год
Require Result Value,Требовать значение результата
Loan Type,Тип кредита
Item Code required at Row No {0},Код позиции требуется в строке № {0}
Identification of the package for the delivery (for print),Идентификация посылки для доставки (для печати)
Assessment Name,Название оценки
Departure Datetime,Дата отправления
From Warehouse,Со склада
Amount {0} {1} against {2} {3},Сумма {0} {1} против {2} {3}
Create Variant,Создать вариант
Fulfilment Terms and Conditions,Условия выполнения
Date of Commencement should be greater than Date of Incorporation,Дата начала должна быть больше даты регистрации
Price or Product Discount,Цена или скидка на продукт
Reading 1,Чтение 1
Maximum Age,Максимальный возраст
Payroll Periods,Периоды расчета
Transferred Quantity,Переданное количество
Marketplace Settings,Настройки Marketplace
Purchase Orders are not allowed for {0} due to a scorecard standing of {1}.,Заказы на покупку не допускаются для {0} из-за состояния карты результатов {1}.
Price List not selected,Прайс-лист не выбран
Workstation is closed on the following dates as per Holiday List: {0},Рабочая станция закрыта в следующие даты согласно Списку отпусков: {0}
"Reselect, if the chosen address is edited after save","Повторно выберите, если выбранный адрес редактируется после сохранения"
Default Unit of Measure for Item {0} cannot be changed directly because you have already made some transaction(s) with another UOM. You will need to create a new Item to use a different Default UOM.,"Единица измерения по умолчанию для элемента {0} не может быть изменена напрямую, поскольку вы уже произвели некоторые транзакции с другой единицей измерения. Вам нужно будет создать новый элемент, чтобы использовать другую UOM по умолчанию."
Changing Customer Group for the selected Customer is not allowed.,Изменение группы клиентов для выбранного клиента не допускается.
Creation Document Type,Тип документа создания
Available Batch Qty at Warehouse,Доступная партия Кол-во на складе
This is a root territory and cannot be edited.,Это корневая территория и не может быть отредактирована.
Surgical History,Хирургическая история
Tree of Quality Procedures.,Дерево процедур качества.
Contact HTML,Контакт HTML
Employee Information,Информация о сотруднике
Examiner,экзаменатор
Actual Amount,Фактическая сумма
Fulfilled,Исполненная
Row {0}: Enter location for the asset item {1},Строка {0}: введите местоположение для элемента актива {1}
View Timesheet,Посмотреть расписание
Taxes and Charges Calculation,Расчет налогов и сборов
Action Document,Документ действий
Procedure Prescription,Процедура Рецепт
Guardian Name,Имя опекуна
Successfully Reconciled,Успешно согласовано
Period Name,Название периода
Please pull items from Delivery Note,"Пожалуйста, потяните предметы из накладной"
Content Question,Содержание вопроса
In Stock: ,В наличии:
Please save before assigning task.,"Пожалуйста, сохраните перед назначением задачи."
Company is manadatory for company account,Компания является обязательной для учетной записи компании
Delivery Warehouse,Склад доставки
Enable Shopify,Включить Shopify
Additional information regarding the patient,Дополнительная информация о пациенте
Purchase Receipts,Квитанции о покупке
New Employee,Новый сотрудник
Update Auto Repeat Reference,Обновить ссылку на автоповтор
Fees,сборы
Student Group Name,Название студенческой группы
Employee,Работник
Available-for-use Date should be after purchase date,"Дата, доступная для использования, должна быть после даты покупки"
Please define grade for Threshold 0%,"Пожалуйста, определите оценку для порога 0%"
"Apps using current key won't be able to access, are you sure?","Приложения, использующие текущий ключ, не смогут получить доступ, вы уверены?"
Minutes,минут
Correct,Правильный
Total Declared Amount,Общая заявленная сумма
Material,материал
Is Inpatient,Стационарен
Encashment Amount,Сумма инкассо
Conversion Rate,Коэффициент конверсии
CEO,Генеральный директор
Set tasks in this project as cancelled?,Установить задачи в этом проекте как отмененные?
Reserved Qty for sub contract,Зарезервированное Кол-во для субконтракта
Create Payment Entry,Создать платежную запись
Submit Proof,Подтвердить
Credit Months,Кредитные Месяцы
Providing,обеспечение
Total Billing Amount,Общая сумма выставления счета
Maintenance Visit,Техническое посещение
Country of Origin,Страна происхождения
Agriculture Analysis Criteria,Критерии сельскохозяйственного анализа
Additional Salary Component Exists.,Существует дополнительный компонент заработной платы.
Grocery,бакалея
Minimum Seating,Минимальная посадка
Furry,пушистый
"Can not filter based on Account, if grouped by Account","Не может фильтровать на основе учетной записи, если сгруппированы по учетной записи"
Bank Entries,Банковские записи
Sandy Clay Loam,Суглинок суглинок
LInked Analysis,LInked Анализ
Valid From Date must be lesser than Valid Upto Date.,Срок действия с даты должен быть меньше срока действия даты.
Salary Component,Компонент зарплаты
Maintenance Team Members,Члены команды обслуживания
Minimum Age,Минимальный возраст
Available Selling,Доступные продажи
Taxes and Charges Deducted,Вычтенные налоги и сборы
Create Lab Test,Создать лабораторный тест
Hotel Settings,Настройки отеля
Select Transaction,Выберите транзакцию
Declare Lost,Объявить потерянным
If different than customer address,Если отличается от адреса клиента
Chart Tree,Дерево Диаграммы
Contract,контракт
Please select the Multiple Tier Program type for more than one collection rules.,"Пожалуйста, выберите тип многоуровневой программы для нескольких правил сбора."
{0} for {1},{0} для {1}
For Quantity (Manufactured Qty) is mandatory,Для количества (произведенного кол-во) обязательно
"e.g. ""Primary School"" or ""University""","например, &quot;Начальная школа&quot; или &quot;Университет&quot;"
Apply Multiple Pricing Rules,Применить несколько правил ценообразования
Review Invitation Sent,Приглашение отправлено
No of Months,Нет месяцев
Serial Nos Required for Serialized Item {0},"Серийные номера, необходимые для сериализованного элемента {0}"
Bill of Materials (BOM),Спецификация (BOM)
Allow Stale Exchange Rates,Разрешить устаревшие курсы обмена
Website Description,Описание Вебсайта
Expense Details,Детали расходов
From Range has to be less than To Range,From Range должен быть меньше чем To Range
Products to be shown on website homepage,Продукты для показа на домашней странице сайта
Is Master Data Processed,Обработка основных данных
Quantity  that must be bought or sold per UOM,"Количество, которое необходимо купить или продать за единицу"
Total Sales Amount (via Sales Order),Общая сумма продаж (через заказ клиента)
Box,коробка
Default Cost Center,Центр затрат по умолчанию
Billed Amt,Выставленная сумма
Please set default {0} in Company {1},"Пожалуйста, установите значение по умолчанию {0} в компании {1}"
Distance from left edge,Расстояние от левого края
Item 4,Пункт 4
"Advance paid against {0} {1} cannot be greater \
						than Grand Total {2}","Аванс, уплаченный за {0} {1}, не может быть больше \, чем общая сумма {2}"
Income Account,Счет дохода
All Warehouses,Все склады
Signee Details,Сведения о получателе
Procurement,Закупка
Check this if you want to show in website,"Отметьте это, если хотите показать на сайте"
Fiscal Year {0} not found,Финансовый год {0} не найден
Bank Statement Settings,Настройки выписки по счету
Score (0-5),Оценка (0-5)
Attribute {0} selected multiple times in Attributes Table,Атрибут {0} выбран несколько раз в таблице атрибутов
Debit Note Issued,Выпущена дебетовая нота
"Please select Item where ""Is Stock Item"" is ""No"" and ""Is Sales Item"" is ""Yes"" and there is no other Product Bundle","Пожалуйста, выберите элемент, в котором «Is Stock Item» - «Нет», «Is Sales Item» - «Да», и нет другого комплекта продуктов."
Employee {0} of grade {1} have no default leave policy,Сотрудник {0} класса {1} не имеет политики отпуска по умолчанию
Leave Policy Detail,Оставьте детали политики
Warehouse not found in the system,Склад не найден в системе
OP Consulting Charge,OP Consulting Charge
Measurable Goal,Измеримая цель
Invoices,Счета-фактуры
Currency Exchange,Обмен валюты
Fortnightly,двухнедельный
Serial No {0} not in stock,Серийный номер {0} отсутствует
"Material Request not created, as quantity for Raw Materials already available.","Запрос материала не создан, так как количество сырья уже доступно."
Creation User,Создание пользователя
"Record of all communications of type email, phone, chat, visit, etc.","Запись всех сообщений типа электронной почты, телефона, чата, посещения и т. Д."
Asset Settings,Настройки активов
Worked On Holiday,Работал в отпуске
Either location or employee must be required,"Требуется либо местоположение, либо сотрудник"
Item {0} is cancelled,Элемент {0} отменен
Course End Date,Дата окончания курса
Opportunity From field is mandatory,Возможность С поля обязательна
Warning: Leave application contains following block dates,Предупреждение: В заявке на выезд содержатся следующие даты блока
Preventive Maintenance,Профилактическое обслуживание
Institute Abbreviation,Аббревиатура института
"Difference Account must be a Asset/Liability type account, since this Stock Reconciliation is an Opening Entry","Счет разницы должен быть счетом типа Актив / Обязательство, так как эта Сверка акций является Начальной записью"
Contract End Date must be greater than Date of Joining,Дата окончания контракта должна быть больше даты присоединения
Default Leave Policy,Политика по умолчанию
Select Users,Выберите пользователей
Net Hour Rate,Чистая часовая ставка
Age,Возраст
Event Details,Детали мероприятия
Accumulated Monthly,Накопленный ежемесячно
Save the document first.,Сохраните документ первым.
Update Cost,Стоимость обновления
Fully Delivered,Полностью доставлено
Please enter company first,"Пожалуйста, сначала введите компанию"
Confirmed orders from Customers.,Подтвержденные заказы от клиентов.
Dosage Strength,Дозировка Сила
Fill the form and save it,Заполните форму и сохраните ее
Enrollment Details,Сведения о регистрации
Subscription Invoice,Подписной счет
Total Leaves Encashed,Всего листьев Encashed
Verified By,Проверено
Get Invoices,Получить счета
Settled,Установившаяся
Re-open,Повторно откройте
Closing Fiscal Year,Закрытие финансового года
Release Date,Дата выхода
Advances,Достижения
Specify conditions to calculate shipping amount,Укажите условия для расчета суммы доставки
Technology,Технология
Can refer row only if the charge type is 'On Previous Row Amount' or 'Previous Row Total',"Можно ссылаться на строку только в том случае, если тип оплаты «На сумму предыдущей строки» или «Итог предыдущей строки»"
"If checked, Total no. of Working Days will include holidays, and this will reduce the value of Salary Per Day","Если проверено, общее количество нет. рабочих дней будет включать праздничные дни, и это уменьшит значение зарплаты в день"
Location Name,Название местоположения
{0} {1}: Account {2} does not belong to Company {3},{0} {1}: учетная запись {2} не принадлежит компании {3}
Remaining Benefits (Yearly),Оставшиеся выгоды (в год)
Depreciation Start Date,Дата начала амортизации
Billing Rate,Платежный тариф
Warning: Another {0} # {1} exists against stock entry {2},Предупреждение: существует еще {0} # {1} для входа в запас {2}
Please enable Google Maps Settings to estimate and optimize routes,"Пожалуйста, включите настройки Google Maps, чтобы оценить и оптимизировать маршруты"
Max Score,Максимальная оценка
Repayment Start Date cannot be before Disbursement Date.,Дата начала погашения не может быть раньше Даты выплаты.
Support Search Source,Поддержка поиска источника
Financial Services,Финансовые Услуги
Availability,Доступность
Tree of Procedures,Дерево процедур
Allow Item to be added multiple times in a transaction,Разрешить добавление элемента в транзакцию несколько раз
{0} {1} is not submitted,{0} {1} не отправлено
Backflush raw materials from work-in-progress warehouse,Отпуск сырья с незавершенного склада
Maintenance Team Member,Участник технического обслуживания
The minimum distance between rows of plants for optimum growth,Минимальное расстояние между рядами растений для оптимального роста
Health Insurance Name,Название медицинского страхования
Stock Assets,Фондовые активы
Further cost centers can be made under Groups but entries can be made against non-Groups,"Другие центры затрат могут быть сделаны в рамках группы, но записи могут быть сделаны в отношении не-групп"
Upper Income,Верхний доход
Discount Allowed Account,Аккаунт со скидкой
Restart Subscription,Перезапустить подписку
You can not change rate if BOM mentioned agianst any item,"Вы не можете изменить ставку, если в спецификации упоминается какой-либо предмет"
Please login as another user to register on Marketplace,"Пожалуйста, войдите как другой пользователь, чтобы зарегистрироваться на Marketplace"
Insurance Details,Детали страхования
Past Due Date,Просроченная дата
"You can only plan for upto {0} vacancies and budget {1} \
				for {2} as per staffing plan {3} for parent company {4}.",Вы можете планировать только до {0} вакансий и бюджета {1} \ for {2} согласно плану укомплектования персоналом {3} для материнской компании {4}.
No GST No. found for the Company.,Для компании не найдено GST.
From Pin Code,Из пин-кода
Signed On,Подписано
{0} {1}: Accounting Entry for {2} can only be made in currency: {3},{0} {1}: учетную запись для {2} можно сделать только в валюте: {3}
Assessment Criteria,Критерии оценки
Is Billable,Оплачивается
User must always select,Пользователь должен всегда выбирать
Compensatory leave request days not in valid holidays,Дни запроса на компенсационный отпуск не в праздничные дни
Sum of points for all goals should be 100. It is {0},Сумма очков для всех целей должна быть 100. Это {0}
Scrap Items,Записки
Result Component,Компонент результата
Please mention Basic and HRA component in Company,"Пожалуйста, укажите основной и HRA компонент в компании"
{0} does not belong to Company {1},{0} не принадлежит компании {1}
Half Day Date,Дата полдня
Billing Address Name,Имя платежного адреса
GST Itemised Purchase Register,GST Детализированный регистр закупок
Alternate Item,Альтернативный предмет
Name of Applicant,Имя кандидата
Earned Leave,Заработанный отпуск
June,июнь
Row {0}: Cost center is required for an item {1},Строка {0}: МВЗ требуется для позиции {1}
