DocType: Accounting Period,Period Name,সময়কালের নাম
DocType: Quality Action,Corrective,শোধক
DocType: Employee,Bank A/C No.,ব্যাংক / সি নং
DocType: Quality Inspection Reading,Reading 7,7 পঠন
DocType: Purchase Invoice,UIN Holders,ইউআইএনধারীরা
apps/erpnext/erpnext/stock/doctype/material_request/material_request_list.js,Partially Ordered,আংশিকভাবে আদেশ
DocType: Lab Test,Lab Test,ল্যাব পরীক্ষা
DocType: Student Report Generation Tool,Student Report Generation Tool,ছাত্র প্রতিবেদন জেনারেশন টুল
DocType: Healthcare Schedule Time Slot,Healthcare Schedule Time Slot,স্বাস্থ্যসেবা সময় সময় স্লট
apps/erpnext/erpnext/regional/report/eway_bill/eway_bill.py,Doc Name,ডক নাম
DocType: Expense Claim Detail,Expense Claim Type,ব্যয় দাবি প্রকার
DocType: Shopping Cart Settings,Default settings for Shopping Cart,শপিং কার্ট জন্য ডিফল্ট সেটিংস
apps/erpnext/erpnext/public/js/hub/pages/Item.vue,Save Item,আইটেম সংরক্ষণ করুন
apps/erpnext/erpnext/accounts/page/bank_reconciliation/bank_transaction_row.html,New Expense,নতুন ব্যয়
apps/erpnext/erpnext/selling/doctype/sales_order/sales_order.js,Ignore Existing Ordered Qty,বিদ্যমান অর্ডার করা পরিমাণ উপেক্ষা করুন
apps/erpnext/erpnext/healthcare/doctype/practitioner_schedule/practitioner_schedule.js,Add Timeslots,Timeslots যোগ করুন
apps/erpnext/erpnext/stock/__init__.py,Please set Account in Warehouse {0} or Default Inventory Account in Company {1},দয়া করে গুদামে {0} অ্যাকাউন্টে বা ডিফল্ট ইনভেন্টরি অ্যাকাউন্টে অ্যাকাউন্ট সেট করুন {1}
apps/erpnext/erpnext/assets/doctype/asset/depreciation.py,Asset scrapped via Journal Entry {0},অ্যাসেট জার্নাল এন্ট্রি মাধ্যমে বাতিল {0}
DocType: Loan,Interest Income Account,সুদ আয় অ্যাকাউন্ট
DocType: Bank Transaction,Unreconciled,অসমর্পিত
DocType: Shift Type,Allow check-out after shift end time (in minutes),শিফট শেষ সময় (মিনিটের মধ্যে) পরে চেক আউট করার অনুমতি দিন
apps/erpnext/erpnext/hr/doctype/salary_structure/salary_structure.py,Max benefits should be greater than zero to dispense benefits,বেনিফিট বিতরণের জন্য সর্বোচ্চ বেনিফিট শূন্যের চেয়ে বেশি হতে হবে
apps/erpnext/erpnext/non_profit/doctype/grant_application/grant_application.py,Review Invitation Sent,পর্যালোচনা আমন্ত্রণ প্রেরিত
DocType: Shift Assignment,Shift Assignment,শিফট অ্যাসাইনমেন্ট
DocType: Employee Transfer Property,Employee Transfer Property,কর্মচারী স্থানান্তর স্থানান্তর
apps/erpnext/erpnext/accounts/doctype/share_transfer/share_transfer.py,The field Equity/Liability Account cannot be blank,ক্ষেত্রের ইক্যুইটি / দায় অ্যাকাউন্ট খালি থাকতে পারে না
apps/erpnext/erpnext/accounts/doctype/cashier_closing/cashier_closing.py,From Time Should Be Less Than To Time,সময় থেকে সময় কম হতে হবে
apps/erpnext/erpnext/setup/setup_wizard/data/industry_type.py,Biotechnology,বায়োটেকনোলজি
apps/erpnext/erpnext/stock/doctype/stock_entry/stock_entry.py,"Item {0} (Serial No: {1}) cannot be consumed as is reserverd\
						 to fullfill Sales Order {2}.",আইটেম {0} (সিরিয়াল নাম্বার: {1}) রিচার্ভার্ড \ পূর্ণফিল সেলস অর্ডার হিসাবে ব্যবহার করা যাবে না {2}।
apps/erpnext/erpnext/accounts/doctype/account/chart_of_accounts/verified/standard_chart_of_accounts_with_account_number.py,Office Maintenance Expenses,অফিস রক্ষণাবেক্ষণ খরচ
,BOM Explorer,বিওএম এক্সপ্লোরার
apps/erpnext/erpnext/utilities/user_progress.py,Go to ,যাও
DocType: Shopify Settings,Update Price from Shopify To ERPNext Price List,Shopify থেকে ইআরপিএলে পরবর্তী মূল্যের তালিকা আপডেট করুন
apps/erpnext/erpnext/config/help.py,Setting up Email Account,ইমেইল অ্যাকাউন্ট সেট আপ
apps/erpnext/erpnext/manufacturing/doctype/production_plan/production_plan.js,Please enter Item first,প্রথম আইটেম লিখুন দয়া করে
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py,Needs Analysis,বিশ্লেষণ প্রয়োজন
DocType: Asset Repair,Downtime,ডাউনটাইম
DocType: Account,Liability,দায়
apps/erpnext/erpnext/hr/doctype/expense_claim/expense_claim.py,Sanctioned Amount cannot be greater than Claim Amount in Row {0}.,অনুমোদিত পরিমাণ সারি মধ্যে দাবি করে বেশি পরিমাণে হতে পারে না {0}.
apps/erpnext/erpnext/education/report/course_wise_assessment_report/course_wise_assessment_report.html,Academic Term: ,একাডেমিক টার্ম:
DocType: Salary Detail,Do not include in total,মোট অন্তর্ভুক্ত করবেন না
DocType: Quiz Activity,Quiz Activity,কুইজ ক্রিয়াকলাপ
DocType: Company,Default Cost of Goods Sold Account,জিনিষপত্র বিক্রি অ্যাকাউন্ট ডিফল্ট খরচ
apps/erpnext/erpnext/stock/doctype/stock_entry/stock_entry.py,Sample quantity {0} cannot be more than received quantity {1},নমুনা পরিমাণ {0} প্রাপ্ত পরিমাণের চেয়ে বেশি হতে পারে না {1}
apps/erpnext/erpnext/stock/get_item_details.py,Price List not selected,মূল্যতালিকা নির্বাচিত না
DocType: Employee,Family Background,পারিবারিক ইতিহাস
DocType: Request for Quotation Supplier,Send Email,বার্তা পাঠাও
DocType: Quality Goal,Weekday,রবিবার বাদে সপ্তাহের যে-কোন দিন
apps/erpnext/erpnext/stock/doctype/item/item.py,Warning: Invalid Attachment {0},সতর্কবাণী: অবৈধ সংযুক্তি {0}
DocType: Item,Max Sample Quantity,সর্বোচ্চ নমুনা পরিমাণ
apps/erpnext/erpnext/accounts/doctype/journal_entry/journal_entry.py,No Permission,অনুমতি নেই
DocType: Contract Fulfilment Checklist,Contract Fulfilment Checklist,চুক্তি পূরণের চেকলিস্ট
DocType: Vital Signs,Heart Rate / Pulse,হার্ট রেট / পালস
DocType: Supplier,Default Bank Account,ডিফল্ট ব্যাঙ্ক অ্যাকাউন্ট
apps/erpnext/erpnext/accounts/report/general_ledger/general_ledger.py,"To filter based on Party, select Party Type first","পার্টি উপর ভিত্তি করে ফিল্টার করুন, নির্বাচন পার্টি প্রথম টাইপ"
apps/erpnext/erpnext/controllers/sales_and_purchase_return.py,'Update Stock' can not be checked because items are not delivered via {0},"আইটেম মাধ্যমে বিতরণ করা হয় না, কারণ &#39;আপডেট স্টক চেক করা যাবে না {0}"
DocType: Vehicle,Acquisition Date,অধিগ্রহণ তারিখ
apps/erpnext/erpnext/regional/italy/utils.py,Nos,আমরা
DocType: Item,Items with higher weightage will be shown higher,উচ্চ গুরুত্ব দিয়ে চলছে উচ্চ দেখানো হবে
apps/erpnext/erpnext/healthcare/doctype/inpatient_record/inpatient_record_dashboard.py,Lab Tests and Vital Signs,ল্যাব টেস্ট এবং গুরুত্বপূর্ণ চিহ্ন
DocType: Bank Reconciliation Detail,Bank Reconciliation Detail,ব্যাংক পুনর্মিলন বিস্তারিত
apps/erpnext/erpnext/controllers/accounts_controller.py,Row #{0}: Asset {1} must be submitted,সারি # {0}: অ্যাসেট {1} দাখিল করতে হবে
apps/erpnext/erpnext/hr/doctype/leave_control_panel/leave_control_panel.py,No employee found,কোন কর্মচারী পাওয়া
DocType: Supplier Quotation,Stopped,বন্ধ
DocType: Item,If subcontracted to a vendor,একটি বিক্রেতা আউটসোর্স করে
apps/erpnext/erpnext/education/doctype/student_group/student_group.js,Student Group is already updated.,শিক্ষার্থীর গোষ্ঠী ইতিমধ্যেই আপডেট করা হয়।
apps/erpnext/erpnext/config/projects.py,Project Update.,প্রকল্প আপডেট
DocType: SMS Center,All Customer Contact,সব গ্রাহকের যোগাযোগ
DocType: Location,Tree Details,বৃক্ষ বিস্তারিত
DocType: Marketplace Settings,Registered,নিবন্ধভুক্ত
DocType: Training Event,Event Status,ইভেন্ট স্থিতি
DocType: Volunteer,Availability Timeslot,প্রাপ্যতা টাইমলট
apps/erpnext/erpnext/config/support.py,Support Analytics,সাপোর্ট অ্যানালিটিক্স
apps/erpnext/erpnext/accounts/doctype/payment_request/payment_request.py,"If you have any questions, please get back to us.","যদি আপনার কোনো প্রশ্ন থাকে, অনুগ্রহ করে আমাদের ফিরে পেতে."
DocType: Cash Flow Mapper,Cash Flow Mapper,ক্যাশ ফ্লো ম্যাপার
DocType: Item,Website Warehouse,ওয়েবসাইট ওয়্যারহাউস
DocType: Payment Reconciliation,Minimum Invoice Amount,নূন্যতম চালান পরিমাণ
apps/erpnext/erpnext/accounts/doctype/gl_entry/gl_entry.py,{0} {1}: Cost Center {2} does not belong to Company {3},{0} {1}: খরচ কেন্দ্র {2} কোম্পানির অন্তর্গত নয় {3}
apps/erpnext/erpnext/www/lms/program.py,Program {0} does not exist.,প্রোগ্রাম {0} বিদ্যমান নেই।
apps/erpnext/erpnext/utilities/user_progress.py,Upload your letter head (Keep it web friendly as 900px by 100px),আপনার চিঠির মাথাটি আপলোড করুন (এটি ওয়েবপৃষ্ঠাটি 900px দ্বারা 100px করে রাখুন)
apps/erpnext/erpnext/accounts/doctype/gl_entry/gl_entry.py,{0} {1}: Account {2} cannot be a Group,{0} {1}: অ্যাকাউন্ট {2} একটি গ্রুপ হতে পারে না
apps/erpnext/erpnext/accounts/doctype/sales_invoice/sales_invoice.py,Timesheet {0} is already completed or cancelled,শ্রমিকের খাটুনিঘণ্টা লিপিবদ্ধ কার্ড {0} ইতিমধ্যে সম্পন্ন বা বাতিল করা হয়েছে
DocType: QuickBooks Migrator,QuickBooks Migrator,QuickBooks মাইগ্রেটর
apps/erpnext/erpnext/templates/pages/projects.html,No tasks,কোন কর্ম
apps/erpnext/erpnext/healthcare/doctype/patient_appointment/patient_appointment.py,Sales Invoice {0} created as paid,বিক্রয় ইনভয়েস {0} কে পরিশোধিত হিসাবে তৈরি করা হয়েছে
DocType: Item Variant Settings,Copy Fields to Variant,ক্ষেত্রগুলি থেকে বৈকল্পিক কপি করুন
DocType: Asset,Opening Accumulated Depreciation,খোলা সঞ্চিত অবচয়
apps/erpnext/erpnext/hr/doctype/appraisal/appraisal.js,Score must be less than or equal to 5,স্কোর 5 থেকে কম বা সমান হবে
DocType: Program Enrollment Tool,Program Enrollment Tool,প্রোগ্রাম তালিকাভুক্তি টুল
apps/erpnext/erpnext/config/accounting.py,C-Form records,সি-ফরম রেকর্ড
apps/erpnext/erpnext/accounts/doctype/share_transfer/share_transfer.py,The shares already exist,শেয়ার ইতিমধ্যে বিদ্যমান
apps/erpnext/erpnext/config/help.py,Customer and Supplier,গ্রাহক এবং সরবরাহকারী
DocType: Email Digest,Email Digest Settings,ইমেইল ডাইজেস্ট সেটিংস
apps/erpnext/erpnext/accounts/doctype/payment_request/payment_request.py,Thank you for your business!,আপনার ব্যবসার জন্য আপনাকে ধন্যবাদ!
apps/erpnext/erpnext/config/support.py,Support queries from customers.,গ্রাহকদের কাছ থেকে সমর্থন কোয়েরি.
DocType: Employee Property History,Employee Property History,কর্মচারী সম্পত্তি ইতিহাস
apps/erpnext/erpnext/stock/doctype/item/item.py,Variant Based On cannot be changed,ভেরিয়েন্ট ভিত্তিক অন পরিবর্তন করা যায় না
DocType: Setup Progress Action,Action Doctype,অ্যাকশন ডক্টাইপ
DocType: HR Settings,Retirement Age,কর্ম - ত্যাগ বয়ম
DocType: Bin,Moving Average Rate,গড় হার মুভিং
DocType: Share Transfer,To Shareholder,শেয়ারহোল্ডারের কাছে
apps/erpnext/erpnext/accounts/doctype/journal_entry/journal_entry.py,{0} against Bill {1} dated {2},{0} বিল বিপরীতে {1} তারিখের {2}
apps/erpnext/erpnext/regional/report/eway_bill/eway_bill.py,From State,রাজ্য থেকে
apps/erpnext/erpnext/utilities/user_progress.py,Setup Institution,সেটআপ প্রতিষ্ঠান
apps/erpnext/erpnext/hr/doctype/leave_period/leave_period.py,Allocating leaves...,পাতা বরাদ্দ করা ...
DocType: Program Enrollment,Vehicle/Bus Number,ভেহিকেল / বাস নম্বর
apps/erpnext/erpnext/public/js/call_popup/call_popup.js,Create New Contact,নতুন পরিচিতি তৈরি করুন
apps/erpnext/erpnext/education/doctype/course/course.js,Course Schedule,কোর্স সুচী
DocType: GSTR 3B Report,GSTR 3B Report,জিএসটিআর 3 বি রিপোর্ট
DocType: Request for Quotation Supplier,Quote Status,উদ্ধৃতি অবস্থা
DocType: GoCardless Settings,Webhooks Secret,ওয়েবহকস সিক্রেট
DocType: Maintenance Visit,Completion Status,শেষ অবস্থা
apps/erpnext/erpnext/accounts/doctype/sales_invoice/sales_invoice.py,Total payments amount can't be greater than {},মোট প্রদানের পরিমাণ {than এর বেশি হতে পারে না
DocType: Daily Work Summary Group,Select Users,ব্যবহারকারী নির্বাচন করুন
DocType: Hotel Room Pricing Item,Hotel Room Pricing Item,হোটেল রুম মূল্যের আইটেম
DocType: Loyalty Program Collection,Tier Name,টিয়ার নাম
DocType: HR Settings,Enter retirement age in years,বছরে অবসরের বয়স লিখুন
DocType: Crop,Target Warehouse,উদ্দিষ্ট ওয়্যারহাউস
DocType: Payroll Employee Detail,Payroll Employee Detail,বেতন কর্মী বিস্তারিত
apps/erpnext/erpnext/public/js/utils/serial_no_batch_selector.js,Please select a warehouse,দয়া করে একটি গুদাম নির্বাচন
DocType: Cheque Print Template,Starting location from left edge,বাম প্রান্ত থেকে অবস্থান শুরু হচ্ছে
,Territory Target Variance Based On Item Group,আইটেম গ্রুপের ভিত্তিতে অঞ্চল লক্ষ্যমাত্রার ভেরিয়েন্স Var
DocType: Upload Attendance,Import Attendance,আমদানি এ্যাটেনডেন্স
apps/erpnext/erpnext/public/js/pos/pos.html,All Item Groups,সকল আইটেম গ্রুপ
DocType: Work Order,Item To Manufacture,আইটেম উত্পাদনপ্রণালী
DocType: Leave Control Panel,Employment Type (optional),কাজের ধরণ (alচ্ছিক)
DocType: Pricing Rule,Threshold for Suggestion,পরামর্শের জন্য থ্রেশহোল্ড
apps/erpnext/erpnext/buying/utils.py,{0} {1} status is {2},{0} {1} অবস্থা {2} হয়
DocType: Water Analysis,Collection Temperature ,সংগ্রহ তাপমাত্রা
DocType: Employee,Provide Email Address registered in company,ইমেল কোম্পানিতে নিবন্ধিত ঠিকানা প্রদান
DocType: Shopping Cart Settings,Enable Checkout,চেকআউট সক্রিয়
apps/erpnext/erpnext/config/help.py,Purchase Order to Payment,পেমেন্ট করার আদেশ ক্রয়
apps/erpnext/erpnext/stock/page/stock_balance/stock_balance.js,Projected Qty,অভিক্ষিপ্ত Qty
DocType: Sales Invoice,Payment Due Date,পরিশোধযোগ্য তারিখ
apps/erpnext/erpnext/manufacturing/doctype/production_plan/production_plan.js,"Reserved Qty: Quantity ordered for sale, but not delivered.","সংরক্ষিত পরিমাণ: পরিমাণ বিক্রয়ের জন্য অর্ডার করা হয়েছে, তবে বিতরণ করা হয়নি।"
DocType: Drug Prescription,Interval UOM,অন্তর্বর্তী UOM
DocType: Customer,"Reselect, if the chosen address is edited after save",সংরক্ষণ করার পরে যদি নির্বাচিত ঠিকানাটি সম্পাদনা করা হয় তবে নির্বাচন বাতিল করুন
apps/erpnext/erpnext/manufacturing/doctype/production_plan/production_plan.js,Reserved Qty for Subcontract: Raw materials quantity to make subcontracted items.,সাবকন্ট্রাক্টের জন্য সংরক্ষিত পরিমাণ: উপকোট্রাক্ট আইটেমগুলি তৈরি করতে কাঁচামাল পরিমাণ।
apps/erpnext/erpnext/stock/doctype/item/item.js,Item Variant {0} already exists with same attributes,আইটেম ভেরিয়েন্ট {0} ইতিমধ্যে একই বৈশিষ্ট্যাবলী সঙ্গে বিদ্যমান
DocType: Item,Hub Publishing Details,হাব প্রকাশনা বিবরণ
apps/erpnext/erpnext/stock/report/stock_ledger/stock_ledger.py,'Opening',' শুরু'
apps/erpnext/erpnext/setup/doctype/email_digest/templates/default.html,Open To Do,কি জন্য উন্মুক্ত
DocType: Pricing Rule,Mixed Conditions,মিশ্র শর্তাদি
apps/erpnext/erpnext/public/js/call_popup/call_popup.js,Call Summary Saved,কল সংক্ষিপ্তসার্ভ করা হয়েছে
DocType: Issue,Via Customer Portal,গ্রাহক পোর্টাল মাধ্যমে
DocType: Employee Tax Exemption Proof Submission Detail,Actual Amount,প্রকৃত পরিমাণ
apps/erpnext/erpnext/regional/report/eway_bill/eway_bill.py,SGST Amount,SGST পরিমাণ
DocType: Lab Test Template,Result Format,ফলাফল ফরম্যাট
DocType: Expense Claim,Expenses,খরচ
DocType: Service Level,Support Hours,সাপোর্ট ঘন্টা
apps/erpnext/erpnext/accounts/report/accounts_receivable/accounts_receivable.py,Delivery Notes,প্রসবের নোট
DocType: Item Variant Attribute,Item Variant Attribute,আইটেম ভেরিয়েন্ট গুন
,Purchase Receipt Trends,কেনার রসিদ প্রবণতা
DocType: Payroll Entry,Bimonthly,দ্বিমাসিক
DocType: Vehicle Service,Brake Pad,ব্রেক প্যাড
DocType: Fertilizer,Fertilizer Contents,সার সার্টিফিকেট
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py,Research & Development,গবেষণা ও উন্নয়ন
apps/erpnext/erpnext/accounts/report/purchase_order_items_to_be_billed/purchase_order_items_to_be_billed.py,Amount to Bill,বিল পরিমাণ
apps/erpnext/erpnext/accounts/report/accounts_receivable/accounts_receivable.js,Based On Payment Terms,পেমেন্ট শর্তাদি উপর ভিত্তি করে
apps/erpnext/erpnext/config/settings.py,ERPNext Settings,ERPNext সেটিংস
DocType: Company,Registration Details,রেজিস্ট্রেশন বিস্তারিত
DocType: Timesheet,Total Billed Amount,মোট বিল পরিমাণ
DocType: Item Reorder,Re-Order Qty,পুনরায় আদেশ Qty
DocType: Leave Block List Date,Leave Block List Date,ব্লক তালিকা তারিখ ত্যাগ
DocType: Quality Feedback Parameter,Quality Feedback Parameter,গুণমানের প্রতিক্রিয়া পরামিতি
apps/erpnext/erpnext/manufacturing/doctype/bom/bom.py,BOM #{0}: Raw material cannot be same as main Item,BOM # {0}: কাঁচামাল প্রধান আইটেমের মত একইরকম হতে পারে না
apps/erpnext/erpnext/stock/doctype/landed_cost_voucher/landed_cost_voucher.py,Total Applicable Charges in Purchase Receipt Items table must be same as Total Taxes and Charges,ক্রয় রশিদ সামগ্রী টেবিলের মোট প্রযোজ্য চার্জ মোট কর ও চার্জ হিসাবে একই হতে হবে
DocType: Production Plan Item,"If enabled, system will create the work order for the exploded items against which BOM is available.","সক্ষম করা থাকলে, সিস্টেম বিস্ফোরিত আইটেমগুলির জন্য ওয়ার্ক অর্ডার তৈরি করবে যার বিওএম উপলব্ধ।"
DocType: Sales Team,Incentives,ইনসেনটিভ
DocType: SMS Log,Requested Numbers,অনুরোধ করা নাম্বার
DocType: Volunteer,Evening,সন্ধ্যা
DocType: Quiz,Quiz Configuration,কুইজ কনফিগারেশন
DocType: Vital Signs,Normal,সাধারণ
apps/erpnext/erpnext/accounts/doctype/tax_rule/tax_rule.py,"Enabling 'Use for Shopping Cart', as Shopping Cart is enabled and there should be at least one Tax Rule for Shopping Cart","সক্ষম করা হলে, &#39;শপিং কার্ট জন্য প্রদর্শন করো&#39; এ শপিং কার্ট যেমন সক্রিয় করা হয় এবং শপিং কার্ট জন্য অন্তত একটি ট্যাক্স নিয়ম আছে উচিত"
DocType: Sales Invoice Item,Stock Details,স্টক Details
apps/erpnext/erpnext/projects/report/project_wise_stock_tracking/project_wise_stock_tracking.py,Project Value,প্রকল্প মূল্য
apps/erpnext/erpnext/config/help.py,Point-of-Sale,বিক্রয় বিন্দু
DocType: Fee Schedule,Fee Creation Status,ফি নির্মাণ স্থিতি
apps/erpnext/erpnext/utilities/activation.py,Create Sales Orders to help you plan your work and deliver on-time,আপনাকে আপনার কাজের পরিকল্পনা করতে এবং সময়মতো বিতরণে সহায়তা করতে বিক্রয় অর্ডার তৈরি করুন
DocType: Vehicle Log,Odometer Reading,দূরত্বমাপণী পড়া
apps/erpnext/erpnext/accounts/doctype/account/account.py,"Account balance already in Credit, you are not allowed to set 'Balance Must Be' as 'Debit'","ইতিমধ্যে ক্রেডিট অ্যাকাউন্ট ব্যালেন্স, আপনি &#39;ডেবিট&#39; হিসেবে &#39;ব্যালেন্স করতে হবে&#39; সেট করার অনুমতি দেওয়া হয় না"
DocType: Account,Balance must be,ব্যালেন্স থাকতে হবে
,Available Qty,প্রাপ্তিসাধ্য Qty
DocType: Shopify Settings,Default Warehouse to to create Sales Order and Delivery Note,সেলস অর্ডার এবং ডেলিভারি নোট তৈরি করার জন্য ডিফল্ট ওয়ারহাউস
DocType: Purchase Taxes and Charges,On Previous Row Total,পূর্ববর্তী সারি মোট উপর
DocType: Purchase Invoice Item,Rejected Qty,প্রত্যাখ্যাত Qty
DocType: Setup Progress Action,Action Field,অ্যাকশন ক্ষেত্র
DocType: Healthcare Settings,Manage Customer,গ্রাহক পরিচালনা করুন
DocType: Amazon MWS Settings,Always synch your products from Amazon MWS before synching the Orders details,সর্বদা অ্যামাজন MWS থেকে আপনার পণ্য একত্রিত করার আগে আদেশ বিবরণ সংশ্লেষণ
DocType: Delivery Trip,Delivery Stops,ডেলিভারি স্টপ
DocType: Salary Slip,Working Days,কর্মদিবস
apps/erpnext/erpnext/accounts/deferred_revenue.py,Cannot change Service Stop Date for item in row {0},{0} সারিতে আইটেমের জন্য সার্ভিস স্টপ তারিখ পরিবর্তন করা যাবে না
DocType: Serial No,Incoming Rate,ইনকামিং হার
DocType: Packing Slip,Gross Weight,মোট ওজন
DocType: Leave Type,Encashment Threshold Days,এনক্যাশমেন্ট থ্রেশহোল্ড ডে
,Final Assessment Grades,ফাইনাল অ্যাসেসমেন্ট গ্রেড
apps/erpnext/erpnext/public/js/setup_wizard.js,The name of your company for which you are setting up this system.,"আপনার কোম্পানির নাম, যার জন্য আপনি এই সিস্টেম সেট আপ করা হয়."
DocType: HR Settings,Include holidays in Total no. of Working Days,কোন মোট মধ্যে ছুটির অন্তর্ভুক্ত. কার্যদিবসের
apps/erpnext/erpnext/setup/setup_wizard/operations/sample_data.py,Setup your Institute in ERPNext,ERPNext এ আপনার ইনস্টিটিউট সেটআপ করুন
DocType: Agriculture Analysis Criteria,Plant Analysis,উদ্ভিদ বিশ্লেষণ
DocType: Task,Timeline,সময়রেখা
apps/erpnext/erpnext/buying/doctype/purchase_order/purchase_order.js,Hold,রাখা
apps/erpnext/erpnext/manufacturing/doctype/bom/bom.js,Alternate Item,বিকল্প আইটেম
DocType: Shopify Log,Request Data,ডেটা অনুরোধ
DocType: Employee,Date of Joining,যোগদান তারিখ
DocType: Naming Series,Update Series,আপডেট সিরিজ
DocType: Supplier Quotation,Is Subcontracted,আউটসোর্স হয়
DocType: Restaurant Table,Minimum Seating,ন্যূনতম আসন
DocType: Item Attribute,Item Attribute Values,আইটেম বৈশিষ্ট্য মূল্যবোধ
DocType: Examination Result,Examination Result,পরীক্ষার ফলাফল
apps/erpnext/erpnext/accounts/doctype/purchase_invoice/purchase_invoice.js,Purchase Receipt,কেনার রশিদ
,Received Items To Be Billed,গৃহীত চলছে বিল তৈরি করা
DocType: Purchase Invoice,Accounting Dimensions,অ্যাকাউন্টিংয়ের মাত্রা
,Subcontracted Raw Materials To Be Transferred,সাব কন্ট্রাক্টড কাঁচামাল স্থানান্তরিত করতে হবে
apps/erpnext/erpnext/config/accounting.py,Currency exchange rate master.,মুদ্রা বিনিময় হার মাস্টার.
,Sales Person Target Variance Based On Item Group,আইটেম গ্রুপের উপর ভিত্তি করে বিক্রয় ব্যক্তির লক্ষ্যমাত্রার ভেরিয়েন্স
apps/erpnext/erpnext/accounts/doctype/payment_entry/payment_entry.py,Reference Doctype must be one of {0},রেফারেন্স DOCTYPE এক হতে হবে {0}
apps/erpnext/erpnext/stock/report/warehouse_wise_item_balance_age_and_value/warehouse_wise_item_balance_age_and_value.js,Filter Total Zero Qty,ফিল্টার মোট জিরো Qty
DocType: Work Order,Plan material for sub-assemblies,উপ-সমাহারকে পরিকল্পনা উপাদান
apps/erpnext/erpnext/manufacturing/doctype/bom/bom.py,BOM {0} must be active,BOM {0} সক্রিয় হতে হবে
apps/erpnext/erpnext/buying/doctype/purchase_order/purchase_order.py,No Items available for transfer,স্থানান্তর জন্য কোন আইটেম উপলব্ধ
DocType: Employee Boarding Activity,Activity Name,কার্যকলাপ নাম
apps/erpnext/erpnext/accounts/doctype/purchase_invoice/purchase_invoice.js,Change Release Date,রিলিজ তারিখ পরিবর্তন করুন
apps/erpnext/erpnext/stock/doctype/stock_entry/stock_entry.py,Finished product quantity <b>{0}</b> and For Quantity <b>{1}</b> cannot be different,সমাপ্ত পণ্য পরিমাণ <b>{0}</b> এবং পরিমাণ জন্য <b>{1}</b> বিভিন্ন হতে পারে না
apps/erpnext/erpnext/accounts/report/general_ledger/general_ledger.py,Closing (Opening + Total),বন্ধ (খোলা + মোট)
DocType: Delivery Settings,Dispatch Notification Attachment,ডিসপ্যাচ বিজ্ঞপ্তি সংযুক্তি
DocType: Payroll Entry,Number Of Employees,কর্মচারীর সংখ্যা
DocType: Journal Entry,Depreciation Entry,অবচয় এণ্ট্রি
apps/erpnext/erpnext/selling/report/sales_partner_commission_summary/sales_partner_commission_summary.py,Please select the document type first,প্রথম ডকুমেন্ট টাইপ নির্বাচন করুন
apps/erpnext/erpnext/stock/doctype/item/item.py,You have to enable auto re-order in Stock Settings to maintain re-order levels.,পুনঃ-অর্ডার স্তর বজায় রাখতে আপনাকে স্টক সেটিংসে অটো রি-অর্ডার সক্ষম করতে হবে।
apps/erpnext/erpnext/maintenance/doctype/maintenance_visit/maintenance_visit.py,Cancel Material Visits {0} before cancelling this Maintenance Visit,এই রক্ষণাবেক্ষণ পরিদর্শন বাতিল আগে বাতিল উপাদান ভিজিট {0}
DocType: Pricing Rule,Rate or Discount,রেট বা ডিসকাউন্ট
apps/erpnext/erpnext/accounts/doctype/bank/bank_dashboard.py,Bank Details,ব্যাংক বিবরণ
DocType: Vital Signs,One Sided,এক পার্শ্বযুক্ত
apps/erpnext/erpnext/stock/doctype/serial_no/serial_no.py,Serial No {0} does not belong to Item {1},সিরিয়াল কোন {0} আইটেম অন্তর্গত নয় {1}
DocType: Purchase Order Item Supplied,Required Qty,প্রয়োজনীয় Qty
DocType: Marketplace Settings,Custom Data,কাস্টম ডেটা
apps/erpnext/erpnext/stock/doctype/warehouse/warehouse.py,Warehouses with existing transaction can not be converted to ledger.,বিদ্যমান লেনদেনের সঙ্গে গুদাম খাতা থেকে রূপান্তর করা যাবে না.
DocType: Service Day,Service Day,পরিষেবা দিবস
apps/erpnext/erpnext/projects/doctype/project/project.py,Project Summary for {0},প্রকল্পের সংক্ষিপ্তসার {0}
apps/erpnext/erpnext/hub_node/api.py,Unable to update remote activity,দূরবর্তী কার্যকলাপ আপডেট করতে অক্ষম
apps/erpnext/erpnext/controllers/buying_controller.py,Serial no is mandatory for the item {0},আইটেমের জন্য সিরিয়াল নম্বর বাধ্যতামূলক {0}
DocType: Bank Reconciliation,Total Amount,মোট পরিমাণ
apps/erpnext/erpnext/accounts/report/tds_computation_summary/tds_computation_summary.py,From Date and To Date lie in different Fiscal Year,তারিখ এবং তারিখ থেকে বিভিন্ন রাজস্ব বছর
apps/erpnext/erpnext/healthcare/utils.py,The Patient {0} do not have customer refrence to invoice,রোগীর {0} চালককে গ্রাহককে জবাবদিহি করতে হবে না
DocType: Quality Feedback Template,Quality Feedback Template,গুণমান প্রতিক্রিয়া টেম্পলেট
apps/erpnext/erpnext/config/education.py,LMS Activity,এলএমএস ক্রিয়াকলাপ
apps/erpnext/erpnext/setup/setup_wizard/data/industry_type.py,Internet Publishing,ইন্টারনেট প্রকাশনা
