Pension Funds,Pensionsmidler
Supplier Part Number,Leverandørens varenummer
Standard Selling Rate,Standard salgspris
Please set an active menu for Restaurant {0},Indstil venligst en aktiv menu for Restaurant {0}
You need to be a user with System Manager and Item Manager roles to add users to Marketplace.,Du skal være bruger med System Manager og Item Manager roller for at tilføje brugere til Marketplace.
Asset Finance Book,Asset Finance Book
Employee Transfer,Medarbejderoverførsel
Sales Funnel,Salgstragle
Water Analysis,Vandanalyse
Accounts Frozen Upto,Konti Frozen Upto
There is nothing to edit.,Der er ikke noget at redigere.
"Operation {0} longer than any available working hours in workstation {1}, break down the operation into multiple operations","Drift {0} længere end nogen ledig arbejdstid i arbejdsstationen {1}, nedbryd operationen til flere operationer"
Do not update variants on save,Opdater ikke varianter ved at gemme
Threshold,Grænseværdi
% Amount Billed,% Beløb Faktureret
Resolved By,Løst af
"Add users to your organization, other than yourself.","Tilføj brugere til din organisation, bortset fra dig selv."
Default Company,Standard Company
Cash Account will used for Sales Invoice creation,Kontantkonto bruges til oprettelse af salgsfaktura
Sales Order {0} is {1},Salgsordre {0} er {1}
Delay in payment (Days),Forsinkelse i betaling (dage)
Enter depreciation details,Indtast afskrivningsoplysninger
Expected Delivery Date should be after Sales Order Date,Forventet Leveringsdato skal være efter salgsordre
Invalid Attribute,Ugyldig attribut
Please select BOM against item {0},Vælg venligst BOM mod punkt {0}
Invoice Type,Faktura Type
Price List Master,Prisliste Master
Lost Opportunity,Tabt mulighed
Maintenance Date,Vedligeholdelsesdato
Afternoon,Eftermiddag
Nutrition Values,Ernæringsværdier
Presence of a fever (temp &gt; 38.5 °C/101.3 °F or sustained temp &gt; 38 °C/100.4 °F),"Tilstedeværelse af feber (temp&gt; 38,5 ° C eller vedvarende temp&gt; 38 ° C / 100,4 ° F)"
ITC Reversed,ITC Reversed
Collect Progress,Indsamle fremskridt
Energy,Energi
Items To Be Requested,"Elementer, der skal anmodes om"
Ca/K,Ca / K
Work Order already created for all items with BOM,"Arbejdsordre, der allerede er oprettet for alle varer med BOM"
Billed Amount,Faktureret beløb
Current Odometer reading entered should be greater than initial Vehicle Odometer {0},Nuværende kilometertællerindlæsning skal være større end den oprindelige kilometertæller {0}
Employee Transfer Property,Medarbejderoverdragelsesejendom
Pending Activities,Afventer aktiviteter
List a few of your customers. They could be organizations or individuals.,Skriv et par af dine kunder. De kunne være organisationer eller enkeltpersoner.
Bank Account Info,Bankkontooplysninger
Guardian1 Name,Guardian1 Navn
Variable Based On Taxable Salary,Variabel baseret på skattepligtig løn
Accounting Period,Regnskabsperiode
Standard Working Hours,Standard arbejdstimer
In Stock,På lager
Market Place Account Group,Market Place Account Group
Before reconciliation,Før afstemning
Fees Category,Gebyrer Kategori
%  Delivered,% Leveret
Redemption Cost Center,Indløsningsomkostningscenter
Respiratory rate,Respirationshastighed
Mandatory field - Get Students From,Obligatorisk felt - Få studerende fra
Item Classification,Vare klassificering
Is Existing Asset,Er eksisterende aktiv
Cancel Material Visits {0} before cancelling this Maintenance Visit,Annuller materialebesøg {0} før afbrydelse af dette vedligeholdelsesbesøg
Workstation Name,Navn på arbejdsstation
Row #{0}: Status must be {1} for Invoice Discounting {2},Row # {0}: Status skal være {1} for fakturarabat {2}
Material Transfer,Materialeoverførsel
% Installed,% Installeret
Agriculture Task,Landbrugsopgave
Dosage Form,Doseringsformular
Select the program first,Vælg programmet først
Expected Start Date,Forventet startdato
Share Transfer,Deloverførsel
Leave Management,Forladelse Ledelse
Total Payable Interest,Samlet betalbar rente
Current Address,Nuværende adresse
Cannot {0} {1} {2} without any negative outstanding invoice,Kan ikke {0} {1} {2} uden nogen negativ udestående faktura
Transaction not allowed against stopped Work Order {0},Transaktion er ikke tilladt mod stoppet Arbejdsordre {0}
Warehouses with existing transaction can not be converted to ledger.,Lager med eksisterende transaktion kan ikke konverteres til storbog.
Deduct Tax For Unsubmitted Tax Exemption Proof,Fradragsafgift for ikke-meddelt skattefritagelse bevis
Clearance Date updated,Udgivelsesdato opdateret
Delivery Stops,Levering stopper
Setup Progress,Setup Progress
Ordered Items To Be Billed,"Bestilte varer, der skal faktureres"
To Amount,Til beløb
Is Return (Debit Note),Er retur (debit note)
Getting Started,Kom i gang
Merge,Fusionere
Cannot change Fiscal Year Start Date and Fiscal Year End Date once the Fiscal Year is saved.,"Kan ikke ændre Regnskabsårets startdato og Regnskabsårets slutdato, når Regnskabsåret er gemt."
Get Material Request,Få materialeanmodning
Invoice No,Faktura nr
Max Qty,Maks. Antal
Row {0}: Allocated amount {1} must be less than or equals to Payment Entry amount {2},Række {0}: Den fordelte mængde {1} skal være mindre end eller lig med Betalingsindgangsbeløbet {2}
Piecework,akkord
Drop Ship,Drop Ship
Hub User,Navbruger
No Result,Intet resultat
Match Transaction to Invoices,Match transaktion til fakturaer
Commission,Provision
Sales Order Item,Salgsordre
Actual Date,Faktisk dato
Maintenance start date can not be before delivery date for Serial No {0},Vedligeholdelses startdato kan ikke være før leveringsdato for serienummer {0}
Row {0}: Exchange Rate is mandatory,Række {0}: Valutakursen er obligatorisk
Select Supplier Address,Vælg leverandøradresse
Please enter API Consumer Secret,Indtast venligst API Consumer Secret
Program Enrollment Fee,Programindskrivningsgebyr
Warranty Expiry Date,Udløbsdato for garanti
Hotel Room Pricing,Hotel værelsespriser
"Outward taxable supplies(other than zero rated, nil rated and exempted","Udadvendt skattepligtige leverancer (bortset fra nulkvalificeret, nul ratede og fritaget"
Resolution By,Beslutning af
Customer Territory,Kundeområde
Last Communication,Sidste Kommunikation
Total Billed Hours,Samlede billet timer
Current invoice {0} is missing,Nuværende faktura {0} mangler
Patient Registration,Patientregistrering
Supplier Invoice No exists in Purchase Invoice {0},Leverandørfaktura findes ikke i købsfaktura {0}
Workday,arbejdsdagen
No Items added to cart,Ingen varer tilføjet til indkøbsvogn
Target Qty,Mål antal
"To merge, following properties must be same for both items","For at fusionere, skal følgende egenskaber være ens for begge elementer"
Drug Prescription,Lægemiddel recept
Buildings,Bygninger
Application Date,Ansøgnings dato
Result,Resultat
Leave Block List Allowed,Tillad blokeringsliste tilladt
Row # {0}: Rate cannot be greater than the rate used in {1} {2},"Row # {0}: Prisen kan ikke være større end den sats, der anvendes i {1} {2}"
Blanket Order,Tæppeordre
Attendance for employee {0} is already marked,Tilstedeværelse for medarbejder {0} er allerede markeret
Assessment Result record {0} already exists.,Vurdering Resultatoptegnelsen {0} eksisterer allerede.
Rounding Adjustment,Afrundingsjustering
Quality Review Table,Kvalitetsoversigtstabel
Membership Expiry Date,Medlemskabets udløbsdato
Expected Value After Useful Life,Forventet værdi efter brugbart liv
November,november
Rate of Interest,Rente
Bank Statement Transaction Payment Item,Kontoudtog Transaktion Betalingselement
Waitlisted,venteliste
You need to enable Shopping Cart,Du skal aktivere Indkøbskurv
Leave Status Notification Template,Meddelelsesskabelon for meddelelsesstatus
Leave Without Pay,Forlad uden løn
Actual Qty (at source/target),Faktisk antal (ved kilde / mål)
Tax ID,Skatte ID
See past orders,Se tidligere ordrer
Current Qty,Nuværende antal
UOM Conversion factor is required in row {0},UOM Konverteringsfaktor er påkrævet i række {0}
"Tax detail table fetched from item master as a string and stored in this field.
Used for Taxes and Charges",Skatteoplysninger tabel hentet fra elementet mester som en streng og gemt i dette felt. Bruges til skatter og afgifter
Key Responsibility Area,Nøgleansvar
Sample Quantity,Prøvekvantitet
Expense Claim,Udgiftskrav
Opening Date and Closing Date should be within same Fiscal Year,Åbningsdato og sluttidspunkt bør være inden for samme regnskabsår
Silt Composition (%),Silt Sammensætning (%)
Tax Withholding Rate,Skattefradrag
Default Tax Template,Standard skat skabelon
Transfer Asset,Overførselsaktiv
Opp/Lead %,Opp / Lead%
Please cancel Purchase Invoice {0} first,Annuller købsfaktura {0} først
Complete Job,Komplet job
Select Possible Supplier,Vælg mulig leverandør
Customer Groups,Kundegrupper
Hub Category,Hub kategori
"Quotations are proposals, bids you have sent to your customers","Tilbud er bud, bud du har sendt til dine kunder"
Reading 5,Læsning 5
Display Settings,Skærmindstillinger
Please set Number of Depreciations Booked,"Indtast venligst antal afskrivninger, der er bogført"
What do you need help with?,Hvad har du brug for hjælp til?
Printing Settings,Udskrivningsindstillinger
Banking,Banking
Purchase Invoice Advance,Køb Faktura Advance
EDU-APP-.YYYY.-,EDU-APP-.YYYY.-
PR Detail,PR Detail
Billing Address is same as Shipping Address,Faktureringsadresse er ens som forsendelsesadresse
Cash,Kontanter
Leave Policy,Forlad politik
Student Address,Studentadresse
CESS Account,CESS-konto
{0} {1}: Cost Center is required for 'Profit and Loss' account {2}. Please set up a default Cost Center for the Company.,{0} {1}: Omkostningscenter er påkrævet for &#39;Profit and Loss&#39;-konto {2}. Opret venligst et standardkostningscenter for virksomheden.
"While creating account for child Company {0}, parent account {1} not found. Please create the parent account in corresponding COA","Mens du opretter konto for børns firma {0}, findes ikke stamkonto {1}. Opret venligst forældrekontoen i tilsvarende COA"
General Ledger,General Ledger
Reminder to update GSTIN Sent,Påmindelse om at opdatere GSTIN Sendt
Select Days,Vælg dage
Next Contact By cannot be same as the Lead Email Address,Næste kontakt af kan ikke være det samme som bly-e-mail-adressen
To Package No.,Til pakke nr.
Course Name,Kursusnavn
Serial no is required for the asset {0},Serienummer er påkrævet for aktivet {0}
Maintenance,Vedligeholdelse
Validate Selling Price for Item against Purchase Rate or Valuation Rate,Validér salgspris for vare mod købspris eller værdiansættelsesfrekvens
The following Work Orders were created:,Følgende arbejdsordrer blev oprettet:
MAT-DT-.YYYY.-,MAT-DT-.YYYY.-
IFSC Code,IFSC-kode
Mode of Payment,Betalingsmåde
Tax Amount After Discount Amount,Skattebeløb efter rabatbeløb
Get Suppliers By,Få leverandører af
"Row {0}: To set {1} periodicity, difference between from and to date \
						must be greater than or equal to {2}",Row {0}: For at indstille {1} periodicitet skal forskellen mellem og til dato \ være større end eller lig med {2}
Valuation Rate,Værdiansættelsesrate
Default settings for Shopping Cart,Standardindstillinger for Indkøbskurv
Capacity Planning,Kapacitetsplanlægning
Go to Instructors,Gå til instruktører
Supplier &gt; Supplier Type,Leverandør&gt; Leverandør Type
Projects,Projekter
Barcode Type,Stregkode Type
Incentive Amount,Incitamentsbeløb
"To set this Fiscal Year as Default, click on 'Set as Default'","Hvis du vil indstille dette regnskabsår som standard, skal du klikke på &#39;Indstil som standard&#39;"
II,II
From Time,Fra Tid
Variant Details Report,Variant Details Report
For Buying,Til køb
Slots for {0} are not added to the schedule,Slots til {0} tilføjes ikke til skemaet
Target Distribution,Måldistribution
Staffing Plan Details,Bemandingsplan detaljer
Account {0} is invalid. Account Currency must be {1},Konto {0} er ugyldig. Konto Valuta skal være {1}
Rule Description,Regel Beskrivelse
Total Estimated Distance,Samlet estimeret afstand
Lost Reason,Mistet grund
Make Depreciation Entry,Lav afskrivningsindtastning
Serial nos {0} does not belongs to the location {1},Serienummer {0} tilhører ikke placeringen {1}
Role Allowed to Set Frozen Accounts & Edit Frozen Entries,Rolle tilladt at indstille frosne konti &amp; Rediger frosne poster
Health Concerns,Sundhedsmæssige bekymringer
Company Info,Virksomhedsinfo
Activity Cost,Aktivitetsomkostninger
Payment Order,Betalingsordre
Pricing,Prisfastsættelse
Item Delivery Date,Leveringsdato for vare
Warehouse and Reference,Lager og Reference
Account with child nodes cannot be converted to ledger,Konto med børne noder kan ikke konverteres til hovedbog
Clay Composition (%),Ler sammensætning (%)
BOM No. for a Finished Good Item,BOM nr. For en færdig god vare
User Remark,Bruger Bemærkning
Your order is out for delivery!,Din ordre er ude for levering!
"Payment Type must be one of Receive, Pay and Internal Transfer","Betalingstype skal være en af Modtag, Betal og Intern Overførsel"
Payroll Settings,Lønningsindstillinger
GST HSN Code,GST HSN-kode
Period Closing Voucher,Periodeafslutningsbevis
Guardian2 Name,Guardian2 Navn
Please enter Expense Account,Indtast Udgiftskonto
Resignation Letter Date,Afgangsbrev Dato
Sandy Clay,Sandy Clay
Attendance To Date,Tilstedeværelse til dato
Loan Start Date,Lånets startdato
Consumable Cost,Forbrugeromkostninger
Encashment,indløsning
Income From Other Sources,Indkomst fra andre kilder
Produced Items,Producerede varer
Approval Status must be 'Approved' or 'Rejected',Godkendelsesstatus skal være &#39;Godkendt&#39; eller &#39;Afvist&#39;
View Now,Se nu
Valid Upto,Gyldig Upto
Reference Doctype must be one of {0},Reference Doktypen skal være en af {0}
Transaction Currency,Transaktionsvaluta
Repayment Schedule,Tilbagebetalingsplan
Create Sample Retention Stock Entry,Opret prøvepræmie lagerinput
Set as Open,Indstil som åben
Requested Qty,Ønsket antal
Apply Discount On,Anvend rabat på
Reserved for sub contracting,Reserveret til underentreprise
Item variant {0} exists with same attributes,Varevariant {0} eksisterer med samme attributter
Membership Type,Medlemskabstype
Will show the student as Present in Student Monthly Attendance Report,Vil vise den studerende som Til stede i Student Månedlig Deltagelsesrapport
Minimum Lead Age (Days),Mindste levealder (dage)
Delivery Note Series,Serie med leveringskort
Mandatory field - Academic Year,Obligatorisk felt - akademisk år
Fuel Price,Brændstof pris
Mode of Travel,Rejsemåde
Special Test Items,Særlige testelementer
Edit Posting Date and Time,Rediger indlægsdato og tid
Not Billed,Ikke faktureret
Employee Transfer Detail,Medarbejderoverførselsdetaljer
Task Completion,Opgaveafslutning
Webhook ID,Webhook ID
Travel Expenses,Rejseudgifter
Future dates not allowed,Fremtidige datoer ikke tilladt
Varaiance ,Varaiance
Row {0}: Please set the Mode of Payment in Payment Schedule,Række {0}: Indstil betalingsformen i betalingsplan
Academic Term: ,Akademisk Term:
Please select Apply Discount On,Vælg venligst Anvend rabat på
Row # {0}: ,Række # {0}:
Total Payments,Samlede betalinger
Please enter Account for Change Amount,Indtast venligst Konto for Skift beløb
Tax Withholding Account,Skat tilbageholdende konto
Stock Received But Not Billed,"Lager modtaget, men ikke faktureret"
Please add the account to root level Company - %s,Tilføj venligst kontoen til rodniveau Firma -% s
Collected By,Indsamlet af
Notify by Email on creation of automatic Material Request,Underret via e-mail om oprettelse af automatisk materialeanmodning
Downtime,nedetid
Cost Center Number,Omkostningscenter nummer
Applicable for external driver,Gælder for ekstern driver
Start on,Start på
Payment Due Date,Betalingsfrist
"If this item has variants, then it cannot be selected in sales orders etc.","Hvis denne vare har varianter, kan den ikke vælges i salgsordrer mv."
Following course schedules were created,Følgende kursusplaner blev oprettet
Timesheet created:,Tidsskema oprettet:
Open BOM {0},Åben BOM {0}
Transfered,overført
Credit To account must be a Payable account,Kredit til konto skal være en betalbar konto
Item Attribute,Vareattribut
Goal and Procedure,Mål og procedure
Frequency of Depreciation (Months),Afskrivningsfrekvens (måneder)
Real Estate,Ejendom
Parents Teacher Meeting Attendance,Forældres lærermøde
Employee Grade,Medarbejderklasse
"Total {0} for all items is zero, may be you should change 'Distribute Charges Based On'","I alt {0} for alle varer er nul, kan du være, at du skal ændre &#39;Fordel gebyrer baseret på&#39;"
Time Sheet,Tidsskrift
Late Checkin,Sen checkin
Costing and Billing,Omkostning og fakturering
Total Outgoing,Samlet udgående
A Default Service Level Agreement already exists.,En standard serviceniveauaftale eksisterer allerede.
If more than one package of the same type (for print),Hvis mere end en pakke af samme type (til print)
Please select Company and Posting Date to getting entries,Vælg venligst Company og Posting Date for at få poster
Default Currency,Standardvaluta
Packing List,Pakke liste
Secretary,Sekretær
Gluten Free,Glutenfri
Hub Node,Hub Node
Employee ID,Medarbejder-ID
Salary Structure Assignment,Salary Structure Assignment
POS Closing Voucher Taxes,POS Closing Voucher Skatter
Action Initialised,Handling initialiseret
Applicable for Users,Gælder for brugere
Exam,Eksamen
Incorrect number of General Ledger Entries found. You might have selected a wrong Account in the transaction.,Forkert antal hovedbogsnumre fundet. Du har muligvis valgt en forkert konto i transaktionen.
Sales Pipeline,Salgsledning
Leaderboard,Leaderboard
Inter Company Account,Inter Company Account
Closed order cannot be cancelled. Unclose to cancel.,Lukket ordre kan ikke annulleres. Afbryd for at annullere.
{0} {1} does not exist,{0} {1} eksisterer ikke
Planned number of Positions,Planlagt antal positioner
Maintenance Status has to be Cancelled or Completed to Submit,Vedligeholdelsesstatus skal annulleres eller afsluttes for at indsende
Please select customer,Vælg venligst kunde
Round Off,Afrunde
Conditions will be applied on all the selected items combined. ,Betingelserne vil blive anvendt på alle de valgte elementer kombineret.
Configure,Konfigurer
Capacity,Kapacitet
Installed Qty,Installeret antal
Batch {0} of Item {1} is disabled.,Batch {0} i vare {1} er deaktiveret.
Hotel Reservation User,Hotel Reservation Bruger
Workday has been repeated twice,Arbejdsdagen er blevet gentaget to gange
Item Group not mentioned in item master for item {0},"Varegruppe, der ikke er nævnt i varemester for punkt {0}"
Name error: {0},Navnefejl: {0}
Territory is Required in POS Profile,Territory er påkrævet i POS Profile
Service End Date,Service Slutdato
Quotation,citat
Exchange Rate must be same as {0} {1} ({2}),Valutakursen skal være den samme som {0} {1} ({2})
Holiday List (ignored during SLA calculation),Holiday List (ignoreret under SLA beregning)
Student Admission Program,Student Adgangsprogram
Account {0}: Parent account {1} can not be a ledger,Konto {0}: Forældrekonto {1} kan ikke være en hovedbog
% of materials billed against this Sales Order,% af materialer faktureret mod denne salgsordre
The payment gateway account in plan {0} is different from the payment gateway account in this payment request,Betalings gateway-kontoen i plan {0} er forskellig fra betalings gateway-kontoen i denne betalingsanmodning
Subcontracted Item,Underentreprise
Loan Start Date and Loan Period are mandatory to save the Invoice Discounting,Lånets startdato og låneperiode er obligatoriske for at gemme fakturarabatten
Default receivable accounts to be used if not set in Patient to book Appointment charges.,"Standardfordelbare konti, der skal bruges, hvis de ikke er indstillet til patienten for at bestille aftalebeløb."
Students HTML,Studerende HTML
Student Guardian,Studentvogter
GoCardless Settings,GoCardless Indstillinger
Transport Receipt Date,Transportkvitteringsdato
Show Opening Entries,Vis åbningsindlæg
Heart Rate / Pulse,Hjertefrekvens / puls
All Assessment Groups,Alle vurderingsgrupper
Asset Name,Aktivnavn
"There can only be one Shipping Rule Condition with 0 or blank value for ""To Value""",Der kan kun være en Shipping Rule Condition med 0 eller blank værdi for &quot;To Value&quot;
Optimizing routes.,Optimering af ruter.
Shopify Tax/Shipping Title,Shopify Skat / Fragt Titel
To date can not be equal or less than from date,Til dato kan ikke være lige eller mindre end fra dato
You added ,Du tilføjede
Total Score,Samlet score
"If you have created a standard template in Sales Taxes and Charges Template, select one and click on the button below.","Hvis du har oprettet en standardskabelon i salgsskatter og afgifter, skal du vælge en og klikke på knappen nedenfor."
Cost Center,Omkostningssted
Total allocated percentage for sales team should be 100,Den samlede tildelte procentdel for salgsteamet skal være 100
"Cannot deliver Serial No {0} of item {1} as it is reserved \
											to fullfill Sales Order {2}","Kan ikke levere serienummer {0} af vare {1}, da det er reserveret \ for at fuldfylde salgsordre {2}"
Payment Entry has been modified after you pulled it. Please pull it again.,"Betalingsindgang er blevet ændret, efter at du har trukket den. Træk det igen."
Bio / Cover Letter,Bio / Cover Letter
Stock Value Difference,Aktieværdiforskel
Academic Year Name,Akademisk år Navn
Bank Accounts,Bankkonti
The Payment Term at row {0} is possibly a duplicate.,Betalingsperioden i række {0} er muligvis et duplikat.
Unblock Invoice,Fjern blokering af faktura
Percentage,Procent
Sensitivity Test Items,Sensitivitetstest
To make Customer based incentive schemes.,At lave kundebaserede incitamentsordninger.
Purchase Register,Købsregister
Schedule Date,Planlægningsdato
Package Weight Details,Pakkevægtens detaljer
Job Opening,Ledig stilling
Actual Cost,Faktisk omkostninger
Total advance ({0}) against Order {1} cannot be greater than the Grand Total ({2}),Samlet forskud ({0}) mod ordre {1} kan ikke være større end Grand Total ({2})
Item Variants updated,Varevarianter opdateret
Batch Number Series,Batch Nummer Serie
Open Projects,Åbne projekter
Import Delivery Notes from Shopify on Shipment,Import leveringsnotater fra Shopify på forsendelse
Token Endpoint,Token Endpoint
List a few of your suppliers. They could be organizations or individuals.,Skriv et par af dine leverandører. De kunne være organisationer eller enkeltpersoner.
MWS Credentials,MWS Credentials
Shopping Cart Settings,Indkøbskurv Indstillinger
Enable Deferred Revenue,Aktivér udskudt indtjening
Managing Projects,Administrere projekter
Message Sent,Besked sendt
Same item has been entered multiple times. {0},Samme vare er indtastet flere gange. {0}
Margin,Margin
{0} '{1}' not in Fiscal Year {2},{0} &#39;{1}&#39; ikke i regnskabsår {2}
Fee Structure,Gebyrstruktur
Variant Attributes,Variant Attributter
Confirmation Date,Bekræftelsesdato
Please set a default Holiday List for Employee {0} or Company {1},Angiv en standard ferie liste for medarbejder {0} eller firma {1}
Job Applicant Source,Job Ansøger Kilde
Opening Invoice Creation Tool,Åbning af fakturaoprettelsesværktøj
Account {0} does not exist,Konto {0} eksisterer ikke
Ignore Existing Ordered Qty,Ignorer eksisterende bestilt antal
Lead Time Date,Lead Time Date
Accounts Receivable Summary,Kundefordelingsoversigt
Available-for-use Date,Tilgængelig-til-brug-dato
Employee record is created using selected field. ,Medarbejderpost oprettes ved hjælp af markeret felt.
"Row #{0}: Reference Document Type must be one of Purchase Order, Purchase Invoice or Journal Entry","Række nr. {0}: Referencedokumenttype skal være en af indkøbsordre, købsfaktura eller journalindtastning"
Type of Payment,Betalings type
Leave the field empty to make purchase orders for all suppliers,Lad feltet være tomt for at foretage indkøbsordrer for alle leverandører
Item {0} ignored since it is not a stock item,"Punkt {0} ignoreres, da det ikke er en lagerartikel"
"""Customer Provided Item"" cannot have Valuation Rate",&quot;Kundeforsyningspost&quot; kan ikke have værdiansættelsesfrekvens
Clay,Ler
"{0} currently has a {1} Supplier Scorecard standing, and Purchase Orders to this supplier should be issued with caution.","{0} har for øjeblikket et {1} leverandør scorecard stående, og indkøbsordrer til denne leverandør skal udstedes med forsigtighed."
"If item is a variant of another item then description, image, pricing, taxes etc will be set from the template unless explicitly specified","Hvis varen er en variant af en anden vare, vil beskrivelsen, billedet, priserne, afgifterne osv. Blive indstillet fra skabelonen, medmindre det udtrykkeligt er angivet"
Total Target,Samlet mål
Longitude,Længde
Determine Address Tax Category From,Bestem adresseskatkategori Fra
Identifying Decision Makers,Identificerende beslutningstagere
Get Invocies,Få invokationer
Is Day Book Data Imported,Er data fra dagbog importeret
Sales Partners Commission,Sales Partners Commission
Legal,gyldige
Required by Date,Påkrævet efter dato
Quiz Result,Quiz Resultat
Close Loan,Luk lån
From Customer,Fra kunde
Minimum Invoice Amount,Minimum Faktura Beløb
Related,Relaterede
Description/Strength,Beskrivelse / Strength
Work Order cannot be raised against a Item Template,Arbejdsordre kan ikke rejses imod en vare skabelon
Salary,Løn
Set Status,Indstil Status
Inward supplies from ISD,Indgående leverancer fra ISD
Vehicle Expenses,Køretøjsudgifter
Please set 'Apply Additional Discount On',Indstil venligst &#39;Anvend ekstra rabat på&#39;
Closed Document,Lukket dokument
Please select weekly off day,Vælg venligst ugentlig afrejsedag
Applicable After (Working Days),Gældende efter (arbejdsdage)
Hrs,timer
Supplier Scorecard Criteria,Leverandør Scorecard Criteria
FR,FR
Date of Joining must be greater than Date of Birth,Dato for tilslutning skal være større end fødselsdato
Invoice Date,Fakturadato
Create Lab Test(s) on Sales Invoice Submit,Opret labtest (er) på salgsfaktura Send
"No active BOM found for item {0}. Delivery by \
						Serial No cannot be ensured",Ingen aktiv BOM fundet for punkt {0}. Levering med \ Serienummer kan ikke sikres
Post Graduate,Post Graduate
Account {0} has been entered multiple times,Konto {0} er indtastet flere gange
Pay Against Benefit Claim,Betal mod fordele
Principal Amount,Hovedbeløb
Main,Main
Serial No {0} does not exist,Serienummer {0} findes ikke
Please select Program,Vælg venligst Program
Schedule Discharge,Planlægningsudladning
"Set items shelf life in days, to set expiry based on manufacturing_date plus self life","Indstil varer holdbarhed om dage, for at indstille udløb baseret på manufacturing_date plus selvliv"
Get Payment Entries,Få betalingsindtægter
Max Retry Limit,Max Retry Limit
Endpoint,Endpoint
Cost Center is required in row {0} in Taxes table for type {1},Omkostningscenter er påkrævet i række {0} i Skat tabel for type {1}
Currency Exchange must be applicable for Buying or for Selling.,Valutaveksling skal være gældende for køb eller salg.
Cheque Width,Check bredde
Secret,Hemmelighed
Current Order,Nuværende ordre
Item must be added using 'Get Items from Purchase Receipts' button,Elementet skal tilføjes ved hjælp af knappen &#39;Få varer fra købskvitteringer&#39;
Delay Days,Forsinkelsesdage
Default Income Account,Standardindkomstkonto
Get prescribed procedures,Få foreskrevne procedurer
Market Segment,Markedssegment
Set as Completed,Angiv som afsluttet
Completed Qty can not be greater than 'Qty to Manufacture',Afsluttet antal må ikke være større end &quot;Antal til fremstilling&quot;
Service Level.,Serviceniveau.
MAT-STE-.YYYY.-,MAT-STE-.YYYY.-
Year Start Date,År Startdato
(Hour Rate / 60) * Actual Operation Time,(Timepris / 60) * Faktisk driftstid
Received Date,Modtaget dato
Financial / accounting year.,Finans / regnskabsår.
Pricing Rule,Prissætning regel
Optional Holiday List not set for leave period {0},"Valgfri ferieliste, der ikke er indstillet for orlovsperioden {0}"
Please set User ID field in an Employee record to set Employee Role,Angiv bruger-id-feltet i en medarbejderpost for at indstille medarbejderrolle
Time To Resolve,Tid til at løse
Training Event,Træningsarrangement
"Normal resting blood pressure in an adult is approximately 120 mmHg systolic, and 80 mmHg diastolic, abbreviated ""120/80 mmHg""","Normal hvilende blodtryk hos en voksen er ca. 120 mmHg systolisk og 80 mmHg diastolisk, forkortet &quot;120/80 mmHg&quot;"
System will fetch all the entries if limit value is zero.,"Systemet henter alle indgange, hvis grænseværdien er nul."
Copy From Item Group,Kopier fra produktgruppe
Bank Remittance,Bankoverførsel
"Valuation rate not found for the Item {0}, which is required to do accounting entries for {1} {2}. If the item is transacting as a zero valuation rate item in the {1}, please mention that in the {1} Item table. Otherwise, please create an incoming stock transaction for the item or mention valuation rate in the Item record, and then try submiting/cancelling this entry","Værdiansættelsesrate ikke fundet for varen {0}, som er forpligtet til at foretage regnskabsposter for {1} {2}. Hvis varen handler som en nulværdieringsgrad i {1}, skal du nævne det i {1} Item-tabellen. Ellers skal du oprette en indgående aktietransaktion for varen eller nævne værdiansættelsesfrekvensen i vareposten og derefter forsøge at indsende / annullere denne post"
Half day date should be in between from date and to date,Halvdagsdagen skal være mellem dato og dato
Accrual Journal Entry for salaries from {0} to {1},Periodiseringsjournalen Entry for løn fra {0} til {1}
Material Receipt,Materialekvittering
Re-allocate Leaves,Omfordele blade
To Date should be within the Fiscal Year. Assuming To Date = {0},Til dato skal være inden for regnskabsåret. Forudsat at dato = {0}
Employee Promotion Details,Medarbejderfremmende detaljer
Project Status,Projektstatus
Account with existing transaction can not be deleted,Kontoen med eksisterende transaktion kan ikke slettes
This is a root supplier group and cannot be edited.,Dette er en rodleverandørgruppe og kan ikke redigeres.
Could not find path for ,Kunne ikke finde vej til
Item Customer Detail,Vare kundedetaljer
Assessment  Mark (Out of 10),Bedømmelsesmærke (ud af 10)
ACC-SH-.YYYY.-,ACC-SH-.YYYY.-
LabTest Approver,LabTest Approver
Is Milestone,Er Milestone
Get Students,Få studerende
Self-Driving Vehicle,Selvkørende køretøj
Item {0} must be a Fixed Asset Item,Konto {0} skal være et fast aktivelement
Office Rent,Kontorleje
In Maintenance,Ved vedligeholdelse
Cannot change Variant properties after stock transaction. You will have to make a new Item to do this.,Kan ikke ændre Variantegenskaber efter aktiehandel. Du bliver nødt til at lave en ny vare til at gøre dette.
Unpaid,Ulønnet
Update Account Name / Number,Opdater konto navn / nummer
Intern,Praktikant
Show only POS,Vis kun POS
Custody,Forældremyndighed
From Date cannot be greater than To Date,Fra Dato kan ikke være større end Til dato
As per your assigned Salary Structure you cannot apply for benefits,I henhold til din tildelte lønstruktur kan du ikke ansøge om ydelser
Failed to setup defaults,Kunne ikke oprette standardindstillinger
Account Number {0} already used in account {1},"Kontonummer {0}, der allerede er brugt i konto {1}"
