DocType: Accounting Period,Period Name,Periode Naam
apps/erpnext/erpnext/hr/doctype/leave_encashment/leave_encashment.py,No Salary Structure assigned for Employee {0} on given date {1},Geen salarisstructuur toegewezen voor werknemer {0} op opgegeven datum {1}
apps/erpnext/erpnext/accounts/doctype/shipping_rule/shipping_rule.py,Shipping rule not applicable for country {0},Verzendregel niet van toepassing voor land {0}
DocType: Item,Foreign Trade Details,Buitenlandse Handel Details
,Assessment Plan Status,Beoordelingsplan Status
DocType: Email Digest,Annual Income,Jaarlijks inkomen
DocType: Serial No,Serial No Details,Serienummer Details
DocType: Purchase Invoice Item,Item Tax Rate,Artikel BTW-tarief
apps/erpnext/erpnext/regional/report/eway_bill/eway_bill.py,From Party Name,Van partijnaam
apps/erpnext/erpnext/hr/report/bank_remittance/bank_remittance.py,Net Salary Amount,Netto salarisbedrag
DocType: Pick List,Delivery against Sales Order,Levering tegen verkooporder
DocType: Student Group Student,Group Roll Number,Groepsrolnummer
DocType: Student Group Student,Group Roll Number,Groepsrolnummer
apps/erpnext/erpnext/accounts/doctype/journal_entry/journal_entry.py,"For {0}, only credit accounts can be linked against another debit entry","Voor {0}, kan alleen credit accounts worden gekoppeld tegen een andere debetboeking"
apps/erpnext/erpnext/accounts/doctype/sales_invoice/sales_invoice.py,Delivery Note {0} is not submitted,Vrachtbrief {0} is niet ingediend
apps/erpnext/erpnext/stock/get_item_details.py,Item {0} must be a Sub-contracted Item,Artikel {0} moet een uitbesteed artikel zijn
apps/erpnext/erpnext/accounts/doctype/account/chart_of_accounts/verified/standard_chart_of_accounts_with_account_number.py,Capital Equipments,Kapitaalgoederen
apps/erpnext/erpnext/accounts/doctype/pricing_rule/pricing_rule.js,"Pricing Rule is first selected based on 'Apply On' field, which can be Item, Item Group or Brand.","Prijsbepalingsregel wordt eerst geselecteerd op basis van 'Toepassen op' veld, dat kan zijn artikel, artikelgroep of merk."
apps/erpnext/erpnext/manufacturing/doctype/work_order/work_order.js,Please set the Item Code first,Stel eerst de productcode in
apps/erpnext/erpnext/regional/report/eway_bill/eway_bill.py,Doc Type,Doc Type
apps/erpnext/erpnext/controllers/selling_controller.py,Total allocated percentage for sales team should be 100,Totaal toegewezen percentage voor verkoopteam moet 100 zijn
DocType: Subscription Plan,Billing Interval Count,Factuurinterval tellen
apps/erpnext/erpnext/hr/doctype/employee_transfer/employee_transfer.py,"Please delete the Employee <a href=""#Form/Employee/{0}"">{0}</a>\
					to cancel this document","Verwijder de werknemer <a href=""#Form/Employee/{0}"">{0}</a> \ om dit document te annuleren"
apps/erpnext/erpnext/healthcare/doctype/healthcare_practitioner/healthcare_practitioner_dashboard.py,Appointments and Patient Encounters,Afspraken en ontmoetingen met patiënten
apps/erpnext/erpnext/hr/doctype/employee_promotion/employee_promotion.js,Value missing,Waarde ontbreekt
DocType: Employee,Department and Grade,Afdeling en rang
DocType: Antibiotic,Antibiotic,Antibioticum
,Team Updates,team updates
apps/erpnext/erpnext/accounts/doctype/payment_order/payment_order.js,For Supplier,voor Leverancier
DocType: Account,Setting Account Type helps in selecting this Account in transactions.,Instellen Account Type helpt bij het selecteren van deze account in transacties.
DocType: Purchase Invoice,Grand Total (Company Currency),Grand Total (Company Munt)
apps/erpnext/erpnext/accounts/doctype/cheque_print_template/cheque_print_template.js,Create Print Format,Maak Print Format
apps/erpnext/erpnext/education/doctype/fee_schedule/fee_schedule_list.js,Fee Created,Fee gemaakt
apps/erpnext/erpnext/utilities/bot.py,Did not find any item called {0},Item met de naam {0} niet gevonden
apps/erpnext/erpnext/stock/report/item_prices/item_prices.js,Items Filter,Items filteren
DocType: Supplier Scorecard Criteria,Criteria Formula,Criteria Formule
apps/erpnext/erpnext/stock/report/itemwise_recommended_reorder_level/itemwise_recommended_reorder_level.py,Total Outgoing,Totaal Uitgaande
apps/erpnext/erpnext/accounts/doctype/shipping_rule/shipping_rule.py,"There can only be one Shipping Rule Condition with 0 or blank value for ""To Value""","Er kan maar één Verzendregel Voorwaarde met 0 of blanco waarde zijn voor ""To Value """
DocType: Bank Statement Transaction Settings Item,Transaction,Transactie
DocType: Call Log,Duration,Looptijd
apps/erpnext/erpnext/controllers/status_updater.py,"For an item {0}, quantity must be positive number",Voor een artikel {0} moet het aantal positief zijn
apps/erpnext/erpnext/accounts/doctype/cost_center/cost_center.js,Note: This Cost Center is a Group. Cannot make accounting entries against groups.,Opmerking: Deze kostenplaats is een groep. Kan geen boekingen aanmaken voor groepen.
apps/erpnext/erpnext/hr/doctype/compensatory_leave_request/compensatory_leave_request.py,Compensatory leave request days not in valid holidays,Verzoek om compenserende verlofaanvragen niet in geldige feestdagen
apps/erpnext/erpnext/stock/doctype/warehouse/warehouse.py,Child warehouse exists for this warehouse. You can not delete this warehouse.,Child magazijn bestaat voor dit magazijn. U kunt dit magazijn niet verwijderen.
DocType: Item,Website Item Groups,Website Artikelgroepen
DocType: Purchase Invoice,Total (Company Currency),Totaal (Company valuta)
DocType: Daily Work Summary Group,Reminder,Herinnering
apps/erpnext/erpnext/regional/report/eway_bill/eway_bill.py,Accessable Value,Toegankelijke waarde
apps/erpnext/erpnext/stock/utils.py,Serial number {0} entered more than once,Serienummer {0} meer dan eens ingevoerd
DocType: Bank Statement Transaction Invoice Item,Journal Entry,Journaalpost
apps/erpnext/erpnext/regional/report/eway_bill/eway_bill.py,From GSTIN,Van GSTIN
DocType: Expense Claim Advance,Unclaimed amount,Niet-opgeëist bedrag
apps/erpnext/erpnext/manufacturing/doctype/work_order/work_order.js,{0} items in progress,{0} items in progress
DocType: Workstation,Workstation Name,Naam van werkstation
DocType: Grading Scale Interval,Grade Code,Grade Code
DocType: POS Item Group,POS Item Group,POS Item Group
apps/erpnext/erpnext/setup/doctype/email_digest/email_digest.js,Email Digest:,E-mail Digest:
apps/erpnext/erpnext/stock/doctype/item_alternative/item_alternative.py,Alternative item must not be same as item code,Alternatief artikel mag niet hetzelfde zijn als artikelcode
apps/erpnext/erpnext/manufacturing/doctype/bom/bom.py,BOM {0} does not belong to Item {1},Stuklijst {0} behoort niet tot Artikel {1}
DocType: Promotional Scheme,Product Discount Slabs,Productkortingsplaten
DocType: Target Detail,Target Distribution,Doel Distributie
DocType: Purchase Invoice,06-Finalization of Provisional assessment,06-Finalisatie van voorlopige beoordeling
apps/erpnext/erpnext/erpnext_integrations/doctype/tally_migration/tally_migration.py,Importing Parties and Addresses,Partijen en adressen importeren
DocType: Salary Slip,Bank Account No.,Bankrekeningnummer
DocType: Naming Series,This is the number of the last created transaction with this prefix,Dit is het nummer van de laatst gemaakte transactie met dit voorvoegsel
DocType: Supplier Scorecard,"Scorecard variables can be used, as well as:
{total_score} (the total score from that period),
{period_number} (the number of periods to present day)
","Scorecard variabelen kunnen worden gebruikt, evenals: {total_score} (de totale score van die periode), {period_number} (het aantal dagen dat de dag is)"
apps/erpnext/erpnext/manufacturing/doctype/blanket_order/blanket_order.js,Create Purchase Order,Bestelling creëren
DocType: Quality Inspection Reading,Reading 8,Meting 8
DocType: Inpatient Record,Discharge Note,Afvoernota
apps/erpnext/erpnext/config/desktop.py,Getting Started,Ermee beginnen
DocType: Purchase Invoice,Taxes and Charges Calculation,Belastingen en Toeslagen berekenen
DocType: Accounts Settings,Book Asset Depreciation Entry Automatically,Automatische afschrijving van de activa van de boekwaarde
DocType: BOM Operation,Workstation,Werkstation
DocType: Request for Quotation Supplier,Request for Quotation Supplier,Offerte Supplier
DocType: Healthcare Settings,Registration Message,Registratie Bericht
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py,Hardware,hardware
DocType: Prescription Dosage,Prescription Dosage,Voorschrift Dosering
DocType: Contract,HR Manager,HR Manager
apps/erpnext/erpnext/accounts/party.py,Please select a Company,Selecteer aub een andere vennootschap
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py,Privilege Leave,Bijzonder Verlof
DocType: Purchase Invoice,Supplier Invoice Date,Factuurdatum Leverancier
apps/erpnext/erpnext/shopping_cart/doctype/shopping_cart_settings/shopping_cart_settings.py,You need to enable Shopping Cart,U moet Winkelwagen activeren.
DocType: Payment Entry,Writeoff,Afschrijven
DocType: Maintenance Visit,MAT-MVS-.YYYY.-,MAT-MVS-.YYYY.-
DocType: HR Settings,<b>Example:</b> SAL-{first_name}-{date_of_birth.year} <br>This will generate a password like SAL-Jane-1972,<b>Voorbeeld:</b> SAL- {first_name} - {date_of_birth.year} <br> Dit genereert een wachtwoord zoals SAL-Jane-1972
DocType: Stock Settings,Naming Series Prefix,Reeks voorvoegsel naamgeving
DocType: Appraisal Template Goal,Appraisal Template Goal,Beoordeling Sjabloon Doel
DocType: Salary Component,Earning,Verdienen
DocType: Supplier Scorecard,Scoring Criteria,Scoring Criteria
DocType: Purchase Invoice,Party Account Currency,Party account Valuta
DocType: Delivery Trip,Total Estimated Distance,Totale geschatte afstand
DocType: Invoice Discounting,Accounts Receivable Unpaid Account,Accounts te ontvangen onbetaalde account
DocType: Tally Migration,Tally Company,Tally Company
apps/erpnext/erpnext/config/manufacturing.py,BOM Browser,BOM Browser
apps/erpnext/erpnext/accounts/doctype/accounting_dimension/accounting_dimension.py,Not allowed to create accounting dimension for {0},Mag geen boekhoudingsdimensie maken voor {0}
apps/erpnext/erpnext/templates/emails/training_event.html,Please update your status for this training event,Update uw status voor dit trainingsevenement
DocType: Item Barcode,EAN,EAN
DocType: Purchase Taxes and Charges,Add or Deduct,Toevoegen of aftrekken
apps/erpnext/erpnext/accounts/doctype/shipping_rule/shipping_rule.py,Overlapping conditions found between:,Overlappende voorwaarden gevonden tussen :
DocType: Bank Transaction Mapping,Field in Bank Transaction,Veld in banktransactie
apps/erpnext/erpnext/accounts/doctype/gl_entry/gl_entry.py,Against Journal Entry {0} is already adjusted against some other voucher,Tegen Journal Entry {0} is al aangepast tegen enkele andere voucher
,Inactive Sales Items,Inactieve verkoopartikelen
DocType: Quality Review,Additional Information,Extra informatie
apps/erpnext/erpnext/selling/report/inactive_customers/inactive_customers.py,Total Order Value,Totale orderwaarde
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py,Food,Voeding
apps/erpnext/erpnext/accounts/report/accounts_payable/accounts_payable.js,Ageing Range 3,Vergrijzing Range 3
DocType: POS Closing Voucher Details,POS Closing Voucher Details,POS-sluitingsbondetails
DocType: Bank Account,Is the Default Account,Is het standaardaccount
DocType: Shopify Log,Shopify Log,Shopify Log
apps/erpnext/erpnext/public/js/call_popup/call_popup.js,No communication found.,Geen communicatie gevonden.
DocType: Inpatient Occupancy,Check In,Check in
apps/erpnext/erpnext/accounts/doctype/payment_request/payment_request.js,Create Payment Entry,Maak betalingsinvoer
DocType: Maintenance Schedule Item,No of Visits,Aantal bezoeken
apps/erpnext/erpnext/maintenance/doctype/maintenance_schedule/maintenance_schedule.py,Maintenance Schedule {0} exists against {1},Onderhoudsplan {0} bestaat tegen {1}
apps/erpnext/erpnext/education/doctype/student_applicant/student_applicant.js,Enrolling student,student die zich inschrijft
apps/erpnext/erpnext/accounts/doctype/period_closing_voucher/period_closing_voucher.py,Currency of the Closing Account must be {0},Valuta van de Closing rekening moet worden {0}
apps/erpnext/erpnext/healthcare/doctype/patient_appointment/patient_appointment.py,"Appointment overlaps with {0}.<br> {1} has appointment scheduled
			with {2} at {3} having {4} minute(s) duration.",Afspraak overlapt met {0}. <br> {1} heeft een afspraak gepland met {2} om {3} met een duur van {4} minuut (minuten).
apps/erpnext/erpnext/hr/doctype/appraisal_template/appraisal_template.py,Sum of points for all goals should be 100. It is {0},Som van de punten voor alle doelen moeten zijn 100. Het is {0}
DocType: Project,Start and End Dates,Begin- en einddatum
DocType: Contract Template Fulfilment Terms,Contract Template Fulfilment Terms,Contractsjabloon nakomingstermijnen
,Delivered Items To Be Billed,Geleverde Artikelen nog te factureren
DocType: Coupon Code,Maximum Use,Maximaal gebruik
apps/erpnext/erpnext/manufacturing/doctype/bom/bom_item_preview.html,Open BOM {0},Open BOM {0}
apps/erpnext/erpnext/stock/doctype/serial_no/serial_no.py,Warehouse cannot be changed for Serial No.,Magazijn kan niet worden gewijzigd voor Serienummer
DocType: Authorization Rule,Average Discount,Gemiddelde korting
DocType: Pricing Rule,UOM,UOM
DocType: Employee Tax Exemption Declaration,Annual HRA Exemption,Jaarlijkse HRA-vrijstelling
DocType: Rename Tool,Utilities,Utilities
DocType: POS Profile,Accounting,Boekhouding
DocType: Asset,Purchase Receipt Amount,Aankoopbedrag
DocType: Employee Separation,Exit Interview Summary,Sluit de samenvatting van het interview af
apps/erpnext/erpnext/public/js/utils/serial_no_batch_selector.js,Please select batches for batched item ,Selecteer batches voor batched item
DocType: Asset,Depreciation Schedules,afschrijvingen Roosters
apps/erpnext/erpnext/projects/doctype/timesheet/timesheet.js,Create Sales Invoice,Creëer verkoopfactuur
apps/erpnext/erpnext/regional/doctype/gstr_3b_report/gstr_3b_report.html,Ineligible ITC,Niet in aanmerking komende ITC
DocType: Task,Dependent Tasks,Afhankelijke taken
apps/erpnext/erpnext/regional/report/gstr_1/gstr_1.py,Following accounts might be selected in GST Settings:,Volgende accounts kunnen worden geselecteerd in GST-instellingen:
apps/erpnext/erpnext/manufacturing/report/bom_stock_report/bom_stock_report.js,Quantity to Produce,Te produceren hoeveelheid
apps/erpnext/erpnext/hr/doctype/leave_application/leave_application.py,Application period cannot be outside leave allocation period,Aanvraagperiode kan buiten verlof toewijzingsperiode niet
DocType: Activity Cost,Projects,Projecten
DocType: Payment Request,Transaction Currency,transactie Munt
apps/erpnext/erpnext/controllers/buying_controller.py,From {0} | {1} {2},Van {0} | {1} {2}
apps/erpnext/erpnext/public/js/hub/marketplace.js,Some emails are invalid,Sommige e-mails zijn ongeldig
DocType: Work Order Operation,Operation Description,Operatie Beschrijving
apps/erpnext/erpnext/accounts/doctype/fiscal_year/fiscal_year.py,Cannot change Fiscal Year Start Date and Fiscal Year End Date once the Fiscal Year is saved.,Kan boekjaar startdatum en einddatum niet wijzigen eenmaal het boekjaar is opgeslagen.
DocType: Quotation,Shopping Cart,Winkelwagen
apps/erpnext/erpnext/stock/report/itemwise_recommended_reorder_level/itemwise_recommended_reorder_level.py,Avg Daily Outgoing,Gem Daily Uitgaande
DocType: POS Profile,Campaign,Campagne
DocType: Supplier,Name and Type,Naam en Type
apps/erpnext/erpnext/public/js/hub/pages/Item.vue,Item Reported,Artikel gemeld
apps/erpnext/erpnext/hr/doctype/expense_claim/expense_claim.py,Approval Status must be 'Approved' or 'Rejected',Goedkeuring Status moet worden ' goedgekeurd ' of ' Afgewezen '
DocType: Healthcare Practitioner,Contacts and Address,Contacten en adres
DocType: Shift Type,Determine Check-in and Check-out,Bepaal het in- en uitchecken
DocType: Salary Structure,Max Benefits (Amount),Max. Voordelen (bedrag)
apps/erpnext/erpnext/templates/includes/cart/cart_items.html,Add notes,Notities toevoegen
DocType: Purchase Invoice,Contact Person,Contactpersoon
apps/erpnext/erpnext/projects/doctype/task/task.py,'Expected Start Date' can not be greater than 'Expected End Date','Verwacht Startdatum' kan niet groter zijn dan 'Verwachte Einddatum'
apps/erpnext/erpnext/selling/page/sales_funnel/sales_funnel.js,No data for this period,Geen gegevens voor deze periode
DocType: Course Scheduling Tool,Course End Date,Cursus Einddatum
DocType: Holiday List,Holidays,Feestdagen
DocType: Sales Order Item,Planned Quantity,Gepland Aantal
DocType: Water Analysis,Water Analysis Criteria,Criteria voor wateranalyse
DocType: Item,Maintain Stock,Handhaaf Stock
DocType: Terms and Conditions,Applicable Modules,Toepasselijke modules
DocType: Employee,Prefered Email,Prefered Email
DocType: Student Admission,Eligibility and Details,Geschiktheid en details
apps/erpnext/erpnext/accounts/report/gross_and_net_profit_report/gross_and_net_profit_report.py,Included in Gross Profit,Opgenomen in brutowinst
apps/erpnext/erpnext/accounts/report/cash_flow/cash_flow.py,Net Change in Fixed Asset,Netto wijziging in vaste activa
apps/erpnext/erpnext/manufacturing/report/bom_stock_calculated/bom_stock_calculated.py,Reqd Qty,Gewenste hoeveelheid
apps/erpnext/erpnext/controllers/accounts_controller.py,Charge of type 'Actual' in row {0} cannot be included in Item Rate,Charge van het type ' Actual ' in rij {0} kan niet worden opgenomen in Item Rate
apps/erpnext/erpnext/manufacturing/doctype/work_order/work_order.js,Max: {0},Max: {0}
apps/erpnext/erpnext/projects/report/daily_timesheet_summary/daily_timesheet_summary.py,From Datetime,Van Datetime
DocType: Shopify Settings,For Company,Voor Bedrijf
apps/erpnext/erpnext/buying/doctype/request_for_quotation/request_for_quotation.py,"Request for Quotation is disabled to access from portal, for more check portal settings.","Offerte is uitgeschakeld om de toegang van portal, voor meer controle portaal instellingen."
DocType: Supplier Scorecard Scoring Variable,Supplier Scorecard Scoring Variable,Leverancier Scorecard Scorevariabele
apps/erpnext/erpnext/accounts/report/gross_profit/gross_profit.py,Buying Amount,Aankoop Bedrag
DocType: POS Closing Voucher,Modes of Payment,Wijze van betaling
DocType: Sales Invoice,Shipping Address Name,Verzenden Adres Naam
apps/erpnext/erpnext/accounts/doctype/account/account.js,Chart of Accounts,Rekeningschema
DocType: Material Request,Terms and Conditions Content,Algemene Voorwaarden Inhoud
apps/erpnext/erpnext/education/doctype/course_scheduling_tool/course_scheduling_tool.js,There were errors creating Course Schedule,Er zijn fouten opgetreden bij het maken van cursusplanning
DocType: Communication Medium,Timeslots,timeslots
DocType: Department,The first Expense Approver in the list will be set as the default Expense Approver.,De eerste onkostende goedkeurder in de lijst wordt ingesteld als de standaard kostenaannemer.
apps/erpnext/erpnext/accounts/doctype/sales_invoice/sales_invoice.js,cannot be greater than 100,mag niet groter zijn dan 100
apps/erpnext/erpnext/public/js/hub/marketplace.js,You need to be a user other than Administrator with System Manager and Item Manager roles to register on Marketplace.,U moet een andere gebruiker dan Administrator met System Manager en Item Manager-rollen zijn om zich te registreren op Marketplace.
apps/erpnext/erpnext/stock/doctype/item/item.py,Item {0} is not a stock Item,Artikel {0} is geen voorraadartikel
DocType: Packing Slip,MAT-PAC-.YYYY.-,MAT-PAC-.YYYY.-
DocType: Maintenance Visit,Unscheduled,Ongeplande
DocType: Employee,Owned,Eigendom
DocType: Pricing Rule,"Higher the number, higher the priority","Hoe hoger het getal, hoe hoger de prioriteit"
,Purchase Invoice Trends,Inkoopfactuur Trends
apps/erpnext/erpnext/www/all-products/not_found.html,No products found,Geen producten gevonden
DocType: Employee,Better Prospects,Betere vooruitzichten
DocType: Travel Itinerary,Gluten Free,Glutenvrij
DocType: Loyalty Program Collection,Minimum Total Spent,Minimaal totaal besteed
apps/erpnext/erpnext/stock/doctype/batch/batch.py,"Row #{0}: The batch {1} has only {2} qty. Please select another batch which has {3} qty available or split the row into multiple rows, to deliver/issue from multiple batches","Rij # {0}: De partij {1} heeft slechts {2} aantal. Selecteer alstublieft een andere partij die {3} beschikbaar heeft of verdeel de rij in meerdere rijen, om te leveren / uit te voeren vanuit meerdere batches"
DocType: Loyalty Program,Expiry Duration (in days),Vervaltijd (in dagen)
DocType: Inpatient Record,Discharge Date,Ontslagdatum
DocType: Subscription Plan,Price Determination,Prijsbepaling
DocType: Vehicle,License Plate,Nummerplaat
apps/erpnext/erpnext/hr/doctype/department/department_tree.js,New Department,Nieuwe afdeling
DocType: Compensatory Leave Request,Worked On Holiday,Werkte aan vakantie
DocType: Appraisal,Goals,Doelen
DocType: Support Settings,Allow Resetting Service Level Agreement,Sta resetten Service Level Agreement toe
apps/erpnext/erpnext/selling/page/point_of_sale/point_of_sale.js,Select POS Profile,Selecteer POS-profiel
DocType: Warranty Claim,Warranty / AMC Status,Garantie / AMC Status
,Accounts Browser,Rekeningen Verkenner
DocType: Procedure Prescription,Referral,Doorverwijzing
DocType: Payment Entry Reference,Payment Entry Reference,Betaling Entry Reference
DocType: GL Entry,GL Entry,GL Entry
DocType: Support Search Source,Response Options,Antwoord opties
DocType: Pricing Rule,Apply Multiple Pricing Rules,Pas meerdere prijsregels toe
DocType: HR Settings,Employee Settings,Werknemer Instellingen
apps/erpnext/erpnext/templates/pages/integrations/gocardless_checkout.html,Loading Payment System,Loading Payment System
,Batch-Wise Balance History,Batchgewijze balansgeschiedenis
apps/erpnext/erpnext/controllers/accounts_controller.py,Row #{0}: Cannot set Rate if amount is greater than billed amount for Item {1}.,Rij # {0}: kan Tarief niet instellen als het bedrag groter is dan het gefactureerde bedrag voor artikel {1}.
apps/erpnext/erpnext/accounts/doctype/cheque_print_template/cheque_print_template.js,Print settings updated in respective print format,Print instellingen bijgewerkt in de respectievelijke gedrukte vorm
DocType: Package Code,Package Code,Package Code
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py,Apprentice,leerling
DocType: Purchase Invoice,Company GSTIN,Bedrijf GSTIN
apps/erpnext/erpnext/stock/doctype/stock_reconciliation/stock_reconciliation.py,Negative Quantity is not allowed,Negatieve Hoeveelheid is niet toegestaan
DocType: Purchase Invoice Item,"Tax detail table fetched from item master as a string and stored in this field.
Used for Taxes and Charges","Belasting detail tafel haalden van post meester als een string en opgeslagen in dit gebied.
 Gebruikt voor en -heffingen"
apps/erpnext/erpnext/hr/doctype/employee/employee.py,Employee cannot report to himself.,Werknemer kan niet rapporteren aan zichzelf.
apps/erpnext/erpnext/templates/pages/order.html,Rate:,rate:
DocType: Bank Account,Change this date manually to setup the next synchronization start date,Wijzig deze datum handmatig om de volgende startdatum van de synchronisatie in te stellen
DocType: Leave Type,Max Leaves Allowed,Max. Bladeren toegestaan
DocType: Account,"If the account is frozen, entries are allowed to restricted users.","Als de rekening is bevroren, kunnen boekingen alleen door daartoe bevoegde gebruikers gedaan worden."
DocType: Email Digest,Bank Balance,Banksaldo
apps/erpnext/erpnext/controllers/accounts_controller.py,Accounting Entry for {0}: {1} can only be made in currency: {2},Rekening ingave voor {0}: {1} kan alleen worden gedaan in valuta: {2}
DocType: HR Settings,Leave Approver Mandatory In Leave Application,Verlaat Approver Verplicht in verlof applicatie
DocType: Job Opening,"Job profile, qualifications required etc.","Functieprofiel, benodigde kwalificaties enz."
DocType: Journal Entry Account,Account Balance,Rekeningbalans
apps/erpnext/erpnext/config/accounting.py,Tax Rule for transactions.,Fiscale Regel voor transacties.
DocType: Rename Tool,Type of document to rename.,Type document te hernoemen.
apps/erpnext/erpnext/accounts/doctype/chart_of_accounts_importer/chart_of_accounts_importer.js,Resolve error and upload again.,Los de fout op en upload opnieuw.
DocType: Buying Settings,Over Transfer Allowance (%),Overdrachtstoeslag (%)
apps/erpnext/erpnext/accounts/doctype/gl_entry/gl_entry.py,{0} {1}: Customer is required against Receivable account {2},{0} {1}: een klant is vereist voor Te Ontvangen rekening {2}
DocType: Purchase Invoice,Total Taxes and Charges (Company Currency),Totaal belastingen en toeslagen (Bedrijfsvaluta)
DocType: Weather,Weather Parameter,Weerparameter
apps/erpnext/erpnext/accounts/report/trial_balance/trial_balance.js,Show unclosed fiscal year's P&L balances,Toon ongesloten fiscale jaar P &amp; L saldi
DocType: Item,Asset Naming Series,Asset Naming Series
DocType: Appraisal,HR-APR-.YY.-.MM.,HR-APR-.YY.-.MM.
apps/erpnext/erpnext/regional/india/utils.py,House rented dates should be atleast 15 days apart,Huis gehuurde datums moeten ten minste 15 dagen uit elkaar liggen
DocType: Clinical Procedure Template,Collection Details,Collectie Details
DocType: POS Profile,Allow Print Before Pay,Sta Print vóór betalen toe
DocType: Linked Soil Texture,Linked Soil Texture,Gekoppelde bodemtextuur
DocType: Shipping Rule,Shipping Account,Verzending Rekening
apps/erpnext/erpnext/accounts/doctype/gl_entry/gl_entry.py,{0} {1}: Account {2} is inactive,{0} {1}: Account {2} is niet actief
DocType: GSTR 3B Report,March,maart
DocType: Bank Statement Transaction Entry,Bank Transaction Entries,Banktransactieposten
DocType: Quality Inspection,Readings,Lezingen
DocType: Stock Entry,Total Additional Costs,Totaal Bijkomende kosten
DocType: Quality Action,Quality Action,Kwaliteitsactie
apps/erpnext/erpnext/crm/report/lead_conversion_time/lead_conversion_time.py,No of Interactions,Aantal interacties
DocType: BOM,Scrap Material Cost(Company Currency),Scrap Materiaal Kosten (Company Munt)
apps/erpnext/erpnext/support/doctype/service_level/service_level.py,"Set Start Time and End Time for  \
					Support Day {0} at index {1}.",Stel Starttijd en Eindtijd in voor \ Support Day {0} op index {1}.
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py,Sub Assemblies,Uitbesteed werk
DocType: Asset,Asset Name,Asset Naam
DocType: Employee Boarding Activity,Task Weight,Task Weight
DocType: Shipping Rule Condition,To Value,Tot Waarde
DocType: Accounts Settings,Automatically Add Taxes and Charges from Item Tax Template,Automatisch belastingen en heffingen toevoegen op basis van sjabloon voor artikelbelasting
DocType: Loyalty Program,Loyalty Program Type,Type loyaliteitsprogramma
DocType: Asset Movement,Stock Manager,Stock Manager
apps/erpnext/erpnext/stock/doctype/stock_entry/stock_entry.py,Source warehouse is mandatory for row {0},Bron magazijn is verplicht voor rij {0}
apps/erpnext/erpnext/accounts/doctype/payment_terms_template/payment_terms_template.py,The Payment Term at row {0} is possibly a duplicate.,De betalingstermijn op rij {0} is mogelijk een duplicaat.
apps/erpnext/erpnext/public/js/setup_wizard.js,Agriculture (beta),Landbouw (bèta)
apps/erpnext/erpnext/stock/doctype/delivery_note/delivery_note.js,Packing Slip,Pakbon
apps/erpnext/erpnext/accounts/doctype/account/chart_of_accounts/verified/standard_chart_of_accounts_with_account_number.py,Office Rent,Kantoorhuur
apps/erpnext/erpnext/config/settings.py,Setup SMS gateway settings,Instellingen SMS gateway
DocType: Disease,Common Name,Gemeenschappelijke naam
DocType: Customer Feedback Template Table,Customer Feedback Template Table,Sjabloontabel klantfeedback
DocType: Employee Boarding Activity,Employee Boarding Activity,Employee Boarding Activity
apps/erpnext/erpnext/public/js/templates/address_list.html,No address added yet.,Nog geen adres toegevoegd.
DocType: Workstation Working Hour,Workstation Working Hour,Werkstation Werkuur
DocType: Vital Signs,Blood Pressure,Bloeddruk
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py,Analyst,analist
apps/erpnext/erpnext/hr/doctype/employee_benefit_claim/employee_benefit_claim.py,{0} is not in a valid Payroll Period,{0} bevindt zich niet in een geldige Payroll-periode
DocType: Employee Benefit Application,Max Benefits (Yearly),Max. Voordelen (jaarlijks)
DocType: Item,Inventory,Voorraad
apps/erpnext/erpnext/regional/report/gstr_1/gstr_1.js,Download as Json,Downloaden als Json
DocType: Item,Sales Details,Verkoop Details
DocType: Coupon Code,Used,Gebruikt
DocType: Opportunity,With Items,Met Items
apps/erpnext/erpnext/crm/doctype/email_campaign/email_campaign.py,The Campaign '{0}' already exists for the {1} '{2}',De campagne &#39;{0}&#39; bestaat al voor de {1} &#39;{2}&#39;
DocType: Asset Maintenance,Maintenance Team,Onderhoudsteam
DocType: Homepage Section,"Order in which sections should appear. 0 is first, 1 is second and so on.","Volgorde waarin secties moeten verschijnen. 0 is eerste, 1 is tweede enzovoort."
apps/erpnext/erpnext/stock/report/batch_wise_balance_history/batch_wise_balance_history.py,In Qty,in Aantal
DocType: Education Settings,Validate Enrolled Course for Students in Student Group,Valideer ingeschreven cursus voor studenten in de studentengroep
DocType: Item,Item Attribute,Item Attribute
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py,Government,Overheid
apps/erpnext/erpnext/hr/doctype/vehicle_log/vehicle_log.py,Expense Claim {0} already exists for the Vehicle Log,Declaratie {0} bestaat al voor de Vehicle Log
DocType: Asset Movement,Source Location,Bronlocatie
apps/erpnext/erpnext/public/js/setup_wizard.js,Institute Name,naam van het instituut
apps/erpnext/erpnext/hr/doctype/loan/loan.py,Please enter repayment Amount,Vul hier terug te betalen bedrag
DocType: Shift Type,Working Hours Threshold for Absent,Werkuren drempel voor afwezig
