DocType: Accounting Period,Period Name,Periode Navn
apps/erpnext/erpnext/accounts/doctype/shipping_rule/shipping_rule.py,Shipping rule not applicable for country {0},Fraktregel gjelder ikke for land {0}
DocType: Item,Foreign Trade Details,Foreign Trade Detaljer
,Assessment Plan Status,Evalueringsplan Status
DocType: Email Digest,Annual Income,Årsinntekt
DocType: Serial No,Serial No Details,Serie ingen opplysninger
DocType: Purchase Invoice Item,Item Tax Rate,Sak Skattesats
apps/erpnext/erpnext/regional/report/eway_bill/eway_bill.py,From Party Name,Fra Festnavn
apps/erpnext/erpnext/hr/report/bank_remittance/bank_remittance.py,Net Salary Amount,Netto lønnsmengde
DocType: Pick List,Delivery against Sales Order,Levering mot salgsordre
DocType: Student Group Student,Group Roll Number,Gruppe-nummer
DocType: Student Group Student,Group Roll Number,Gruppe-nummer
apps/erpnext/erpnext/accounts/doctype/journal_entry/journal_entry.py,"For {0}, only credit accounts can be linked against another debit entry",For {0} kan bare kredittkontoer kobles mot en annen belastning oppføring
apps/erpnext/erpnext/accounts/doctype/sales_invoice/sales_invoice.py,Delivery Note {0} is not submitted,Levering Note {0} er ikke innsendt
apps/erpnext/erpnext/stock/get_item_details.py,Item {0} must be a Sub-contracted Item,Elementet {0} må være en underleverandør Element
apps/erpnext/erpnext/accounts/doctype/account/chart_of_accounts/verified/standard_chart_of_accounts_with_account_number.py,Capital Equipments,Capital Equipments
apps/erpnext/erpnext/accounts/doctype/pricing_rule/pricing_rule.js,"Pricing Rule is first selected based on 'Apply On' field, which can be Item, Item Group or Brand.","Prising Rule først valgt basert på &quot;Apply On-feltet, som kan være varen, varegruppe eller Brand."
apps/erpnext/erpnext/manufacturing/doctype/work_order/work_order.js,Please set the Item Code first,Vennligst sett inn varenummeret først
apps/erpnext/erpnext/regional/report/eway_bill/eway_bill.py,Doc Type,Doc Type
apps/erpnext/erpnext/controllers/selling_controller.py,Total allocated percentage for sales team should be 100,Totalt bevilget prosent for salgsteam skal være 100
DocType: Subscription Plan,Billing Interval Count,Faktureringsintervalltelling
apps/erpnext/erpnext/hr/doctype/employee_transfer/employee_transfer.py,"Please delete the Employee <a href=""#Form/Employee/{0}"">{0}</a>\
					to cancel this document","Slett ansatt <a href=""#Form/Employee/{0}"">{0}</a> \ for å avbryte dette dokumentet"
apps/erpnext/erpnext/healthcare/doctype/healthcare_practitioner/healthcare_practitioner_dashboard.py,Appointments and Patient Encounters,Utnevnelser og pasientmøter
apps/erpnext/erpnext/hr/doctype/employee_promotion/employee_promotion.js,Value missing,Verdi mangler
DocType: Employee,Department and Grade,Avdeling og karakter
DocType: Antibiotic,Antibiotic,Antibiotika
,Team Updates,laget Oppdateringer
apps/erpnext/erpnext/accounts/doctype/payment_order/payment_order.js,For Supplier,For Leverandør
DocType: Account,Setting Account Type helps in selecting this Account in transactions.,Stille Kontotype hjelper i å velge denne kontoen i transaksjoner.
DocType: Purchase Invoice,Grand Total (Company Currency),Grand Total (Selskap Valuta)
apps/erpnext/erpnext/accounts/doctype/cheque_print_template/cheque_print_template.js,Create Print Format,Opprett Print Format
apps/erpnext/erpnext/education/doctype/fee_schedule/fee_schedule_list.js,Fee Created,Avgift er opprettet
apps/erpnext/erpnext/utilities/bot.py,Did not find any item called {0},Fant ikke noe element som heter {0}
apps/erpnext/erpnext/stock/report/item_prices/item_prices.js,Items Filter,Elementer Filter
DocType: Supplier Scorecard Criteria,Criteria Formula,Kriterier Formel
apps/erpnext/erpnext/stock/report/itemwise_recommended_reorder_level/itemwise_recommended_reorder_level.py,Total Outgoing,Total Utgående
apps/erpnext/erpnext/accounts/doctype/shipping_rule/shipping_rule.py,"There can only be one Shipping Rule Condition with 0 or blank value for ""To Value""",Det kan bare være én Shipping Rule Forhold med 0 eller blank verdi for &quot;å verd&quot;
DocType: Bank Statement Transaction Settings Item,Transaction,Transaksjons
DocType: Call Log,Duration,Varighet
apps/erpnext/erpnext/controllers/status_updater.py,"For an item {0}, quantity must be positive number",For et element {0} må mengden være positivt tall
apps/erpnext/erpnext/accounts/doctype/cost_center/cost_center.js,Note: This Cost Center is a Group. Cannot make accounting entries against groups.,Merk: Denne Cost Center er en gruppe. Kan ikke gjøre regnskapspostene mot grupper.
apps/erpnext/erpnext/hr/doctype/compensatory_leave_request/compensatory_leave_request.py,Compensatory leave request days not in valid holidays,Kompensasjonsorlov forespørselsdager ikke i gyldige helligdager
apps/erpnext/erpnext/stock/doctype/warehouse/warehouse.py,Child warehouse exists for this warehouse. You can not delete this warehouse.,Barn lager finnes for dette lageret. Du kan ikke slette dette lageret.
DocType: Item,Website Item Groups,Website varegrupper
DocType: Purchase Invoice,Total (Company Currency),Total (Company Valuta)
DocType: Daily Work Summary Group,Reminder,påminnelse
apps/erpnext/erpnext/regional/report/eway_bill/eway_bill.py,Accessable Value,Tilgjengelig verdi
apps/erpnext/erpnext/stock/utils.py,Serial number {0} entered more than once,Serienummer {0} angitt mer enn én gang
DocType: Bank Statement Transaction Invoice Item,Journal Entry,Journal Entry
apps/erpnext/erpnext/regional/report/eway_bill/eway_bill.py,From GSTIN,Fra GSTIN
DocType: Expense Claim Advance,Unclaimed amount,Uoppfordret beløp
apps/erpnext/erpnext/manufacturing/doctype/work_order/work_order.js,{0} items in progress,{0} elementer i fremgang
DocType: Workstation,Workstation Name,Arbeidsstasjon Name
DocType: Grading Scale Interval,Grade Code,grade Kode
DocType: POS Item Group,POS Item Group,POS Varegruppe
apps/erpnext/erpnext/setup/doctype/email_digest/email_digest.js,Email Digest:,E-post Digest:
apps/erpnext/erpnext/stock/doctype/item_alternative/item_alternative.py,Alternative item must not be same as item code,Alternativt element må ikke være det samme som varenummer
apps/erpnext/erpnext/manufacturing/doctype/bom/bom.py,BOM {0} does not belong to Item {1},BOM {0} tilhører ikke Element {1}
DocType: Promotional Scheme,Product Discount Slabs,Produktrabattplater
DocType: Target Detail,Target Distribution,Target Distribution
DocType: Purchase Invoice,06-Finalization of Provisional assessment,06-Finalisering av foreløpig vurdering
apps/erpnext/erpnext/erpnext_integrations/doctype/tally_migration/tally_migration.py,Importing Parties and Addresses,Importere parter og adresser
DocType: Salary Slip,Bank Account No.,Bank Account No.
DocType: Naming Series,This is the number of the last created transaction with this prefix,Dette er nummeret på den siste laget transaksjonen med dette prefikset
DocType: Supplier Scorecard,"Scorecard variables can be used, as well as:
{total_score} (the total score from that period),
{period_number} (the number of periods to present day)
","Scorecard-variabler kan brukes, så vel som: {total_score} (totalpoengsummen fra den perioden), {period_number} (antall perioder i dag)"
apps/erpnext/erpnext/manufacturing/doctype/blanket_order/blanket_order.js,Create Purchase Order,Opprett innkjøpsordre
DocType: Quality Inspection Reading,Reading 8,Reading 8
DocType: Inpatient Record,Discharge Note,Utladningsnotat
apps/erpnext/erpnext/config/desktop.py,Getting Started,Starter
DocType: Purchase Invoice,Taxes and Charges Calculation,Skatter og avgifter Beregning
DocType: Accounts Settings,Book Asset Depreciation Entry Automatically,Bokføring av aktivavskrivninger automatisk
DocType: Accounts Settings,Book Asset Depreciation Entry Automatically,Bokføring av aktivavskrivninger automatisk
DocType: BOM Operation,Workstation,Arbeidsstasjon
DocType: Request for Quotation Supplier,Request for Quotation Supplier,Forespørsel om prisanslag Leverandør
DocType: Healthcare Settings,Registration Message,Registreringsmelding
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py,Hardware,Hardware
DocType: Prescription Dosage,Prescription Dosage,Reseptdosering
DocType: Contract,HR Manager,HR Manager
apps/erpnext/erpnext/accounts/party.py,Please select a Company,Vennligst velg et selskap
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py,Privilege Leave,Privilege La
DocType: Purchase Invoice,Supplier Invoice Date,Leverandør Fakturadato
apps/erpnext/erpnext/shopping_cart/doctype/shopping_cart_settings/shopping_cart_settings.py,You need to enable Shopping Cart,Du må aktivere Handlevogn
DocType: Payment Entry,Writeoff,writeoff
DocType: Maintenance Visit,MAT-MVS-.YYYY.-,MAT-MVS-.YYYY.-
DocType: HR Settings,<b>Example:</b> SAL-{first_name}-{date_of_birth.year} <br>This will generate a password like SAL-Jane-1972,<b>Eksempel:</b> SAL- {first_name} - {date_of_birth.year} <br> Dette vil generere et passord som SAL-Jane-1972
DocType: Stock Settings,Naming Series Prefix,Naming Series Prefix
DocType: Appraisal Template Goal,Appraisal Template Goal,Appraisal Mal Goal
DocType: Salary Component,Earning,Tjene
DocType: Supplier Scorecard,Scoring Criteria,Scoringskriterier
DocType: Purchase Invoice,Party Account Currency,Partiet konto Valuta
DocType: Delivery Trip,Total Estimated Distance,Totalt estimert avstand
DocType: Invoice Discounting,Accounts Receivable Unpaid Account,Kundefordringer Ubetalt konto
DocType: Tally Migration,Tally Company,Tally Company
apps/erpnext/erpnext/config/manufacturing.py,BOM Browser,BOM Nettleser
apps/erpnext/erpnext/accounts/doctype/accounting_dimension/accounting_dimension.py,Not allowed to create accounting dimension for {0},Ikke tillatt å opprette regnskapsmessig dimensjon for {0}
apps/erpnext/erpnext/templates/emails/training_event.html,Please update your status for this training event,Vennligst oppdatere statusen din for denne treningshendelsen
DocType: Item Barcode,EAN,EAN
DocType: Purchase Taxes and Charges,Add or Deduct,Legge til eller trekke fra
apps/erpnext/erpnext/accounts/doctype/shipping_rule/shipping_rule.py,Overlapping conditions found between:,Overlappende vilkår funnet mellom:
DocType: Bank Transaction Mapping,Field in Bank Transaction,Felt i banktransaksjon
apps/erpnext/erpnext/accounts/doctype/gl_entry/gl_entry.py,Against Journal Entry {0} is already adjusted against some other voucher,Mot Journal Entry {0} er allerede justert mot en annen kupong
,Inactive Sales Items,Inaktive salgsvarer
DocType: Quality Review,Additional Information,Tilleggsinformasjon
apps/erpnext/erpnext/selling/report/inactive_customers/inactive_customers.py,Total Order Value,Total ordreverdi
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py,Food,Mat
apps/erpnext/erpnext/accounts/report/accounts_payable/accounts_payable.js,Ageing Range 3,Aldring Range 3
DocType: POS Closing Voucher Details,POS Closing Voucher Details,POS Closing Voucher Detaljer
DocType: Bank Account,Is the Default Account,Er standardkontoen
DocType: Shopify Log,Shopify Log,Shopify Log
apps/erpnext/erpnext/public/js/call_popup/call_popup.js,No communication found.,Ingen kommunikasjon funnet.
DocType: Inpatient Occupancy,Check In,Sjekk inn
apps/erpnext/erpnext/accounts/doctype/payment_request/payment_request.js,Create Payment Entry,Opprett betalingsoppføring
DocType: Maintenance Schedule Item,No of Visits,Ingen av besøk
apps/erpnext/erpnext/maintenance/doctype/maintenance_schedule/maintenance_schedule.py,Maintenance Schedule {0} exists against {1},Vedlikeholdsplan {0} eksisterer mot {1}
apps/erpnext/erpnext/education/doctype/student_applicant/student_applicant.js,Enrolling student,påmelding student
apps/erpnext/erpnext/accounts/doctype/period_closing_voucher/period_closing_voucher.py,Currency of the Closing Account must be {0},Valuta ifølge kursen konto må være {0}
apps/erpnext/erpnext/healthcare/doctype/patient_appointment/patient_appointment.py,"Appointment overlaps with {0}.<br> {1} has appointment scheduled
			with {2} at {3} having {4} minute(s) duration.",Avtalen overlapper med {0}. <br> {1} har planlagt avtale med {2} kl {3} med {4} minutt (er) varighet.
apps/erpnext/erpnext/hr/doctype/appraisal_template/appraisal_template.py,Sum of points for all goals should be 100. It is {0},Summen av poeng for alle mål bør være 100. Det er {0}
DocType: Project,Start and End Dates,Start- og sluttdato
DocType: Contract Template Fulfilment Terms,Contract Template Fulfilment Terms,Kontraktsmall Fulfillment Vilkår
,Delivered Items To Be Billed,Leverte varer til å bli fakturert
DocType: Coupon Code,Maximum Use,Maksimal bruk
apps/erpnext/erpnext/manufacturing/doctype/bom/bom_item_preview.html,Open BOM {0},Åpen BOM {0}
apps/erpnext/erpnext/stock/doctype/serial_no/serial_no.py,Warehouse cannot be changed for Serial No.,Warehouse kan ikke endres for Serial No.
DocType: Authorization Rule,Average Discount,Gjennomsnittlig Rabatt
DocType: Pricing Rule,UOM,målenheter
DocType: Employee Tax Exemption Declaration,Annual HRA Exemption,Årlig HRA-fritak
DocType: Rename Tool,Utilities,Verktøy
DocType: POS Profile,Accounting,Regnskap
DocType: Asset,Purchase Receipt Amount,Kjøpsbevisbeløp
DocType: Employee Separation,Exit Interview Summary,Avslutt Intervju Sammendrag
apps/erpnext/erpnext/public/js/utils/serial_no_batch_selector.js,Please select batches for batched item ,Vennligst velg batch for batched item
DocType: Asset,Depreciation Schedules,avskrivninger tidsplaner
apps/erpnext/erpnext/projects/doctype/timesheet/timesheet.js,Create Sales Invoice,Lag salgsfaktura
apps/erpnext/erpnext/regional/doctype/gstr_3b_report/gstr_3b_report.html,Ineligible ITC,Ikke-kvalifisert ITC
DocType: Task,Dependent Tasks,Avhengige oppgaver
apps/erpnext/erpnext/regional/report/gstr_1/gstr_1.py,Following accounts might be selected in GST Settings:,Følgende kontoer kan velges i GST-innstillinger:
apps/erpnext/erpnext/manufacturing/report/bom_stock_report/bom_stock_report.js,Quantity to Produce,Mengde å produsere
apps/erpnext/erpnext/hr/doctype/leave_application/leave_application.py,Application period cannot be outside leave allocation period,Tegningsperioden kan ikke være utenfor permisjon tildeling periode
DocType: Activity Cost,Projects,Prosjekter
DocType: Payment Request,Transaction Currency,transaksjonsvaluta
apps/erpnext/erpnext/controllers/buying_controller.py,From {0} | {1} {2},Fra {0} | {1} {2}
apps/erpnext/erpnext/public/js/hub/marketplace.js,Some emails are invalid,Noen e-poster er ugyldige
DocType: Work Order Operation,Operation Description,Operasjon Beskrivelse
apps/erpnext/erpnext/accounts/doctype/fiscal_year/fiscal_year.py,Cannot change Fiscal Year Start Date and Fiscal Year End Date once the Fiscal Year is saved.,Kan ikke endre regnskapsåret Startdato og regnskapsår sluttdato når regnskapsåret er lagret.
DocType: Quotation,Shopping Cart,Handlevogn
apps/erpnext/erpnext/stock/report/itemwise_recommended_reorder_level/itemwise_recommended_reorder_level.py,Avg Daily Outgoing,Gjennomsnittlig Daily Utgående
DocType: POS Profile,Campaign,Kampanje
DocType: Supplier,Name and Type,Navn og Type
apps/erpnext/erpnext/public/js/hub/pages/Item.vue,Item Reported,Artikkel rapportert
apps/erpnext/erpnext/hr/doctype/expense_claim/expense_claim.py,Approval Status must be 'Approved' or 'Rejected',Godkjenningsstatus må være &quot;Godkjent&quot; eller &quot;Avvist&quot;
DocType: Healthcare Practitioner,Contacts and Address,Kontakter og adresse
DocType: Shift Type,Determine Check-in and Check-out,Bestem innsjekking og utsjekking
DocType: Salary Structure,Max Benefits (Amount),Maksimal fordel (beløp)
apps/erpnext/erpnext/templates/includes/cart/cart_items.html,Add notes,Legg til notater
DocType: Purchase Invoice,Contact Person,Kontaktperson
apps/erpnext/erpnext/projects/doctype/task/task.py,'Expected Start Date' can not be greater than 'Expected End Date',&#39;Tiltredelse&#39; ikke kan være større enn &quot;Forventet sluttdato
apps/erpnext/erpnext/selling/page/sales_funnel/sales_funnel.js,No data for this period,Ingen data for denne perioden
DocType: Course Scheduling Tool,Course End Date,Kurs Sluttdato
DocType: Holiday List,Holidays,Ferier
DocType: Sales Order Item,Planned Quantity,Planlagt Antall
DocType: Water Analysis,Water Analysis Criteria,Vannanalysekriterier
DocType: Item,Maintain Stock,Oppretthold Stock
DocType: Terms and Conditions,Applicable Modules,Gjeldende moduler
DocType: Employee,Prefered Email,foretrukne e-post
DocType: Student Admission,Eligibility and Details,Kvalifisering og detaljer
apps/erpnext/erpnext/accounts/report/gross_and_net_profit_report/gross_and_net_profit_report.py,Included in Gross Profit,Inkludert i brutto fortjeneste
apps/erpnext/erpnext/accounts/report/cash_flow/cash_flow.py,Net Change in Fixed Asset,Netto endring i Fixed Asset
apps/erpnext/erpnext/manufacturing/report/bom_stock_calculated/bom_stock_calculated.py,Reqd Qty,Reqd Antall
apps/erpnext/erpnext/controllers/accounts_controller.py,Charge of type 'Actual' in row {0} cannot be included in Item Rate,Charge of type &#39;Actual&#39; i rad {0} kan ikke inkluderes i Element Ranger
apps/erpnext/erpnext/manufacturing/doctype/work_order/work_order.js,Max: {0},Max: {0}
apps/erpnext/erpnext/projects/report/daily_timesheet_summary/daily_timesheet_summary.py,From Datetime,Fra Datetime
DocType: Shopify Settings,For Company,For selskapet
apps/erpnext/erpnext/buying/doctype/request_for_quotation/request_for_quotation.py,"Request for Quotation is disabled to access from portal, for more check portal settings.",Forespørsel om prisanslag er deaktivert tilgang fra portal for flere sjekkportalinnstillingene.
DocType: Supplier Scorecard Scoring Variable,Supplier Scorecard Scoring Variable,Leverandør Scorecard Scoring Variable
apps/erpnext/erpnext/accounts/report/gross_profit/gross_profit.py,Buying Amount,Kjøpe Beløp
DocType: POS Closing Voucher,Modes of Payment,Betalingsmåter
DocType: Sales Invoice,Shipping Address Name,Leveringsadresse Navn
apps/erpnext/erpnext/accounts/doctype/account/account.js,Chart of Accounts,Konto
DocType: Material Request,Terms and Conditions Content,Betingelser innhold
apps/erpnext/erpnext/education/doctype/course_scheduling_tool/course_scheduling_tool.js,There were errors creating Course Schedule,Det var feil å opprette kursplan
DocType: Communication Medium,Timeslots,Tidsluker
DocType: Department,The first Expense Approver in the list will be set as the default Expense Approver.,Den første utgiftsgodkjenningen i listen blir satt som standard utgiftsgodkjent.
apps/erpnext/erpnext/accounts/doctype/sales_invoice/sales_invoice.js,cannot be greater than 100,kan ikke være større enn 100
apps/erpnext/erpnext/public/js/hub/marketplace.js,You need to be a user other than Administrator with System Manager and Item Manager roles to register on Marketplace.,Du må være en annen bruker enn Administrator med System Manager og Item Manager roller for å registrere deg på Marketplace.
apps/erpnext/erpnext/stock/doctype/item/item.py,Item {0} is not a stock Item,Element {0} er ikke en lagervare
DocType: Packing Slip,MAT-PAC-.YYYY.-,MAT-PAC-.YYYY.-
DocType: Maintenance Visit,Unscheduled,Ikke planlagt
DocType: Employee,Owned,Eies
DocType: Pricing Rule,"Higher the number, higher the priority","Høyere tallet er, høyere prioritet"
,Purchase Invoice Trends,Fakturaen Trender
apps/erpnext/erpnext/www/all-products/not_found.html,No products found,Ingen produkter funnet
DocType: Employee,Better Prospects,Bedre utsikter
DocType: Travel Itinerary,Gluten Free,Glutenfri
DocType: Loyalty Program Collection,Minimum Total Spent,Minimum totalt brukt
apps/erpnext/erpnext/stock/doctype/batch/batch.py,"Row #{0}: The batch {1} has only {2} qty. Please select another batch which has {3} qty available or split the row into multiple rows, to deliver/issue from multiple batches",Row # {0}: Batch {1} har bare {2} antall. Vennligst velg en annen batch som har {3} antall tilgjengelig eller del opp raden i flere rader for å levere / utføre fra flere batcher
DocType: Loyalty Program,Expiry Duration (in days),Utløpsvarighet (i dager)
DocType: Inpatient Record,Discharge Date,Utladningsdato
DocType: Subscription Plan,Price Determination,Prisbestemmelse
DocType: Vehicle,License Plate,Bilskilt
apps/erpnext/erpnext/hr/doctype/department/department_tree.js,New Department,Ny avdeling
DocType: Compensatory Leave Request,Worked On Holiday,Jobbet på ferie
DocType: Appraisal,Goals,Mål
DocType: Support Settings,Allow Resetting Service Level Agreement,Tillat tilbakestilling av servicenivåavtale
apps/erpnext/erpnext/selling/page/point_of_sale/point_of_sale.js,Select POS Profile,Velg POS-profil
DocType: Warranty Claim,Warranty / AMC Status,Garanti / AMC Status
,Accounts Browser,Kontoer Browser
DocType: Procedure Prescription,Referral,Referral
DocType: Payment Entry Reference,Payment Entry Reference,Betaling Entry Reference
DocType: GL Entry,GL Entry,GL Entry
DocType: Support Search Source,Response Options,Svaralternativer
DocType: Pricing Rule,Apply Multiple Pricing Rules,Bruk flere prisregler
DocType: HR Settings,Employee Settings,Medarbeider Innstillinger
apps/erpnext/erpnext/templates/pages/integrations/gocardless_checkout.html,Loading Payment System,Laster inn betalingssystem
,Batch-Wise Balance History,Batch-Wise Balance Historie
apps/erpnext/erpnext/controllers/accounts_controller.py,Row #{0}: Cannot set Rate if amount is greater than billed amount for Item {1}.,Row # {0}: Kan ikke sette Rate hvis beløpet er større enn fakturert beløp for element {1}.
apps/erpnext/erpnext/accounts/doctype/cheque_print_template/cheque_print_template.js,Print settings updated in respective print format,Utskriftsinnstillingene oppdatert i respektive utskriftsformat
DocType: Package Code,Package Code,pakke kode
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py,Apprentice,Lærling
DocType: Purchase Invoice,Company GSTIN,Firma GSTIN
apps/erpnext/erpnext/stock/doctype/stock_reconciliation/stock_reconciliation.py,Negative Quantity is not allowed,Negative Antall er ikke tillatt
DocType: Purchase Invoice Item,"Tax detail table fetched from item master as a string and stored in this field.
Used for Taxes and Charges","Tax detalj tabell hentet fra elementet Hoved som en streng, og som er lagret på dette feltet. Brukes for skatter og avgifter"
apps/erpnext/erpnext/hr/doctype/employee/employee.py,Employee cannot report to himself.,Arbeidstaker kan ikke rapportere til seg selv.
apps/erpnext/erpnext/templates/pages/order.html,Rate:,Sats:
DocType: Bank Account,Change this date manually to setup the next synchronization start date,Endre denne datoen manuelt for å konfigurere neste dato for synkronisering
DocType: Leave Type,Max Leaves Allowed,Maks. Blader tillatt
DocType: Account,"If the account is frozen, entries are allowed to restricted users.","Hvis kontoen er fryst, er oppføringer lov til begrensede brukere."
DocType: Email Digest,Bank Balance,Bank Balanse
apps/erpnext/erpnext/controllers/accounts_controller.py,Accounting Entry for {0}: {1} can only be made in currency: {2},Regnskap Entry for {0}: {1} kan bare gjøres i valuta: {2}
DocType: HR Settings,Leave Approver Mandatory In Leave Application,La godkjenning være obligatorisk i permisjon
DocType: Job Opening,"Job profile, qualifications required etc.","Jobb profil, kvalifikasjoner som kreves etc."
DocType: Journal Entry Account,Account Balance,Saldo
apps/erpnext/erpnext/config/accounting.py,Tax Rule for transactions.,Skatteregel for transaksjoner.
DocType: Rename Tool,Type of document to rename.,Type dokument for å endre navn.
apps/erpnext/erpnext/accounts/doctype/chart_of_accounts_importer/chart_of_accounts_importer.js,Resolve error and upload again.,Løs feil og last opp igjen.
DocType: Buying Settings,Over Transfer Allowance (%),Overføringsgodtgjørelse (%)
apps/erpnext/erpnext/accounts/doctype/gl_entry/gl_entry.py,{0} {1}: Customer is required against Receivable account {2},{0} {1}: Kunden er nødvendig mot fordringer kontoen {2}
DocType: Purchase Invoice,Total Taxes and Charges (Company Currency),Totale skatter og avgifter (Selskapet valuta)
DocType: Weather,Weather Parameter,Værparameter
apps/erpnext/erpnext/accounts/report/trial_balance/trial_balance.js,Show unclosed fiscal year's P&L balances,Vis unclosed regnskapsårets P &amp; L balanserer
DocType: Item,Asset Naming Series,Asset Naming Series
DocType: Appraisal,HR-APR-.YY.-.MM.,HR-APR-.YY.-.MM.
apps/erpnext/erpnext/regional/india/utils.py,House rented dates should be atleast 15 days apart,Husleide datoer skal være minst 15 dager fra hverandre
DocType: Clinical Procedure Template,Collection Details,Samlingsdetaljer
DocType: POS Profile,Allow Print Before Pay,Tillat utskrift før betaling
DocType: Linked Soil Texture,Linked Soil Texture,Koblet jordstruktur
DocType: Shipping Rule,Shipping Account,Shipping konto
apps/erpnext/erpnext/accounts/doctype/gl_entry/gl_entry.py,{0} {1}: Account {2} is inactive,{0} {1}: Account {2} er inaktiv
DocType: GSTR 3B Report,March,mars
DocType: Bank Statement Transaction Entry,Bank Transaction Entries,Bankoverføringsoppføringer
DocType: Quality Inspection,Readings,Readings
DocType: Stock Entry,Total Additional Costs,Samlede merkostnader
DocType: Quality Action,Quality Action,Kvalitetshandling
apps/erpnext/erpnext/crm/report/lead_conversion_time/lead_conversion_time.py,No of Interactions,Ingen interaksjoner
DocType: BOM,Scrap Material Cost(Company Currency),Skrap Material Cost (Selskap Valuta)
apps/erpnext/erpnext/support/doctype/service_level/service_level.py,"Set Start Time and End Time for  \
					Support Day {0} at index {1}.",Angi starttid og sluttid for \ Support Day {0} ved indeksen {1}.
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py,Sub Assemblies,Sub Assemblies
DocType: Asset,Asset Name,Asset Name
DocType: Employee Boarding Activity,Task Weight,Task Vekt
DocType: Shipping Rule Condition,To Value,I Value
DocType: Accounts Settings,Automatically Add Taxes and Charges from Item Tax Template,Legg automatisk til skatter og avgifter fra varighetsskattmal
DocType: Loyalty Program,Loyalty Program Type,Lojalitetsprogramtype
DocType: Asset Movement,Stock Manager,Stock manager
apps/erpnext/erpnext/stock/doctype/stock_entry/stock_entry.py,Source warehouse is mandatory for row {0},Kilde lageret er obligatorisk for rad {0}
apps/erpnext/erpnext/accounts/doctype/payment_terms_template/payment_terms_template.py,The Payment Term at row {0} is possibly a duplicate.,Betalingsperioden i rad {0} er muligens en duplikat.
apps/erpnext/erpnext/public/js/setup_wizard.js,Agriculture (beta),Jordbruk (beta)
apps/erpnext/erpnext/stock/doctype/delivery_note/delivery_note.js,Packing Slip,Pakkseddel
apps/erpnext/erpnext/accounts/doctype/account/chart_of_accounts/verified/standard_chart_of_accounts_with_account_number.py,Office Rent,Kontor Leie
apps/erpnext/erpnext/config/settings.py,Setup SMS gateway settings,Oppsett SMS gateway-innstillinger
DocType: Disease,Common Name,Vanlig navn
DocType: Customer Feedback Template Table,Customer Feedback Template Table,Tabell for kundefeedback
DocType: Employee Boarding Activity,Employee Boarding Activity,Ansatte ombordstigningsaktivitet
apps/erpnext/erpnext/public/js/templates/address_list.html,No address added yet.,Ingen adresse er lagt til ennå.
DocType: Workstation Working Hour,Workstation Working Hour,Arbeidsstasjon Working Hour
DocType: Vital Signs,Blood Pressure,Blodtrykk
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py,Analyst,Analytiker
apps/erpnext/erpnext/hr/doctype/employee_benefit_claim/employee_benefit_claim.py,{0} is not in a valid Payroll Period,{0} er ikke i en gyldig lønnsperiode
DocType: Employee Benefit Application,Max Benefits (Yearly),Maksimal fordel (årlig)
DocType: Item,Inventory,Inventar
apps/erpnext/erpnext/regional/report/gstr_1/gstr_1.js,Download as Json,Last ned som Json
DocType: Item,Sales Details,Salgs Detaljer
DocType: Coupon Code,Used,brukes
DocType: Opportunity,With Items,Med Items
apps/erpnext/erpnext/crm/doctype/email_campaign/email_campaign.py,The Campaign '{0}' already exists for the {1} '{2}',Kampanjen &#39;{0}&#39; eksisterer allerede for {1} &#39;{2}&#39;
DocType: Asset Maintenance,Maintenance Team,Vedlikeholdsteam
DocType: Homepage Section,"Order in which sections should appear. 0 is first, 1 is second and so on.","Ordre i hvilke seksjoner som skal vises. 0 er først, 1 er andre og så videre."
apps/erpnext/erpnext/stock/report/batch_wise_balance_history/batch_wise_balance_history.py,In Qty,I Antall
DocType: Education Settings,Validate Enrolled Course for Students in Student Group,Bekreft innmeldt kurs for studenter i studentgruppen
DocType: Item,Item Attribute,Sak Egenskap
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py,Government,Regjeringen
apps/erpnext/erpnext/hr/doctype/vehicle_log/vehicle_log.py,Expense Claim {0} already exists for the Vehicle Log,Expense krav {0} finnes allerede for Vehicle Log
DocType: Asset Movement,Source Location,Kildeplassering
apps/erpnext/erpnext/public/js/setup_wizard.js,Institute Name,Institute Name
apps/erpnext/erpnext/hr/doctype/loan/loan.py,Please enter repayment Amount,Fyll inn gjenværende beløpet
DocType: Shift Type,Working Hours Threshold for Absent,Arbeidstidsgrense for fraværende
apps/erpnext/erpnext/accounts/doctype/loyalty_program/loyalty_program.js,There can be multiple tiered collection factor based on the total spent. But the conversion factor for redemption will always be same for all the tier.,Det kan være flere lagdelt innsamlingsfaktor basert på totalt brukt. Men konverteringsfaktoren for innløsning vil alltid være den samme for alle nivåer.
apps/erpnext/erpnext/config/help.py,Item Variants,Element Varianter
apps/erpnext/erpnext/public/js/setup_wizard.js,Services,Tjenester
apps/erpnext/erpnext/manufacturing/page/bom_comparison_tool/bom_comparison_tool.js,BOM 2,BOM 2
