Pension Funds,Lífeyrissjóðir
Select BOM,Veldu BOM
"Schedules for {0} overlaps, do you want to proceed after skiping overlaped slots ?","Tímaáætlanir fyrir {0} skarast, viltu halda áfram eftir að skipta yfir lömdum rifa?"
Customer or Supplier Details,Upplýsingar um viðskiptavini eða birgir
Debit Account,Greiðslureikningur
Trial Period End Date Cannot be before Trial Period Start Date,Prófunartímabil Lokadagur getur ekki verið fyrir upphafsdag Prófunartímabils
Rented,Leigt
Employee Group Table,Starfsmaður Group Tafla
HR Manager,mannauðsstjóri
Details of Outward Supplies and inward supplies liable to reverse charge,Upplýsingar um útvarpsbirgðir og innlendar birgðir sem geta gengið til baka
Cheque/Reference No,Athugaðu / tilvísunarnúmer
Assessment Result,Matarniðurstaða
New Contact,Nýr tengiliður
Opportunities,Tækifæri
Net Cash from Operations,Handbært fé frá rekstri
Leave Encashment,Leyfi Encashment
Source warehouse is mandatory for row {0},Heimild vöruhús er nauðsynlegt fyrir röð {0}
After Date,Eftir dagsetningu
ITC Available (whether in full op part),ITC Laus (hvort sem er að fullu á hluta)
Row {0}: Activity Type is mandatory.,Row {0}: Virkni Tegund er skylt.
Consultant,Ráðgjafi
Select an employee to get the employee advance.,Veldu starfsmann til að fá starfsmanninn fyrirfram.
"Asset cannot be cancelled, as it is already {0}","Eign er ekki hægt að hætta við, þar sem það er nú þegar {0}"
Wrong Password,Rangt lykilorð
STO-ITEM-.YYYY.-,STO-ITEM-.YYYY.-
Update Account Number / Name,Uppfæra reikningsnúmer / nafn
Use Custom Cash Flow Format,Notaðu Custom Cash Flow Format
Opening Invoices,Opnun Reikningar
Send to Warehouse,Senda í vöruhús
Event Status,Atburður Staða
Total completed qty must be greater than zero,Heildarfjöldi lokið verður að vera meiri en núll
Chargeable,Chargeable
Anytime,Hvenær sem er
Student Batch-Wise Attendance,Námsmaður Batch-Wise Attendance
Normal Test Template,Venjulegt próf sniðmát
Tree of financial Cost Centers.,Tré fjármálamiðstöðva.
"in Minutes
Updated via 'Time Log'",í mínútum Uppfært í gegnum &#39;Time Log&#39;
Bin,Poki
Invoice Number,Reikningsnúmer
Fulfillment User,Uppfylling Notandi
Planned End Time,Áætlað lokadagur
Section Code,Kóðinn
Monitor Progress,Skjár framfarir
Select Batch No,Veldu lotu nr
Payroll Number,Launa númer
Include UOM,Innifalið UOM
Stock Ledger Entries and GL Entries are reposted for the selected Purchase Receipts,Stýrisbókarfærslur og GL færslur eru endurnýjuð fyrir valin kaup kvittanir
Update Print Format,Uppfæra prenta snið
Siblings,Systkini
Hold Invoice,Haltu innheimtu
Row {0}: Invalid reference {1},Row {0}: Ógildur tilvísun {1}
Profitability Analysis,Arðsemi Greining
New Account Name,Nýtt reikningsheiti
Expense Proof,Kostnaðarsönnun
Served,Served
Member,Meðlimur
Practitioner Service Unit Schedule,Hagnýtar þjónustudeildaráætlun
Wire Transfer,Wire Transfer
Against Account,Gegn reikningi
Projects Settings,Verkefni stillingar
Actual Qty {0} / Waiting Qty {1},Raunverulegur fjöldi {0} / biðþáttur {1}
{0} {1}: Account {2} cannot be a Group,{0} {1}: Reikningur {2} getur ekki verið hópur
Prescription Duration,Ávísunartími
Row {0}: Debit entry can not be linked with a {1},Rú {0}: Innborgun skuldfærslu er ekki hægt að tengja við {1}
Intro Video,Intro Video
Is Paid,Er greiddur
Debit,Skuldfærslu
Item Balance (Simple),Varajöfnuður (Einföld)
Purchase orders help you plan and follow up on your purchases,Innkaupapantanir hjálpa þér að skipuleggja og fylgja eftir kaupunum þínum
Project Type,Tegund verkefnis
Student Batch Name,Nöfn nemenda
Qty to Receive,Magn til að taka á móti
Previous Business Day,Fyrri viðskiptadagur
Sponsored Amount,Styrkt upphæð
Please wait 3 days before resending the reminder.,Vinsamlegast bíðið 3 dögum áður en áminningin er send aftur.
Qty as per Stock UOM,Magn eins og á lager UOM
Quantity,Magn
Estimated Arrival,Áætlaður komudagur
Trial Balance for Party,Prófunarjöfnuður fyrir aðila
Employee Separation Template,Aðskilnaðarsnið frá starfsmanni
Unit,Eining
Maximum benefit amount of component {0} exceeds {1},Hámarksfjöldi bótahluta {0} fer yfir {1}
Venture Capital,Venture Capital
Fiscal Year End Date should be one year after Fiscal Year Start Date,Upphafsdagur fjárhagsárs skal vera eitt ár eftir upphafsdag reikningsársins
Daily Reminders,Daglegar áminningar
Default Sales Unit of Measure,Sjálfgefin sölustuðull
Rate of Depreciation,Afskriftir
Post Description Key,Post Lýsing Lykill
Minimum Total Spent,Lágmarks heildartekjur
Period Score,Tímabil
Can't create standard criteria. Please rename the criteria,Ekki er hægt að búa til staðlaðar forsendur. Vinsamlegast breyttu viðmiðunum
Arrival Datetime,Komutími
Student LMS Activity,Námsmaður LMS Activity
Quantity Difference,Magn Mismunur
Row #{0}: Allocated Amount cannot be greater than outstanding amount.,Row # {0}: Úthlutað Magn má ekki vera hærra en útistandandi upphæð.
Timesheet Detail,Tímaritið smáatriði
Proficiency,Hæfni
Sent To,Send til
Hub Publishing Details,Hub Publishing Upplýsingar
"Student Batches help you track attendance, assessments and fees for students","Námsmatsgreinar hjálpa þér að fylgjast með mætingu, mati og gjöldum fyrir nemendur"
Declared Amount,Tilkynnt upphæð
Auto close Opportunity after 15 days,Sjálfvirk lokað tækifæri eftir 15 daga
Issue,Mál
Availability Timeslot,Framboð tímabils
Program Abbreviation,Forritskort
Project Start Date,Verkefni upphafsdagur
Additional DIscount Amount,Viðbótargjald
Item {0} not found in 'Raw Materials Supplied' table in Purchase Order {1},Liður {0} fannst ekki í &quot;Raw Materials Supplied&quot; borð í innkaupapöntuninni {1}
Manage cost of operations,Stjórna kostnaði við rekstur
You are not authorized to set Frozen value,Þú hefur ekki heimild til að stilla frosinn gildi
Lapsed,Horfið
Investments,Fjárfestingar
Date of Birth,Fæðingardagur
You need to be a user with System Manager and Item Manager roles to register on Marketplace.,Þú þarft að vera notandi með kerfisstjóra og hlutverkastjóra hlutverk til að skrá þig á markaðssvæði.
Item Attribute Values,Vara Eiginleikar
Please save the patient first,Vinsamlegast vista sjúklinginn fyrst
Half Day Date should be between From Date and To Date,Half Day Dagsetningin ætti að vera á milli dagsetning og dagsetning
Expected Discharge,Væntanlegur losun
Travel Type,Ferðalög
Customer is required,Viðskiptavinur er krafist
Invalid quantity specified for item {0}. Quantity should be greater than 0.,Ógilt magn tilgreint fyrir lið {0}. Magn ætti að vera hærra en 0.
As Supervisor,Sem umsjónarmaður
Employees,Starfsmenn
Billing Status,Innheimtuástand
Please select Category first,Vinsamlegast veldu Flokkur fyrst
BOM Browser,BOM vafra
Create Student Groups,Búa til nemendahópa
In Minutes,Í mínútum
Net Pay cannot be less than 0,Nettó greiðsla má ekki vera minna en 0
Schedules,Áætlanir
Employee Training,Starfsmenntun
Rate of Interest (%) / Year,Vextir (%) / Ár
Require Result Value,Krefjast niðurstöður gildi
Loan Type,Lánstegund
Identification of the package for the delivery (for print),Auðkenning pakkans fyrir afhendingu (til prentunar)
Assessment Name,Námsmat
Departure Datetime,Brottfaratímabil
From Warehouse,Frá vöruhúsinu
Amount {0} {1} against {2} {3},Upphæð {0} {1} gegn {2} {3}
Create Variant,Búa til afbrigði
Fulfilment Terms and Conditions,Uppfyllingarskilmálar og skilyrði
Date of Commencement should be greater than Date of Incorporation,Upphafsdagur ætti að vera meiri en upphafsdagsetning
Price or Product Discount,Verð eða vöruúrval
Reading 1,Lestur 1
Maximum Age,Hámarksaldur
Payroll Periods,Launatímabil
Transferred Quantity,Flutt magn
Marketplace Settings,Markaðsstillingar
Purchase Orders are not allowed for {0} due to a scorecard standing of {1}.,Innkaupapantanir eru ekki leyfðar fyrir {0} vegna punkta sem standa í {1}.
Price List not selected,Verðlisti ekki valinn
Workstation is closed on the following dates as per Holiday List: {0},Vinnustöðin er lokuð á eftirfarandi dögum eins og í fréttalista: {0}
"Reselect, if the chosen address is edited after save","Veldu aftur, ef valið heimilisfang er breytt eftir að vista"
Default Unit of Measure for Item {0} cannot be changed directly because you have already made some transaction(s) with another UOM. You will need to create a new Item to use a different Default UOM.,Sjálfgefin mælieining fyrir atriði {0} er ekki hægt að breyta beint vegna þess að þú hefur þegar gert nokkrar færslur með öðrum UOM. Þú verður að búa til nýtt atriði til að nota annan sjálfgefið UOM.
Changing Customer Group for the selected Customer is not allowed.,Breyting viðskiptavinahóps fyrir valda viðskiptavini er ekki leyfilegt.
Creation Document Type,Sköpunarskjal Tegund
Available Batch Qty at Warehouse,Laus hópur í vöruhúsi
This is a root territory and cannot be edited.,Þetta er rótarsvæði og er ekki hægt að breyta.
Surgical History,Skurðaðgerðarsaga
Tree of Quality Procedures.,Tree of Quality Málsmeðferð.
Contact HTML,Hafðu samband við HTML
Employee Information,Upplýsingar um starfsmenn
Examiner,Prófdómari
Actual Amount,Raunverulegt magn
Fulfilled,Uppfyllt
Row {0}: Enter location for the asset item {1},Row {0}: Sláðu inn staðsetningu fyrir eignarhlutinn {1}
View Timesheet,Skoða tímasetningu
Taxes and Charges Calculation,Skattar og gjöld Útreikningur
Action Document,Aðgerð skjal
Procedure Prescription,Verklagsregla
Guardian Name,Forráðamaður Nafn
Successfully Reconciled,Tókst að sættast
Period Name,Nafn tímabils
Please pull items from Delivery Note,Vinsamlegast dragðu hluti úr Afhendingartilkynningu
Content Question,Efni spurning
In Stock: ,Á lager:
Please save before assigning task.,Vinsamlegast vista áður en verkefni er úthlutað.
Company is manadatory for company account,Fyrirtæki er stjórnarskrá fyrir fyrirtækjareikning
Delivery Warehouse,Afhending vöruhús
Enable Shopify,Virkja Shopify
Additional information regarding the patient,Viðbótarupplýsingar um sjúklinginn
Purchase Receipts,Kaup kvittanir
New Employee,Ný starfsmaður
Update Auto Repeat Reference,Uppfæra sjálfvirk endurtekið tilvísun
Fees,Gjöld
Student Group Name,Nafn nemanda
Employee,Starfsmaður
Available-for-use Date should be after purchase date,Laus-til-nota Dagsetning ætti að vera eftir kaupdegi
Please define grade for Threshold 0%,Vinsamlegast tilgreindu einkunn fyrir Þröskuld 0%
"Apps using current key won't be able to access, are you sure?","Forrit sem nota núverandi lykil vilja ekki geta nálgast, ertu viss?"
Minutes,Fundargerðir
Correct,Rétt
Total Declared Amount,Samtals lýst upphæð
Material,Efni
Is Inpatient,Er sjúklingur
Encashment Amount,Upphæð
Conversion Rate,Viðskiptahlutfall
CEO,Forstjóri
Set tasks in this project as cancelled?,Setja verkefni í þessu verkefni eins og það hefur verið sagt upp?
Reserved Qty for sub contract,Frátekin fjöldi undirverktaka
Create Payment Entry,Búðu til greiðslu innsláttar
Submit Proof,Sendu inn sönnunargögn
Credit Months,Lánshæfismat
Providing,Veita
Total Billing Amount,Samtals innheimtuverð
Maintenance Visit,Viðhald heimsókn
Country of Origin,Upprunaland
Agriculture Analysis Criteria,Landbúnaður Greining Criteria
Additional Salary Component Exists.,Viðbótarupplýsingar Launakomponent er til staðar.
Grocery,Matvöruverslun
Minimum Seating,Lágmarksstofa
Furry,Furry
"Can not filter based on Account, if grouped by Account","Get ekki síað á grundvelli reiknings, ef það er flokkað eftir reikningi"
Bank Entries,Bankareikningar
Sandy Clay Loam,Sandy Clay Loam
LInked Analysis,Linkað greining
Valid From Date must be lesser than Valid Upto Date.,Gildir frá Dagsetning verður að vera minni en Gildistími dagsetning.
Salary Component,Launakomponent
Maintenance Team Members,Viðhaldsliðsmenn
Minimum Age,Lágmarksaldur
Available Selling,Laus selja
Taxes and Charges Deducted,Skattar og gjöld dregin frá
Create Lab Test,Búa til Lab Test
Hotel Settings,Hótelstillingar
Select Transaction,Veldu viðskipti
Declare Lost,Lýsa yfir týnt
If different than customer address,Ef öðruvísi en heimilisfang viðskiptavinar
Chart Tree,Myndatré
Contract,Samningur
Please select the Multiple Tier Program type for more than one collection rules.,Vinsamlegast veldu margfeldi tier program tegund fyrir fleiri en eina safn reglur.
{0} for {1},{0} fyrir {1}
For Quantity (Manufactured Qty) is mandatory,Fyrir Magn (Framleitt Magn) er skylt
"e.g. ""Primary School"" or ""University""",td &quot;Primary School&quot; eða &quot;University&quot;
Apply Multiple Pricing Rules,Notaðu margar reglur um verðlagningu
Review Invitation Sent,Skoðaðu boðin sent
No of Months,Fjöldi mánaða
Serial Nos Required for Serialized Item {0},Raðnúmer er krafist fyrir raðnúmer {0}
Bill of Materials (BOM),Efnisskrá (BOM)
Allow Stale Exchange Rates,Leyfa Breyttu gengisverði
Website Description,Website Lýsing
Expense Details,Kostnaðarupplýsingar
From Range has to be less than To Range,Frá bilinu verður að vera minna en að bilinu
Products to be shown on website homepage,Vörur sem birtast á heimasíðu heimasíðunnar
Is Master Data Processed,Er meistarapróf unnið
Quantity  that must be bought or sold per UOM,Magn sem þarf að kaupa eða selja á UOM
Total Sales Amount (via Sales Order),Samtals sölugjald (með söluskilningi)
Box,Kassi
Default Cost Center,Sjálfgefin kostnaðurarmiðstöð
Billed Amt,Billed Amt
Please set default {0} in Company {1},Vinsamlegast stilltu sjálfgefið {0} í félaginu {1}
Distance from left edge,Fjarlægð frá vinstri brún
Item 4,Lið 4
"Advance paid against {0} {1} cannot be greater \
						than Grand Total {2}",Fyrirframgreitt fyrir {0} {1} getur ekki verið hærra en heildarfjölda {2}
Income Account,Tekjuskráning
All Warehouses,Allar vöruhús
Signee Details,Signee Upplýsingar
Procurement,Innkaup
Check this if you want to show in website,Athugaðu þetta ef þú vilt sýna á vefsíðu
Fiscal Year {0} not found,Fiscal Year {0} fannst ekki
Bank Statement Settings,Staða bankareiknings
Score (0-5),Skora (0-5)
Attribute {0} selected multiple times in Attributes Table,Eiginleikur {0} valinn mörgum sinnum í eiginleikum töflu
Debit Note Issued,Skuldabréfaútgáfa Útgefið
"Please select Item where ""Is Stock Item"" is ""No"" and ""Is Sales Item"" is ""Yes"" and there is no other Product Bundle",Vinsamlegast veldu Item þar sem &quot;Er hlutabréf&quot; er &quot;Nei&quot; og &quot;Er sölustykki&quot; er &quot;Já&quot; og það er engin önnur vörulisti
Employee {0} of grade {1} have no default leave policy,Starfsmaður {0} í bekknum {1} hefur ekki sjálfgefið eftirlitsstefnu
Leave Policy Detail,Skildu eftir upplýsingum um stefnu
Warehouse not found in the system,Vörugeymsla fannst ekki í kerfinu
OP Consulting Charge,OP ráðgjöf gjald
Measurable Goal,Mælanleg markmið
Invoices,Reikningar
Currency Exchange,Gjaldeyrisskipti
Fortnightly,Fortnightly
"Material Request not created, as quantity for Raw Materials already available.","Efni Beiðni ekki búin til, eins og magn fyrir hráefni sem nú þegar er til staðar."
Creation User,Sköpunarnotandi
"Record of all communications of type email, phone, chat, visit, etc.","Skrá yfir allar samskipti af gerð tölvupósts, síma, spjall, heimsókn osfrv."
Asset Settings,Eignastillingar
Worked On Holiday,Vinna í fríi
Either location or employee must be required,Annaðhvort þarf staðsetning eða starfsmaður að vera krafist
Item {0} is cancelled,Atriði {0} er hætt
Course End Date,Lokadagur námskeiðs
Opportunity From field is mandatory,Tækifæri Frá reit er skylt
Warning: Leave application contains following block dates,Viðvörun: Leyfi umsókn inniheldur eftirfarandi lokadagsetningar
Preventive Maintenance,Fyrirbyggjandi viðhald
Institute Abbreviation,Stofnun Skammstöfun
"Difference Account must be a Asset/Liability type account, since this Stock Reconciliation is an Opening Entry","Mismunur Reikningur verður að vera eignareikningur / ábyrgðartilkynning, þar sem þessi birgðirsamstaða er opnunartilgangur"
Contract End Date must be greater than Date of Joining,Samningur Lokadagur verður að vera meiri en Dagsetning Tenging
Default Leave Policy,Sjálfgefin skiladagur
Select Users,Veldu Notendur
Net Hour Rate,Nettóhraði
Age,Aldur
Event Details,Upplýsingar um viðburð
Accumulated Monthly,Samanlagður mánaðarlega
Save the document first.,Vista skjalið fyrst.
Update Cost,Uppfæra kostnað
Fully Delivered,Fullkomlega afhent
Please enter company first,Vinsamlegast sláðu inn fyrirtæki fyrst
Confirmed orders from Customers.,Staðfestar pantanir frá viðskiptavinum.
Dosage Strength,Skammtastyrkur
Fill the form and save it,Fylltu út eyðublaðið og vistaðu það
Enrollment Details,Upplýsingar um innritun
Subscription Invoice,Áskriftargjald
Total Leaves Encashed,Samtals Leaves Encashed
Verified By,Staðfest af
Get Invoices,Fáðu innheimtuseðla
Settled,Uppgjör
Re-open,Opnaðu aftur
Closing Fiscal Year,Lokadeikningsár
Release Date,Útgáfudagur
Advances,Framfarir
Specify conditions to calculate shipping amount,Tilgreindu skilyrði til að reikna út sendingargjald
Technology,Tækni
Can refer row only if the charge type is 'On Previous Row Amount' or 'Previous Row Total',Geti vísa aðeins til línu ef gjaldtegundin er &#39;Á fyrri raðagreiðslu&#39; eða &#39;Fyrra röðarlína&#39;
"If checked, Total no. of Working Days will include holidays, and this will reduce the value of Salary Per Day","Ef valið, Samtals nr. af vinnudögum mun fela í sér hátíðir og þetta mun draga úr virði launa á dag"
Location Name,Staðsetningarheiti
{0} {1}: Account {2} does not belong to Company {3},{0} {1}: Reikningur {2} tilheyrir ekki fyrirtækinu {3}
Remaining Benefits (Yearly),Eftirstöðvar kostir (árlega)
Depreciation Start Date,Afskriftir upphafsdagur
Billing Rate,Innheimtuhlutfall
Warning: Another {0} # {1} exists against stock entry {2},Viðvörun: Annar {0} # {1} er til á móti hlutafærslu {2}
Please enable Google Maps Settings to estimate and optimize routes,Vinsamlega virkjaðu Google Maps Stillingar til að meta og hagræða leiðum
Max Score,Hámarksstig
Repayment Start Date cannot be before Disbursement Date.,Endurgreiðsla upphafsdagur má ekki vera fyrir gjalddaga.
Support Search Source,Stuðningur Leita Heimild
Financial Services,Fjármálaþjónusta
Availability,Framboð
Tree of Procedures,Verklagsreglur
Allow Item to be added multiple times in a transaction,Leyfa hlut sem verður bætt við mörgum sinnum í viðskiptum
{0} {1} is not submitted,{0} {1} er ekki sent inn
Backflush raw materials from work-in-progress warehouse,Backflush hráefni frá vinnslu í vinnslu
Maintenance Team Member,Viðhaldsliðsmaður
The minimum distance between rows of plants for optimum growth,Lágmarksfjarlægðin milli raða plöntur fyrir bestu vöxt
Health Insurance Name,Sjúkratryggingar Nafn
Stock Assets,Eignir hlutabréfa
Further cost centers can be made under Groups but entries can be made against non-Groups,Frekari kostnaðurarmiðstöðvar geta verið gerðar undir hópum en færslur geta verið gerðar gagnvart öðrum hópum
Upper Income,Efri tekjur
Discount Allowed Account,Afsláttur leyfilegur reikningur
Restart Subscription,Endurræsa áskrift
You can not change rate if BOM mentioned agianst any item,Þú getur ekki breytt vexti ef BOM nefndi einhver atriði
Please login as another user to register on Marketplace,Vinsamlegast skráðu þig inn sem annar notandi til að skrá þig á markaðssvæði
Insurance Details,Tryggingar Upplýsingar
Past Due Date,Fyrri gjalddaga
"You can only plan for upto {0} vacancies and budget {1} \
				for {2} as per staffing plan {3} for parent company {4}.",Þú getur aðeins áætlað allt að {0} laus störf og fjárhagsáætlun {1} \ fyrir {2} samkvæmt áætluninni fyrir starfsmanninn {3} fyrir móðurfyrirtæki {4}.
No GST No. found for the Company.,Engin GST nr fannst fyrir félagið.
From Pin Code,Frá PIN kóða
Signed On,Skráður á
{0} {1}: Accounting Entry for {2} can only be made in currency: {3},{0} {1}: Bókhald færsla fyrir {2} er aðeins hægt að gera í gjaldmiðli: {3}
Assessment Criteria,Matsviðmið
Is Billable,Er gjaldgeng
User must always select,Notandi verður alltaf að velja
Compensatory leave request days not in valid holidays,Bætur vegna bótafrests biðja daga ekki í gildum frídagum
Sum of points for all goals should be 100. It is {0},Sumar stig fyrir öll mörk skulu vera 100. Það er {0}
Scrap Items,Ruslpunkta
Result Component,Niðurstaða hluti
Please mention Basic and HRA component in Company,Vinsamlegast nefnt Basic og HRA hluti í félaginu
{0} does not belong to Company {1},{0} tilheyrir ekki fyrirtækinu {1}
Half Day Date,Hálfsdagur Dagsetning
Billing Address Name,Nafn innheimtu heimilisfangs
GST Itemised Purchase Register,GST greidd kaupaskrá
Alternate Item,Varahlutir
Name of Applicant,Nafn umsækjanda
Earned Leave,Aflað Leyfi
June,Júní
Row {0}: Cost center is required for an item {1},Rú {0}: Kostnaðurarmiðstöð er krafist fyrir hlut {1}
Can be approved by {0},Hægt að samþykkja {0}
Unit of Measure {0} has been entered more than once in Conversion Factor Table,Mælikvarði {0} hefur verið færð inn meira en einu sinni í viðskiptaþáttatafla
Net Rate (Company Currency),Nettóhlutfall (Fyrirtæki Gjaldmiðill)
All BOMs,Allar BOMs
Days for which Holidays are blocked for this department.,Dagar sem frídagur er lokaður fyrir þessa deild.
"Cannot Submit, Employees left to mark attendance","Get ekki sent, Starfsmenn vinstri til að merkja aðsókn"
Quality Inspection Template,Gæðaskoðunar sniðmát
Result Datetime,Niðurstaða Datetime
Valuation,Verðmat
Student Monthly Attendance Sheet,Námsmatskennsla nemenda
Term End Date,Lokadagur lokadags
Child Docname,Child Docname
Services,Þjónusta
Cannot set quantity less than received quantity,Ekki er hægt að stilla magn minna en móttekið magn
Supplier Part Number,Birgir númer
Standard Selling Rate,Venjuleg selja hlutfall
Please set an active menu for Restaurant {0},Vinsamlegast stilltu virkan valmynd fyrir Veitingahús {0}
You need to be a user with System Manager and Item Manager roles to add users to Marketplace.,Þú þarft að vera notandi með kerfisstjóra og hlutverkastjóra hlutverk til að bæta notendum við markaðssvæði.
Asset Finance Book,Eignarhaldsbók
Employee Transfer,Starfsmaður flytja
Sales Funnel,Sölutrunnur
Water Analysis,Vatnsgreining
Accounts Frozen Upto,Reikningar Frosinn Upto
There is nothing to edit.,Það er ekkert að breyta.
"Operation {0} longer than any available working hours in workstation {1}, break down the operation into multiple operations","Rekstur {0} lengri en nokkur vinnutími á vinnustöðinni {1}, brjóta niður aðgerðina í margar aðgerðir"
Do not update variants on save,Ekki uppfæra afbrigði á vistun
Threshold,Þröskuldur
% Amount Billed,% Upphæð innheimt
Resolved By,Leyst af
"Add users to your organization, other than yourself.","Bættu notendum við fyrirtækið þitt, annað en sjálfan þig."
Default Company,Sjálfgefið fyrirtæki
Cash Account will used for Sales Invoice creation,Cash reikningur verður notaður fyrir stofnun sölureikninga
Sales Order {0} is {1},Sölupöntun {0} er {1}
Delay in payment (Days),Tafir á greiðslu (dagar)
Enter depreciation details,Færðu inn upplýsingar um afskriftir
Expected Delivery Date should be after Sales Order Date,Væntanlegur afhendingardagur ætti að vera eftir söludagsetningardegi
Invalid Attribute,Ógilt eigindi
Please select BOM against item {0},Vinsamlegast veldu BOM gegn hlutnum {0}
Invoice Type,Reikningsgerð
Price List Master,Verðskrá Master
Lost Opportunity,Týnt tækifæri
Maintenance Date,Viðhald Dagsetning
Afternoon,Að morgni
Nutrition Values,Næringargildi
Presence of a fever (temp &gt; 38.5 °C/101.3 °F or sustained temp &gt; 38 °C/100.4 °F),"Hiti í upphafi (hitastig&gt; 38,5 ° C / 101,3 ° F eða viðvarandi hitastig&gt; 38 ° C / 100,4 ° F)"
ITC Reversed,ITC afturkallað
Collect Progress,Safna framfarir
Energy,Orka
Items To Be Requested,Atriði sem óskað er eftir
Ca/K,Ca / K
Work Order already created for all items with BOM,Vinna Order þegar búið til fyrir öll atriði með BOM
Billed Amount,Innheimt upphæð
Current Odometer reading entered should be greater than initial Vehicle Odometer {0},Núverandi kílómetramælirinn sem lesinn er inn ætti að vera meiri en upphafsmælir ökutækisins {0}
Employee Transfer Property,Starfsmaður flytja eignir
Pending Activities,Vonandi starfsemi
List a few of your customers. They could be organizations or individuals.,Skráðu nokkrar af viðskiptavinum þínum. Þeir gætu verið stofnanir eða einstaklingar.
Bank Account Info,Bankareikningsupplýsingar
Guardian1 Name,Forráðamaður1 Nafn
Variable Based On Taxable Salary,Variable Byggt á skattskyldum launum
Accounting Period,Bókhaldstími
Standard Working Hours,Venjuleg vinnutími
In Stock,Á lager
Market Place Account Group,Markaðsstaður reikningshóps
Before reconciliation,Áður en að sættast
Fees Category,Gjaldskrá Flokkur
%  Delivered,% Afhent
Redemption Cost Center,Innlausnarkostnaður
Respiratory rate,Öndunarhraði
Mandatory field - Get Students From,Lögboðið reit - Fá nemendur frá
Item Classification,Liður flokkun
Is Existing Asset,Er núverandi eigna
Cancel Material Visits {0} before cancelling this Maintenance Visit,Hætta við efni heimsóknir {0} áður en þú hættir við þessa viðhaldsferð
Workstation Name,Nafn vinnustöðvar
Row #{0}: Status must be {1} for Invoice Discounting {2},Row # {0}: Staða verður að vera {1} fyrir afsláttarreikning {2}
Material Transfer,Efni flytja
% Installed,% Uppsett
Agriculture Task,Landbúnaður Verkefni
Dosage Form,Skammtaform
Select the program first,Veldu forritið fyrst
Expected Start Date,Væntanlegur upphafsdagur
Share Transfer,Hlutaflutningur
Leave Management,Skildu eftir stjórnun
Total Payable Interest,Samtals greiðslur
Current Address,Núverandi heimilisfang
Cannot {0} {1} {2} without any negative outstanding invoice,Get ekki {0} {1} {2} án neikvæð framúrskarandi reikning
Transaction not allowed against stopped Work Order {0},Viðskipti ekki leyfð gegn stöðvun Vinnufyrirmæli {0}
Warehouses with existing transaction can not be converted to ledger.,Ekki er hægt að breyta vöruhúsum með núverandi viðskipti til bókhalds.
Deduct Tax For Unsubmitted Tax Exemption Proof,Tregðu skatt vegna óskráðs skattfrelsis
Clearance Date updated,Úthreinsun Dagsetning uppfærð
Delivery Stops,Afhending hættir
Setup Progress,Uppsetning Framfarir
Ordered Items To Be Billed,Ordered Items Til Billed
To Amount,Að upphæð
Is Return (Debit Note),Er aftur (skuldfærsla)
Getting Started,Að byrja
Merge,Sameina
Cannot change Fiscal Year Start Date and Fiscal Year End Date once the Fiscal Year is saved.,Ekki er hægt að breyta upphafsdagi reikningsárs og reikningsárs lokadag þegar reikningsár er vistað.
Get Material Request,Fáðu efnisbeiðni
Invoice No,Reikningsnúmer nr
Max Qty,Hámarksfjöldi
Row {0}: Allocated amount {1} must be less than or equals to Payment Entry amount {2},Rú {0}: Úthlutað magn {1} verður að vera minna en eða jafngildir upphæð greiðslunnar {2}
Piecework,Piecework
Drop Ship,Sendu skip
Hub User,Hub notandi
No Result,Ekkert niðurstaða
Match Transaction to Invoices,Samsvörun við reikninga
Commission,Framkvæmdastjórnin
Sales Order Item,Sölutilboð
Actual Date,Raunveruleg dagsetning
Maintenance start date can not be before delivery date for Serial No {0},Viðhalds upphafsdagur getur ekki verið fyrir afhendingu fyrir raðnúmer {0}
Row {0}: Exchange Rate is mandatory,Row {0}: Gengi gjaldmiðla er skylt
Select Supplier Address,Veldu birgir Heimilisfang
Please enter API Consumer Secret,Vinsamlegast sláðu inn API Consumer Secret
Program Enrollment Fee,Áætlun innskráningargjald
Warranty Expiry Date,Ábyrgðartímabil
Hotel Room Pricing,Hótel herbergi Verðlagning
"Outward taxable supplies(other than zero rated, nil rated and exempted","Skattskyldar birgðir (utan annarra en núllar, án nafna og undanþegnar"
Resolution By,Upplausn eftir
Customer Territory,Viðskiptavinur Territory
Last Communication,Síðasta samskipti
Total Billed Hours,Samtals Billed Hours
Current invoice {0} is missing,Núverandi reikningur {0} vantar
Patient Registration,Sjúklingur skráning
Supplier Invoice No exists in Purchase Invoice {0},Birgir Reikningur er ekki til í innheimtufé {0}
Workday,Vinnudagur
No Items added to cart,Engar atriði bætt við í körfu
Target Qty,Markmið
"To merge, following properties must be same for both items",Til að sameina verða eftirfarandi eignir að vera þau sömu fyrir bæði hluti
Drug Prescription,Lyfseðilsskyld lyf
Buildings,Byggingar
Application Date,Umsóknardagur
Result,Niðurstaða
Leave Block List Allowed,Leyfa blokkalista leyfður
Row # {0}: Rate cannot be greater than the rate used in {1} {2},Row # {0}: Gengi má ekki vera hærra en hlutfallið sem notað er í {1} {2}
Blanket Order,Teppi Panta
Attendance for employee {0} is already marked,Aðgengi fyrir starfsmanninn {0} er þegar merktur
Rounding Adjustment,Snúningastilling
Quality Review Table,Quality Review Tafla
Membership Expiry Date,Félagsdagur
