DocType: Accounting Period,Period Name,Numele perioadei
DocType: Bank Statement Transaction Payment Item,Mode of Payment,Mod de plata
apps/erpnext/erpnext/hr/doctype/employee_benefit_application/employee_benefit_application.py,As per your assigned Salary Structure you cannot apply for benefits,"În conformitate cu structura salarială atribuită, nu puteți aplica pentru beneficii"
apps/erpnext/erpnext/stock/doctype/item/item.py,Website Image should be a public file or website URL,Site-ul Image ar trebui să fie un fișier public sau site-ul URL-ul
DocType: Purchase Invoice Item,BOM,BOM
apps/erpnext/erpnext/stock/doctype/item/item.py,Duplicate entry in Manufacturers table,Introducerea duplicată în tabelul Producătorilor
apps/erpnext/erpnext/setup/doctype/item_group/item_group.js,This is a root item group and cannot be edited.,Acesta este un grup element rădăcină și nu pot fi editate.
apps/erpnext/erpnext/accounts/doctype/account/account.js,Merge,contopi
DocType: Journal Entry Account,Purchase Order,Comandă de aprovizionare
DocType: Vehicle,Fuel UOM,combustibil UOM
DocType: Warehouse,Warehouse Contact Info,Date de contact depozit
DocType: Payment Entry,Write Off Difference Amount,Diferență Sumă Piertdute
DocType: Volunteer,Volunteer Name,Nume de voluntar
apps/erpnext/erpnext/controllers/accounts_controller.py,Rows with duplicate due dates in other rows were found: {0},Au fost găsite rânduri cu date scadente în alte rânduri: {0}
apps/erpnext/erpnext/hr/doctype/salary_slip/salary_slip.py,"{0}: Employee email not found, hence email not sent","{0}: E-mail-ul angajatului nu a fost găsit, prin urmare, nu a fost trimis mail"
apps/erpnext/erpnext/hr/doctype/leave_encashment/leave_encashment.py,No Salary Structure assigned for Employee {0} on given date {1},Nu există structură salarială atribuită pentru angajat {0} la data dată {1}
apps/erpnext/erpnext/accounts/doctype/shipping_rule/shipping_rule.py,Shipping rule not applicable for country {0},Norma de transport nu se aplică țării {0}
DocType: Item,Foreign Trade Details,Detalii Comerț Exterior
,Assessment Plan Status,Starea planului de evaluare
DocType: Email Digest,Annual Income,Venit anual
DocType: Serial No,Serial No Details,Serial Nu Detalii
DocType: Purchase Invoice Item,Item Tax Rate,Rata de Impozitare Articol
apps/erpnext/erpnext/regional/report/eway_bill/eway_bill.py,From Party Name,De la numele partidului
apps/erpnext/erpnext/hr/report/bank_remittance/bank_remittance.py,Net Salary Amount,Valoarea netă a salariului
DocType: Pick List,Delivery against Sales Order,Livrare contra comenzii de vânzare
DocType: Student Group Student,Group Roll Number,Numărul rolurilor de grup
apps/erpnext/erpnext/accounts/doctype/journal_entry/journal_entry.py,"For {0}, only credit accounts can be linked against another debit entry","Pentru {0}, numai conturi de credit poate fi legat de o altă intrare în debit"
apps/erpnext/erpnext/accounts/doctype/sales_invoice/sales_invoice.py,Delivery Note {0} is not submitted,Nota de Livrare {0} nu este introdusa
apps/erpnext/erpnext/stock/get_item_details.py,Item {0} must be a Sub-contracted Item,Articolul {0} trebuie să fie un Articol Sub-contractat
apps/erpnext/erpnext/accounts/doctype/account/chart_of_accounts/verified/standard_chart_of_accounts_with_account_number.py,Capital Equipments,Echipamente de Capital
apps/erpnext/erpnext/accounts/doctype/pricing_rule/pricing_rule.js,"Pricing Rule is first selected based on 'Apply On' field, which can be Item, Item Group or Brand.","Regula de stabilire a prețurilor este selectat în primul rând bazat pe ""Aplicați pe"" teren, care poate fi produs, Grupa de articole sau de brand."
apps/erpnext/erpnext/manufacturing/doctype/work_order/work_order.js,Please set the Item Code first,Vă rugăm să setați mai întâi Codul elementului
apps/erpnext/erpnext/regional/report/eway_bill/eway_bill.py,Doc Type,Tip Doc
apps/erpnext/erpnext/controllers/selling_controller.py,Total allocated percentage for sales team should be 100,Procentul total alocat pentru echipa de vânzări ar trebui să fie de 100
DocType: Subscription Plan,Billing Interval Count,Intervalul de facturare
apps/erpnext/erpnext/hr/doctype/employee_transfer/employee_transfer.py,"Please delete the Employee <a href=""#Form/Employee/{0}"">{0}</a>\
					to cancel this document","Vă rugăm să ștergeți Angajatul <a href=""#Form/Employee/{0}"">{0}</a> \ pentru a anula acest document"
apps/erpnext/erpnext/healthcare/doctype/healthcare_practitioner/healthcare_practitioner_dashboard.py,Appointments and Patient Encounters,Numiri și întâlniri cu pacienții
apps/erpnext/erpnext/hr/doctype/employee_promotion/employee_promotion.js,Value missing,Valoarea lipsește
DocType: Employee,Department and Grade,Departamentul și Gradul
DocType: Antibiotic,Antibiotic,Antibiotic
,Team Updates,echipa Actualizări
apps/erpnext/erpnext/accounts/doctype/payment_order/payment_order.js,For Supplier,Pentru furnizor
DocType: Account,Setting Account Type helps in selecting this Account in transactions.,Setarea Tipul de cont ajută în selectarea acest cont în tranzacții.
DocType: Purchase Invoice,Grand Total (Company Currency),Total general (Valuta Companie)
apps/erpnext/erpnext/accounts/doctype/cheque_print_template/cheque_print_template.js,Create Print Format,Creați Format imprimare
apps/erpnext/erpnext/education/doctype/fee_schedule/fee_schedule_list.js,Fee Created,Taxa a fost creată
apps/erpnext/erpnext/utilities/bot.py,Did not find any item called {0},Nu am gasit nici un element numit {0}
apps/erpnext/erpnext/stock/report/item_prices/item_prices.js,Items Filter,Filtrarea elementelor
DocType: Supplier Scorecard Criteria,Criteria Formula,Criterii Formula
apps/erpnext/erpnext/stock/report/itemwise_recommended_reorder_level/itemwise_recommended_reorder_level.py,Total Outgoing,Raport de ieșire
apps/erpnext/erpnext/accounts/doctype/shipping_rule/shipping_rule.py,"There can only be one Shipping Rule Condition with 0 or blank value for ""To Value""","Nu poate fi doar o singură regulă Condiții presetate cu 0 sau o valoare necompletată pentru ""la valoarea"""
DocType: Bank Statement Transaction Settings Item,Transaction,Tranzacție
DocType: Call Log,Duration,Durată
apps/erpnext/erpnext/controllers/status_updater.py,"For an item {0}, quantity must be positive number","Pentru un element {0}, cantitatea trebuie să fie un număr pozitiv"
apps/erpnext/erpnext/accounts/doctype/cost_center/cost_center.js,Note: This Cost Center is a Group. Cannot make accounting entries against groups.,Notă: Acest centru de cost este un grup. Nu pot face înregistrări contabile impotriva grupuri.
apps/erpnext/erpnext/hr/doctype/compensatory_leave_request/compensatory_leave_request.py,Compensatory leave request days not in valid holidays,Plățile compensatorii pleacă în zilele de sărbători valabile
apps/erpnext/erpnext/stock/doctype/warehouse/warehouse.py,Child warehouse exists for this warehouse. You can not delete this warehouse.,Există depozit copil pentru acest depozit. Nu puteți șterge acest depozit.
DocType: Item,Website Item Groups,Site-ul Articol Grupuri
DocType: Purchase Invoice,Total (Company Currency),Total (Company valutar)
DocType: Daily Work Summary Group,Reminder,Memento
apps/erpnext/erpnext/regional/report/eway_bill/eway_bill.py,Accessable Value,Valoare accesibilă
apps/erpnext/erpnext/stock/utils.py,Serial number {0} entered more than once,Număr de serie {0} a intrat de mai multe ori
DocType: Bank Statement Transaction Invoice Item,Journal Entry,Intrare în jurnal
apps/erpnext/erpnext/regional/report/eway_bill/eway_bill.py,From GSTIN,De la GSTIN
DocType: Expense Claim Advance,Unclaimed amount,Sumă nerevendicată
apps/erpnext/erpnext/manufacturing/doctype/work_order/work_order.js,{0} items in progress,{0} elemente în curs
DocType: Workstation,Workstation Name,Stație de lucru Nume
DocType: Grading Scale Interval,Grade Code,Cod grad
DocType: POS Item Group,POS Item Group,POS Articol Grupa
apps/erpnext/erpnext/setup/doctype/email_digest/email_digest.js,Email Digest:,Email Digest:
apps/erpnext/erpnext/stock/doctype/item_alternative/item_alternative.py,Alternative item must not be same as item code,Elementul alternativ nu trebuie să fie identic cu cel al articolului
apps/erpnext/erpnext/manufacturing/doctype/bom/bom.py,BOM {0} does not belong to Item {1},BOM {0} nu aparţine articolului {1}
DocType: Promotional Scheme,Product Discount Slabs,Placi cu reducere de produse
DocType: Target Detail,Target Distribution,Țintă Distribuție
DocType: Purchase Invoice,06-Finalization of Provisional assessment,06 - Finalizarea evaluării provizorii
apps/erpnext/erpnext/erpnext_integrations/doctype/tally_migration/tally_migration.py,Importing Parties and Addresses,Importarea părților și adreselor
DocType: Salary Slip,Bank Account No.,Cont bancar nr.
DocType: Naming Series,This is the number of the last created transaction with this prefix,Acesta este numărul ultimei tranzacții create cu acest prefix
DocType: Supplier Scorecard,"Scorecard variables can be used, as well as:
{total_score} (the total score from that period),
{period_number} (the number of periods to present day)
","Variabilele caracterelor pot fi utilizate, precum și: {total_score} (scorul total din acea perioadă), {period_number} (numărul de perioade până în prezent)"
apps/erpnext/erpnext/manufacturing/doctype/blanket_order/blanket_order.js,Create Purchase Order,Creați comandă de aprovizionare
DocType: Quality Inspection Reading,Reading 8,Lectură 8
DocType: Inpatient Record,Discharge Note,Notă privind descărcarea
apps/erpnext/erpnext/config/desktop.py,Getting Started,Noțiuni de bază
DocType: Purchase Invoice,Taxes and Charges Calculation,Impozite și Taxe Calcul
DocType: Accounts Settings,Book Asset Depreciation Entry Automatically,Încărcarea automată a amortizării activelor din cont
DocType: Accounts Settings,Book Asset Depreciation Entry Automatically,Încărcarea automată a amortizării activelor din cont
DocType: BOM Operation,Workstation,Stație de lucru
DocType: Request for Quotation Supplier,Request for Quotation Supplier,Furnizor Cerere de Ofertă
DocType: Healthcare Settings,Registration Message,Mesaj de înregistrare
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py,Hardware,Hardware
DocType: Prescription Dosage,Prescription Dosage,Dozaj de prescripție
DocType: Contract,HR Manager,Manager Resurse Umane
apps/erpnext/erpnext/accounts/party.py,Please select a Company,Vă rugăm să selectați o companie
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py,Privilege Leave,Privilege concediu
DocType: Purchase Invoice,Supplier Invoice Date,Furnizor Data facturii
apps/erpnext/erpnext/shopping_cart/doctype/shopping_cart_settings/shopping_cart_settings.py,You need to enable Shopping Cart,Trebuie să activați Cosul de cumparaturi
DocType: Payment Entry,Writeoff,Achita
DocType: Maintenance Visit,MAT-MVS-.YYYY.-,MAT-MVS-.YYYY.-
DocType: HR Settings,<b>Example:</b> SAL-{first_name}-{date_of_birth.year} <br>This will generate a password like SAL-Jane-1972,<b>Exemplu:</b> SAL- {first_name} - {date_of_birth.year} <br> Aceasta va genera o parolă precum SAL-Jane-1972
DocType: Stock Settings,Naming Series Prefix,Denumirea prefixului seriei
DocType: Appraisal Template Goal,Appraisal Template Goal,Obiectiv model expertivă
DocType: Salary Component,Earning,Câștig Salarial
DocType: Supplier Scorecard,Scoring Criteria,Criterii de evaluare
DocType: Purchase Invoice,Party Account Currency,Partidul cont valutar
DocType: Delivery Trip,Total Estimated Distance,Distanța totală estimată
DocType: Invoice Discounting,Accounts Receivable Unpaid Account,Conturi de primit un cont neplătit
DocType: Tally Migration,Tally Company,Tally Company
apps/erpnext/erpnext/config/manufacturing.py,BOM Browser,BOM Browser
apps/erpnext/erpnext/accounts/doctype/accounting_dimension/accounting_dimension.py,Not allowed to create accounting dimension for {0},Nu este permisă crearea unei dimensiuni contabile pentru {0}
apps/erpnext/erpnext/templates/emails/training_event.html,Please update your status for this training event,Actualizați starea dvs. pentru acest eveniment de instruire
DocType: Item Barcode,EAN,EAN
DocType: Purchase Taxes and Charges,Add or Deduct,Adăugaţi sau deduceţi
apps/erpnext/erpnext/accounts/doctype/shipping_rule/shipping_rule.py,Overlapping conditions found between:,Condiții se suprapun găsite între:
DocType: Bank Transaction Mapping,Field in Bank Transaction,Câmp în tranzacția bancară
apps/erpnext/erpnext/accounts/doctype/gl_entry/gl_entry.py,Against Journal Entry {0} is already adjusted against some other voucher,Comparativ intrării {0} în jurnal este deja ajustată comparativ altui voucher
,Inactive Sales Items,Articole de vânzare inactive
DocType: Quality Review,Additional Information,informatii suplimentare
apps/erpnext/erpnext/selling/report/inactive_customers/inactive_customers.py,Total Order Value,Valoarea totală Comanda
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py,Food,Produse Alimentare
apps/erpnext/erpnext/accounts/report/accounts_payable/accounts_payable.js,Ageing Range 3,Clasă de uzură 3
DocType: POS Closing Voucher Details,POS Closing Voucher Details,Detalii Voucher de închidere POS
DocType: Bank Account,Is the Default Account,Este contul implicit
DocType: Shopify Log,Shopify Log,Magazinul de jurnal
apps/erpnext/erpnext/public/js/call_popup/call_popup.js,No communication found.,Nu a fost găsită nicio comunicare.
DocType: Inpatient Occupancy,Check In,Verifica
apps/erpnext/erpnext/accounts/doctype/payment_request/payment_request.js,Create Payment Entry,Creați intrare de plată
DocType: Maintenance Schedule Item,No of Visits,Nu de vizite
apps/erpnext/erpnext/maintenance/doctype/maintenance_schedule/maintenance_schedule.py,Maintenance Schedule {0} exists against {1},Planul de Mentenanță {0} există împotriva {1}
apps/erpnext/erpnext/education/doctype/student_applicant/student_applicant.js,Enrolling student,student inregistrat
apps/erpnext/erpnext/accounts/doctype/period_closing_voucher/period_closing_voucher.py,Currency of the Closing Account must be {0},Valuta contului de închidere trebuie să fie {0}
apps/erpnext/erpnext/healthcare/doctype/patient_appointment/patient_appointment.py,"Appointment overlaps with {0}.<br> {1} has appointment scheduled
			with {2} at {3} having {4} minute(s) duration.",Numirea se suprapune cu {0}. <br> {1} are o programare programată cu {2} la {3} având o durată de {4} minute.
apps/erpnext/erpnext/hr/doctype/appraisal_template/appraisal_template.py,Sum of points for all goals should be 100. It is {0},Suma de puncte pentru toate obiectivele ar trebui să fie 100. este {0}
DocType: Project,Start and End Dates,Începere și de încheiere Date
DocType: Contract Template Fulfilment Terms,Contract Template Fulfilment Terms,Termenii de îndeplinire a modelului de contract
,Delivered Items To Be Billed,Produse Livrate Pentru a fi Facturate
DocType: Coupon Code,Maximum Use,Utilizare maximă
apps/erpnext/erpnext/manufacturing/doctype/bom/bom_item_preview.html,Open BOM {0},Deschideți BOM {0}
apps/erpnext/erpnext/stock/doctype/serial_no/serial_no.py,Warehouse cannot be changed for Serial No.,Depozit nu poate fi schimbat pentru Serial No.
DocType: Authorization Rule,Average Discount,Discount mediiu
DocType: Pricing Rule,UOM,UOM
DocType: Employee Tax Exemption Declaration,Annual HRA Exemption,Scutire anuală pentru HRA
DocType: Rename Tool,Utilities,Utilitați
DocType: POS Profile,Accounting,Contabilitate
DocType: Asset,Purchase Receipt Amount,Suma chitanței de cumpărare
DocType: Employee Separation,Exit Interview Summary,Exit Interviu Rezumat
apps/erpnext/erpnext/public/js/utils/serial_no_batch_selector.js,Please select batches for batched item ,Selectați loturile pentru elementul vărsat
DocType: Asset,Depreciation Schedules,Orarele de amortizare
apps/erpnext/erpnext/projects/doctype/timesheet/timesheet.js,Create Sales Invoice,Creați factură de vânzări
apps/erpnext/erpnext/regional/doctype/gstr_3b_report/gstr_3b_report.html,Ineligible ITC,ITC neeligibil
DocType: Task,Dependent Tasks,Sarcini dependente
apps/erpnext/erpnext/regional/report/gstr_1/gstr_1.py,Following accounts might be selected in GST Settings:,Următoarele conturi ar putea fi selectate în Setări GST:
apps/erpnext/erpnext/manufacturing/report/bom_stock_report/bom_stock_report.js,Quantity to Produce,Cantitate de produs
apps/erpnext/erpnext/hr/doctype/leave_application/leave_application.py,Application period cannot be outside leave allocation period,Perioada de aplicare nu poate fi perioadă de alocare concediu în afara
DocType: Activity Cost,Projects,Proiecte
DocType: Payment Request,Transaction Currency,Operațiuni valutare
apps/erpnext/erpnext/controllers/buying_controller.py,From {0} | {1} {2},De la {0} | {1} {2}
apps/erpnext/erpnext/public/js/hub/marketplace.js,Some emails are invalid,Unele e-mailuri sunt nevalide
DocType: Work Order Operation,Operation Description,Operație Descriere
apps/erpnext/erpnext/accounts/doctype/fiscal_year/fiscal_year.py,Cannot change Fiscal Year Start Date and Fiscal Year End Date once the Fiscal Year is saved.,Nu se poate schimba anul fiscal Data de începere și se termină anul fiscal Data odată ce anul fiscal este salvată.
DocType: Quotation,Shopping Cart,Cosul de cumparaturi
apps/erpnext/erpnext/stock/report/itemwise_recommended_reorder_level/itemwise_recommended_reorder_level.py,Avg Daily Outgoing,Ieșire zilnică medie
DocType: POS Profile,Campaign,Campanie
DocType: Supplier,Name and Type,Numele și tipul
apps/erpnext/erpnext/public/js/hub/pages/Item.vue,Item Reported,Articol raportat
apps/erpnext/erpnext/hr/doctype/expense_claim/expense_claim.py,Approval Status must be 'Approved' or 'Rejected',"Statusul aprobării trebuie să fie ""Aprobat"" sau ""Respins"""
DocType: Healthcare Practitioner,Contacts and Address,Contacte și adresă
DocType: Shift Type,Determine Check-in and Check-out,Determinați check-in și check-out
DocType: Salary Structure,Max Benefits (Amount),Beneficii maxime (suma)
apps/erpnext/erpnext/templates/includes/cart/cart_items.html,Add notes,Adăugați note
DocType: Purchase Invoice,Contact Person,Persoană de contact
apps/erpnext/erpnext/projects/doctype/task/task.py,'Expected Start Date' can not be greater than 'Expected End Date','Data de început preconizatã' nu poate fi dupa data 'Data de sfârșit anticipatã'
apps/erpnext/erpnext/selling/page/sales_funnel/sales_funnel.js,No data for this period,Nu există date pentru această perioadă
DocType: Course Scheduling Tool,Course End Date,Desigur Data de încheiere
DocType: Holiday List,Holidays,Concedii
DocType: Sales Order Item,Planned Quantity,Planificate Cantitate
DocType: Water Analysis,Water Analysis Criteria,Criterii de analiză a apei
DocType: Item,Maintain Stock,Articol Stocabil
DocType: Terms and Conditions,Applicable Modules,Module aplicabile
DocType: Employee,Prefered Email,E-mail Preferam
DocType: Student Admission,Eligibility and Details,Eligibilitate și detalii
apps/erpnext/erpnext/accounts/report/gross_and_net_profit_report/gross_and_net_profit_report.py,Included in Gross Profit,Inclus în Profitul brut
apps/erpnext/erpnext/accounts/report/cash_flow/cash_flow.py,Net Change in Fixed Asset,Schimbarea net în active fixe
apps/erpnext/erpnext/manufacturing/report/bom_stock_calculated/bom_stock_calculated.py,Reqd Qty,Reqd Cantitate
apps/erpnext/erpnext/controllers/accounts_controller.py,Charge of type 'Actual' in row {0} cannot be included in Item Rate,"Taxa de tip 'Efectiv' în inregistrarea {0} nu poate fi inclus în Rata Articol"""
apps/erpnext/erpnext/manufacturing/doctype/work_order/work_order.js,Max: {0},Max: {0}
apps/erpnext/erpnext/projects/report/daily_timesheet_summary/daily_timesheet_summary.py,From Datetime,De la Datetime
DocType: Shopify Settings,For Company,Pentru Companie
apps/erpnext/erpnext/buying/doctype/request_for_quotation/request_for_quotation.py,"Request for Quotation is disabled to access from portal, for more check portal settings.","Accesul din portal la Cererea de Oferta este dezactivat, verificați setările portalului."
DocType: Supplier Scorecard Scoring Variable,Supplier Scorecard Scoring Variable,Scorul variabil al scorului de performanță al furnizorului
apps/erpnext/erpnext/accounts/report/gross_profit/gross_profit.py,Buying Amount,Suma de Cumpărare
DocType: POS Closing Voucher,Modes of Payment,Moduri de plată
DocType: Sales Invoice,Shipping Address Name,Transport Adresa Nume
apps/erpnext/erpnext/accounts/doctype/account/account.js,Chart of Accounts,Diagramă Conturi
DocType: Material Request,Terms and Conditions Content,Termeni și condiții de conținut
apps/erpnext/erpnext/education/doctype/course_scheduling_tool/course_scheduling_tool.js,There were errors creating Course Schedule,Au apărut erori la crearea programului de curs
DocType: Communication Medium,Timeslots,Intervale de timp
DocType: Department,The first Expense Approver in the list will be set as the default Expense Approver.,Primul Aprobator de Cheltuieli din listă va fi setat ca Aprobator Cheltuieli implicit.
apps/erpnext/erpnext/accounts/doctype/sales_invoice/sales_invoice.js,cannot be greater than 100,nu poate fi mai mare de 100
apps/erpnext/erpnext/public/js/hub/marketplace.js,You need to be a user other than Administrator with System Manager and Item Manager roles to register on Marketplace.,Trebuie să fii alt utilizator decât Administrator cu rolul managerului de sistem și al Managerului de articole pentru a te înregistra pe Marketplace.
apps/erpnext/erpnext/stock/doctype/item/item.py,Item {0} is not a stock Item,Articolul{0} nu este un element de stoc
DocType: Packing Slip,MAT-PAC-.YYYY.-,MAT-PAC-.YYYY.-
DocType: Maintenance Visit,Unscheduled,Neprogramat
DocType: Employee,Owned,Deținut
DocType: Pricing Rule,"Higher the number, higher the priority","Este mai mare numărul, mai mare prioritate"
,Purchase Invoice Trends,Cumpărare Tendințe factură
apps/erpnext/erpnext/www/all-products/not_found.html,No products found,Nu au fost găsite produse
DocType: Employee,Better Prospects,Perspective îmbunătăţite
DocType: Travel Itinerary,Gluten Free,Fara gluten
DocType: Loyalty Program Collection,Minimum Total Spent,Suma totală cheltuită
apps/erpnext/erpnext/stock/doctype/batch/batch.py,"Row #{0}: The batch {1} has only {2} qty. Please select another batch which has {3} qty available or split the row into multiple rows, to deliver/issue from multiple batches","Rândul # {0}: lotul {1} are doar {2} qty. Selectați un alt lot care are {3} qty disponibil sau împărți rândul în mai multe rânduri, pentru a livra / emite din mai multe loturi"
DocType: Loyalty Program,Expiry Duration (in days),Termenul de expirare (în zile)
DocType: Inpatient Record,Discharge Date,Data descărcării
DocType: Subscription Plan,Price Determination,Determinarea prețurilor
DocType: Vehicle,License Plate,Înmatriculare
apps/erpnext/erpnext/hr/doctype/department/department_tree.js,New Department,Departamentul nou
DocType: Compensatory Leave Request,Worked On Holiday,Lucrat în vacanță
DocType: Appraisal,Goals,Obiective
DocType: Support Settings,Allow Resetting Service Level Agreement,Permiteți resetarea contractului de nivel de serviciu
apps/erpnext/erpnext/selling/page/point_of_sale/point_of_sale.js,Select POS Profile,Selectați POS Profile
DocType: Warranty Claim,Warranty / AMC Status,Garanție / AMC Starea
,Accounts Browser,Navigator Conturi
DocType: Procedure Prescription,Referral,Recomandare
DocType: Payment Entry Reference,Payment Entry Reference,Plată intrare de referință
DocType: GL Entry,GL Entry,Intrari GL
DocType: Support Search Source,Response Options,Opțiuni de Răspuns
DocType: Pricing Rule,Apply Multiple Pricing Rules,Aplicați mai multe reguli privind prețurile
DocType: HR Settings,Employee Settings,Setări Angajat
apps/erpnext/erpnext/templates/pages/integrations/gocardless_checkout.html,Loading Payment System,Încărcarea sistemului de plată
,Batch-Wise Balance History,Istoricul balanţei principale aferente lotului
apps/erpnext/erpnext/controllers/accounts_controller.py,Row #{0}: Cannot set Rate if amount is greater than billed amount for Item {1}.,Rândul # {0}: Nu se poate seta Rata dacă suma este mai mare decât suma facturată pentru articolul {1}.
apps/erpnext/erpnext/accounts/doctype/cheque_print_template/cheque_print_template.js,Print settings updated in respective print format,Setările de imprimare actualizate în format de imprimare respectiv
DocType: Package Code,Package Code,Cod pachet
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py,Apprentice,Începător
DocType: Purchase Invoice,Company GSTIN,Compania GSTIN
apps/erpnext/erpnext/stock/doctype/stock_reconciliation/stock_reconciliation.py,Negative Quantity is not allowed,Nu este permisă cantitate negativă
DocType: Purchase Invoice Item,"Tax detail table fetched from item master as a string and stored in this field.
Used for Taxes and Charges","Taxa detaliu tabel preluat de la maestru articol ca un șir și stocate în acest domeniu.
 Folosit pentru Impozite și Taxe"
apps/erpnext/erpnext/hr/doctype/employee/employee.py,Employee cannot report to himself.,Angajat nu pot raporta la sine.
apps/erpnext/erpnext/templates/pages/order.html,Rate:,Rată:
DocType: Bank Account,Change this date manually to setup the next synchronization start date,Modificați această dată manual pentru a configura următoarea dată de început a sincronizării
DocType: Leave Type,Max Leaves Allowed,Frunzele maxime sunt permise
DocType: Account,"If the account is frozen, entries are allowed to restricted users.","În cazul în care contul este blocat, intrările sunt permite utilizatorilor restricționati."
DocType: Email Digest,Bank Balance,Banca Balance
apps/erpnext/erpnext/controllers/accounts_controller.py,Accounting Entry for {0}: {1} can only be made in currency: {2},Intrarea contabila pentru {0}: {1} se poate face numai în valuta: {2}
DocType: HR Settings,Leave Approver Mandatory In Leave Application,Concedierea obligatorie la cerere
DocType: Job Opening,"Job profile, qualifications required etc.","Profilul postului, calificări necesare, etc"
DocType: Journal Entry Account,Account Balance,Soldul contului
apps/erpnext/erpnext/config/accounting.py,Tax Rule for transactions.,Regula de impozit pentru tranzacțiile.
DocType: Rename Tool,Type of document to rename.,Tip de document pentru a redenumi.
apps/erpnext/erpnext/accounts/doctype/chart_of_accounts_importer/chart_of_accounts_importer.js,Resolve error and upload again.,Rezolvați eroarea și încărcați din nou.
DocType: Buying Settings,Over Transfer Allowance (%),Indemnizație de transfer peste (%)
apps/erpnext/erpnext/accounts/doctype/gl_entry/gl_entry.py,{0} {1}: Customer is required against Receivable account {2},{0} {1}: Clientul este necesară împotriva contului Receivable {2}
DocType: Purchase Invoice,Total Taxes and Charges (Company Currency),Total Impozite si Taxe (Compania valutar)
DocType: Weather,Weather Parameter,Parametrul vremii
apps/erpnext/erpnext/accounts/report/trial_balance/trial_balance.js,Show unclosed fiscal year's P&L balances,Afișați soldurile L P &amp; anul fiscal unclosed lui
DocType: Item,Asset Naming Series,Serie de denumire a activelor
DocType: Appraisal,HR-APR-.YY.-.MM.,HR-APR-.YY.-.MM.
apps/erpnext/erpnext/regional/india/utils.py,House rented dates should be atleast 15 days apart,Căminul de închiriat al casei trebuie să fie la cel puțin 15 zile
DocType: Clinical Procedure Template,Collection Details,Detaliile colecției
DocType: POS Profile,Allow Print Before Pay,Permiteți tipărirea înainte de a plăti
DocType: Linked Soil Texture,Linked Soil Texture,Textură de sol conectată
DocType: Shipping Rule,Shipping Account,Contul de transport maritim
apps/erpnext/erpnext/accounts/doctype/gl_entry/gl_entry.py,{0} {1}: Account {2} is inactive,{0} {1}: Cont {2} este inactiv
DocType: GSTR 3B Report,March,Martie
DocType: Bank Statement Transaction Entry,Bank Transaction Entries,Intrările de tranzacții bancare
DocType: Quality Inspection,Readings,Lecturi
DocType: Stock Entry,Total Additional Costs,Costuri totale suplimentare
DocType: Quality Action,Quality Action,Acțiune de calitate
apps/erpnext/erpnext/crm/report/lead_conversion_time/lead_conversion_time.py,No of Interactions,Nr de interacțiuni
DocType: BOM,Scrap Material Cost(Company Currency),Cost resturi de material (companie Moneda)
apps/erpnext/erpnext/support/doctype/service_level/service_level.py,"Set Start Time and End Time for  \
					Support Day {0} at index {1}.",Setați ora de pornire și ora de sfârșit pentru \ Ziua de asistență {0} la index {1}.
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py,Sub Assemblies,Sub Assemblies
DocType: Asset,Asset Name,Denumire activ
DocType: Employee Boarding Activity,Task Weight,sarcina Greutate
DocType: Shipping Rule Condition,To Value,La valoarea
DocType: Accounts Settings,Automatically Add Taxes and Charges from Item Tax Template,Adaugă automat impozite și taxe din șablonul de impozit pe articole
DocType: Loyalty Program,Loyalty Program Type,Tip de program de loialitate
DocType: Asset Movement,Stock Manager,Stock Manager
apps/erpnext/erpnext/stock/doctype/stock_entry/stock_entry.py,Source warehouse is mandatory for row {0},Depozit sursă este obligatorie pentru rând {0}
apps/erpnext/erpnext/accounts/doctype/payment_terms_template/payment_terms_template.py,The Payment Term at row {0} is possibly a duplicate.,"Termenul de plată la rândul {0} este, eventual, un duplicat."
apps/erpnext/erpnext/public/js/setup_wizard.js,Agriculture (beta),Agricultura (beta)
apps/erpnext/erpnext/stock/doctype/delivery_note/delivery_note.js,Packing Slip,Slip de ambalare
apps/erpnext/erpnext/accounts/doctype/account/chart_of_accounts/verified/standard_chart_of_accounts_with_account_number.py,Office Rent,Birou inchiriat
apps/erpnext/erpnext/config/settings.py,Setup SMS gateway settings,Setări de configurare SMS gateway-ul
DocType: Disease,Common Name,Denumire Comună
DocType: Customer Feedback Template Table,Customer Feedback Template Table,Tabelul cu șabloane de feedback pentru clienți
DocType: Employee Boarding Activity,Employee Boarding Activity,Activitatea de îmbarcare a angajaților
apps/erpnext/erpnext/public/js/templates/address_list.html,No address added yet.,Nici o adresă adăugată încă.
DocType: Workstation Working Hour,Workstation Working Hour,Statie de lucru de ore de lucru
DocType: Vital Signs,Blood Pressure,Tensiune arteriala
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py,Analyst,Analist
apps/erpnext/erpnext/hr/doctype/employee_benefit_claim/employee_benefit_claim.py,{0} is not in a valid Payroll Period,{0} nu este într-o Perioadă de Salarizare validă
