Pension Funds,Emeklilik fonları
Configure {0},{0} yapılandırın
Contact Details,İletişim detayları
Classrooms/ Laboratories etc where lectures can be scheduled.,Derslerin verilebileceği derslikler / laboratuvarlar vb.
Cannot cancel because submitted Stock Entry {0} exists,Gönderilen Stok Girişi {0} bulunduğundan iptal edilemiyor
Balance In Account Currency,Hesap Para Birimi Bakiyesi
Close the POS,POS’u kapatın
"For {0}, only credit accounts can be linked against another debit entry","{0} için, yalnızca kredi hesapları başka bir ödeme girişine bağlanabilir"
Pharmaceutical,İlaç
Boarding Student,Yatılı Öğrenci
Total Contribution Amount: {0},Toplam Katkı Tutarı: {0}
Two-way,Çift yönlü
Appraisal,değerlendirme
Fiscal Year: {0} does not exists,Mali Yıl: {0} mevcut değil
Create Employee,Çalışan Oluştur
Structures have been assigned successfully,Yapılar başarıyla atandı
Direct Expenses,Doğrudan Masraflar
Result Route Field,Sonuç Rota Alanı
There is not enough leave balance for Leave Type {0},{0} İzin Türü için yeterli izin bakiyesi yok
Actual Qty,Gerçek Adet
Supplier Invoice Date,Tedarikçi Fatura Tarihi
Finance Book Id,Finans Kitap No
Current Exchange Rate,Cari Döviz Kuru
Equity,Eşitlik
"Row #{0}: Reference Document Type must be one of Sales Order, Sales Invoice or Journal Entry","Satır # {0}: Referans Belge Türü, Satış Siparişi, Satış Faturası veya Dergi Girişinden biri olmalı"
Explore Sales Cycle,Satış Döngüsünü Keşfedin
Request Data,Veri İste
Quality Procedure,Kalite prosedürü
Email sent to supplier {0},E-posta tedarikçisine {0} gönderildi
Course wise Assessment Report,Kurs bilge Değerlendirme Raporu
Automotive,Otomotiv
Row {0}: Allocated amount {1} must be less than or equals to invoice outstanding amount {2},"{0} Satırı: Tahsis edilen {1} tutarının, ödenmemiş tutar {2} faturaya eşit veya daha küçük olması gerekir"
Total Parents Teacher Meeting,Toplam Ebeveyn Öğretmen Toplantısı
Row {0} : Operation is required against the raw material item {1},{0} Satırı: {1} hammadde maddesine karşı işlem gerekiyor
Posting timestamp must be after {0},Gönderme zaman damgası {0} tarihinden sonra olmalıdır.
Please mention the Lead Name in Lead {0},Lütfen {0} Başlığında Kurşun Adını belirtin
You can enter any date manually,Herhangi bir tarihi manuel olarak girebilirsiniz
Stock Reconciliation Item,Stok mutabakatı kalemi
General Settings,Genel Ayarlar
Due Date cannot be before Posting / Supplier Invoice Date,Son Ödeme Tarihi Gönderim / Tedarikçi Fatura Tarihi&#39;nden önce olamaz
Enter the name of the Beneficiary before submittting.,Göndermeden önce Yararlanıcının adını girin.
Record Patient Vitals,Hasta Vitallerini Kaydet
Show Configure Button,Yapılandırma Düğmesini Göster
Industry Type,Endüstri Tipi
Cannot select charge type as 'On Previous Row Amount' or 'On Previous Row Total' for first row,Ücretlendirme türü ilk satır için &#39;Önceki Satır Miktarında&#39; veya &#39;Önceki Satır Toplamında&#39; olarak seçilemiyor
The shares already exist,Hisseler zaten var
Available Qty at WIP Warehouse,WIP Atölyesinde Mevcut Miktar
Resolve error and upload again.,Hatayı çözün ve tekrar yükleyin.
Copy of Invitation/Announcement,Davetiye / Duyuru Kopyası
Healthcare Service Unit,Sağlık Hizmet Birimi
Total(Qty),Toplam miktar)
Health Insurance No,Sağlık Sigortası No
Max Grade,Max Grade
Approver,itirafçı
Sales Order Trends,Satış Sipariş Trendleri
Repair Cost,Tamir Ücreti
Please mention Round Off Account in Company,Lütfen Şirkette &quot;Yuvarlak Hesap&quot; yazınız.
Select Payroll Period,Bordro Dönemi Seçiniz
Price List Name,Fiyat Listesi Adı
You can only submit Leave Encashment for a valid encashment amount,Ayrılma Ekini yalnızca geçerli bir eklenme miktarı için gönderebilirsiniz.
"Higher the number, higher the priority","Sayı yükseldikçe, öncelik de artar"
Required Skills,İstenen yetenekler
Disable Marketplace,Pazarı Devre Dışı Bırak
Action if Annual Budget Exceeded on Actual,Fiili Yıllık Bütçeyi Aşarsa Eylem
Course Abbreviation,Kurs Kısaltma
Attendance not submitted for {0} as {1} on leave.,{0} için katılım izninde {1} olarak sunulmadı.
Promotional Scheme Id,Promosyon Şeması No
License Details,Lisans Detayları
e.g Adjustments for:,örneğin:
Default Quotation Validity Days,Varsayılan Teklif Geçerlilik Günleri
"Bank Account, From Date and To Date are Mandatory","Banka Hesabı, Tarihten Günümüze Zorunlu"
Expense Type,Gider Türü
Auditor,Denetçi
Payment Confirmation,Ödeme onaylama
Available Stock for Packing Items,Paketleme Ürünleri İçin Mevcut Stoklar
Please remove this Invoice {0} from C-Form {1},"Lütfen bu Faturayı {0}, {1} C-Form&#39;undan kaldırın."
Query Route String,Sorgu Rota Dizesi
Customer Feedback Template,Müşteri Geri Bildirim Şablonu
Quotes to Leads or Customers.,Müşterilere veya Müşterilere Teklifler.
Transporter,Taşıyıcı
Salary Slip of employee {0} already created for this period,{0} çalışanının maaş fişi bu süre için oluşturuldu
To {0} | {1} {2},{0} | {1} {2}
Block Date,Blok Tarihi
Contact No.,İletişim Numarası.
Overproduction Percentage For Work Order,İş Emri İçin Aşırı Üretim Yüzdesi
Enroll,kaydetmek
Quotation Lost Reason,Teklif Kayıp Sebep
Employee Billing Summary,Çalışan Fatura Özeti
Country wise default Address Templates,Ülke bilge varsayılan Adres Şablonları
Parent Cost Center,Ebeveyn Maliyet Merkezi
Apply Rule On Item Group,Öğe Grubuna Kural Uygula
Example: Basic Mathematics,Örnek: Temel Matematik
Total Amount Reimbursed,Geri Ödenen Toplam Tutar
Validity period of this quotation has ended.,Bu teklifin geçerlilik süresi sona ermiştir.
Item-wise Sales History,Eşya Satış Geçmişi
Personal Email,Kişisel eposta
Cheque Date,Tarihi kontrol et
Previous Financial Year is not closed,Önceki Mali Yıl Kapalı değil
Next Contact Date,Sonraki İrtibat Tarihi
Membership,Üyelik
Default Buying Price List,Varsayılan Alış Fiyat Listesi
Depreciation Method,Amortisman Yöntemi
Travel Request,Seyahat isteği
{0} variants created.,{0} değişken oluşturuldu.
Avoid Confirmation,Onaydan Kaçının
Under AMC,AMC altında
"Warehouse required at Row No {0}, please set default warehouse for the item {1} for the company {2}","{0} Satırında gerekli depo, lütfen {2} şirketi için {1} maddesi için varsayılan depo ayarlayın."
Authorization Control,Yetkilendirme Kontrolü
Daily Work Summary Replies,Günlük İş Özet Cevapları
You have been invited to collaborate on the project: {0},{0} projesinde işbirliği yapmaya davet edildiniz:
Sales Details,Satış Detayları
Letter Heads for print templates.,Baskı şablonları için mektup kafaları.
Tax on additional salary,Ek maaş vergisi
Attach Logo,Logo Ekle
For row {0}: Enter Planned Qty,{0} satırı için: Planlanan Miktarı Girin
Calculate Prorated Depreciation Schedule Based on Fiscal Year,Mali Yıla Dayalı Prorated Amortisman Planını Hesapla
Logs for maintaining sms delivery status,Sms teslim durumunu korumak için günlükleri
Current Job Openings,Mevcut İş Açılışları
"Pricing Rule is first selected based on 'Apply On' field, which can be Item, Item Group or Brand.","Fiyatlandırma Kuralı ilk önce Madde, Öğe Grubu veya Marka olabilen &#39;Uygula&#39; alanına göre belirlenir."
Add / Edit Taxes and Charges,Vergi ve Masraf Ekleme / Düzenleme
Supply Raw Materials for Purchase,Satınalma için Hammadde Temini
Proposal Writing,Teklif Yazımı
Purchase Receipt Item,Satınalma Fişi Öğesi
Get Sales Orders,Satış Siparişleri Alın
Selling,Satış
Prevent Purchase Orders,Satınalma Siparişlerini Önleyin
Print and Stationery,Baskı ve Kırtasiye
Shipping rule only applicable for Buying,Gönderi kuralı yalnızca Satın Alma için geçerlidir
No products found.,Ürün bulunamadı
Row {0}: Please set at Tax Exemption Reason in Sales Taxes and Charges,{0} Satırı: Lütfen Satış Vergileri ve Masraflarında Vergi Muafiyeti Nedeni ayarını yapın
Assessment Group: ,Değerlendirme Grubu:
Parties,Taraflar
Show exploded view,Ayrılmış görünümü göster
No Delivery Note selected for Customer {},{} Müşteri için Teslim Notu seçilmedi
End on,Sonunda
You can't redeem Loyalty Points having more value than the Grand Total.,Genel Toplam’dan daha fazla değerli Sadakat Puanlarını kullanamazsınız.
Designer,tasarımcı
Default Warehouse,Varsayılan Depo
Default Cash Account,Varsayılan Nakit Hesabı
Please enter Reference date,Lütfen Referans tarihini giriniz
Item {0} must be a stock Item,{0} kalemi bir hisse senedi olmalı
Print Format for Online,Çevrimiçi için Baskı Biçimi
Employee Leave Balance,Çalışan İzin Bakiyesi
Ignore User Time Overlap,Kullanıcı Zaman Çakışmasını Yoksay
As per Stock UOM,UOM stok başına
Cost Center with existing transactions can not be converted to group,Mevcut işlemlerle birlikte Maliyet Merkezi gruba dönüştürülemez
cannot be greater than 100,100&#39;den büyük olamaz
Please Delivery Note first,Lütfen önce teslimat notu
Leave Type Name,Tip Adını Bırak
Homepage Featured Product,Anasayfa Özellikli Ürün
Examiner Name,Sınav Görevlisi Adı
Hotel Room Occupancy,Otel odasında konaklama
Telecommunications,Telekomünikasyon
Certification Application,Sertifika Başvurusu
Website Image should be a public file or website URL,"Web Sitesi Resmi, genel bir dosya veya web sitesi URL’si olmalıdır"
Your Suppliers,Tedarikçileriniz
Weightage (%),Ağırlık (%)
Inter-State Supplies,Devletlerarası Tedarikler
Send Payment Request,Ödeme İsteği Gönder
{0} is not added in the table,Tabloya {0} eklenmedi
Create Student,Öğrenci Yarat
Gantt chart of all tasks.,Tüm görevlerin Gantt şeması.
Leave Approvers,Onaylayanları Bırak
Materials Required (Exploded),Gerekli Malzemeler (Patladı)
Repay Over Number of Periods,Dönem Sayısı Üzerinde Geri Ödeme
Receivable,alacak
Price List must be applicable for Buying or Selling,Fiyat Listesi Alış veya Satış için geçerli olmalıdır
Resend Payment Email,Ödeme E-postasını Yeniden Gönder
Please set {0} for address {1},Lütfen {1} adresi için {0} ayarını yapınız.
Default Source Warehouse,Varsayılan Kaynak Depo
Bill,fatura
Duplicate roll number for student {0},{0} öğrencisi için yinelenen rulo numarası
Batch {0} of Item {1} has expired.,{1} öğesinin toplu işleminin {0} süresi doldu.
Approved Date,Onay tarihi
Item Tax,Öğe Vergisi
Cannot transfer Employee with status Left,Çalışan durumu Sol ile devredilemiyor
Total Cost,Toplam tutar
Quote Status,Alıntı Durumu
Qualification,Vasıf
Complaints,Şikayetler
Is Purchase Item,Satın Alma Maddesidir
Purchase Receipt,Satınalma Fişi
Trial Period Start Date,Deneme Süresi Başlama Tarihi
Credit Balance,Kredi dengesi
Payroll Period,Bordro Dönemi
Supplier database.,Tedarikçi veritabanı.
Tax Type,Vergi türü
Move Item,Öğe Taşı
Description of a Job Opening,İş Açılışının Açıklaması
Create Users,Kullanıcılar oluştur
Current Fiscal Year,Cari Mali Yıl
Hub Warehouse,Hub Depo
Tax Breakup,Vergi Dağılımı
Material Transferred,Transfer Edilen Malzeme
You are not authorized to add or update entries before {0},{0} tarihinden önce giriş ekleme veya güncelleme yetkiniz yok
Date of Birth cannot be greater than today.,Doğum tarihi bugünden daha büyük olamaz.
Number of serial nos and quantity must be the same,Seri no ve adedi aynı olmalı
Exception Budget Approver Role,İstisna Bütçe Onaylayıcı Rolü
In Process,Süreçte
Send Emails At,E-posta Gönder
Marketplace Error,Pazar Yeri Hatası
Working Days,İş günleri
Margin Money,Marj Parası
Chapter,bölüm
Current Stock,Mevcut stok
History In Company,Şirket Tarihçesi
Manufacturer,Üretici firma
Moderate Sensitivity,Orta hassasiyet
Leave Allocation,Tahsis Bırak
Timesheet,Zaman planı
Abbreviation already used for another company,Kısaltma zaten başka bir şirket için kullanılmış
Please select Patient to get Lab Tests,Laboratuar Testleri almak için lütfen Hasta&#39;yı seçin
Advance Paid,Peşin Ödenmiş
Load All Criteria,Tüm Ölçütleri Yükle
Serial Numbers in row {0} does not match with Delivery Note,{0} satırındaki seri numaraları Teslimat Notu ile eşleşmiyor
Creditors,alacaklıların
Raised By,Yükseltildi
Reference No and Reference Date is mandatory for Bank transaction,Banka işlemi için Referans No ve Referans Tarihi zorunludur
There can be multiple tiered collection factor based on the total spent. But the conversion factor for redemption will always be same for all the tier.,"Harcanan toplamı temel alan çok katmanlı toplama faktörü olabilir. Ancak, itfa için dönüşüm faktörü her kademede her zaman aynı olacaktır."
Batch No,Seri No
Executive Search,Yönetici Arama
Stock Adjustment Account,Stok Düzeltme Hesabı
Gross Profit %,Brüt kar %
Request Type,İstek Türü
Reminded,hatırlatıldı
Billing Address,Fatura Adresi
Mark as Present,Mevcut Olarak İşaretle
Landed Cost Voucher,İniş Maliyeti Belgesi
Total working hours should not be greater than max working hours {0},Toplam çalışma saatleri azami çalışma saatlerinden büyük olmamalıdır {0}
Customer Addresses And Contacts,Müşteri Adresleri ve İletişim
Task Progress,Görev İlerlemesi
Opening Entry,Giriş Açma
Charges Incurred,Yapılan Masraflar
Material Transferred for Manufacturing,İmalat İçin Aktarılan Malzeme
Hide Variants,Varyantları Gizle
Disable Capacity Planning and Time Tracking,Kapasite Planlama ve Zaman Takibini Devre Dışı Bırak
* Will be calculated in the transaction.,* İşlemde hesaplanacaktır.
{0} not allowed to transact with {1}. Please change the Company.,"{0}, {1} ile işlem yapamaz. Lütfen Şirketi değiştiriniz."
"As per the Buying Settings if Purchase Reciept Required == 'YES', then for creating Purchase Invoice, user need to create Purchase Receipt first for item {0}","Satın Alma Gerekirse Satın Alma Ayarlarına göre == &#39;EVET&#39;, ardından Satınalma Faturası oluşturmak için kullanıcının {0} maddesi için önce Satınalma Fişi yaratması gerekir"
Delivery Details,Teslimat Detayları
Discharge Scheduled,Planlanan Deşarj
"Reference: {0}, Item Code: {1} and Customer: {2}","Referans: {0}, Ürün Kodu: {1} ve Müşteri: {2}"
Caution,Dikkat
View attachments,Ekleri görüntüle
Allow Production on Holidays,Tatillerde Üretime İzin Ver
Update Bank Transaction Dates,Banka İşlem Tarihlerini Güncelle
Reading 4,4 okuma
"Item {0} has no Serial No. Only serilialized items \
						can have delivery based on Serial No",{0} ürününde Seri Numarası yok
Program Course,Program kursu
Telephone Expenses,Telefon Giderleri
Widow,Dul
Number of Interaction,Etkileşim Sayısı
"Multiple Price Rules exists with same criteria, please resolve conflict by assigning priority. Price Rules: {0}","Aynı kriterlere sahip birden fazla Fiyat Kuralı var, lütfen önceliği atayarak çakışmayı giderin. Fiyat Kuralları: {0}"
Cost Center and Budgeting,Maliyet Merkezi ve Bütçeleme
Ordered Items To Be Delivered,Teslim Edilecek Sipariş Edilen Öğeler
Homepage Section Card,Anasayfa Bölüm Kartı
Depreciation,Amortisman
Interests,İlgi
Consumed Qty,Tüketilen Miktar
Education Manager,Eğitim Müdürü
Plan time logs outside Workstation Working Hours.,İş İstasyonu Çalışma Saatleri dışında zaman günlüklerini planlayın.
Loyalty Points: {0},Sadakat Puanları: {0}
Registration Message,Kayıt Mesajı
Select an account to print in account currency,Hesap para biriminde yazdırmak için bir hesap seçin
Serial no item cannot be a fraction,Seri no item kesir olamaz
Warehouse can not be deleted as stock ledger entry exists for this warehouse.,Bu depo için stok defteri girişi bulunduğundan Depo silinemez.
See past quotations,Geçmiş alıntılara bakın
Prev,Önceki
Unit of Measure,Ölçü birimi
Test Template,Test Şablonu
Fertilizer Contents,Gübre İçeriği
Minute,Dakika
"Row #{0}: Asset {1} cannot be submitted, it is already {2}","Satır # {0}: {1} kıymet gönderilemiyor, bu zaten {2}"
Actual Time (in Hours),Gerçek Zaman (Saat olarak)
Closing Account Head,Hesap Kapanışı
Shipping Rule,Nakliye Kuralı
Net Weight,Net ağırlık
Please enter valid Financial Year Start and End Dates,Lütfen geçerli bir Finansal Yıl Başlangıç ve Bitiş Tarihleri girin
Quantity of Items,Ürünlerin Miktarı
PIN,TOPLU İĞNE
Lab testing datetime cannot be before collection datetime,Lab sınama tarihi tarih toplama saatinden önce olamaz
Invoice already created for all billing hours,"Faturalandırma, tüm faturalandırma saatleri için zaten oluşturuldu"
Contact Desc,İletişim Desc
Pricing Rules,Fiyatlandırma Kuralları
Image List,Görüntü listesi
Allow Rename Attribute Value,Yeniden Adlandırma Özellik Değerine İzin Ver
Price Not UOM Dependant,Fiyat UOM Bağımlı Değil
Time(in mins),Zaman (dakika olarak)
Basic,Temel
Interest Income Account,Faiz Gelir Hesabı
A condition for a Shipping Rule,Gönderi Kuralı için bir koşul
Payroll Period Date,Bordro Dönemi Tarihi
Employment Type,İstihdam Tipi
Select POS Profile,POS Profili Seç
Get Latest Query,En Son Sorguyu Alın
Employee Incentive,Çalışan Teşvik
Add cards or custom sections on homepage,Ana sayfaya kart veya özel bölüm ekleme
Hero Section Based On,Kahraman Bölümüne Dayalı
Total Purchase Cost (via Purchase Invoice),Toplam Satın Alma Maliyeti (Satınalma Faturasıyla)
Total Estimated Cost,Toplam Tahmini Maliyet
"Sales, Purchase, Accounting Defaults","Satış, Satın Alma, Muhasebe Varsayılanları"
Requesting payment against {0} {1} for amount {2},{2} tutarında {0} {1} tutarında ödeme talep etme
Please set the Item Code first,Lütfen önce Öğe Kodunu ayarlayın
Due Date Based On,Temin Edilen Bitiş Tarihi
Incoming,Gelen
Partially Ordered,Kısmen Sipariş Edildi
Customer's Purchase Order No,Müşterinin Satınalma Siparişi No
Select Alternate Item,Alternatif Öğe Seç
Applicable Holiday List,Uygulanabilir tatil listesi
Hub Tracked Item,Hub İzlenen Öğe
Service Details,Servis Detayları
Is Featured,Özellikli
Don't send Employee Birthday Reminders,Çalışan Doğum Günü Hatırlatıcıları göndermeyin
Maintain Same Rate Throughout Sales Cycle,Satış Döngüsü Boyunca Aynı Oranı Koruyun
Transportation,taşımacılık
Date TIme,Tarih Saati
Please select quantity on row ,Lütfen satırdaki miktarı seçin
Earning Component,Kazanç Bileşeni
Please select Company first,Lütfen önce şirketi seçin
Publish Item to hub.erpnext.com,Öğeyi hub.erpnext.com adresine yayınla
Join,Katılmak
Set rate of sub-assembly item based on BOM,Malzeme Listesine göre alt montaj öğesinin ücret ayarlaması
Wheels,Tekerlekler
"Aggregate group of **Items** into another **Item**. This is useful if you are bundling a certain **Items** into a package and you maintain stock of the packed **Items** and not the aggregate **Item**. 

The package **Item** will have ""Is Stock Item"" as ""No"" and ""Is Sales Item"" as ""Yes"".

For Example: If you are selling Laptops and Backpacks separately and have a special price if the customer buys both, then the Laptop + Backpack will be a new Product Bundle Item.

Note: BOM = Bill of Materials","** Grup ** toplam ** başka bir ** Öğe ** &#39;ye. Bu, belirli bir ** Öğeleri ** bir pakete bağladığınızda ve paketlenmiş ** Öğelerin ** ve toplam ** Öğenin ** stoklarını korumanız durumunda yararlıdır. ** Ürün **, &quot;Hayır&quot; olarak &quot;Stok Öğesi&quot; ve &quot;Evet&quot; olarak &quot;Satış Değeri&quot; olacaktır. Örneğin: Dizüstü Bilgisayarları ve Sırt Çantalarını ayrı olarak satıyorsanız ve müşteri her ikisini de satın alırsa özel bir fiyata sahipseniz, Dizüstü Bilgisayar + Sırt Çantası yeni bir Ürün Paketi Öğesi olacaktır. Not: BOM = Malzeme Listesi"
Another Budget record '{0}' already exists against {1} '{2}' and account '{3}' for fiscal year {4},&#39;{0}&#39; adlı bir başka Bütçe kaydı zaten {1} &#39;{2}&#39; a karşı ve {4} mali yılı için &#39;{3}&#39; hesabı var
Purchase Receipt Amount,Satınalma Fişi Tutarı
Ongoing,Devam eden
Agreement Details,Anlaşma Detayları
Posting Time,Zaman gönderme
Loyalty Program Name,Sadakat Programının Adı
Dormant,Uykuda
{0}: From {1},{0}: {1} den
Attach custom Chart of Accounts file,Özel Hesap Planı dosyasını ekleyin
Item Variants,Ürün Çeşitleri
Fully Completed,Tamamen tamamlanmış
Transaction Date,İşlem günü
No data for this period,Bu dönem için veri yok
Default account will be automatically updated in POS Invoice when this mode is selected.,Bu mod seçildiğinde varsayılan hesap POS Faturada otomatik olarak güncellenecektir.
Company Abbreviation cannot have more than 5 characters,Şirket Kısaltması 5 karakterden fazla olamaz
Canceled,İptal edildi
Customers and Suppliers,Müşteriler ve Tedarikçiler
To Produce,Üretmek için
Is Container,Konteyner mi
Research & Development,Araştırma &amp; Geliştirme
Application Settings,Uygulama ayarları
Production Order cannot be raised against a Item Template,Bir Ürün Şablonuna Göre Üretim Siparişi Alınamıyor
Manufacture against Material Request,Malzeme Talebine Göre İmalat
Ordered Quantity,Sipariş edilen miktar
Row #{0}: Rejected Warehouse is mandatory against rejected Item {1},"Satır # {0}: Reddedilen Depo, reddedilen Öğeye karşı zorunludur {1}"
Received Items To Be Billed,Faturalanacak Öğeler
Working Hours,Çalışma saatleri
Payment Mode,Ödeme şekli
Purchase Order Items not received on time,Zamanında alınmayan Satınalma Siparişi Kalemleri
Duration in Days,Günlerde Süre
Sales Team Details,Satış Ekibi Detayları
Replace,değiştirmek
Event Name,Etkinlik ismi
Receiver List,Alıcı listesi
Cr,Cr
Are you sure you want to cancel this appointment?,Bu randevuyu iptal etmek istediğinize emin misiniz?
Accounts Receivable Credit Account,Alacak Alacak Hesabı
Prefix,Önek
Actual Operation Time,Gerçek çalışma süresi
Net Rate,Net oran
Net Change in Cash,Nakit Olarak Net Değişim
Set warehouse for Procedure {0} ,{0} Prosedürü için depo ayarla
Block Invoice,Faturayı Engelle
Account {0}: Parent account {1} does not exist,Hesap {0}: {1} ana hesap mevcut değil
Encrypt Salary Slips in Emails,E-postalardaki Maaş Notlarını Şifrele
Score,Gol
Driver Name,Sürücü adı
Please select Incharge Person's name,Lütfen Incharge Person&#39;in adını seçiniz.
Training,Eğitim
Stock Reports,Stok Raporları
Conversion factor for default Unit of Measure must be 1 in row {0},"Varsayılan Ölçü Birimi için dönüşüm faktörü, {0} satırında 1 olmalıdır"
Course Scheduling Tool,Ders Planlama Aracı
Finished Goods,Bitmiş mallar
Customer Warehouse (Optional),Müşteri Depo (İsteğe bağlı)
Sync Master Data,Ana Verileri Senkronize Et
Address & Contact,Adres ve İletişim
To Date,Bugüne kadar
Error in some rows,Bazı satırlarda hata
Lab Tests and Vital Signs,Laboratuar Testleri ve Yaşamsal Belirti
Tax Rule for transactions.,İşlemler için Vergi Kuralı.
Show Barcode Field,Barkod Alanını Göster
DN Detail,DN Detayı
Fluid,akışkan
B2C Limit,B2C Sınırı
Electronic Equipments,Elektronik Ekipmanlar
Cannot find active Leave Period,Aktif İzin Süresi bulunamıyor
Create Maintenance Visit,Bakım Ziyareti Yaratın
Change In Item,Öğede Değiştir
{0} Students have been enrolled,{0} Öğrenciler kaydoldu
Inspection,teftiş
Area,alan
Summary for this week and pending activities,Bu hafta için özet ve bekleyen etkinlikler
Maintenance Task,Bakım Görevi
Current Invoice Start Date,Mevcut Fatura Başlangıç Tarihi
Item,madde
Get Students From,Öğrencileri Alın
Always synch your products from Amazon MWS before synching the Orders details,Siparişlerinizi senkronize etmeden önce ürünlerinizi daima Amazon MWS&#39;tan senkronize edin.
Leave Block List Name,Blok Listesi Adını Bırak
"Could not update stock, invoice contains drop shipping item.","Hisse senedi güncellenemedi, faturada damla nakliye kalemi var."
Completion Date,Tamamlama tarihi
Rate at which supplier's currency is converted to company's base currency,Tedarikçinin para biriminin şirketin temel para birimine dönüştürülme oranı
Leave Control Panel,Kontrol Panelinden Ayrıl
Total Applicable Charges in Purchase Receipt Items table must be same as Total Taxes and Charges,Alınan Makbuz Kalemlerinde Uygulanabilir Toplam Ücretler tablosu Toplam Vergiler ve Ücretler ile aynı olmalıdır
In Words will be visible once you save the Delivery Note.,Teslim Notunu kaydettiğinizde Kelimeler Olarak görünecektir.
Suppliies made to Composition Taxable Persons,Vergilendirilebilir Kişilerin Bileşimine Yapılan Tedarikler
Reserved Qty for Production,Üretim İçin Ayrılmış Miktar
Quality Manager,Kalite Yöneticisi
"Configure Item Fields like UOM, Item Group, Description and No of Hours.","UOM, Öğe Grubu, Açıklama ve Saat Sayısı gibi Öğe Alanlarını Yapılandırın."
New Department,Yeni bölüm
Job Applicant,İş Adayı
Create Invoices,Fatura Yaratın
Purchase Order Item,Satınalma Siparişi Maddesi
Data Import and Export,Veri Alma ve Verme
Please contact to the user who have Sales Master Manager {0} role,Lütfen {0} rolünde Sales Master Manager olan kullanıcıyla iletişim kurun
You cannot delete Project Type 'External',&#39;Dış&#39; Proje Türünü silemezsiniz
Temporary,Geçici
Column Labels : ,Sütun Etiketleri:
Employee A/C Number,Çalışan A / C Numarası
Opening Date should be before Closing Date,Açılış Tarihi Kapanış Tarihinden Önce Olmalıdır
Parent Detail docname,Üst Ayrıntı docname
Bank Reconciliation Detail,Banka Uzlaşması Ayrıntısı
Cumulative Transaction Threshold,Birikmeli İşlem Eşiği
"Number of intervals for the interval field e.g if Interval is 'Days' and Billing Interval Count is 3, invoices will be generated every 3 days","Aralık alanı için aralık sayısı, örneğin Aralık &#39;Günler&#39; ve Faturalama Aralık Sayısı 3 ise, her 3 günde bir fatura oluşturulur."
'Actual Start Date' can not be greater than 'Actual End Date',"&#39;Gerçek Başlangıç Tarihi&#39;, &#39;Gerçek Bitiş Tarihinden&#39; büyük olamaz"
Payment Entry Reference,Ödeme Giriş Referansı
Salary Component Account,Maaş Bileşeni Hesabı
Default Payable Accounts,Varsayılan Borç Hesapları
In Words,Kelimelerde
Purchase Order,Satın alma emri
Entry Type,Giriş tipi
Laboratory,laboratuvar
To Bill,Faturalamak
Utility Expenses,Hizmet Giderleri
Time Between Operations (in mins),İşlemler Arası Süre (dak)
May,Mayıs ayı
"Payment Gateway Account not created, please create one manually.","Ödeme Ağ Geçidi Hesabı oluşturulamadı, lütfen manuel olarak bir tane oluşturun."
Purchase,Satın alma
School House,Okul evi
Please select at least one domain.,Lütfen en az bir etki alanı seçin.
Daily Project Summary for {0},{0} Günlük Proje Özeti
All Territories,Tüm Bölgeler
Failure Date,Arıza Tarihi
Attendees,Katılımcılar
Total Outstanding,Toplam Üstün
Amount of TDS Deducted,Düşen TDS miktarı
Cash or Bank Account is mandatory for making payment entry,Ödeme girişi için Kasa veya Banka Hesabı zorunludur
Registration Details,Kayıt Detayları
Calculated Bank Statement balance,Hesaplanan Hesap özeti bakiyesi
Only users with {0} role can register on Marketplace,Yalnızca {0} rolüne sahip kullanıcılar Market&#39;e kayıt olabilir
"Warehouse {0} is not linked to any account, please mention the account in  the warehouse record or set default inventory account in company {1}.","Depo {0} herhangi bir hesaba bağlı değil, lütfen depo kaydındaki hesabı belirtin veya {1} şirketindeki varsayılan envanter hesabını ayarlayın."
Admission,kabul
This is based on the attendance of this Student,"Bu, bu öğrencinin devamına dayanmaktadır"
Create Receiver List,Alıcı Listesi Oluştur
Max Leaves Allowed,İzin Verilen Maksimum Yaprak
Component,Bileşen
Leave and Attendance,Ayrılma ve Devam
Billing Amount,Fatura bedeli
BOM Website Item,BOM Web Sitesi Öğesi
Rounded Total,Yuvarlak Toplam
Production Plan,Üretim planı
Actions performed,Gerçekleştirilen eylemler
Set Accepted Warehouse,Kabul Edilen Depoyu Ayarla
Rules for applying pricing and discount.,Fiyatlandırma ve indirim uygulamak için kurallar.
Statutory info and other general information about your Supplier,Tedarikçi ile ilgili yasal bilgi ve diğer genel bilgiler
Default Selling Cost Center,Varsayılan Satış Maliyet Merkezi
Address & Contacts,Adres ve İletişim
Subscriber,Abone
[{0}](#Form/Item/{0}) is out of stock,[{0}] (# Form / Öğe / {0}) stokta yok
Please select Posting Date first,Lütfen önce Gönderme Tarihi&#39;ni seçin.
Mention if non-standard payable account,Standart olmayan borçlu hesapta bahsetme
Advance,İlerlemek
"Root Type for ""{0}"" must be one of the Asset, Liability, Income, Expense and Equity","&quot;{0}&quot; için Kök Türü Varlık, Sorumluluk, Gelir, Gider ve Varlıklardan Biri olmalıdır"
% Complete Method,% Tamamlandı yöntemi
Tasks Created,Oluşturulan Görevler
Default BOM ({0}) must be active for this item or its template,Bu ürün veya şablonu için varsayılan ürün ağacı ({0}) aktif olmalı
Commission Rate %,Komisyon oranı %
Response Time,Tepki Süresi
