Pension Funds,Pensioenfonds
Hide Variants,Versteek varianten
Disable Capacity Planning and Time Tracking,Skakel kapasiteitsbeplanning en tydopsporing uit
* Will be calculated in the transaction.,* Sal in die transaksie bereken word.
{0} not allowed to transact with {1}. Please change the Company.,{0} mag nie met {1} handel nie. Verander asseblief die Maatskappy.
"As per the Buying Settings if Purchase Reciept Required == 'YES', then for creating Purchase Invoice, user need to create Purchase Receipt first for item {0}","Soos vir die koop-instellings as aankoopversoek benodig == &#39;JA&#39; en dan vir die skep van Aankoopfaktuur, moet die gebruiker eers Aankoopontvangste skep vir item {0}"
Delivery Details,Afleweringsbesonderhede
Discharge Scheduled,Kwijting Gepland
"Reference: {0}, Item Code: {1} and Customer: {2}","Verwysing: {0}, Item Kode: {1} en Kliënt: {2}"
Caution,versigtigheid
View attachments,Bekyk aanhangsels
Allow Production on Holidays,Laat produksie toe op vakansie
Update Bank Transaction Dates,Dateer Bank Transaksiedatums op
Reading 4,Lees 4
"Item {0} has no Serial No. Only serilialized items \
						can have delivery based on Serial No",Item {0} het geen reeksnommer nie. Slegs serilialized items \ kan aflewering hê op basis van serienommer
Program Course,Programkursus
Telephone Expenses,Telefoon uitgawes
Widow,weduwee
Number of Interaction,Aantal interaksies
"Multiple Price Rules exists with same criteria, please resolve conflict by assigning priority. Price Rules: {0}",Veelvuldige prysreëls bestaan volgens dieselfde kriteria. Beslis asseblief konflik deur prioriteit toe te ken. Prys Reëls: {0}
Cost Center and Budgeting,Kostesentrum en Begroting
Ordered Items To Be Delivered,Bestelde items wat afgelewer moet word
Homepage Section Card,Tuisblad Seksiekaart
Depreciation,waardevermindering
Interests,Belange
Consumed Qty,Verbruikte hoeveelheid
Education Manager,Onderwysbestuurder
Plan time logs outside Workstation Working Hours.,Beplan tydstamme buite Werkstasie Werksure.
Loyalty Points: {0},Lojaliteit punte: {0}
Registration Message,Registrasie Boodskap
Select an account to print in account currency,Kies &#39;n rekening om in rekeningmunt te druk
Serial no item cannot be a fraction,Serie-item kan nie &#39;n breuk wees nie
Warehouse can not be deleted as stock ledger entry exists for this warehouse.,Warehouse kan nie verwyder word nie aangesien voorraad grootboekinskrywing vir hierdie pakhuis bestaan.
See past quotations,Sien vorige aanhalings
Prev,Vorige
Unit of Measure,Eenheid van maatreël
Test Template,Toets Sjabloon
Fertilizer Contents,Kunsmis Inhoud
Minute,minuut
"Row #{0}: Asset {1} cannot be submitted, it is already {2}","Ry # {0}: Bate {1} kan nie ingedien word nie, dit is reeds {2}"
Actual Time (in Hours),Werklike tyd (in ure)
Closing Account Head,Sluitingsrekeninghoof
Shipping Rule,Posbus
Net Weight,Netto gewig
Please enter valid Financial Year Start and End Dates,Voer asseblief geldige finansiële jaar se begin- en einddatums in
Quantity of Items,Hoeveelheid items
PIN,SPELD
Lab testing datetime cannot be before collection datetime,Lab testing date time kan nie voor die datum van die versameling wees nie
Invoice already created for all billing hours,Faktuur wat reeds vir alle faktuurure geskep is
Contact Desc,Kontak Desc
Pricing Rules,Prys reëls
Image List,Prentelys
Allow Rename Attribute Value,Laat die kenmerkwaarde van hernoem
Price Not UOM Dependant,Prys Nie UOM Afhanklik
Time(in mins),Tyd (in mins)
Basic,basiese
Interest Income Account,Rente Inkomsterekening
A condition for a Shipping Rule,&#39;N Voorwaarde vir &#39;n verskepingsreël
Payroll Period Date,Betaalstaat Periode Datum
Employment Type,Indiensnemingstipe
Select POS Profile,Kies POS-profiel
Get Latest Query,Kry nuutste navraag
Employee Incentive,Werknemers aansporing
Add cards or custom sections on homepage,Voeg kaarte of persoonlike afdelings op tuisblad
Hero Section Based On,Heldafdeling gebaseer op
Total Purchase Cost (via Purchase Invoice),Totale Aankoopprys (via Aankoopfaktuur)
Total Estimated Cost,Totale beraamde koste
"Sales, Purchase, Accounting Defaults","Verkope, Aankoop, Rekeningkundige Standaard"
Requesting payment against {0} {1} for amount {2},Versoek betaling teen {0} {1} vir bedrag {2}
Please set the Item Code first,Stel asseblief die Item Kode eerste
Due Date Based On,Vervaldatum gebaseer op
Incoming,inkomende
Partially Ordered,Gedeeltelik bestel
Customer's Purchase Order No,Kliënt se bestellingnommer
Select Alternate Item,Kies alternatiewe item
Applicable Holiday List,Toepaslike Vakansielys
Hub Tracked Item,Hub Tracked Item
Service Details,Diensbesonderhede
Is Featured,Is voorgestel
Don't send Employee Birthday Reminders,Moenie werkgewersverjaardag herinner nie
Maintain Same Rate Throughout Sales Cycle,Onderhou dieselfde tarief dwarsdeur die verkoopsiklus
Transportation,Vervoer
Date TIme,Datum Tyd
Please select quantity on row ,Kies asseblief die hoeveelheid op ry
Earning Component,Verdien komponent
Please select Company first,Kies asseblief Maatskappy eerste
Publish Item to hub.erpnext.com,Publiseer item op hub.erpnext.com
Join,aansluit
Set rate of sub-assembly item based on BOM,Stel koers van sub-item op basis van BOM
Wheels,wiele
"Aggregate group of **Items** into another **Item**. This is useful if you are bundling a certain **Items** into a package and you maintain stock of the packed **Items** and not the aggregate **Item**. 

The package **Item** will have ""Is Stock Item"" as ""No"" and ""Is Sales Item"" as ""Yes"".

For Example: If you are selling Laptops and Backpacks separately and have a special price if the customer buys both, then the Laptop + Backpack will be a new Product Bundle Item.

Note: BOM = Bill of Materials","Aggregate groep ** Items ** in &#39;n ander ** Item **. Dit is handig as u &#39;n sekere ** Items ** in &#39;n pakket bundel en u voorraad van die verpakte ** Items ** en nie die totale ** Item ** handhaaf nie. Die pakket ** Item ** sal &quot;Is Voorraaditem&quot; as &quot;Nee&quot; en &quot;Is Verkoop Item&quot; as &quot;Ja&quot; wees. Byvoorbeeld: As jy afsonderlik &#39;n skootrekenaar en rugzakke verkoop en &#39;n spesiale prys het as die kliënt albei koop, dan is die Laptop + Backpack &#39;n nuwe produkpakket. Nota: BOM = Materiaal"
Another Budget record '{0}' already exists against {1} '{2}' and account '{3}' for fiscal year {4},Nog &#39;n begroting rekord &#39;{0}&#39; bestaan reeds teen {1} &#39;{2}&#39; en rekening &#39;{3}&#39; vir fiskale jaar {4}
Purchase Receipt Amount,Aankoop Ontvangsbedrag
Ongoing,deurlopende
Agreement Details,Ooreenkomsbesonderhede
Posting Time,Postyd
Loyalty Program Name,Lojaliteitsprogram Naam
Dormant,dormant
{0}: From {1},{0}: Vanaf {1}
Attach custom Chart of Accounts file,Heg die aangepaste grafiek van rekeninge lêer aan
Item Variants,Item Varianten
Fully Completed,Voltooi Voltooi
Transaction Date,Transaksie datum
No data for this period,Geen data vir hierdie tydperk nie
Default account will be automatically updated in POS Invoice when this mode is selected.,Verstek rekening sal outomaties opgedateer word in POS Invoice wanneer hierdie modus gekies is.
Company Abbreviation cannot have more than 5 characters,Maatskappyafkorting kan nie meer as 5 karakters hê nie
Canceled,gekanselleer
Customers and Suppliers,Kliënte en Verskaffers
To Produce,Te produseer
Is Container,Is Container
Research & Development,navorsing en ontwikkeling
Application Settings,Aansoekinstellings
Production Order cannot be raised against a Item Template,Produksie bestelling kan nie teen &#39;n Item Sjabloon verhoog word nie
Manufacture against Material Request,Vervaardiging teen materiaal versoek
Ordered Quantity,Bestelde Hoeveelheid
Row #{0}: Rejected Warehouse is mandatory against rejected Item {1},Ry # {0}: Afgekeurde pakhuis is verpligtend teen verwerp item {1}
Received Items To Be Billed,Items ontvang om gefaktureer te word
Working Hours,Werksure
Payment Mode,Betaal af
Purchase Order Items not received on time,Bestelling Items wat nie betyds ontvang is nie
Duration in Days,Duur in Dae
Sales Team Details,Verkoopspanbesonderhede
Replace,vervang
Event Name,Gebeurtenis Naam
Receiver List,Ontvanger Lys
Cr,Cr
Are you sure you want to cancel this appointment?,Is jy seker jy wil hierdie afspraak kanselleer?
Accounts Receivable Credit Account,Rekeninge Ontvangbare Kredietrekening
Prefix,voorvoegsel
Actual Operation Time,Werklike operasietyd
Net Rate,Netto tarief
Net Change in Cash,Netto verandering in kontant
Set warehouse for Procedure {0} ,Stel pakhuis vir Prosedure {0}
Block Invoice,Blokfaktuur
Account {0}: Parent account {1} does not exist,Rekening {0}: Ouerrekening {1} bestaan nie
Encrypt Salary Slips in Emails,Encrypt Salary Slips in e-posse
Score,telling
Driver Name,Bestuurder naam
Please select Incharge Person's name,Kies asseblief Incharge Persoon se naam
Training,opleiding
Stock Reports,Voorraadverslae
Conversion factor for default Unit of Measure must be 1 in row {0},Omskakelingsfaktor vir verstek Eenheid van maatstaf moet 1 in ry {0} wees.
Course Scheduling Tool,Kursusskeduleringsinstrument
Finished Goods,Voltooide goedere
Customer Warehouse (Optional),Kliente-pakhuis (opsioneel)
Sync Master Data,Sinkroniseer meesterdata
Address & Contact,Adres &amp; Kontak
To Date,Tot op hede
Error in some rows,Fout in sommige rye
Lab Tests and Vital Signs,Lab toetse en vitale tekens
Tax Rule for transactions.,Belastingreël vir transaksies.
Show Barcode Field,Toon strepieskode veld
DN Detail,DN Detail
Fluid,vloeistof
B2C Limit,B2C Limiet
Electronic Equipments,Elektroniese toerusting
Cannot find active Leave Period,Kan nie aktiewe verlofperiode vind nie
Create Maintenance Visit,Skep onderhoudsbesoek
Change In Item,Verander in item
{0} Students have been enrolled,{0} Studente is ingeskryf
Inspection,inspeksie
Area,gebied
Summary for this week and pending activities,Opsomming vir hierdie week en hangende aktiwiteite
Maintenance Task,Onderhoudstaak
Current Invoice Start Date,Huidige faktuur begin datum
Item,item
Get Students From,Kry studente van
Always synch your products from Amazon MWS before synching the Orders details,Sink altyd jou produkte van Amazon MWS voordat jy die Bestellingsbesonderhede sinkroniseer
Leave Block List Name,Verlaat bloklys naam
"Could not update stock, invoice contains drop shipping item.","Kon nie voorraad opdateer nie, faktuur bevat druppelversending item."
Completion Date,voltooiingsdatum
Rate at which supplier's currency is converted to company's base currency,Beoordeel by watter verskaffer se geldeenheid omgeskakel word na die maatskappy se basiese geldeenheid
Leave Control Panel,Verlaat beheerpaneel
Total Applicable Charges in Purchase Receipt Items table must be same as Total Taxes and Charges,Totale Toepaslike Koste in Aankoopontvangste-items moet dieselfde wees as Totale Belasting en Heffings
In Words will be visible once you save the Delivery Note.,In Woorde sal sigbaar wees sodra jy die Afleweringsnota stoor.
Suppliies made to Composition Taxable Persons,Voorsienings aan Samestelling Belasbare Persone
Reserved Qty for Production,Gereserveerde hoeveelheid vir produksie
Quality Manager,Kwaliteitsbestuurder
"Configure Item Fields like UOM, Item Group, Description and No of Hours.","Stel Itemvelde soos UOM, Itemgroep, Beskrywing en Aantal Ure."
New Department,Nuwe Departement
Job Applicant,Werksaansoeker
Create Invoices,Skep fakture
Purchase Order Item,Bestelling Item
Data Import and Export,Data Invoer en Uitvoer
You cannot delete Project Type 'External',Jy kan nie projektipe &#39;eksterne&#39; uitvee nie
Temporary,tydelike
Column Labels : ,Kolom Etikette:
Employee A/C Number,Werknemer A / C-nommer
Opening Date should be before Closing Date,Openingsdatum moet voor sluitingsdatum wees
Parent Detail docname,Ouer Besonderhede docname
Bank Reconciliation Detail,Bankversoening Detail
Cumulative Transaction Threshold,Kumulatiewe Transaksiedrempel
"Number of intervals for the interval field e.g if Interval is 'Days' and Billing Interval Count is 3, invoices will be generated every 3 days","Aantal intervalle vir die interval veld bv. As interval &#39;dae&#39; en faktuur interval is 3, sal fakture elke 3 dae gegenereer word"
'Actual Start Date' can not be greater than 'Actual End Date',&#39;Werklike Aanvangsdatum&#39; kan nie groter as &#39;Werklike Einddatum&#39; wees nie.
Payment Entry Reference,Betaling Inskrywingsverwysing
Salary Component Account,Salaris Komponentrekening
Default Payable Accounts,Verstekbetaalbare rekeninge
In Words,In woorde
Purchase Order,Aankoopbestelling
Entry Type,Inskrywingstipe
Laboratory,laboratorium
To Bill,Aan Bill
Utility Expenses,Utility Uitgawes
Time Between Operations (in mins),Tyd tussen bedrywighede (in mins)
May,Mei
"Payment Gateway Account not created, please create one manually.","Betaling Gateway rekening nie geskep nie, skep asseblief een handmatig."
Purchase,aankoop
School House,Skoolhuis
Please select at least one domain.,Kies asseblief ten minste een domein.
Daily Project Summary for {0},Daaglikse Projekopsomming vir {0}
All Territories,Alle gebiede
Failure Date,Mislukkingsdatum
Attendees,deelnemers
Total Outstanding,Totaal Uitstaande
Amount of TDS Deducted,Bedrag van TDS afgetrek
Cash or Bank Account is mandatory for making payment entry,Kontant of Bankrekening is verpligtend vir betaling van inskrywing
Registration Details,Registrasie Besonderhede
Calculated Bank Statement balance,Berekende Bankstaatbalans
Only users with {0} role can register on Marketplace,Slegs gebruikers met {0} -rol kan op Marketplace registreer
"Warehouse {0} is not linked to any account, please mention the account in  the warehouse record or set default inventory account in company {1}.","Warehouse {0} is nie gekoppel aan enige rekening nie, noem asseblief die rekening in die pakhuisrekord of stel verstekvoorraadrekening in maatskappy {1}."
Admission,Toegang
This is based on the attendance of this Student,Dit is gebaseer op die bywoning van hierdie student
Create Receiver List,Skep Ontvanger Lys
Max Leaves Allowed,Maksimum blare toegelaat
Component,komponent
Leave and Attendance,Verlof en Bywoning
Billing Amount,Rekeningbedrag
BOM Website Item,BOM Webwerf Item
Rounded Total,Afgerond Totaal
Production Plan,Produksieplan
Actions performed,Aksies uitgevoer
Set Accepted Warehouse,Stel Aanvaarde Warehouse
Rules for applying pricing and discount.,Reëls vir die toepassing van pryse en afslag.
Statutory info and other general information about your Supplier,Statutêre inligting en ander algemene inligting oor u Verskaffer
Default Selling Cost Center,Standaard verkoopkostesentrum
Address & Contacts,Adres &amp; Kontakte
Subscriber,intekenaar
[{0}](#Form/Item/{0}) is out of stock,[{0}] (# Vorm / Item / {0}) is uit voorraad
Please select Posting Date first,Kies asseblief die Pos Datum eerste
Mention if non-standard payable account,Noem as nie-standaard betaalbare rekening
Advance,bevorder
"Root Type for ""{0}"" must be one of the Asset, Liability, Income, Expense and Equity","Wortel tipe vir &quot;{0}&quot; moet een van die bate, aanspreeklikheid, inkomste, koste en ekwiteit wees"
% Complete Method,% Volledige metode
Tasks Created,Take geskep
Default BOM ({0}) must be active for this item or its template,Standaard BOM ({0}) moet vir hierdie item of sy sjabloon aktief wees
Commission Rate %,Kommissie Koers%
Response Time,Reaksie tyd
Woocommerce Settings,Woocommerce-instellings
Quantity must be positive,Hoeveelheid moet positief wees
CRM,CRM
Parenttype,Parenttype
Billing State,Billing State
Quantity for Item {0} must be less than {1},Hoeveelheid vir item {0} moet minder wees as {1}
Transfer Material,Oordragmateriaal
Shipping Account,Posbus
Please set default template for Leave Approval Notification in HR Settings.,Stel asb. Standaard sjabloon in vir goedkeuring vir verlofgoedkeuring in MH-instellings.
Television,televisie
Quality Inspection required for Item {0},Kwaliteitsinspeksie benodig vir item {0}
Debit ({0}),Debiet ({0})
Inpatient Visit Charge,Inpatient Besoek Koste
Transaction Data Mapping,Transaksiedata-kartering
A Lead requires either a person's name or an organization's name,&#39;N Lood vereis &#39;n persoon se naam of &#39;n organisasie se naam
Guardians,voogde
Select Brand...,Kies Brand ...
Middle Income,Middelinkomste
Calculate Based On,Bereken Gebaseer Op
Barcode {0} already used in Item {1},Barcode {0} wat reeds in item {1} gebruik is
Campaign Name,Veldtog Naam
Rejected Warehouse,Verwerp Warehouse
{0} {1} must be submitted,{0} {1} moet ingedien word
Expense Claim Advance,Koste Eis Voorskot
Rounding Adjustment (Company Currency),Afronding aanpassing (Maatskappy Geld)
Publish in Hub,Publiseer in Hub
GSTIN,GSTIN
August,Augustus
Please enter Purchase Receipt first,Voer asseblief eers Aankoop Ontvangst in
Start Year,Begin Jaar
Target ({}),Teiken (())
Sales Summary,Verkopeopsomming
In Words (Company Currency),In Woorde (Maatskappy Geld)
Please specify currency in Company,Spesifiseer asseblief geldeenheid in Maatskappy
Price,prys
Min Order Qty,Minimum aantal bestellings
Holiday Management,Vakansiebestuur
Please enable default incoming account before creating Daily Work Summary Group,Aktiveer asseblief die standaard inkomende rekening voordat u &#39;n Daaglikse werkopsommingsgroep skep
You can only select a maximum of one option from the list of check boxes.,U kan slegs &#39;n maksimum opsie uit die keuselys kies.
Public Transport,Publieke vervoer
Maximum Samples - {0} can be retained for Batch {1} and Item {2}.,Maksimum monsters - {0} kan behou word vir bondel {1} en item {2}.
Max Sample Quantity,Max Sample Hoeveelheid
Source and target warehouse must be different,Bron en teiken pakhuis moet anders wees
Benefits Applied,Voordele toegepas
Against Journal Entry {0} does not have any unmatched {1} entry,Teen Joernaal Inskrywing {0} het geen ongeëwenaarde {1} inskrywing nie
Price or product discount slabs are required,Prys of produk afslagplanne word vereis
Set a Target,Stel &#39;n teiken
Attendance Record {0} exists against Student {1},Bywoningsrekord {0} bestaan teen Student {1}
Date of Transaction,Datum van transaksie
Cancel Subscription,Kanselleer intekening
Net Salary Amount,Netto Salaris Bedrag
Liability,aanspreeklikheid
Bank A/C No.,Bank A / C No.
Discharge Note,Kwijting Nota
Action if Accumulated Monthly Budget Exceeded on MR,Aksie indien Opgelope Maandelikse Begroting oorskry op MR
Asset Movement,Batebeweging
"Could not create Credit Note automatically, please uncheck 'Issue Credit Note' and submit again",Kon nie kredietnota outomaties skep nie. Merk asseblief die kwessie &#39;Kredietnota uitreik&#39; uit en dien weer in
Per Month,Per maand
Routing Name,Roeienaam
Common Name,Algemene naam
Measurable,meetbare
LMS Title,LMS Titel
Loan Management,Leningbestuur
Support Analtyics,Ondersteun Anaalkunde
Consumable Total Amount,Verbruikbare Totale Bedrag
Enable Template,Aktiveer Sjabloon
Customer LPO,Kliënt LPO
Website Image {0} attached to Item {1} cannot be found,Webwerfbeeld {0} verbonde aan item {1} kan nie gevind word nie
Planned,beplan
Custodian,bewaarder
Filter based on Cost Center is only applicable if Budget Against is selected as Cost Center,Filter gebaseer op Kostesentrum is slegs van toepassing indien Budget Against gekies word as Kostesentrum
Quoted Item Comparison,Genoteerde Item Vergelyking
Employee Advance,Werknemersvooruitgang
Inward supplies liable to reverse charge (other than 1 & 2 above),Inwendige voorrade wat terugbetaalbaar is (anders as 1 &amp; 2 hierbo)
Shopping Cart,Winkelwagen
User {0} does not exist,Gebruiker {0} bestaan nie
Loans and Advances (Assets),Lenings en voorskotte (bates)
Row {0}: Please check 'Is Advance' against Account {1} if this is an advance entry.,Ry {0}: Kontroleer asseblief &#39;Is vooruit&#39; teen rekening {1} as dit &#39;n voorskot is.
Designation (optional),Aanwysing (opsioneel)
Total Principal Amount,Totale hoofbedrag
Customer / Lead Address,Kliënt / Loodadres
Soap & Detergent,Seep en wasmiddel
Purchase Analytics,Koop Analytics
Opportunity,geleentheid
Prefered Contact Email,Voorkeur Kontak E-pos
Opening Accounting Balance,Openings Rekeningkundige Balans
[Select],[Kies]
MAT-RECO-.YYYY.-,MAT-Reco-.YYYY.-
Master Data,Meesterdata
Yet to appear,Nog om te verskyn
Customers in Queue,Kliënte in wachtrij
Supplier Details,Verskafferbesonderhede
No gain or loss in the exchange rate,Geen wins of verlies in die wisselkoers nie
GSTR-1,GSTR-1
Total Billable Hours,Totale betaalbare ure
Represents Company,Verteenwoordig Maatskappy
Company Address,Maatskappy Adres
Lead Name,Lood Naam
Diseases & Fertilizers,Siektes en Misstowwe
Item {0} must be a Sub-contracted Item,Item {0} moet &#39;n Subkontrakteerde Item wees
Purchase Receipt Items,Aankoopontvangste-items
Ignore Existing Projected Quantity,Ignoreer Bestaande Geprojekteerde Hoeveelheid
Supervisor,toesighouer
Salary Detail,Salarisdetail
Budget Against,Begroting teen
Add Letterhead,Voeg Briefhoof
Templates of supplier scorecard criteria.,Templates van verskaffer tellingskaart kriteria.
Default Finance Book,Verstek Finansiële Boek
Please specify Company,Spesifiseer asb. Maatskappy
Total contribution percentage should be equal to 100,Totale bydrae persentasie moet gelyk wees aan 100
Webhooks Secret,Webhooks Secret
Asset Depreciations and Balances,Bate Afskrywing en Saldo&#39;s
New Batch Qty,Nuwe batch hoeveelheid
Import of goods,Invoer van goedere
Raw Material Item Code,Grondstowwe Itemkode
Purchase Invoice {0} is already submitted,Aankoopfaktuur {0} is reeds ingedien
Student Email,Student e-pos
BOM recursion: {0} cannot be parent or child of {2},BOM recursion: {0} kan nie ouer of kind van {2} wees nie
Get Items from Healthcare Services,Kry items van gesondheidsorgdienste
Stock Entry {0} is not submitted,Voorraadinskrywing {0} is nie ingedien nie
Item Attribute Value,Item Attribuutwaarde
Volunteer Skills,Vrywilligersvaardighede
Cannot enroll more than {0} students for this student group.,Kan nie meer as {0} studente vir hierdie studente groep inskryf nie.
Costing Details,Koste Besonderhede
Sales Invoice {0} has already been submitted,Verkoopsfaktuur {0} is reeds ingedien
Accounting Entries,Rekeningkundige Inskrywings
Internal Transfer,Interne Oordrag
Stock Details,Voorraadbesonderhede
Is Carry Forward,Is dra vorentoe
Product Enquiry,Produk Ondersoek
PUR-ORD-.YYYY.-,PUR-ORD-.YYYY.-
Evaluation Period,Evalueringsperiode
Volunteer Skill,Vrywillige Vaardigheid
Order Confirmation No,Bestelling Bevestiging nr
POS,POS
Self-Study,Selfstudie
Above,Bo
Action Doctype,Aksie Doctype
Allow Print Before Pay,Laat Print voor betaling toe
Select Items to Manufacture,Kies items om te vervaardig
Leave Approver Name,Verlaat Goedgekeur Naam
Shareholder,aandeelhouer
Agreement Status,Ooreenkoms Status
Default settings for selling transactions.,Verstekinstellings vir verkoopstransaksies.
Please select Student Admission which is mandatory for the paid student applicant,Kies asseblief Studentetoelating wat verpligtend is vir die betaalde studenteversoeker
Select BOM,Kies BOM
"Schedules for {0} overlaps, do you want to proceed after skiping overlaped slots ?","Skedules vir {0} oorvleuel, wil jy voortgaan nadat jy oorlaaide gleuwe geslaan het?"
Customer or Supplier Details,Kliënt- of Verskafferbesonderhede
Debit Account,Debietrekening
Trial Period End Date Cannot be before Trial Period Start Date,Proefperiode Einddatum kan nie voor die begin datum van die proeftydperk wees nie
Rented,gehuur
Employee Group Table,Werknemers Groep Tabel
HR Manager,HR Bestuurder
Details of Outward Supplies and inward supplies liable to reverse charge,Besonderhede van Buitelandse Voorrade en binnelandse voorrade wat terugbetaalbaar is
Cheque/Reference No,Tjek / Verwysingsnr
Assessment Result,Assesseringsresultaat
New Contact,Nuwe kontak
Opportunities,Geleenthede
Net Cash from Operations,Netto kontant uit bedrywighede
Leave Encashment,Verlaat Encashment
Source warehouse is mandatory for row {0},Bron pakhuis is verpligtend vir ry {0}
After Date,Na datum
ITC Available (whether in full op part),ITC Beskikbaar (albei ten volle op deel)
Row {0}: Activity Type is mandatory.,Ry {0}: Aktiwiteitstipe is verpligtend.
Consultant,konsultant
Select an employee to get the employee advance.,Kies &#39;n werknemer om die werknemer vooraf te kry.
"Asset cannot be cancelled, as it is already {0}","Bate kan nie gekanselleer word nie, want dit is reeds {0}"
Wrong Password,Verkeerde wagwoord
STO-ITEM-.YYYY.-,STO-ITEM-.YYYY.-
Update Account Number / Name,Werk rekeningnommer / naam op
Use Custom Cash Flow Format,Gebruik aangepaste kontantvloeiformaat
Opening Invoices,Opening fakture
Send to Warehouse,Stuur na pakhuis
Event Status,Gebeurtenis Status
Total completed qty must be greater than zero,Totale voltooide hoeveelheid moet groter as nul wees
Chargeable,laste
Anytime,enige tyd
Student Batch-Wise Attendance,Studente Batch-Wise Bywoning
Normal Test Template,Normale toets sjabloon
Tree of financial Cost Centers.,Boom van finansiële kostesentrums.
"in Minutes
Updated via 'Time Log'",In Notules Opgedateer via &#39;Time Log&#39;
Bin,bin
Invoice Number,Faktuurnommer
Fulfillment User,Vervulling gebruiker
Planned End Time,Beplande eindtyd
Section Code,Afdeling Kode
Monitor Progress,Monitor vordering
Select Batch No,Kies lotnommer
Payroll Number,Loonnommer
Include UOM,Sluit UOM in
Stock Ledger Entries and GL Entries are reposted for the selected Purchase Receipts,Voorraadgrootboekinskrywings en GL-inskrywings word vir die gekose Aankoopontvangste gereposteer
Update Print Format,Werk drukformaat op
Siblings,broers en susters
Hold Invoice,Hou faktuur
Row {0}: Invalid reference {1},Ry {0}: ongeldige verwysing {1}
Profitability Analysis,Winsgewendheidsontleding
New Account Name,Nuwe rekening naam
Expense Proof,Uitgawe Bewys
Served,Bedien
Member,lid
Practitioner Service Unit Schedule,Praktisyns Diens Eenheidskedule
Wire Transfer,Elektroniese oorbetaling
Against Account,Teen rekening
Projects Settings,Projekte Instellings
{0} {1}: Account {2} cannot be a Group,{0} {1}: Rekening {2} kan nie &#39;n Groep wees nie
Prescription Duration,Voorskrif Duur
Row {0}: Debit entry can not be linked with a {1},Ry {0}: Debietinskrywing kan nie met &#39;n {1} gekoppel word nie.
Intro Video,Intro Video
Is Paid,Is Betaal
Debit,debiet-
Item Balance (Simple),Item Balans (Eenvoudig)
Purchase orders help you plan and follow up on your purchases,Aankooporders help om jou aankope te beplan en op te volg
Project Type,Projek Type
Student Batch Name,Studentejoernaal
Qty to Receive,Hoeveelheid om te ontvang
Previous Business Day,Vorige sakedag
Sponsored Amount,Gekonsentreerde bedrag
Please wait 3 days before resending the reminder.,Wag asseblief 3 dae voordat die herinnering weer gestuur word.
Qty as per Stock UOM,Aantal per Voorraad UOM
Quantity,hoeveelheid
Estimated Arrival,Geskatte aankoms
Trial Balance for Party,Proefbalans vir die Party
Employee Separation Template,Medewerkers skeiding sjabloon
Unit,eenheid
Maximum benefit amount of component {0} exceeds {1},Maksimum voordeelbedrag van komponent {0} oorskry {1}
Venture Capital,Venture Capital
Fiscal Year End Date should be one year after Fiscal Year Start Date,Fiskale jaareind moet een jaar na die fiskale jaar begin datum wees
Daily Reminders,Daaglikse onthounotas
Default Sales Unit of Measure,Standaard verkoopseenheid van maatreël
Rate of Depreciation,Waardeverminderingskoers
Post Description Key,Pos Beskrywing Sleutel
Minimum Total Spent,Minimum Totale Spandeer
Period Score,Periode telling
Can't create standard criteria. Please rename the criteria,Kan nie standaard kriteria skep nie. Verander asseblief die kriteria
Arrival Datetime,Aankoms Datum Tyd
Student LMS Activity,Student LMS Aktiwiteit
Quantity Difference,Hoeveelheidsverskil
Row #{0}: Allocated Amount cannot be greater than outstanding amount.,Ry # {0}: Toegewysde bedrag kan nie groter wees as die uitstaande bedrag nie.
Timesheet Detail,Tydskaartdetail
Proficiency,vaardigheid
Sent To,Gestuur na
Hub Publishing Details,Hub Publishing Details
"Student Batches help you track attendance, assessments and fees for students","Studentejoernaal help om bywoning, assessering en fooie vir studente op te spoor"
Declared Amount,Verklaarde bedrag
Auto close Opportunity after 15 days,Auto sluit geleentheid na 15 dae
Issue,Uitgawe
Availability Timeslot,Beskikbaarheid Tydslot
Program Abbreviation,Program Afkorting
Project Start Date,Projek Aanvangsdatum
Additional DIscount Amount,Bykomende DIscount Bedrag
Manage cost of operations,Bestuur koste van bedrywighede
You are not authorized to set Frozen value,Jy is nie gemagtig om die bevrore waarde in te stel nie
Lapsed,verval
Investments,beleggings
Date of Birth,Geboortedatum
You need to be a user with System Manager and Item Manager roles to register on Marketplace.,Jy moet &#39;n gebruiker wees met Stelselbestuurder- en Itembestuurderrolle om op Marketplace te registreer.
Item Attribute Values,Item Attribuutwaardes
Please save the patient first,Slaan asseblief eers die pasiënt op
Half Day Date should be between From Date and To Date,Halfdag Datum moet tussen Datum en Datum wees
Expected Discharge,Verwagte ontslag
Travel Type,Reis Tipe
Customer is required,Kliënt word vereis
Invalid quantity specified for item {0}. Quantity should be greater than 0.,Ongeldige hoeveelheid gespesifiseer vir item {0}. Hoeveelheid moet groter as 0 wees.
As Supervisor,As Toesighouer
Employees,Werknemers
Billing Status,Rekeningstatus
Please select Category first,Kies asseblief Kategorie eerste
BOM Browser,BOM Browser
Create Student Groups,Skep studentegroepe
In Minutes,In Notulen
Net Pay cannot be less than 0,Netto betaal kan nie minder as 0 wees nie
Schedules,skedules
Employee Training,Werknemersopleiding
Rate of Interest (%) / Year,Rentekoers (%) / Jaar
Require Result Value,Vereis Resultaatwaarde
Loan Type,Lening Tipe
