DocType: Accounting Period,Period Name,دورانیہ کا نام
apps/erpnext/erpnext/manufacturing/doctype/production_plan/production_plan.js,Please enter Item first,پہلی شے داخل کریں
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py,Needs Analysis,تجزیہ کی ضرورت ہے
DocType: Asset Repair,Downtime,Downtime
DocType: Account,Liability,ذمہ داری
apps/erpnext/erpnext/hr/doctype/expense_claim/expense_claim.py,Sanctioned Amount cannot be greater than Claim Amount in Row {0}.,منظور رقم صف میں دعوے کی رقم سے زیادہ نہیں ہو سکتا {0}.
apps/erpnext/erpnext/education/report/course_wise_assessment_report/course_wise_assessment_report.html,Academic Term: ,تعلیمی اصطلاح:
DocType: Salary Detail,Do not include in total,کل میں شامل نہ کریں
DocType: Quiz Activity,Quiz Activity,کوئز کی سرگرمی۔
DocType: Company,Default Cost of Goods Sold Account,سامان فروخت اکاؤنٹ کے پہلے سے طے شدہ لاگت
apps/erpnext/erpnext/stock/doctype/stock_entry/stock_entry.py,Sample quantity {0} cannot be more than received quantity {1},نمونہ مقدار {0} وصول شدہ مقدار سے زیادہ نہیں ہوسکتا ہے {1}
apps/erpnext/erpnext/stock/get_item_details.py,Price List not selected,قیمت کی فہرست منتخب نہیں
DocType: Employee,Family Background,خاندانی پس منظر
DocType: Request for Quotation Supplier,Send Email,ای میل بھیجیں
DocType: Quality Goal,Weekday,ہفتہ کا دن۔
apps/erpnext/erpnext/stock/doctype/item/item.py,Warning: Invalid Attachment {0},انتباہ: غلط لف دستاویز {0}
DocType: Item,Max Sample Quantity,زیادہ سے زیادہ نمونہ مقدار
apps/erpnext/erpnext/accounts/doctype/journal_entry/journal_entry.py,No Permission,کوئی اجازت
DocType: Contract Fulfilment Checklist,Contract Fulfilment Checklist,معاہدے کی مکمل جانچ پڑتال کی فہرست
DocType: Vital Signs,Heart Rate / Pulse,دل کی شرح / پلس
DocType: Supplier,Default Bank Account,پہلے سے طے شدہ بینک اکاؤنٹ
apps/erpnext/erpnext/accounts/report/general_ledger/general_ledger.py,"To filter based on Party, select Party Type first",پارٹی کی بنیاد پر فلٹر کرنے کے لئے، منتخب پارٹی پہلی قسم
apps/erpnext/erpnext/controllers/sales_and_purchase_return.py,'Update Stock' can not be checked because items are not delivered via {0},اشیاء کے ذریعے فراہم نہیں کر رہے ہیں 'اپ ڈیٹ اسٹاک' کی چیک نہیں کیا جا سکتا{0}
DocType: Vehicle,Acquisition Date,ارجن تاریخ
apps/erpnext/erpnext/regional/italy/utils.py,Nos,نمبر
DocType: Item,Items with higher weightage will be shown higher,اعلی اہمیت کے ساتھ اشیاء زیادہ دکھایا جائے گا
apps/erpnext/erpnext/healthcare/doctype/inpatient_record/inpatient_record_dashboard.py,Lab Tests and Vital Signs,لیب ٹیسٹ اور اہم نشانیاں
DocType: Bank Reconciliation Detail,Bank Reconciliation Detail,بینک مصالحتی تفصیل
apps/erpnext/erpnext/controllers/accounts_controller.py,Row #{0}: Asset {1} must be submitted,صف # {0}: اثاثہ {1} پیش کرنا ضروری ہے
apps/erpnext/erpnext/hr/doctype/leave_control_panel/leave_control_panel.py,No employee found,کوئی ملازم پایا
DocType: Supplier Quotation,Stopped,روک
DocType: Item,If subcontracted to a vendor,ایک وینڈر کے ٹھیکے تو
apps/erpnext/erpnext/education/doctype/student_group/student_group.js,Student Group is already updated.,طالب علم گروپ پہلے سے ہی اپ ڈیٹ کیا جاتا ہے.
apps/erpnext/erpnext/education/doctype/student_group/student_group.js,Student Group is already updated.,طالب علم گروپ پہلے سے ہی اپ ڈیٹ کیا جاتا ہے.
apps/erpnext/erpnext/config/projects.py,Project Update.,پراجیکٹ اپ ڈیٹ
DocType: SMS Center,All Customer Contact,تمام کسٹمر رابطہ
DocType: Location,Tree Details,درخت کی تفصیلات دیکھیں
DocType: Marketplace Settings,Registered,رجسٹرڈ
DocType: Training Event,Event Status,واقعہ حیثیت
DocType: Volunteer,Availability Timeslot,دستیابی Timeslot
apps/erpnext/erpnext/config/support.py,Support Analytics,سپورٹ کے تجزیات
apps/erpnext/erpnext/accounts/doctype/payment_request/payment_request.py,"If you have any questions, please get back to us.",اگر آپ کو کوئی سوالات ہیں، تو ہمارے پاس واپس حاصل کریں.
DocType: Cash Flow Mapper,Cash Flow Mapper,کیش فلو Mapper
DocType: Item,Website Warehouse,ویب سائٹ گودام
DocType: Payment Reconciliation,Minimum Invoice Amount,کم از کم انوائس کی رقم
apps/erpnext/erpnext/accounts/doctype/gl_entry/gl_entry.py,{0} {1}: Cost Center {2} does not belong to Company {3},{0} {1}: لاگت مرکز {2} کمپنی سے تعلق نہیں ہے {3}
apps/erpnext/erpnext/utilities/user_progress.py,Upload your letter head (Keep it web friendly as 900px by 100px),اپنا خط سر اپ لوڈ کریں (اسے 100px تک 900px کے طور پر ویب دوستانہ رکھیں)
apps/erpnext/erpnext/accounts/doctype/gl_entry/gl_entry.py,{0} {1}: Account {2} cannot be a Group,{0} {1}: اکاؤنٹ {2} ایک گروپ نہیں ہو سکتا
apps/erpnext/erpnext/accounts/doctype/sales_invoice/sales_invoice.py,Timesheet {0} is already completed or cancelled,Timesheet {0} پہلے ہی مکمل یا منسوخ کر دیا ہے
DocType: QuickBooks Migrator,QuickBooks Migrator,QuickBooks مگراٹر
apps/erpnext/erpnext/templates/pages/projects.html,No tasks,کوئی کاموں
apps/erpnext/erpnext/healthcare/doctype/patient_appointment/patient_appointment.py,Sales Invoice {0} created as paid,سیلز انوائس {0} ادا کی گئی ہے
DocType: Item Variant Settings,Copy Fields to Variant,مختلف قسم کے فیلڈز
DocType: Asset,Opening Accumulated Depreciation,جمع ہراس کھولنے
apps/erpnext/erpnext/hr/doctype/appraisal/appraisal.js,Score must be less than or equal to 5,اسکور 5 سے کم یا برابر ہونا چاہیے
DocType: Program Enrollment Tool,Program Enrollment Tool,پروگرام کے اندراج کے آلے
apps/erpnext/erpnext/config/accounting.py,C-Form records,سی فارم ریکارڈز
apps/erpnext/erpnext/accounts/doctype/share_transfer/share_transfer.py,The shares already exist,حصص پہلے ہی موجود ہیں
apps/erpnext/erpnext/config/help.py,Customer and Supplier,کسٹمر اور سپلائر
DocType: Email Digest,Email Digest Settings,ای میل ڈائجسٹ ترتیبات
apps/erpnext/erpnext/accounts/doctype/payment_request/payment_request.py,Thank you for your business!,آپ کے کاروبار کے لئے آپ کا شکریہ!
apps/erpnext/erpnext/config/support.py,Support queries from customers.,گاہکوں کی طرف سے حمایت کے سوالات.
DocType: Employee Property History,Employee Property History,ملازمت کی پراپرٹی کی تاریخ
apps/erpnext/erpnext/stock/doctype/item/item.py,Variant Based On cannot be changed,متغیر بنیاد پر تبدیل نہیں کیا جاسکتا۔
DocType: Setup Progress Action,Action Doctype,ایکشن ڈیوٹائپ
DocType: HR Settings,Retirement Age,ریٹائرمنٹ کی عمر
DocType: Bin,Moving Average Rate,اوسط شرح منتقل
DocType: Share Transfer,To Shareholder,شیئر ہولڈر کے لئے
apps/erpnext/erpnext/accounts/doctype/journal_entry/journal_entry.py,{0} against Bill {1} dated {2},{0} بل کے خلاف {1} ء {2}
apps/erpnext/erpnext/regional/report/eway_bill/eway_bill.py,From State,ریاست سے
apps/erpnext/erpnext/utilities/user_progress.py,Setup Institution,سیٹ اپ انسٹی ٹیوٹ
apps/erpnext/erpnext/hr/doctype/leave_period/leave_period.py,Allocating leaves...,پتیوں کو مختص کرنا ...
DocType: Program Enrollment,Vehicle/Bus Number,گاڑی / بس نمبر
apps/erpnext/erpnext/public/js/call_popup/call_popup.js,Create New Contact,نیا رابطہ بنائیں۔
apps/erpnext/erpnext/education/doctype/course/course.js,Course Schedule,کورس شیڈول
DocType: GSTR 3B Report,GSTR 3B Report,جی ایس ٹی آر 3 بی رپورٹ۔
DocType: Request for Quotation Supplier,Quote Status,اقتباس کی حیثیت
DocType: GoCardless Settings,Webhooks Secret,Webhooks خفیہ
DocType: Maintenance Visit,Completion Status,تکمیل کی حیثیت
apps/erpnext/erpnext/accounts/doctype/sales_invoice/sales_invoice.py,Total payments amount can't be greater than {},ادائیگی کی کل رقم {than سے زیادہ نہیں ہوسکتی ہے
DocType: Daily Work Summary Group,Select Users,صارفین کو منتخب کریں
DocType: Hotel Room Pricing Item,Hotel Room Pricing Item,ہوٹل کمرہ قیمتوں کا تعین آئٹم
DocType: Loyalty Program Collection,Tier Name,ٹائر کا نام
DocType: HR Settings,Enter retirement age in years,سال میں ریٹائرمنٹ کی عمر درج کریں
DocType: Crop,Target Warehouse,ہدف گودام
DocType: Payroll Employee Detail,Payroll Employee Detail,ملازم کی تفصیل
apps/erpnext/erpnext/public/js/utils/serial_no_batch_selector.js,Please select a warehouse,ایک گودام براہ مہربانی منتخب کریں
DocType: Cheque Print Template,Starting location from left edge,بائیں کنارے سے مقام پر شروع
,Territory Target Variance Based On Item Group,آئٹم گروپ پر مبنی علاقہ جات کے ہدف کی مختلف حالتیں۔
DocType: Upload Attendance,Import Attendance,درآمد حاضری
apps/erpnext/erpnext/public/js/pos/pos.html,All Item Groups,تمام آئٹم گروپس
DocType: Work Order,Item To Manufacture,اشیاء تیار کرنے کے لئے
DocType: Leave Control Panel,Employment Type (optional),ملازمت کی قسم (اختیاری)
DocType: Pricing Rule,Threshold for Suggestion,تجویز کے لئے حد۔
apps/erpnext/erpnext/buying/utils.py,{0} {1} status is {2},{0} {1} {2} درجا ہے
DocType: Water Analysis,Collection Temperature ,درجہ حرارت کا درجہ حرارت
DocType: Employee,Provide Email Address registered in company,کمپنی میں رجسٹرڈ ای میل ایڈریس فراہم کریں
DocType: Shopping Cart Settings,Enable Checkout,چیک آؤٹ فعال کریں
apps/erpnext/erpnext/config/help.py,Purchase Order to Payment,ادائیگی آرڈر خریدیں
apps/erpnext/erpnext/stock/page/stock_balance/stock_balance.js,Projected Qty,متوقع مقدار
DocType: Sales Invoice,Payment Due Date,ادائیگی کی وجہ سے تاریخ
apps/erpnext/erpnext/manufacturing/doctype/production_plan/production_plan.js,"Reserved Qty: Quantity ordered for sale, but not delivered.",محفوظ مقدار: مقدار فروخت کے لئے آرڈر کی گئی ، لیکن فراہم نہیں کی گئی۔
DocType: Drug Prescription,Interval UOM,انٹرا UOM
DocType: Customer,"Reselect, if the chosen address is edited after save",منتخب کرنے کے بعد، منتخب کردہ ایڈریس کو بچانے کے بعد میں ترمیم کیا جاتا ہے
apps/erpnext/erpnext/manufacturing/doctype/production_plan/production_plan.js,Reserved Qty for Subcontract: Raw materials quantity to make subcontracted items.,ذیلی معاہدے کے لئے محفوظ مقدار: سب کوٹریکٹ اشیاء بنانے کے لئے خام مال کی مقدار۔
apps/erpnext/erpnext/stock/doctype/item/item.js,Item Variant {0} already exists with same attributes,آئٹم مختلف {0} پہلے ہی صفات کے ساتھ موجود
DocType: Item,Hub Publishing Details,ہب پبلشنگ کی تفصیلات
apps/erpnext/erpnext/stock/report/stock_ledger/stock_ledger.py,'Opening',افتتاحی'
apps/erpnext/erpnext/setup/doctype/email_digest/templates/default.html,Open To Do,ایسا کرنے کے لئے کھلے
DocType: Pricing Rule,Mixed Conditions,مخلوط حالات۔
apps/erpnext/erpnext/public/js/call_popup/call_popup.js,Call Summary Saved,کال کا خلاصہ محفوظ ہوگیا۔
DocType: Issue,Via Customer Portal,کسٹمر پورٹل کے ذریعے
DocType: Employee Tax Exemption Proof Submission Detail,Actual Amount,اصل رقم۔
apps/erpnext/erpnext/regional/report/eway_bill/eway_bill.py,SGST Amount,ایس جی ایس ایس کی رقم
DocType: Lab Test Template,Result Format,نتیجہ کی شکل
DocType: Expense Claim,Expenses,اخراجات
DocType: Service Level,Support Hours,سپورٹ گھنٹے
apps/erpnext/erpnext/accounts/report/accounts_receivable/accounts_receivable.py,Delivery Notes,ڈلیوری نوٹس
DocType: Item Variant Attribute,Item Variant Attribute,آئٹم مختلف خاصیت
,Purchase Receipt Trends,خریداری کی رسید رجحانات
DocType: Payroll Entry,Bimonthly,دو ماہی
DocType: Vehicle Service,Brake Pad,وقفے پیڈ
DocType: Fertilizer,Fertilizer Contents,کھاد
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py,Research & Development,ریسرچ اینڈ ڈیولپمنٹ
apps/erpnext/erpnext/accounts/report/purchase_order_items_to_be_billed/purchase_order_items_to_be_billed.py,Amount to Bill,بل رقم
apps/erpnext/erpnext/accounts/report/accounts_receivable/accounts_receivable.js,Based On Payment Terms,ادائیگی کی شرائط پر مبنی
apps/erpnext/erpnext/config/settings.py,ERPNext Settings,ERPNext ترتیبات۔
DocType: Company,Registration Details,رجسٹریشن کی تفصیلات
DocType: Timesheet,Total Billed Amount,کل بل کی رقم
DocType: Item Reorder,Re-Order Qty,دوبارہ آرڈر کی مقدار
DocType: Leave Block List Date,Leave Block List Date,بلاک فہرست تاریخ چھوڑ دو
DocType: Quality Feedback Parameter,Quality Feedback Parameter,کوالٹی تاثرات کا پیرامیٹر۔
apps/erpnext/erpnext/manufacturing/doctype/bom/bom.py,BOM #{0}: Raw material cannot be same as main Item,بوم # {0}: خام مال اہم آئٹم کی طرح نہیں ہوسکتی ہے
apps/erpnext/erpnext/stock/doctype/landed_cost_voucher/landed_cost_voucher.py,Total Applicable Charges in Purchase Receipt Items table must be same as Total Taxes and Charges,خریداری کی رسید اشیا ٹیبل میں تمام قابل اطلاق چارجز کل ٹیکس اور الزامات طور پر ایک ہی ہونا چاہیے
DocType: Production Plan Item,"If enabled, system will create the work order for the exploded items against which BOM is available.",اگر فعال ہوجائے تو ، نظام پھٹے ہوئے آئٹمز کے لئے ورک آرڈر تشکیل دے گا جس کے خلاف BOM دستیاب ہے۔
DocType: Sales Team,Incentives,ترغیبات
DocType: SMS Log,Requested Numbers,درخواست نمبر
DocType: Volunteer,Evening,شام
DocType: Quiz,Quiz Configuration,کوئز کنفیگریشن۔
DocType: Vital Signs,Normal,عمومی
apps/erpnext/erpnext/accounts/doctype/tax_rule/tax_rule.py,"Enabling 'Use for Shopping Cart', as Shopping Cart is enabled and there should be at least one Tax Rule for Shopping Cart",کو چالو کرنے کے طور پر خریداری کی ٹوکری چالو حالت میں ہے، &#39;خریداری کی ٹوکری کے لئے استعمال کریں&#39; اور خریداری کی ٹوکری کے لئے کم از کم ایک ٹیکس حکمرانی نہیں ہونا چاہئے
DocType: Sales Invoice Item,Stock Details,اسٹاک کی تفصیلات
apps/erpnext/erpnext/projects/report/project_wise_stock_tracking/project_wise_stock_tracking.py,Project Value,پروجیکٹ ویلیو
apps/erpnext/erpnext/config/help.py,Point-of-Sale,پوائنٹ کے فروخت
DocType: Fee Schedule,Fee Creation Status,فیس تخلیق کی حیثیت
apps/erpnext/erpnext/utilities/activation.py,Create Sales Orders to help you plan your work and deliver on-time,اپنے کام کی منصوبہ بندی کرنے اور وقت پر فراہمی میں مدد کرنے کے لئے سیلز آرڈرز بنائیں۔
DocType: Vehicle Log,Odometer Reading,odometer پڑھنے
apps/erpnext/erpnext/accounts/doctype/account/account.py,"Account balance already in Credit, you are not allowed to set 'Balance Must Be' as 'Debit'",پہلے سے ہی کریڈٹ اکاؤنٹ بیلنس، آپ ڈیبٹ &#39;کے طور پر کی بیلنس ہونا چاہئے&#39; قائم کرنے کی اجازت نہیں کر رہے ہیں
DocType: Account,Balance must be,بیلنس ہونا ضروری ہے
,Available Qty,دستیاب مقدار
DocType: Shopify Settings,Default Warehouse to to create Sales Order and Delivery Note,سیلز آرڈر اور ڈلیوری نوٹ تخلیق کرنے کے لئے ڈیفالٹ گودام
DocType: Purchase Taxes and Charges,On Previous Row Total,پچھلے صف کل پر
DocType: Purchase Invoice Item,Rejected Qty,مسترد شدہ قی
DocType: Setup Progress Action,Action Field,ایکشن فیلڈ
DocType: Healthcare Settings,Manage Customer,کسٹمر کا انتظام کریں
DocType: Amazon MWS Settings,Always synch your products from Amazon MWS before synching the Orders details,احکامات کی تفصیلات کو سنبھالنے سے پہلے اپنی مصنوعات کو ایمیزون میگاواٹ سے ہمیشہ سنبھالیں
DocType: Delivery Trip,Delivery Stops,ترسیل بند
DocType: Salary Slip,Working Days,کام کے دنوں میں
apps/erpnext/erpnext/accounts/deferred_revenue.py,Cannot change Service Stop Date for item in row {0},صف میں آئٹم کے لئے سروس سٹاپ کی تاریخ کو تبدیل نہیں کر سکتا {0}
DocType: Serial No,Incoming Rate,موصولہ کی شرح
DocType: Packing Slip,Gross Weight,مجموعی وزن
DocType: Leave Type,Encashment Threshold Days,تھراشولڈ دن کا سراغ لگانا
,Final Assessment Grades,حتمی تشخیصی گریڈ
apps/erpnext/erpnext/public/js/setup_wizard.js,The name of your company for which you are setting up this system.,آپ کی کمپنی کے نام جس کے لئے آپ کو اس کے نظام کو قائم کر رہے ہیں.
DocType: HR Settings,Include holidays in Total no. of Working Days,کوئی کل میں تعطیلات شامل. کام کے دنوں کے
apps/erpnext/erpnext/setup/setup_wizard/operations/sample_data.py,Setup your Institute in ERPNext,ERPNext میں اپنے انسٹی ٹیوٹ قائم کریں
DocType: Agriculture Analysis Criteria,Plant Analysis,پلانٹ تجزیہ
DocType: Task,Timeline,ٹائم لائن
apps/erpnext/erpnext/buying/doctype/purchase_order/purchase_order.js,Hold,پکڑو
apps/erpnext/erpnext/manufacturing/doctype/bom/bom.js,Alternate Item,متبادل آئٹم
DocType: Shopify Log,Request Data,درخواست ڈیٹا
DocType: Employee,Date of Joining,شمولیت کی تاریخ
DocType: Naming Series,Update Series,اپ ڈیٹ سیریز
DocType: Supplier Quotation,Is Subcontracted,ٹھیکے ہے
DocType: Restaurant Table,Minimum Seating,کم سے کم نشست
DocType: Item Attribute,Item Attribute Values,آئٹم خاصیت فہرست
DocType: Examination Result,Examination Result,امتحان کے نتائج
apps/erpnext/erpnext/accounts/doctype/purchase_invoice/purchase_invoice.js,Purchase Receipt,خریداری کی رسید
,Received Items To Be Billed,موصول ہونے والی اشیاء بل بھیجا جائے کرنے کے لئے
DocType: Purchase Invoice,Accounting Dimensions,اکاؤنٹنگ کے طول و عرض۔
,Subcontracted Raw Materials To Be Transferred,ضمنی معاہدہ خام مال منتقل کیا جائے۔
apps/erpnext/erpnext/config/accounting.py,Currency exchange rate master.,کرنسی کی شرح تبادلہ ماسٹر.
,Sales Person Target Variance Based On Item Group,آئٹم گروپ پر مبنی سیلز پرسنکی ٹارگٹ ویریننس۔
apps/erpnext/erpnext/accounts/doctype/payment_entry/payment_entry.py,Reference Doctype must be one of {0},حوالۂ ڈاٹپائپ میں سے ایک ہونا لازمی ہے {0}
apps/erpnext/erpnext/stock/report/warehouse_wise_item_balance_age_and_value/warehouse_wise_item_balance_age_and_value.js,Filter Total Zero Qty,فلرو مقدار فلٹر
DocType: Work Order,Plan material for sub-assemblies,ذیلی اسمبلیوں کے لئے منصوبہ مواد
apps/erpnext/erpnext/manufacturing/doctype/bom/bom.py,BOM {0} must be active,BOM {0} فعال ہونا ضروری ہے
apps/erpnext/erpnext/buying/doctype/purchase_order/purchase_order.py,No Items available for transfer,منتقلی کے لئے دستیاب اشیاء نہیں
DocType: Employee Boarding Activity,Activity Name,سرگرمی کا نام
apps/erpnext/erpnext/accounts/doctype/purchase_invoice/purchase_invoice.js,Change Release Date,تبدیلی کی تاریخ تبدیل کریں
apps/erpnext/erpnext/stock/doctype/stock_entry/stock_entry.py,Finished product quantity <b>{0}</b> and For Quantity <b>{1}</b> cannot be different,تیار کردہ مصنوعات کی مقدار <b>{0}</b> اور مقدار کے لئے <b>{1}</b> مختلف نہیں ہوسکتا
apps/erpnext/erpnext/accounts/report/general_ledger/general_ledger.py,Closing (Opening + Total),بند (کھولنے + کل)
DocType: Delivery Settings,Dispatch Notification Attachment,ڈسپیچ نوٹیفیکیشن منسلک
DocType: Payroll Entry,Number Of Employees,ملازمین کی تعداد
DocType: Journal Entry,Depreciation Entry,ہراس انٹری
apps/erpnext/erpnext/selling/report/sales_partner_commission_summary/sales_partner_commission_summary.py,Please select the document type first,پہلی دستاویز کی قسم منتخب کریں
apps/erpnext/erpnext/stock/doctype/item/item.py,You have to enable auto re-order in Stock Settings to maintain re-order levels.,آرڈر کی سطح کو برقرار رکھنے کے ل You آپ کو اسٹاک کی ترتیبات میں از خود دوبارہ ترتیب دینا ہوگا۔
apps/erpnext/erpnext/maintenance/doctype/maintenance_visit/maintenance_visit.py,Cancel Material Visits {0} before cancelling this Maintenance Visit,اس کی بحالی کا منسوخ کرنے سے پہلے منسوخ مواد دورہ {0}
DocType: Pricing Rule,Rate or Discount,شرح یا ڈسکاؤنٹ
apps/erpnext/erpnext/accounts/doctype/bank/bank_dashboard.py,Bank Details,بینک کی تفصیلات
DocType: Vital Signs,One Sided,یک طرفہ
apps/erpnext/erpnext/stock/doctype/serial_no/serial_no.py,Serial No {0} does not belong to Item {1},سیریل نمبر {0} آئٹم سے تعلق نہیں ہے {1}
DocType: Purchase Order Item Supplied,Required Qty,مطلوبہ مقدار
DocType: Marketplace Settings,Custom Data,اپنی مرضی کے مطابق ڈیٹا
apps/erpnext/erpnext/stock/doctype/warehouse/warehouse.py,Warehouses with existing transaction can not be converted to ledger.,موجودہ منتقلی کے ساتھ گوداموں لیجر میں تبدیل نہیں کیا جا سکتا.
DocType: Service Day,Service Day,یوم خدمت۔
apps/erpnext/erpnext/hub_node/api.py,Unable to update remote activity,ریموٹ سرگرمی کو اپ ڈیٹ کرنے سے قاصر ہے۔
apps/erpnext/erpnext/controllers/buying_controller.py,Serial no is mandatory for the item {0},آئٹم کے لئے سیریل نمبر ضروری نہیں ہے {0}
DocType: Bank Reconciliation,Total Amount,کل رقم
apps/erpnext/erpnext/accounts/report/tds_computation_summary/tds_computation_summary.py,From Date and To Date lie in different Fiscal Year,تاریخ اور تاریخ سے مختلف مالی سال میں جھوٹ بولتے ہیں
apps/erpnext/erpnext/healthcare/utils.py,The Patient {0} do not have customer refrence to invoice,مریض {0} انوائس پر کسٹمر ریفنس نہیں ہے
DocType: Quality Feedback Template,Quality Feedback Template,کوالٹی فیڈ بیک ٹیمپلیٹ۔
apps/erpnext/erpnext/config/education.py,LMS Activity,LMS سرگرمی۔
apps/erpnext/erpnext/setup/setup_wizard/data/industry_type.py,Internet Publishing,انٹرنیٹ پبلشنگ
apps/erpnext/erpnext/accounts/doctype/opening_invoice_creation_tool/opening_invoice_creation_tool.js,Creating {0} Invoice,{0} انوائس تخلیق کرنا
DocType: Medical Code,Medical Code Standard,میڈیکل کوڈ سٹینڈرڈ
DocType: Soil Texture,Clay Composition (%),مٹی ساخت (٪)
DocType: Item Group,Item Group Defaults,آئٹم گروپ کی غلطیاں
apps/erpnext/erpnext/assets/doctype/asset_maintenance/asset_maintenance.js,Please save before assigning task.,کام کو تفویض کرنے سے قبل براہ کرم محفوظ کریں.
apps/erpnext/erpnext/stock/report/stock_balance/stock_balance.py,Balance Value,بیلنس ویلیو
DocType: Lab Test,Lab Technician,ماہر تجربہ گاہ
apps/erpnext/erpnext/stock/report/item_prices/item_prices.py,Sales Price List,سیلز قیمت کی فہرست
DocType: Healthcare Settings,"If checked, a customer will be created, mapped to Patient.
Patient Invoices will be created against this Customer. You can also select existing Customer while creating Patient.",اگر جانچ پڑتال ہو تو، ایک کسٹمر تخلیق کیا جائے گا، مریض کو نقدی. اس گاہک کے خلاف مریض انوائس بنائے جائیں گے. آپ مریض پیدا کرنے کے دوران موجودہ کسٹمر بھی منتخب کرسکتے ہیں.
apps/erpnext/erpnext/accounts/doctype/loyalty_program/loyalty_program.py,Customer isn't enrolled in any Loyalty Program,کسٹمر کسی بھی وفادار پروگرام میں داخل نہیں ہوا ہے
DocType: Bank Reconciliation,Account Currency,اکاؤنٹ کی کرنسی
DocType: Lab Test,Sample ID,نمونہ ID
apps/erpnext/erpnext/accounts/general_ledger.py,Please mention Round Off Account in Company,کمپنی میں گول آف اکاؤنٹ کا ذکر کریں
DocType: Purchase Receipt,Range,رینج
DocType: Supplier,Default Payable Accounts,پہلے سے طے شدہ قابل ادائیگی اکاؤنٹس
apps/erpnext/erpnext/hr/doctype/attendance/attendance.py,Employee {0} is not active or does not exist,{0} ملازم فعال نہیں ہے یا موجود نہیں ہے
DocType: Fee Structure,Components,اجزاء
DocType: Support Search Source,Search Term Param Name,تلاش ٹرم پیر نام
DocType: Item Barcode,Item Barcode,آئٹم بارکوڈ
DocType: Delivery Trip,In Transit,ٹرانزٹ میں
DocType: Woocommerce Settings,Endpoints,اختتام
DocType: Shopping Cart Settings,Show Configure Button,کنفیگر بٹن دکھائیں۔
DocType: Quality Inspection Reading,Reading 6,6 پڑھنا
apps/erpnext/erpnext/accounts/doctype/payment_entry/payment_entry.js,Cannot {0} {1} {2} without any negative outstanding invoice,نہ {0} {1} {2} بھی منفی بقایا انوائس کے بغیر کر سکتے ہیں
DocType: Share Transfer,From Folio No,فولیو نمبر سے
DocType: Purchase Invoice Advance,Purchase Invoice Advance,انوائس پیشگی خریداری
DocType: Shift Type,Every Valid Check-in and Check-out,ہر جائز چیک ان اور چیک آؤٹ۔
apps/erpnext/erpnext/accounts/doctype/journal_entry/journal_entry.py,Row {0}: Credit entry can not be linked with a {1},صف {0}: کریڈٹ اندراج کے ساتھ منسلک نہیں کیا جا سکتا ہے {1}
apps/erpnext/erpnext/config/accounting.py,Define budget for a financial year.,ایک مالی سال کے لئے بجٹ کی وضاحت کریں.
DocType: Shopify Tax Account,ERPNext Account,ERPNext اکاؤنٹ
apps/erpnext/erpnext/education/doctype/student_report_generation_tool/student_report_generation_tool.py,Provide the academic year and set the starting and ending date.,تعلیمی سال فراہم کریں اور آغاز اور اختتامی تاریخ طے کریں۔
apps/erpnext/erpnext/controllers/accounts_controller.py,{0} is blocked so this transaction cannot proceed,{0} بلاک ہے لہذا یہ ٹرانزیکشن آگے بڑھا نہیں سکتا
DocType: Budget,Action if Accumulated Monthly Budget Exceeded on MR,اگر ماہانہ بجٹ جمع ہوئی تو ایم کیو ایم سے ایکشن ختم ہوگئی
DocType: Employee,Permanent Address Is,مستقل پتہ ہے
DocType: Work Order Operation,Operation completed for how many finished goods?,آپریشن کتنے تیار مال کے لئے مکمل کیا ہے؟
apps/erpnext/erpnext/healthcare/doctype/patient_appointment/patient_appointment.js,Healthcare Practitioner {0} not available on {1},صحت کی دیکھ بھال کے پریکٹیشنر {0} پر دستیاب نہیں ہے {1}
DocType: Payment Terms Template,Payment Terms Template,ادائیگی شرائط سانچہ
apps/erpnext/erpnext/public/js/setup_wizard.js,The Brand,برانڈ
DocType: Employee Tax Exemption Proof Submission,Rented To Date,کرایہ دار کی تاریخ
DocType: Manufacturing Settings,Allow Multiple Material Consumption,ایک سے زیادہ مواد کی کھپت کی اجازت دیں
DocType: Employee,Exit Interview Details,باہر نکلیں انٹرویو کی تفصیلات
DocType: Item,Is Purchase Item,خریداری آئٹم
DocType: Bank Statement Transaction Invoice Item,Purchase Invoice,خریداری کی رسید
DocType: Manufacturing Settings,Allow multiple Material Consumption against a Work Order,ایک کام آرڈر کے خلاف متعدد مواد کی کھپت کی اجازت دیں
DocType: GL Entry,Voucher Detail No,واؤچر تفصیل کوئی
DocType: Email Digest,New Sales Invoice,نئے فروخت انوائس
DocType: Stock Entry,Total Outgoing Value,کل سبکدوش ہونے والے ویلیو
DocType: Healthcare Practitioner,Appointments,اپیلمنٹ
apps/erpnext/erpnext/quality_management/doctype/quality_review/quality_review_list.js,Action Initialised,کارروائی کا آغاز۔
apps/erpnext/erpnext/public/js/account_tree_grid.js,Opening Date and Closing Date should be within same Fiscal Year,تاریخ اور آخری تاریخ کھولنے اسی مالی سال کے اندر اندر ہونا چاہئے
DocType: Lead,Request for Information,معلومات کے لئے درخواست
DocType: Course Activity,Activity Date,سرگرمی کی تاریخ
