DocType: Accounting Period,Period Name,Názov obdobia
apps/erpnext/erpnext/accounts/doctype/journal_entry/journal_entry.py,Row {0}: Payment against Sales/Purchase Order should always be marked as advance,Row {0}: Platba na prodejní / nákupní objednávce by měly být vždy označeny jako předem
apps/erpnext/erpnext/setup/setup_wizard/data/industry_type.py,Chemical,Chemický
DocType: Salary Component Account,Default Bank / Cash account will be automatically updated in Salary Journal Entry when this mode is selected.,Východisková banka / Peňažný účet budú automaticky aktualizované v plat položka denníku ak je zvolený tento režim.
DocType: Quiz,Latest Attempt,Najnovší pokus
DocType: Quiz Result,Quiz Result,Výsledok testu
apps/erpnext/erpnext/hr/doctype/leave_allocation/leave_allocation.py,Total leaves allocated is mandatory for Leave Type {0},Celkový počet priradených listov je povinný pre typ dovolenky {0}
apps/erpnext/erpnext/controllers/sales_and_purchase_return.py,Row # {0}: Rate cannot be greater than the rate used in {1} {2},Riadok # {0}: Sadzba nesmie byť vyššia ako sadzba použitá v {1} {2}
apps/erpnext/erpnext/controllers/sales_and_purchase_return.py,Row # {0}: Rate cannot be greater than the rate used in {1} {2},Riadok # {0}: Sadzba nesmie byť vyššia ako sadzba použitá v {1} {2}
apps/erpnext/erpnext/utilities/user_progress.py,Meter,meter
DocType: Workstation,Electricity Cost,Cena elektřiny
apps/erpnext/erpnext/agriculture/doctype/water_analysis/water_analysis.py,Lab testing datetime cannot be before collection datetime,Laboratórne testovanie dátumu nemôže byť pred dátumom zberu
DocType: Subscription Plan,Cost,Náklady
DocType: HR Settings,Don't send Employee Birthday Reminders,Neposílejte zaměstnance připomenutí narozenin
DocType: Expense Claim,Total Advance Amount,Celková čiastka preddavku
DocType: Delivery Stop,Estimated Arrival,Odhadovaný príchod
apps/erpnext/erpnext/templates/pages/help.html,See All Articles,Pozrite si všetky články
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py,Walk In,Vejít
DocType: Item,Inspection Criteria,Inšpekčné kritéria
apps/erpnext/erpnext/stock/doctype/material_request/material_request_list.js,Transfered,Prevedené
DocType: BOM Website Item,BOM Website Item,BOM Website Item
apps/erpnext/erpnext/public/js/setup_wizard.js,Upload your letter head and logo. (you can edit them later).,Nahrajte svoju hlavičku a logo pre dokumenty. (Môžete ich upravovať neskôr.)
DocType: Timesheet Detail,Bill,Účtenka
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py,White,Biela
apps/erpnext/erpnext/accounts/doctype/sales_invoice/sales_invoice.py,Invalid Company for Inter Company Transaction.,Neplatná spoločnosť pre medzipodnikové transakcie.
DocType: SMS Center,All Lead (Open),Všetky Iniciatívy (Otvorené)
apps/erpnext/erpnext/accounts/doctype/cash_flow_mapping/cash_flow_mapping.py,You can only select a maximum of one option from the list of check boxes.,V zozname začiarkavacích políčok môžete vybrať maximálne jednu možnosť.
DocType: Purchase Invoice,Get Advances Paid,Získejte zaplacené zálohy
DocType: Item,Automatically Create New Batch,Automaticky vytvoriť novú dávku
DocType: Woocommerce Settings,"The user that will be used to create Customers, Items and Sales Orders. This user should have the relevant permissions.","Používateľ, ktorý sa použije na vytvorenie zákazníkov, položiek a zákaziek odberateľa. Tento používateľ by mal mať príslušné povolenia."
DocType: Supplier,Represents Company,Reprezentuje spoločnosť
apps/erpnext/erpnext/accounts/doctype/journal_entry/journal_entry.js,Make ,Vytvoriť
DocType: Student Admission,Admission Start Date,Vstupné Dátum začatia
DocType: Journal Entry,Total Amount in Words,Celková částka slovy
apps/erpnext/erpnext/hr/doctype/employee/employee_tree.js,New Employee,Nový zamestnanec
apps/erpnext/erpnext/controllers/selling_controller.py,Order Type must be one of {0},Typ objednávky musí být jedním z {0}
DocType: Lead,Next Contact Date,Další Kontakt Datum
apps/erpnext/erpnext/stock/report/batch_wise_balance_history/batch_wise_balance_history.py,Opening Qty,Otváracie množstvo
DocType: Healthcare Settings,Appointment Reminder,Pripomienka na menovanie
apps/erpnext/erpnext/accounts/doctype/sales_invoice/sales_invoice.py,Please enter Account for Change Amount,"Prosím, zadajte účet pre zmenu Suma"
DocType: Program Enrollment Tool Student,Student Batch Name,Študent Batch Name
DocType: Holiday List,Holiday List Name,Názov zoznamu sviatkov
apps/erpnext/erpnext/erpnext_integrations/doctype/tally_migration/tally_migration.py,Importing Items and UOMs,Import položiek a UOM
DocType: Repayment Schedule,Balance Loan Amount,Bilancia Výška úveru
apps/erpnext/erpnext/hr/doctype/employee_promotion/employee_promotion.js,Added to details,Pridané k podrobnostiam
apps/erpnext/erpnext/accounts/doctype/pricing_rule/utils.py,"Sorry,coupon code are exhausted","Ľutujeme, kód kupónu je vyčerpaný"
DocType: Communication Medium,Catch All,Chytiť všetko
apps/erpnext/erpnext/education/doctype/course_scheduling_tool/course_scheduling_tool.js,Schedule Course,rozvrh
DocType: Budget,Applicable on Material Request,Platí pre materiálové požiadavky
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py,Stock Options,Možnosti zásob
apps/erpnext/erpnext/selling/page/point_of_sale/point_of_sale.js,No Items added to cart,Do košíka nie sú pridané žiadne položky
DocType: Journal Entry Account,Expense Claim,Hrazení nákladů
apps/erpnext/erpnext/assets/doctype/asset/asset.js,Do you really want to restore this scrapped asset?,Naozaj chcete obnoviť tento vyradený aktívum?
apps/erpnext/erpnext/manufacturing/doctype/work_order/work_order.js,Qty for {0},Množství pro {0}
DocType: Attendance,Leave Application,Aplikácia na priepustky
DocType: Patient,Patient Relation,Vzťah pacientov
DocType: Item,Hub Category to Publish,Kategória Hubu na publikovanie
DocType: Leave Block List,Leave Block List Dates,Nechte Block List termíny
apps/erpnext/erpnext/stock/doctype/serial_no/serial_no.py,"Sales Order {0} has reservation for item {1}, you can
		only deliver reserved {1} against {0}. Serial No {2} cannot
		be delivered","Predajná objednávka {0} má rezerváciu pre položku {1}, môžete doručiť rezervované {1} iba proti {0}. Sériové číslo {2} sa nedá dodať"
DocType: Sales Invoice,Billing Address GSTIN,Fakturačná adresa GSTIN
DocType: Homepage,Hero Section Based On,Hero Section Na základe
DocType: Employee Tax Exemption Proof Submission,Total Eligible HRA Exemption,Celková oprávnená výnimka pre HRA
apps/erpnext/erpnext/regional/india/utils.py,Invalid GSTIN! A GSTIN must have 15 characters.,Neplatné GSTIN! GSTIN musí mať 15 znakov.
DocType: Assessment Plan,Evaluate,Ohodnotiť
DocType: Workstation,Net Hour Rate,Net Hour Rate
DocType: Landed Cost Purchase Receipt,Landed Cost Purchase Receipt,Přistál Náklady doklad o koupi
DocType: Supplier Scorecard Period,Criteria,kritériá
DocType: Packing Slip Item,Packing Slip Item,Balení Slip Item
DocType: Purchase Invoice,Cash/Bank Account,Hotovostný / Bankový účet
DocType: Travel Itinerary,Train,Vlak
,Delayed Item Report,Prehľad oneskorených položiek
apps/erpnext/erpnext/regional/doctype/gstr_3b_report/gstr_3b_report.html,Eligible ITC,Oprávnené ITC
DocType: Healthcare Service Unit,Inpatient Occupancy,Umiestnenie v nemocnici
apps/erpnext/erpnext/public/js/hub/pages/PublishedItems.vue,Publish Your First Items,Zverejnite svoje prvé položky
DocType: Sample Collection,HLC-SC-.YYYY.-,HLC-SC-.YYYY.-
DocType: Shift Type,Time after the end of shift during which check-out is considered for attendance.,"Čas po ukončení zmeny, počas ktorého sa check-out považuje za účasť."
apps/erpnext/erpnext/public/js/queries.js,Please specify a {0},Zadajte {0}
apps/erpnext/erpnext/stock/doctype/stock_reconciliation/stock_reconciliation.py,Removed items with no change in quantity or value.,Odstránené položky bez zmeny množstva alebo hodnoty.
DocType: Delivery Note,Delivery To,Doručenie do
apps/erpnext/erpnext/stock/doctype/item/item.js,Variant creation has been queued.,Tvorba variantu bola zaradená do frontu.
apps/erpnext/erpnext/hr/doctype/daily_work_summary/daily_work_summary.py,Work Summary for {0},Súhrn práce pre {0}
DocType: Department,The first Leave Approver in the list will be set as the default Leave Approver.,Prvý prideľovač odchýlok v zozname bude nastavený ako predvolený neprístupný.
apps/erpnext/erpnext/stock/doctype/item/item.py,Attribute table is mandatory,Atribút tabuľka je povinné
apps/erpnext/erpnext/stock/report/delayed_item_report/delayed_item_report.py,Delayed Days,Oneskorené dni
DocType: Production Plan,Get Sales Orders,Získat Prodejní objednávky
apps/erpnext/erpnext/accounts/doctype/pricing_rule/pricing_rule.py,{0} can not be negative,{0} nemôže byť záporné
apps/erpnext/erpnext/erpnext_integrations/doctype/quickbooks_migrator/quickbooks_migrator.js,Connect to Quickbooks,Pripojte sa k Quickbooks
apps/erpnext/erpnext/templates/generators/item/item_configure.js,Clear values,Vymazať hodnoty
DocType: Training Event,Self-Study,Samoštúdium
DocType: POS Closing Voucher,Period End Date,Dátum ukončenia obdobia
apps/erpnext/erpnext/regional/india/utils.py,Transport Receipt No and Date are mandatory for your chosen Mode of Transport,Pre zvolený spôsob dopravy sú povinné číslo a dátum prepravy
apps/erpnext/erpnext/agriculture/doctype/soil_texture/soil_texture.py,Soil compositions do not add up to 100,Pôdne zložky nedosahujú hodnotu 100
apps/erpnext/erpnext/selling/page/point_of_sale/point_of_sale.js,Discount,Zľava
apps/erpnext/erpnext/accounts/doctype/opening_invoice_creation_tool/opening_invoice_creation_tool.py,Row {0}: {1} is required to create the Opening {2} Invoices,Na vytvorenie {2} faktúr na otvorenie {0}: {1} je potrebný riadok
DocType: Membership,Membership,členstva
DocType: Asset,Total Number of Depreciations,Celkový počet Odpisy
apps/erpnext/erpnext/hr/report/bank_remittance/bank_remittance.py,Debit A/C Number,Číslo debetnej platby
DocType: Sales Invoice Item,Rate With Margin,Sadzba s maržou
DocType: Sales Invoice Item,Rate With Margin,Sadzba s maržou
DocType: Purchase Invoice,Is Return (Debit Note),Je Return (Debit Note)
DocType: Workstation,Wages,Mzdy
DocType: Asset Maintenance,Maintenance Manager Name,Meno správcu údržby
apps/erpnext/erpnext/accounts/doctype/chart_of_accounts_importer/chart_of_accounts_importer.js,Transactions against the company already exist! ,Transakcie proti spoločnosti už existujú!
apps/erpnext/erpnext/buying/report/procurement_tracker/procurement_tracker.py,Requesting Site,Žiadajúci web
DocType: Agriculture Task,Urgent,Naléhavý
apps/erpnext/erpnext/healthcare/doctype/patient_appointment/patient_appointment.js,Fetching records......,Prebieha načítavanie záznamov ......
apps/erpnext/erpnext/accounts/doctype/payment_entry/payment_entry.js,Please specify a valid Row ID for row {0} in table {1},Zadajte platný riadok ID riadku tabuľky {0} {1}
apps/erpnext/erpnext/buying/doctype/supplier_scorecard_criteria/supplier_scorecard_criteria.py,Unable to find variable: ,Nepodarilo sa nájsť premennú:
apps/erpnext/erpnext/selling/page/point_of_sale/point_of_sale.js,Please select a field to edit from numpad,"Vyberte pole, ktoré chcete upraviť z čísla"
apps/erpnext/erpnext/stock/doctype/item/item.py,Cannot be a fixed asset item as Stock Ledger is created.,"Nemôže byť položka fixného majetku, pretože je vytvorená účtovná kniha."
DocType: Subscription Plan,Fixed rate,Fixna sadzba
apps/erpnext/erpnext/healthcare/doctype/inpatient_record/inpatient_record.js,Admit,Pripustiť
apps/erpnext/erpnext/setup/page/welcome_to_erpnext/welcome_to_erpnext.html,Go to the Desktop and start using ERPNext,Prejdite na plochu a začnite používať ERPNext
apps/erpnext/erpnext/templates/pages/order.js,Pay Remaining,Platba zostávajúca
DocType: Purchase Invoice Item,Manufacturer,Výrobca
DocType: Landed Cost Item,Purchase Receipt Item,Položka příjemky
DocType: Leave Allocation,Total Leaves Encashed,Celkový počet zapuzdrených listov
DocType: POS Profile,Sales Invoice Payment,Platba na odoslanú faktúru
DocType: Quality Inspection Template,Quality Inspection Template Name,Názov šablóny inšpekcie kvality
DocType: Project,First Email,Prvý e-mail
DocType: Company,Exception Budget Approver Role,Role prístupu k výnimke rozpočtu
DocType: Purchase Invoice,"Once set, this invoice will be on hold till the set date",Po nastavení bude táto faktúra pozastavená až do stanoveného dátumu
DocType: Cashier Closing,POS-CLO-,POS-CLO-
apps/erpnext/erpnext/accounts/report/gross_profit/gross_profit.py,Selling Amount,Predajná čiastka
DocType: Repayment Schedule,Interest Amount,záujem Suma
DocType: Job Card,Time Logs,Čas Záznamy
DocType: Sales Invoice,Loyalty Amount,Vernostná suma
DocType: Employee Transfer,Employee Transfer Detail,Podrobnosti o zamestnancovi
DocType: Serial No,Creation Document No,Tvorba dokument č
DocType: Location,Location Details,Podrobné informácie o polohe
DocType: Share Transfer,Issue,Problém
apps/erpnext/erpnext/healthcare/doctype/patient_encounter/patient_encounter_dashboard.py,Records,Záznamy
DocType: Asset,Scrapped,zošrotovaný
DocType: Item,Item Defaults,Predvolené položky
DocType: Cashier Closing,Returns,výnos
DocType: Job Card,WIP Warehouse,WIP Warehouse
apps/erpnext/erpnext/maintenance/doctype/maintenance_schedule/maintenance_schedule.py,Serial No {0} is under maintenance contract upto {1},Pořadové číslo {0} je na základě smlouvy o údržbě aľ {1}
apps/erpnext/erpnext/config/hr.py,Recruitment,nábor
DocType: Lead,Organization Name,Názov organizácie
DocType: Support Settings,Show Latest Forum Posts,Zobraziť najnovšie príspevky vo fórach
DocType: Tax Rule,Shipping State,Prepravné State
,Projected Quantity as Source,Množstvo projekciou as Zdroj
apps/erpnext/erpnext/stock/doctype/landed_cost_voucher/landed_cost_voucher.py,Item must be added using 'Get Items from Purchase Receipts' button,"Položka musí být přidány pomocí ""získat předměty z kupní příjmy"" tlačítkem"
apps/erpnext/erpnext/stock/doctype/delivery_note/delivery_note.js,Delivery Trip,Rozvoz tovaru
DocType: Student,A-,A-
DocType: Share Transfer,Transfer Type,Typ prenosu
DocType: Pricing Rule,Quantity and Amount,Množstvo a množstvo
apps/erpnext/erpnext/accounts/doctype/account/chart_of_accounts/verified/standard_chart_of_accounts_with_account_number.py,Sales Expenses,Predajné náklady
DocType: Diagnosis,Diagnosis,diagnóza
apps/erpnext/erpnext/patches/v4_0/create_price_list_if_missing.py,Standard Buying,Štandardný nákup
DocType: Attendance Request,Explanation,vysvetlenie
DocType: GL Entry,Against,Proti
DocType: Item Default,Sales Defaults,Predvolené hodnoty predaja
DocType: Sales Order Item,Work Order Qty,Počet pracovných zákaziek
DocType: Item Default,Default Selling Cost Center,Výchozí Center Prodejní cena
apps/erpnext/erpnext/selling/page/point_of_sale/point_of_sale.js,Disc,kotúč
DocType: Buying Settings,Material Transferred for Subcontract,Materiál prenesený na subdodávateľskú zmluvu
apps/erpnext/erpnext/buying/report/procurement_tracker/procurement_tracker.py,Purchase Order Date,Dátum objednávky
DocType: Email Digest,Purchase Orders Items Overdue,Položky nákupných objednávok Po splatnosti
apps/erpnext/erpnext/accounts/page/pos/pos.js,ZIP Code,PSČ
apps/erpnext/erpnext/controllers/selling_controller.py,Sales Order {0} is {1},Predajné objednávky {0} {1}
apps/erpnext/erpnext/hr/doctype/payroll_entry/payroll_entry.py,Select interest income account in loan {0},Vyberte účet úrokového príjmu v úvere {0}
DocType: Opportunity,Contact Info,Kontaktné informácie
apps/erpnext/erpnext/config/help.py,Making Stock Entries,Tvorba prírastkov zásob
apps/erpnext/erpnext/hr/doctype/employee_promotion/employee_promotion.py,Cannot promote Employee with status Left,Nemožno povýšiť zamestnanca so statusom odídený
DocType: Packing Slip,Net Weight UOM,Čistá hmotnosť MJ
DocType: Item Default,Default Supplier,Výchozí Dodavatel
DocType: Loan,Repayment Schedule,splátkový kalendár
DocType: Shipping Rule Condition,Shipping Rule Condition,Přepravní Pravidlo Podmínka
apps/erpnext/erpnext/hr/doctype/payroll_period/payroll_period.py,End Date can not be less than Start Date,Datum ukončení nesmí být menší než data zahájení
apps/erpnext/erpnext/projects/doctype/timesheet/timesheet.py,Invoice can't be made for zero billing hour,Faktúru nemožno vykonať za nulovú fakturačnú hodinu
DocType: Company,Date of Commencement,Dátum začiatku
DocType: Sales Person,Select company name first.,"Prosím, vyberte najprv názov spoločnosti"
apps/erpnext/erpnext/hr/doctype/leave_application/leave_application.py,Email sent to {0},Email odoslaný na {0}
apps/erpnext/erpnext/config/buying.py,Quotations received from Suppliers.,Ponuky od Dodávateľov.
DocType: Quality Goal,January-April-July-October,Január-apríl-júl-október
apps/erpnext/erpnext/config/manufacturing.py,Replace BOM and update latest price in all BOMs,Nahraďte kusovník a aktualizujte najnovšiu cenu vo všetkých kusovníkoch
apps/erpnext/erpnext/controllers/selling_controller.py,To {0} | {1} {2},Chcete-li {0} | {1} {2}
apps/erpnext/erpnext/setup/doctype/supplier_group/supplier_group.js,This is a root supplier group and cannot be edited.,Toto je koreňová skupina dodávateľov a nie je možné ju upravovať.
DocType: Sales Invoice,Driver Name,Názov vodiča
apps/erpnext/erpnext/stock/report/stock_ageing/stock_ageing.py,Average Age,Průměrný věk
DocType: Education Settings,Attendance Freeze Date,Účasť
DocType: Education Settings,Attendance Freeze Date,Účasť
DocType: Payment Request,Inward,dovnútra
apps/erpnext/erpnext/utilities/user_progress.py,List a few of your suppliers. They could be organizations or individuals.,"Napíšte niekoľkých svojich dodávateľov. Môžu to byť organizácie, ale aj jednotlivci."
DocType: Accounting Dimension,Dimension Defaults,Predvolené rozmery
apps/erpnext/erpnext/crm/report/prospects_engaged_but_not_converted/prospects_engaged_but_not_converted.js,Minimum Lead Age (Days),Minimálny vek vedenia (dni)
apps/erpnext/erpnext/crm/report/prospects_engaged_but_not_converted/prospects_engaged_but_not_converted.js,Minimum Lead Age (Days),Minimálny vek vedenia (dni)
apps/erpnext/erpnext/assets/report/fixed_asset_register/fixed_asset_register.py,Available For Use Date,Dostupné na použitie
apps/erpnext/erpnext/manufacturing/doctype/bom/bom.py,All BOMs,všetky kusovníky
apps/erpnext/erpnext/accounts/doctype/journal_entry/journal_entry.js,Create Inter Company Journal Entry,Založenie záznamu do firemného denníka
DocType: Company,Parent Company,Materská spoločnosť
apps/erpnext/erpnext/hotels/doctype/hotel_room_reservation/hotel_room_reservation.py,Hotel Rooms of type {0} are unavailable on {1},Hotel Izby typu {0} sú k dispozícii na {1}
apps/erpnext/erpnext/config/manufacturing.py,Compare BOMs for changes in Raw Materials and Operations,Porovnajte kusovníky pre zmeny v surovinách a operáciách
apps/erpnext/erpnext/accounts/doctype/bank_transaction/bank_transaction.js,Document {0} successfully uncleared,Dokument {0} bol úspešne nejasný
DocType: Healthcare Practitioner,Default Currency,Predvolená mena
apps/erpnext/erpnext/accounts/page/bank_reconciliation/bank_reconciliation.js,Reconcile this account,Zosúladiť tento účet
apps/erpnext/erpnext/controllers/selling_controller.py,Maximum discount for Item {0} is {1}%,Maximálna zľava pre položku {0} je {1}%
DocType: Chart of Accounts Importer,Attach custom Chart of Accounts file,Pripojte vlastný súbor účtovných osnov
DocType: Asset Movement,From Employee,Od Zaměstnance
apps/erpnext/erpnext/regional/doctype/gstr_3b_report/gstr_3b_report.html,Import of services,Dovoz služieb
DocType: Driver,Cellphone Number,Mobilné číslo
DocType: Project,Monitor Progress,Monitorovanie pokroku
DocType: Pricing Rule Item Code,Pricing Rule Item Code,Kód položky pravidla pravidla
apps/erpnext/erpnext/controllers/accounts_controller.py,Warning: System will not check overbilling since amount for Item {0} in {1} is zero,"Upozornění: Systém nebude kontrolovat nadfakturace, protože částka za položku na {1} je nula {0}"
DocType: Journal Entry,Make Difference Entry,Učinit vstup Rozdíl
DocType: Supplier Quotation,Auto Repeat Section,Sekcia Auto Repeat
DocType: Service Level Priority,Response Time,Doba odozvy
DocType: Upload Attendance,Attendance From Date,Účast Datum od
DocType: Appraisal Template Goal,Key Performance Area,Key Performance Area
DocType: Program Enrollment,Transportation,Doprava
apps/erpnext/erpnext/controllers/item_variant.py,Invalid Attribute,neplatný Atribút
apps/erpnext/erpnext/accounts/doctype/payment_entry/payment_entry.py,{0} {1} must be submitted,{0} {1} musí být odeslaný
apps/erpnext/erpnext/selling/doctype/campaign/campaign_dashboard.py,Email Campaigns,E-mailové kampane
DocType: Sales Partner,To Track inbound purchase,Ak chcete sledovať prichádzajúci nákup
DocType: Buying Settings,Default Supplier Group,Predvolená skupina dodávateľov
apps/erpnext/erpnext/stock/dashboard/item_dashboard.js,Quantity must be less than or equal to {0},Množstvo musí byť menší ako alebo rovný {0}
apps/erpnext/erpnext/hr/doctype/employee_benefit_claim/employee_benefit_claim.py,Maximum amount eligible for the component {0} exceeds {1},Maximálna čiastka oprávnená pre komponent {0} presahuje {1}
DocType: Department Approver,Department Approver,Schôdza oddelenia
DocType: QuickBooks Migrator,Application Settings,Nastavenia aplikácie
DocType: SMS Center,Total Characters,Celkový počet znaků
apps/erpnext/erpnext/erpnext_integrations/doctype/tally_migration/tally_migration.py,Creating Company and Importing Chart of Accounts,Založenie spoločnosti a importná účtovná osnova
DocType: Employee Advance,Claimed,vyhlasoval
DocType: Crop,Row Spacing,Rozstup riadkov
apps/erpnext/erpnext/controllers/buying_controller.py,Please select BOM in BOM field for Item {0},Vyberte kusovník Bom oblasti k bodu {0}
apps/erpnext/erpnext/stock/report/item_variant_details/item_variant_details.py,There isn't any item variant for the selected item,Pre vybranú položku nie je žiadna iná položka
DocType: C-Form Invoice Detail,C-Form Invoice Detail,C-Form Faktura Detail
DocType: Payment Reconciliation Invoice,Payment Reconciliation Invoice,Platba Odsouhlasení faktury
DocType: Clinical Procedure,Procedure Template,Šablóna postupu
apps/erpnext/erpnext/public/js/hub/Sidebar.vue,Publish Items,Publikovať položky
apps/erpnext/erpnext/selling/report/sales_person_commission_summary/sales_person_commission_summary.py,Contribution %,Príspevok%
apps/erpnext/erpnext/accounts/doctype/purchase_invoice/purchase_invoice.py,"As per the Buying Settings if Purchase Order Required == 'YES', then for creating Purchase Invoice, user need to create Purchase Order first for item {0}","Podľa nákupných nastavení, ak je objednávka požadovaná == &#39;ÁNO&#39;, potom pre vytvorenie nákupnej faktúry musí používateľ najprv vytvoriť nákupnú objednávku pre položku {0}"
,HSN-wise-summary of outward supplies,HSN-múdre zhrnutie vonkajších dodávok
DocType: Company,Company registration numbers for your reference. Tax numbers etc.,Registrace firmy čísla pro váš odkaz. Daňové čísla atd
apps/erpnext/erpnext/regional/report/eway_bill/eway_bill.py,To State,Do stavu
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py,Distributor,Distributor
DocType: Asset Finance Book,Asset Finance Book,Asset Finance Book
DocType: Shopping Cart Shipping Rule,Shopping Cart Shipping Rule,Nákupní košík Shipping Rule
apps/erpnext/erpnext/erpnext_integrations/doctype/plaid_settings/plaid_settings.py,Please setup a default bank account for company {0},Nastavte predvolený bankový účet spoločnosti {0}
apps/erpnext/erpnext/public/js/controllers/transaction.js,Please set 'Apply Additional Discount On',Prosím nastavte na &quot;Použiť dodatočnú zľavu On&quot;
DocType: Party Tax Withholding Config,Applicable Percent,Použiteľné percento
,Ordered Items To Be Billed,Objednané zboží fakturovaných
apps/erpnext/erpnext/stock/doctype/item_attribute/item_attribute.py,From Range has to be less than To Range,"Z rozsahu, musí byť nižšia ako na Range"
DocType: Global Defaults,Global Defaults,Globální Výchozí
apps/erpnext/erpnext/projects/doctype/project/project.py,Project Collaboration Invitation,Projekt spolupráce Pozvánka
DocType: Salary Slip,Deductions,Odpočty
DocType: Setup Progress Action,Action Name,Názov akcie
apps/erpnext/erpnext/accounts/report/consolidated_financial_statement/consolidated_financial_statement.js,Start Year,Začiatočný rok
apps/erpnext/erpnext/hr/doctype/loan_application/loan_application.js,Create Loan,Vytvoriť pôžičku
DocType: Purchase Invoice,Start date of current invoice's period,Datum období současného faktury je Začátek
DocType: Shift Type,Process Attendance After,Účasť na procese po
,IRS 1099,IRS 1099
DocType: Salary Slip,Leave Without Pay,Nechat bez nároku na mzdu
DocType: Payment Request,Outward,von
apps/erpnext/erpnext/setup/default_energy_point_rules.py,On {0} Creation,Dňa {0} stvorenia
apps/erpnext/erpnext/regional/doctype/gstr_3b_report/gstr_3b_report.html,State/UT Tax,Štátna / UT daň
,Trial Balance for Party,Trial váhy pre stranu
,Gross and Net Profit Report,Správa o hrubom a čistom zisku
apps/erpnext/erpnext/config/quality_management.py,Tree of Procedures,Strom postupov
DocType: Lead,Consultant,Konzultant
apps/erpnext/erpnext/education/doctype/student_report_generation_tool/student_report_generation_tool.html,Parents Teacher Meeting Attendance,Zúčastňovanie učiteľov rodičov
DocType: Salary Slip,Earnings,Príjmy
apps/erpnext/erpnext/stock/doctype/stock_entry/stock_entry.py,Finished Item {0} must be entered for Manufacture type entry,Dokončené Položka {0} musí byť zadaný pre vstup typu Výroba
apps/erpnext/erpnext/config/help.py,Opening Accounting Balance,Otvorenie účtovníctva Balance
,GST Sales Register,Obchodný register spoločnosti GST
DocType: Sales Invoice Advance,Sales Invoice Advance,Záloha na odoslanej faktúre
apps/erpnext/erpnext/public/js/setup_wizard.js,Select your Domains,Vyberte svoje domény
apps/erpnext/erpnext/erpnext_integrations/doctype/shopify_settings/sync_product.py,Shopify Supplier,Nakupujte dodávateľa
DocType: Bank Statement Transaction Entry,Payment Invoice Items,Položky faktúry platby
DocType: Payroll Entry,Employee Details,Podrobnosti o zaměstnanci
DocType: Amazon MWS Settings,CN,CN
DocType: Item Variant Settings,Fields will be copied over only at time of creation.,Polia budú kopírované iba v čase vytvorenia.
apps/erpnext/erpnext/accounts/doctype/purchase_invoice/purchase_invoice.py,Row {0}: asset is required for item {1},Riadok {0}: pre položku {1} je potrebné dielo
apps/erpnext/erpnext/projects/doctype/task/task.py,'Actual Start Date' can not be greater than 'Actual End Date',"""Aktuálny datum začiatku"" nemôže byť väčší ako ""Aktuálny dátum ukončenia"""
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py,Management,Manažment
apps/erpnext/erpnext/accounts/doctype/accounting_dimension/accounting_dimension.js,Show {0},Zobraziť {0}
DocType: Cheque Print Template,Payer Settings,nastavenie platcu
apps/erpnext/erpnext/accounts/doctype/purchase_invoice/purchase_invoice.js,No pending Material Requests found to link for the given items.,"Žiadne prebiehajúce žiadosti o materiál, z ktorých sa zistilo, že odkazujú na dané položky."
apps/erpnext/erpnext/public/js/utils/party.js,Select company first,Najprv vyberte spoločnosť
apps/erpnext/erpnext/accounts/general_ledger.py,Account: <b>{0}</b> is capital Work in progress and can not be updated by Journal Entry,Účet: <b>{0}</b> je kapitál Prebieha spracovanie a nedá sa aktualizovať zápisom do denníka
apps/erpnext/erpnext/education/doctype/quiz/quiz.py,Compare List function takes on list arguments,Funkcia Porovnanie zoznamu preberie argumenty zoznamu
DocType: Item Attribute Value,"This will be appended to the Item Code of the variant. For example, if your abbreviation is ""SM"", and the item code is ""T-SHIRT"", the item code of the variant will be ""T-SHIRT-SM""","To bude připojen na položku zákoníku varianty. Například, pokud vaše zkratka je ""SM"", a položka je kód ""T-SHIRT"", položka kód varianty bude ""T-SHIRT-SM"""
DocType: Salary Slip,Net Pay (in words) will be visible once you save the Salary Slip.,"Čistá Pay (slovy) budou viditelné, jakmile uložíte výplatní pásce."
DocType: Delivery Note,Is Return,Je Return
apps/erpnext/erpnext/buying/doctype/request_for_quotation/request_for_quotation.py,Caution,Pozor
apps/erpnext/erpnext/hr/doctype/upload_attendance/upload_attendance.js,Import Successful,Import bol úspešný
apps/erpnext/erpnext/config/quality_management.py,Goal and Procedure,Cieľ a postup
apps/erpnext/erpnext/agriculture/doctype/disease/disease.py,Start day is greater than end day in task '{0}',Začiatočný deň je väčší ako koniec dňa v úlohe &#39;{0}&#39;
apps/erpnext/erpnext/accounts/doctype/purchase_invoice/purchase_invoice.js,Return / Debit Note,Return / ťarchopis
DocType: Price List Country,Price List Country,Cenník Krajina
DocType: Sales Invoice,Set Source Warehouse,Nastaviť zdrojový sklad
DocType: Tally Migration,UOMs,Merné Jednotky
DocType: Account Subtype,Account Subtype,Podtyp účtu
apps/erpnext/erpnext/stock/utils.py,{0} valid serial nos for Item {1},{0} platné sériové čísla pre položky {1}
