DocType: Accounting Period,Period Name,Periodo pavadinimas
DocType: Crop,Biennial,Bienalė
,BOM Variance Report,BOM Variance Report
apps/erpnext/erpnext/config/selling.py,Confirmed orders from Customers.,Patvirtinti užsakymus iš klientų.
DocType: Purchase Receipt Item,Rejected Quantity,atmesta Kiekis
apps/erpnext/erpnext/education/doctype/fees/fees.py,Payment request {0} created,Mokesčio užklausa {0} sukurta
DocType: Inpatient Record,Admitted Datetime,Priimta Datetime
DocType: Work Order,Backflush raw materials from work-in-progress warehouse,Grįžtamasis žaliavos iš nebaigto darbo sandėlio
apps/erpnext/erpnext/stock/report/item_variant_details/item_variant_details.py,Open Orders,Atvirieji užsakymai
apps/erpnext/erpnext/hr/doctype/employee_benefit_claim/employee_benefit_claim.py,Unable to find Salary Component {0},Nepavyko rasti atlyginimo komponento {0}
apps/erpnext/erpnext/healthcare/setup.py,Low Sensitivity,Žemas jautrumas
apps/erpnext/erpnext/erpnext_integrations/doctype/shopify_log/shopify_log.js,Order rescheduled for sync,Užsakymas perkeltas į sinchronizavimą
apps/erpnext/erpnext/templates/emails/training_event.html,Please confirm once you have completed your training,"Patvirtinkite, kai baigsite savo mokymą"
DocType: Lead,Suggestions,Pasiūlymai
DocType: Territory,Set Item Group-wise budgets on this Territory. You can also include seasonality by setting the Distribution.,Rinkinio prekė Grupė išmintingas biudžetai šioje teritorijoje. Taip pat galite įtraukti sezoniškumą nustatant platinimas.
DocType: Plaid Settings,Plaid Public Key,Plotinis viešasis raktas
DocType: Payment Term,Payment Term Name,Mokėjimo terminas Vardas
DocType: Healthcare Settings,Create documents for sample collection,Sukurkite dokumentus pavyzdžių rinkimui
apps/erpnext/erpnext/accounts/doctype/journal_entry/journal_entry.py,Payment against {0} {1} cannot be greater than Outstanding Amount {2},Mokėjimo prieš {0} {1} negali būti didesnis nei nesumokėtos sumos {2}
apps/erpnext/erpnext/patches/v11_0/add_healthcare_service_unit_tree_root.py,All Healthcare Service Units,Visi sveikatos priežiūros tarnybos vienetai
apps/erpnext/erpnext/setup/default_energy_point_rules.py,On Converting Opportunity,Apie galimybės konvertavimą
DocType: Bank Account,Address HTML,adresas HTML
DocType: Lead,Mobile No.,Mobilus Ne
apps/erpnext/erpnext/selling/doctype/pos_closing_voucher/closing_voucher_details.html,Mode of Payments,Mokėjimų būdas
DocType: Maintenance Schedule,Generate Schedule,Sukurti Tvarkaraštis
DocType: Purchase Invoice Item,Expense Head,Kompensuojamos vadovas
apps/erpnext/erpnext/accounts/doctype/payment_entry/payment_entry.js,Please select Charge Type first,Prašome pasirinkti mokesčių rūšis pirmą kartą
DocType: Crop,"You can define all the tasks which need to carried out for this crop here. The day field is used to mention the day on which the task needs to be carried out, 1 being the 1st day, etc.. ","Čia galite apibrėžti visas užduotis, kurių reikia atlikti šiam pasėliui. Dienos laukas naudojamas paminėti tą dieną, kurią reikia atlikti užduotį, 1 yra 1 diena ir kt."
DocType: Student Group Student,Student Group Student,Studentų grupė studentė
apps/erpnext/erpnext/stock/report/stock_ageing/stock_ageing.py,Latest,paskutinis
DocType: Asset Maintenance Task,2 Yearly,2 metai
DocType: Education Settings,Education Settings,Švietimo nustatymai
DocType: Vehicle Service,Inspection,Apžiūra
apps/erpnext/erpnext/regional/italy/utils.py,E-Invoicing Information Missing,Trūksta el. Sąskaitų faktūrų išrašymo informacijos
DocType: Leave Allocation,HR-LAL-.YYYY.-,HR-LAL-.YYYY.-
DocType: Exchange Rate Revaluation Account,Balance In Base Currency,Balansas bazine valiuta
DocType: Supplier Scorecard Scoring Standing,Max Grade,Maksimalus įvertinimas
DocType: Email Digest,New Quotations,Nauja citatos
apps/erpnext/erpnext/hr/doctype/attendance_request/attendance_request.py,Attendance not submitted for {0} as {1} on leave.,Lankymas neatsiunčiamas {0} kaip {1} atostogų metu.
DocType: Journal Entry,Payment Order,Pirkimo užsakymas
DocType: Employee Tax Exemption Declaration,Income From Other Sources,Pajamos iš kitų šaltinių
DocType: Warehouse,"If blank, parent Warehouse Account or company default will be considered","Jei tuščia, bus svarstoma pagrindinė sandėlio sąskaita arba įmonės įsipareigojimų nevykdymas"
DocType: HR Settings,Emails salary slip to employee based on preferred email selected in Employee,Parašyta darbo užmokestį į darbuotojo remiantis pageidaujamą paštu pasirinkto darbuotojo
DocType: Tax Rule,Shipping County,Pristatymas apskritis
DocType: Currency Exchange,For Selling,Pardavimui
apps/erpnext/erpnext/config/desktop.py,Learn,Mokytis
,Trial Balance (Simple),Bandomasis balansas (paprastas)
DocType: Purchase Invoice Item,Enable Deferred Expense,Įgalinti atidėtąsias išlaidas
apps/erpnext/erpnext/templates/includes/order/order_taxes.html,Applied Coupon Code,Taikomas kupono kodas
DocType: Asset,Next Depreciation Date,Kitas Nusidėvėjimas data
apps/erpnext/erpnext/projects/doctype/activity_type/activity_type.js,Activity Cost per Employee,Veiklos sąnaudos vienam darbuotojui
DocType: Accounts Settings,Settings for Accounts,Nustatymai sąskaitų
apps/erpnext/erpnext/accounts/doctype/purchase_invoice/purchase_invoice.py,Supplier Invoice No exists in Purchase Invoice {0},Tiekėjas sąskaitoje Nr egzistuoja pirkimo sąskaitoje faktūroje {0}
apps/erpnext/erpnext/config/crm.py,Manage Sales Person Tree.,Valdyti pardavimo asmuo medį.
DocType: Job Applicant,Cover Letter,lydraštis
apps/erpnext/erpnext/accounts/report/bank_reconciliation_statement/bank_reconciliation_statement.py,Outstanding Cheques and Deposits to clear,Neįvykdyti čekiai ir užstatai ir išvalyti
DocType: Item,Synced With Hub,Sinchronizuojami su Hub
apps/erpnext/erpnext/regional/doctype/gstr_3b_report/gstr_3b_report.html,Inward supplies from ISD,Vidinės atsargos iš ISD
DocType: Driver,Fleet Manager,laivyno direktorius
apps/erpnext/erpnext/accounts/doctype/purchase_invoice/purchase_invoice.js,Row #{0}: {1} can not be negative for item {2},Eilutė # {0}: {1} negali būti neigiamas už prekę {2}
apps/erpnext/erpnext/setup/doctype/company/company.js,Wrong Password,Neteisingas slaptažodis
DocType: POS Profile,Offline POS Settings,POS nustatymai neprisijungus
DocType: Stock Entry Detail,Reference Purchase Receipt,Pirkinio pirkimo kvitas
DocType: Stock Reconciliation,MAT-RECO-.YYYY.-,MAT-RECO-.YYYY.-
apps/erpnext/erpnext/templates/includes/cart/cart_items.html,Variant Of,variantas
apps/erpnext/erpnext/manufacturing/doctype/work_order/work_order.py,Completed Qty can not be greater than 'Qty to Manufacture',Užbaigtas Kiekis negali būti didesnis nei &quot;Kiekis iki Gamyba&quot;
apps/erpnext/erpnext/public/js/purchase_trends_filters.js,Period based On,Laikotarpis pagrįstas
DocType: Period Closing Voucher,Closing Account Head,Uždarymo sąskaita vadovas
DocType: Employee,External Work History,Išorinis darbo istoriją
apps/erpnext/erpnext/projects/doctype/task/task.py,Circular Reference Error,Ciklinę nuorodą Klaida
apps/erpnext/erpnext/education/doctype/student_report_generation_tool/student_report_generation_tool.html,Student Report Card,Studentų kortelės ataskaita
apps/erpnext/erpnext/regional/report/eway_bill/eway_bill.py,From Pin Code,Iš PIN kodo
apps/erpnext/erpnext/accounts/report/accounts_receivable/accounts_receivable.js,Show Sales Person,Parodyti pardavėją
DocType: Appointment Type,Is Inpatient,Yra stacionarus
apps/erpnext/erpnext/education/report/student_and_guardian_contact_details/student_and_guardian_contact_details.py,Guardian1 Name,Guardian1 Vardas
DocType: Delivery Note,In Words (Export) will be visible once you save the Delivery Note.,"Žodžiais (eksportas) bus matomas, kai jūs išgelbėti važtaraštyje."
DocType: Cheque Print Template,Distance from left edge,Atstumas nuo kairiojo krašto
apps/erpnext/erpnext/utilities/bot.py,{0} units of [{1}](#Form/Item/{1}) found in [{2}](#Form/Warehouse/{2}),{0} vienetai [{1}] (# forma / vnt / {1}) rasta [{2}] (# forma / sandėliavimo / {2})
DocType: Lead,Industry,Industrija
DocType: BOM Item,Rate & Amount,Įvertinti ir sumą
apps/erpnext/erpnext/config/website.py,Settings for website product listing,Svetainės produktų sąrašo nustatymai
apps/erpnext/erpnext/regional/doctype/gstr_3b_report/gstr_3b_report.html,Amount of Integrated Tax,Integruoto mokesčio suma
DocType: Stock Settings,Notify by Email on creation of automatic Material Request,Praneškite elektroniniu paštu steigti automatinio Medžiaga Užsisakyti
DocType: Accounting Dimension,Dimension Name,Matmens pavadinimas
apps/erpnext/erpnext/healthcare/setup.py,Resistant,Atsparus
apps/erpnext/erpnext/hotels/doctype/hotel_room_reservation/hotel_room_reservation.py,Please set Hotel Room Rate on {},Prašome nustatyti viešbučio kambario kainą už ()
DocType: Journal Entry,Multi Currency,Daugiafunkciniai Valiuta
DocType: Bank Statement Transaction Invoice Item,Invoice Type,Sąskaitos faktūros tipas
apps/erpnext/erpnext/accounts/doctype/pricing_rule/pricing_rule.py,Valid from date must be less than valid upto date,"Galioja nuo datos, turi būti mažesnė už galiojančią datą"
apps/erpnext/erpnext/accounts/doctype/bank_statement_transaction_entry/bank_statement_transaction_entry.py,Exception occurred while reconciling {0},Išimtis įvyko derinant {0}
DocType: Purchase Invoice,Set Accepted Warehouse,Nustatykite priimtiną sandėlį
DocType: Employee Benefit Claim,Expense Proof,Išlaidų įrodymas
apps/erpnext/erpnext/erpnext_integrations/doctype/quickbooks_migrator/quickbooks_migrator.py,Saving {0},Išsaugoma {0}
apps/erpnext/erpnext/accounts/doctype/sales_invoice/sales_invoice.js,Delivery Note,Važtaraštis
DocType: Patient Encounter,Encounter Impression,Susiduria su įspūdžiais
apps/erpnext/erpnext/config/help.py,Setting up Taxes,Įsteigti Mokesčiai
apps/erpnext/erpnext/accounts/report/asset_depreciations_and_balances/asset_depreciations_and_balances.py,Cost of Sold Asset,Kaina Parduota turto
DocType: Volunteer,Morning,Rytas
apps/erpnext/erpnext/accounts/utils.py,Payment Entry has been modified after you pulled it. Please pull it again.,"Mokėjimo Įrašas buvo pakeistas po to, kai ištraukė ją. Prašome traukti jį dar kartą."
DocType: Program Enrollment Tool,New Student Batch,Naujoji studentų partija
apps/erpnext/erpnext/accounts/doctype/item_tax_template/item_tax_template.py,{0} entered twice in Item Tax,{0} įvestas du kartus Prekės mokesčio
apps/erpnext/erpnext/setup/doctype/email_digest/email_digest.py,Summary for this week and pending activities,Santrauka šią savaitę ir laukiant veikla
DocType: Student Applicant,Admitted,pripažino
DocType: Workstation,Rent Cost,nuomos kaina
apps/erpnext/erpnext/erpnext_integrations/doctype/plaid_settings/plaid_connector.py,Plaid transactions sync error,Paprastų operacijų sinchronizavimo klaida
DocType: Leave Ledger Entry,Is Expired,Pasibaigė
apps/erpnext/erpnext/accounts/report/asset_depreciation_ledger/asset_depreciation_ledger.py,Amount After Depreciation,Suma po nusidėvėjimo
apps/erpnext/erpnext/setup/doctype/email_digest/templates/default.html,Upcoming Calendar Events,Artimiausi Kalendoriaus įvykiai
apps/erpnext/erpnext/public/js/templates/item_quick_entry.html,Variant Attributes,Varianto atributai
apps/erpnext/erpnext/hr/report/monthly_attendance_sheet/monthly_attendance_sheet.py,Please select month and year,Prašome pasirinkti mėnesį ir metus
DocType: Employee,Company Email,Įmonės paštas
apps/erpnext/erpnext/accounts/doctype/pricing_rule/utils.py,User has not applied rule on the invoice {0},Vartotojas netaikė sąskaitos faktūros {0} taisyklės
DocType: GL Entry,Debit Amount in Account Currency,Debeto Suma sąskaitos valiuta
DocType: Supplier Scorecard,Scoring Standings,Taškų skaičiavimas
apps/erpnext/erpnext/crm/report/campaign_efficiency/campaign_efficiency.py,Order Value,Užsakyti Vertė
apps/erpnext/erpnext/crm/report/campaign_efficiency/campaign_efficiency.py,Order Value,Užsakyti Vertė
DocType: Certified Consultant,Certified Consultant,Sertifikuotas konsultantas
apps/erpnext/erpnext/config/accounting.py,Bank/Cash transactions against party or for internal transfer,Bankas / Grynųjų pinigų operacijos nuo šalies arba dėl vidinio pervedimo
DocType: Shipping Rule,Valid for Countries,Galioja šalių
apps/erpnext/erpnext/hr/doctype/training_event/training_event.py,End time cannot be before start time,Pabaigos laikas negali būti anksčiau nei pradžios laikas
apps/erpnext/erpnext/templates/generators/item/item_configure.js,1 exact match.,1 tikslios rungtynės.
apps/erpnext/erpnext/stock/doctype/item/item.js,This Item is a Template and cannot be used in transactions. Item attributes will be copied over into the variants unless 'No Copy' is set,Šis punktas yra šablonų ir negali būti naudojamas sandoriams. Elemento atributai bus nukopijuoti į variantai nebent &quot;Ne Kopijuoti&quot; yra nustatytas
DocType: Grant Application,Grant Application,Paraiškos dotacija
apps/erpnext/erpnext/selling/report/inactive_customers/inactive_customers.py,Total Order Considered,Viso Užsakyti Laikomas
DocType: Certification Application,Not Certified,Nepatvirtinta
DocType: Asset Value Adjustment,New Asset Value,Nauja turto vert
DocType: Sales Invoice,Rate at which Customer Currency is converted to customer's base currency,"Norma, pagal kurią Klientas valiuta konvertuojama į kliento bazine valiuta"
DocType: Course Scheduling Tool,Course Scheduling Tool,Žinoma planavimas įrankių
apps/erpnext/erpnext/controllers/accounts_controller.py,Row #{0}: Purchase Invoice cannot be made against an existing asset {1},Eilutės # {0}: Pirkimo sąskaita faktūra negali būti pareikštas esamo turto {1}
DocType: Crop Cycle,LInked Analysis,Įtraukta analizė
DocType: POS Closing Voucher,POS Closing Voucher,POS uždarymo balionas
apps/erpnext/erpnext/support/doctype/issue_priority/issue_priority.py,Issue Priority Already Exists,Leidimo prioritetas jau egzistuoja
DocType: Invoice Discounting,Loan Start Date,Paskolos pradžios data
DocType: Contract,Lapsed,Netekęs
DocType: Item Tax Template Detail,Tax Rate,Mokesčio tarifas
apps/erpnext/erpnext/education/doctype/course_activity/course_activity.py,Course Enrollment {0} does not exists,Registracija į kursus {0} neegzistuoja
apps/erpnext/erpnext/hr/doctype/leave_application/leave_application.py,Application period cannot be across two allocation records,Paraiškų teikimo laikotarpis negali būti per du paskirstymo įrašus
apps/erpnext/erpnext/hr/doctype/leave_allocation/leave_allocation.py,{0} already allocated for Employee {1} for period {2} to {3},{0} jau skirta darbuotojo {1} laikotarpiui {2} į {3}
DocType: Buying Settings,Backflush Raw Materials of Subcontract Based On,Subrangos pagrindu sukurtos žaliavos
apps/erpnext/erpnext/stock/doctype/purchase_receipt/purchase_receipt.py,Purchase Invoice {0} is already submitted,Pirkimo sąskaita faktūra {0} jau pateiktas
apps/erpnext/erpnext/controllers/sales_and_purchase_return.py,Row # {0}: Batch No must be same as {1} {2},"Eilutės # {0}: Serijos Nr turi būti toks pat, kaip {1} {2}"
DocType: Material Request Plan Item,Material Request Plan Item,Materialinio prašymo plano punktas
DocType: Leave Type,Allow Encashment,Leisti įkėlimą
apps/erpnext/erpnext/accounts/doctype/cost_center/cost_center.js,Convert to non-Group,Konvertuoti į ne grupės
DocType: Exotel Settings,Account SID,Sąskaitos SID
DocType: Bank Statement Transaction Invoice Item,Invoice Date,Sąskaitos data
DocType: GL Entry,Debit Amount,debeto suma
apps/erpnext/erpnext/accounts/party.py,There can only be 1 Account per Company in {0} {1},Gali būti tik 1 sąskaita už Bendrovės {0} {1}
DocType: Support Search Source,Response Result Key Path,Atsakymo rezultato pagrindinis kelias
DocType: Journal Entry,Inter Company Journal Entry,&quot;Inter&quot; žurnalo įrašas
apps/erpnext/erpnext/accounts/party.py,Due Date cannot be before Posting / Supplier Invoice Date,Apmokėjimo data negali būti anksčiau nei išsiuntimo / tiekėjo sąskaitos faktūros išrašymo data
apps/erpnext/erpnext/stock/doctype/stock_entry/stock_entry.py,For quantity {0} should not be grater than work order quantity {1},Kiekybei {0} neturėtų būti didesnis nei darbo užsakymo kiekis {1}
DocType: Employee Training,Employee Training,Darbuotojų mokymas
DocType: Quotation Item,Additional Notes,papildomi užrašai
DocType: Purchase Order,% Received,% Gauta
apps/erpnext/erpnext/education/doctype/student_group_creation_tool/student_group_creation_tool.js,Create Student Groups,Sukurti studentų grupių
apps/erpnext/erpnext/stock/doctype/stock_entry/stock_entry.py,"Available quantity is {0}, you need {1}","Galimas kiekis yra {0}, jums reikia {1}"
DocType: Volunteer,Weekends,Savaitgaliai
apps/erpnext/erpnext/accounts/report/accounts_receivable/accounts_receivable.html,Credit Note Amount,Kredito Pastaba suma
DocType: Setup Progress Action,Action Document,Veiksmų dokumentas
DocType: Chapter Member,Website URL,Svetainės URL
,Finished Goods,gatavų prekių
DocType: Delivery Note,Instructions,instrukcijos
DocType: Quality Inspection,Inspected By,tikrina
DocType: Asset,ACC-ASS-.YYYY.-,ACC-ASS-.YYYY.-
DocType: Asset Maintenance Log,Maintenance Type,priežiūra tipas
apps/erpnext/erpnext/education/doctype/student_group/student_group.py,{0} - {1} is not enrolled in the Course {2},{0} - {1} nėra įtraukti į eigą {2}
apps/erpnext/erpnext/education/doctype/student_report_generation_tool/student_report_generation_tool.html,Student Name: ,Studento vardas:
DocType: POS Closing Voucher,Difference,Skirtumas
DocType: Delivery Settings,Delay between Delivery Stops,Vėlavimas tarp pristatymo stotelių
apps/erpnext/erpnext/selling/doctype/installation_note/installation_note.py,Serial No {0} does not belong to Delivery Note {1},Serijos Nr {0} nepriklauso važtaraštyje {1}
apps/erpnext/erpnext/erpnext_integrations/doctype/gocardless_settings/gocardless_settings.py,"There seems to be an issue with the server's GoCardless configuration. Don't worry, in case of failure, the amount will get refunded to your account.","Atrodo, kad yra problema dėl serverio &quot;GoCardless&quot; konfigūracijos. Nesijaudinkite, nesėkmės atveju suma bus grąžinta į jūsų sąskaitą."
apps/erpnext/erpnext/templates/pages/demo.html,ERPNext Demo,ERPNext demo
apps/erpnext/erpnext/public/js/utils/item_selector.js,Add Items,Pridėti prekę
DocType: Item Quality Inspection Parameter,Item Quality Inspection Parameter,Prekė kokybės inspekcija Parametras
DocType: Leave Application,Leave Approver Name,Palikite jį patvirtinusio pavadinimas
DocType: Depreciation Schedule,Schedule Date,Tvarkaraštis data
DocType: Amazon MWS Settings,FR,FR
DocType: Packed Item,Packed Item,supakuotas punktas
DocType: Job Offer Term,Job Offer Term,Darbo pasiūlymo terminas
apps/erpnext/erpnext/config/buying.py,Default settings for buying transactions.,Numatytieji nustatymai pirkti sandorius.
apps/erpnext/erpnext/projects/doctype/activity_cost/activity_cost.py,Activity Cost exists for Employee {0} against Activity Type - {1},Veiklos sąnaudos egzistuoja darbuotojo {0} prieš Veiklos rūšis - {1}
apps/erpnext/erpnext/education/doctype/program_enrollment_tool/program_enrollment_tool.py,Mandatory field - Get Students From,Privalomas laukas - Gauk Studentai iš
apps/erpnext/erpnext/education/doctype/program_enrollment_tool/program_enrollment_tool.py,Mandatory field - Get Students From,Privalomas laukas - Gauk Studentai iš
DocType: Program Enrollment,Enrolled courses,studijuojantys kursai
DocType: Program Enrollment,Enrolled courses,studijuojantys kursai
DocType: Currency Exchange,Currency Exchange,Valiutos keitykla
apps/erpnext/erpnext/support/doctype/issue/issue.js,Resetting Service Level Agreement.,Iš naujo nustatomas paslaugų lygio susitarimas.
apps/erpnext/erpnext/selling/doctype/sales_order/sales_order.js,Item Name,Daikto pavadinimas
DocType: Authorization Rule,Approving User  (above authorized value),Patvirtinimo vartotoją (virš įgalioto vertės)
apps/erpnext/erpnext/selling/report/customer_credit_balance/customer_credit_balance.py,Credit Balance,Kredito balansas
DocType: Employee,Widowed,likusi našle
DocType: Request for Quotation,Request for Quotation,Užklausimas
DocType: Healthcare Settings,Require Lab Test Approval,Reikalauti gero bandymo patvirtinimo
DocType: Attendance,Working Hours,Darbo valandos
apps/erpnext/erpnext/accounts/doctype/opening_invoice_creation_tool/opening_invoice_creation_tool_dashboard.html,Total Outstanding,Viso neįvykdyti
DocType: Naming Series,Change the starting / current sequence number of an existing series.,Pakeisti pradinį / trumpalaikiai eilės numerį esamo serijos.
DocType: Accounts Settings,Percentage you are allowed to bill more against the amount ordered. For example: If the order value is $100 for an item and tolerance is set as 10% then you are allowed to bill for $110.,"Procentas, kuriam leidžiama sumokėti daugiau už užsakytą sumą. Pvz .: Jei prekės užsakymo vertė yra 100 USD, o paklaida yra nustatyta 10%, tada leidžiama atsiskaityti už 110 USD."
DocType: Dosage Strength,Strength,Jėga
apps/erpnext/erpnext/public/js/controllers/transaction.js,Cannot find Item with this barcode,Neįmanoma rasti elemento su šiuo brūkšniniu kodu
apps/erpnext/erpnext/accounts/page/pos/pos.js,Create a new Customer,Sukurti naują klientų
apps/erpnext/erpnext/non_profit/report/expiring_memberships/expiring_memberships.py,Expiring On,Pabaiga
apps/erpnext/erpnext/accounts/doctype/pricing_rule/pricing_rule.js,"If multiple Pricing Rules continue to prevail, users are asked to set Priority manually to resolve conflict.","Jei ir toliau vyrauja daug kainodaros taisyklės, vartotojai, prašoma, kad prioritetas rankiniu būdu išspręsti konfliktą."
apps/erpnext/erpnext/stock/doctype/purchase_receipt/purchase_receipt.js,Purchase Return,pirkimo Grįžti
apps/erpnext/erpnext/utilities/activation.py,Create Purchase Orders,Sukurti Pirkimų užsakymus
,Purchase Register,pirkimo Registruotis
apps/erpnext/erpnext/healthcare/doctype/patient/patient.py,Patient not found,Pacientas nerastas
DocType: Landed Cost Item,Applicable Charges,Taikomi Mokesčiai
DocType: Workstation,Consumable Cost,vartojimo kaina
apps/erpnext/erpnext/support/doctype/service_level/service_level.py,Response Time for {0} at index {1} can't be greater than Resolution Time.,"{0}, esančios indekse {1}, reakcijos laikas negali būti ilgesnis nei skiriamoji geba."
DocType: Purchase Receipt,Vehicle Date,Automobilio data
DocType: Campaign Email Schedule,Campaign Email Schedule,Kampanijos el. Pašto tvarkaraštis
DocType: Student Log,Medical,medicinos
apps/erpnext/erpnext/accounts/doctype/sales_invoice/sales_invoice.js,Please select Drug,Pasirinkite vaistą
apps/erpnext/erpnext/crm/doctype/lead/lead.py,Lead Owner cannot be same as the Lead,"Švinas savininkas gali būti toks pat, kaip pirmaujančios"
DocType: Announcement,Receiver,imtuvas
DocType: Location,Area UOM,Plotas UOM
apps/erpnext/erpnext/manufacturing/doctype/workstation/workstation.py,Workstation is closed on the following dates as per Holiday List: {0},"Kompiuterizuotos darbo vietos yra uždarytas šių datų, kaip už Atostogų sąrašas: {0}"
apps/erpnext/erpnext/selling/page/sales_funnel/sales_funnel.py,Opportunities,galimybės
DocType: Lab Test Template,Single,vienas
DocType: Compensatory Leave Request,Work From Date,Darbas nuo datos
DocType: Salary Slip,Total Loan Repayment,Viso paskolų grąžinimas
DocType: Project User,View attachments,Žiūrėti priedus
DocType: Account,Cost of Goods Sold,Parduotų prekių kaina
DocType: Article,Publish Date,Paskelbimo data
apps/erpnext/erpnext/stock/doctype/stock_reconciliation/stock_reconciliation.py,Please enter Cost Center,Prašome įvesti sąnaudų centro
DocType: Drug Prescription,Dosage,Dozavimas
DocType: Journal Entry Account,Sales Order,Pardavimo užsakymas
apps/erpnext/erpnext/accounts/report/gross_profit/gross_profit.py,Avg. Selling Rate,Vid. pardavimo kaina
DocType: Assessment Plan,Examiner Name,Eksperto vardas
DocType: Lab Test Template,No Result,Nėra rezultatas
DocType: Woocommerce Settings,"The fallback series is ""SO-WOO-"".",Atsarginė serija yra „SO-WOO-“.
DocType: Purchase Invoice Item,Quantity and Rate,Kiekis ir Balsuok
DocType: Delivery Note,% Installed,% Įdiegta
apps/erpnext/erpnext/utilities/user_progress.py,Classrooms/ Laboratories etc where lectures can be scheduled.,"Kabinetai / Laboratorijos tt, kai paskaitos gali būti planuojama."
apps/erpnext/erpnext/accounts/doctype/sales_invoice/sales_invoice.py,Company currencies of both the companies should match for Inter Company Transactions.,Abiejų bendrovių bendrovės valiutos turėtų atitikti &quot;Inter&quot; bendrovės sandorius.
apps/erpnext/erpnext/accounts/doctype/cost_center/cost_center.js,Please enter company name first,Prašome įvesti įmonės pavadinimą pirmoji
DocType: Travel Itinerary,Non-Vegetarian,Ne vegetaras
DocType: Purchase Invoice,Supplier Name,tiekėjas Vardas
apps/erpnext/erpnext/setup/page/welcome_to_erpnext/welcome_to_erpnext.html,Read the ERPNext Manual,Skaityti ERPNext vadovas
DocType: HR Settings,Show Leaves Of All Department Members In Calendar,Rodyti visų departamento narių lapelius kalendoriuje
DocType: Purchase Invoice,01-Sales Return,01-Pardavimų grąža
apps/erpnext/erpnext/manufacturing/report/bom_stock_report/bom_stock_report.py,Qty per BOM Line,Kiekis už BOM eilutę
apps/erpnext/erpnext/accounts/doctype/purchase_invoice/purchase_invoice_list.js,Temporarily on Hold,Laikinai sustabdytas
DocType: Account,Is Group,yra grupė
apps/erpnext/erpnext/stock/doctype/delivery_note/delivery_note.py,Credit Note {0} has been created automatically,Kreditinė pastaba {0} sukurta automatiškai
apps/erpnext/erpnext/selling/doctype/sales_order/sales_order.js,Request for Raw Materials,Prašymas gauti žaliavų
DocType: Stock Settings,Automatically Set Serial Nos based on FIFO,Automatiškai Eilės Nr remiantis FIFO
DocType: Accounts Settings,Check Supplier Invoice Number Uniqueness,Patikrinkite Tiekėjas sąskaitos faktūros numeris Unikalumas
apps/erpnext/erpnext/public/js/utils/customer_quick_entry.js,Primary Address Details,Pagrindinio adreso duomenys
apps/erpnext/erpnext/erpnext_integrations/doctype/plaid_settings/plaid_connector.py,Public token is missing for this bank,Nėra šio banko viešo prieigos rakto
DocType: Vehicle Service,Oil Change,Tepalų keitimas
DocType: Leave Encashment,Leave Balance,Palikite balansą
DocType: Asset Maintenance Log,Asset Maintenance Log,Turto priežiūros žurnalas
apps/erpnext/erpnext/stock/doctype/packing_slip/packing_slip.js,'To Case No.' cannot be less than 'From Case No.',"""Iki bylos Nr. ' negali būti mažesnis, nei ""Nuo bylos Nr. '"
DocType: Certification Application,Non Profit,nepelno
DocType: Production Plan,Not Started,Nepradėjau
DocType: Lead,Channel Partner,kanalo Partneriai
DocType: Account,Old Parent,Senas Tėvų
apps/erpnext/erpnext/education/doctype/program_enrollment_tool/program_enrollment_tool.py,Mandatory field - Academic Year,Privalomas laukas - akademiniai metai
apps/erpnext/erpnext/education/doctype/program_enrollment_tool/program_enrollment_tool.py,Mandatory field - Academic Year,Privalomas laukas - akademiniai metai
apps/erpnext/erpnext/accounts/doctype/payment_entry/payment_entry.py,{0} {1} is not associated with {2} {3},{0} {1} nėra susietas su {2} {3}
DocType: Opportunity,Converted By,Pavertė
apps/erpnext/erpnext/public/js/hub/components/ReviewArea.vue,You need to login as a Marketplace User before you can add any reviews.,"Kad galėtumėte pridėti apžvalgas, turite prisijungti kaip prekyvietės vartotojas."
apps/erpnext/erpnext/manufacturing/doctype/job_card/job_card.py,Row {0} : Operation is required against the raw material item {1},Eilutė {0}: reikalingas veiksmas prieš žaliavos elementą {1}
apps/erpnext/erpnext/hr/doctype/expense_claim/expense_claim.py,Please set default payable account for the company {0},Prašome nustatyti numatytąją mokėtiną sąskaitos už bendrovės {0}
apps/erpnext/erpnext/stock/doctype/stock_entry/stock_entry.py,Transaction not allowed against stopped Work Order {0},Sandoris neleidžiamas nuo sustojimo Darbų užsakymas {0}
DocType: Setup Progress Action,Min Doc Count,Min Doc Count
apps/erpnext/erpnext/config/manufacturing.py,Global settings for all manufacturing processes.,Global nustatymai visus gamybos procesus.
DocType: Accounts Settings,Accounts Frozen Upto,Sąskaitos Šaldyti upto
apps/erpnext/erpnext/erpnext_integrations/doctype/tally_migration/tally_migration.js,Process Day Book Data,Apdoroti dienos knygos duomenis
DocType: SMS Log,Sent On,išsiųstas
apps/erpnext/erpnext/public/js/call_popup/call_popup.js,Incoming call from {0},Gaunamas skambutis iš {0}
apps/erpnext/erpnext/stock/doctype/item/item.py,Attribute {0} selected multiple times in Attributes Table,Įgūdis {0} pasirinktas kelis kartus požymiai lentelėje
DocType: HR Settings,Employee record is created using selected field. ,Darbuotojų įrašas sukurtas naudojant pasirinktą lauką.
DocType: Sales Order,Not Applicable,Netaikoma
DocType: Amazon MWS Settings,UK,Jungtinė Karalystė
