Pension Funds,Mirovinski fondovi
Tax Rule for transactions.,Porezno pravilo za transakcije.
Show Barcode Field,Prikaži polje crtičnog koda
DN Detail,DN pojedinosti
Fluid,tekućina
B2C Limit,B2C granica
Electronic Equipments,Elektronska oprema
Cannot find active Leave Period,Nije moguće pronaći aktivno razdoblje odlaska
Create Maintenance Visit,Izradite posjet za održavanje
Change In Item,Promjena stavke
{0} Students have been enrolled,{0} Studenti su upisani
Inspection,inspekcija
Area,područje
Summary for this week and pending activities,Sažetak za ovaj tjedan i aktivnosti u tijeku
Maintenance Task,Zadatak održavanja
Current Invoice Start Date,Trenutni datum početka računa
Item,Artikal
Get Students From,Nabavite studente iz
Always synch your products from Amazon MWS before synching the Orders details,Uvijek sinkronizirajte svoje proizvode s Amazon MWS prije sinkronizacije pojedinosti narudžbi
Leave Block List Name,Ostavite naziv blok-popisa
"Could not update stock, invoice contains drop shipping item.","Nije bilo moguće ažurirati zalihu, račun sadrži stavku za slanje."
Completion Date,Datum završetka
Rate at which supplier's currency is converted to company's base currency,Stopa po kojoj se valuta dobavljača pretvara u osnovnu valutu tvrtke
Leave Control Panel,Ostavite upravljačku ploču
Total Applicable Charges in Purchase Receipt Items table must be same as Total Taxes and Charges,Ukupne primjenjive naknade u tablici računa primitaka kupnje moraju biti jednake ukupnim porezima i troškovima
In Words will be visible once you save the Delivery Note.,In Words će biti vidljivi nakon što spremite bilješku o isporuci.
Suppliies made to Composition Taxable Persons,Dobavljači sastavljeni od strane poreznih obveznika
Reserved Qty for Production,Rezervisana količina za proizvodnju
Quality Manager,Upravitelj kvalitete
"Configure Item Fields like UOM, Item Group, Description and No of Hours.","Konfigurirajte polja stavki kao što su UOM, grupa predmeta, opis i broj sati."
New Department,Novi odjel
Job Applicant,Podnositelj prijave
Create Invoices,Izradite fakture
Purchase Order Item,Stavka narudžbe
Data Import and Export,Uvoz i izvoz podataka
Please contact to the user who have Sales Master Manager {0} role,Kontaktirajte korisnika koji ima ulogu glavnog upravitelja prodaje {0}
You cannot delete Project Type 'External',Ne možete izbrisati vrstu projekta &quot;Vanjski&quot;
Temporary,privremen
Column Labels : ,Oznake stupaca:
Employee A/C Number,Broj zaposlenika A / C
Opening Date should be before Closing Date,Datum otvaranja treba biti prije datuma zatvaranja
Parent Detail docname,Nadređeni detaljni naziv dokumenta
Bank Reconciliation Detail,Pojedinosti o bankovnom usklađivanju
Cumulative Transaction Threshold,Kumulativni prag transakcije
"Number of intervals for the interval field e.g if Interval is 'Days' and Billing Interval Count is 3, invoices will be generated every 3 days","Broj intervala za polje intervala, npr. Ako je interval &quot;Dani&quot; i broj intervala naplate 3, fakture će se generirati svaka 3 dana"
'Actual Start Date' can not be greater than 'Actual End Date',&quot;Stvarni datum početka&quot; ne može biti veći od &quot;Stvarni datum završetka&quot;
Payment Entry Reference,Referenca za unos plaćanja
Salary Component Account,Račun komponenti plaća
Default Payable Accounts,Zadani računi za plaćanje
In Words,U riječima
Purchase Order,Narudžbenica
Entry Type,Vrsta unosa
Laboratory,Laboratorija
To Bill,Naplatiti
Utility Expenses,Komunalni troškovi
Time Between Operations (in mins),Vrijeme između operacija (u minima)
May,svibanj
"Payment Gateway Account not created, please create one manually.","Račun za Gateway plaćanja nije izrađen, napravite ga ručno."
Purchase,Kupiti
School House,Školska kuća
Please select at least one domain.,Odaberite barem jednu domenu.
Daily Project Summary for {0},Dnevni sažetak projekta za {0}
All Territories,Sve teritorije
Failure Date,Datum kvara
Attendees,Sudionici
Total Outstanding,Ukupno neočekivano
Amount of TDS Deducted,Iznos TDS-a odbijen
Cash or Bank Account is mandatory for making payment entry,Novac ili bankovni račun je obvezan za unos plaćanja
Registration Details,Pojedinosti o registraciji
Calculated Bank Statement balance,Izračunata bilanca bankovnog računa
Only users with {0} role can register on Marketplace,Samo korisnici s ulogom {0} mogu se registrirati na Marketplaceu
"Warehouse {0} is not linked to any account, please mention the account in  the warehouse record or set default inventory account in company {1}.","Skladište {0} nije povezano s bilo kojim računom, navedite račun u evidenciji skladišta ili postavite zadani oglasni prostor u tvrtki {1}."
Admission,ulaz
This is based on the attendance of this Student,To se temelji na pohađanju ovog studenta
Create Receiver List,Napravite popis prijemnika
Max Leaves Allowed,Maksimalno dopušteno lišće
Component,sastavni dio
Leave and Attendance,Odlazak i prisustvovanje
Billing Amount,Iznos naplate
BOM Website Item,Stavka BOM web stranica
Rounded Total,Zaokruženo Ukupno
Production Plan,Plan proizvodnje
Actions performed,Provedene radnje
Set Accepted Warehouse,Postavi Prihvaćeno skladište
Rules for applying pricing and discount.,Pravila za primjenu cijena i popusta.
Statutory info and other general information about your Supplier,Zakonske informacije i ostale opće informacije o Vašem Dobavljaču
Default Selling Cost Center,Zadano mjesto troška prodaje
Address & Contacts,Adresa i kontakti
Subscriber,Pretplatnik
[{0}](#Form/Item/{0}) is out of stock,[{0}] (# Form / Item / {0}) nema na skladištu
Please select Posting Date first,Prvo odaberite Datum knjiženja
Mention if non-standard payable account,Navedite je li nestandardni račun naplativ
Advance,napredovati
"Root Type for ""{0}"" must be one of the Asset, Liability, Income, Expense and Equity","Tip korijena za &quot;{0}&quot; mora biti jedna od imovine, odgovornosti, prihoda, rashoda i kapitala"
% Complete Method,% Popunjena metoda
Tasks Created,Poslovi su izrađeni
Default BOM ({0}) must be active for this item or its template,Zadana sastavnica ({0}) mora biti aktivna za ovu stavku ili njezin predložak
Commission Rate %,Stopa provizije%
Response Time,Vrijeme odziva
Woocommerce Settings,Postavke Woocommercea
Quantity must be positive,Količina mora biti pozitivna
CRM,CRM
Parenttype,Parenttype
Billing State,Država naplate
Quantity for Item {0} must be less than {1},Količina za stavku {0} mora biti manja od {1}
Transfer Material,Materijal za prijenos
Shipping Account,Račun za otpremu
Please set default template for Leave Approval Notification in HR Settings.,Postavite zadani predložak za Obavijest o dopustu u postavkama za ljudske resurse.
Television,Televizija
Quality Inspection required for Item {0},Provjera kvalitete potrebna za stavku {0}
Debit ({0}),Zaduženje ({0})
Inpatient Visit Charge,Naknada u bolničkom posjetu
Transaction Data Mapping,Mapiranje podataka o transakcijama
A Lead requires either a person's name or an organization's name,Olovo zahtijeva ili ime osobe ili ime organizacije
Guardians,čuvari
Select Brand...,Odaberite robnu marku ...
Middle Income,Srednji dohodak
Calculate Based On,Izračunajte na temelju
Barcode {0} already used in Item {1},Barkod {0} je već korišten u stavci {1}
Campaign Name,Naziv kampanje
Rejected Warehouse,Odbijeno skladište
{0} {1} must be submitted,Morate poslati {0} {1}
Expense Claim Advance,Predujam troškova potraživanja
Rounding Adjustment (Company Currency),Prilagodba zaokruživanja (valuta tvrtke)
Publish in Hub,Objavi u Hubu
GSTIN,GSTIN
August,kolovoz
Please enter Purchase Receipt first,Prvo unesite potvrdu o kupnji
Start Year,Početak godine
Target ({}),Ciljanje ({})
Please set Default Payroll Payable Account in Company {0},Postavite zadani račun plaća za plaće u tvrtki {0}
Sales Summary,Sažetak prodaje
In Words (Company Currency),U riječi (valuta tvrtke)
Please specify currency in Company,Navedite valutu u tvrtki
Price,Cijena
Min Order Qty,Minimalna količina narudžbe
Holiday Management,Upravljanje odmorima
Please enable default incoming account before creating Daily Work Summary Group,Omogućite zadani dolazni račun prije izrade Dnevne grupe sažetka rada
You can only select a maximum of one option from the list of check boxes.,S popisa potvrdnih okvira možete odabrati najviše jednu opciju.
Public Transport,Javni prijevoz
Maximum Samples - {0} can be retained for Batch {1} and Item {2}.,Maksimalni uzorci - {0} mogu se zadržati za Batch {1} i stavku {2}.
Max Sample Quantity,Maksimalna količina uzorka
Source and target warehouse must be different,Izvorno i ciljno skladište mora biti različito
Benefits Applied,Primijenjene prednosti
Against Journal Entry {0} does not have any unmatched {1} entry,Protiv unosa dnevnika {0} nema nijedan neusporediv {1} unos
Price or product discount slabs are required,Potrebne su ploče s popustom za cijenu ili proizvod
Set a Target,Postavite cilj
Attendance Record {0} exists against Student {1},Zapis o prisustvu {0} postoji protiv studenta {1}
Date of Transaction,Datum transakcije
Cancel Subscription,Otkaži pretplatu
Net Salary Amount,Neto iznos plaće
Liability,Odgovornost
Bank A/C No.,Bankarski A / C broj
Discharge Note,Napomena o ispuštanju
Action if Accumulated Monthly Budget Exceeded on MR,Akcija ako je ukupni mjesečni proračun premašen na MR
Asset Movement,Pokret imovine
"Could not create Credit Note automatically, please uncheck 'Issue Credit Note' and submit again",Automatsko kreiranje kreditne bilješke nije bilo moguće. Uklonite oznaku &quot;Napomena o izdavanju kredita&quot; i pošaljite ponovno
Per Month,Na mjesec
Routing Name,Naziv rute
Common Name,Uobičajeno ime
Measurable,Mjerljiv
LMS Title,Naslov LMS-a
Loan Management,Upravljanje kreditima
Support Analtyics,Podrška analtyics
Consumable Total Amount,Ukupni potrošni iznos
Enable Template,Omogući predložak
Customer LPO,Korisnička LPO
Website Image {0} attached to Item {1} cannot be found,Slika web-lokacije {0} u privitku stavke {1} ne može se pronaći
Planned,Planirani
Custodian,staratelj
Filter based on Cost Center is only applicable if Budget Against is selected as Cost Center,Filtriranje na temelju mjesta troška primjenjivo je samo ako je proračun protivno odabran kao mjesto troška
Quoted Item Comparison,Citirana usporedba predmeta
Employee Advance,Unaprijed zaposleni
Inward supplies liable to reverse charge (other than 1 & 2 above),Unutarnji dobavljači koji podliježu obrnutoj naplati (osim gore navedenih 1 i 2)
Shopping Cart,Košarica
User {0} does not exist,Korisnik {0} ne postoji
Loans and Advances (Assets),Zajmovi i predujmovi (imovina)
Row {0}: Please check 'Is Advance' against Account {1} if this is an advance entry.,Red {0}: označite &quot;Je li unaprijed&quot; na računu {1} ako je to predujam unaprijed.
Designation (optional),Oznaka (izborno)
Total Principal Amount,Ukupni glavni iznos
Customer / Lead Address,Adresa klijenta / vode
Soap & Detergent,Sapun i deterdžent
Purchase Analytics,Kupite Analytics
Opportunity,Prilika
Prefered Contact Email,Preferirana e-pošta za kontakt
Opening Accounting Balance,Otvaranje salda računovodstva
[Select],[Odaberi]
MAT-RECO-.YYYY.-,MAT-Reco-.YYYY.-
Master Data,Glavni podaci
Yet to appear,Ipak se pojaviti
Customers in Queue,Kupci u redu
Supplier Details,Pojedinosti dobavljača
No gain or loss in the exchange rate,Nema dobitka ili gubitka tečaja
GSTR-1,GSTR-1
Total Billable Hours,Ukupno plaćeni sati
Represents Company,Predstavlja tvrtku
Company Address,adresa tvrtke
Lead Name,Ime olova
Diseases & Fertilizers,Bolesti i gnojiva
Item {0} must be a Sub-contracted Item,Stavka {0} mora biti podugovorena stavka
Purchase Receipt Items,Kupite stavke primitaka
Ignore Existing Projected Quantity,Zanemari postojeću predviđenu količinu
Supervisor,Nadglednik
Salary Detail,Detalj plaće
Budget Against,Proračun protiv
Add Letterhead,Dodajte zaglavlje pisma
Templates of supplier scorecard criteria.,Predlošci kriterija ocjene dobavljača.
Default Finance Book,Zadana knjiga o financijama
Please specify Company,Navedite tvrtku
Total contribution percentage should be equal to 100,Ukupni postotak doprinosa trebao bi biti jednak 100
Webhooks Secret,Webhooks Secret
Asset Depreciations and Balances,Amortizacija imovine i stanja
New Batch Qty,Novi serijski broj
Import of goods,Uvoz robe
Raw Material Item Code,Šifra stavke sirovine
Purchase Invoice {0} is already submitted,Faktura kupovine {0} već je poslana
Student Email,Studentska e-pošta
BOM recursion: {0} cannot be parent or child of {2},Rekurzija sastavnica: {0} ne može biti roditelj ili dijete od {2}
Get Items from Healthcare Services,Nabavite artikle iz zdravstvenih usluga
Stock Entry {0} is not submitted,Unos dionica {0} nije poslan
Item Attribute Value,Vrijednost atributa stavke
Volunteer Skills,Volonterske vještine
Cannot enroll more than {0} students for this student group.,Nije moguće upisati više od {0} učenika za ovu studentsku grupu.
Costing Details,Detalji troška
Sales Invoice {0} has already been submitted,Faktura prodaje {0} već je poslana
Accounting Entries,Računovodstveni unosi
Internal Transfer,Interni prijenos
Stock Details,Detalji o zalihama
Is Carry Forward,Je li naprijed
Product Enquiry,Upit za proizvod
PUR-ORD-.YYYY.-,PUR-ORD-.YYYY.-
Evaluation Period,Razdoblje ocjenjivanja
Volunteer Skill,Vještina volontera
Order Confirmation No,Potvrda narudžbe br
POS,POS
Self-Study,Samostalno istraživanje
Above,Iznad
Action Doctype,Akcija Doctype
Allow Print Before Pay,Dopusti ispis prije plaćanja
Select Items to Manufacture,Odaberite stavke za izradu
Leave Approver Name,Ostavite ime ovlaštenika
Shareholder,dioničar
Agreement Status,Status sporazuma
Default settings for selling transactions.,Zadane postavke za transakcije prodaje.
Please select Student Admission which is mandatory for the paid student applicant,Molimo odaberite Prijem studenata koji je obvezan za plaćenog studenta
Select BOM,Odaberite BOM
"Schedules for {0} overlaps, do you want to proceed after skiping overlaped slots ?","Rasporedi za {0} preklapanja, želite li nastaviti nakon preskakanja preklapanih mjesta?"
Customer or Supplier Details,Pojedinosti kupca ili dobavljača
Debit Account,Debitni račun
Trial Period End Date Cannot be before Trial Period Start Date,Datum završetka probnog razdoblja Ne može biti prije početka probnog razdoblja
Rented,iznajmljuje
Employee Group Table,Tablica grupe zaposlenika
HR Manager,HR Manager
Details of Outward Supplies and inward supplies liable to reverse charge,Pojedinosti o vanjskim dobavljačima i unutarnjim isporukama koje podliježu obrnutoj naplati
Cheque/Reference No,Provjera / referenca br
Assessment Result,Rezultat ocjenjivanja
New Contact,Novi kontakt
Opportunities,Mogućnosti
Net Cash from Operations,Neto novac iz poslovanja
Leave Encashment,Napusti oporavak
Source warehouse is mandatory for row {0},Izvorno skladište obvezno je za redak {0}
After Date,Nakon datuma
ITC Available (whether in full op part),ITC dostupan (u cijelosti op)
Row {0}: Activity Type is mandatory.,Redak {0}: Vrsta aktivnosti je obavezna.
Consultant,Konzultant
Select an employee to get the employee advance.,Odaberite zaposlenika koji će unaprijed dobiti zaposlenika.
"Asset cannot be cancelled, as it is already {0}",Sredstvo se ne može otkazati jer je već {0}
Wrong Password,Pogrešna lozinka
STO-ITEM-.YYYY.-,STO-ITEM-.YYYY.-
Update Account Number / Name,Ažuriraj broj / ime računa
Use Custom Cash Flow Format,Koristite prilagođeni oblik novčanog toka
Opening Invoices,Otvaranje računa
Send to Warehouse,Pošalji u skladište
Event Status,Status događaja
Total completed qty must be greater than zero,Ukupna dovršena količina mora biti veća od nule
Chargeable,naplativ
Anytime,Bilo kada
Student Batch-Wise Attendance,Sudionici serije studenata
Normal Test Template,Normalni testni predložak
Tree of financial Cost Centers.,Stablo financijskih mjesta troškova.
"in Minutes
Updated via 'Time Log'",u minutama ažurirano putem &quot;Dnevnika vremena&quot;
Bin,kanta
Invoice Number,Broj računa
Fulfillment User,Korisnik ispunjenja
Planned End Time,Planirano vrijeme završetka
Section Code,Kôd odjeljka
Monitor Progress,Monitor Progress
Select Batch No,Odaberite Br
Payroll Number,Broj plaće
Include UOM,Uključi UOM
Stock Ledger Entries and GL Entries are reposted for the selected Purchase Receipts,Unosi u knjigu dionica i GL ulazi se ponovno objavljuju za odabrane potvrde o kupnji
Update Print Format,Ažuriraj format ispisa
Siblings,Braća i sestre
Hold Invoice,Zadržite fakturu
Row {0}: Invalid reference {1},Redak {0}: nevažeća referenca {1}
Profitability Analysis,Analiza profitabilnosti
New Account Name,Novi naziv računa
Expense Proof,Dokazivanje troškova
Served,Posluženo
Member,Član
Practitioner Service Unit Schedule,Raspored usluga jedinice za liječenje
Wire Transfer,Žični prijenos
Against Account,Protiv računa
Projects Settings,Postavke projekata
Actual Qty {0} / Waiting Qty {1},Stvarna količina {0} / količina čekanja {1}
{0} {1}: Account {2} cannot be a Group,{0} {1}: Račun {2} ne može biti grupa
Prescription Duration,Trajanje recepta
Row {0}: Debit entry can not be linked with a {1},Redak {0}: debitni unos ne može se povezati s {1}
Intro Video,Uvodni videozapis
Is Paid,Je plaćeno
Debit,Zaduženje
Item Balance (Simple),Stanje stavke (jednostavno)
Purchase orders help you plan and follow up on your purchases,Narudžbe za kupnju pomažu vam u planiranju i praćenju kupnje
Project Type,Vrsta projekta
Student Batch Name,Ime studentske serije
Qty to Receive,Kol. Za primanje
Previous Business Day,Prethodni radni dan
Sponsored Amount,Sponzorirani iznos
Please wait 3 days before resending the reminder.,Pričekajte 3 dana prije ponovnog slanja podsjetnika.
Qty as per Stock UOM,Količina po skladištu UOM
Quantity,Količina
Estimated Arrival,Očekivani dolazak
Trial Balance for Party,Probno stanje za stranku
Employee Separation Template,Predložak za razdvajanje zaposlenika
Unit,Jedinica
Maximum benefit amount of component {0} exceeds {1},Maksimalni iznos naknade komponente {0} premašuje {1}
Venture Capital,Venture Capital
Fiscal Year End Date should be one year after Fiscal Year Start Date,Datum završetka fiskalne godine trebao bi biti godinu dana nakon početka fiskalne godine
Daily Reminders,Dnevni podsjetnici
Default Sales Unit of Measure,Zadana prodajna jedinica mjere
Rate of Depreciation,Stopa amortizacije
Post Description Key,Ključ za opis posta
Minimum Total Spent,Minimalna potrošena količina
Period Score,Ocjena rezultata
Can't create standard criteria. Please rename the criteria,Nije moguće izraditi standardne kriterije. Preimenujte kriterije
Arrival Datetime,Dolazak Datetime
Student LMS Activity,Aktivnost LMS studenata
Quantity Difference,Količina razlika
Row #{0}: Allocated Amount cannot be greater than outstanding amount.,Red # {0}: dodijeljeni iznos ne može biti veći od nepodmirenog iznosa.
Timesheet Detail,Pojedinosti o rasporedu
Proficiency,vještina
Sent To,Poslano
Hub Publishing Details,Pojedinosti izdavačke kuće Hub
"Student Batches help you track attendance, assessments and fees for students","Studentske serije pomažu vam pratiti pohađanje, procjene i naknade za studente"
Declared Amount,Deklarirani iznos
Auto close Opportunity after 15 days,Automatsko zatvaranje mogućnosti nakon 15 dana
Issue,Problem
Availability Timeslot,Raspoloživost vremena
Program Abbreviation,Kratica programa
Project Start Date,Datum početka projekta
Additional DIscount Amount,Dodatni iznos iznosa
Item {0} not found in 'Raw Materials Supplied' table in Purchase Order {1},Stavka {0} nije pronađena u tablici &quot;Isporučeni materijali&quot; u Narudžbenici {1}
Manage cost of operations,Upravljanje troškovima operacija
You are not authorized to set Frozen value,Niste ovlašteni postavljati vrijednost Frozen
Lapsed,posrnuo
Investments,Investicije
Date of Birth,Datum rođenja
You need to be a user with System Manager and Item Manager roles to register on Marketplace.,Morate biti korisnik s ulogama Upravitelja sustava i Upravitelja stavki da biste se registrirali na Marketplaceu.
Item Attribute Values,Vrijednosti atributa stavke
Please save the patient first,Prvo spremite pacijenta
Half Day Date should be between From Date and To Date,Datum polu-dana trebao bi biti između datuma i datuma
Expected Discharge,Očekivano otpuštanje
Travel Type,Vrsta putovanja
Customer is required,Korisnik je obavezan
Invalid quantity specified for item {0}. Quantity should be greater than 0.,Nevažeća količina navedena za stavku {0}. Količina treba biti veća od 0.
As Supervisor,Kao supervizor
Employees,zaposlenici
Billing Status,Status naplate
Please select Category first,Prvo odaberite kategoriju
BOM Browser,BOM preglednik
Create Student Groups,Stvorite grupe studenata
In Minutes,U nekoliko minuta
Net Pay cannot be less than 0,Neto plaća ne može biti manja od 0
Schedules,Rasporedi
Employee Training,Obuka zaposlenika
Rate of Interest (%) / Year,Kamatna stopa (%) / godina
Require Result Value,Zahtijeva vrijednost rezultata
Loan Type,Vrsta kredita
Item Code required at Row No {0},Kôd stavke potreban kod retka No {0}
Identification of the package for the delivery (for print),Identifikacija paketa za isporuku (za ispis)
Assessment Name,Naziv procjene
Departure Datetime,Odlazak Datetime
From Warehouse,Iz skladišta
Amount {0} {1} against {2} {3},Iznos {0} {1} u odnosu na {2} {3}
Create Variant,Stvori varijantu
Fulfilment Terms and Conditions,Uvjeti i odredbe za ispunjenje
Date of Commencement should be greater than Date of Incorporation,Datum početka treba biti veći od datuma osnivanja
Price or Product Discount,Popust na cijenu ili proizvod
Reading 1,Čitanje 1
Maximum Age,Maksimalna dob
Payroll Periods,Razdoblja plaća
Transferred Quantity,Prenesena količina
Marketplace Settings,Postavke tržišta
Purchase Orders are not allowed for {0} due to a scorecard standing of {1}.,Nalozi za kupnju nisu dopušteni za {0} zbog stanja bodovanja {1}.
Price List not selected,Cjenik nije odabran
Workstation is closed on the following dates as per Holiday List: {0},Radna stanica je zatvorena na sljedeće datume prema prazničnoj listi: {0}
"Reselect, if the chosen address is edited after save",Ponovno odaberite ako se odabrana adresa uređuje nakon spremanja
Default Unit of Measure for Item {0} cannot be changed directly because you have already made some transaction(s) with another UOM. You will need to create a new Item to use a different Default UOM.,Zadana mjerna jedinica za stavku {0} ne može se izravno promijeniti jer ste već obavili neku transakciju s drugom UOM-om. Morat ćete stvoriti novu stavku da biste koristili drugu zadanu UOM.
Changing Customer Group for the selected Customer is not allowed.,Promjena grupe korisnika za odabranog korisnika nije dopuštena.
Creation Document Type,Vrsta dokumenta stvaranja
Available Batch Qty at Warehouse,Dostupan komad u skladištu
This is a root territory and cannot be edited.,Ovo je korijensko područje i ne može se uređivati.
Surgical History,Kirurška povijest
Tree of Quality Procedures.,Stablo postupaka kvalitete.
Contact HTML,Kontaktirajte HTML
Employee Information,Informacije o zaposlenicima
Examiner,Ispitivač
Actual Amount,Stvarni iznos
Fulfilled,ispunjena
Row {0}: Enter location for the asset item {1},Redak {0}: unesite lokaciju stavke imovine {1}
View Timesheet,Prikaz rasporeda
Taxes and Charges Calculation,Obračun poreza i naknada
Action Document,Akcijski dokument
Procedure Prescription,Postupak na recept
Guardian Name,Ime čuvara
Successfully Reconciled,Uspješno sravnjeno
Period Name,Naziv razdoblja
Please pull items from Delivery Note,"Molimo, izvucite stavke iz otpremnice"
Content Question,Pitanje o sadržaju
In Stock: ,Na lageru:
Please save before assigning task.,Spremite prije dodjeljivanja zadatka.
Company is manadatory for company account,Tvrtka je podložna računu tvrtke
Delivery Warehouse,Skladište dostave
Enable Shopify,Omogući Shopify
Additional information regarding the patient,Dodatne informacije o pacijentu
Purchase Receipts,Potvrde o kupnji
New Employee,Novi zaposlenik
Update Auto Repeat Reference,Ažuriraj referencu automatskog ponavljanja
Fees,naknade
Student Group Name,Naziv grupe učenika
Employee,Zaposlenik
Available-for-use Date should be after purchase date,Datum dostupnosti za uporabu trebao bi biti nakon datuma kupnje
Please define grade for Threshold 0%,Odredite ocjenu za prag 0%
"Apps using current key won't be able to access, are you sure?","Aplikacije koje koriste trenutni ključ neće moći pristupiti, jeste li sigurni?"
Minutes,minuta
Correct,ispravan
Total Declared Amount,Ukupni prijavljeni iznos
Material,Materijal
Is Inpatient,Bolesnik je
Encashment Amount,Iznos naplate
Conversion Rate,Stopa pretvorbe
CEO,direktor tvrtke
Set tasks in this project as cancelled?,Postavite zadatke u ovom projektu kao otkazane?
Reserved Qty for sub contract,Rezervirano za podugovor
Create Payment Entry,Izradite unos plaćanja
Submit Proof,Pošaljite dokaz
Credit Months,Mjeseci kredita
Providing,pružanje
Total Billing Amount,Ukupni iznos naplate
Maintenance Visit,Posjet održavanju
Country of Origin,Zemlja podrijetla
Agriculture Analysis Criteria,Kriteriji analize poljoprivrede
Additional Salary Component Exists.,Postoji dodatna komponenta plaća.
Grocery,mješovitom
Minimum Seating,Minimalna mjesta za sjedenje
Furry,Krznen
"Can not filter based on Account, if grouped by Account",Nije moguće filtrirati na temelju računa ako je grupiran po računu
Bank Entries,Bankovni unosi
Sandy Clay Loam,Sandy Clay Loam
LInked Analysis,Analiza ulaza
Valid From Date must be lesser than Valid Upto Date.,Valjani datum mora biti manji od važećeg datuma.
Salary Component,Komponenta plaća
Maintenance Team Members,Članovi tima za održavanje
Minimum Age,Minimalna dob
Available Selling,Dostupna prodaja
Taxes and Charges Deducted,Odbijeni porezi i pristojbe
Create Lab Test,Izradite laboratorijski test
Hotel Settings,Postavke hotela
Select Transaction,Odaberite Transakcija
Declare Lost,Izjavite Izgubljeno
If different than customer address,Ako se razlikuje od adrese korisnika
Chart Tree,Stablo grafikona
Contract,Ugovor
Please select the Multiple Tier Program type for more than one collection rules.,Odaberite više vrsta programa za više pravila prikupljanja.
{0} for {1},{0} za {1}
For Quantity (Manufactured Qty) is mandatory,Za količinu (proizvedena količina) obavezno je
"e.g. ""Primary School"" or ""University""",npr. &quot;Osnovna škola&quot; ili &quot;Sveučilište&quot;
Apply Multiple Pricing Rules,Primijenite višestruka pravila za određivanje cijena
Review Invitation Sent,Pozivnica za preglede poslana
No of Months,Broj mjeseci
Serial Nos Required for Serialized Item {0},Serijski brojevi potrebni za serijsku stavku {0}
Bill of Materials (BOM),Sastavnica (BOM)
Allow Stale Exchange Rates,Omogući ustajali tečaj
Website Description,Opis web-lokacije
Expense Details,Pojedinosti o troškovima
From Range has to be less than To Range,Iz raspona mora biti manje od raspona
Products to be shown on website homepage,Proizvodi koji će biti prikazani na početnoj stranici web-lokacije
Is Master Data Processed,Obrađuje se glavni podatak
Quantity  that must be bought or sold per UOM,Količina koja se mora kupiti ili prodati po UOM-u
Total Sales Amount (via Sales Order),Ukupni iznos prodaje (putem prodajnog naloga)
Box,kutija
Default Cost Center,Zadano mjesto troška
Billed Amt,Naplaćena amt
Please set default {0} in Company {1},Postavite zadanu {0} u tvrtki {1}
Distance from left edge,Udaljenost od lijevog ruba
Item 4,Točka 4
"Advance paid against {0} {1} cannot be greater \
						than Grand Total {2}",Plaćeni avans od {0} {1} ne može biti veći od ukupnog iznosa {2}
Income Account,Račun prihoda
All Warehouses,Svi skladišta
Signee Details,Pojedinosti o znaku
Procurement,nabavka
Check this if you want to show in website,Označite ovo ako želite prikazati na web-lokaciji
Fiscal Year {0} not found,Fiskalna godina {0} nije pronađena
Bank Statement Settings,Postavke bankovnog izvoda
Score (0-5),Rezultat (0-5)
Attribute {0} selected multiple times in Attributes Table,Atribut {0} odabran više puta u tablici atributa
Debit Note Issued,Izdana debitna bilješka
"Please select Item where ""Is Stock Item"" is ""No"" and ""Is Sales Item"" is ""Yes"" and there is no other Product Bundle","Odaberite stavku gdje je &quot;Je li stavka&quot; &quot;Ne&quot;, a &quot;Je li prodajna stavka&quot; je &quot;Da&quot; i nema drugog paketa proizvoda"
Employee {0} of grade {1} have no default leave policy,Zaposlenik {0} razreda {1} nema pravilnik o zadanom ostavljanju
Leave Policy Detail,Ostavite pojedinosti o pravilima
Warehouse not found in the system,Skladište nije pronađeno u sustavu
OP Consulting Charge,OP konzultantska naknada
Measurable Goal,Mjerljivi cilj
Invoices,računi
Currency Exchange,Razmjena valute
Fortnightly,četrnaestodnevni
Serial No {0} not in stock,Serijski broj {0} nije na zalihi
"Material Request not created, as quantity for Raw Materials already available.","Zahtjev za materijal nije izrađen, jer je količina za sirovine već dostupna."
Creation User,Korisnik stvaranja
"Record of all communications of type email, phone, chat, visit, etc.","Snimanje svih komunikacija vrste e-pošte, telefona, razgovora, posjeta itd."
Asset Settings,Postavke sadržaja
Worked On Holiday,Radio je na odmoru
Either location or employee must be required,Potrebno je tražiti mjesto ili zaposlenika
Item {0} is cancelled,Stavka {0} je otkazana
Course End Date,Datum završetka tečaja
Opportunity From field is mandatory,Polje Opportunity From je obavezno
Warning: Leave application contains following block dates,Upozorenje: Ostavi aplikaciju sadrži sljedeće datume blokiranja
Preventive Maintenance,Preventivni remont
Institute Abbreviation,Kratica Instituta
"Difference Account must be a Asset/Liability type account, since this Stock Reconciliation is an Opening Entry","Račun razlike mora biti račun vrste imovine / obveze, budući da je ovo usklađivanje dionica uvodni unos"
Contract End Date must be greater than Date of Joining,Datum završetka ugovora mora biti veći od datuma pridruživanja
Default Leave Policy,Zadana politika odlaska
Select Users,Odaberite Korisnici
Net Hour Rate,Neto sat vremena
Age,Dob
Event Details,Pojedinosti događaja
Accumulated Monthly,Akumulirano Mjesečno
Save the document first.,Prvo spremite dokument.
Update Cost,Trošak ažuriranja
Fully Delivered,Potpuno isporučen
Please enter company first,Najprije unesite tvrtku
Confirmed orders from Customers.,Potvrđene narudžbe kupaca.
Dosage Strength,Snaga doziranja
