DocType: Accounting Period,Period Name,Όνομα περιόδου
DocType: Quality Action,Corrective,Διορθωτικός
DocType: Employee,Bank A/C No.,Αριθμός τραπεζικού λογαριασμού
DocType: Quality Inspection Reading,Reading 7,Μέτρηση 7
DocType: Purchase Invoice,UIN Holders,UIN Holders
apps/erpnext/erpnext/stock/doctype/material_request/material_request_list.js,Partially Ordered,μερικώς διατεταγμένο
DocType: Lab Test,Lab Test,Εργαστηριακός έλεγχος
DocType: Student Report Generation Tool,Student Report Generation Tool,Εργαλείο δημιουργίας αναφοράς σπουδαστών
DocType: Healthcare Schedule Time Slot,Healthcare Schedule Time Slot,Χρονοδιάγραμμα υγειονομικής περίθαλψης
apps/erpnext/erpnext/regional/report/eway_bill/eway_bill.py,Doc Name,Όνομα εγγράφου
DocType: Expense Claim Detail,Expense Claim Type,Τύπος αξίωσης δαπανών
DocType: Shopping Cart Settings,Default settings for Shopping Cart,Προεπιλεγμένες ρυθμίσεις για το καλάθι αγορών
apps/erpnext/erpnext/public/js/hub/pages/Item.vue,Save Item,Αποθήκευση στοιχείου
apps/erpnext/erpnext/accounts/page/bank_reconciliation/bank_transaction_row.html,New Expense,Νέα δαπάνη
apps/erpnext/erpnext/selling/doctype/sales_order/sales_order.js,Ignore Existing Ordered Qty,Αγνόηση υπάρχουσας παραγγελθείσας ποσότητας
apps/erpnext/erpnext/healthcare/doctype/practitioner_schedule/practitioner_schedule.js,Add Timeslots,Προσθέστε Timeslots
apps/erpnext/erpnext/stock/__init__.py,Please set Account in Warehouse {0} or Default Inventory Account in Company {1},Ορίστε Λογαριασμό στην Αποθήκη {0} ή Προκαθορισμένο Λογαριασμό Αποθέματος στην Εταιρεία {1}
apps/erpnext/erpnext/assets/doctype/asset/depreciation.py,Asset scrapped via Journal Entry {0},Asset διαλυθεί μέσω Εφημερίδα Έναρξη {0}
DocType: Loan,Interest Income Account,Ο λογαριασμός Έσοδα από Τόκους
DocType: Bank Transaction,Unreconciled,Δεν συμφωνείται
DocType: Shift Type,Allow check-out after shift end time (in minutes),Επιτρέψτε το check out μετά τη λήξη της μετατόπισης (σε λεπτά)
apps/erpnext/erpnext/hr/doctype/salary_structure/salary_structure.py,Max benefits should be greater than zero to dispense benefits,Τα μέγιστα οφέλη θα πρέπει να είναι μεγαλύτερα από το μηδέν για την εξάλειψη των παροχών
apps/erpnext/erpnext/non_profit/doctype/grant_application/grant_application.py,Review Invitation Sent,Αναθεώρηση πρόσκλησης αποστέλλεται
DocType: Shift Assignment,Shift Assignment,Αντιστοίχιση μετατόπισης
DocType: Employee Transfer Property,Employee Transfer Property,Ιδιότητα Μεταφοράς Εργαζομένων
apps/erpnext/erpnext/accounts/doctype/share_transfer/share_transfer.py,The field Equity/Liability Account cannot be blank,Ο λογαριασμός Ιδιότητος / Ευθύνης δεν πρέπει να είναι κενός
apps/erpnext/erpnext/accounts/doctype/cashier_closing/cashier_closing.py,From Time Should Be Less Than To Time,Από το χρόνο πρέπει να είναι λιγότερο από το χρόνο
apps/erpnext/erpnext/setup/setup_wizard/data/industry_type.py,Biotechnology,Βιοτεχνολογία
apps/erpnext/erpnext/stock/doctype/stock_entry/stock_entry.py,"Item {0} (Serial No: {1}) cannot be consumed as is reserverd\
						 to fullfill Sales Order {2}.",Το στοιχείο {0} (Σειριακός αριθμός: {1}) δεν μπορεί να καταναλωθεί όπως είναι αποθηκευμένο για να πληρώσει την εντολή πώλησης {2}.
apps/erpnext/erpnext/accounts/doctype/account/chart_of_accounts/verified/standard_chart_of_accounts_with_account_number.py,Office Maintenance Expenses,Δαπάνες συντήρησης γραφείου
,BOM Explorer,BOM Explorer
apps/erpnext/erpnext/utilities/user_progress.py,Go to ,Παω σε
DocType: Shopify Settings,Update Price from Shopify To ERPNext Price List,Ενημέρωση τιμής από Shopify σε ERPNext Τιμοκατάλογος
apps/erpnext/erpnext/config/help.py,Setting up Email Account,Ρύθμιση λογαριασμού ηλεκτρονικού ταχυδρομείου
apps/erpnext/erpnext/manufacturing/doctype/production_plan/production_plan.js,Please enter Item first,Παρακαλώ εισάγετε πρώτα το είδος
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py,Needs Analysis,Χρειάζεται ανάλυση
DocType: Asset Repair,Downtime,Χρόνος αργίας
DocType: Account,Liability,Υποχρέωση
apps/erpnext/erpnext/hr/doctype/expense_claim/expense_claim.py,Sanctioned Amount cannot be greater than Claim Amount in Row {0}.,Κυρώσεις Το ποσό δεν μπορεί να είναι μεγαλύτερη από την αξίωση Ποσό στη σειρά {0}.
apps/erpnext/erpnext/education/report/course_wise_assessment_report/course_wise_assessment_report.html,Academic Term: ,Ακαδημαϊκός όρος:
DocType: Salary Detail,Do not include in total,Μην συμπεριλάβετε συνολικά
DocType: Quiz Activity,Quiz Activity,Δραστηριότητα κουίζ
DocType: Company,Default Cost of Goods Sold Account,Προεπιλογή Κόστος Πωληθέντων Λογαριασμού
apps/erpnext/erpnext/stock/doctype/stock_entry/stock_entry.py,Sample quantity {0} cannot be more than received quantity {1},Η ποσότητα δείγματος {0} δεν μπορεί να είναι μεγαλύτερη από την ποσότητα που ελήφθη {1}
apps/erpnext/erpnext/stock/get_item_details.py,Price List not selected,Ο τιμοκατάλογος δεν έχει επιλεγεί
DocType: Employee,Family Background,Ιστορικό οικογένειας
DocType: Request for Quotation Supplier,Send Email,Αποστολή email
DocType: Quality Goal,Weekday,Καθημερινή
apps/erpnext/erpnext/stock/doctype/item/item.py,Warning: Invalid Attachment {0},Προειδοποίηση: Μη έγκυρη Συνημμένο {0}
DocType: Item,Max Sample Quantity,Μέγιστη ποσότητα δείγματος
apps/erpnext/erpnext/accounts/doctype/journal_entry/journal_entry.py,No Permission,Δεν έχετε άδεια
DocType: Contract Fulfilment Checklist,Contract Fulfilment Checklist,Λίστα ελέγχου εκπλήρωσης συμβάσεων
DocType: Vital Signs,Heart Rate / Pulse,Καρδιακός ρυθμός / παλμός
DocType: Supplier,Default Bank Account,Προεπιλεγμένος τραπεζικός λογαριασμός
apps/erpnext/erpnext/accounts/report/general_ledger/general_ledger.py,"To filter based on Party, select Party Type first","Για να φιλτράρετε με βάση Κόμμα, επιλέξτε Τύπος Πάρτυ πρώτα"
apps/erpnext/erpnext/controllers/sales_and_purchase_return.py,'Update Stock' can not be checked because items are not delivered via {0},Η ενημέρωση της αποθήκης  δεν μπορεί να επιλεγεί επειδή τα στοιχεία δεν παραδίδονται μέσω {0}
DocType: Vehicle,Acquisition Date,Ημερομηνία απόκτησης
apps/erpnext/erpnext/regional/italy/utils.py,Nos,Αριθμοί
DocType: Item,Items with higher weightage will be shown higher,Τα στοιχεία με υψηλότερες weightage θα δείξει υψηλότερη
apps/erpnext/erpnext/healthcare/doctype/inpatient_record/inpatient_record_dashboard.py,Lab Tests and Vital Signs,Εργαστηριακές εξετάσεις και ζωτικά σημάδια
DocType: Bank Reconciliation Detail,Bank Reconciliation Detail,Λεπτομέρειες συμφωνίας τραπεζικού λογαριασμού
apps/erpnext/erpnext/controllers/accounts_controller.py,Row #{0}: Asset {1} must be submitted,Σειρά # {0}: Asset {1} πρέπει να υποβληθούν
apps/erpnext/erpnext/hr/doctype/leave_control_panel/leave_control_panel.py,No employee found,Δεν βρέθηκε υπάλληλος
DocType: Supplier Quotation,Stopped,Σταματημένη
DocType: Item,If subcontracted to a vendor,Αν υπεργολαβία σε έναν πωλητή
apps/erpnext/erpnext/education/doctype/student_group/student_group.js,Student Group is already updated.,Η ομάδα σπουδαστών έχει ήδη ενημερωθεί.
apps/erpnext/erpnext/config/projects.py,Project Update.,Ενημέρωση έργου.
DocType: SMS Center,All Customer Contact,Όλες οι επαφές πελάτη
DocType: Location,Tree Details,δέντρο Λεπτομέρειες
DocType: Marketplace Settings,Registered,Εγγεγραμμένος
DocType: Training Event,Event Status,Κατάσταση εκδήλωση
DocType: Volunteer,Availability Timeslot,Διαθεσιμότητα Timeslot
apps/erpnext/erpnext/config/support.py,Support Analytics,Στατιστικά στοιχεία υποστήριξης
apps/erpnext/erpnext/accounts/doctype/payment_request/payment_request.py,"If you have any questions, please get back to us.","Αν έχετε οποιεσδήποτε απορίες, παρακαλούμε να πάρετε πίσω σε μας."
DocType: Cash Flow Mapper,Cash Flow Mapper,Χάρτης χαρτονομισμάτων
DocType: Item,Website Warehouse,Αποθήκη δικτυακού τόπου
DocType: Payment Reconciliation,Minimum Invoice Amount,Ελάχιστο ποσό του τιμολογίου
apps/erpnext/erpnext/accounts/doctype/gl_entry/gl_entry.py,{0} {1}: Cost Center {2} does not belong to Company {3},{0} {1}: Κέντρο Κόστους {2} δεν ανήκει στην εταιρεία {3}
apps/erpnext/erpnext/www/lms/program.py,Program {0} does not exist.,Το πρόγραμμα {0} δεν υπάρχει.
apps/erpnext/erpnext/utilities/user_progress.py,Upload your letter head (Keep it web friendly as 900px by 100px),Μεταφορτώστε την επιστολή σας κεφάλι (Διατηρήστε το web φιλικό ως 900px by 100px)
apps/erpnext/erpnext/accounts/doctype/gl_entry/gl_entry.py,{0} {1}: Account {2} cannot be a Group,{0} {1}: Ο λογαριασμός {2} δεν μπορεί να είναι μια ομάδα
apps/erpnext/erpnext/accounts/doctype/sales_invoice/sales_invoice.py,Timesheet {0} is already completed or cancelled,Φύλλο κατανομής χρόνου {0} έχει ήδη ολοκληρωθεί ή ακυρωθεί
DocType: QuickBooks Migrator,QuickBooks Migrator,Migrator του QuickBooks
apps/erpnext/erpnext/templates/pages/projects.html,No tasks,Δεν καθήκοντα
apps/erpnext/erpnext/healthcare/doctype/patient_appointment/patient_appointment.py,Sales Invoice {0} created as paid,Το Τιμολόγιο Πωλήσεων {0} δημιουργήθηκε ως πληρωμένο
DocType: Item Variant Settings,Copy Fields to Variant,Αντιγραφή πεδίων στην παραλλαγή
DocType: Asset,Opening Accumulated Depreciation,Άνοιγμα Συσσωρευμένες Αποσβέσεις
apps/erpnext/erpnext/hr/doctype/appraisal/appraisal.js,Score must be less than or equal to 5,Το αποτέλεσμα πρέπει να είναι μικρότερο από ή ίσο με 5
DocType: Program Enrollment Tool,Program Enrollment Tool,Πρόγραμμα Εργαλείο Εγγραφή
apps/erpnext/erpnext/config/accounting.py,C-Form records,C-form εγγραφές
apps/erpnext/erpnext/accounts/doctype/share_transfer/share_transfer.py,The shares already exist,Τα μερίδια υπάρχουν ήδη
apps/erpnext/erpnext/config/help.py,Customer and Supplier,Πελάτες και Προμηθευτές
DocType: Email Digest,Email Digest Settings,Ρυθμίσεις ενημερωτικών άρθρων μέσω email
apps/erpnext/erpnext/accounts/doctype/payment_request/payment_request.py,Thank you for your business!,Ευχαριστούμε για την επιχείρησή σας!
apps/erpnext/erpnext/config/support.py,Support queries from customers.,Ερωτήματα υποστήριξης από πελάτες.
DocType: Employee Property History,Employee Property History,Ιστορικό Ιδιοκτησίας Εργαζομένων
apps/erpnext/erpnext/stock/doctype/item/item.py,Variant Based On cannot be changed,Το Variant Based On δεν μπορεί να αλλάξει
DocType: Setup Progress Action,Action Doctype,Ενέργεια Doctype
DocType: HR Settings,Retirement Age,Ηλικία συνταξιοδότησης
DocType: Bin,Moving Average Rate,Κινητή μέση τιμή
DocType: Share Transfer,To Shareholder,Για τον Μεριδιούχο
apps/erpnext/erpnext/accounts/doctype/journal_entry/journal_entry.py,{0} against Bill {1} dated {2},{0} κατά τη χρέωση {1} της {2}
apps/erpnext/erpnext/regional/report/eway_bill/eway_bill.py,From State,Από το κράτος
apps/erpnext/erpnext/utilities/user_progress.py,Setup Institution,Ίδρυμα εγκατάστασης
apps/erpnext/erpnext/hr/doctype/leave_period/leave_period.py,Allocating leaves...,Κατανομή φύλλων ...
DocType: Program Enrollment,Vehicle/Bus Number,Αριθμός οχήματος / λεωφορείου
apps/erpnext/erpnext/public/js/call_popup/call_popup.js,Create New Contact,Δημιουργία νέας επαφής
apps/erpnext/erpnext/education/doctype/course/course.js,Course Schedule,Πρόγραμμα Μαθημάτων
DocType: GSTR 3B Report,GSTR 3B Report,Έκθεση GSTR 3B
DocType: Request for Quotation Supplier,Quote Status,Κατάσταση παραπόνων
DocType: GoCardless Settings,Webhooks Secret,Webhooks Secret
DocType: Maintenance Visit,Completion Status,Κατάσταση ολοκλήρωσης
apps/erpnext/erpnext/accounts/doctype/sales_invoice/sales_invoice.py,Total payments amount can't be greater than {},Το συνολικό ποσό πληρωμών δεν μπορεί να είναι μεγαλύτερο από {}
DocType: Daily Work Summary Group,Select Users,Επιλέξτε Χρήστες
DocType: Hotel Room Pricing Item,Hotel Room Pricing Item,Στοιχείο τιμολόγησης δωματίου ξενοδοχείου
DocType: Loyalty Program Collection,Tier Name,Όνομα επιπέδου
DocType: HR Settings,Enter retirement age in years,Εισάγετε την ηλικία συνταξιοδότησης στα χρόνια
DocType: Crop,Target Warehouse,Αποθήκη προορισμού
DocType: Payroll Employee Detail,Payroll Employee Detail,Λεπτομέρειες προσωπικού μισθοδοσίας
apps/erpnext/erpnext/public/js/utils/serial_no_batch_selector.js,Please select a warehouse,Επιλέξτε μια αποθήκη
DocType: Cheque Print Template,Starting location from left edge,Ξεκινώντας τοποθεσία από το αριστερό άκρο
,Territory Target Variance Based On Item Group,Βάση στόχευσης διαφοροποίησης στόχου βάσει της ομάδας στοιχείων
DocType: Upload Attendance,Import Attendance,Εισαγωγή συμμετοχών
apps/erpnext/erpnext/public/js/pos/pos.html,All Item Groups,Όλες οι ομάδες ειδών
DocType: Work Order,Item To Manufacture,Είδος προς κατασκευή
DocType: Leave Control Panel,Employment Type (optional),Τύπος απασχόλησης (προαιρετικό)
DocType: Pricing Rule,Threshold for Suggestion,Όριο για πρόταση
apps/erpnext/erpnext/buying/utils.py,{0} {1} status is {2},{0} {1} κατάσταση είναι {2}
DocType: Water Analysis,Collection Temperature ,Θερμοκρασία συλλογής
DocType: Employee,Provide Email Address registered in company,Παρέχετε τη διεύθυνση ηλεκτρονικού ταχυδρομείου εγγραφεί στην εταιρεία
DocType: Shopping Cart Settings,Enable Checkout,Ενεργοποίηση Ταμείο
apps/erpnext/erpnext/config/help.py,Purchase Order to Payment,Εντολή Αγοράς για Πληρωμή
apps/erpnext/erpnext/stock/page/stock_balance/stock_balance.js,Projected Qty,Προβλεπόμενη ποσότητα
DocType: Sales Invoice,Payment Due Date,Ημερομηνία λήξης προθεσμίας πληρωμής
apps/erpnext/erpnext/manufacturing/doctype/production_plan/production_plan.js,"Reserved Qty: Quantity ordered for sale, but not delivered.",Δεσμευμένη ποσότητα : ποσότητα που παραγγέλθηκε για πώληση αλλά δεν παραδόθηκε.
DocType: Drug Prescription,Interval UOM,Διαστήματα UOM
DocType: Customer,"Reselect, if the chosen address is edited after save","Επαναφέρετε την επιλογή, εάν η επιλεγμένη διεύθυνση επεξεργαστεί μετά την αποθήκευση"
apps/erpnext/erpnext/manufacturing/doctype/production_plan/production_plan.js,Reserved Qty for Subcontract: Raw materials quantity to make subcontracted items.,Προβλεπόμενη ποσότητα για υπεργολαβία: Ποσότητα πρώτων υλών για την πραγματοποίηση υποκλάδων.
apps/erpnext/erpnext/stock/doctype/item/item.js,Item Variant {0} already exists with same attributes,Θέση Παραλλαγή {0} υπάρχει ήδη με ίδια χαρακτηριστικά
DocType: Item,Hub Publishing Details,Στοιχεία δημοσίευσης Hub
apps/erpnext/erpnext/stock/report/stock_ledger/stock_ledger.py,'Opening',«Άνοιγμα»
apps/erpnext/erpnext/setup/doctype/email_digest/templates/default.html,Open To Do,Ανοικτή To Do
DocType: Pricing Rule,Mixed Conditions,Μικτές συνθήκες
apps/erpnext/erpnext/public/js/call_popup/call_popup.js,Call Summary Saved,Η σύνοψη κλήσεων αποθηκεύτηκε
DocType: Issue,Via Customer Portal,Μέσω της πύλης πελατών
DocType: Employee Tax Exemption Proof Submission Detail,Actual Amount,Πραγματικό ποσό
apps/erpnext/erpnext/regional/report/eway_bill/eway_bill.py,SGST Amount,Ποσό SGST
DocType: Lab Test Template,Result Format,Μορφή αποτελεσμάτων
DocType: Expense Claim,Expenses,Δαπάνες
DocType: Service Level,Support Hours,Ώρες Υποστήριξης
apps/erpnext/erpnext/accounts/report/accounts_receivable/accounts_receivable.py,Delivery Notes,Σημειώσεις παράδοσης
DocType: Item Variant Attribute,Item Variant Attribute,Παραλλαγή Στοιχείο Χαρακτηριστικό
,Purchase Receipt Trends,Τάσεις αποδεικτικού παραλαβής αγοράς
DocType: Payroll Entry,Bimonthly,Διμηνιαίος
DocType: Vehicle Service,Brake Pad,Τακάκια φρένων
DocType: Fertilizer,Fertilizer Contents,Περιεχόμενο λιπασμάτων
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py,Research & Development,Έρευνα & ανάπτυξη
apps/erpnext/erpnext/accounts/report/purchase_order_items_to_be_billed/purchase_order_items_to_be_billed.py,Amount to Bill,Ποσό χρέωσης
apps/erpnext/erpnext/accounts/report/accounts_receivable/accounts_receivable.js,Based On Payment Terms,Βασισμένο στους Όρους Πληρωμής
apps/erpnext/erpnext/config/settings.py,ERPNext Settings,ERPNext Ρυθμίσεις
DocType: Company,Registration Details,Στοιχεία εγγραφής
apps/erpnext/erpnext/support/doctype/issue/issue.py,Couldn't Set Service Level Agreement {0}.,Δεν ήταν δυνατή η ρύθμιση της συμφωνίας επιπέδου υπηρεσιών {0}.
DocType: Timesheet,Total Billed Amount,Τιμολογημένο ποσό
DocType: Item Reorder,Re-Order Qty,Ποσότητα επαναπαραγγελίας
DocType: Leave Block List Date,Leave Block List Date,Ημερομηνία λίστας αποκλεισμού ημερών άδειας
DocType: Quality Feedback Parameter,Quality Feedback Parameter,Ποιότητα Παράμετρος Ανατροφοδότησης
apps/erpnext/erpnext/manufacturing/doctype/bom/bom.py,BOM #{0}: Raw material cannot be same as main Item,BOM # {0}: Η πρώτη ύλη δεν μπορεί να είναι ίδια με το κύριο στοιχείο
apps/erpnext/erpnext/stock/doctype/landed_cost_voucher/landed_cost_voucher.py,Total Applicable Charges in Purchase Receipt Items table must be same as Total Taxes and Charges,Σύνολο χρεώσεων που επιβάλλονται στην Αγορά Παραλαβή Είδη πίνακα πρέπει να είναι ίδιο με το συνολικό φόροι και επιβαρύνσεις
DocType: Production Plan Item,"If enabled, system will create the work order for the exploded items against which BOM is available.","Εάν είναι ενεργοποιημένο, το σύστημα θα δημιουργήσει την εντολή εργασίας για τα στοιχεία που έχουν εκραγεί και τα οποία είναι διαθέσιμα."
DocType: Sales Team,Incentives,Κίνητρα
DocType: SMS Log,Requested Numbers,Αιτήματα Αριθμοί
DocType: Volunteer,Evening,Απόγευμα
DocType: Quiz,Quiz Configuration,Διαμόρφωση κουίζ
DocType: Vital Signs,Normal,Κανονικός
apps/erpnext/erpnext/accounts/doctype/tax_rule/tax_rule.py,"Enabling 'Use for Shopping Cart', as Shopping Cart is enabled and there should be at least one Tax Rule for Shopping Cart","Ενεργοποίηση »Χρησιμοποιήστε για το καλάθι αγορών», όπως είναι ενεργοποιημένο το καλάθι αγορών και θα πρέπει να υπάρχει τουλάχιστον μία φορολογική Κανόνας για το καλάθι αγορών"
DocType: Sales Invoice Item,Stock Details,Λεπτομέρειες Αποθεματικού
apps/erpnext/erpnext/projects/report/project_wise_stock_tracking/project_wise_stock_tracking.py,Project Value,Αξία έργου
apps/erpnext/erpnext/config/help.py,Point-of-Sale,Point-of-Sale
DocType: Fee Schedule,Fee Creation Status,Κατάσταση δημιουργίας τέλους
apps/erpnext/erpnext/utilities/activation.py,Create Sales Orders to help you plan your work and deliver on-time,Δημιουργήστε εντολές πώλησης για να προγραμματίσετε την εργασία σας και να την παραδώσετε έγκαιρα
DocType: Vehicle Log,Odometer Reading,οδόμετρο ανάγνωση
apps/erpnext/erpnext/accounts/doctype/account/account.py,"Account balance already in Credit, you are not allowed to set 'Balance Must Be' as 'Debit'","Το υπόλοιπο του λογαριασμού είναι ήδη πιστωτικό, δεν επιτρέπεται να ορίσετε την επιλογή το υπόλοιπο πρέπει να είναι χρεωστικό"
DocType: Account,Balance must be,Το υπόλοιπο πρέπει να
,Available Qty,Διαθέσιμη ποσότητα
DocType: Shopify Settings,Default Warehouse to to create Sales Order and Delivery Note,Προεπιλεγμένη αποθήκη για να δημιουργήσετε μια παραγγελία πώλησης και μια παραλαβή
DocType: Purchase Taxes and Charges,On Previous Row Total,Στο σύνολο της προηγούμενης γραμμής
DocType: Purchase Invoice Item,Rejected Qty,απορρίφθηκε Ποσότητα
DocType: Setup Progress Action,Action Field,Πεδίο Ενέργειας
DocType: Healthcare Settings,Manage Customer,Διαχείριση του πελάτη
DocType: Amazon MWS Settings,Always synch your products from Amazon MWS before synching the Orders details,Συγχρονίστε πάντα τα προϊόντα σας από το Amazon MWS προτού συγχρονίσετε τα στοιχεία των παραγγελιών
DocType: Delivery Trip,Delivery Stops,Η παράδοση σταματά
DocType: Salary Slip,Working Days,Εργάσιμες ημέρες
apps/erpnext/erpnext/accounts/deferred_revenue.py,Cannot change Service Stop Date for item in row {0},Δεν είναι δυνατή η αλλαγή της ημερομηνίας διακοπής υπηρεσίας για στοιχείο στη σειρά {0}
DocType: Serial No,Incoming Rate,Ρυθμός εισερχομένων
DocType: Packing Slip,Gross Weight,Μικτό βάρος
DocType: Leave Type,Encashment Threshold Days,Ημέρες κατώτατου ορίου ενσωμάτωσης
,Final Assessment Grades,Τελικοί βαθμοί αξιολόγησης
apps/erpnext/erpnext/public/js/setup_wizard.js,The name of your company for which you are setting up this system.,Το όνομα της εταιρείας σας για την οποία εγκαθιστάτε αυτό το σύστημα.
DocType: HR Settings,Include holidays in Total no. of Working Days,Συμπεριέλαβε αργίες στον συνολικό αριθμό των εργάσιμων ημερών
apps/erpnext/erpnext/setup/setup_wizard/operations/sample_data.py,Setup your Institute in ERPNext,Ρυθμίστε το ίδρυμά σας στο ERPNext
DocType: Agriculture Analysis Criteria,Plant Analysis,Ανάλυση φυτών
DocType: Task,Timeline,Χρονοδιάγραμμα
apps/erpnext/erpnext/buying/doctype/purchase_order/purchase_order.js,Hold,Αναμονή
apps/erpnext/erpnext/manufacturing/doctype/bom/bom.js,Alternate Item,Εναλλακτικό στοιχείο
DocType: Shopify Log,Request Data,Ζητήστε δεδομένα
DocType: Employee,Date of Joining,Ημερομηνία πρόσληψης
DocType: Naming Series,Update Series,Ενημέρωση σειράς
DocType: Supplier Quotation,Is Subcontracted,Έχει ανατεθεί ως υπεργολαβία
DocType: Restaurant Table,Minimum Seating,Ελάχιστη χωρητικότητα
DocType: Item Attribute,Item Attribute Values,Τιμές χαρακτηριστικού είδους
DocType: Examination Result,Examination Result,Αποτέλεσμα εξέτασης
apps/erpnext/erpnext/accounts/doctype/purchase_invoice/purchase_invoice.js,Purchase Receipt,Αποδεικτικό παραλαβής αγοράς
,Received Items To Be Billed,Είδη που παραλήφθηκαν και πρέπει να τιμολογηθούν
DocType: Purchase Invoice,Accounting Dimensions,Λογιστικές διαστάσεις
,Subcontracted Raw Materials To Be Transferred,Υπεργολαβικές πρώτες ύλες που πρέπει να μεταφερθούν
apps/erpnext/erpnext/config/accounting.py,Currency exchange rate master.,Κύρια εγγραφή συναλλαγματικής ισοτιμίας.
,Sales Person Target Variance Based On Item Group,Πωλήσεις προσώπων πωλήσεων βάσει στόχευσης βάσει ομάδας στοιχείων
apps/erpnext/erpnext/accounts/doctype/payment_entry/payment_entry.py,Reference Doctype must be one of {0},DocType αναφοράς πρέπει να είναι ένα από {0}
apps/erpnext/erpnext/stock/report/warehouse_wise_item_balance_age_and_value/warehouse_wise_item_balance_age_and_value.js,Filter Total Zero Qty,Φιλτράρισμα Σύνολο μηδενικών ποσοτήτων
DocType: Work Order,Plan material for sub-assemblies,Υλικό σχεδίου για τα υποσυστήματα
apps/erpnext/erpnext/manufacturing/doctype/bom/bom.py,BOM {0} must be active,Η Λ.Υ. {0} πρέπει να είναι ενεργή
apps/erpnext/erpnext/buying/doctype/purchase_order/purchase_order.py,No Items available for transfer,Δεν υπάρχουν διαθέσιμα στοιχεία για μεταφορά
DocType: Employee Boarding Activity,Activity Name,Όνομα δραστηριότητας
apps/erpnext/erpnext/accounts/doctype/purchase_invoice/purchase_invoice.js,Change Release Date,Αλλαγή ημερομηνίας κυκλοφορίας
apps/erpnext/erpnext/stock/doctype/stock_entry/stock_entry.py,Finished product quantity <b>{0}</b> and For Quantity <b>{1}</b> cannot be different,Η ποσότητα τελικού προϊόντος <b>{0}</b> και η ποσότητα <b>{1}</b> δεν μπορεί να είναι διαφορετική
apps/erpnext/erpnext/accounts/report/general_ledger/general_ledger.py,Closing (Opening + Total),Κλείσιμο (Άνοιγμα + Σύνολο)
DocType: Delivery Settings,Dispatch Notification Attachment,Προσάρτημα ειδοποίησης αποστολής
DocType: Payroll Entry,Number Of Employees,Αριθμός εργαζομένων
DocType: Journal Entry,Depreciation Entry,αποσβέσεις Έναρξη
apps/erpnext/erpnext/selling/report/sales_partner_commission_summary/sales_partner_commission_summary.py,Please select the document type first,Παρακαλώ επιλέξτε τον τύπο του εγγράφου πρώτα
apps/erpnext/erpnext/stock/doctype/item/item.py,You have to enable auto re-order in Stock Settings to maintain re-order levels.,Πρέπει να ενεργοποιήσετε την αυτόματη αναδιάταξη των ρυθμίσεων αποθεμάτων για να διατηρήσετε τα επίπεδα επαναφοράς.
apps/erpnext/erpnext/maintenance/doctype/maintenance_visit/maintenance_visit.py,Cancel Material Visits {0} before cancelling this Maintenance Visit,Ακύρωση επισκέψεων {0} πριν από την ακύρωση αυτής της επίσκεψης για συντήρηση
DocType: Pricing Rule,Rate or Discount,Τιμή ή Έκπτωση
apps/erpnext/erpnext/accounts/doctype/bank/bank_dashboard.py,Bank Details,Στοιχεία τράπεζας
DocType: Vital Signs,One Sided,Μία όψη
apps/erpnext/erpnext/stock/doctype/serial_no/serial_no.py,Serial No {0} does not belong to Item {1},Ο σειριακός αριθμός {0} δεν ανήκει στο είδος {1}
DocType: Purchase Order Item Supplied,Required Qty,Απαιτούμενη ποσότητα
DocType: Marketplace Settings,Custom Data,Προσαρμοσμένα δεδομένα
apps/erpnext/erpnext/stock/doctype/warehouse/warehouse.py,Warehouses with existing transaction can not be converted to ledger.,Αποθήκες με τα υπάρχοντα συναλλαγής δεν μπορεί να μετατραπεί σε καθολικό.
DocType: Service Day,Service Day,Ημέρα εξυπηρέτησης
apps/erpnext/erpnext/projects/doctype/project/project.py,Project Summary for {0},Περίληψη έργου για {0}
apps/erpnext/erpnext/hub_node/api.py,Unable to update remote activity,Δεν είναι δυνατή η ενημέρωση της απομακρυσμένης δραστηριότητας
apps/erpnext/erpnext/controllers/buying_controller.py,Serial no is mandatory for the item {0},Ο σειριακός αριθμός είναι υποχρεωτικός για το στοιχείο {0}
DocType: Bank Reconciliation,Total Amount,Συνολικό ποσό
apps/erpnext/erpnext/accounts/report/tds_computation_summary/tds_computation_summary.py,From Date and To Date lie in different Fiscal Year,Από την ημερομηνία και την ημερομηνία βρίσκονται σε διαφορετικό δημοσιονομικό έτος
apps/erpnext/erpnext/healthcare/utils.py,The Patient {0} do not have customer refrence to invoice,Ο Ασθενής {0} δεν έχει την παραπομπή του πελάτη στο τιμολόγιο
DocType: Quality Feedback Template,Quality Feedback Template,Πρότυπο σχολιασμού ποιότητας
apps/erpnext/erpnext/config/education.py,LMS Activity,Δραστηριότητα LMS
apps/erpnext/erpnext/setup/setup_wizard/data/industry_type.py,Internet Publishing,Δημοσίευση στο διαδίκτυο
apps/erpnext/erpnext/accounts/doctype/opening_invoice_creation_tool/opening_invoice_creation_tool.js,Creating {0} Invoice,Δημιουργία τιμολογίου {0}
DocType: Medical Code,Medical Code Standard,Πρότυπο Ιατρικού Κώδικα
DocType: Soil Texture,Clay Composition (%),Σύνθεση πηλού (%)
