DocType: Accounting Period,Period Name,Název období
apps/erpnext/erpnext/accounts/doctype/purchase_invoice/purchase_invoice_list.js,Temporarily on Hold,Dočasně pozdrženo
DocType: Account,Is Group,Is Group
apps/erpnext/erpnext/stock/doctype/delivery_note/delivery_note.py,Credit Note {0} has been created automatically,Kreditní poznámka {0} byla vytvořena automaticky
apps/erpnext/erpnext/selling/doctype/sales_order/sales_order.js,Request for Raw Materials,Žádost o suroviny
DocType: Stock Settings,Automatically Set Serial Nos based on FIFO,Automaticky nastavit sériových čísel na základě FIFO
DocType: Accounts Settings,Check Supplier Invoice Number Uniqueness,"Zkontrolujte, zda dodavatelské faktury Počet Jedinečnost"
apps/erpnext/erpnext/public/js/utils/customer_quick_entry.js,Primary Address Details,Údaje o primární adrese
apps/erpnext/erpnext/erpnext_integrations/doctype/plaid_settings/plaid_connector.py,Public token is missing for this bank,Pro tuto banku chybí veřejný token
DocType: Vehicle Service,Oil Change,Výměna oleje
DocType: Leave Encashment,Leave Balance,Nechat zůstatek
DocType: Asset Maintenance Log,Asset Maintenance Log,Protokol o údržbě aktiv
apps/erpnext/erpnext/stock/doctype/packing_slip/packing_slip.js,'To Case No.' cannot be less than 'From Case No.',"""DO Případu č.' nesmí být menší než ""Od Případu č.'"
DocType: Certification Application,Non Profit,Non Profit
DocType: Production Plan,Not Started,Nezahájeno
DocType: Lead,Channel Partner,Channel Partner
DocType: Account,Old Parent,Staré nadřazené
apps/erpnext/erpnext/education/doctype/program_enrollment_tool/program_enrollment_tool.py,Mandatory field - Academic Year,Povinná oblast - Akademický rok
apps/erpnext/erpnext/accounts/doctype/payment_entry/payment_entry.py,{0} {1} is not associated with {2} {3},{0} {1} není přidružen k {2} {3}
DocType: Opportunity,Converted By,Převedeno
apps/erpnext/erpnext/public/js/hub/components/ReviewArea.vue,You need to login as a Marketplace User before you can add any reviews.,"Než budete moci přidat recenze, musíte se přihlásit jako uživatel Marketplace."
apps/erpnext/erpnext/manufacturing/doctype/job_card/job_card.py,Row {0} : Operation is required against the raw material item {1},Řádek {0}: vyžaduje se operace proti položce suroviny {1}
apps/erpnext/erpnext/hr/doctype/expense_claim/expense_claim.py,Please set default payable account for the company {0},Nastavte prosím výchozí splatný účet společnosti {0}
apps/erpnext/erpnext/stock/doctype/stock_entry/stock_entry.py,Transaction not allowed against stopped Work Order {0},Transakce není povolena proti zastavenému pracovnímu příkazu {0}
DocType: Setup Progress Action,Min Doc Count,Minimální počet dokumentů
apps/erpnext/erpnext/config/manufacturing.py,Global settings for all manufacturing processes.,Globální nastavení pro všechny výrobní procesy.
DocType: Accounts Settings,Accounts Frozen Upto,Účty Frozen aľ
apps/erpnext/erpnext/erpnext_integrations/doctype/tally_migration/tally_migration.js,Process Day Book Data,Zpracovat data denní knihy
DocType: SMS Log,Sent On,Poslán na
apps/erpnext/erpnext/public/js/call_popup/call_popup.js,Incoming call from {0},Příchozí hovor od {0}
apps/erpnext/erpnext/stock/doctype/item/item.py,Attribute {0} selected multiple times in Attributes Table,Atribut {0} vybraný několikrát v atributech tabulce
DocType: HR Settings,Employee record is created using selected field. ,Záznam Zaměstnanec je vytvořena pomocí vybrané pole.
DocType: Sales Order,Not Applicable,Nehodí se
DocType: Amazon MWS Settings,UK,Spojené království
apps/erpnext/erpnext/accounts/doctype/opening_invoice_creation_tool/opening_invoice_creation_tool.py,Opening Invoice Item,Otevření položky faktury
DocType: Request for Quotation Item,Required Date,Požadovaná data
DocType: Accounts Settings,Billing Address,Fakturační adresa
DocType: Bank Statement Settings,Statement Headers,Záhlaví prohlášení
DocType: Travel Request,Costing,Rozpočet
DocType: Tax Rule,Billing County,fakturace County
DocType: Purchase Taxes and Charges,"If checked, the tax amount will be considered as already included in the Print Rate / Print Amount","Je-li zaškrtnuto, bude částka daně považovat za již zahrnuty v tisku Rate / Tisk Částka"
DocType: Request for Quotation,Message for Supplier,Zpráva pro dodavatele
DocType: BOM,Work Order,Zakázka
DocType: Sales Invoice,Total Qty,Celkem Množství
apps/erpnext/erpnext/education/report/student_and_guardian_contact_details/student_and_guardian_contact_details.py,Guardian2 Email ID,ID e-mailu Guardian2
DocType: Item,Show in Website (Variant),Show do webových stránek (Variant)
DocType: Employee,Health Concerns,Zdravotní Obavy
DocType: Payroll Entry,Select Payroll Period,Vyberte mzdové
DocType: Purchase Invoice,Unpaid,Nezaplacený
apps/erpnext/erpnext/stock/page/stock_balance/stock_balance.js,Reserved for sale,Vyhrazeno pro prodej
DocType: Packing Slip,From Package No.,Od č balíčku
apps/erpnext/erpnext/accounts/doctype/bank_reconciliation/bank_reconciliation.py,Row #{0}: Payment document is required to complete the transaction,Řádek # {0}: K dokončení transakce je vyžadován platební doklad
DocType: Item Attribute,To Range,K Rozsah
apps/erpnext/erpnext/accounts/doctype/account/chart_of_accounts/verified/standard_chart_of_accounts_with_account_number.py,Securities and Deposits,Cenné papíry a vklady
apps/erpnext/erpnext/stock/doctype/stock_settings/stock_settings.py,"Can't change valuation method, as there are transactions against some items which does not have it's own valuation method","Metoda oceňování nelze změnit, neboť existují transakce proti některým položkám, které nemají vlastní metodu oceňování"
DocType: Student Report Generation Tool,Attended by Parents,Zúčastnili se rodiče
apps/erpnext/erpnext/hr/doctype/shift_assignment/shift_assignment.py,Employee {0} has already applied for {1} on {2} : ,Zaměstnanec {0} již požádal o {1} dne {2}:
DocType: Inpatient Record,AB Positive,AB pozitivní
DocType: Job Opening,Description of a Job Opening,Popis jednoho volných pozic
apps/erpnext/erpnext/setup/doctype/email_digest/email_digest.py,Pending activities for today,Nevyřízené aktivity pro dnešek
DocType: Salary Structure,Salary Component for timesheet based payroll.,Plat komponent pro mzdy časového rozvrhu.
DocType: Driver,Applicable for external driver,Platí pro externí ovladač
DocType: Sales Order Item,Used for Production Plan,Používá se pro výrobní plán
DocType: BOM,Total Cost (Company Currency),Celkové náklady (měna společnosti)
DocType: Loan,Total Payment,Celková platba
apps/erpnext/erpnext/stock/doctype/stock_entry/stock_entry.py,Cannot cancel transaction for Completed Work Order.,Nelze zrušit transakci pro dokončenou pracovní objednávku.
DocType: Manufacturing Settings,Time Between Operations (in mins),Doba mezi operací (v min)
apps/erpnext/erpnext/selling/doctype/sales_order/sales_order.py,PO already created for all sales order items,PO již vytvořeno pro všechny položky prodejní objednávky
DocType: Healthcare Service Unit,Occupied,Obsazený
DocType: Clinical Procedure,Consumables,Spotřební materiál
apps/erpnext/erpnext/accounts/report/balance_sheet/balance_sheet.js,Include Default Book Entries,Zahrnout výchozí položky knihy
apps/erpnext/erpnext/stock/doctype/material_request/material_request.py,{0} {1} is cancelled so the action cannot be completed,"{0} {1} je zrušena, takže akce nemůže být dokončena"
apps/erpnext/erpnext/manufacturing/doctype/production_plan/production_plan.js,"Planned Qty: Quantity, for which, Work Order has been raised, but is pending to be manufactured.","Plánované množství: Množství, pro které byla zvýšena pracovní objednávka, ale čeká na výrobu."
DocType: Customer,Buyer of Goods and Services.,Kupující zboží a služeb.
apps/erpnext/erpnext/hr/doctype/employee_checkin/employee_checkin.py,'employee_field_value' and 'timestamp' are required.,jsou vyžadovány &#39;customer_field_value&#39; a &#39;timestamp&#39;.
DocType: Journal Entry,Accounts Payable,Účty za úplatu
apps/erpnext/erpnext/accounts/doctype/payment_request/payment_request.py,The amount of {0} set in this payment request is different from the calculated amount of all payment plans: {1}. Make sure this is correct before submitting the document.,"Část {0} nastavená v této žádosti o platbu se liší od vypočtené částky všech platebních plánů: {1}. Před odesláním dokumentu se ujistěte, že je to správné."
DocType: Patient,Allergies,Alergie
apps/erpnext/erpnext/manufacturing/doctype/bom_update_tool/bom_update_tool.py,The selected BOMs are not for the same item,Vybrané kusovníky nejsou stejné položky
apps/erpnext/erpnext/stock/doctype/item_variant_settings/item_variant_settings.py,Cannot set the field <b>{0}</b> for copying in variants,Nelze nastavit pole <b>{0}</b> pro kopírování ve variantách
apps/erpnext/erpnext/healthcare/doctype/clinical_procedure_template/clinical_procedure_template.js,Change Item Code,Změnit kód položky
DocType: Supplier Scorecard Standing,Notify Other,Upozornit ostatní
DocType: Vital Signs,Blood Pressure (systolic),Krevní tlak (systolický)
apps/erpnext/erpnext/controllers/buying_controller.py,{0} {1} is {2},{0} {1} je {2}
DocType: Item Price,Valid Upto,Valid aľ
DocType: Leave Type,Expire Carry Forwarded Leaves (Days),Vyprší doručené listy (dny)
DocType: Training Event,Workshop,Dílna
DocType: Supplier Scorecard Scoring Standing,Warn Purchase Orders,Upozornění na nákupní objednávky
apps/erpnext/erpnext/utilities/user_progress.py,List a few of your customers. They could be organizations or individuals.,Seznam několik svých zákazníků. Ty by mohly být organizace nebo jednotlivci.
DocType: Employee Tax Exemption Proof Submission,Rented From Date,Pronajato od data
apps/erpnext/erpnext/manufacturing/report/bom_stock_report/bom_stock_report.py,Enough Parts to Build,Dost Části vybudovat
apps/erpnext/erpnext/maintenance/doctype/maintenance_schedule/maintenance_schedule.js,Please save first,Nejprve prosím uložte
DocType: POS Profile User,POS Profile User,Uživatel profilu POS
apps/erpnext/erpnext/assets/doctype/asset/asset.py,Row {0}: Depreciation Start Date is required,Řádek {0}: Je vyžadován počáteční datum odpisování
DocType: Purchase Invoice Item,Service Start Date,Datum zahájení služby
DocType: Subscription Invoice,Subscription Invoice,Předplatné faktura
apps/erpnext/erpnext/accounts/doctype/account/chart_of_accounts/verified/standard_chart_of_accounts_with_account_number.py,Direct Income,Přímý příjmů
DocType: Patient Appointment,Date TIme,Čas schůzky
apps/erpnext/erpnext/accounts/report/general_ledger/general_ledger.py,"Can not filter based on Account, if grouped by Account","Nelze filtrovat na základě účtu, pokud seskupeny podle účtu"
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py,Administrative Officer,Správní ředitel
apps/erpnext/erpnext/education/doctype/student_group/student_group.py,Please select Course,Vyberte možnost Kurz
DocType: Codification Table,Codification Table,Kodifikační tabulka
DocType: Timesheet Detail,Hrs,hod
apps/erpnext/erpnext/manufacturing/page/bom_comparison_tool/bom_comparison_tool.js,Changes in {0},Změny v {0}
DocType: Employee Skill,Employee Skill,Dovednost zaměstnanců
apps/erpnext/erpnext/accounts/doctype/payment_reconciliation/payment_reconciliation.js,Difference Account,Rozdíl účtu
DocType: Pricing Rule,Discount on Other Item,Sleva na další položku
DocType: Purchase Invoice,Supplier GSTIN,Dodavatel GSTIN
apps/erpnext/erpnext/regional/doctype/gstr_3b_report/gstr_3b_report.js,View Form,Zobrazit formulář
DocType: Work Order,Additional Operating Cost,Další provozní náklady
DocType: Lab Test Template,Lab Routine,Lab Rutine
apps/erpnext/erpnext/setup/setup_wizard/data/industry_type.py,Cosmetics,Kosmetika
apps/erpnext/erpnext/assets/doctype/asset_maintenance_log/asset_maintenance_log.py,Please select Completion Date for Completed Asset Maintenance Log,Zvolte datum dokončení dokončeného protokolu údržby aktiv
apps/erpnext/erpnext/stock/doctype/material_request/material_request.py,{0} is not the default supplier for any items.,{0} není výchozím dodavatelem pro žádné položky.
apps/erpnext/erpnext/stock/doctype/item/item.py,"To merge, following properties must be same for both items","Chcete-li sloučit, tyto vlastnosti musí být stejné pro obě položky"
DocType: Supplier,Block Supplier,Zablokujte dodavatele
DocType: Shipping Rule,Net Weight,Hmotnost
DocType: Job Opening,Planned number of Positions,Plánovaný počet pozic
DocType: Employee,Emergency Phone,Nouzový telefon
apps/erpnext/erpnext/accounts/doctype/opening_invoice_creation_tool/opening_invoice_creation_tool.py,{0} {1} does not exist.,{0} {1} neexistuje.
apps/erpnext/erpnext/stock/doctype/item/item_dashboard.py,Buy,Koupit
,Serial No Warranty Expiry,Pořadové č záruční lhůty
DocType: Sales Invoice,Offline POS Name,Offline POS Name
DocType: Task,Dependencies,Závislosti
apps/erpnext/erpnext/utilities/user_progress.py,Student Application,Studentská aplikace
DocType: Bank Statement Transaction Payment Item,Payment Reference,Odkaz na platby
DocType: Supplier,Hold Type,Typ zadržení
apps/erpnext/erpnext/education/doctype/grading_scale/grading_scale.py,Please define grade for Threshold 0%,Zadejte prosím stupeň pro Threshold 0%
DocType: Bank Statement Transaction Payment Item,Bank Statement Transaction Payment Item,Položka platební transakce bankovního účtu
DocType: Sales Order,To Deliver,Dodat
DocType: Purchase Invoice Item,Item,Položka
apps/erpnext/erpnext/healthcare/setup.py,High Sensitivity,Vysoká citlivost
apps/erpnext/erpnext/config/non_profit.py,Volunteer Type information.,Informace o typu dobrovolníka.
DocType: Cash Flow Mapping Template,Cash Flow Mapping Template,Šablona mapování peněžních toků
DocType: Travel Request,Costing Details,Kalkulovat podrobnosti
apps/erpnext/erpnext/selling/report/sales_partner_transaction_summary/sales_partner_transaction_summary.js,Show Return Entries,Zobrazit položky návratu
apps/erpnext/erpnext/accounts/page/pos/pos.js,Serial no item cannot be a fraction,Sériové žádná položka nemůže být zlomkem
DocType: Journal Entry,Difference (Dr - Cr),Rozdíl (Dr - Cr)
DocType: Bank Guarantee,Providing,Poskytování
DocType: Account,Profit and Loss,Zisky a ztráty
DocType: Tally Migration,Tally Migration,Tally Migration
apps/erpnext/erpnext/healthcare/doctype/lab_test/lab_test.js,"Not permitted, configure Lab Test Template as required","Není povoleno, podle potřeby nastavte šablonu testování laboratoře"
DocType: Patient,Risk Factors,Rizikové faktory
DocType: Patient,Occupational Hazards and Environmental Factors,Pracovní nebezpečí a environmentální faktory
apps/erpnext/erpnext/stock/doctype/stock_entry/stock_entry.py,Stock Entries already created for Work Order ,Zápisy již vytvořené pro pracovní objednávku
apps/erpnext/erpnext/templates/pages/cart.html,See past orders,Zobrazit minulé objednávky
apps/erpnext/erpnext/public/js/hub/pages/Selling.vue,{0} conversations,{0} konverzací
DocType: Vital Signs,Respiratory rate,Dechová frekvence
apps/erpnext/erpnext/config/help.py,Managing Subcontracting,Správa Subdodávky
DocType: Vital Signs,Body Temperature,Tělesná teplota
DocType: Project,Project will be accessible on the website to these users,Projekt bude k dispozici na webových stránkách k těmto uživatelům
apps/erpnext/erpnext/stock/doctype/serial_no/serial_no.py,Cannot cancel {0} {1} because Serial No {2} does not belong to the warehouse {3},"Nelze zrušit {0} {1}, protože sériové číslo {2} nepatří do skladu {3}"
DocType: Detected Disease,Disease,Choroba
DocType: Company,Default Deferred Expense Account,Výchozí účet odložených výdajů
apps/erpnext/erpnext/config/projects.py,Define Project type.,Definujte typ projektu.
DocType: Supplier Scorecard,Weighting Function,Funkce vážení
DocType: Employee Tax Exemption Proof Submission,Total Actual Amount,Celková skutečná částka
DocType: Healthcare Practitioner,OP Consulting Charge,Konzultační poplatek OP
apps/erpnext/erpnext/utilities/user_progress.py,Setup your ,Nastavte si
DocType: Student Report Generation Tool,Show Marks,Zobrazit značky
DocType: Support Settings,Get Latest Query,Získejte nejnovější dotaz
DocType: Quotation,Rate at which Price list currency is converted to company's base currency,"Sazba, za kterou je ceníková měna převedena na základní měnu společnosti"
apps/erpnext/erpnext/setup/doctype/company/company.py,Account {0} does not belong to company: {1},Účet {0} nepatří k firmě: {1}
apps/erpnext/erpnext/setup/doctype/company/company.py,Abbreviation already used for another company,Zkratka již byla použita pro jinou společnost
DocType: Selling Settings,Default Customer Group,Výchozí Customer Group
apps/erpnext/erpnext/accounts/report/accounts_receivable/accounts_receivable.js,Payment Tems,Platební tems
DocType: Employee,IFSC Code,Kód IFSC
DocType: Global Defaults,"If disable, 'Rounded Total' field will not be visible in any transaction","Je-li zakázat, ""zaokrouhlí celková"" pole nebude viditelný v jakékoli transakce"
DocType: BOM,Operating Cost,Provozní náklady
DocType: Crop,Produced Items,Vyrobené položky
DocType: Bank Statement Transaction Entry,Match Transaction to Invoices,Shoda transakce na faktury
apps/erpnext/erpnext/erpnext_integrations/exotel_integration.py,Error in Exotel incoming call,Chyba při příchozím hovoru Exotel
DocType: Sales Order Item,Gross Profit,Hrubý Zisk
apps/erpnext/erpnext/accounts/doctype/purchase_invoice/purchase_invoice.js,Unblock Invoice,Odblokovat fakturu
apps/erpnext/erpnext/stock/doctype/item_attribute/item_attribute.py,Increment cannot be 0,Přírůstek nemůže být 0
DocType: Company,Delete Company Transactions,Smazat transakcí Company
DocType: Production Plan Item,Quantity and Description,Množství a popis
apps/erpnext/erpnext/accounts/doctype/payment_entry/payment_entry.py,Reference No and Reference Date is mandatory for Bank transaction,Referenční číslo a referenční datum je povinný pro bankovní transakce
DocType: Purchase Receipt,Add / Edit Taxes and Charges,Přidat / Upravit daní a poplatků
DocType: Payment Entry Reference,Supplier Invoice No,Dodavatelské faktury č
DocType: Territory,For reference,Pro srovnání
DocType: Healthcare Settings,Appointment Confirmation,Potvrzení jmenování
DocType: Inpatient Record,HLC-INP-.YYYY.-,HLC-INP-.RRRR.-
apps/erpnext/erpnext/stock/doctype/serial_no/serial_no.py,"Cannot delete Serial No {0}, as it is used in stock transactions","Nelze odstranit Pořadové číslo {0}, který se používá na skladě transakcích"
apps/erpnext/erpnext/accounts/report/trial_balance/trial_balance.py,Closing (Cr),Uzavření (Cr)
DocType: Purchase Invoice,Registered Composition,Registrované složení
apps/erpnext/erpnext/hr/notification/training_feedback/training_feedback.html,Hello,Ahoj
apps/erpnext/erpnext/stock/dashboard/item_dashboard.js,Move Item,Přemístit položku
DocType: Employee Incentive,Incentive Amount,Část pobídky
,Employee Leave Balance Summary,Shrnutí zůstatku zaměstnanců
DocType: Serial No,Warranty Period (Days),Záruční doba (dny)
apps/erpnext/erpnext/accounts/doctype/journal_entry/journal_entry.py,Total Credit/ Debit Amount should be same as linked Journal Entry,Celková částka Úvěr / Debit by měla být stejná jako propojený deník
DocType: Installation Note Item,Installation Note Item,Poznámka k instalaci bod
DocType: Production Plan Item,Pending Qty,Čekající Množství
DocType: Budget,Ignore,Ignorovat
apps/erpnext/erpnext/accounts/party.py,{0} {1} is not active,{0} {1} není aktivní
DocType: Woocommerce Settings,Freight and Forwarding Account,Účet přepravy a zasílání
apps/erpnext/erpnext/config/accounting.py,Setup cheque dimensions for printing,Zkontrolujte nastavení rozměry pro tisk
apps/erpnext/erpnext/hr/doctype/payroll_entry/payroll_entry.js,Create Salary Slips,Vytvoření platebních karet
DocType: Vital Signs,Bloated,Nafouklý
DocType: Salary Slip,Salary Slip Timesheet,Plat Slip časový rozvrh
apps/erpnext/erpnext/controllers/buying_controller.py,Supplier Warehouse mandatory for sub-contracted Purchase Receipt,Dodavatel Warehouse povinné pro subdodavatelskou doklad o zakoupení
DocType: Item Price,Valid From,Platnost od
apps/erpnext/erpnext/public/js/hub/components/ReviewArea.vue,Your rating: ,Vaše hodnocení:
DocType: Sales Invoice,Total Commission,Celkem Komise
DocType: Tax Withholding Account,Tax Withholding Account,Účet pro zadržení daně
DocType: Pricing Rule,Sales Partner,Sales Partner
apps/erpnext/erpnext/config/buying.py,All Supplier scorecards.,Všechna hodnocení dodavatelů.
DocType: Coupon Code,To be used to get discount,Slouží k získání slevy
DocType: Buying Settings,Purchase Receipt Required,Příjmka je vyžadována
DocType: Sales Invoice,Rail,Železnice
apps/erpnext/erpnext/buying/report/procurement_tracker/procurement_tracker.py,Actual Cost,Aktuální cena
DocType: Item,Website Image,Obrázek webové stránky
apps/erpnext/erpnext/stock/doctype/stock_entry/stock_entry.py,Target warehouse in row {0} must be same as Work Order,Cílový sklad v řádku {0} musí být stejný jako pracovní objednávka
apps/erpnext/erpnext/stock/doctype/item/item.py,Valuation Rate is mandatory if Opening Stock entered,"Cena je povinná, pokud je zadán počáteční stav zásob"
apps/erpnext/erpnext/accounts/doctype/payment_reconciliation/payment_reconciliation.py,No records found in the Invoice table,Nalezené v tabulce faktury Žádné záznamy
apps/erpnext/erpnext/accounts/doctype/payment_reconciliation/payment_reconciliation.js,Please select Company and Party Type first,Vyberte první společnost a Party Typ
apps/erpnext/erpnext/accounts/doctype/pos_profile/pos_profile.py,"Already set default in pos profile {0} for user {1}, kindly disabled default",Již nastavený výchozí profil {0} pro uživatele {1} je laskavě vypnut výchozí
apps/erpnext/erpnext/config/accounting.py,Financial / accounting year.,Finanční / Účetní rok.
apps/erpnext/erpnext/accounts/report/balance_sheet/balance_sheet.js,Accumulated Values,Neuhrazená Hodnoty
apps/erpnext/erpnext/stock/doctype/serial_no/serial_no.py,"Sorry, Serial Nos cannot be merged","Je nám líto, sériových čísel nelze sloučit"
DocType: Shopify Settings,Customer Group will set to selected group while syncing customers from Shopify,Zákaznická skupina nastaví vybranou skupinu při synchronizaci zákazníků se službou Shopify
apps/erpnext/erpnext/accounts/doctype/pos_profile/pos_profile.py,Territory is Required in POS Profile,Území je vyžadováno v POS profilu
DocType: Supplier,Prevent RFQs,Zabraňte RFQ
DocType: Hub User,Hub User,Uživatel Hubu
apps/erpnext/erpnext/hr/doctype/payroll_entry/payroll_entry.py,Salary Slip submitted for period from {0} to {1},Zápis o platu odeslán na období od {0} do {1}
apps/erpnext/erpnext/education/doctype/quiz/quiz.py,Passing Score value should be between 0 and 100,Hodnota úspěšného skóre by měla být mezi 0 a 100
DocType: Loyalty Point Entry Redemption,Redeemed Points,Vyčerpané body
,Lead Id,Id leadu
DocType: C-Form Invoice Detail,Grand Total,Celkem
DocType: Assessment Plan,Course,Chod
apps/erpnext/erpnext/accounts/report/tds_computation_summary/tds_computation_summary.py,Section Code,Kód oddílu
apps/erpnext/erpnext/stock/doctype/stock_reconciliation/stock_reconciliation.py,Valuation Rate required for Item {0} at row {1},Míra ocenění požadovaná pro položku {0} v řádku {1}
DocType: Timesheet,Payslip,výplatní páska
apps/erpnext/erpnext/accounts/doctype/promotional_scheme/promotional_scheme.py,Pricing Rule {0} is updated,Pravidlo pro stanovení cen {0} je aktualizováno
apps/erpnext/erpnext/hr/doctype/attendance_request/attendance_request.py,Half day date should be in between from date and to date,Denní datum by mělo být mezi dnem a dnem
DocType: POS Closing Voucher,Expense Amount,Výdaje
apps/erpnext/erpnext/public/js/pos/pos.html,Item Cart,Item košík
DocType: Quality Action,Resolution,Řešení
DocType: Employee,Personal Bio,Osobní bio
DocType: C-Form,IV,IV
apps/erpnext/erpnext/non_profit/report/expiring_memberships/expiring_memberships.py,Membership ID,Členství ID
apps/erpnext/erpnext/stock/doctype/stock_entry/stock_entry.js,Receive at Warehouse Entry,Příjem na vstupu do skladu
apps/erpnext/erpnext/templates/pages/material_request_info.html,Delivered: {0},Dodává: {0}
DocType: QuickBooks Migrator,Connected to QuickBooks,Připojeno k QuickBooks
apps/erpnext/erpnext/accounts/doctype/chart_of_accounts_importer/chart_of_accounts_importer.py,Please identify/create Account (Ledger) for type - {0},Určete / vytvořte účet (účetní kniha) pro typ - {0}
DocType: Bank Statement Transaction Entry,Payable Account,Splatnost účtu
apps/erpnext/erpnext/public/js/hub/pages/PublishedItems.vue,You haven\,Jsi neměl \
DocType: Payment Entry,Type of Payment,Typ platby
apps/erpnext/erpnext/hr/doctype/compensatory_leave_request/compensatory_leave_request.py,Half Day Date is mandatory,Poloviční den je povinný
DocType: Sales Order,Billing and Delivery Status,Fakturace a Delivery Status
DocType: Job Applicant,Resume Attachment,Resume Attachment
apps/erpnext/erpnext/selling/report/customer_acquisition_and_loyalty/customer_acquisition_and_loyalty.py,Repeat Customers,Opakujte zákazníci
DocType: Leave Control Panel,Allocate,Přidělit
apps/erpnext/erpnext/stock/doctype/item/item.js,Create Variant,Vytvořte variantu
DocType: Sales Invoice,Shipping Bill Date,Přepravní účet
DocType: Production Plan,Production Plan,Plán produkce
DocType: Opening Invoice Creation Tool,Opening Invoice Creation Tool,Otevření nástroje pro vytváření faktur
DocType: Salary Component,Round to the Nearest Integer,Zaokrouhlí na nejbližší celé číslo
DocType: Shopping Cart Settings,Allow items not in stock to be added to cart,"Povolit přidání zboží, které není na skladě, do košíku"
apps/erpnext/erpnext/stock/doctype/delivery_note/delivery_note.js,Sales Return,Sales Return
DocType: Stock Settings,Set Qty in Transactions based on Serial No Input,Nastavte počet transakcí na základě sériového č. Vstupu
,Total Stock Summary,Shrnutí souhrnného stavu
apps/erpnext/erpnext/hr/doctype/staffing_plan/staffing_plan.py,"You can only plan for upto {0} vacancies and budget {1} \
				for {2} as per staffing plan {3} for parent company {4}.",Můžete plánovat až {0} volných pracovních míst a rozpočet {1} \ za {2} podle personálního plánu {3} pro mateřskou společnost {4}.
DocType: Announcement,Posted By,Přidal
apps/erpnext/erpnext/controllers/stock_controller.py,Quality Inspection required for Item {0} to submit,Pro odeslání položky {0} je vyžadována kontrola kvality
DocType: Item,Delivered by Supplier (Drop Ship),Dodáváno dodavatelem (Drop Ship)
DocType: Healthcare Settings,Confirmation Message,Potvrzovací zpráva
apps/erpnext/erpnext/config/crm.py,Database of potential customers.,Databáze potenciálních zákazníků.
DocType: Authorization Rule,Customer or Item,Zákazník nebo položka
apps/erpnext/erpnext/config/crm.py,Customer database.,Databáze zákazníků.
DocType: Quotation,Quotation To,Nabídka k
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py,Middle Income,Středními příjmy
apps/erpnext/erpnext/accounts/report/trial_balance/trial_balance.py,Opening (Cr),Otvor (Cr)
apps/erpnext/erpnext/stock/doctype/item/item.py,Default Unit of Measure for Item {0} cannot be changed directly because you have already made some transaction(s) with another UOM. You will need to create a new Item to use a different Default UOM.,"Výchozí měrná jednotka bodu {0} nemůže být změněna přímo, protože jste už nějaké transakce (y) s jiným nerozpuštěných. Budete muset vytvořit novou položku použít jiný výchozí UOM."
DocType: Purchase Invoice,Overseas,Zámoří
apps/erpnext/erpnext/hr/doctype/expense_claim/expense_claim.js,Please set the Company,Nastavte společnost
DocType: Share Balance,Share Balance,Sázení podílů
DocType: Amazon MWS Settings,AWS Access Key ID,Identifikátor přístupového klíče AWS
DocType: Employee Tax Exemption Declaration,Monthly House Rent,Měsíční pronájem domu
apps/erpnext/erpnext/projects/doctype/task/task_list.js,Set as Completed,Nastavit jako dokončeno
DocType: Purchase Order Item,Billed Amt,Účtovaného Amt
DocType: Training Result Employee,Training Result Employee,Vzdělávací Výsledek
DocType: Warehouse,A logical Warehouse against which stock entries are made.,"Logická Warehouse na položky, které mohou být vyrobeny."
apps/erpnext/erpnext/hr/doctype/loan/loan.js,Principal Amount,jistina
DocType: Loan Application,Total Payable Interest,Celkem Splatné úroky
apps/erpnext/erpnext/education/doctype/fee_schedule/fee_schedule.js,Total Outstanding: {0},Celková nevyřízená hodnota: {0}
apps/erpnext/erpnext/public/js/call_popup/call_popup.js,Open Contact,Otevřete kontakt
DocType: Sales Invoice Timesheet,Sales Invoice Timesheet,Prodejní faktury časový rozvrh
apps/erpnext/erpnext/accounts/doctype/journal_entry/journal_entry.py,Reference No & Reference Date is required for {0},Referenční číslo a referenční datum je nutné pro {0}
apps/erpnext/erpnext/stock/doctype/stock_reconciliation/stock_reconciliation.py,Serial no(s) required for serialized item {0},Sériové číslo požadované pro sériovou položku {0}
DocType: Payroll Entry,Select Payment Account to make Bank Entry,"Vybrat Platební účet, aby Bank Entry"
apps/erpnext/erpnext/config/accounting.py,Opening and Closing,Otevření a zavření
DocType: Hotel Settings,Default Invoice Naming Series,Výchozí série pojmenování faktur
apps/erpnext/erpnext/utilities/activation.py,"Create Employee records to manage leaves, expense claims and payroll","Vytvořit Zaměstnanecké záznamy pro správu listy, prohlášení o výdajích a mezd"
apps/erpnext/erpnext/accounts/doctype/purchase_invoice/purchase_invoice.js,An error occurred during the update process,Během procesu aktualizace došlo k chybě
DocType: Restaurant Reservation,Restaurant Reservation,Rezervace restaurace
apps/erpnext/erpnext/public/js/hub/Sidebar.vue,Your Items,Vaše položky
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py,Proposal Writing,Návrh Psaní
DocType: Payment Entry Deduction,Payment Entry Deduction,Platba Vstup dedukce
DocType: Service Level Priority,Service Level Priority,Priorita úrovně služeb
