Pension Funds,年金基金
{0} for {1},{1}に対して{0}
For Quantity (Manufactured Qty) is mandatory,数量（製造数量）は必須です
"e.g. ""Primary School"" or ""University""",例：「小学校」または「大学」
Apply Multiple Pricing Rules,複数の価格設定ルールを適用する
Review Invitation Sent,招待状を送信しました
No of Months,月数
Serial Nos Required for Serialized Item {0},直列化品目{0}に必要なシリアル番号
Bill of Materials (BOM),部品表（BOM）
Allow Stale Exchange Rates,古い為替レートを許可する
Website Description,ウェブサイトの説明
Expense Details,経費の詳細
From Range has to be less than To Range,From RangeはTo Rangeより小さくなければなりません
Products to be shown on website homepage,ウェブサイトのホームページに表示される商品
Is Master Data Processed,マスタデータは処理されますか
Quantity  that must be bought or sold per UOM,UOMごとに売買しなければならない数量
Total Sales Amount (via Sales Order),総売上金額（受注による）
Box,ボックス
Default Cost Center,デフォルト原価センタ
Billed Amt,請求額
Please set default {0} in Company {1},会社{1}にデフォルト{0}を設定してください
Distance from left edge,左端からの距離
Item 4,項目4
"Advance paid against {0} {1} cannot be greater \
						than Grand Total {2}",{0} {1}に対する前払い額は、総計{2}よりも大きくすることはできません。
Income Account,収入アカウント
All Warehouses,すべての倉庫
Signee Details,署名者の詳細
Procurement,調達
Check this if you want to show in website,ウェブサイトに表示したい場合はこれをチェックしてください
Fiscal Year {0} not found,会計年度{0}が見つかりません
Bank Statement Settings,銀行取引明細書の設定
Score (0-5),スコア（0〜5）
Attribute {0} selected multiple times in Attributes Table,属性テーブルで属性{0}が複数回選択されています
Debit Note Issued,デビットノート発行
"Please select Item where ""Is Stock Item"" is ""No"" and ""Is Sales Item"" is ""Yes"" and there is no other Product Bundle",「在庫あり」が「いいえ」、「売上あり」が「あり」で、他に商品バンドルがない商品を選択してください。
Employee {0} of grade {1} have no default leave policy,グレード{1}の従業員{0}にはデフォルトの休暇ポリシーがありません
Leave Policy Detail,ポリシー詳細を残す
Warehouse not found in the system,システムに倉庫が見つかりません
OP Consulting Charge,OPコンサルティングチャージ
Measurable Goal,測定可能な目標
Invoices,請求書
Currency Exchange,為替
Fortnightly,隔週
Serial No {0} not in stock,シリアル番号{0}が在庫にありません
"Material Request not created, as quantity for Raw Materials already available.",原材料の数量はすでに利用可能であるため、資材要求は作成されませんでした。
Creation User,作成ユーザー
"Record of all communications of type email, phone, chat, visit, etc.",タイプEメール、電話、チャット、訪問などのすべての通信の記録
Asset Settings,資産設定
Worked On Holiday,休日に働いた
Either location or employee must be required,場所または従業員のどちらかが必要です
Item {0} is cancelled,アイテム{0}はキャンセルされました
Course End Date,コース終了日
Opportunity From field is mandatory,機会の開始フィールドは必須です
Warning: Leave application contains following block dates,警告：アプリケーションに次のブロック日が含まれているままにする
Preventive Maintenance,予防メンテナンス
Institute Abbreviation,研究所の略語
"Difference Account must be a Asset/Liability type account, since this Stock Reconciliation is an Opening Entry",この株式照合は期首入力なので、差異勘定は資産/負債タイプの勘定である必要があります。
Contract End Date must be greater than Date of Joining,契約終了日は入会日より後でなければなりません
Default Leave Policy,デフォルトの休暇ポリシー
Select Users,ユーザーを選択
Net Hour Rate,正味時間率
Age,年齢
Event Details,イベントの詳細
Accumulated Monthly,毎月の累積
Save the document first.,最初に文書を保存してください。
Update Cost,更新コスト
Fully Delivered,完全に配信された
Please enter company first,最初に会社を入力してください
Confirmed orders from Customers.,顧客からの注文確認
Dosage Strength,投与強度
Fill the form and save it,フォームに記入して保存する
Enrollment Details,登録の詳細
Subscription Invoice,購読請求書
Total Leaves Encashed,包まれた総葉
Verified By,によって検証済み
Get Invoices,請求書を入手する
Settled,定住
Re-open,再度開く
Closing Fiscal Year,決算期
Release Date,発売日
Advances,進歩
Specify conditions to calculate shipping amount,出荷金額を計算するための条件を指定する
Technology,技術
Can refer row only if the charge type is 'On Previous Row Amount' or 'Previous Row Total',請求タイプが「前の行の金額」または「前の行の合計」の場合にのみ行を参照できます。
"If checked, Total no. of Working Days will include holidays, and this will reduce the value of Salary Per Day",チェックした場合、合計数。就業日数には休日が含まれ、これにより1日当たりの給与の値が減少します。
Location Name,場所の名前
{0} {1}: Account {2} does not belong to Company {3},{0} {1}：アカウント{2}は会社{3}に属していません
Remaining Benefits (Yearly),残りの利益（年間）
Depreciation Start Date,減価償却開始日
Billing Rate,請求レート
Warning: Another {0} # {1} exists against stock entry {2},警告：在庫エントリ{2}に対して別の{0}＃{1}が存在します
Please enable Google Maps Settings to estimate and optimize routes,Googleマップ設定を有効にしてルートを推定および最適化してください
Max Score,最大得点
Repayment Start Date cannot be before Disbursement Date.,返済開始日を支払日より前にすることはできません。
Support Search Source,検索ソースのサポート
Financial Services,金融業務
Availability,可用性
Tree of Procedures,手順のツリー
Allow Item to be added multiple times in a transaction,取引に案件を複数回追加できるようにする
{0} {1} is not submitted,{0} {1}は送信されません
Backflush raw materials from work-in-progress warehouse,仕掛品倉庫からの原材料のバックフラッシュ
Maintenance Team Member,メンテナンスチームメンバー
The minimum distance between rows of plants for optimum growth,最適成長のための植物の列間の最小距離
Health Insurance Name,健康保険の名前
Stock Assets,ストック資産
Further cost centers can be made under Groups but entries can be made against non-Groups,追加の原価センタをグループの下に作成することができますが、非グループに対してエントリを作成することができます。
Upper Income,アッパーインカム
Discount Allowed Account,許可されたアカウントの割引
Restart Subscription,購読を再開する
You can not change rate if BOM mentioned agianst any item,BOMが任意の品目に言及している場合は、レートを変更することはできません。
Please login as another user to register on Marketplace,マーケットプレイスに登録するには、別のユーザーとしてログインしてください。
Insurance Details,保険の詳細
Past Due Date,期限切れ
"You can only plan for upto {0} vacancies and budget {1} \
				for {2} as per staffing plan {3} for parent company {4}.",親会社{4}の人員配置計画{3}に従って、{2}には最大{0}の空室と予算{1} \の計画のみできます。
No GST No. found for the Company.,会社のGST番号が見つかりません。
From Pin Code,PINコードから
Signed On,サインオン
{0} {1}: Accounting Entry for {2} can only be made in currency: {3},{0} {1}：{2}の会計入力は通貨でのみ行うことができます：{3}
Assessment Criteria,評価基準
Is Billable,請求可能です
User must always select,ユーザーは常に選択する必要があります
Compensatory leave request days not in valid holidays,有効休暇日ではない補償休暇申請日
Sum of points for all goals should be 100. It is {0},すべての目標の得点の合計は100になります。{0}です
Scrap Items,スクラップアイテム
Result Component,結果コンポーネント
Please mention Basic and HRA component in Company,会社の基本とHRAコンポーネントを言及してください
{0} does not belong to Company {1},{0}は会社{1}に属していません
Half Day Date,半日の日付
Billing Address Name,請求先住所名
GST Itemised Purchase Register,GST品目別購買登録
Alternate Item,代替アイテム
Name of Applicant,申請者の名前
Earned Leave,稼いだ休暇
June,六月
Row {0}: Cost center is required for an item {1},行{0}：原価センタは品目{1}に必要です
Can be approved by {0},{0}による承認が可能
Unit of Measure {0} has been entered more than once in Conversion Factor Table,換算係数テーブルに数量単位{0}が複数回入力されました
Net Rate (Company Currency),純レート（会社通貨）
All BOMs,すべてのBOM
Days for which Holidays are blocked for this department.,この部門の祝日がブロックされている日数。
"Cannot Submit, Employees left to mark attendance",提出不可、従業員は出席をマークするために残された
Quality Inspection Template,品質検査テンプレート
Result Datetime,結果の日時
Valuation,評価
Student Monthly Attendance Sheet,学生月次出席シート
Term End Date,期間終了日
Child Docname,子のDocname
Services,サービス内容
Cannot set quantity less than received quantity,入庫数量より少ない数量を設定することはできません
Supplier Part Number,サプライヤ部品番号
Standard Selling Rate,標準販売レート
Please set an active menu for Restaurant {0},レストラン{0}のアクティブメニューを設定してください
You need to be a user with System Manager and Item Manager roles to add users to Marketplace.,Marketplaceにユーザーを追加するには、System ManagerおよびItem Managerの役割を持つユーザーである必要があります。
Asset Finance Book,アセットファイナンスブック
Employee Transfer,従業員の異動
Sales Funnel,セールスファンネル
Water Analysis,水質分析
Accounts Frozen Upto,アカウントFrozen Upto
There is nothing to edit.,編集するものはありません。
"Operation {0} longer than any available working hours in workstation {1}, break down the operation into multiple operations",操作{0}はワークステーション{1}で使用可能な営業時間より長く、操作を複数の操作に分割してください
Do not update variants on save,保存時にバリアントを更新しない
Threshold,しきい値
% Amount Billed,請求金額の割合
Resolved By,によって解決された
"Add users to your organization, other than yourself.",自分以外の組織にユーザーを追加します。
Default Company,デフォルト会社
Cash Account will used for Sales Invoice creation,売上請求書の作成に使用される現金アカウント
Sales Order {0} is {1},受注{0}は{1}です
Delay in payment (Days),支払いの遅延（日数）
Enter depreciation details,減価償却詳細を入力
Expected Delivery Date should be after Sales Order Date,配達予定日は受注日より後でなければなりません
Invalid Attribute,無効な属性
Please select BOM against item {0},アイテム{0}に対してBOMを選択してください
Invoice Type,請求書タイプ
Price List Master,価格表マスター
Lost Opportunity,機会を失った
Maintenance Date,メンテナンス日
Afternoon,午後
Nutrition Values,栄養価
Presence of a fever (temp &gt; 38.5 °C/101.3 °F or sustained temp &gt; 38 °C/100.4 °F),発熱がある（38.5°Cを超える温度または38.4°Cを超える持続温度）
ITC Reversed,反転したITC
Collect Progress,進捗状況を収集する
Energy,エネルギー
Items To Be Requested,要求される品目
Ca/K,Ca / K
Work Order already created for all items with BOM,BOMのあるすべての明細に対して作業指示がすでに作成されている
Billed Amount,請求額
Current Odometer reading entered should be greater than initial Vehicle Odometer {0},入力された現在の走行距離計の読みは、最初の車両走行距離計{0}より大きくなければなりません
Employee Transfer Property,従業員譲渡プロパティ
Pending Activities,保留中のアクティビティ
List a few of your customers. They could be organizations or individuals.,あなたの顧客のいくつかを挙げなさい。彼らは組織や個人かもしれません。
Bank Account Info,銀行口座情報
Guardian1 Name,保護者1の名前
Variable Based On Taxable Salary,課税給与に基づく変数
Accounting Period,会計期間
Standard Working Hours,標準勤務時間
In Stock,在庫あり
Market Place Account Group,マーケットプレイスアカウントグループ
Before reconciliation,調整前
Fees Category,料金カテゴリ
%  Delivered,配信率
Redemption Cost Center,償還原価センタ
Respiratory rate,呼吸数
Mandatory field - Get Students From,必須フィールド - から学生を取得
Item Classification,品目分類
Is Existing Asset,既存の資産です
Cancel Material Visits {0} before cancelling this Maintenance Visit,このメンテナンス訪問をキャンセルする前に、重要な訪問をキャンセル{0}してください
Workstation Name,ワークステーション名
Row #{0}: Status must be {1} for Invoice Discounting {2},行＃{0}：請求書割引{2}のステータスは{1}でなければなりません
Material Transfer,品目転送
% Installed,インストール％
Agriculture Task,農業タスク
Dosage Form,剤形
Select the program first,最初にプログラムを選択
Expected Start Date,開始予定日
Share Transfer,シェア転送
Leave Management,管理を終了する
Total Payable Interest,支払利息合計
Current Address,現住所
Cannot {0} {1} {2} without any negative outstanding invoice,未払いの請求書がないと{0} {1} {2}はできません
Transaction not allowed against stopped Work Order {0},停止した作業指示{0}に対してトランザクションは許可されていません
Warehouses with existing transaction can not be converted to ledger.,既存の取引のある倉庫は元帳に変換できません。
Deduct Tax For Unsubmitted Tax Exemption Proof,未提出の免税証明のための控除税
Clearance Date updated,クリアランス日が更新されました
Delivery Stops,配送停止
Setup Progress,セットアップの進行状況
Ordered Items To Be Billed,請求対象の注文商品
To Amount,金額に
Is Return (Debit Note),返品です（借方注）
Getting Started,入門
Merge,マージ
Cannot change Fiscal Year Start Date and Fiscal Year End Date once the Fiscal Year is saved.,会計年度を保存した後は、会計年度の開始日と会計年度の終了日を変更することはできません。
Get Material Request,資料請求を受ける
Invoice No,請求書番号
Max Qty,最大数量
Row {0}: Allocated amount {1} must be less than or equals to Payment Entry amount {2},行{0}：割り当てられた金額{1}は、支払い入力金額{2}以下でなければなりません
Piecework,細工
Drop Ship,ドロップシップ
Hub User,ハブユーザー
No Result,検索結果はありません
Match Transaction to Invoices,取引と請求書の照合
Commission,手数料
Sales Order Item,受注明細
Actual Date,実績日
Maintenance start date can not be before delivery date for Serial No {0},メンテナンス開始日をシリアル番号{0}の納入日より前にすることはできません
Row {0}: Exchange Rate is mandatory,行{0}：為替レートは必須です
Select Supplier Address,サプライヤアドレスを選択
Please enter API Consumer Secret,APIコンシューマーシークレットを入力してください
Program Enrollment Fee,プログラム登録料
Warranty Expiry Date,保証期限
Hotel Room Pricing,ホテルの部屋の価格
"Outward taxable supplies(other than zero rated, nil rated and exempted",外部課税対象物（ゼロ評価、ゼロ評価および免除以外）
Resolution By,による解決
Customer Territory,顧客テリトリー
Last Communication,最後のコミュニケーション
Total Billed Hours,合計請求時間
Current invoice {0} is missing,現在の請求書{0}が見つかりません
Patient Registration,患者登録
Supplier Invoice No exists in Purchase Invoice {0},仕入先請求書が購入請求書に存在しません{0}
Workday,就業日
No Items added to cart,カートに商品はありません
Target Qty,目標数量
"To merge, following properties must be same for both items",結合するには、以下のプロパティは両方のアイテムで同じである必要があります
Drug Prescription,薬の処方
Buildings,ビル
Application Date,出願日
Result,結果
Leave Block List Allowed,ブロックリストを許可したままにする
Row # {0}: Rate cannot be greater than the rate used in {1} {2},行＃{0}：レートは{1} {2}で使用されているレートより大きくすることはできません
Blanket Order,一括注文
Attendance for employee {0} is already marked,従業員{0}の出席はすでにマークされています
Assessment Result record {0} already exists.,評価結果レコード{0}は既に存在します。
Rounding Adjustment,丸め調整
Quality Review Table,品質レビュー表
Membership Expiry Date,会員の有効期限
Expected Value After Useful Life,耐用年数後の期待値
November,11月
Rate of Interest,利率
Bank Statement Transaction Payment Item,銀行取引明細書トランザクション支払明細
Waitlisted,待機中
You need to enable Shopping Cart,ショッピングカートを有効にする必要があります
Leave Status Notification Template,ステータス通知テンプレートを残す
Leave Without Pay,無給休暇
Actual Qty (at source/target),実績数量（ソース/ターゲットで）
Tax ID,納税者番号
See past orders,過去の注文を見る
Current Qty,現在の数量
UOM Conversion factor is required in row {0},UOM変換係数が行{0}に必要です
"Tax detail table fetched from item master as a string and stored in this field.
Used for Taxes and Charges",明細マスターから文字列として取得され、このフィールドに格納されている税明細テーブル。税金に使用されます
Key Responsibility Area,主な責任分野
Sample Quantity,サンプル数量
Expense Claim,経費請求
Opening Date and Closing Date should be within same Fiscal Year,開始日と終了日は同じ会計年度内である必要があります
Silt Composition (%),シルト組成（％）
Tax Withholding Rate,源泉徴収税率
Default Tax Template,デフォルト税テンプレート
Transfer Asset,資産の振替
Opp/Lead %,Opp / Lead％
Please cancel Purchase Invoice {0} first,最初に購入請求書{0}をキャンセルしてください
Complete Job,完全な仕事
Select Possible Supplier,サプライヤー候補を選択
Customer Groups,顧客グループ
Hub Category,ハブカテゴリー
"Quotations are proposals, bids you have sent to your customers",見積もりは提案であり、あなたがあなたの顧客に送った入札です
Reading 5,読む5
Display Settings,ディスプレイの設定
Please set Number of Depreciations Booked,減価償却数を設定してください
What do you need help with?,あなたは何が必要ですか？
Printing Settings,印刷設定
Banking,銀行業
Purchase Invoice Advance,請求書アドバンスの購入
EDU-APP-.YYYY.-,EDU-APP-YYYY.-
PR Detail,PR詳細
Billing Address is same as Shipping Address,請求先住所は配送先住所と同じです
Cash,現金
Leave Policy,ポリシーを残す
Student Address,学生の住所
CESS Account,CESSアカウント
{0} {1}: Cost Center is required for 'Profit and Loss' account {2}. Please set up a default Cost Center for the Company.,{0} {1}：コストセンターは &#39;損益&#39;勘定{2}に必要です。会社のデフォルトのコストセンターを設定してください。
"While creating account for child Company {0}, parent account {1} not found. Please create the parent account in corresponding COA",子会社{0}のアカウントを作成中に、親アカウント{1}が見つかりませんでした。対応するCOAで親口座を作成してください
General Ledger,総勘定元帳
Reminder to update GSTIN Sent,GSTIN Sentの更新を通知する
Select Days,日数を選択
Next Contact By cannot be same as the Lead Email Address,Next Contact Byは、リードEメールアドレスと同じにすることはできません。
To Package No.,パッケージ番号へ
Course Name,コース名
Serial no is required for the asset {0},資産{0}にはシリアル番号が必要です
Maintenance,メンテナンス
Validate Selling Price for Item against Purchase Rate or Valuation Rate,購買レートまたは評価レートに対してアイテムの販売価格を検証する
The following Work Orders were created:,以下の作業指示書が作成されました。
MAT-DT-.YYYY.-,MAT-DT-YYYY-
IFSC Code,IFSCコード
Mode of Payment,支払い方法
Tax Amount After Discount Amount,割引金額後の税額
Get Suppliers By,サプライヤーを取得
"Row {0}: To set {1} periodicity, difference between from and to date \
						must be greater than or equal to {2}",行{0}：{1}の周期性を設定するには、開始日と終了日の差が{2}以上である必要があります
Valuation Rate,評価率
Default settings for Shopping Cart,ショッピングカートのデフォルト設定
Capacity Planning,キャパシティプランニング
Go to Instructors,インストラクターへ
Supplier &gt; Supplier Type,サプライヤー&gt;サプライヤーの種類
Projects,プロジェクト
Barcode Type,バーコードタイプ
Incentive Amount,インセンティブ額
"To set this Fiscal Year as Default, click on 'Set as Default'",この会計年度をデフォルトに設定するには、[デフォルトに設定]をクリックします。
II,II
From Time,時間から
Variant Details Report,バリアント詳細レポート
For Buying,購入する
Slots for {0} are not added to the schedule,{0}のスロットはスケジュールに追加されません
Target Distribution,目標配分
Staffing Plan Details,人員配置計画の詳細
Account {0} is invalid. Account Currency must be {1},アカウント{0}は無効です。アカウントの通貨は{1}である必要があります
Rule Description,ルール説明
Total Estimated Distance,推定総距離
Lost Reason,失われた理由
Make Depreciation Entry,減価償却入力
Serial nos {0} does not belongs to the location {1},シリアル番号{0}はロケーション{1}に属していません
Role Allowed to Set Frozen Accounts & Edit Frozen Entries,凍結アカウントの設定および凍結エントリの編集を許可されたロール
Health Concerns,健康への懸念
Company Info,会社情報
Activity Cost,活動コスト
Payment Order,支払い注文
Pricing,価格設定
Item Delivery Date,商品の配達日
Warehouse and Reference,倉庫と参照
Account with child nodes cannot be converted to ledger,子ノードを持つアカウントは元帳に変換できません
Clay Composition (%),粘土組成（％）
BOM No. for a Finished Good Item,完成品のBOM番号
User Remark,ユーザーコメント
Your order is out for delivery!,あなたの注文は配達のために出ています！
"Payment Type must be one of Receive, Pay and Internal Transfer",支払いタイプは、受け取り、支払い、および内部振替のいずれかでなければなりません
Payroll Settings,給与設定
GST HSN Code,GST HSNコード
Period Closing Voucher,期間締め券
Guardian2 Name,保護者2の名前
Please enter Expense Account,経費アカウントを入力してください
Resignation Letter Date,辞任書の発行日
Sandy Clay,サンディクレイ
Attendance To Date,今日までの出席
Loan Start Date,ローン開始日
Consumable Cost,消耗品コスト
Encashment,囲い
Income From Other Sources,他の収入源からの収入
Produced Items,生産アイテム
Approval Status must be 'Approved' or 'Rejected',承認ステータスは &#39;Approved&#39;または &#39;Rejected&#39;でなければなりません
View Now,今すぐ見る
Valid Upto,有効期限
Reference Doctype must be one of {0},参照Doctypeは{0}のいずれかでなければなりません
Transaction Currency,取引通貨
Repayment Schedule,返済スケジュール
Create Sample Retention Stock Entry,サンプル保存在庫エントリの作成
Set as Open,オープンに設定
Requested Qty,要求数量
Apply Discount On,割引を適用
Reserved for sub contracting,外注用に予約済み
Item variant {0} exists with same attributes,同じ属性を持つアイテムバリアント{0}が存在します
Membership Type,会員タイプ
Will show the student as Present in Student Monthly Attendance Report,学生を毎月の出席レポートに表示します。
Minimum Lead Age (Days),最低リード年齢（日数）
Delivery Note Series,納品書シリーズ
Mandatory field - Academic Year,必須フィールド - 学年
Fuel Price,燃料価格
Mode of Travel,旅行モード
Special Test Items,特別テスト項目
Edit Posting Date and Time,投稿日時の編集
Not Billed,未請求
Employee Transfer Detail,従業員の異動詳細
Task Completion,タスク完了
Webhook ID,ウェブフックID
Travel Expenses,旅費
Future dates not allowed,将来の日付は許可されていません
Varaiance ,バラエンス
Row {0}: Please set the Mode of Payment in Payment Schedule,行{0}：支払いスケジュールに支払い方法を設定してください
Academic Term: ,学術用語：
Please select Apply Discount On,[割引を適用]を選択してください
Row # {0}: ,行番号{0}：
Total Payments,総支払い
Please enter Account for Change Amount,変更額のアカウントを入力してください
Tax Withholding Account,源泉徴収勘定
Stock Received But Not Billed,入庫したが未請求の在庫
Please add the account to root level Company - %s,アカウントをルートレベルCompany  - ％sに追加してください
Collected By,収集者
Notify by Email on creation of automatic Material Request,自動資料請求の作成についてEメールで通知
Downtime,ダウンタイム
Cost Center Number,原価センタ番号
Applicable for external driver,外的な運転者のために適当
Start on,始めて
Payment Due Date,支払期限
"If this item has variants, then it cannot be selected in sales orders etc.",この明細にバリアントがある場合、受注明細などで選択することはできません。
Following course schedules were created,以下のコーススケジュールが作成されました
Timesheet created:,タイムシートが作成されました：
Open BOM {0},BOMを開く{0}
Transfered,転送済み
Credit To account must be a Payable account,貸方勘定科目は買掛金勘定科目である必要があります
Item Attribute,アイテム属性
Goal and Procedure,目標と手順
Frequency of Depreciation (Months),減価償却の頻度（月）
Real Estate,不動産
Parents Teacher Meeting Attendance,保護者の方々への出席
Employee Grade,従業員グレード
"Total {0} for all items is zero, may be you should change 'Distribute Charges Based On'",すべての商品の合計{0}がゼロです、 &#39;に基づいて料金を分配&#39;を変更する必要があります
Time Sheet,タイムシート
Late Checkin,レイトチェックイン
Costing and Billing,原価計算と請求
Total Outgoing,総発信
A Default Service Level Agreement already exists.,デフォルトのサービスレベル契約がすでに存在します。
If more than one package of the same type (for print),同じ種類のパッケージが複数ある場合（印刷用）
Please select Company and Posting Date to getting entries,エントリを取得するには、会社名と転記日を選択してください
Default Currency,デフォルト通貨
Packing List,包装内容明細書
Secretary,秘書
Gluten Free,無グルテンの
Hub Node,ハブノード
Employee ID,従業員ID
Salary Structure Assignment,給与構造の割り当て
POS Closing Voucher Taxes,POSクローズ伝票税
Action Initialised,初期化されたアクション
Applicable for Users,ユーザーに適用
Exam,試験
Incorrect number of General Ledger Entries found. You might have selected a wrong Account in the transaction.,総勘定元帳エントリの数が正しくありません。取引で間違った口座を選択した可能性があります。
Sales Pipeline,販売パイプライン
Leaderboard,リーダーボード
Inter Company Account,企業間アカウント
Closed order cannot be cancelled. Unclose to cancel.,クローズオーダーはキャンセルできません。キャンセルを取り消します。
{0} {1} does not exist,{0} {1}は存在しません
Planned number of Positions,予定ポジション数
Maintenance Status has to be Cancelled or Completed to Submit,送信するには、メンテナンスステータスをキャンセルまたは完了する必要があります。
Please select customer,顧客を選択してください
Round Off,四捨五入
Conditions will be applied on all the selected items combined. ,選択したすべての項目を組み合わせて条件が適用されます。
Configure,設定する
Capacity,容量
Installed Qty,インストール済み数量
Batch {0} of Item {1} is disabled.,アイテム{1}のバッチ{0}は無効です。
Hotel Reservation User,ホテル予約ユーザー
Workday has been repeated twice,勤務日が2回繰り返されました
Item Group not mentioned in item master for item {0},品目グループが品目{0}の品目マスターに記載されていません
Name error: {0},名前エラー：{0}
Territory is Required in POS Profile,地域はPOSプロファイルで必要です
Service End Date,サービス終了日
Quotation,引用
Exchange Rate must be same as {0} {1} ({2}),為替レートは{0} {1}と同じである必要があります（{2}）
Holiday List (ignored during SLA calculation),休日リスト（SLA計算中は無視されます）
Student Admission Program,学生入学プログラム
Account {0}: Parent account {1} can not be a ledger,アカウント{0}：親アカウント{1}は元帳になれません
% of materials billed against this Sales Order,この受注に対して請求された品目の割合
The payment gateway account in plan {0} is different from the payment gateway account in this payment request,プラン{0}のペイメントゲートウェイアカウントは、この支払い要求のペイメントゲートウェイアカウントと異なります
Subcontracted Item,外注品目
Loan Start Date and Loan Period are mandatory to save the Invoice Discounting,請求書割引を保存するには、ローン開始日とローン期間が必須です。
Default receivable accounts to be used if not set in Patient to book Appointment charges.,予約手数料を予約するために患者に設定されていない場合に使用されるデフォルトの売掛金勘定科目。
Students HTML,学生のHTML
Student Guardian,学生の保護者
GoCardless Settings,GoCardlessの設定
Transport Receipt Date,輸送受領日
Show Opening Entries,オープニングエントリーを表示する
Heart Rate / Pulse,心拍数/パルス
All Assessment Groups,すべての評価グループ
Asset Name,資産名
"There can only be one Shipping Rule Condition with 0 or blank value for ""To Value""",「To Value」に0または空白の値を持つ出荷ルール条件は1つだけです。
Optimizing routes.,ルートを最適化する
Shopify Tax/Shipping Title,税/配送タイトルの買い物
To date can not be equal or less than from date,終了日は開始日と同じかそれより短くすることはできません
You added ,あなたが追加しました
Total Score,合計スコア
"If you have created a standard template in Sales Taxes and Charges Template, select one and click on the button below.",売上税と請求テンプレートで標準テンプレートを作成した場合は、それを選択して下のボタンをクリックしてください。
Cost Center,コストセンター
Total allocated percentage for sales team should be 100,営業チームに割り当てられた割合の合計は100
"Cannot deliver Serial No {0} of item {1} as it is reserved \
											to fullfill Sales Order {2}",販売注文{2}をフルフィルするために予約されているため、アイテム{1}のシリアル番号{0}を配信できません
Payment Entry has been modified after you pulled it. Please pull it again.,あなたがそれを引っ張った後、支払い入力は修正されました。もう一度引っ張ってください。
Bio / Cover Letter,バイオ/カバーレター
Stock Value Difference,株価の違い
Academic Year Name,学年名
Bank Accounts,銀行口座
The Payment Term at row {0} is possibly a duplicate.,行{0}の支払条件が重複している可能性があります。
Unblock Invoice,請求書のブロックを解除
Percentage,割合
Sensitivity Test Items,感度テスト項目
To make Customer based incentive schemes.,顧客ベースのインセンティブスキームを作ります。
Purchase Register,購入登録
Schedule Date,スケジュール日
Package Weight Details,パッケージ重量の詳細
Job Opening,就職口
Actual Cost,実費
Total advance ({0}) against Order {1} cannot be greater than the Grand Total ({2}),オーダー{1}に対する合計前払い額（{0}）は、合計合計（{2}）より大きくなることはできません
Item Variants updated,アイテムバリアントの更新
Batch Number Series,ロット番号シリーズ
Open Projects,オープンプロジェクト
Import Delivery Notes from Shopify on Shipment,出荷時にShopifyから納品書をインポートする
Token Endpoint,トークンエンドポイント
List a few of your suppliers. They could be organizations or individuals.,あなたの供給業者のいくつかを挙げなさい。彼らは組織や個人かもしれません。
MWS Credentials,MWSクレデンシャル
Shopping Cart Settings,ショッピングカートの設定
Enable Deferred Revenue,繰延収益を有効にする
Managing Projects,プロジェクト管理
Message Sent,送信メッセージ
Same item has been entered multiple times. {0},同じ項目が複数回入力されています。 {0}
Margin,マージン
{0} '{1}' not in Fiscal Year {2},{0} &#39;{1}&#39;は会計年度{2}にありません
Fee Structure,料金体系
Variant Attributes,バリアント属性
Confirmation Date,確認日
Please set a default Holiday List for Employee {0} or Company {1},従業員{0}または会社{1}のデフォルトの休日リストを設定してください
Job Applicant Source,求職者ソース
Opening Invoice Creation Tool,請求書作成ツールを開く
Account {0} does not exist,アカウント{0}は存在しません
Ignore Existing Ordered Qty,既存の注文数量を無視する
Lead Time Date,リードタイム日
Accounts Receivable Summary,売掛金サマリー
Available-for-use Date,利用可能日
Employee record is created using selected field. ,選択したフィールドを使用して従業員レコードが作成されます。
"Row #{0}: Reference Document Type must be one of Purchase Order, Purchase Invoice or Journal Entry",行＃{0}：参照伝票タイプは、購買発注、購買請求書、または仕訳伝票のいずれかでなければなりません
Type of Payment,支払い方法
Leave the field empty to make purchase orders for all suppliers,すべてのサプライヤの発注書を作成するには、このフィールドを空白のままにします。
Item {0} ignored since it is not a stock item,在庫商品ではないため、商品{0}は無視されました
"""Customer Provided Item"" cannot have Valuation Rate",「得意先提供品目」には評価率を指定できません
Clay,粘土
"{0} currently has a {1} Supplier Scorecard standing, and Purchase Orders to this supplier should be issued with caution.",{0}は現在{1}サプライヤスコアカードを保持しています。このサプライヤへの発注書は慎重に発行する必要があります。
"If item is a variant of another item then description, image, pricing, taxes etc will be set from the template unless explicitly specified",アイテムが他のアイテムの変形であるならば、説明、イメージ、価格設定、税金などは明示的に指定されない限りテンプレートから設定されます
Total Target,総ターゲット
Longitude,経度
Determine Address Tax Category From,住所税カテゴリの決定元
Identifying Decision Makers,意思決定者の特定
Get Invocies,呼び出しを受ける
Is Day Book Data Imported,Day Bookのデータがインポートされたか
Sales Partners Commission,セールスパートナーズコミッション
Legal,法的
Required by Date,日付で必要
Quiz Result,クイズ結果
Close Loan,ローンを閉じる
From Customer,お客様から
Minimum Invoice Amount,最小請求額
Related,関連する
Description/Strength,説明/強さ
Work Order cannot be raised against a Item Template,作業指示は、品目テンプレートに対して上げることはできません。
Salary,給料
Set Status,ステータス設定
Inward supplies from ISD,ISDからの補給品
Vehicle Expenses,車両費用
Please set 'Apply Additional Discount On',「追加割引を適用」を設定してください。
Closed Document,クローズドドキュメント
