Pension Funds,Fundusze emerytalne
Work Order already created for all items with BOM,Zlecenie robocze zostało już utworzone dla wszystkich przedmiotów z BOM
Billed Amount,Kwota zafakturowana
Current Odometer reading entered should be greater than initial Vehicle Odometer {0},Aktualny odczyt licznika powinien być większy niż początkowy licznik kilometrów {0}
Employee Transfer Property,Przeniesienie własności pracownika
Pending Activities,Oczekujące działania
List a few of your customers. They could be organizations or individuals.,Wymień kilku swoich klientów. Mogą to być organizacje lub osoby fizyczne.
Bank Account Info,Informacje o koncie bankowym
Guardian1 Name,Nazwa strażnika1
Variable Based On Taxable Salary,Zmienna na podstawie wynagrodzenia podlegającego opodatkowaniu
Accounting Period,Okres księgowy
Standard Working Hours,Standardowe godziny pracy
In Stock,W magazynie
Market Place Account Group,Grupa Konta Rynkowego
Before reconciliation,Przed pojednaniem
Fees Category,Kategoria opłat
%  Delivered,% Dostarczone
Redemption Cost Center,Centrum kosztów wykupu
Respiratory rate,Częstość oddechów
Mandatory field - Get Students From,Pole obowiązkowe - Get Students From
Item Classification,Klasyfikacja przedmiotu
Is Existing Asset,Czy istniejący zasób
Cancel Material Visits {0} before cancelling this Maintenance Visit,Anuluj wizyty materiałowe {0} przed anulowaniem wizyty konserwacyjnej
Workstation Name,Nazwa stacji roboczej
Row #{0}: Status must be {1} for Invoice Discounting {2},Wiersz # {0}: status musi być {1} dla rabatu na faktury {2}
Material Transfer,Transfer materiałów
% Installed,% Zainstalowany
Agriculture Task,Zadanie rolnicze
Dosage Form,Forma dawkowania
Select the program first,Najpierw wybierz program
Expected Start Date,Oczekiwana data rozpoczęcia
Share Transfer,Udostępnij transfer
Leave Management,Opuść zarządzanie
Total Payable Interest,Łączne odsetki do zapłaty
Current Address,Aktualny adres
Cannot {0} {1} {2} without any negative outstanding invoice,Nie można {0} {1} {2} bez żadnych ujemnych zaległych faktur
Transaction not allowed against stopped Work Order {0},Transakcja nie jest dozwolona dla zatrzymanego zlecenia pracy {0}
Warehouses with existing transaction can not be converted to ledger.,Magazyny z istniejącą transakcją nie mogą być konwertowane na księgę główną.
Deduct Tax For Unsubmitted Tax Exemption Proof,Odliczenie podatku za niepublikowany dowód zwolnienia z podatku
Clearance Date updated,Data aktualizacji została zaktualizowana
Delivery Stops,Zatrzymania dostawy
Setup Progress,Postęp instalacji
Ordered Items To Be Billed,Zamówione przedmioty do wystawienia rachunku
To Amount,Do kwoty
Is Return (Debit Note),Czy powrót (nota debetowa)
Getting Started,Rozpoczęcie pracy
Merge,Łączyć
Cannot change Fiscal Year Start Date and Fiscal Year End Date once the Fiscal Year is saved.,Nie można zmienić daty rozpoczęcia roku obrachunkowego i daty zakończenia roku obrachunkowego po zapisaniu roku obrachunkowego.
Get Material Request,Uzyskaj żądanie materiałowe
Invoice No,Faktury nr
Max Qty,Maks. Ilość
Row {0}: Allocated amount {1} must be less than or equals to Payment Entry amount {2},Wiersz {0}: przydzielona kwota {1} musi być mniejsza lub równa kwocie wpisu płatności {2}
Piecework,Praca akordowa
Drop Ship,Drop Ship
Hub User,Użytkownik Hub
No Result,Brak wyników
Match Transaction to Invoices,Dopasuj transakcję do faktur
Commission,Komisja
Sales Order Item,Pozycja zamówienia sprzedaży
Actual Date,Aktualna data
Maintenance start date can not be before delivery date for Serial No {0},Data rozpoczęcia konserwacji nie może być wcześniejsza niż data dostawy dla numeru seryjnego {0}
Row {0}: Exchange Rate is mandatory,Wiersz {0}: Kurs wymiany jest obowiązkowy
Select Supplier Address,Wybierz adres dostawcy
Please enter API Consumer Secret,Wprowadź tajemnicę klienta API
Program Enrollment Fee,Opłata za rejestrację programu
Warranty Expiry Date,Data wygaśnięcia gwarancji
Hotel Room Pricing,Ceny pokoi hotelowych
"Outward taxable supplies(other than zero rated, nil rated and exempted","Zewnętrzne dostawy podlegające opodatkowaniu (inne niż zerowe, zerowe i wyłączone"
Resolution By,Rozdzielczość wg
Customer Territory,Terytorium klienta
Last Communication,Ostatni komunikat
Total Billed Hours,Całkowite godziny rozliczeniowe
Current invoice {0} is missing,Brak bieżącej faktury {0}
Patient Registration,Rejestracja pacjenta
Supplier Invoice No exists in Purchase Invoice {0},Faktura dostawcy Nie istnieje w fakturze zakupu {0}
Workday,Dzień roboczy
No Items added to cart,Brak elementów dodanych do koszyka
Target Qty,Ilość docelowa
"To merge, following properties must be same for both items","Aby scalić, następujące właściwości muszą być takie same dla obu elementów"
Drug Prescription,Lek na receptę
Buildings,Budynki
Application Date,Data złożenia wniosku
Result,Wynik
Leave Block List Allowed,Pozostaw listę dozwolonych bloków
Row # {0}: Rate cannot be greater than the rate used in {1} {2},Wiersz # {0}: stawka nie może być większa niż stawka zastosowana w {1} {2}
Blanket Order,Formularz zamówienia
Attendance for employee {0} is already marked,Obecność pracownika {0} jest już zaznaczona
Assessment Result record {0} already exists.,Rekord wyniku oceny {0} już istnieje.
Rounding Adjustment,Dostosowanie zaokrąglania
Quality Review Table,Tabela przeglądu jakości
Membership Expiry Date,Data wygaśnięcia członkostwa
Expected Value After Useful Life,Oczekiwana wartość po użytecznym życiu
November,listopad
Rate of Interest,Stopa procentowa
Bank Statement Transaction Payment Item,Wyciąg z wyciągu bankowego
Waitlisted,Oczekiwana
You need to enable Shopping Cart,Musisz włączyć Koszyk
Leave Status Notification Template,Pozostaw szablon powiadomienia o statusie
Leave Without Pay,Wyjść bez płacenia
Actual Qty (at source/target),Rzeczywista ilość (u źródła / celu)
Tax ID,Identyfikator podatkowy
See past orders,Zobacz poprzednie zamówienia
Current Qty,Aktualna ilość
UOM Conversion factor is required in row {0},Współczynnik konwersji UOM jest wymagany w wierszu {0}
"Tax detail table fetched from item master as a string and stored in this field.
Used for Taxes and Charges",Tabela szczegółów podatkowych pobrana z elementu głównego jako ciąg i przechowywana w tym polu. Używane do podatków i opłat
Key Responsibility Area,Obszar kluczowej odpowiedzialności
Sample Quantity,Ilość próbek
Expense Claim,Zwrot kosztów
Opening Date and Closing Date should be within same Fiscal Year,Data otwarcia i data zamknięcia powinny być w tym samym roku podatkowym
Silt Composition (%),Skład iłu (%)
Tax Withholding Rate,Stopa potrącenia podatku
Default Tax Template,Domyślny szablon podatku
Transfer Asset,Przeniesienie aktywów
Opp/Lead %,% Op / lead
Please cancel Purchase Invoice {0} first,Najpierw anuluj fakturę zakupu {0}
Complete Job,Kompletna praca
Select Possible Supplier,Wybierz Możliwy dostawca
Customer Groups,Grupy klientów
Hub Category,Kategoria koncentratora
"Quotations are proposals, bids you have sent to your customers","Oferty to propozycje, oferty wysłane do klientów"
Reading 5,Czytanie 5
Display Settings,Ustawienia wyświetlania
Please set Number of Depreciations Booked,Ustaw liczbę zarezerwowanych amortyzacji
What do you need help with?,Z czym potrzebujesz pomocy?
Printing Settings,Ustawienia drukowania
Banking,Bankowość
Purchase Invoice Advance,Zaliczka na fakturę zakupu
EDU-APP-.YYYY.-,EDU-APP-.YYYY.-
PR Detail,Szczegóły PR
Billing Address is same as Shipping Address,"Adres rozliczeniowy jest taki sam, jak adres wysyłki"
Cash,Gotówkowy
Leave Policy,Opuść politykę
Student Address,Adres studenta
CESS Account,Konto CESS
{0} {1}: Cost Center is required for 'Profit and Loss' account {2}. Please set up a default Cost Center for the Company.,{0} {1}: Miejsce powstawania kosztów jest wymagane dla konta „Zysk i strata” {2}. Ustaw domyślne miejsce powstawania kosztów dla firmy.
"While creating account for child Company {0}, parent account {1} not found. Please create the parent account in corresponding COA",Podczas tworzenia konta dla firmy podrzędnej {0} nie znaleziono konta nadrzędnego {1}. Utwórz konto nadrzędne w odpowiednim COA
General Ledger,Księga Główna
Reminder to update GSTIN Sent,Przypomnienie o aktualizacji GSTIN Wysłane
Select Days,Wybierz dni
Next Contact By cannot be same as the Lead Email Address,Następny kontakt nie może być taki sam jak główny adres e-mail
To Package No.,Do pakietu nr
Course Name,Nazwa kursu
Serial no is required for the asset {0},Numer seryjny jest wymagany dla zasobu {0}
Maintenance,Konserwacja
Validate Selling Price for Item against Purchase Rate or Valuation Rate,Zatwierdź cenę sprzedaży dla przedmiotu w stosunku do ceny zakupu lub stopy wyceny
The following Work Orders were created:,Utworzono następujące zlecenia pracy:
MAT-DT-.YYYY.-,MAT-DT-.YYYY.-
IFSC Code,Kod IFSC
Mode of Payment,Sposób płatności
Tax Amount After Discount Amount,Kwota podatku po kwocie rabatu
Get Suppliers By,Uzyskaj dostawców przez
"Row {0}: To set {1} periodicity, difference between from and to date \
						must be greater than or equal to {2}","Wiersz {0}: aby ustawić okresowość {1}, różnica między datą a datą musi być większa lub równa {2}"
Valuation Rate,Kurs wyceny
Default settings for Shopping Cart,Domyślne ustawienia koszyka
Capacity Planning,Planowanie wydajności
Go to Instructors,Idź do Instruktorów
Supplier &gt; Supplier Type,Dostawca&gt; Typ dostawcy
Projects,Projektowanie
Barcode Type,Typ kodu kreskowego
Incentive Amount,Kwota motywacyjna
"To set this Fiscal Year as Default, click on 'Set as Default'","Aby ustawić ten rok obrachunkowy jako domyślny, kliknij „Ustaw jako domyślny”"
II,II
From Time,Od czasu
Variant Details Report,Raport szczegółów wariantu
For Buying,Do kupienia
Slots for {0} are not added to the schedule,Automaty do {0} nie są dodawane do harmonogramu
Target Distribution,Dystrybucja docelowa
Staffing Plan Details,Szczegóły planu kadrowania
Account {0} is invalid. Account Currency must be {1},Konto {0} jest nieprawidłowe. Waluta konta musi być {1}
Rule Description,Opis reguły
Total Estimated Distance,Całkowita szacowana odległość
Lost Reason,Zgubiony powód
Make Depreciation Entry,Wprowadź wpis amortyzacji
Serial nos {0} does not belongs to the location {1},Numery seryjne {0} nie należą do lokalizacji {1}
Role Allowed to Set Frozen Accounts & Edit Frozen Entries,Rola dozwolona do ustawiania zamrożonych kont i edycji zamrożonych wpisów
Health Concerns,Problemy zdrowotne
Company Info,Informacje o firmie
Activity Cost,Koszt działania
Payment Order,Zlecenie płatnicze
Pricing,cennik
Item Delivery Date,Data dostawy przedmiotu
Warehouse and Reference,Magazyn i referencje
Account with child nodes cannot be converted to ledger,Konta z węzłami podrzędnymi nie można przekształcić w księgę główną
Clay Composition (%),Skład gliny (%)
BOM No. for a Finished Good Item,Nr BOM dla gotowego dobrego przedmiotu
User Remark,Uwaga użytkownika
Your order is out for delivery!,Twoje zamówienie jest wysyłane!
"Payment Type must be one of Receive, Pay and Internal Transfer","Typ płatności musi być jednym z rodzajów płatności, płatności i przelewu wewnętrznego"
Payroll Settings,Ustawienia listy płac
GST HSN Code,Kod GST HSN
Period Closing Voucher,Kupon na zamknięcie okresu
Guardian2 Name,Nazwa opiekuna2
Please enter Expense Account,Proszę podać konto wydatków
Resignation Letter Date,Data rezygnacji
Sandy Clay,Sandy Clay
Attendance To Date,Obecność na randkę
Loan Start Date,Data rozpoczęcia pożyczki
Consumable Cost,Koszt zużycia
Encashment,Osadzanie
Income From Other Sources,Dochód z innych źródeł
Produced Items,Produkowane przedmioty
Approval Status must be 'Approved' or 'Rejected',Status zatwierdzenia musi być „Zatwierdzony” lub „Odrzucony”
View Now,Wyświetl teraz
Valid Upto,Ważny do
Reference Doctype must be one of {0},Dokument referencyjny musi być jednym z {0}
Transaction Currency,Waluta transakcji
Repayment Schedule,Harmonogram spłaty
Create Sample Retention Stock Entry,Utwórz wpis dotyczący przechowywania próbki
Set as Open,Ustaw jako otwarty
Requested Qty,Wymagana ilość
Apply Discount On,Zastosuj rabat na
Reserved for sub contracting,Zarezerwowane dla podwykonawców
Item variant {0} exists with same attributes,Wariant elementu {0} istnieje z tymi samymi atrybutami
Membership Type,typ członkostwa
Will show the student as Present in Student Monthly Attendance Report,"Pokaż studentowi, jak jest obecny w miesięcznym raporcie frekwencji"
Minimum Lead Age (Days),Minimalny wiek prowadzenia (dni)
Delivery Note Series,Seria notatek dostawy
Mandatory field - Academic Year,Pole obowiązkowe - Rok akademicki
Fuel Price,Cena paliwa
Mode of Travel,Tryb podróży
Special Test Items,Specjalne przedmioty testowe
Edit Posting Date and Time,Edytuj datę i godzinę księgowania
Not Billed,Nie zafakturowane
Employee Transfer Detail,Szczegóły transferu pracowników
Task Completion,Rozwiązanie zadania
Webhook ID,Identyfikator Webhooka
Travel Expenses,Koszty podróży
Future dates not allowed,Przyszłe daty nie są dozwolone
Varaiance ,Warunek
Row {0}: Please set the Mode of Payment in Payment Schedule,Wiersz {0}: ustaw tryb płatności w harmonogramie płatności
Academic Term: ,Okres akademicki:
Please select Apply Discount On,Wybierz Zastosuj rabat na
Row # {0}: ,Wiersz # {0}:
Total Payments,Płatności ogółem
Please enter Account for Change Amount,Wprowadź konto dla zmiany kwoty
Tax Withholding Account,Rachunek podatku u źródła
Stock Received But Not Billed,"Otrzymane zapasy, ale nie rozliczone"
Please add the account to root level Company - %s,Dodaj konto do poziomu głównego Firma -% s
Collected By,Zebrane przez
Notify by Email on creation of automatic Material Request,Powiadamiaj e-mailem o utworzeniu automatycznego żądania materiałów
Downtime,Przestój
Cost Center Number,Numer miejsca powstawania kosztów
Applicable for external driver,Dotyczy zewnętrznego sterownika
Start on,Zaczynaj na
Payment Due Date,Termin płatności
"If this item has variants, then it cannot be selected in sales orders etc.","Jeśli ten element ma warianty, nie można go wybrać w zamówieniach sprzedaży itp."
Following course schedules were created,Utworzono następujące harmonogramy kursów
Timesheet created:,Utworzony grafik:
Open BOM {0},Otwórz BOM {0}
Transfered,Przeniesiony
Credit To account must be a Payable account,Konto kredytowe musi być kontem płatnym
Item Attribute,Atrybut przedmiotu
Goal and Procedure,Cel i procedura
Frequency of Depreciation (Months),Częstotliwość amortyzacji (miesiące)
Real Estate,Nieruchomość
Parents Teacher Meeting Attendance,Obecność nauczycieli na spotkaniu rodziców
Employee Grade,Stopień pracownika
"Total {0} for all items is zero, may be you should change 'Distribute Charges Based On'","Suma {0} dla wszystkich przedmiotów wynosi zero, może powinieneś zmienić „Rozłóż opłaty na podstawie”"
Time Sheet,Arkusz czasu
Late Checkin,Późne zameldowanie
Costing and Billing,Kalkulacja kosztów i fakturowanie
Total Outgoing,Total Outgoing
A Default Service Level Agreement already exists.,Domyślna umowa dotycząca poziomu usług już istnieje.
If more than one package of the same type (for print),Jeśli więcej niż jeden pakiet tego samego typu (do druku)
Please select Company and Posting Date to getting entries,"Wybierz firmę i datę księgowania, aby uzyskać wpisy"
Default Currency,domyślna waluta
Packing List,Lista rzeczy do spakowania
Secretary,Sekretarz
Gluten Free,Bezglutenowe
Hub Node,Węzeł węzła
Employee ID,numer identyfikacyjny pracownika
Salary Structure Assignment,Przydział struktury wynagrodzeń
POS Closing Voucher Taxes,Podatki na kupony zamykające POS
Action Initialised,Działanie zainicjowane
Applicable for Users,Dotyczy użytkowników
Exam,Egzamin
Incorrect number of General Ledger Entries found. You might have selected a wrong Account in the transaction.,Znaleziono nieprawidłową liczbę wpisów księgi głównej. Być może wybrałeś nieprawidłowe konto w transakcji.
Sales Pipeline,Rurociąg sprzedaży
Leaderboard,Tabela liderów
Inter Company Account,Konto firmowe
Closed order cannot be cancelled. Unclose to cancel.,"Zamknięte zamówienie nie może zostać anulowane. Zamknij, aby anulować."
{0} {1} does not exist,{0} {1} nie istnieje
Planned number of Positions,Planowana liczba stanowisk
Maintenance Status has to be Cancelled or Completed to Submit,Stan konserwacji musi zostać anulowany lub ukończony w celu przesłania
Please select customer,Wybierz klienta
Round Off,Zaokrąglić
Conditions will be applied on all the selected items combined. ,Warunki zostaną zastosowane do wszystkich wybranych elementów łącznie.
Configure,Konfiguruj
Capacity,Pojemność
Installed Qty,Zainstalowana ilość
Batch {0} of Item {1} is disabled.,Partia {0} pozycji {1} jest wyłączona.
Hotel Reservation User,Użytkownik rezerwacji hotelu
Workday has been repeated twice,Dzień roboczy został powtórzony dwukrotnie
Item Group not mentioned in item master for item {0},Grupa pozycji niewymieniona w głównym elemencie dla elementu {0}
Name error: {0},Błąd nazwy: {0}
Territory is Required in POS Profile,Terytorium jest wymagane w profilu POS
Service End Date,Data zakończenia usługi
Quotation,Cytat
Exchange Rate must be same as {0} {1} ({2}),Kurs wymiany musi być taki sam jak {0} {1} ({2})
Holiday List (ignored during SLA calculation),Lista świąt (ignorowana podczas obliczania SLA)
Student Admission Program,Program przyjęć studenckich
Account {0}: Parent account {1} can not be a ledger,Konto {0}: konto nadrzędne {1} nie może być księgą główną
% of materials billed against this Sales Order,% materiałów obciążonych tym zamówieniem sprzedaży
The payment gateway account in plan {0} is different from the payment gateway account in this payment request,Konto bramki płatności w planie {0} różni się od konta bramki płatności w tym żądaniu płatności
Subcontracted Item,Przedmiot podwykonawstwa
Loan Start Date and Loan Period are mandatory to save the Invoice Discounting,"Data rozpoczęcia pożyczki i okres pożyczki są obowiązkowe, aby zapisać dyskontowanie faktury"
Default receivable accounts to be used if not set in Patient to book Appointment charges.,"Konta domyślnych należności do wykorzystania, jeśli nie są ustawione w Pacjent, aby zarezerwować opłaty za spotkanie."
Students HTML,Uczniowie HTML
Student Guardian,Student Guardian
GoCardless Settings,Ustawienia GoCardless
Transport Receipt Date,Data przyjęcia transportu
Show Opening Entries,Pokaż otwierające wpisy
Heart Rate / Pulse,Tętno / tętno
All Assessment Groups,Wszystkie grupy oceniające
Asset Name,Nazwa zasobu
"There can only be one Shipping Rule Condition with 0 or blank value for ""To Value""",Może istnieć tylko jeden warunek reguły wysyłki z 0 lub pustą wartością „Do wartości”
Optimizing routes.,Optymalizacja tras.
Shopify Tax/Shipping Title,Shopify Tax / Shipping Title
To date can not be equal or less than from date,Do tej pory nie może być równa lub mniejsza niż od daty
You added ,Ty dodałeś
Total Score,Całkowity wynik
"If you have created a standard template in Sales Taxes and Charges Template, select one and click on the button below.","Jeśli utworzyłeś standardowy szablon w szablonie podatków od sprzedaży i opłat, wybierz go i kliknij przycisk poniżej."
Cost Center,Centrum kosztów
Total allocated percentage for sales team should be 100,Całkowity przydzielony procent dla zespołu sprzedaży powinien wynosić 100
Payment Entry has been modified after you pulled it. Please pull it again.,Wpis płatności został zmodyfikowany po jego wyciągnięciu. Proszę pociągnij ponownie.
Bio / Cover Letter,Bio / List przewodni
Stock Value Difference,Różnica wartości akcji
Academic Year Name,Nazwa roku akademickiego
Bank Accounts,Konta bankowe
The Payment Term at row {0} is possibly a duplicate.,Termin płatności w wierszu {0} jest prawdopodobnie duplikatem.
Unblock Invoice,Odblokuj fakturę
Percentage,Odsetek
Sensitivity Test Items,Przedmioty testu czułości
To make Customer based incentive schemes.,Aby stworzyć programy motywacyjne oparte na klientach.
Purchase Register,Rejestr zakupów
Schedule Date,Datę harmonogramu
Package Weight Details,Szczegóły wagi paczki
Job Opening,Otwarcie pracy
Actual Cost,Aktualna cena
Total advance ({0}) against Order {1} cannot be greater than the Grand Total ({2}),Łączna zaliczka ({0}) przeciwko zamówieniu {1} nie może być większa niż łączna suma ({2})
Item Variants updated,Zaktualizowano wariant produktu
Batch Number Series,Seria numerów partii
Open Projects,Otwarte projekty
Import Delivery Notes from Shopify on Shipment,Importuj dokumenty dostawy z Shopify na przesyłce
Token Endpoint,Token Endpoint
List a few of your suppliers. They could be organizations or individuals.,Wymień kilku swoich dostawców. Mogą to być organizacje lub osoby fizyczne.
MWS Credentials,Poświadczenia MWS
Shopping Cart Settings,Ustawienia koszyka zakupów
Enable Deferred Revenue,Włącz odroczony przychód
Managing Projects,Zarządzanie projektami
Message Sent,Wiadomość wysłana
Same item has been entered multiple times. {0},Ten sam element został wprowadzony wielokrotnie. {0}
Margin,Margines
{0} '{1}' not in Fiscal Year {2},{0} &#39;{1}&#39; nie w roku podatkowym {2}
Fee Structure,Struktura opłat
Variant Attributes,Atrybuty wariantu
Confirmation Date,Data potwierdzenia
Please set a default Holiday List for Employee {0} or Company {1},Ustaw domyślną listę świąteczną dla pracownika {0} lub firmy {1}
Job Applicant Source,Źródło wniosku o pracę
Opening Invoice Creation Tool,Narzędzie do otwierania faktury
Account {0} does not exist,Konto {0} nie istnieje
Ignore Existing Ordered Qty,Ignoruj istniejącą zamówioną ilość
Lead Time Date,Data ołowiu
Accounts Receivable Summary,Podsumowanie należności
Available-for-use Date,Data do wykorzystania
Employee record is created using selected field. ,Rekord pracownika jest tworzony przy użyciu wybranego pola.
"Row #{0}: Reference Document Type must be one of Purchase Order, Purchase Invoice or Journal Entry","Wiersz # {0}: Typ dokumentu referencyjnego musi być jednym z zamówień zakupu, faktury zakupu lub zapisu do dziennika"
Type of Payment,Rodzaj płatności
Leave the field empty to make purchase orders for all suppliers,"Pozostaw pole puste, aby składać zamówienia dla wszystkich dostawców"
Item {0} ignored since it is not a stock item,"Pozycja {0} została zignorowana, ponieważ nie jest towarem"
"""Customer Provided Item"" cannot have Valuation Rate",„Przedmiot dostarczony przez klienta” nie może mieć kursu wyceny
Clay,Glina
"{0} currently has a {1} Supplier Scorecard standing, and Purchase Orders to this supplier should be issued with caution.","{0} ma obecnie {1} pozycję karty wyników dostawcy, a zamówienia do tego dostawcy powinny być wydawane z ostrożnością."
"If item is a variant of another item then description, image, pricing, taxes etc will be set from the template unless explicitly specified","Jeśli przedmiotem jest wariant innego przedmiotu, opis, obraz, ceny, podatki itp. Zostaną ustawione z szablonu, chyba że zostanie to wyraźnie określone"
Total Target,Cel całkowity
Longitude,Długość geograficzna
Determine Address Tax Category From,Określ kategorię podatku adresowego od
Identifying Decision Makers,Identyfikacja decydentów
Get Invocies,Zdobądź Invocies
Is Day Book Data Imported,Importowane są dane dzienników
Sales Partners Commission,Komisja Partnerów Sprzedaży
Legal,Prawny
Required by Date,Wymagane według daty
Quiz Result,Wynik testu
Close Loan,Zamknij pożyczkę
From Customer,Od klienta
Minimum Invoice Amount,Minimalna kwota faktury
Related,Związane z
Description/Strength,Opis / Siła
Work Order cannot be raised against a Item Template,Zlecenia pracy nie można podnieść przeciwko szablonowi przedmiotu
Salary,Wynagrodzenie
Set Status,Ustaw status
Inward supplies from ISD,Dostawy wewnętrzne z ISD
Vehicle Expenses,Wydatki na pojazdy
Please set 'Apply Additional Discount On',Ustaw „Zastosuj dodatkowy rabat na”
Closed Document,Zamknięty dokument
Please select weekly off day,Wybierz tygodniowy dzień wolny
Applicable After (Working Days),Dotyczy później (dni robocze)
Hrs,Godz
Supplier Scorecard Criteria,Kryteria karty wyników dostawcy
FR,FR
Date of Joining must be greater than Date of Birth,Data przyłączenia musi być większa niż data urodzenia
Invoice Date,Data faktury
Create Lab Test(s) on Sales Invoice Submit,Utwórz test (y) laboratoryjny na wystawionej fakturze sprzedaży
"No active BOM found for item {0}. Delivery by \
						Serial No cannot be ensured",Nie znaleziono aktywnej specyfikacji materiałowej dla elementu {0}. Nie można zapewnić dostawy przez numer seryjny
Post Graduate,Post Graduate
Account {0} has been entered multiple times,Konto {0} zostało wprowadzone wielokrotnie
Pay Against Benefit Claim,Zapłać roszczenie o zasiłek
Principal Amount,Główna kwota
Main,Główny
Serial No {0} does not exist,Numer seryjny {0} nie istnieje
Please select Program,Wybierz program
Schedule Discharge,Harmonogram rozładowania
"Set items shelf life in days, to set expiry based on manufacturing_date plus self life","Ustaw okres przechowywania przedmiotów w dniach, aby ustawić termin ważności na podstawie daty produkcji i życia własnego"
Get Payment Entries,Uzyskaj wpisy płatności
Max Retry Limit,Max Retry Limit
Endpoint,Punkt końcowy
Cost Center is required in row {0} in Taxes table for type {1},Miejsce powstawania kosztów jest wymagane w wierszu {0} w tabeli Podatki dla typu {1}
Currency Exchange must be applicable for Buying or for Selling.,Wymiana walut musi obowiązywać w przypadku zakupu lub sprzedaży.
Cheque Width,Sprawdź szerokość
Secret,Sekret
Current Order,Aktualne zamówienie
Item must be added using 'Get Items from Purchase Receipts' button,Przedmiot należy dodać za pomocą przycisku „Pobierz przedmioty z paragonów zakupu”
Delay Days,Dni opóźnienia
Default Income Account,Domyślne konto dochodów
Get prescribed procedures,Uzyskaj przepisane procedury
Market Segment,Segment rynku
Set as Completed,Ustaw jako ukończone
Completed Qty can not be greater than 'Qty to Manufacture',Zrealizowane Ilość nie może być większa niż „Ilość do produkcji”
Service Level.,Poziom usług.
MAT-STE-.YYYY.-,MAT-STE-.YYYY.-
Year Start Date,Data rozpoczęcia roku
(Hour Rate / 60) * Actual Operation Time,(Stawka godzinowa / 60) * Rzeczywisty czas działania
Received Date,Data otrzymania
Financial / accounting year.,Rok finansowy / księgowy.
Pricing Rule,Reguła cenowa
Optional Holiday List not set for leave period {0},Opcjonalna lista świąt nie jest ustawiona na okres urlopu {0}
Please set User ID field in an Employee record to set Employee Role,"Ustaw pole ID użytkownika w rekordzie pracownika, aby ustawić rolę pracownika"
Time To Resolve,Czas się rozwiązać
Training Event,Wydarzenie szkoleniowe
"Normal resting blood pressure in an adult is approximately 120 mmHg systolic, and 80 mmHg diastolic, abbreviated ""120/80 mmHg""","Normalne spoczynkowe ciśnienie krwi u dorosłych wynosi około 120 mmHg skurczowego i 80 mmHg rozkurczowego, w skrócie „120/80 mmHg”"
System will fetch all the entries if limit value is zero.,"System pobierze wszystkie wpisy, jeśli wartość graniczna wynosi zero."
Copy From Item Group,Kopiuj z grupy elementów
Bank Remittance,Przelew bankowy
"Valuation rate not found for the Item {0}, which is required to do accounting entries for {1} {2}. If the item is transacting as a zero valuation rate item in the {1}, please mention that in the {1} Item table. Otherwise, please create an incoming stock transaction for the item or mention valuation rate in the Item record, and then try submiting/cancelling this entry","Nie znaleziono stopy wyceny dla pozycji {0}, która jest wymagana do wprowadzenia zapisów księgowych dla {1} {2}. Jeśli przedmiot jest przedmiotem transakcji o wartości zerowej w {1}, należy wspomnieć o tym w tabeli przedmiotów {1}. W przeciwnym razie utwórz transakcję przychodzącą dla pozycji lub podaj kurs wyceny w rekordzie pozycji, a następnie spróbuj przesłać / anulować ten wpis"
Half day date should be in between from date and to date,Data pół dnia powinna być między datą a datą
Accrual Journal Entry for salaries from {0} to {1},Zapis księgowy dla wynagrodzeń od {0} do {1}
Material Receipt,Odbiór materiałów
Re-allocate Leaves,Przenieś liście
To Date should be within the Fiscal Year. Assuming To Date = {0},Data powinna być w ciągu roku podatkowego. Zakładając datę = {0}
Employee Promotion Details,Szczegóły promocji pracownika
Project Status,Stan projektu
Account with existing transaction can not be deleted,Konto z istniejącą transakcją nie może zostać usunięte
This is a root supplier group and cannot be edited.,Jest to główna grupa dostawców i nie można jej edytować.
Could not find path for ,Nie można znaleźć ścieżki dla
Item Customer Detail,Szczegóły klienta przedmiotu
Assessment  Mark (Out of 10),Ocena (na 10)
ACC-SH-.YYYY.-,ACC-SH-.YYYY.-
LabTest Approver,LabTest Approver
Is Milestone,Jest kamieniem milowym
Get Students,Zdobądź uczniów
Self-Driving Vehicle,Pojazd z własnym napędem
Item {0} must be a Fixed Asset Item,Przedmiot {0} musi być stałym elementem aktywów
Office Rent,Wynajem biura
In Maintenance,W naprawie
Cannot change Variant properties after stock transaction. You will have to make a new Item to do this.,"Nie można zmienić właściwości wariantu po transakcji magazynowej. Aby to zrobić, musisz zrobić nowy przedmiot."
Unpaid,Nie zapłacony
Update Account Name / Number,Zaktualizuj nazwę / numer konta
Intern,Stażysta
Show only POS,Pokaż tylko POS
Custody,Opieka
From Date cannot be greater than To Date,Od daty nie może być większa niż data
As per your assigned Salary Structure you cannot apply for benefits,Zgodnie z przydzieloną strukturą wynagrodzeń nie można ubiegać się o świadczenia
Failed to setup defaults,Nie udało się skonfigurować ustawień domyślnych
Account Number {0} already used in account {1},Numer konta {0} już używany na koncie {1}
Emails salary slip to employee based on preferred email selected in Employee,E-mail wysyłany do pracownika na podstawie preferowanego adresu e-mail wybranego w Pracowniku
Asset Depreciation Cost Center,Miejsce powstawania amortyzacji aktywów
Address Desc,Adres Opis
Enable Sync,Włącz synchronizację
Approved,Zatwierdzony
From Date should be within the Fiscal Year. Assuming From Date = {0},Data Od powinna być w ciągu roku podatkowego. Zakładając From Date = {0}
