Period Name,期間名稱
Port Code,港口代碼
Reserve Warehouse,儲備倉庫
Lead is an Organization,領導是一個組織
Other Details,其他詳細資訊
Suplier,Suplier,
Test Template,測試模板
Chapter information.,章節信息。
Accounts,會計
Odometer Value (Last),里程表值（最後）
Templates of supplier scorecard criteria.,供應商計分卡標準模板。
Marketing,市場營銷
Redeem Loyalty Points,兌換忠誠度積分
Payment Entry is already created,已創建付款輸入
Get Suppliers,獲取供應商
Current Stock,當前庫存
Row #{0}: Asset {1} does not linked to Item {2},行＃{0}：資產{1}不掛項目{2}
Account {0} has been entered multiple times,帳戶{0}已多次輸入
Expenses Included In Valuation,支出計入估值
You can only renew if your membership expires within 30 days,如果您的會員資格在30天內到期，您只能續訂
Show Stock Availability,顯示庫存可用性
Set {0} in asset category {1} or company {2},在資產類別{1}或公司{2}中設置{0}
Longitude,經度
Absent Student Report,缺席學生報告
Crop Spacing UOM,裁剪間隔UOM,
Single Tier Program,單層計劃
Only select if you have setup Cash Flow Mapper documents,只有在設置了“現金流量映射器”文檔時才能選擇
From Address 1,來自地址1,
Next email will be sent on:,接下來的電子郵件將被發送：
Per Week,每個星期
Item has variants.,項目已變種。
Total Student,學生總數
Item {0} not found,項{0}未找到
Stock Value,庫存價值
Tree Type,樹類型
Qty Consumed Per Unit,數量消耗每單位
IGST Account,IGST帳戶
Warranty Expiry Date,保證期到期日
Quantity and Warehouse,數量和倉庫
Commission Rate (%),佣金比率（％）
Please select Program,請選擇程序
Please select Program,請選擇程序
Estimated Cost,估計成本
Link to material requests,鏈接到材料請求
Credit Card Entry,信用卡進入
Company and Accounts,公司與科目
In Value,在數值
Depreciation Options,折舊選項
Either location or employee must be required,必須要求地點或員工
Invalid Posting Time,發佈時間無效
Condition and Formula,條件和公式
Campaign Name,活動名稱
Healthcare Practitioner,醫療從業者
Close Opportunity After Days,關閉機會後日
License Details,許可證詳情
The field From Shareholder cannot be blank,來自股東的字段不能為空
Supply Raw Materials,供應原料
Current Assets,流動資產
{0} is not a stock Item,{0}不是庫存項目
Default Account,預設科目
Please select Sample Retention Warehouse in Stock Settings first,請先在庫存設置中選擇樣品保留倉庫
Please select the Multiple Tier Program type for more than one collection rules.,請為多個收集規則選擇多層程序類型。
Received Amount (Company Currency),收到的款項（公司幣種）
Lead must be set if Opportunity is made from Lead,如果機會是由前導而來，前導必須被設定
Payment Cancelled. Please check your GoCardless Account for more details,付款已取消。請檢查您的GoCardless帳戶以了解更多詳情
Send with Attachment,發送附件
Please select weekly off day,請選擇每週休息日
O Negative,O負面
Planned End Time,計劃結束時間
Sales Person Target Variance Item Group-Wise,銷售人員跨項目群組間的目標差異
Account with existing transaction cannot be converted to ledger,帳戶與現有的交易不能被轉換為總賬
Memebership Type Details,Memebership類型詳細信息
Customer's Purchase Order No,客戶的採購訂單編號
Consume Stock,消費庫存
Budget Against,反對財政預算案
Auto Material Requests Generated,汽車材料的要求生成
Lost,丟失
You can not enter current voucher in 'Against Journal Entry' column,在您不能輸入電流券“對日記帳分錄”專欄
Reserved for manufacturing,預留製造
Opportunity From,機會從
Row {0}: {1} Serial numbers required for Item {2}. You have provided {3}.,行{0}：{1}項目{2}所需的序列號。你已經提供{3}。
Please select a table,請選擇一張桌子
Website Specifications,網站規格
Particulars,細節
Row {0}: Conversion Factor is mandatory,列#{0}：轉換係數是強制性的
"Multiple Price Rules exists with same criteria, please resolve conflict by assigning priority. Price Rules: {0}",海報價格規則，同樣的標準存在，請通過分配優先解決衝突。價格規則：{0}
Exchange Rate Revaluation Account,匯率重估科目
Cannot deactivate or cancel BOM as it is linked with other BOMs,無法關閉或取消BOM，因為它是與其他材料明細表鏈接
Please select Company and Posting Date to getting entries,請選擇公司和發布日期以獲取條目
Maintenance,維護
Get from Patient Encounter,從患者遭遇中獲取
Subscriber,訂戶
Item Attribute Value,項目屬性值
Please Update your Project Status,請更新您的項目狀態
Currency Exchange must be applicable for Buying or for Selling.,貨幣兌換必須適用於買入或賣出。
Maximum sample quantity that can be retained,可以保留的最大樣品數量
How is the Project Progressing Right Now?,項目現在進展如何？
Row {0}# Item {1} cannot be transferred more than {2} against Purchase Order {3},對於採購訂單{3}，行{0}＃項目{1}不能超過{2}
Sales campaigns.,銷售活動。
Make Timesheet,製作時間表
"Standard tax template that can be applied to all Sales Transactions. This template can contain list of tax heads and also other expense / income heads like ""Shipping"", ""Insurance"", ""Handling"" etc.

#### Note,

The tax rate you define here will be the standard tax rate for all **Items**. If there are **Items** that have different rates, they must be added in the **Item Tax** table in the **Item** master.

#### Description of Columns,

1. Calculation Type: 
    - This can be on **Net Total** (that is the sum of basic amount).
    - **On Previous Row Total / Amount** (for cumulative taxes or charges). If you select this option, the tax will be applied as a percentage of the previous row (in the tax table) amount or total.
    - **Actual** (as mentioned).
2. Account Head: The Account ledger under which this tax will be booked,
3. Cost Center: If the tax / charge is an income (like shipping) or expense it needs to be booked against a Cost Center.
4. Description: Description of the tax (that will be printed in invoices / quotes).
5. Rate: Tax rate.
6. Amount: Tax amount.
7. Total: Cumulative total to this point.
8. Enter Row: If based on ""Previous Row Total"" you can select the row number which will be taken as a base for this calculation (default is the previous row).
9. Is this Tax included in Basic Rate?: If you check this, it means that this tax will not be shown below the item table, but will be included in the Basic Rate in your main item table. This is useful where you want give a flat price (inclusive of all taxes) price to customers.","可應用到所有銷售交易稅的標準模板。這個模板可以包含稅收元首和像“送貨”，“保險”還包括其他費用/收入頭列表中，“處理”等

 ####注

稅率您定義，這裡將是標準稅率對所有** **的項目。如果有** **物品具有不同的速率，就必須在**項計稅添加**表中的** **項目主。

 ####列

 1的說明。計算類型：
 - 這可以是在淨** **總（即基本量的總和）。
 - **以前的行總計/金額**（對於累計稅費）。如果選擇此選項，稅收將與前行的百分比（在稅率表）量或總被應用。
 - ** **實際（如前所述）。
 2。帳戶負責人：該帳戶下的台帳此稅收將被黃牌警告
 3。成本中心：如果稅/收費收入（如海運）或費用，它需要對一個成本中心預訂。
 4。說明：稅收的說明（將在發票/報價印刷）。
 5。速度：稅率。
 6。金額：稅額。
 7。總計：累積總數達到了這一點。
 8。輸入行：如果基於“前行匯總”，您可以選擇將被視為這種計算基礎（預設值是前行）的行號。
 9。這是含稅的基本速率？：如果你檢查這一點，就意味著這個稅不會顯示在項目表中，但在你的主項表將被納入基本速率。你想要給一個單位的價格（包括所有稅費）的價格為顧客這是非常有用的。"
Bank A/C No.,銀行A/C No.
Reading 7,7閱讀
Lab Test,實驗室測試
Student Report Generation Tool,學生報告生成工具
Healthcare Schedule Time Slot,醫療保健計劃時間槽
Doc Name,文件名稱
Default settings for Shopping Cart,對購物車的預設設定
Add Timeslots,添加時代
Please set Account in Warehouse {0} or Default Inventory Account in Company {1},請在倉庫{0}中設科目或在公司{1}中設置默認庫存科目
Asset scrapped via Journal Entry {0},通過資產日記帳分錄報廢{0}
Review Invitation Sent,審核邀請已發送
Employee Transfer Property,員工轉移財產
From Time Should Be Less Than To Time,從時間應該少於時間
Biotechnology,生物技術
"Item {0} (Serial No: {1}) cannot be consumed as is reserverd\
						 to fullfill Sales Order {2}.",無法將項目{0}（序列號：{1}）用作reserverd \以完成銷售訂單{2}。
Office Maintenance Expenses,Office維護費用
Go to ,去
Update Price from Shopify To ERPNext Price List,將Shopify更新到ERPNext價目表
Setting up Email Account,設置電子郵件帳戶
Please enter Item first,請先輸入品項
Downtime,停機
Liability,責任
Academic Term: ,學術期限：
Default Cost of Goods Sold Account,銷貨成本科目
Sample quantity {0} cannot be more than received quantity {1},採樣數量{0}不能超過接收數量{1}
Price List not selected,未選擇價格列表
Send Email,發送電子郵件
Warning: Invalid Attachment {0},警告：無效的附件{0}
Max Sample Quantity,最大樣品量
No Permission,無權限
Contract Fulfilment Checklist,合同履行清單
Heart Rate / Pulse,心率/脈搏
Default Bank Account,預設銀行會計科目
"To filter based on Party, select Party Type first",要根據黨的篩選，選擇黨第一類型
'Update Stock' can not be checked because items are not delivered via {0},不能勾選`更新庫存'，因為項目未交付{0}
Acquisition Date,採集日期
Nos,NOS,
Items with higher weightage will be shown higher,具有較高權重的項目將顯示更高的可
Lab Tests and Vital Signs,實驗室測試和重要標誌
Bank Reconciliation Detail,銀行對帳詳細
Row #{0}: Asset {1} must be submitted,行＃{0}：資產{1}必須提交
If subcontracted to a vendor,如果分包給供應商
Student Group is already updated.,學生組已經更新。
Student Group is already updated.,學生組已經更新。
Project Update.,項目更新。
All Customer Contact,所有的客戶聯絡
Tree Details,樹詳細信息
Registered,註冊
Availability Timeslot,可用時間段
Support Analytics,支援分析
"If you have any questions, please get back to us.",如果您有任何疑問，請再次與我們聯繫。
Cash Flow Mapper,現金流量映射器
Website Warehouse,網站倉庫
Minimum Invoice Amount,最小發票金額
{0} {1}: Cost Center {2} does not belong to Company {3},{0} {1}：成本中心{2}不屬於公司{3}
Upload your letter head (Keep it web friendly as 900px by 100px),上傳你的信頭（保持網頁友好，900px乘100px）
{0} {1}: Account {2} cannot be a Group,{0} {1}科目{2}不能是一個群組科目
Timesheet {0} is already completed or cancelled,時間表{0}已完成或取消
No tasks,沒有任務
Sales Invoice {0} created as paid,銷售發票{0}已創建為已付款
Copy Fields to Variant,將字段複製到變式
Opening Accumulated Depreciation,打開累計折舊
Program Enrollment Tool,計劃註冊工具
C-Form records,C-往績紀錄
The shares already exist,股份已經存在
Customer and Supplier,客戶和供應商
Email Digest Settings,電子郵件摘要設定
Thank you for your business!,感謝您的業務！
Support queries from customers.,客戶支持查詢。
Action Doctype,行動Doctype,
Retirement Age,退休年齡
Moving Average Rate,移動平均房價
Select Items,選擇項目
To Shareholder,給股東
{0} against Bill {1} dated {2},{0}針對帳單{1}日期{2}
From State,來自州
Setup Institution,設置機構
Allocating leaves...,分配葉子......
Vehicle/Bus Number,車輛/巴士號碼
Course Schedule,課程表
"You have to Deduct Tax for Unsubmitted Tax Exemption Proof and Unclaimed \
					Employee Benefits in the last Salary Slip of Payroll Period",您必須在工資核算期的最後一個工資單上扣除未提交的免稅證明和無人認領的\員工福利稅
Quote Status,報價狀態
Completion Status,完成狀態
Hotel Room Pricing Item,酒店房間定價項目
Tier Name,等級名稱
Enter retirement age in years,在年內進入退休年齡
Target Warehouse,目標倉庫
Please select a warehouse,請選擇一個倉庫
Starting location from left edge,從左邊起始位置
Allow over delivery or receipt upto this percent,允許在交付或接收高達百分之這
All Item Groups,所有項目群組
Item To Manufacture,產品製造
{0} {1} status is {2},{0} {1}的狀態為{2}
Collection Temperature ,收集溫度
Provide Email Address registered in company,提供公司註冊郵箱地址
Enable Checkout,啟用結帳
Purchase Order to Payment,採購訂單到付款
Projected Qty,預計數量
Interval UOM,間隔UOM,
"Reselect, if the chosen address is edited after save",重新選擇，如果所選地址在保存後被編輯
Item Variant {0} already exists with same attributes,項目變種{0}已經具有相同屬性的存在
Hub Publishing Details,Hub發布細節
'Opening',“開放”
Open To Do,開做
Via Customer Portal,通過客戶門戶
Delivery Note Message,送貨單留言
SGST Amount,SGST金額
Result Format,結果格式
Expenses,開支
Item Variant Attribute,產品規格屬性
Purchase Receipt Trends,採購入庫趨勢
Research & Development,研究與發展
Amount to Bill,帳單數額
Registration Details,註冊細節
Total Billed Amount,總開單金額
Re-Order Qty,重新排序數量
BOM #{0}: Raw material cannot be same as main Item,物料清單＃{0}：原始材料與主要項目不能相同
Total Applicable Charges in Purchase Receipt Items table must be same as Total Taxes and Charges,在外購入庫單項目表總的相關費用必須是相同的總稅費
Incentives,獎勵
Requested Numbers,請求號碼
Evening,晚間
Bypass credit limit check at Sales Order,在銷售訂單旁邊繞過信貸限額檢查
"Enabling 'Use for Shopping Cart', as Shopping Cart is enabled and there should be at least one Tax Rule for Shopping Cart",作為啟用的購物車已啟用“使用購物車”，而應該有購物車至少有一個稅務規則
Stock Details,庫存詳細訊息
Project Value,專案值
Point-of-Sale,銷售點
Fee Creation Status,費用創建狀態
"Account balance already in Credit, you are not allowed to set 'Balance Must Be' as 'Debit'",科目餘額已歸為貸方，不允許設為借方
Balance must be,餘額必須
Expense Claim Rejected Message,報銷回絕訊息
Available Qty,可用數量
Default Warehouse to to create Sales Order and Delivery Note,默認倉庫到創建銷售訂單和交貨單
On Previous Row Total,在上一行共
Rejected Qty,被拒絕的數量
Action Field,行動領域
Manage Customer,管理客戶
Always synch your products from Amazon MWS before synching the Orders details,在同步訂單詳細信息之前，始終從亞馬遜MWS同步您的產品
Delivery Stops,交貨停止
Cannot change Service Stop Date for item in row {0},無法更改行{0}中項目的服務停止日期
Incoming Rate,傳入速率
Final Assessment Grades,最終評估等級
The name of your company for which you are setting up this system.,您的公司要為其設立這個系統的名稱。
Setup your Institute in ERPNext,在ERPNext中設置您的研究所
Hold,持有
Alternate Item,替代項目
Progress Details,進度細節
Date of Joining,加入日期
Is Subcontracted,轉包
Item Attribute Values,項目屬性值
Examination Result,考試成績
Purchase Receipt,採購入庫單
Received Items To Be Billed,待付款的收受品項
Currency exchange rate master.,貨幣匯率的主人。
Reference Doctype must be one of {0},參考文檔類型必須是一個{0}
Filter Total Zero Qty,過濾器總計零數量
Unable to find Time Slot in the next {0} days for Operation {1},找不到時隙在未來{0}天操作{1}
Plan material for sub-assemblies,計劃材料為子組件
Sales Partners and Territory,銷售合作夥伴和地區
BOM {0} must be active,BOM {0}必須是積極的
No Items available for transfer,沒有可用於傳輸的項目
Change Release Date,更改發布日期
Finished product quantity <b>{0}</b> and For Quantity <b>{1}</b> cannot be different,成品數量<b>{0}</b>和數量<b>{1}</b>不能不同
Closing (Opening + Total),閉幕（開幕+總計）
Dispatch Notification Attachment,發貨通知附件
Depreciation Entry,折舊分錄
Please select the document type first,請先選擇文檔類型
Cancel Material Visits {0} before cancelling this Maintenance Visit,取消取消此保養訪問之前，材質訪問{0}
Rate or Discount,價格或折扣
One Sided,單面
Serial No {0} does not belong to Item {1},序列號{0}不屬於項目{1}
Required Qty,所需數量
Custom Data,自定義數據
Warehouses with existing transaction can not be converted to ledger.,與現有的交易倉庫不能轉換到總帳。
Serial no is mandatory for the item {0},序列號對於項目{0}是強制性的
Total Amount,總金額
From Date and To Date lie in different Fiscal Year,從日期和到期日位於不同的財政年度
The Patient {0} do not have customer refrence to invoice,患者{0}沒有客戶參考發票
Internet Publishing,互聯網出版
Number,數
Creating {0} Invoice,創建{0}發票
Medical Code Standard,醫療代碼標準
Item Group Defaults,項目組默認值
Please save before assigning task.,在分配任務之前請保存。
Balance Value,餘額
Lab Technician,實驗室技術員
Sales Price List,銷售價格表
"If checked, a customer will be created, mapped to Patient.
Patient Invoices will be created against this Customer. You can also select existing Customer while creating Patient.",如果選中，將創建一個客戶，映射到患者。將針對該客戶創建病人發票。您也可以在創建患者時選擇現有客戶。
Customer isn't enrolled in any Loyalty Program,客戶未加入任何忠誠度計劃
Account Currency,科目幣種
Sample ID,樣品編號
Please mention Round Off Account in Company,請註明舍入科目的公司
Range,範圍
Default Payable Accounts,預設應付帳款
Components,組件
Search Term Param Name,搜索字詞Param Name,
Item Barcode,商品條碼
Endpoints,端點
Item Variants {0} updated,項目變種{0}更新
Reading 6,6閱讀
Cannot {0} {1} {2} without any negative outstanding invoice,無法{0} {1} {2}沒有任何負面的優秀發票
From Folio No,來自Folio No,
Purchase Invoice Advance,購買發票提前
Row {0}: Credit entry can not be linked with a {1},行{0}：信用記錄無法被鏈接的{1}
Define budget for a financial year.,定義預算財政年度。
ERPNext Account,ERPNext帳戶
{0} is blocked so this transaction cannot proceed,{0}被阻止，所以此事務無法繼續
Action if Accumulated Monthly Budget Exceeded on MR,如果累計每月預算超過MR，則採取行動
Operation completed for how many finished goods?,操作完成多少成品？
Healthcare Practitioner {0} not available on {1},{1}上沒有醫療從業者{0}
Payment Terms Template,付款條款模板
The Brand,品牌
Allow Multiple Material Consumption,允許多種材料消耗
Exit Interview Details,退出面試細節
Is Purchase Item,是購買項目
Purchase Invoice,採購發票
Allow multiple Material Consumption against a Work Order,針對工作單允許多種材料消耗
Voucher Detail No,券詳細說明暫無
New Sales Invoice,新的銷售發票
Total Outgoing Value,出貨總計值
Appointments,約會
Opening Date and Closing Date should be within same Fiscal Year,開幕日期和截止日期應在同一會計年度
Request for Information,索取資料
LeaderBoard,排行榜
Rate With Margin (Company Currency),利率保證金（公司貨幣）
Sync Offline Invoices,同步離線發票
Paid,付費
Program Fee,課程費用
"Replace a particular BOM in all other BOMs where it is used. It will replace the old BOM link, update cost and regenerate ""BOM Explosion Item"" table as per new BOM.
It also updates latest price in all the BOMs.",替換使用所有其他BOM的特定BOM。它將替換舊的BOM鏈接，更新成本，並按照新的BOM重新生成“BOM爆炸項目”表。它還更新了所有BOM中的最新價格。
The following Work Orders were created:,以下工作訂單已創建：
Discharged,出院
Lead Time Date,交貨時間日期
Guardian Name,監護人姓名
Has Print Format,擁有打印格式
Get Started Sections,入門部分
Sanctioned,制裁
Total Contribution Amount: {0},總貢獻金額：{0}
Row #{0}: Please specify Serial No for Item {1},列#{0}：請為項目{1}指定序號
Crop Cycle,作物週期
"For 'Product Bundle' items, Warehouse, Serial No and Batch No will be considered from the 'Packing List' table. If Warehouse and Batch No are same for all packing items for any 'Product Bundle' item, those values can be entered in the main Item table, values will be copied to 'Packing List' table.",對於“產品包”的物品，倉庫，序列號和批號將被從“裝箱單”表考慮。如果倉庫和批次號是相同的任何“產品包”項目的所有包裝物品，這些值可以在主項表中輸入，值將被複製到“裝箱單”表。
From Place,從地方
Net Pay cannnot be negative,淨薪酬不能為負
Supplier Invoice Date cannot be greater than Posting Date,供應商發票的日期不能超過過帳日期更大
Purchase Order Item,採購訂單項目
Agriculture Task,農業任務
Indirect Income,間接收入
Student Attendance Tool,學生考勤工具
Price List (Auto created),價目表（自動創建）
Date Settings,日期設定
Employee Promotion Detail,員工促銷細節
Company Name,公司名稱
Total Message(s),訊息總和（s ）
Purchased,購買
Rename Attribute Value in Item Attribute.,在項目屬性中重命名屬性值。
Additional Discount Percentage,額外折扣百分比
View a list of all the help videos,查看所有幫助影片名單
Soil Texture,土壤紋理
Select account head of the bank where cheque was deposited.,選取支票存入該銀行帳戶的頭。
Allow user to edit Price List Rate in transactions,允許用戶編輯價目表率的交易
Max Qty,最大數量
Print Report Card,打印報告卡
"Row {0}: Invoice {1} is invalid, it might be cancelled / does not exist. \
						Please enter a valid Invoice",行{0}：發票{1}是無效的，它可能會被取消/不存在。 \請輸入有效的發票
Row {0}: Payment against Sales/Purchase Order should always be marked as advance,行{0}：付款方式對銷售/採購訂單應始終被標記為提前
Chemical,化學藥品
Raw Material Cost(Company Currency),原料成本（公司貨幣）
Row # {0}: Rate cannot be greater than the rate used in {1} {2},行＃{0}：速率不能大於{1} {2}中使用的速率
Row # {0}: Rate cannot be greater than the rate used in {1} {2},行＃{0}：速率不能大於{1} {2}中使用的速率
Meter,儀表
Electricity Cost,電力成本
Amount should be greater than zero.,金額應該大於零。
Lab testing datetime cannot be before collection datetime,實驗室測試日期時間不能在收集日期時間之前
Don't send Employee Birthday Reminders,不要送員工生日提醒
Estimated Arrival,預計抵達時間
Inspection Criteria,檢驗標準
Transfered,轉移
BOM Website Item,BOM網站項目
Upload your letter head and logo. (you can edit them later).,上傳你的信頭和標誌。 （您可以在以後對其進行編輯）。
Bill,法案
All Lead (Open),所有鉛（開放）
Row {0}: Qty not available for {4} in warehouse {1} at posting time of the entry ({2} {3}),行{0}：數量不適用於{4}在倉庫{1}在發布條目的時間（{2} {3}）
You can only select a maximum of one option from the list of check boxes.,您只能從復選框列表中選擇最多一個選項。
Get Advances Paid,獲取有償進展
Automatically Create New Batch,自動創建新批
Automatically Create New Batch,自動創建新批
Admission Start Date,入學開始日期
Total Amount in Words,總金額大寫
New Employee,新員工
There was an error. One probable reason could be that you haven't saved the form. Please contact support@erpnext.com if the problem persists.,有一個錯誤。一個可能的原因可能是因為您沒有保存的形式。請聯繫support@erpnext.com如果問題仍然存在。
My Cart,我的購物車
Order Type must be one of {0},訂單類型必須是一個{0}
Next Contact Date,下次聯絡日期
Opening Qty,開放數量
Appointment Reminder,預約提醒
Please enter Account for Change Amount,對於漲跌額請輸入帳號
Student Batch Name,學生批名
Holiday List Name,假日列表名稱
Schedule Course,課程時間表
Applicable on Material Request,適用於材料請求
No Items added to cart,沒有項目已添加到購物車
Expense Claim,報銷
Do you really want to restore this scrapped asset?,難道你真的想恢復這個報廢的資產？
Qty for {0},數量為{0}
Patient Relation,患者關係
Hub Category to Publish,集線器類別發布
"Sales Order {0} has reservation for item {1}, you can,
		only deliver reserved {1} against {0}. Serial No {2} cannot,
		be delivered",銷售訂單{0}對項目{1}有預留，您只能對{0}提供保留的{1}。序列號{2}無法發送
Billing Address GSTIN,帳單地址GSTIN,
Evaluate,評估
Net Hour Rate,淨小時率
Landed Cost Purchase Receipt,到岸成本採購入庫單
Default Terms,默認條款
Criteria,標準
Packing Slip Item,包裝單項目
Cash/Bank Account,現金／銀行會計科目
Please specify a {0},請指定{0}
Removed items with no change in quantity or value.,刪除的項目在數量或價值沒有變化。
Delivery To,交貨給
Variant creation has been queued.,變體創建已經排隊。
The first Leave Approver in the list will be set as the default Leave Approver.,列表中的第一個請假批准者將被設置為默認的批准批准者。
Attribute table is mandatory,屬性表是強制性的
Get Sales Orders,獲取銷售訂單
{0} can not be negative,{0}不能為負數
Connect to Quickbooks,連接到Quickbooks,
Period End Date,期末結束日期
Row {0}: {1} is required to create the Opening {2} Invoices,行{0}：{1}是創建開始{2}發票所必需的
Membership,籍
Total Number of Depreciations,折舊總數
Rate With Margin,利率保證金
Rate With Margin,利率保證金
Is Return (Debit Note),是退貨（借記卡）
Wages,工資
Maintenance Manager Name,維護經理姓名
Urgent,緊急
Please specify a valid Row ID for row {0} in table {1},請指定行{0}在表中的有效行ID {1}
Unable to find variable: ,無法找到變量：
Please select a field to edit from numpad,請選擇要從數字鍵盤編輯的字段
Cannot be a fixed asset item as Stock Ledger is created.,不能成為庫存分類賬創建的固定資產項目。
Admit,承認
Go to the Desktop and start using ERPNext,轉到桌面和開始使用ERPNext,
Pay Remaining,支付剩餘
Manufacturer,生產廠家
Purchase Receipt Item,採購入庫項目
Sales Invoice Payment,銷售發票付款
Quality Inspection Template Name,質量檢驗模板名稱
First Email,第一郵件
Exception Budget Approver Role,例外預算審批人角色
"Once set, this invoice will be on hold till the set date",一旦設置，該發票將被保留至設定的日期
Reserved Warehouse in Sales Order / Finished Goods Warehouse,在銷售訂單/成品倉庫保留倉庫
Selling Amount,銷售金額
Loyalty Amount,忠誠金額
Creation Document No,文檔創建編號
Location Details,位置詳情
Issue,問題
Records,記錄
Scrapped,報廢
Item Defaults,項目默認值
Returns,返回
WIP Warehouse,WIP倉庫
Serial No {0} is under maintenance contract upto {1},序列號{0}在維護合約期間內直到{1}
Organization Name,組織名稱
Show Latest Forum Posts,顯示最新的論壇帖子
Shipping State,運輸狀態
Projected Quantity as Source,預計庫存量的來源
Item must be added using 'Get Items from Purchase Receipts' button,項目必須使用'從採購入庫“按鈕進行新增
Delivery Trip,送貨之旅
A-,一個-
Transfer Type,轉移類型
Sales Expenses,銷售費用
Diagnosis,診斷
Standard Buying,標準採購
Against,針對
Sales Defaults,銷售默認值
Work Order Qty,工作訂單數量
Default Selling Cost Center,預設銷售成本中心
Disc,圓盤
Material Transferred for Subcontract,轉包材料轉讓
Purchase Orders Items Overdue,採購訂單項目逾期
ZIP Code,郵政編碼
Sales Order {0} is {1},銷售訂單{0} {1}
Select interest income account in loan {0},選擇貸款{0}中的利息收入科目
Contact Info,聯絡方式
Making Stock Entries,製作Stock條目
Cannot promote Employee with status Left,無法提升狀態為Left的員工
Net Weight UOM,淨重計量單位
Default Supplier,預設的供應商
Shipping Rule Condition,送貨規則條件
End Date can not be less than Start Date,結束日期不能小於開始日期
Invoice can't be made for zero billing hour,在零計費時間內無法開具發票
Date of Commencement,開始日期
Select company name first.,先選擇公司名稱。
Email sent to {0},電子郵件發送到{0}
Quotations received from Suppliers.,從供應商收到的報價。
Replace BOM and update latest price in all BOMs,更換BOM並更新所有BOM中的最新價格
This is a root supplier group and cannot be edited.,這是一個根源供應商組，無法編輯。
Driver Name,司機姓名
Average Age,平均年齡
Attendance Freeze Date,出勤凍結日期
Attendance Freeze Date,出勤凍結日期
Inward,向內的
List a few of your suppliers. They could be organizations or individuals.,列出一些你的供應商。他們可以是組織或個人。
View All Products,查看所有產品
Minimum Lead Age (Days),最低鉛年齡（天）
Minimum Lead Age (Days),最低鉛年齡（天）
All BOMs,所有的材料明細表
Hotel Rooms of type {0} are unavailable on {1},{0}類型的酒店客房不適用於{1}
Default Currency,預設貨幣
Maximum discount for Item {0} is {1}%,第{0}項的最大折扣為{1}％
From Employee,從員工
Cellphone Number,手機號碼
Monitor Progress,監視進度
Warning: System will not check overbilling since amount for Item {0} in {1} is zero,警告： {0} {1}為零，系統將不檢查超收因為金額項目
Make Difference Entry,使不同入口
Auto Repeat Section,自動重複部分
Transportation,運輸
Invalid Attribute,無效屬性
{0} {1} must be submitted,{0} {1}必須提交
Default Supplier Group,默認供應商組
Quantity must be less than or equal to {0},量必須小於或等於{0}
Application Settings,應用程序設置
Total Characters,總字元數
Row Spacing,行間距
Please select BOM in BOM field for Item {0},請BOM字段中選擇BOM的項目{0}
There isn't any item variant for the selected item,所選項目沒有任何項目變體
C-Form Invoice Detail,C-表 發票詳細資訊
Payment Reconciliation Invoice,付款發票對帳
Contribution %,貢獻％
"As per the Buying Settings if Purchase Order Required == 'YES', then for creating Purchase Invoice, user need to create Purchase Order first for item {0}",根據購買設置，如果需要採購訂單==&#39;是&#39;，那麼為了創建採購發票，用戶需要首先為項目{0}創建採購訂單
HSN-wise-summary of outward supplies,HSN明智的向外供應摘要
Company registration numbers for your reference. Tax numbers etc.,公司註冊號碼，供大家參考。稅務號碼等
To State,國家
Distributor,經銷商
Asset Finance Book,資產融資書
Shopping Cart Shipping Rule,購物車運輸規則
Please set 'Apply Additional Discount On',請設置“收取額外折扣”
Applicable Percent,適用百分比
Ordered Items To Be Billed,預付款的訂購物品
From Range has to be less than To Range,從範圍必須小於要範圍
Global Defaults,全域預設值
Project Collaboration Invitation,項目合作邀請
Action Name,動作名稱
Start Year,開始年份
First 2 digits of GSTIN should match with State number {0},GSTIN的前2位數字應與狀態號{0}匹配
PDC/LC,PDC / LC,
Start date of current invoice's period,當前發票期間內的開始日期
Capacity Planning Error,產能規劃錯誤
Trial Balance for Party,試算表的派對
Consultant,顧問
Parents Teacher Meeting Attendance,家長老師見面會
Finished Item {0} must be entered for Manufacture type entry,完成項目{0}必須為製造類條目進入
Opening Accounting Balance,打開會計平衡
GST Sales Register,消費稅銷售登記冊
Sales Invoice Advance,銷售發票提前
Nothing to request,無需求
Default Return Warehouse,默認退貨倉庫
Select your Domains,選擇您的域名
Shopify Supplier,Shopify供應商
Payment Invoice Items,付款發票項目
Fields will be copied over only at time of creation.,字段將僅在創建時復制。
'Actual Start Date' can not be greater than 'Actual End Date',“實際開始日期”不能大於“實際結束日期'
Management,管理
Payer Settings,付款人設置
No pending Material Requests found to link for the given items.,找不到針對給定項目鏈接的待處理物料請求。
Select company first,首先選擇公司
"This will be appended to the Item Code of the variant. For example, if your abbreviation is ""SM"", and the item code is ""T-SHIRT"", the item code of the variant will be ""T-SHIRT-SM""",這將追加到變異的項目代碼。例如，如果你的英文縮寫為“SM”，而該項目的代碼是“T-SHIRT”，該變種的項目代碼將是“T-SHIRT-SM”
Net Pay (in words) will be visible once you save the Salary Slip.,薪資單一被儲存，淨付款就會被顯示出來。
Is Return,退貨
Start day is greater than end day in task '{0}',開始日期大於任務“{0}”的結束日期
Return / Debit Note,返回/借記注
Price List Country,價目表國家
UOMs,計量單位
{0} valid serial nos for Item {1},{0}項目{1}的有效的序號
