DocType: Accounting Period,Period Name,Nama Periode
DocType: Purchase Invoice,Accounting Dimensions,Dimensi Akuntansi
,Subcontracted Raw Materials To Be Transferred,Bahan Baku Subkontrak Akan Ditransfer
apps/erpnext/erpnext/config/accounting.py,Currency exchange rate master.,Master Nilai Mata Uang
,Sales Person Target Variance Based On Item Group,Varians Target Tenaga Penjual Berdasarkan Kelompok Barang
apps/erpnext/erpnext/accounts/doctype/payment_entry/payment_entry.py,Reference Doctype must be one of {0},Referensi DOCTYPE harus menjadi salah satu {0}
apps/erpnext/erpnext/stock/report/warehouse_wise_item_balance_age_and_value/warehouse_wise_item_balance_age_and_value.js,Filter Total Zero Qty,Filter Total Zero Qty
DocType: Work Order,Plan material for sub-assemblies,Planning Material untuk Barang Rakitan
apps/erpnext/erpnext/manufacturing/doctype/bom/bom.py,BOM {0} must be active,BOM {0} harus aktif
apps/erpnext/erpnext/buying/doctype/purchase_order/purchase_order.py,No Items available for transfer,Tidak ada item yang tersedia untuk transfer
DocType: Employee Boarding Activity,Activity Name,Nama Kegiatan
apps/erpnext/erpnext/accounts/doctype/purchase_invoice/purchase_invoice.js,Change Release Date,Ubah Tanggal Rilis
apps/erpnext/erpnext/stock/doctype/stock_entry/stock_entry.py,Finished product quantity <b>{0}</b> and For Quantity <b>{1}</b> cannot be different,Jumlah produk jadi <b>{0}</b> dan Untuk Kuantitas <b>{1}</b> tidak dapat berbeda
apps/erpnext/erpnext/accounts/report/general_ledger/general_ledger.py,Closing (Opening + Total),Penutupan (Pembukaan + Total)
DocType: Delivery Settings,Dispatch Notification Attachment,Lampiran Pemberitahuan Pemberitahuan
DocType: Payroll Entry,Number Of Employees,Jumlah Karyawan
DocType: Journal Entry,Depreciation Entry,penyusutan Masuk
apps/erpnext/erpnext/selling/report/sales_partner_commission_summary/sales_partner_commission_summary.py,Please select the document type first,Silakan pilih jenis dokumen terlebih dahulu
apps/erpnext/erpnext/stock/doctype/item/item.py,You have to enable auto re-order in Stock Settings to maintain re-order levels.,Anda harus mengaktifkan pemesanan ulang otomatis di Pengaturan Saham untuk mempertahankan tingkat pemesanan ulang.
apps/erpnext/erpnext/maintenance/doctype/maintenance_visit/maintenance_visit.py,Cancel Material Visits {0} before cancelling this Maintenance Visit,Batal Kunjungan Material {0} sebelum membatalkan ini Maintenance Visit
DocType: Pricing Rule,Rate or Discount,Tarif atau Diskon
apps/erpnext/erpnext/accounts/doctype/bank/bank_dashboard.py,Bank Details,Rincian bank
DocType: Vital Signs,One Sided,Satu Sisi
apps/erpnext/erpnext/stock/doctype/serial_no/serial_no.py,Serial No {0} does not belong to Item {1},Serial ada {0} bukan milik Stok Barang {1}
DocType: Purchase Order Item Supplied,Required Qty,Qty Diperlukan
DocType: Marketplace Settings,Custom Data,Data Khusus
apps/erpnext/erpnext/stock/doctype/warehouse/warehouse.py,Warehouses with existing transaction can not be converted to ledger.,Gudang dengan transaksi yang ada tidak dapat dikonversi ke buku besar.
DocType: Service Day,Service Day,Hari Layanan
apps/erpnext/erpnext/projects/doctype/project/project.py,Project Summary for {0},Ringkasan Proyek untuk {0}
apps/erpnext/erpnext/hub_node/api.py,Unable to update remote activity,Tidak dapat memperbarui aktivitas jarak jauh
apps/erpnext/erpnext/controllers/buying_controller.py,Serial no is mandatory for the item {0},Serial no wajib untuk item {0}
DocType: Bank Reconciliation,Total Amount,Nilai Total
apps/erpnext/erpnext/accounts/report/tds_computation_summary/tds_computation_summary.py,From Date and To Date lie in different Fiscal Year,Dari Tanggal dan Tanggal Berada di Tahun Fiskal yang berbeda
apps/erpnext/erpnext/healthcare/utils.py,The Patient {0} do not have customer refrence to invoice,Pasien {0} tidak memiliki faktur pelanggan untuk faktur
DocType: Quality Feedback Template,Quality Feedback Template,Template Umpan Balik Kualitas
apps/erpnext/erpnext/config/education.py,LMS Activity,Aktivitas LMS
apps/erpnext/erpnext/setup/setup_wizard/data/industry_type.py,Internet Publishing,Penerbitan Internet
apps/erpnext/erpnext/accounts/doctype/opening_invoice_creation_tool/opening_invoice_creation_tool.js,Creating {0} Invoice,Membuat {0} Faktur
DocType: Medical Code,Medical Code Standard,Standar Kode Medis
DocType: Soil Texture,Clay Composition (%),Komposisi Tanah Liar (%)
DocType: Item Group,Item Group Defaults,Default Item Group
apps/erpnext/erpnext/assets/doctype/asset_maintenance/asset_maintenance.js,Please save before assigning task.,Harap simpan sebelum menugaskan tugas.
apps/erpnext/erpnext/stock/report/stock_balance/stock_balance.py,Balance Value,Nilai Saldo
DocType: Lab Test,Lab Technician,Teknisi laboratorium
apps/erpnext/erpnext/stock/report/item_prices/item_prices.py,Sales Price List,Daftar Harga Jual
DocType: Healthcare Settings,"If checked, a customer will be created, mapped to Patient.
Patient Invoices will be created against this Customer. You can also select existing Customer while creating Patient.","Jika dicek, pelanggan akan dibuat, dipetakan ke Patient. Faktur pasien akan dibuat terhadap Nasabah ini. Anda juga bisa memilih Customer yang ada saat membuat Patient."
apps/erpnext/erpnext/accounts/doctype/loyalty_program/loyalty_program.py,Customer isn't enrolled in any Loyalty Program,Pelanggan tidak terdaftar dalam Program Loyalitas apa pun
DocType: Bank Reconciliation,Account Currency,Mata Uang Akun
DocType: Lab Test,Sample ID,Contoh ID
apps/erpnext/erpnext/accounts/general_ledger.py,Please mention Round Off Account in Company,Sebutkan Round Off Akun/ Akun Pembulatan di Perusahaan
DocType: Purchase Receipt,Range,Jarak
DocType: Supplier,Default Payable Accounts,Standar Akun Hutang
apps/erpnext/erpnext/hr/doctype/attendance/attendance.py,Employee {0} is not active or does not exist,Karyawan {0} tidak aktif atau tidak ada
DocType: Fee Structure,Components,komponen
DocType: Support Search Source,Search Term Param Name,Nama Param Istilah Pencarian
DocType: Item Barcode,Item Barcode,Item Barcode
DocType: Delivery Trip,In Transit,Sedang transit
DocType: Woocommerce Settings,Endpoints,Titik akhir
DocType: Shopping Cart Settings,Show Configure Button,Tampilkan Tombol Konfigurasi
DocType: Quality Inspection Reading,Reading 6,Membaca 6
apps/erpnext/erpnext/accounts/doctype/payment_entry/payment_entry.js,Cannot {0} {1} {2} without any negative outstanding invoice,Tidak bisa {0} {1} {2} tanpa faktur yang beredar negatif
DocType: Share Transfer,From Folio No,Dari Folio No
DocType: Purchase Invoice Advance,Purchase Invoice Advance,Uang Muka Faktur Pembelian
DocType: Shift Type,Every Valid Check-in and Check-out,Setiap check-in dan check-out yang valid
apps/erpnext/erpnext/accounts/doctype/journal_entry/journal_entry.py,Row {0}: Credit entry can not be linked with a {1},Baris {0}: entry Kredit tidak dapat dihubungkan dengan {1}
apps/erpnext/erpnext/config/accounting.py,Define budget for a financial year.,Tentukan anggaran untuk tahun keuangan.
DocType: Shopify Tax Account,ERPNext Account,Akun ERPNext
apps/erpnext/erpnext/education/doctype/student_report_generation_tool/student_report_generation_tool.py,Provide the academic year and set the starting and ending date.,Berikan tahun akademik dan tetapkan tanggal mulai dan berakhir.
apps/erpnext/erpnext/controllers/accounts_controller.py,{0} is blocked so this transaction cannot proceed,{0} diblokir sehingga transaksi ini tidak dapat dilanjutkan
DocType: Budget,Action if Accumulated Monthly Budget Exceeded on MR,Tindakan jika Akumulasi Anggaran Bulanan Melebihi MR
DocType: Employee,Permanent Address Is,Alamat Permanen Adalah:
DocType: Work Order Operation,Operation completed for how many finished goods?,Operasi selesai untuk berapa banyak Stok Barang jadi?
apps/erpnext/erpnext/healthcare/doctype/patient_appointment/patient_appointment.js,Healthcare Practitioner {0} not available on {1},Praktisi Kesehatan {0} tidak tersedia di {1}
DocType: Payment Terms Template,Payment Terms Template,Template Persyaratan Pembayaran
apps/erpnext/erpnext/public/js/setup_wizard.js,The Brand,Merek
DocType: Employee Tax Exemption Proof Submission,Rented To Date,Disewa Sampai Saat Ini
DocType: Manufacturing Settings,Allow Multiple Material Consumption,Izinkan Penggunaan Beberapa Material Sekaligus
DocType: Employee,Exit Interview Details,Detail Exit Interview
DocType: Item,Is Purchase Item,Stok Dibeli dari Supplier
DocType: Bank Statement Transaction Invoice Item,Purchase Invoice,Faktur Pembelian
DocType: Manufacturing Settings,Allow multiple Material Consumption against a Work Order,Perbolehkan beberapa Konsumsi Material terhadap Perintah Kerja
DocType: GL Entry,Voucher Detail No,Nomor Detail Voucher
DocType: Email Digest,New Sales Invoice,Baru Faktur Penjualan
DocType: Stock Entry,Total Outgoing Value,Nilai Total Keluaran
DocType: Healthcare Practitioner,Appointments,Janji
apps/erpnext/erpnext/quality_management/doctype/quality_review/quality_review_list.js,Action Initialised,Tindakan diinisialisasi
apps/erpnext/erpnext/public/js/account_tree_grid.js,Opening Date and Closing Date should be within same Fiscal Year,Tanggal dan Closing Date membuka harus berada dalam Tahun Anggaran yang sama
DocType: Lead,Request for Information,Request for Information
DocType: Course Activity,Activity Date,Tanggal Aktivitas
apps/erpnext/erpnext/erpnext_integrations/doctype/tally_migration/tally_migration.py,{} of {},{} dari {}
DocType: Sales Invoice Item,Rate With Margin (Company Currency),Tingkat Dengan Margin (Mata Uang Perusahaan)
apps/erpnext/erpnext/public/js/hub/Sidebar.vue,Categories,Kategori
apps/erpnext/erpnext/accounts/page/pos/pos.js,Sync Offline Invoices,Sinkronisasi Offline Faktur
DocType: Payment Request,Paid,Dibayar
DocType: Service Level,Default Priority,Prioritas Default
DocType: Program Fee,Program Fee,Biaya Program
DocType: BOM Update Tool,"Replace a particular BOM in all other BOMs where it is used. It will replace the old BOM link, update cost and regenerate ""BOM Explosion Item"" table as per new BOM.
It also updates latest price in all the BOMs.","Ganti BOM tertentu di semua BOM lain yang menggunakannya. Hal ini akan mengganti link BOM lama, memperbarui biaya dan membuat ulang tabel ""Rincian Barang BOM"" sesuai BOM baru. Juga memperbarui harga terbaru di semua BOM."
DocType: Employee Skill Map,Employee Skill Map,Peta Keterampilan Karyawan
apps/erpnext/erpnext/stock/doctype/material_request/material_request.py,The following Work Orders were created:,Perintah Kerja berikut dibuat:
DocType: Salary Slip,Total in words,Jumlah kata
DocType: Inpatient Record,Discharged,Boleh pulang
DocType: Material Request Item,Lead Time Date,Tanggal Masa Tenggang
,Employee Advance Summary,Ringkasan Uang Muka Karyawan
DocType: Asset,Available-for-use Date,Tanggal yang tersedia untuk penggunaan
DocType: Guardian,Guardian Name,Nama wali
DocType: Cheque Print Template,Has Print Format,Memiliki Print Format
DocType: Support Settings,Get Started Sections,Mulai Bagian
DocType: Lead,CRM-LEAD-.YYYY.-,CRM-LEAD-.YYYY.-
DocType: Invoice Discounting,Sanctioned,sanksi
,Base Amount,Jumlah dasar
apps/erpnext/erpnext/setup/doctype/sales_person/sales_person.js,Total Contribution Amount: {0},Jumlah Kontribusi Total: {0}
apps/erpnext/erpnext/stock/doctype/stock_entry/stock_entry.py,Row #{0}: Please specify Serial No for Item {1},Row # {0}: Silakan tentukan Serial ada untuk Item {1}
DocType: Payroll Entry,Salary Slips Submitted,Slip Gaji Diserahkan
DocType: Crop Cycle,Crop Cycle,Siklus Tanaman
apps/erpnext/erpnext/accounts/doctype/sales_invoice/sales_invoice.js,"For 'Product Bundle' items, Warehouse, Serial No and Batch No will be considered from the 'Packing List' table. If Warehouse and Batch No are same for all packing items for any 'Product Bundle' item, those values can be entered in the main Item table, values will be copied to 'Packing List' table.","Untuk barang-barang 'Bundel Produk', Gudang, Nomor Serial dan Nomor Batch akan diperhitungkan dari tabel 'Packing List'. Bila Gudang dan Nomor Batch sama untuk semua barang-barang kemasan dari segala barang 'Bundel Produk', maka nilai tersebut dapat dimasukkan dalam tabel Barang utama, nilai tersebut akan disalin ke tabel 'Packing List'."
DocType: Amazon MWS Settings,BR,BR
apps/erpnext/erpnext/regional/report/eway_bill/eway_bill.py,From Place,Dari Tempat
DocType: Student Admission,Publish on website,Mempublikasikan di website
apps/erpnext/erpnext/accounts/doctype/purchase_invoice/purchase_invoice.py,Supplier Invoice Date cannot be greater than Posting Date,Pemasok Faktur Tanggal tidak dapat lebih besar dari Posting Tanggal
DocType: Installation Note,MAT-INS-.YYYY.-,MAT-INS-.YYYY.-
DocType: Subscription,Cancelation Date,Tanggal Pembatalan
DocType: Purchase Invoice Item,Purchase Order Item,Stok Barang Order Pembelian
DocType: Agriculture Task,Agriculture Task,Tugas Pertanian
apps/erpnext/erpnext/accounts/doctype/account/chart_of_accounts/verified/standard_chart_of_accounts_with_account_number.py,Indirect Income,Pendapatan Tidak Langsung
DocType: Student Attendance Tool,Student Attendance Tool,Alat Kehadiran Siswa
DocType: Restaurant Menu,Price List (Auto created),Daftar Harga (Auto dibuat)
DocType: Pick List Item,Picked Qty,Memilih Qty
DocType: Cheque Print Template,Date Settings,Pengaturan Tanggal
apps/erpnext/erpnext/education/doctype/question/question.py,A question must have more than one options,Sebuah pertanyaan harus memiliki lebih dari satu opsi
apps/erpnext/erpnext/accounts/report/budget_variance_report/budget_variance_report.py,Variance,Variance
DocType: Employee Promotion,Employee Promotion Detail,Detail Promosi Karyawan
DocType: SMS Center,Total Message(s),Total Pesan (s)
DocType: Share Balance,Purchased,Dibeli
DocType: Item Variant Settings,Rename Attribute Value in Item Attribute.,Ubah Nama Nilai Atribut di Atribut Item.
DocType: Purchase Invoice,Additional Discount Percentage,Persentase Diskon Tambahan
apps/erpnext/erpnext/setup/page/welcome_to_erpnext/welcome_to_erpnext.html,View a list of all the help videos,Lihat daftar semua bantuan video
DocType: Agriculture Analysis Criteria,Soil Texture,Tekstur Tanah
DocType: Bank Reconciliation,Select account head of the bank where cheque was deposited.,Pilih kepala rekening bank mana cek diendapkan.
DocType: Selling Settings,Allow user to edit Price List Rate in transactions,Izinkan user/pengguna untuk mengubah rate daftar harga di dalam transaksi
DocType: Pricing Rule,Max Qty,Qty Maksimum
apps/erpnext/erpnext/education/doctype/student_report_generation_tool/student_report_generation_tool.js,Print Report Card,Cetak Kartu Laporan
apps/erpnext/erpnext/accounts/doctype/c_form/c_form.py,"Row {0}: Invoice {1} is invalid, it might be cancelled / does not exist. \
						Please enter a valid Invoice","Row {0}: Faktur {1} tidak valid, mungkin dibatalkan / tidak ada. \ Masukkan Faktur valid"
apps/erpnext/erpnext/accounts/doctype/journal_entry/journal_entry.py,Row {0}: Payment against Sales/Purchase Order should always be marked as advance,Baris {0}: Pembayaran terhadap Penjualan / Purchase Order harus selalu ditandai sebagai muka
apps/erpnext/erpnext/setup/setup_wizard/data/industry_type.py,Chemical,Kimia
DocType: Salary Component Account,Default Bank / Cash account will be automatically updated in Salary Journal Entry when this mode is selected.,Akun standar Bank / Cash akan otomatis diperbarui di Entri Jurnal Gaji saat mode ini dipilih.
DocType: Quiz,Latest Attempt,Percobaan terbaru
DocType: Quiz Result,Quiz Result,Hasil Kuis
apps/erpnext/erpnext/hr/doctype/leave_allocation/leave_allocation.py,Total leaves allocated is mandatory for Leave Type {0},Total cuti yang dialokasikan adalah wajib untuk Tipe Cuti {0}
apps/erpnext/erpnext/controllers/sales_and_purchase_return.py,Row # {0}: Rate cannot be greater than the rate used in {1} {2},Baris # {0}: Tarif tidak boleh lebih besar dari tarif yang digunakan di {1} {2}
apps/erpnext/erpnext/utilities/user_progress.py,Meter,Meter
DocType: Workstation,Electricity Cost,Biaya Listrik
apps/erpnext/erpnext/agriculture/doctype/water_analysis/water_analysis.py,Lab testing datetime cannot be before collection datetime,Lab testing datetime tidak bisa sebelum koleksi datetime
DocType: Subscription Plan,Cost,Biaya
DocType: HR Settings,Don't send Employee Birthday Reminders,Jangan Kirim Pengingat Ulang Tahun
DocType: Expense Claim,Total Advance Amount,Jumlah Uang Muka Total
DocType: Delivery Stop,Estimated Arrival,perkiraan kedatangan
apps/erpnext/erpnext/templates/pages/help.html,See All Articles,Lihat Semua Artikel
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py,Walk In,Walk In
DocType: Item,Inspection Criteria,Kriteria Inspeksi
apps/erpnext/erpnext/stock/doctype/material_request/material_request_list.js,Transfered,Ditransfer
DocType: BOM Website Item,BOM Website Item,BOM Situs Persediaan
apps/erpnext/erpnext/public/js/setup_wizard.js,Upload your letter head and logo. (you can edit them later).,Unggah kop surat dan logo. (Anda dapat mengubahnya nanti).
DocType: Timesheet Detail,Bill,Tagihan
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py,White,Putih
apps/erpnext/erpnext/accounts/doctype/sales_invoice/sales_invoice.py,Invalid Company for Inter Company Transaction.,Perusahaan Tidak Valid untuk Transaksi Antar Perusahaan.
DocType: SMS Center,All Lead (Open),Semua Prospek (Terbuka)
apps/erpnext/erpnext/accounts/doctype/cash_flow_mapping/cash_flow_mapping.py,You can only select a maximum of one option from the list of check boxes.,Anda hanya bisa memilih maksimal satu pilihan dari daftar kotak centang.
DocType: Purchase Invoice,Get Advances Paid,Dapatkan Uang Muka Dibayar
DocType: Item,Automatically Create New Batch,Buat Batch Baru secara otomatis
DocType: Woocommerce Settings,"The user that will be used to create Customers, Items and Sales Orders. This user should have the relevant permissions.","Pengguna yang akan digunakan untuk membuat Pelanggan, Barang dan Pesanan Penjualan. Pengguna ini harus memiliki izin yang relevan."
DocType: Supplier,Represents Company,Mewakili Perusahaan
apps/erpnext/erpnext/accounts/doctype/journal_entry/journal_entry.js,Make ,Membuat
DocType: Student Admission,Admission Start Date,Pendaftaran Mulai Tanggal
DocType: Journal Entry,Total Amount in Words,Jumlah Total dalam Kata
apps/erpnext/erpnext/hr/doctype/employee/employee_tree.js,New Employee,Karyawan baru
apps/erpnext/erpnext/controllers/selling_controller.py,Order Type must be one of {0},Order Type harus menjadi salah satu {0}
DocType: Lead,Next Contact Date,Tanggal Komunikasi Selanjutnya
apps/erpnext/erpnext/stock/report/batch_wise_balance_history/batch_wise_balance_history.py,Opening Qty,Qty Pembukaan
DocType: Healthcare Settings,Appointment Reminder,Pengingat Penunjukan
apps/erpnext/erpnext/accounts/doctype/sales_invoice/sales_invoice.py,Please enter Account for Change Amount,Silahkan masukkan account untuk Perubahan Jumlah
DocType: Program Enrollment Tool Student,Student Batch Name,Mahasiswa Nama Batch
DocType: Holiday List,Holiday List Name,Daftar Nama Hari Libur
apps/erpnext/erpnext/erpnext_integrations/doctype/tally_migration/tally_migration.py,Importing Items and UOMs,Mengimpor Item dan UOM
DocType: Repayment Schedule,Balance Loan Amount,Saldo Jumlah Pinjaman
apps/erpnext/erpnext/hr/doctype/employee_promotion/employee_promotion.js,Added to details,Ditambahkan ke detail
apps/erpnext/erpnext/accounts/doctype/pricing_rule/utils.py,"Sorry,coupon code are exhausted","Maaf, kode kupon habis"
DocType: Communication Medium,Catch All,Tangkap Semua
apps/erpnext/erpnext/education/doctype/course_scheduling_tool/course_scheduling_tool.js,Schedule Course,Jadwal Kursus
DocType: Budget,Applicable on Material Request,Berlaku pada Permintaan Material
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py,Stock Options,Opsi Persediaan
apps/erpnext/erpnext/selling/page/point_of_sale/point_of_sale.js,No Items added to cart,Tidak ada Item yang ditambahkan ke keranjang
DocType: Journal Entry Account,Expense Claim,Biaya Klaim
apps/erpnext/erpnext/assets/doctype/asset/asset.js,Do you really want to restore this scrapped asset?,Apakah Anda benar-benar ingin mengembalikan aset dibuang ini?
apps/erpnext/erpnext/manufacturing/doctype/work_order/work_order.js,Qty for {0},Kuantitas untuk {0}
DocType: Attendance,Leave Application,Aplikasi Cuti
DocType: Patient,Patient Relation,Hubungan Pasien
DocType: Item,Hub Category to Publish,Kategori Hub untuk Publikasikan
DocType: Leave Block List,Leave Block List Dates,Tanggal Blok List Cuti
apps/erpnext/erpnext/stock/doctype/serial_no/serial_no.py,"Sales Order {0} has reservation for item {1}, you can
		only deliver reserved {1} against {0}. Serial No {2} cannot
		be delivered","Sales Order {0} memiliki reservasi untuk item {1}, Anda hanya dapat memberikan reserved {1} terhadap {0}. Serial No {2} tidak dapat dikirimkan"
DocType: Sales Invoice,Billing Address GSTIN,Alamat Penagihan GSTIN
DocType: Homepage,Hero Section Based On,Bagian Pahlawan Berdasarkan
DocType: Employee Tax Exemption Proof Submission,Total Eligible HRA Exemption,Total Pengecualian HRA yang Layak
apps/erpnext/erpnext/regional/india/utils.py,Invalid GSTIN! A GSTIN must have 15 characters.,GSTIN tidak valid! GSTIN harus memiliki 15 karakter.
DocType: Assessment Plan,Evaluate,Evaluasi
DocType: Workstation,Net Hour Rate,Jumlah Jam Bersih
DocType: Landed Cost Purchase Receipt,Landed Cost Purchase Receipt,Biaya Landing Cost Nota Penerimaan
DocType: Supplier Scorecard Period,Criteria,Kriteria
DocType: Packing Slip Item,Packing Slip Item,Packing Slip Stok Barang
DocType: Purchase Invoice,Cash/Bank Account,Rekening Kas / Bank
DocType: Travel Itinerary,Train,Melatih
,Delayed Item Report,Laporan Item Tertunda
apps/erpnext/erpnext/regional/doctype/gstr_3b_report/gstr_3b_report.html,Eligible ITC,ITC yang memenuhi syarat
DocType: Healthcare Service Unit,Inpatient Occupancy,Hunian Pasien Rawat Inap
apps/erpnext/erpnext/public/js/hub/pages/PublishedItems.vue,Publish Your First Items,Publikasikan Item Pertama Anda
DocType: Sample Collection,HLC-SC-.YYYY.-,HLC-SC-.YYYY.-
DocType: Shift Type,Time after the end of shift during which check-out is considered for attendance.,Waktu setelah akhir shift dimana check-out dipertimbangkan untuk hadir.
apps/erpnext/erpnext/public/js/queries.js,Please specify a {0},Tentukan {0}
apps/erpnext/erpnext/stock/doctype/stock_reconciliation/stock_reconciliation.py,Removed items with no change in quantity or value.,Item dihapus dengan tidak ada perubahan dalam jumlah atau nilai.
DocType: Delivery Note,Delivery To,Pengiriman Untuk
apps/erpnext/erpnext/stock/doctype/item/item.js,Variant creation has been queued.,Pembuatan varian telah antri.
apps/erpnext/erpnext/hr/doctype/daily_work_summary/daily_work_summary.py,Work Summary for {0},Ringkasan Kerja untuk {0}
DocType: Department,The first Leave Approver in the list will be set as the default Leave Approver.,The Leave Approver pertama dalam daftar akan ditetapkan sebagai Default Leave Approver.
apps/erpnext/erpnext/stock/doctype/item/item.py,Attribute table is mandatory,Tabel atribut wajib
apps/erpnext/erpnext/stock/report/delayed_item_report/delayed_item_report.py,Delayed Days,Hari yang Tertunda
DocType: Production Plan,Get Sales Orders,Dapatkan Order Penjualan
apps/erpnext/erpnext/accounts/doctype/pricing_rule/pricing_rule.py,{0} can not be negative,{0} tidak dapat negatif
apps/erpnext/erpnext/erpnext_integrations/doctype/quickbooks_migrator/quickbooks_migrator.js,Connect to Quickbooks,Hubungkan ke Quickbooks
apps/erpnext/erpnext/templates/generators/item/item_configure.js,Clear values,Nilai yang jelas
DocType: Training Event,Self-Study,Belajar sendiri
DocType: POS Closing Voucher,Period End Date,Tanggal Akhir Masa
apps/erpnext/erpnext/regional/india/utils.py,Transport Receipt No and Date are mandatory for your chosen Mode of Transport,No Kwitansi Transportasi dan Tanggal wajib untuk Mode Transportasi yang Anda pilih
apps/erpnext/erpnext/agriculture/doctype/soil_texture/soil_texture.py,Soil compositions do not add up to 100,Komposisi tanah tidak bertambah hingga 100
apps/erpnext/erpnext/selling/page/point_of_sale/point_of_sale.js,Discount,Diskon
apps/erpnext/erpnext/accounts/doctype/opening_invoice_creation_tool/opening_invoice_creation_tool.py,Row {0}: {1} is required to create the Opening {2} Invoices,Baris {0}: {1} diperlukan untuk membuat Pembukaan {2} Faktur
DocType: Membership,Membership,Keanggotaan
DocType: Asset,Total Number of Depreciations,Total Jumlah Penyusutan
apps/erpnext/erpnext/hr/report/bank_remittance/bank_remittance.py,Debit A/C Number,Nomor A / C debit
DocType: Sales Invoice Item,Rate With Margin,Tingkat Dengan Margin
DocType: Purchase Invoice,Is Return (Debit Note),Is Return (Debit Note)
DocType: Workstation,Wages,Upah
DocType: Asset Maintenance,Maintenance Manager Name,Nama Manajer Pemeliharaan
apps/erpnext/erpnext/accounts/doctype/chart_of_accounts_importer/chart_of_accounts_importer.js,Transactions against the company already exist! ,Transaksi terhadap perusahaan sudah ada!
apps/erpnext/erpnext/buying/report/procurement_tracker/procurement_tracker.py,Requesting Site,Situs yang Meminta
DocType: Agriculture Task,Urgent,Mendesak
apps/erpnext/erpnext/healthcare/doctype/patient_appointment/patient_appointment.js,Fetching records......,Mengambil catatan ......
apps/erpnext/erpnext/accounts/doctype/payment_entry/payment_entry.js,Please specify a valid Row ID for row {0} in table {1},Tentukan Row ID berlaku untuk baris {0} dalam tabel {1}
apps/erpnext/erpnext/buying/doctype/supplier_scorecard_criteria/supplier_scorecard_criteria.py,Unable to find variable: ,Tidak dapat menemukan variabel:
apps/erpnext/erpnext/selling/page/point_of_sale/point_of_sale.js,Please select a field to edit from numpad,Harap pilih bidang yang akan diedit dari numpad
apps/erpnext/erpnext/stock/doctype/item/item.py,Cannot be a fixed asset item as Stock Ledger is created.,Tidak dapat menjadi item aset tetap karena Stock Ledger dibuat.
DocType: Subscription Plan,Fixed rate,Suku bunga tetap
apps/erpnext/erpnext/healthcare/doctype/inpatient_record/inpatient_record.js,Admit,Mengakui
apps/erpnext/erpnext/setup/page/welcome_to_erpnext/welcome_to_erpnext.html,Go to the Desktop and start using ERPNext,Pergi ke Desktop dan mulai menggunakan ERPNext
apps/erpnext/erpnext/templates/pages/order.js,Pay Remaining,Bayar Sisa
DocType: Purchase Invoice Item,Manufacturer,Pabrikasi
DocType: Landed Cost Item,Purchase Receipt Item,Nota Penerimaan Stok Barang
DocType: Leave Allocation,Total Leaves Encashed,Total Cuti Yang Diuangkan
DocType: POS Profile,Sales Invoice Payment,Pembayaran Faktur Penjualan
DocType: Quality Inspection Template,Quality Inspection Template Name,Nama Template Inspeksi Kualitas
DocType: Project,First Email,Email Pertama
DocType: Company,Exception Budget Approver Role,Peran Perwakilan Anggaran Pengecualian
DocType: Purchase Invoice,"Once set, this invoice will be on hold till the set date","Setelah ditetapkan, faktur ini akan ditahan hingga tanggal yang ditetapkan"
DocType: Cashier Closing,POS-CLO-,POS-CLO-
apps/erpnext/erpnext/accounts/report/gross_profit/gross_profit.py,Selling Amount,Nilai Penjualan
DocType: Repayment Schedule,Interest Amount,Jumlah bunga
DocType: Job Card,Time Logs,Log Waktu
DocType: Sales Invoice,Loyalty Amount,Jumlah Loyalitas
DocType: Employee Transfer,Employee Transfer Detail,Detail Transfer Karyawan
DocType: Serial No,Creation Document No,Nomor Dokumen
DocType: Location,Location Details,Detail Lokasi
DocType: Share Transfer,Issue,Masalah / Isu
apps/erpnext/erpnext/healthcare/doctype/patient_encounter/patient_encounter_dashboard.py,Records,Catatan
DocType: Asset,Scrapped,membatalkan
DocType: Item,Item Defaults,Default Barang
DocType: Cashier Closing,Returns,Retur
DocType: Job Card,WIP Warehouse,WIP Gudang
apps/erpnext/erpnext/maintenance/doctype/maintenance_schedule/maintenance_schedule.py,Serial No {0} is under maintenance contract upto {1},Serial ada {0} berada di bawah kontrak pemeliharaan upto {1}
apps/erpnext/erpnext/config/hr.py,Recruitment,Pengerahan
DocType: Lead,Organization Name,Nama Organisasi
DocType: Support Settings,Show Latest Forum Posts,Tampilkan Posting Forum Terbaru
DocType: Tax Rule,Shipping State,Negara Pengirim
,Projected Quantity as Source,Proyeksi Jumlah sebagai Sumber
apps/erpnext/erpnext/stock/doctype/landed_cost_voucher/landed_cost_voucher.py,Item must be added using 'Get Items from Purchase Receipts' button,Item harus ditambahkan dengan menggunakan 'Dapatkan Produk dari Pembelian Penerimaan' tombol
apps/erpnext/erpnext/stock/doctype/delivery_note/delivery_note.js,Delivery Trip,Perjalanan pengiriman
DocType: Student,A-,A-
DocType: Share Transfer,Transfer Type,Jenis transfer
DocType: Pricing Rule,Quantity and Amount,Kuantitas dan Jumlah
apps/erpnext/erpnext/accounts/doctype/account/chart_of_accounts/verified/standard_chart_of_accounts_with_account_number.py,Sales Expenses,Beban Penjualan
