DocType: Accounting Period,Period Name,ຊື່ໄລຍະເວລາ
apps/erpnext/erpnext/accounts/doctype/payment_reconciliation/payment_reconciliation.js,Difference Account,ບັນຊີທີ່ແຕກຕ່າງກັນ
DocType: Pricing Rule,Discount on Other Item,ຫຼຸດລາຄາສິນຄ້າອື່ນໆ
DocType: Purchase Invoice,Supplier GSTIN,GSTIN Supplier
apps/erpnext/erpnext/regional/doctype/gstr_3b_report/gstr_3b_report.js,View Form,ເບິ່ງແບບຟອມ
DocType: Work Order,Additional Operating Cost,ຄ່າໃຊ້ຈ່າຍເພີ່ມເຕີມ
DocType: Lab Test Template,Lab Routine,Lab routine
apps/erpnext/erpnext/setup/setup_wizard/data/industry_type.py,Cosmetics,ເຄື່ອງສໍາອາງ
apps/erpnext/erpnext/assets/doctype/asset_maintenance_log/asset_maintenance_log.py,Please select Completion Date for Completed Asset Maintenance Log,ກະລຸນາເລືອກວັນສໍາເລັດສໍາລັບບັນທຶກການບໍາລຸງຮັກສາທີ່ສົມບູນແລ້ວ
apps/erpnext/erpnext/stock/doctype/material_request/material_request.py,{0} is not the default supplier for any items.,{0} ບໍ່ແມ່ນຜູ້ສະ ໜອງ ສິນຄ້າເລີ່ມຕົ້ນ.
apps/erpnext/erpnext/stock/doctype/item/item.py,"To merge, following properties must be same for both items",ການຜະສານຄຸນສົມບັດດັ່ງຕໍ່ໄປນີ້ຈະຕ້ອງດຽວກັນສໍາລັບການລາຍການທັງສອງ
DocType: Supplier,Block Supplier,Block Supplier
DocType: Shipping Rule,Net Weight,ນໍ້າຫນັກສຸດທິ
DocType: Job Opening,Planned number of Positions,ຈໍານວນຕໍາແຫນ່ງວາງແຜນ
DocType: Employee,Emergency Phone,ໂທລະສັບສຸກເສີນ
apps/erpnext/erpnext/accounts/doctype/opening_invoice_creation_tool/opening_invoice_creation_tool.py,{0} {1} does not exist.,{0} {1} ບໍ່ມີຢູ່.
apps/erpnext/erpnext/stock/doctype/item/item_dashboard.py,Buy,ຊື້
,Serial No Warranty Expiry,Serial No ຫມົດອາຍຸການຮັບປະກັນ
DocType: Sales Invoice,Offline POS Name,ອອຟໄລຊື່ POS
DocType: Task,Dependencies,ການເພິ່ງພາອາໄສ
apps/erpnext/erpnext/utilities/user_progress.py,Student Application,ຄໍາຮ້ອງສະຫມັກນັກສຶກສາ
DocType: Bank Statement Transaction Payment Item,Payment Reference,ອ້າງອີງການຈ່າຍເງິນ
DocType: Supplier,Hold Type,ຖືປະເພດ
apps/erpnext/erpnext/education/doctype/grading_scale/grading_scale.py,Please define grade for Threshold 0%,ກະລຸນາອະທິບາຍຊັ້ນສໍາລັບ Threshold 0%
apps/erpnext/erpnext/education/doctype/grading_scale/grading_scale.py,Please define grade for Threshold 0%,ກະລຸນາອະທິບາຍຊັ້ນສໍາລັບ Threshold 0%
DocType: Bank Statement Transaction Payment Item,Bank Statement Transaction Payment Item,ບັນຊີລາຍການການໂອນເງິນຂອງທະນາຄານ
DocType: Sales Order,To Deliver,ການສົ່ງ
DocType: Purchase Invoice Item,Item,ລາຍການ
apps/erpnext/erpnext/healthcare/setup.py,High Sensitivity,ຄວາມໄວສູງ
apps/erpnext/erpnext/config/non_profit.py,Volunteer Type information.,Volunteer ປະເພດຂໍ້ມູນ.
DocType: Cash Flow Mapping Template,Cash Flow Mapping Template,Template Flow Mapping Template
DocType: Travel Request,Costing Details,ລາຄາຄ່າໃຊ້ຈ່າຍ
apps/erpnext/erpnext/selling/report/sales_partner_transaction_summary/sales_partner_transaction_summary.js,Show Return Entries,Show Return Entries
apps/erpnext/erpnext/accounts/page/pos/pos.js,Serial no item cannot be a fraction,Serial ລາຍການທີ່ບໍ່ມີບໍ່ສາມາດຈະສ່ວນຫນຶ່ງເປັນ
DocType: Journal Entry,Difference (Dr - Cr),ຄວາມແຕກຕ່າງກັນ (Dr - Cr)
DocType: Bank Guarantee,Providing,ການສະຫນອງ
DocType: Account,Profit and Loss,ກໍາໄລແລະຂາດທຶນ
DocType: Tally Migration,Tally Migration,ການອົບພະຍົບ Tally
apps/erpnext/erpnext/healthcare/doctype/lab_test/lab_test.js,"Not permitted, configure Lab Test Template as required",ບໍ່ອະນຸຍາດໃຫ້ກໍານົດຄ່າທົດລອງທົດລອງທົດລອງຕາມຕ້ອງການ
DocType: Patient,Risk Factors,ປັດໄຈຄວາມສ່ຽງ
DocType: Patient,Occupational Hazards and Environmental Factors,ອັນຕະລາຍດ້ານອາຊີບແລະສິ່ງແວດລ້ອມ
apps/erpnext/erpnext/stock/doctype/stock_entry/stock_entry.py,Stock Entries already created for Work Order ,ບັນດາຜະລິດຕະພັນທີ່ສ້າງແລ້ວສໍາລັບຄໍາສັ່ງເຮັດວຽກ
apps/erpnext/erpnext/templates/pages/cart.html,See past orders,ເບິ່ງການສັ່ງຊື້ທີ່ຜ່ານມາ
apps/erpnext/erpnext/public/js/hub/pages/Selling.vue,{0} conversations,{0} ການສົນທະນາ
DocType: Vital Signs,Respiratory rate,ອັດຕາການຫາຍໃຈ
apps/erpnext/erpnext/config/help.py,Managing Subcontracting,ການຄຸ້ມຄອງການ Subcontracting
DocType: Vital Signs,Body Temperature,ອຸນຫະພູມຮ່າງກາຍ
DocType: Project,Project will be accessible on the website to these users,ໂຄງການຈະສາມາດເຂົ້າເຖິງກ່ຽວກັບເວັບໄຊທ໌ເພື່ອຜູ້ໃຊ້ເຫລົ່ານີ້
apps/erpnext/erpnext/stock/doctype/serial_no/serial_no.py,Cannot cancel {0} {1} because Serial No {2} does not belong to the warehouse {3},ບໍ່ສາມາດຍົກເລີກ {0} {1} ເພາະວ່າ Serial No {2} ບໍ່ກ່ຽວກັບສາງ {3}
DocType: Detected Disease,Disease,ພະຍາດ
DocType: Company,Default Deferred Expense Account,ບັນຊີຄ່າໃຊ້ຈ່າຍທີ່ຖືກຍົກເວັ້ນຄ່າທໍານຽມ
apps/erpnext/erpnext/config/projects.py,Define Project type.,ກໍານົດປະເພດໂຄງການ.
DocType: Supplier Scorecard,Weighting Function,Function Weighting
DocType: Employee Tax Exemption Proof Submission,Total Actual Amount,ຈຳ ນວນເງິນທັງ ໝົດ ຕົວຈິງ
DocType: Healthcare Practitioner,OP Consulting Charge,OP Consulting Charge
apps/erpnext/erpnext/utilities/user_progress.py,Setup your ,ຕິດຕັ້ງຂອງທ່ານ
DocType: Student Report Generation Tool,Show Marks,ສະແດງເຄື່ອງຫມາຍ
DocType: Support Settings,Get Latest Query,Get Latest Query
DocType: Quotation,Rate at which Price list currency is converted to company's base currency,ອັດຕາການທີ່ສະເຫນີລາຄາສະກຸນເງິນຈະປ່ຽນເປັນສະກຸນເງິນຂອງບໍລິສັດ
apps/erpnext/erpnext/setup/doctype/company/company.py,Account {0} does not belong to company: {1},ບັນຊີ {0} ບໍ່ໄດ້ຂຶ້ນກັບບໍລິສັດ: {1}
apps/erpnext/erpnext/setup/doctype/company/company.py,Abbreviation already used for another company,ຕົວຫຍໍ້ທີ່ໃຊ້ສໍາລັບການບໍລິສັດອື່ນ
DocType: Selling Settings,Default Customer Group,ມາດຕະຖານກຸ່ມລູກຄ້າ
apps/erpnext/erpnext/accounts/report/accounts_receivable/accounts_receivable.js,Payment Tems,Tems ການຈ່າຍເງິນ
DocType: Employee,IFSC Code,IFSC Code
DocType: Global Defaults,"If disable, 'Rounded Total' field will not be visible in any transaction","ຖ້າຫາກວ່າປິດການໃຊ້ງານ, ພາກສະຫນາມ &#39;ມົນລວມຈະບໍ່ສັງເກດເຫັນໃນການໂອນເງີນ"
DocType: BOM,Operating Cost,ຄ່າໃຊ້ຈ່າຍປະຕິບັດການ
DocType: Crop,Produced Items,ຜະລິດສິນຄ້າ
DocType: Bank Statement Transaction Entry,Match Transaction to Invoices,ຄໍາວ່າການຄ້າກັບໃບແຈ້ງຫນີ້
apps/erpnext/erpnext/erpnext_integrations/exotel_integration.py,Error in Exotel incoming call,ຂໍ້ຜິດພາດໃນການໂທເຂົ້າ Exotel
DocType: Sales Order Item,Gross Profit,ກໍາໄຮຂັ້ນຕົ້ນ
apps/erpnext/erpnext/accounts/doctype/purchase_invoice/purchase_invoice.js,Unblock Invoice,Unblock Invoice
apps/erpnext/erpnext/stock/doctype/item_attribute/item_attribute.py,Increment cannot be 0,ການເພີ່ມຂຶ້ນບໍ່ສາມາດຈະເປັນ 0
DocType: Company,Delete Company Transactions,ລົບລາຍະການບໍລິສັດ
DocType: Production Plan Item,Quantity and Description,ຈຳ ນວນແລະລາຍລະອຽດ
apps/erpnext/erpnext/accounts/doctype/payment_entry/payment_entry.py,Reference No and Reference Date is mandatory for Bank transaction,ກະສານອ້າງອີງບໍ່ມີແລະວັນທີເອກະສານແມ່ນການບັງຄັບສໍາລັບການເຮັດທຸລະກໍາທະນາຄານ
DocType: Purchase Receipt,Add / Edit Taxes and Charges,ເພີ່ມ / ແກ້ໄຂພາສີອາກອນແລະຄ່າບໍລິການ
DocType: Payment Entry Reference,Supplier Invoice No,Supplier Invoice No
DocType: Territory,For reference,ສໍາລັບການກະສານອ້າງອີງ
DocType: Healthcare Settings,Appointment Confirmation,ການຍືນຍັນການແຕ່ງຕັ້ງ
DocType: Inpatient Record,HLC-INP-.YYYY.-,HLC-INP -YYYY.-
apps/erpnext/erpnext/stock/doctype/serial_no/serial_no.py,"Cannot delete Serial No {0}, as it is used in stock transactions","ບໍ່ສາມາດລົບ Serial No {0}, ຍ້ອນວ່າມັນໄດ້ຖືກນໍາໃຊ້ໃນທຸລະກໍາຫຼັກຊັບ"
apps/erpnext/erpnext/accounts/report/trial_balance/trial_balance.py,Closing (Cr),ປິດ (Cr)
DocType: Purchase Invoice,Registered Composition,ອົງປະກອບທີ່ລົງທະບຽນ
apps/erpnext/erpnext/hr/notification/training_feedback/training_feedback.html,Hello,ສະບາຍດີ
apps/erpnext/erpnext/stock/dashboard/item_dashboard.js,Move Item,ການເຄື່ອນໄຫວສິນຄ້າ
DocType: Employee Incentive,Incentive Amount,ຈໍານວນເງິນຊຸກຍູ້
,Employee Leave Balance Summary,ໃບສະຫຼຸບຍອດເຫຼືອຂອງພະນັກງານ
DocType: Serial No,Warranty Period (Days),ໄລຍະເວລາຮັບປະກັນ (ວັນ)
apps/erpnext/erpnext/accounts/doctype/journal_entry/journal_entry.py,Total Credit/ Debit Amount should be same as linked Journal Entry,ຈໍານວນເງິນເຄດິດ / ເງິນຝາກທະນາຄານທັງຫມົດຄວນຈະມີການເຊື່ອມໂຍງກັນກັບວາລະສານ
DocType: Installation Note Item,Installation Note Item,ການຕິດຕັ້ງຫມາຍເຫດລາຍການ
DocType: Production Plan Item,Pending Qty,ຢູ່ລະຫວ່າງການຈໍານວນ
DocType: Budget,Ignore,ບໍ່ສົນໃຈ
apps/erpnext/erpnext/accounts/party.py,{0} {1} is not active,{0} {1} ບໍ່ເຮັດວຽກ
DocType: Woocommerce Settings,Freight and Forwarding Account,ບັນຊີ Freight and Forwarding
apps/erpnext/erpnext/config/accounting.py,Setup cheque dimensions for printing,ຂະຫນາດການຕິດຕັ້ງການກວດສໍາລັບການພິມ
apps/erpnext/erpnext/hr/doctype/payroll_entry/payroll_entry.js,Create Salary Slips,ສ້າງລາຍຈ່າຍເງິນເດືອນ
DocType: Vital Signs,Bloated,Bloated
DocType: Salary Slip,Salary Slip Timesheet,Timesheet ເງິນເດືອນ Slip
apps/erpnext/erpnext/controllers/buying_controller.py,Supplier Warehouse mandatory for sub-contracted Purchase Receipt,Supplier Warehouse ບັງຄັບສໍາລັບອະນຸສັນຍາຮັບຊື້
DocType: Item Price,Valid From,ຖືກຕ້ອງຈາກ
apps/erpnext/erpnext/public/js/hub/components/ReviewArea.vue,Your rating: ,rating ຂອງທ່ານ:
DocType: Sales Invoice,Total Commission,ຄະນະກໍາມະການທັງຫມົດ
DocType: Tax Withholding Account,Tax Withholding Account,ບັນຊີອອມຊັບພາສີ
DocType: Pricing Rule,Sales Partner,Partner ຂາຍ
apps/erpnext/erpnext/config/buying.py,All Supplier scorecards.,ທັງຫມົດ scorecards Supplier.
DocType: Coupon Code,To be used to get discount,ເພື່ອໃຊ້ໃນການຮັບສ່ວນຫຼຸດ
DocType: Buying Settings,Purchase Receipt Required,ຊື້ຮັບທີ່ກໍານົດໄວ້
DocType: Sales Invoice,Rail,ລົດໄຟ
apps/erpnext/erpnext/buying/report/procurement_tracker/procurement_tracker.py,Actual Cost,ຄ່າໃຊ້ຈ່າຍຕົວຈິງ
DocType: Item,Website Image,ຮູບພາບເວບໄຊທ໌
apps/erpnext/erpnext/stock/doctype/stock_entry/stock_entry.py,Target warehouse in row {0} must be same as Work Order,ສາງເປົ້າຫມາຍໃນແຖວ {0} ຕ້ອງຄືກັນກັບຄໍາສັ່ງການເຮັດວຽກ
apps/erpnext/erpnext/stock/doctype/item/item.py,Valuation Rate is mandatory if Opening Stock entered,ອັດຕາມູນຄ່າເປັນການບັງຄັບຖ້າຫາກວ່າການເປີດກວ້າງການຕະຫຼາດເຂົ້າໄປ
apps/erpnext/erpnext/accounts/doctype/payment_reconciliation/payment_reconciliation.py,No records found in the Invoice table,ບໍ່ມີພົບເຫັນຢູ່ໃນຕາຕະລາງການບັນທຶກການໃບເກັບເງິນ
apps/erpnext/erpnext/accounts/doctype/payment_reconciliation/payment_reconciliation.js,Please select Company and Party Type first,ກະລຸນາເລືອກບໍລິສັດແລະພັກປະເພດທໍາອິດ
apps/erpnext/erpnext/accounts/doctype/pos_profile/pos_profile.py,"Already set default in pos profile {0} for user {1}, kindly disabled default","ຕັ້ງຄ່າເລີ່ມຕົ້ນໃນຕໍາແຫນ່ງ pos {0} ສໍາລັບຜູ້ໃຊ້ {1} ແລ້ວ, default default disabled"
apps/erpnext/erpnext/config/accounting.py,Financial / accounting year.,ທາງດ້ານການເງິນ / ການບັນຊີປີ.
apps/erpnext/erpnext/accounts/report/balance_sheet/balance_sheet.js,Accumulated Values,ຄ່າສະສົມ
apps/erpnext/erpnext/stock/doctype/serial_no/serial_no.py,"Sorry, Serial Nos cannot be merged","ຂໍອະໄພ, Serial Nos ບໍ່ສາມາດລວມ"
DocType: Shopify Settings,Customer Group will set to selected group while syncing customers from Shopify,ກຸ່ມລູກຄ້າຈະກໍານົດກຸ່ມທີ່ເລືອກໃນຂະນະທີ່ການຊິງຊັບລູກຄ້າຈາກ Shopify
apps/erpnext/erpnext/accounts/doctype/pos_profile/pos_profile.py,Territory is Required in POS Profile,ອານາເຂດຂອງໄດ້ຖືກກໍານົດໄວ້ໃນຂໍ້ມູນສ່ວນຕົວ POS
DocType: Supplier,Prevent RFQs,Prevent RFQs
DocType: Hub User,Hub User,User Hub
apps/erpnext/erpnext/hr/doctype/payroll_entry/payroll_entry.py,Salary Slip submitted for period from {0} to {1},ໃບສະເຫນີລາຄາທີ່ຖືກສົ່ງສໍາລັບໄລຍະເວລາຈາກ {0} ກັບ {1}
apps/erpnext/erpnext/education/doctype/quiz/quiz.py,Passing Score value should be between 0 and 100,ຄ່າຜ່ານຄະແນນຄວນຢູ່ລະຫວ່າງ 0 ເຖິງ 100
DocType: Loyalty Point Entry Redemption,Redeemed Points,Redeemed Points
,Lead Id,Id ນໍາ
DocType: C-Form Invoice Detail,Grand Total,ລວມທັງຫມົດ
DocType: Assessment Plan,Course,ຂອງລາຍວິຊາ
apps/erpnext/erpnext/accounts/report/tds_computation_summary/tds_computation_summary.py,Section Code,ລະຫັດພາກສ່ວນ
apps/erpnext/erpnext/stock/doctype/stock_reconciliation/stock_reconciliation.py,Valuation Rate required for Item {0} at row {1},ອັດຕາການປະເມີນມູນຄ່າທີ່ຕ້ອງການ ສຳ ລັບລາຍການ {0} ຢູ່ແຖວ {1}
DocType: Timesheet,Payslip,Payslip
apps/erpnext/erpnext/accounts/doctype/promotional_scheme/promotional_scheme.py,Pricing Rule {0} is updated,ກົດລະບຽບການ ກຳ ນົດລາຄາ {0} ແມ່ນຖືກປັບປຸງ
apps/erpnext/erpnext/hr/doctype/attendance_request/attendance_request.py,Half day date should be in between from date and to date,ວັນທີເຄິ່ງຫນຶ່ງຄວນຢູ່ໃນລະຫວ່າງວັນທີແລະວັນທີ
DocType: POS Closing Voucher,Expense Amount,ຈຳ ນວນລາຍຈ່າຍ
apps/erpnext/erpnext/public/js/pos/pos.html,Item Cart,ໂຄງຮ່າງການລາຍການ
DocType: Quality Action,Resolution,ການແກ້ໄຂ
DocType: Employee,Personal Bio,ຊີວະປະວັດສ່ວນບຸກຄົນ
DocType: C-Form,IV,IV
apps/erpnext/erpnext/non_profit/report/expiring_memberships/expiring_memberships.py,Membership ID,ຊື່ສະຫມາຊິກ
apps/erpnext/erpnext/stock/doctype/stock_entry/stock_entry.js,Receive at Warehouse Entry,ຮັບເຄື່ອງທີ່ສາງເຂົ້າ
apps/erpnext/erpnext/templates/pages/material_request_info.html,Delivered: {0},ສົ່ງ: {0}
DocType: QuickBooks Migrator,Connected to QuickBooks,ເຊື່ອມຕໍ່ກັບ QuickBooks
apps/erpnext/erpnext/accounts/doctype/chart_of_accounts_importer/chart_of_accounts_importer.py,Please identify/create Account (Ledger) for type - {0},ກະລຸນາລະບຸ / ສ້າງບັນຊີ (Ledger) ສຳ ລັບປະເພດ - {0}
DocType: Bank Statement Transaction Entry,Payable Account,ບັນຊີທີ່ຕ້ອງຈ່າຍ
apps/erpnext/erpnext/public/js/hub/pages/PublishedItems.vue,You haven\,ທ່ານບໍ່ມີ
DocType: Payment Entry,Type of Payment,ປະເພດຂອງການຊໍາລະເງິນ
apps/erpnext/erpnext/hr/doctype/compensatory_leave_request/compensatory_leave_request.py,Half Day Date is mandatory,ວັນທີເຄິ່ງວັນແມ່ນຈໍາເປັນ
DocType: Sales Order,Billing and Delivery Status,ໃບບິນແລະການຈັດສົ່ງສິນຄ້າສະຖານະ
DocType: Job Applicant,Resume Attachment,ຊີວະປະຫວັດ Attachment
apps/erpnext/erpnext/selling/report/customer_acquisition_and_loyalty/customer_acquisition_and_loyalty.py,Repeat Customers,ລູກຄ້າຊ້ໍາ
DocType: Leave Control Panel,Allocate,ຈັດສັນ
apps/erpnext/erpnext/stock/doctype/item/item.js,Create Variant,ສ້າງ Variant
DocType: Sales Invoice,Shipping Bill Date,ສົ່ງວັນທີໃບບິນ
DocType: Production Plan,Production Plan,ແຜນການຜະລິດ
DocType: Opening Invoice Creation Tool,Opening Invoice Creation Tool,ເປີດເຄື່ອງມືການສ້າງໃບເກັບເງິນ
DocType: Salary Component,Round to the Nearest Integer,ມົນກັບການເຊື່ອມໂຍງໃກ້ທີ່ສຸດ
DocType: Shopping Cart Settings,Allow items not in stock to be added to cart,ອະນຸຍາດໃຫ້ເອົາສິນຄ້າທີ່ບໍ່ຢູ່ໃນສິນຄ້າເຂົ້າໄປໃນກະຕ່າ
apps/erpnext/erpnext/stock/doctype/delivery_note/delivery_note.js,Sales Return,Return ຂາຍ
DocType: Stock Settings,Set Qty in Transactions based on Serial No Input,ຕັ້ງຄ່າ Qty ໃນການປະຕິບັດການໂດຍອີງໃສ່ການນໍາເຂົ້າບໍ່ມີ Serial
,Total Stock Summary,ທັງຫມົດສະຫຼຸບ Stock
apps/erpnext/erpnext/hr/doctype/staffing_plan/staffing_plan.py,"You can only plan for upto {0} vacancies and budget {1} \
				for {2} as per staffing plan {3} for parent company {4}.",ທ່ານພຽງແຕ່ສາມາດວາງແຜນສໍາລັບ {0} vacancies ແລະງົບປະມານ {1} ສໍາລັບ {2} ຕາມແຜນການພະນັກງານ {3} ສໍາລັບບໍລິສັດແມ່ {4}.
DocType: Announcement,Posted By,ຈັດພີມມາໂດຍ
apps/erpnext/erpnext/controllers/stock_controller.py,Quality Inspection required for Item {0} to submit,ການກວດກາຄຸນນະພາບ ສຳ ລັບລາຍການ {0} ຕ້ອງສົ່ງ
DocType: Item,Delivered by Supplier (Drop Ship),ນໍາສະເຫນີໂດຍຜູ້ຜະລິດ (Drop ການຂົນສົ່ງ)
DocType: Healthcare Settings,Confirmation Message,Confirmation Message
apps/erpnext/erpnext/config/crm.py,Database of potential customers.,ຖານຂໍ້ມູນຂອງລູກຄ້າທີ່ອາດມີ.
DocType: Authorization Rule,Customer or Item,ລູກຄ້າຫຼືສິນຄ້າ
apps/erpnext/erpnext/config/crm.py,Customer database.,ຖານຂໍ້ມູນລູກຄ້າ.
DocType: Quotation,Quotation To,ສະເຫນີລາຄາການ
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py,Middle Income,ລາຍໄດ້ປານກາງ
apps/erpnext/erpnext/accounts/report/trial_balance/trial_balance.py,Opening (Cr),ເປີດ (Cr)
apps/erpnext/erpnext/stock/doctype/item/item.py,Default Unit of Measure for Item {0} cannot be changed directly because you have already made some transaction(s) with another UOM. You will need to create a new Item to use a different Default UOM.,ມາດຕະຖານ Unit of Measure ສໍາລັບລາຍການ {0} ບໍ່ສາມາດໄດ້ຮັບການປ່ຽນແປງໂດຍກົງເພາະວ່າທ່ານໄດ້ເຮັດແລ້ວການເຮັດທຸລະກໍາບາງ (s) ມີ UOM ອື່ນ. ທ່ານຈະຕ້ອງການເພື່ອສ້າງເປັນລາຍການໃຫມ່ທີ່ຈະນໍາໃຊ້ UOM ມາດຕະຖານທີ່ແຕກຕ່າງກັນ.
DocType: Purchase Invoice,Overseas,ຕ່າງປະເທດ
apps/erpnext/erpnext/hr/doctype/expense_claim/expense_claim.js,Please set the Company,ກະລຸນາຕັ້ງບໍລິສັດໄດ້
apps/erpnext/erpnext/hr/doctype/expense_claim/expense_claim.js,Please set the Company,ກະລຸນາຕັ້ງບໍລິສັດໄດ້
DocType: Share Balance,Share Balance,Share Balance
DocType: Amazon MWS Settings,AWS Access Key ID,AWS Access Key ID
DocType: Employee Tax Exemption Declaration,Monthly House Rent,Monthly House Rent
apps/erpnext/erpnext/projects/doctype/task/task_list.js,Set as Completed,ກໍານົດເປັນສໍາເລັດ
DocType: Purchase Order Item,Billed Amt,ບັນຊີລາຍ Amt
DocType: Training Result Employee,Training Result Employee,ພະນັກງານການຝຶກອົບຮົມການຄົ້ນຫາ
DocType: Warehouse,A logical Warehouse against which stock entries are made.,A Warehouse ຢ່າງມີເຫດຜົນການຕໍ່ຕ້ານທີ່ entries ຫຼັກຊັບໄດ້.
apps/erpnext/erpnext/hr/doctype/loan/loan.js,Principal Amount,ຈໍານວນຜູ້ອໍານວຍການ
DocType: Loan Application,Total Payable Interest,ທັງຫມົດດອກເບ້ຍຄ້າງຈ່າຍ
apps/erpnext/erpnext/education/doctype/fee_schedule/fee_schedule.js,Total Outstanding: {0},ຍອດລວມ: {0}
apps/erpnext/erpnext/public/js/call_popup/call_popup.js,Open Contact,ເປີດຕິດຕໍ່
DocType: Sales Invoice Timesheet,Sales Invoice Timesheet,ຂາຍ Invoice Timesheet
apps/erpnext/erpnext/accounts/doctype/journal_entry/journal_entry.py,Reference No & Reference Date is required for {0},ກະສານອ້າງອີງບໍ່ມີວັນແລະເວລາກະສານອ້າງອີງຕ້ອງການສໍາລັບ {0}
apps/erpnext/erpnext/stock/doctype/stock_reconciliation/stock_reconciliation.py,Serial no(s) required for serialized item {0},ຈຳ ນວນ Serial ບໍ່ ຈຳ ເປັນ ສຳ ລັບສິນຄ້າທີ່ມີ serialized {0}
DocType: Payroll Entry,Select Payment Account to make Bank Entry,ເລືອກບັນຊີຊໍາລະເງິນເພື່ອເຮັດໃຫ້ການອອກສຽງທະນາຄານ
apps/erpnext/erpnext/config/accounting.py,Opening and Closing,ການເປີດແລະປິດ
DocType: Hotel Settings,Default Invoice Naming Series,ໃບສະເຫນີລາຄາໃບສະເຫນີລາຄາແບບ Default
apps/erpnext/erpnext/utilities/activation.py,"Create Employee records to manage leaves, expense claims and payroll","ສ້າງການບັນທຶກຂອງພະນັກວຽກໃນການຄຸ້ມຄອງໃບ, ການຮຽກຮ້ອງຄ່າໃຊ້ຈ່າຍແລະການຈ່າຍເງິນເດືອນ"
apps/erpnext/erpnext/accounts/doctype/purchase_invoice/purchase_invoice.js,An error occurred during the update process,ເກີດຄວາມຜິດພາດໃນຂະບວນການປັບປຸງ
DocType: Restaurant Reservation,Restaurant Reservation,ຮ້ານອາຫານການຈອງ
apps/erpnext/erpnext/public/js/hub/Sidebar.vue,Your Items,ລາຍການຂອງທ່ານ
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py,Proposal Writing,ຂຽນບົດສະເຫນີ
DocType: Payment Entry Deduction,Payment Entry Deduction,ການຫັກ Entry ການຊໍາລະເງິນ
DocType: Service Level Priority,Service Level Priority,ບູລິມະສິດໃນລະດັບການບໍລິການ
apps/erpnext/erpnext/setup/setup_wizard/setup_wizard.py,Wrapping up,ການຫຸ້ມຫໍ່ຂຶ້ນ
apps/erpnext/erpnext/stock/doctype/delivery_trip/delivery_trip.js,Notify Customers via Email,ແຈ້ງໃຫ້ລູກຄ້າຜ່ານອີເມວ
DocType: Item,Batch Number Series,Batch Number Series
apps/erpnext/erpnext/setup/doctype/sales_person/sales_person.py,Another Sales Person {0} exists with the same Employee id,ອີກປະການຫນຶ່ງບຸກຄົນ Sales {0} ມີຢູ່ກັບ id ພະນັກງານດຽວກັນ
DocType: Employee Advance,Claimed Amount,ຈໍານວນການຮ້ອງຂໍ
apps/erpnext/erpnext/hr/doctype/leave_allocation/leave_allocation.js,Expire Allocation,ການ ໝົດ ອາຍຸການຈັດສັນ
DocType: QuickBooks Migrator,Authorization Settings,ການກໍານົດການອະນຸຍາດ
DocType: Travel Itinerary,Departure Datetime,ວັນທີອອກເດີນທາງ
apps/erpnext/erpnext/hub_node/api.py,No items to publish,ບໍ່ມີສິ່ງໃດທີ່ຈະເຜີຍແຜ່
DocType: Customer,CUST-.YYYY.-,CUST -YYYY.-
DocType: Travel Request Costing,Travel Request Costing,ການຮ້ອງຂໍການເດີນທາງຄ່າໃຊ້ຈ່າຍ
apps/erpnext/erpnext/config/healthcare.py,Masters,ຕົ້ນສະບັບ
DocType: Employee Onboarding,Employee Onboarding Template,Employee Onboarding Template
DocType: Assessment Plan,Maximum Assessment Score,ຄະແນນປະເມີນຜົນສູງສຸດ
apps/erpnext/erpnext/config/accounting.py,Update Bank Transaction Dates,ການປັບປຸງທະນາຄານວັນ Transaction
apps/erpnext/erpnext/config/projects.py,Time Tracking,ການຕິດຕາມທີ່ໃຊ້ເວລາ
DocType: Purchase Invoice,DUPLICATE FOR TRANSPORTER,ຊ້ໍາສໍາລັບ TRANSPORTER
apps/erpnext/erpnext/hr/doctype/employee_advance/employee_advance.py,Row {0}# Paid Amount cannot be greater than requested advance amount,ແຖວ {0} # ຈໍານວນເງິນທີ່ຈ່າຍບໍ່ສາມາດຈະສູງກວ່າຈໍານວນເງິນລ່ວງຫນ້າທີ່ໄດ້ຮຽກຮ້ອງ
DocType: Fiscal Year Company,Fiscal Year Company,ບໍລິສັດປີງົບປະມານ
DocType: Packing Slip Item,DN Detail,DN ຂໍ້ມູນ
DocType: Training Event,Conference,ກອງປະຊຸມ
DocType: Employee Grade,Default Salary Structure,Default Structure ເງິນເດືອນ
DocType: Stock Entry,Send to Warehouse,ສົ່ງໄປທີ່ສາງ
apps/erpnext/erpnext/hr/report/daily_work_summary_replies/daily_work_summary_replies.py,Replies,Replies
DocType: Timesheet,Billed,ບິນ
DocType: Batch,Batch Description,ລາຍລະອຽດຊຸດ
apps/erpnext/erpnext/education/doctype/student_group_creation_tool/student_group_creation_tool.js,Creating student groups,ສ້າງກຸ່ມນັກສຶກສາ
apps/erpnext/erpnext/education/doctype/student_group_creation_tool/student_group_creation_tool.js,Creating student groups,ສ້າງກຸ່ມນັກສຶກສາ
