Pension Funds,የጡረታ ፈንዶች
Accounts Receivable Credit Account,ሂሳብ የሚሰጡ የብድር ሂሳቦች
Prefix,ቅድመ ቅጥያ
Actual Operation Time,ትክክለኛ የክወና ጊዜ
Net Rate,የተጣራ ተመን
Net Change in Cash,በጥሬ ገንዘብ ለውጥ
Set warehouse for Procedure {0} ,የድንበር መጋዘን አዘጋጅ ለ {0}
Block Invoice,የእዳ ደረሰኝ
Account {0}: Parent account {1} does not exist,መለያ {0}: የወላጅ መለያ {1} አይገኝም
Encrypt Salary Slips in Emails,በኢሜል ውስጥ ደመወዝ በእውቀሻ ምስጠራ
Score,ውጤት
Driver Name,የአሽከርካሪ ስም
Please select Incharge Person's name,እባክዎ የግንኙነትዎን ስም ይምረጡ
Training,ስልጠና
Stock Reports,የክምችት ሪፖርቶች
Conversion factor for default Unit of Measure must be 1 in row {0},የልወጣ መለኪያ ነጋዴ መለኪያ 1 በረድፍ {0} ውስጥ መሆን አለበት
Course Scheduling Tool,የኮር ፕሮግራም ማድረጊያ መሳሪያ
Finished Goods,የተጠናቀቁ ምርቶች
Customer Warehouse (Optional),የደንበኛ መጋዘን (ከተፈለገ)
Sync Master Data,ዋና ውሂብ ያመሳስሉ
Address & Contact,አድራሻ እና እውቅያ
To Date,እስከ ቀን
Error in some rows,በተወሰኑ ረድፎች ላይ ስህተት
Lab Tests and Vital Signs,የቤተ ሙከራ ሙከራዎች እና ወሳኝ ምልክቶች
Tax Rule for transactions.,ለግብዣዎች የግብር መመሪያ.
Show Barcode Field,የባር ኮድ መስክ አሳይ
DN Detail,DN ዝርዝር
Fluid,ፈሳሽ
B2C Limit,B2C ገደብ
Electronic Equipments,ኤሌክትሮኒክ መሣሪያዎች
Cannot find active Leave Period,ንቁ የስራ ፍቃድ ሊያገኝ አልቻለም
Create Maintenance Visit,የጥገና ጉብኝትን ይፍጠሩ
Change In Item,የንጥል ሁኔታ ለውጥ
{0} Students have been enrolled,{0} ተማሪዎች ተመዝግበዋል
Inspection,ምርመራ
Area,አካባቢ
Summary for this week and pending activities,የዚህ ሳምንት እና በመጠባበቅ ላይ ያሉ እንቅስቃሴዎች ማጠቃለያ
Maintenance Task,የጥገና ተግባር
Current Invoice Start Date,የአሁኑ ደረሰኝ የመጀመሪያ ቀን
Item,ንጥል
Get Students From,ተማሪዎችን ከ
Always synch your products from Amazon MWS before synching the Orders details,የትዕዛዝ ዝርዝሮችን ከማመሳሰልዎ በፊት የእርስዎን ምርቶች ሁልጊዜ ከአማዞን MWS ጋር ያመሳስሉ
Leave Block List Name,የእገዳ ዝርዝር ስም ይተው
"Could not update stock, invoice contains drop shipping item.","ክምችትን ማዘመን አልተቻለም, ደረሰኝ የወጪ መላኪያ ንጥል ይዟል."
Completion Date,ማጠናቀቂያ ቀን
Rate at which supplier's currency is converted to company's base currency,የትኛው የአቅጣጫ ምንዛሬ ወደ ኩባንያው መነሻ ምንዛሬ መለወጥ
Leave Control Panel,የመቆጣጠሪያ ፓነል ውጣ
Total Applicable Charges in Purchase Receipt Items table must be same as Total Taxes and Charges,በግዢ ደረሰኝ ንጥሎች ውስጥ ያሉ ጠቅላላ ክፍያዎች እንደ ጠቅላላ ግብሮች እና ክፍያዎች ተመሳሳይ መሆን አለባቸው
In Words will be visible once you save the Delivery Note.,የማድረሻ ማስታወሻውን ካስቀመጡ በኋላ በቃላት ውስጥ ይታያሉ.
Suppliies made to Composition Taxable Persons,ለታክስ ተቀናቃኞች ለተዋሃዱ የተሰጡ ደንቦች
Reserved Qty for Production,ለትራፊክ የተያዘ ብዛት
Quality Manager,የጥራት አስተዳዳሪ
"Configure Item Fields like UOM, Item Group, Description and No of Hours.","እንደ UOM, የቡድን ምድብ, ገለፃ እና የሰዓት ብዛት ያሉ የንጥል መስመሮችን ያዋቅሩ."
New Department,አዲስ ዲፓርትመንት
Job Applicant,የሥራ አመልካቾች
Create Invoices,የክፍያ መጠየቂያዎች ይፍጠሩ
Purchase Order Item,የግዢ ትዕዛዝ አይነት
Data Import and Export,የውሂብ ማስገባትና ወደ ውጪ መላክ
Please contact to the user who have Sales Master Manager {0} role,እባክዎ የሽያጭ ማስተር ሼፐርድ አስተዳዳሪ {0} ሚና ላለው ተጠቃሚ ያነጋግሩ
You cannot delete Project Type 'External',የፕሮጀክት አይነት «ውጫዊ» መሰረዝ አይችሉም.
Temporary,ጊዜያዊ
Column Labels : ,የአምድ መለያዎች
Employee A/C Number,የሰራተኛ A / C ቁጥር
Opening Date should be before Closing Date,የመክፈቻ ቀን የሚዘጋበት ቀን ከመድረሱ በፊት መሆን አለበት
Parent Detail docname,የወላጅ ዝርዝር docname
Bank Reconciliation Detail,የባንክ ማስታረቅ ዝርዝር
Cumulative Transaction Threshold,የተደባለቀ ትራንስፖርት እመርታ
"Number of intervals for the interval field e.g if Interval is 'Days' and Billing Interval Count is 3, invoices will be generated every 3 days","ለዕለቱ የቦታ ክፍተት መካከል ልዩነቶች, ለምሳሌ &quot;እለት&quot; እና የሂሳብ አከፋፈይ የጊዜ ቆጠራው 3 ከሆነ, በየሦስት ቀናት ክፍያዎች ይወጣሉ"
'Actual Start Date' can not be greater than 'Actual End Date',&#39;ትክክለኛው የመጀመሪያ ቀን&#39; ከ &lt;ትክክለኛው የማብቂያ ቀን&gt; መብለጥ አይችልም
Payment Entry Reference,የክፍያ ግብዓት ማጣቀሻ
Salary Component Account,የደመወዝ አካለ መጠን
Default Payable Accounts,ነባሪ የሚሰጡ መለያዎች
In Words,በቃላት
Purchase Order,የግዢ ትእዛዝ
Entry Type,የመግቢያ አይነት
Laboratory,ላቦራቶሪ
To Bill,ወደ ቢል
Utility Expenses,የፍጆታ ወጪዎች
Time Between Operations (in mins),በክወናዎች መካከል ያለው ጊዜ (በ mins ውስጥ)
May,ግንቦት
"Payment Gateway Account not created, please create one manually.","የክፍያ በርዕሰ ጉዳይ መለያ አልተፈጠረም, እባክዎ አንድ በእጅ ይፍጠሩ."
Purchase,ግዢ
School House,የት / ቤት ቤት
Please select at least one domain.,እባክህ ቢያንስ አንድ ጎራ ምረጥ.
Daily Project Summary for {0},ዕለታዊ ፕሮጀክት ማጠቃለያ ለ {0}
All Territories,ሁሉም ግዛቶች
Failure Date,ያልተሳካ ቀን
Attendees,ተሳታፊዎች
Total Outstanding,አጠቃላይ አፈጻጸም
Amount of TDS Deducted,የ TDS ተቀንሷል
Cash or Bank Account is mandatory for making payment entry,የክፍያ ገቢ ለመፈቀር የገንዘብ ወይም የባንክ ሂሳብ ግዴታ ነው
Registration Details,የምዝገባ ዝርዝሮች
Calculated Bank Statement balance,የተ.የተ.
Only users with {0} role can register on Marketplace,የ {0} ሚና ያላቸው ተጠቃሚዎች ብቻ በገበያ ቦታ መመዝገብ ይችላሉ
"Warehouse {0} is not linked to any account, please mention the account in  the warehouse record or set default inventory account in company {1}.","መጋዘን {0} ከማንኛውም መለያ ጋር አልተገናኘም, እባክዎን በሱቅ መዝገብ ውስጥ ያለውን መለያ ይጥቀሱ ወይም በድርጅቱ ውስጥ ያለውን ነባሪ የጥቅል መዝገብ ያዋቅሩ {1}."
Admission,መግባት
This is based on the attendance of this Student,ይህ የተማሪው ተገኝነት ላይ የተመሰረተ ነው
Create Receiver List,ተቀባይ ዝርዝር ይፍጠሩ
Max Leaves Allowed,ከፍተኛዎቹ ቅጠሎች የተፈቀዱ
Component,ክፍለ አካል
Leave and Attendance,ውጣ እና ተገኝነት
Billing Amount,የክፍያ መጠየቂያ መጠን
BOM Website Item,የድርጅት ድርጣቢያ ንጥል
Rounded Total,ጠቅላላ ድምር
Production Plan,የምርት ዕቅድ
Actions performed,እርምጃዎች አከናውነዋል
Set Accepted Warehouse,የተቀበለው Warehouse ያዘጋጁ
Rules for applying pricing and discount.,የዋጋ አሰጣጥ እና የዋጋ ቅነሳን በተመለከተ ደንቦች.
Statutory info and other general information about your Supplier,ስለአቅራቢዎ አስፈላጊ ህጋዊ መረጃ እና ሌላ አጠቃላይ መረጃ
Default Selling Cost Center,የነባሪ ዋጋ መሸጫ ዋጋ
Address & Contacts,አድራሻ እና እውቂያዎች
Subscriber,ደንበኛ
[{0}](#Form/Item/{0}) is out of stock,[{0}] (# ቅጽ / ንጥል / {0}) አክሲዮን አልቋል
Please select Posting Date first,እባክዎ መጀመሪያ የልኡክ ጽሁፍ ቀንን ይምረጡ
Mention if non-standard payable account,መደበኛ ያልሆነ የሚከፈልበት መለያ ከሆነ ይጥቀሱ
Advance,ቅድሚያ
"Root Type for ""{0}"" must be one of the Asset, Liability, Income, Expense and Equity","የ «{0}» መሰረታዊ አይነት ከንብረት, የተጠያቂነት, የገቢ, የወጪ እና የንኩልነት አባል መሆን አለበት"
% Complete Method,% የተሟላ ዘዴ
Tasks Created,ተግባራት ተፈጥረዋል
Default BOM ({0}) must be active for this item or its template,ነባሪ እቅር ({0}) ለዚህ ንጥል ወይም ለአብነትዎ ገባሪ መሆን አለበት
Commission Rate %,የኮሚሽል ተመን%
Response Time,የምላሽ ጊዜ
Woocommerce Settings,Woocommerce ቅንጅቶች
Quantity must be positive,መጠኑ አዎንታዊ መሆን አለበት
CRM,CRM
Parenttype,ወላጅ
Billing State,የማስከፈያ ሁኔታ
Quantity for Item {0} must be less than {1},የቁጥር ንጥል ቁጥር {0} ከ {1} ያነሰ መሆን አለበት
Transfer Material,የማስተላለፊያ ቁሳቁስ
Shipping Account,የመላኪያ መለያ
Please set default template for Leave Approval Notification in HR Settings.,እባክዎ በ HR ቅንብሮች ውስጥ የመልቀቂያ ማረጋገጫን ለመተው እባክዎ ነባሪ አብነት ያስቀምጡ.
Television,ቴሌቪዥን
Quality Inspection required for Item {0},ለንጥል {0} ጥራት ምርመራ
Debit ({0}),ዴቢት ({0})
Inpatient Visit Charge,የሆስፒታል ጉብኝት ክፍያ
Transaction Data Mapping,የግብይት ውሂብ ማዛመጃ
A Lead requires either a person's name or an organization's name,አንድ መሪ የግለሰቡን ስም ወይም የድርጅት ስም ያስፈልገዋል
Guardians,ሞግዚቶች
Select Brand...,ብራንድ ይምረጡ ...
Middle Income,መካከለኛ ገቢ
Calculate Based On,መነሻ ላይ አስሉት
Barcode {0} already used in Item {1},ባር ኮድ {0} አስቀድሞ በ Item {1} ውስጥ ጥቅም ላይ ውሏል
Campaign Name,የዘመቻ ስም
Rejected Warehouse,ውድቅ የተደረገው መጋዘን
{0} {1} must be submitted,{0} {1} መቅረብ አለበት
Expense Claim Advance,የወጪ ማሳሰቢያ ቅደም ተከተል
Rounding Adjustment (Company Currency),የሬጅ ማሻሻያ (የኩባንያው የገንዘብ ምንዛሬ)
Publish in Hub,በኩባንያ ውስጥ ያትሙ
GSTIN,GSTIN
August,ነሐሴ
Please enter Purchase Receipt first,እባክዎ በመጀመሪያ የግዢ ደረሰኝን ያስገቡ
Start Year,የመጀመሪያ ዓመት
Target ({}),ዒላማ ({})
Please set Default Payroll Payable Account in Company {0},እባክዎ በካፒታል ውስጥ ያለውን የነባሪ ክፍያን ሊከፈል የሚችል አካውንት ያዘጋጁ {0}
Sales Summary,የሽያጭ ማጠቃለያ
In Words (Company Currency),በቃላት (ኩባንያ ምንዛሬ)
Please specify currency in Company,እባክዎ በኩባንያ ውስጥ ያለውን ምንዛሬ ይግለጹ
Price,ዋጋ
Min Order Qty,የታየው የመጨረሻ ትዕዛዝ ብዛት
Holiday Management,የበዓል አያያዝ
Please enable default incoming account before creating Daily Work Summary Group,ዕለታዊ የጥናት እጥረትን አጠቃላይ ቡድን ከመፍጠርዎ በፊት እባክዎ ነባሪ የመለያ መለያን ያንቁ
You can only select a maximum of one option from the list of check boxes.,ከቼክ ሳጥኖች ውስጥ ከፍተኛውን አንድ አማራጭ ብቻ መምረጥ ይችላሉ.
Public Transport,የሕዝብ ማመላለሻ
Maximum Samples - {0} can be retained for Batch {1} and Item {2}.,ከፍተኛ ቁጥር ያላቸው - {0} ለቡድን {1} እና ንጥል {2} ሊቀመጡ ይችላሉ.
Max Sample Quantity,ከፍተኛ የናሙና መጠኑ
Source and target warehouse must be different,ምንጩ እና የታቀደለት መጋዘን የተለየ መሆን አለበት
Benefits Applied,ጥቅሞች ተግባራዊ ይሆናሉ
Against Journal Entry {0} does not have any unmatched {1} entry,በጆርናል ምዝገባ {0} ላይ ያልተካተተ {1} ግቤት የለም
Price or product discount slabs are required,ዋጋ ወይም የምርት ቅናሽ ቅጠሎች ያስፈልጉታል
Set a Target,ዒላማ ያዘጋጁ
Attendance Record {0} exists against Student {1},የተማሪ መገኘት መዝገብ {0} በተማሪው ላይ ይገኛል {1}
Date of Transaction,የግብይት ቀን
Cancel Subscription,የደንበኝነት ምዝገባን ተወው
Net Salary Amount,የተጣራ ደመወዝ መጠን
Liability,ተጠያቂነት
Bank A/C No.,ባንክ አ / ካ
Discharge Note,የፍሳሽ ማስታወሻ
Action if Accumulated Monthly Budget Exceeded on MR,አክባሪው ወርሃዊ በጀት ከተከፈለ እርምጃ
Asset Movement,የንብረት ንቅናቄ
"Could not create Credit Note automatically, please uncheck 'Issue Credit Note' and submit again","ክሬዲት ማስታወሻን በራስ ሰር ማድረግ አልቻለም, እባክዎን &#39;Issue Credit Note&#39; ን አይመልከቱ እና እንደገና ያስገቡ"
Per Month,በ ወር
Routing Name,የመሄጃ ስም
Common Name,የተለመደ ስም
Measurable,ሊለካ የሚችል
LMS Title,LMS ርዕስ
Loan Management,የብድር አስተዳደር
Support Analtyics,የድጋፍ ፊዚክስ
Consumable Total Amount,የሚገመት አጠቃላይ ድምር
Enable Template,አብነት አንቃ
Customer LPO,የደንበኛ LPO
Website Image {0} attached to Item {1} cannot be found,ከ Item {1} ጋር የተያያዘ የድረ-ገጽ ምስል {0} አልተገኘም
Planned,የታቀደ
Custodian,ጠባቂ
Filter based on Cost Center is only applicable if Budget Against is selected as Cost Center,በ &quot;Cost Center&quot; ላይ የተመሠረተ ማጣሪያ ተግባራዊ የሚሆነው Budget Budget Against Cost Center ውስጥ ከሆነ ብቻ ነው
Quoted Item Comparison,የተጠቀለለ ንጥል ንጽጽር
Employee Advance,Employee Advance
Inward supplies liable to reverse charge (other than 1 & 2 above),ከውጭ ሊያስገቡ የሚችሉ እቃዎች (ከዚህ በላይ 1 እና 2 ከላይ ያሉት)
Shopping Cart,የግዢ ጋሪ
User {0} does not exist,የተጠቃሚ {0} አይገኝም
Loans and Advances (Assets),ብድሮችና ቅድመ ዶች (ንብረቶች)
Row {0}: Please check 'Is Advance' against Account {1} if this is an advance entry.,ረድፍ {0}: ይሄ ቅድመዕይታ ግቤት ከሆነ «የመክፈያው» ከሂሳብ መለያ {1} ላይ ምልክት ያድርጉ.
Designation (optional),ርዕስ (አማራጭ)
Total Principal Amount,አጠቃላይ የዋና ተመን
Customer / Lead Address,ደንበኛ / መሪ አድራሻ
Soap & Detergent,ሳሙና እና ሳሙና
Purchase Analytics,የግዢ ትንታኔዎች
Opportunity,ዕድል
Prefered Contact Email,የተመረጠ የዕውቂያ ኢሜይል
Opening Accounting Balance,የሂሳብ ቀሪ ሂሳብን በመክፈት ላይ
[Select],[መምረጥ]
MAT-RECO-.YYYY.-,ማት-ሪኮ-ያዮያን .-
Master Data,ዋና ውሂብ
Yet to appear,ገና ለመገለጥ
Customers in Queue,ወረፋ ውስጥ ያሉ ደንበኞች
Supplier Details,የአቅራቢ ዝርዝሮች
No gain or loss in the exchange rate,በገንቢው ውስጥ ምንም ትርፍ ወይም ኪሳራ የለም
GSTR-1,GSTR-1
Total Billable Hours,ጠቅላላ የክፍያ ሰዓቶች
Represents Company,ድርጅትን ይወክላል
Company Address,የኩባንያ አድራሻ
Lead Name,የመሪ ስም
Diseases & Fertilizers,በሽታዎች እና ማዳበሪያዎች
Item {0} must be a Sub-contracted Item,እቃ {0} ንኡስ ተዋዋይ ዕቃዎች መሆን አለበት
Purchase Receipt Items,የግዢ ደረሰኝ ንጥሎች
Ignore Existing Projected Quantity,አሁን ያለውን የታቀደ ዕይታ ችላ በል
Supervisor,ተቆጣጣሪ
Salary Detail,የቅጥር ሁኔታ
Budget Against,የበጀት እሴት
Add Letterhead,Letterhead አክል
Templates of supplier scorecard criteria.,የአቅራቢዎች የውጤት መለኪያ መስፈርት ደንቦች.
Default Finance Book,ነባሪ የፋይናንስ መጽሐፍ
Please specify Company,እባክዎ ኩባንያውን ይጥቀሱ
Total contribution percentage should be equal to 100,የጠቅላላ ድጎማ መቶኛ ከ 100 ጋር እኩል መሆን አለበት
Webhooks Secret,Webhooks Secret
Asset Depreciations and Balances,የንብረት ልገሳዎች እና ሚዛኖች
New Batch Qty,አዲስ Batch Qty
Import of goods,እቃዎችን ወደ አገር ማስገባት
Raw Material Item Code,ጥሬ ዕቃ ቁ
Purchase Invoice {0} is already submitted,የግዢ ደረሰኝ {0} አስቀድሞ ገቢ ሆኗል
Student Email,የተማሪ ኢሜይል
Get Items from Healthcare Services,ከጤና እንክብካቤ አገልግሎት እቃዎችን ያግኙ
Stock Entry {0} is not submitted,የገበያ ማጣሪያ {0} አይገባም
Item Attribute Value,የንጥል እሴት ዋጋ
Volunteer Skills,የፈቃደኝነት ክህሎቶች
Costing Details,የማጓጓዣ ዝርዝሮች
Sales Invoice {0} has already been submitted,የሽያጭ ደረሰኝ {0} አስቀድሞ ገብቷል
Accounting Entries,የሒሳብ መዝገብ
Internal Transfer,ውስጣዊ ማስተላለፍ
Stock Details,የአክሲዮን ዝርዝሮች
Is Carry Forward,መሸነፋቸውን ይቀጥላል
Product Enquiry,የምርት ጥያቄ
PUR-ORD-.YYYY.-,PUR-ORD-YYYYY.-
Evaluation Period,የግምገማ ጊዜ
Volunteer Skill,የፈቃደኝነት ችሎታ
Order Confirmation No,ትዕዛዝ ማረጋገጫ ቁጥር
POS,POS
Self-Study,"ራስን ማጥናት, ራስን መመርመር"
Above,ከላይ
Action Doctype,የድርጊት አይነት
Allow Print Before Pay,ከመክፈያዎ በፊት ያትሙ
Select Items to Manufacture,የሚሠሩ ንጥሎችን መምረጥ
Leave Approver Name,የአድራሻ ስም ተወው
Shareholder,ባለአክስዮን
Agreement Status,የስምምነት ሁኔታ
Default settings for selling transactions.,ግብይቶችን ለመሸጥ ነባሪ ቅንብሮች.
Please select Student Admission which is mandatory for the paid student applicant,ለክፍያ ለተማሪው የሚያስፈልገውን የተማሪ ቅበላ የሚለውን እባክዎ ይምረጡ
Select BOM,BOM ምረጥ
"Schedules for {0} overlaps, do you want to proceed after skiping overlaped slots ?","ለ {0} የጊዜ ሰሌዳዎች መደቦች ተደራርበው, በተደጋጋሚ የተደባዙ ስኬቶች ከተዘለሉ በኋላ መቀጠል ይፈልጋሉ?"
Customer or Supplier Details,የደንበኛ ወይም የአቅራቢ ዝርዝሮች
Debit Account,የወጪ ሂሳብ
Trial Period End Date Cannot be before Trial Period Start Date,የፍርድ ሞጁል መጨረሻ ቀን በፍርድ ቀን የፍርድ ቀን መጀመር አይችልም
Rented,ተከራይቷል
Employee Group Table,የሰራተኛ ቡድን ሰንጠረዥ
HR Manager,የሰው ሃይል አስተዳዳሪ
Details of Outward Supplies and inward supplies liable to reverse charge,የውጪ ቁሳቁሶችን እና ውስጣዊ ግቤን ለመክፈል ተጠያቂዎች
Cheque/Reference No,ማጣሪያ / ማጣቀሻ ቁጥር
Assessment Result,የምዘና ውጤት
New Contact,አዲስ እውቂያ
Opportunities,ዕድሎች
Net Cash from Operations,ከውጭ ተቀማጭ ገንዘብ
Leave Encashment,ዕዳ ውስጥ ይውጡ
Source warehouse is mandatory for row {0},የንጥል መጋዘን ለመደዳ ረድፍ {0} አስገዳጅ ነው
After Date,ከቀኑ በኋላ
ITC Available (whether in full op part),ITC ይገኛል (የትርጉም ክፍፍል ቢሆን)
Row {0}: Activity Type is mandatory.,ረድፍ {0}: የእንቅስቃሴ አይነት አስገዳጅ ነው.
Consultant,አማካሪ
Select an employee to get the employee advance.,ሰራተኛውን ለማሳደግ ሰራተኛን ይምረጡ.
"Asset cannot be cancelled, as it is already {0}","ንብረቱ ሊሰረዝ አይችልም, ምክንያቱም ቀደም ሲል {0}"
Wrong Password,የተሳሳተ የይለፍ ቃል
STO-ITEM-.YYYY.-,STO-ITEM-YYYYY.-
Update Account Number / Name,የመለያ ቁጥር / ስም ያዘምኑ
Use Custom Cash Flow Format,ብጁ የገንዘብ ፍሰት ቅርጸት ተጠቀም
Opening Invoices,ክፍያ መጠየቂያ ሰነዶችን መክፈቻ
Send to Warehouse,ወደ ማከማቻ መጋዘን ላክ
Event Status,የክስተት ሁነታ
Total completed qty must be greater than zero,የተጠናቀቀው Qty ከዜሮ በላይ መሆን አለበት
Chargeable,ኃይል መሙላት ይችላል
Anytime,በማንኛውም ጊዜ
Student Batch-Wise Attendance,የተማሪ ቦክ-ጠቢብ ተገኝነት
Normal Test Template,መደበኛ የሙከራ ቅንብር
Tree of financial Cost Centers.,የፋይናንስ ዋጋ ማዕከላት ዛፍ.
"in Minutes
Updated via 'Time Log'",በ &quot;ደቂቃዎች ምዝግብ&quot; በኩል በ &quot;
Bin,Bin
Invoice Number,የደረሰኝ ቁጥር
Fulfillment User,የመሟላት ተጠቃሚ
Planned End Time,የታቀደ መጨረሻ ጊዜ
Section Code,የክፍል ኮድ
Monitor Progress,የክትትል ሂደት
Select Batch No,ቡጥን ቁጥር ይምረጡ
Payroll Number,የክፍያ ቁጥር
Include UOM,UOM አካት
Stock Ledger Entries and GL Entries are reposted for the selected Purchase Receipts,የገበያ የማስረከቢያ ምዝግብ ማስታወሻዎች እና የ GL ምረጫዎች ለተመረጡት የግዢ ደረሰኞች በድጋሜ ይለጠፋሉ
Update Print Format,የህትመት ቅርጸትን አዘምን
Siblings,እህት
Hold Invoice,ደረሰኝ ያዙ
Row {0}: Invalid reference {1},ረድፍ {0}: የተሳሳተ ማጣቀሻ {1}
Profitability Analysis,ትርፋማነት ትንታኔ
New Account Name,አዲስ የመለያ ስም
Expense Proof,የወጪ ማሳያ
Served,አገልግሏል
Member,አባል
Practitioner Service Unit Schedule,የአለማዳች አገልግሎት ክፍል ዕቅድ
Wire Transfer,የሃዋላ ገንዘብ መላኪያ
Against Account,Against Account
Projects Settings,የፕሮጀክት ቅንብሮች
Actual Qty {0} / Waiting Qty {1},ትክክለኛው Qty {0} / Waiting Qty {1}
{0} {1}: Account {2} cannot be a Group,{0} {1}: መለያ {2} ቡድን ሊሆን አይችልም
Prescription Duration,የትዕዛዝ ጊዜ ቆይታ
Row {0}: Debit entry can not be linked with a {1},ረድፍ {0}: ዳቢት ምዝገባ ከ {1}
Intro Video,የቪዲዮ ማስተዋወቂያ
Is Paid,የሚከፈልበት ነው
Debit,ዴቢት
Item Balance (Simple),ንጥል ሚዛን (ቀላል)
Purchase orders help you plan and follow up on your purchases,የግዢ ትዕዛዞች እቅድዎን ለማቀድ እና ክትትልዎን ለመከታተል ያግዝዎታል
Project Type,የፕሮጀክት አይነት
Student Batch Name,የተማሪዎች የምድብ ስም
Qty to Receive,የሚቀበሉት ብዛት
Previous Business Day,ቀዳሚ የስራ ቀን
Sponsored Amount,የተደገፈ መጠን
Please wait 3 days before resending the reminder.,አስታዋሹን ከማስተላለፉ 3 ቀኖች በፊት እባክዎ ይጠብቁ.
Qty as per Stock UOM,በክምችት UOM ልክ መጠን
Quantity,ብዛት
Estimated Arrival,ግምታዊ መድረሻ
Trial Balance for Party,የድግስ ሂሳብ ለድኪ
Employee Separation Template,የሰራተኛ መለያ መለኪያ
Unit,ክፍል
Maximum benefit amount of component {0} exceeds {1},ከፍተኛው የሽያጭ መጠን {0} ከ {1}
Venture Capital,ያንግ ካፒታል
Fiscal Year End Date should be one year after Fiscal Year Start Date,የፊስካል አመት የማብቂያ ቀን ከአንድ ዓመት በኋላ የጀቱ ዓመት ከተጀመረ ከአንድ አመት በኋላ መሆን አለበት
Daily Reminders,ዕለታዊ አስታዋሾች
Default Sales Unit of Measure,ነባሪ የሽያጭ ብዜት መለኪያ
Rate of Depreciation,የማካካሻ ዋጋ
Post Description Key,የልኡክ ጽሁፍ ማብራሪያ ቁልፍ
Minimum Total Spent,ዝቅተኛ ድምር
Period Score,የዘፈን ነጥብ
Can't create standard criteria. Please rename the criteria,መደበኛ መስፈርት መፍጠር አይቻልም. እባክዎ መስፈርትዎን እንደገና ይሰይሙ
Arrival Datetime,የመድረሻ ወቅት
Student LMS Activity,Student LMS Activity
Quantity Difference,የብዙ ቁጥር
Row #{0}: Allocated Amount cannot be greater than outstanding amount.,ረድፍ # {0}: የተመደበው መጠን ከተጠቀሰው መጠን በላይ ሊሆን አይችልም.
Timesheet Detail,የጊዜ ሰሌዳ ዝርዝር
Proficiency,ብቃት
Sent To,ለ. ተልኳል
Hub Publishing Details,ሃቢ የህትመት ዝርዝሮች
"Student Batches help you track attendance, assessments and fees for students","የተማሪዎች ድልድል ለተማሪዎች ለተማሪዎች መከታተል, ግምገማዎች እና ክፍያዎች እንዲከታተሉ ያግዝዎታል"
Declared Amount,የተገመተው መጠን
Auto close Opportunity after 15 days,ከ 15 ቀናት በኋላ ራስ-ሰር የማቆያ እድል
Issue,ርዕሰ ጉዳይ
Availability Timeslot,የጊዜ ማቅረቢያ ጊዜ
Program Abbreviation,የፕሮግራም ምህፃረ ቃል
Project Start Date,የፕሮጀክት መጀመሪያ ቀን
Additional DIscount Amount,ተጨማሪ DIscount መጠን
Item {0} not found in 'Raw Materials Supplied' table in Purchase Order {1},እቃ {0} በግዢ ትዕዛዝ ውስጥ {0} አልተገኘም.
Manage cost of operations,የክዋኔዎች ወጪን ያስተዳድሩ
You are not authorized to set Frozen value,የታሰረ እሴትን እንዲያዘጋጁ ፍቃድ አልተሰጠዎትም
Lapsed,ተወስዷል
Investments,ኢንቨስትመንት
Date of Birth,የትውልድ ቀን
You need to be a user with System Manager and Item Manager roles to register on Marketplace.,በገበያ ቦታ ላይ ለመመዝገብ የስርዓት አቀናባሪ እና የንጥል አስተዳዳሪ ሚናዎች ተጠቃሚ መሆን አለብዎት.
Item Attribute Values,የንጥል ባህሪ እሴቶች
Please save the patient first,በመጀመሪያ ታካሚውን ያስቀምጡት
Half Day Date should be between From Date and To Date,የግማሽ ቀን ቀን ከ ቀን እና ቀን በኋላ መሆን አለበት
Expected Discharge,የሚጠበቀው ውድቅት
Travel Type,የጉዞ አይነት
Customer is required,ደንበኛ ያስፈልጋል
Invalid quantity specified for item {0}. Quantity should be greater than 0.,ለንጥል {0} የተገለጸው ትክክለኛ ያልሆነ ብዛት. መጠኑ ከ 0 በላይ መሆን አለበት.
As Supervisor,ተቆጣጣሪ
Employees,ሠራተኞች
Billing Status,የማስከፈያ ሁኔታ
Please select Category first,እባክዎ መጀመሪያ ምድብ ይምረጡ
BOM Browser,የ BOM አሳሽ
Create Student Groups,የተማሪ ቡድኖችን መፍጠር
In Minutes,በደቂቃዎች ውስጥ
Net Pay cannot be less than 0,የተጣራ ክፍያ ከ 0 ያነሰ ሊሆን አይችልም
Schedules,መርሐግብሮች
Employee Training,የሰራተኛ ስልጠና
Rate of Interest (%) / Year,የፍላጎት መጠን (%) / ዓመት
Require Result Value,የ ውጤት ውጤት እሴት
Loan Type,የብድር አይነት
Identification of the package for the delivery (for print),ለዝግጁቱ እሽግ (ለህትመት)
Assessment Name,የምዘና ስም
Departure Datetime,የመጓጓዣ የጊዜ ወሰን
From Warehouse,ከመጋዘን
Amount {0} {1} against {2} {3},መጠን {0} {1} ከ {2} {3} ጋር
Create Variant,ፈጣሪያ ይፍጠሩ
Fulfilment Terms and Conditions,የመሟላት ሁኔታዎች እና ሁኔታዎች
Date of Commencement should be greater than Date of Incorporation,የመግቢያ ቀን ከተፋሰሱበት ቀን የበለጠ መሆን አለበት
Price or Product Discount,ዋጋ ወይም የምርት ሽያጭ
